Hampton,45,George Washington,2261
8:57,45,Foul on Terry Nolan Jr..,20,18
8:43,2261,Jermaine Marrow made Jumper.,22,18
8:27,45,Justin Mazzulla missed Three Point Jumper.,22,18
8:27,45,Patrick Steeves Offensive Rebound.,22,18
8:23,45,Patrick Steeves made Jumper.,22,20
7:55,2261,Kalin Fisher missed Jumper.,22,20
7:55,45,Justin Mazzulla Defensive Rebound.,22,20
7:48,45,Official TV Timeout,22,20
7:41,45,Arnaldo Toro missed Jumper.,22,20
7:41,2261,Jermaine Marrow Defensive Rebound.,22,20
7:33,2261,Jermaine Marrow missed Jumper.,22,20
7:31,2261,Trevond Barnes Offensive Rebound.,22,20
7:31,45,Foul on Arnaldo Toro.,22,20
7:25,2261,Kalin Fisher missed Jumper.,22,20
7:25,45,Jair Bolden Defensive Rebound.,22,20
7:14,2261,Foul on Austin Colbert.,22,20
7:14,45,Terry Nolan Jr. made Free Throw.,22,21
7:14,45,Terry Nolan Jr. missed Free Throw.,22,21
7:14,2261,Greg Heckstall Defensive Rebound.,22,21
6:59,2261,Foul on Greg Heckstall.,22,21
6:59,2261,Greg Heckstall Turnover.,22,21
6:30,45,Jair Bolden made Layup.,22,23
6:04,45,Foul on Yuta Watanabe.,22,23
6:04,2261,Hampton  Timeout,22,23
5:44,2261,Greg Heckstall made Three Point Jumper.,25,23
5:17,45,Justin Williams made Layup. Assisted by Patrick Steeves.,25,25
5:03,2261,Jermaine Marrow made Three Point Jumper.,28,25
4:35,45,Terry Nolan Jr. made Three Point Jumper. Assisted by Jair Bolden.,28,28
4:13,2261,Jermaine Marrow missed Jumper.,28,28
4:13,45,Yuta Watanabe Defensive Rebound.,28,28
4:08,45,Justin Williams made Layup. Assisted by Patrick Steeves.,28,30
3:51,45,Foul on Terry Nolan Jr..,28,30
3:51,45,Official TV Timeout,28,30
3:32,2261,Jermaine Marrow missed Jumper.,28,30
3:32,45,Justin Williams Defensive Rebound.,28,30
3:19,45,Patrick Steeves made Jumper.,28,32
2:57,2261,Jermaine Marrow made Layup.,30,32
2:27,45,Justin Williams made Three Point Jumper. Assisted by Jair Bolden.,30,35
1:54,2261,Greg Heckstall missed Jumper.,30,35
1:54,45,Justin Williams Defensive Rebound.,30,35
1:39,45,Jair Bolden made Three Point Jumper. Assisted by Bo Zeigler.,30,38
1:14,2261,Charles Wilson-Fisher made Jumper.,32,38
0:47,45,Jair Bolden missed Jumper.,32,38
0:47,2261,Greg Heckstall Defensive Rebound.,32,38
0:33,2261,Greg Heckstall missed Layup.,32,38
0:33,2261,Trevond Barnes Offensive Rebound.,32,38
0:29,2261,Trevond Barnes missed Two Point Tip Shot.,32,38
0:29,2261,Charles Wilson-Fisher Offensive Rebound.,32,38
0:20,2261,Charles Wilson-Fisher missed Jumper.,32,38
0:19,45,Jair Bolden Defensive Rebound.,32,38
0:18,45,George Washington  Timeout,32,38
0:04,45,Yuta Watanabe missed Three Point Jumper.,32,38
0:04,2261,Akim Mitchell Defensive Rebound.,32,38
0:00,45,End of 1st half,32,38
19:48,2261,Jermaine Marrow missed Layup.,32,38
19:48,45,Patrick Steeves Defensive Rebound.,32,38
19:38,45,Patrick Steeves made Layup.,32,40
19:06,45,Foul on Terry Nolan Jr..,32,40
19:06,2261,Greg Heckstall made Free Throw.,33,40
19:06,2261,Greg Heckstall made Free Throw.,34,40
18:45,2261,Foul on Greg Heckstall.,34,40
18:45,45,Yuta Watanabe missed Free Throw.,34,40
18:45,45,George Washington Deadball Team Rebound.,34,40
18:45,45,Yuta Watanabe made Free Throw.,34,41
18:27,2261,Trevond Barnes made Dunk. Assisted by Jermaine Marrow.,36,41
18:05,45,Jair Bolden missed Jumper.,36,41
18:05,45,Patrick Steeves Offensive Rebound.,36,41
17:42,45,Justin Mazzulla made Jumper. Assisted by Patrick Steeves.,36,43
17:27,2261,Jermaine Marrow missed Jumper.,36,43
17:26,45,George Washington Defensive Rebound.,36,43
17:13,45,Patrick Steeves missed Layup.,36,43
17:13,2261,Charles Wilson-Fisher Defensive Rebound.,36,43
16:49,2261,Kalin Fisher Turnover.,36,43
16:27,45,Yuta Watanabe missed Three Point Jumper.,36,43
16:27,2261,Charles Wilson-Fisher Defensive Rebound.,36,43
16:20,2261,Jermaine Marrow missed Layup.,36,43
16:20,45,Justin Mazzulla Defensive Rebound.,36,43
15:54,45,Patrick Steeves missed Jumper.,36,43
15:54,45,Yuta Watanabe Offensive Rebound.,36,43
15:54,2261,Foul on Charles Wilson-Fisher.,36,43
15:54,45,Official TV Timeout,36,43
15:53,45,Bo Zeigler made Layup. Assisted by Jair Bolden.,36,45
15:37,2261,Kalin Fisher missed Three Point Jumper.,36,45
15:37,45,Yuta Watanabe Defensive Rebound.,36,45
15:29,45,Yuta Watanabe missed Layup.,36,45
15:26,45,George Washington Offensive Rebound.,36,45
15:23,45,Jair Bolden missed Three Point Jumper.,36,45
15:23,2261,Austin Colbert Defensive Rebound.,36,45
15:14,2261,Jermaine Marrow missed Layup.,36,45
15:14,45,Jair Bolden Block.,36,45
15:11,45,Patrick Steeves Defensive Rebound.,36,45
15:07,45,Patrick Steeves made Layup. Assisted by Yuta Watanabe.,36,47
14:59,2261,Hampton  Timeout,36,47
14:52,2261,Lysander Bracey missed Jumper.,36,47
14:52,45,Jair Bolden Defensive Rebound.,36,47
14:42,45,Jair Bolden Turnover.,36,47
14:26,2261,Lysander Bracey missed Three Point Jumper.,36,47
14:26,45,Bo Zeigler Defensive Rebound.,36,47
14:05,2261,Foul on Trey Carver.,36,47
14:05,45,Bo Zeigler made Free Throw.,36,48
14:05,45,Bo Zeigler made Free Throw.,36,49
13:44,2261,Kalin Fisher missed Jumper.,36,49
13:44,45,Jair Bolden Block.,36,49
13:42,2261,Kalin Fisher Offensive Rebound.,36,49
13:39,2261,Trey Carver made Jumper.,38,49
13:18,45,Patrick Steeves missed Three Point Jumper.,38,49
13:12,2261,Hampton Defensive Rebound.,38,49
13:04,2261,Austin Colbert missed Three Point Jumper.,38,49
13:04,45,Bo Zeigler Defensive Rebound.,38,49
12:44,45,Patrick Steeves missed Jumper.,38,49
12:44,2261,Greg Heckstall Defensive Rebound.,38,49
12:39,2261,Lysander Bracey missed Three Point Jumper.,38,49
12:39,45,Yuta Watanabe Defensive Rebound.,38,49
12:11,45,Yuta Watanabe missed Jumper.,38,49
12:11,2261,Trey Carver Defensive Rebound.,38,49
11:51,2261,Greg Heckstall missed Three Point Jumper.,38,49
11:51,45,Bo Zeigler Defensive Rebound.,38,49
11:32,45,Justin Williams missed Three Point Jumper.,38,49
11:32,45,Patrick Steeves Offensive Rebound.,38,49
11:02,45,Yuta Watanabe made Layup. Assisted by Patrick Steeves.,38,51
10:36,2261,Austin Colbert missed Jumper.,38,51
10:36,45,Bo Zeigler Defensive Rebound.,38,51
10:18,45,Jair Bolden made Three Point Jumper.,38,54
9:58,2261,Greg Heckstall Turnover.,38,54
9:58,45,Patrick Steeves Steal.,38,54
9:58,45,Official TV Timeout,38,54
9:47,45,Patrick Steeves missed Jumper.,38,54
9:47,2261,Charles Wilson-Fisher Defensive Rebound.,38,54
9:37,45,Foul on Justin Mazzulla.,38,54
9:31,2261,Jermaine Marrow made Layup.,40,54
9:10,45,Bo Zeigler made Jumper. Assisted by Terry Nolan Jr..,40,56
8:54,2261,Charles Wilson-Fisher missed Jumper.,40,56
8:54,45,Terry Nolan Jr. Defensive Rebound.,40,56
8:41,45,Terry Nolan Jr. missed Jumper.,40,56
8:41,2261,Trevond Barnes Defensive Rebound.,40,56
8:36,2261,Akim Mitchell made Layup. Assisted by Lysander Bracey.,42,56
8:12,45,Maceo Jack missed Jumper.,42,56
8:12,2261,Trevond Barnes Defensive Rebound.,42,56
8:02,2261,Akim Mitchell missed Jumper.,42,56
8:02,45,Arnaldo Toro Block.,42,56
8:01,2261,Hampton Offensive Rebound.,42,56
7:50,45,Foul on Bo Zeigler.,42,56
7:50,45,Official TV Timeout,42,56
7:50,2261,Trevond Barnes missed Free Throw.,42,56
7:50,2261,Hampton Deadball Team Rebound.,42,56
7:50,2261,Trevond Barnes made Free Throw.,43,56
7:32,45,Jair Bolden made Three Point Jumper. Assisted by Terry Nolan Jr..,43,59
7:30,2261,Foul on Charles Wilson-Fisher.,43,59
7:30,2261,Charles Wilson-Fisher Turnover.,43,59
7:04,45,Arnaldo Toro made Layup. Assisted by Jair Bolden.,43,61
6:47,2261,Jermaine Marrow missed Layup.,43,61
6:47,45,Arnaldo Toro Block.,43,61
6:46,45,Arnaldo Toro Defensive Rebound.,43,61
6:23,45,Terry Nolan Jr. missed Three Point Jumper.,43,61
6:23,2261,Jermaine Marrow Defensive Rebound.,43,61
6:16,45,Foul on Yuta Watanabe.,43,61
6:16,2261,Akim Mitchell made Free Throw.,44,61
6:16,2261,Akim Mitchell made Free Throw.,45,61
6:09,45,Justin Williams made Layup. Assisted by Terry Nolan Jr..,45,63
5:56,45,Foul on Justin Williams.,45,63
5:48,2261,Lysander Bracey missed Three Point Jumper.,45,63
5:48,45,Jair Bolden Defensive Rebound.,45,63
5:41,45,Jair Bolden Turnover.,45,63
5:40,2261,Greg Heckstall Steal.,45,63
5:35,2261,Jermaine Marrow made Layup.,47,63
5:14,45,Foul on Arnaldo Toro.,47,63
5:14,45,Arnaldo Toro Turnover.,47,63
5:00,2261,Jermaine Marrow made Layup.,49,63
4:34,45,Jair Bolden missed Three Point Jumper.,49,63
4:34,2261,Greg Heckstall Defensive Rebound.,49,63
4:27,45,Foul on Terry Nolan Jr..,49,63
4:27,2261,Akim Mitchell made Free Throw.,50,63
4:27,2261,Akim Mitchell made Free Throw.,51,63
4:08,45,Yuta Watanabe missed Jumper.,51,63
4:08,2261,Trevond Barnes Block.,51,63
4:04,2261,Jermaine Marrow Defensive Rebound.,51,63
3:59,2261,Greg Heckstall missed Three Point Jumper.,51,63
3:59,45,Yuta Watanabe Defensive Rebound.,51,63
3:43,2261,Foul on Akim Mitchell.,51,63
3:43,45,Official TV Timeout,51,63
3:25,45,Jair Bolden missed Jumper.,51,63
3:22,2261,Hampton Defensive Rebound.,51,63
3:12,2261,Jermaine Marrow made Jumper.,53,63
2:41,45,Terry Nolan Jr. missed Three Point Jumper.,53,63
2:41,2261,Trevond Barnes Defensive Rebound.,53,63
2:19,2261,Jermaine Marrow missed Jumper.,53,63
2:19,45,Jair Bolden Defensive Rebound.,53,63
1:50,45,Patrick Steeves Turnover.,53,63
1:49,2261,Akim Mitchell Steal.,53,63
1:45,2261,Jermaine Marrow made Layup. Assisted by Akim Mitchell.,55,63
1:42,2261,Hampton  Timeout,55,63
1:14,45,Patrick Steeves made Jumper.,55,65
1:02,2261,Trevond Barnes Turnover.,55,65
1:00,45,Yuta Watanabe Steal.,55,65
0:35,45,Patrick Steeves missed Three Point Jumper.,55,65
0:35,2261,Greg Heckstall Defensive Rebound.,55,65
0:26,2261,Greg Heckstall missed Three Point Jumper.,55,65
0:26,45,Terry Nolan Jr. Defensive Rebound.,55,65
0:14,45,Jair Bolden Turnover.,55,65
0:14,2261,Greg Heckstall Steal.,55,65
0:10,2261,Jermaine Marrow made Layup.,57,65
0:00,45,End of Game,57,65
