Warren Wilson,Error,Gardner-Webb,2241
18:31,-1,Foul on Merault Almanor.,40,63
18:31,2241,David Efianayi missed Free Throw.,40,63
18:31,-1,Warren Wilson Defensive Rebound.,40,63
18:31,2241,Foul on L'Hassane Niangane.,40,63
18:29,-1,Merault Almanor missed Three Point Jumper.,40,63
18:29,-1,Warren Wilson Offensive Rebound.,40,63
17:49,-1,Lukas Juozapavicius missed Three Point Jumper.,40,63
17:49,2241,Liam O'Reilly Defensive Rebound.,40,63
17:32,2241,Christian Turner Turnover.,40,63
17:30,-1,Merault Almanor Steal.,40,63
17:24,-1,Tyquavion Dix Turnover.,40,63
17:24,2241,Christian Turner Steal.,40,63
17:19,2241,Foul on L'Hassane Niangane.,40,63
17:13,-1,Lukas Juozapavicius made Three Point Jumper. Assisted by Kahlon Whitley.,43,63
16:59,2241,Liam O'Reilly made Three Point Jumper. Assisted by Christian Turner.,43,66
16:52,-1,Kahlon Whitley missed Layup.,43,66
16:52,2241,DJ Laster Defensive Rebound.,43,66
16:46,2241,Eric Jamison missed Three Point Jumper.,43,66
16:46,-1,Kahlon Whitley Defensive Rebound.,43,66
16:12,-1,Tyquavion Dix missed Jumper.,43,66
16:12,2241,Eric Jamison Defensive Rebound.,43,66
16:03,2241,Eric Jamison made Layup. Assisted by David Efianayi.,43,68
15:51,-1,Tyquavion Dix missed Three Point Jumper.,43,68
15:51,2241,DJ Laster Defensive Rebound.,43,68
15:40,2241,Christian Turner missed Three Point Jumper.,43,68
15:40,-1,Lukas Juozapavicius Defensive Rebound.,43,68
15:31,-1,Marques Sullivan missed Three Point Jumper.,43,68
15:31,2241,Gardner-Webb Defensive Rebound.,43,68
15:26,2241,Official TV Timeout,43,68
15:08,2241,Eric Jamison missed Layup.,43,68
15:08,2241,David Efianayi Offensive Rebound.,43,68
15:03,-1,Foul on Marques Sullivan.,43,68
15:03,2241,David Efianayi made Free Throw.,43,69
15:03,2241,David Efianayi made Free Throw.,43,70
14:59,2241,Foul on Jamaal Robateau.,43,70
14:59,-1,Kahlon Whitley made Free Throw.,44,70
14:59,-1,Kahlon Whitley made Free Throw.,45,70
14:52,2241,Nate Johnson made Three Point Jumper. Assisted by Jaheam Cornwall.,45,73
14:43,2241,Foul on David Efianayi.,45,73
14:37,-1,Kahlon Whitley missed Three Point Jumper.,45,73
14:37,2241,Jaheam Cornwall Defensive Rebound.,45,73
14:32,2241,David Efianayi made Layup. Assisted by Jaheam Cornwall.,45,75
14:31,-1,Foul on Tyquavion Dix.,45,75
14:31,2241,David Efianayi made Free Throw.,45,76
14:26,-1,Marques Sullivan Turnover.,45,76
14:13,2241,David Efianayi missed Three Point Jumper.,45,76
14:13,2241,Eric Jamison Offensive Rebound.,45,76
14:09,2241,Jamaal Robateau missed Three Point Jumper.,45,76
14:09,-1,Marques Sullivan Defensive Rebound.,45,76
14:04,2241,Foul on Eric Jamison.,45,76
13:43,-1,Foul on Michael Pomery.,45,76
13:37,2241,Jaheam Cornwall missed Layup.,45,76
13:37,-1,Lukas Juozapavicius Defensive Rebound.,45,76
13:31,-1,Marques Sullivan Turnover.,45,76
13:29,2241,Jamaal Robateau Steal.,45,76
13:21,2241,David Efianayi made Dunk.,45,78
13:13,-1,Lukas Juozapavicius made Three Point Jumper.,48,78
13:08,2241,Foul on Eric Jamison.,48,78
13:08,-1,Lukas Juozapavicius made Free Throw.,49,78
12:53,-1,Foul on Michael Pomery.,49,78
12:53,2241,Eric Jamison missed Free Throw.,49,78
12:53,2241,Gardner-Webb Deadball Team Rebound.,49,78
12:53,2241,Eric Jamison made Free Throw.,49,79
12:50,-1,Kahlon Whitley Turnover.,49,79
12:48,2241,Jaheam Cornwall Steal.,49,79
12:37,-1,Foul on Lukas Juozapavicius.,49,79
12:36,2241,DJ Laster made Free Throw.,49,80
12:36,2241,DJ Laster made Free Throw.,49,81
12:27,-1,Marques Sullivan made Three Point Jumper. Assisted by Lukas Juozapavicius.,52,81
12:14,2241,Nate Johnson missed Three Point Jumper.,52,81
12:14,2241,DJ Laster Offensive Rebound.,52,81
12:06,2241,Nate Johnson missed Three Point Jumper.,52,81
12:06,-1,Marques Sullivan Defensive Rebound.,52,81
12:00,-1,Kahlon Whitley Turnover.,52,81
11:59,2241,Eric Jamison Steal.,52,81
11:57,2241,Jamaal Robateau made Layup. Assisted by Eric Jamison.,52,83
11:51,-1,Michael Pomery made Three Point Jumper.,55,83
11:29,2241,Official TV Timeout,55,83
11:18,2241,Jamaal Robateau missed Three Point Jumper.,55,83
11:18,2241,Eric Jamison Offensive Rebound.,55,83
11:14,2241,Official TV Timeout,55,83
11:08,2241,Nate Johnson Turnover.,55,83
11:02,-1,Michael Pomery missed Three Point Jumper.,55,83
11:02,2241,DJ Laster Defensive Rebound.,55,83
10:48,2241,Eric Jamison made Layup. Assisted by DJ Laster.,55,85
10:41,-1,Kahlon Whitley missed Three Point Jumper.,55,85
10:41,2241,Nate Johnson Block.,55,85
10:39,2241,Nate Johnson Defensive Rebound.,55,85
10:33,2241,Liam O'Reilly made Three Point Jumper. Assisted by Nate Johnson.,55,88
10:25,-1,Lukas Juozapavicius missed Three Point Jumper.,55,88
10:25,-1,Kahlon Whitley Offensive Rebound.,55,88
10:13,-1,Marques Sullivan missed Three Point Jumper.,55,88
10:13,2241,Nate Johnson Defensive Rebound.,55,88
10:02,2241,Nate Johnson missed Three Point Jumper.,55,88
10:02,2241,Eric Jamison Offensive Rebound.,55,88
9:58,2241,Eric Jamison made Layup.,55,90
9:48,-1,Merault Almanor missed Layup.,55,90
9:48,2241,Eric Jamison Defensive Rebound.,55,90
9:44,2241,DJ Laster made Dunk. Assisted by Eric Jamison.,55,92
9:37,-1,Kahlon Whitley missed Layup.,55,92
9:37,2241,Nate Johnson Defensive Rebound.,55,92
9:33,2241,Eric Jamison made Layup. Assisted by Nate Johnson.,55,94
9:25,-1,Marques Sullivan made Three Point Jumper.,58,94
9:14,2241,Jaheam Cornwall missed Three Point Jumper.,58,94
9:14,-1,Kahlon Whitley Defensive Rebound.,58,94
8:49,-1,Tyquavion Dix missed Jumper.,58,94
8:49,2241,Nate Johnson Block.,58,94
8:49,-1,Tyquavion Dix Turnover.,58,94
8:00,2241,Official TV Timeout,58,94
8:00,2241,Nate Johnson missed Free Throw.,58,94
8:00,2241,Gardner-Webb Offensive Rebound.,58,94
7:50,2241,Nate Johnson made Layup.,58,96
7:39,-1,Tyquavion Dix missed Layup.,58,96
7:39,2241,L'Hassane Niangane Block.,58,96
7:36,-1,Kahlon Whitley Offensive Rebound.,58,96
7:31,-1,Jordan Gant made Three Point Jumper.,61,96
7:24,2241,Nate Johnson missed Three Point Jumper.,61,96
7:24,-1,Kahlon Whitley Defensive Rebound.,61,96
7:11,-1,Jordan Gant missed Three Point Jumper.,61,96
7:11,2241,DJ Laster Defensive Rebound.,61,96
7:02,2241,Liam O'Reilly made Three Point Jumper. Assisted by Nate Johnson.,61,99
6:28,-1,Lukas Juozapavicius missed Three Point Jumper.,61,99
6:28,2241,DJ Laster Defensive Rebound.,61,99
6:19,2241,Liam O'Reilly made Three Point Jumper. Assisted by DJ Laster.,61,102
6:07,-1,Tyquavion Dix missed Three Point Jumper.,61,102
6:07,2241,Nate Johnson Defensive Rebound.,61,102
5:55,2241,L'Hassane Niangane missed Layup.,61,102
5:55,-1,Tyquavion Dix Defensive Rebound.,61,102
5:48,-1,Tyquavion Dix made Layup.,63,102
5:46,2241,Foul on DJ Laster.,63,102
5:46,-1,Tyquavion Dix made Free Throw.,64,102
5:18,2241,Christian Turner missed Three Point Jumper.,64,102
5:18,2241,Christian Turner Offensive Rebound.,64,102
5:16,2241,Nate Johnson missed Three Point Jumper.,64,102
5:16,2241,L'Hassane Niangane Offensive Rebound.,64,102
5:13,2241,L'Hassane Niangane made Layup.,64,104
4:54,-1,Tyquavion Dix missed Three Point Jumper.,64,104
4:54,2241,DJ Laster Defensive Rebound.,64,104
4:46,2241,Liam O'Reilly made Three Point Jumper. Assisted by Christian Turner.,64,107
4:36,-1,Kahlon Whitley made Three Point Jumper. Assisted by Tyquavion Dix.,67,107
4:04,2241,Gardner-Webb  Timeout,67,107
4:01,2241,Nate Johnson made Jumper.,67,109
4:01,-1,Foul on Tyquavion Dix.,67,109
4:01,2241,Nate Johnson missed Free Throw.,67,109
4:01,-1,Merault Almanor Defensive Rebound.,67,109
3:54,-1,Lukas Juozapavicius made Three Point Jumper.,70,109
3:26,2241,Eric Jamison made Layup.,70,111
3:19,-1,Kahlon Whitley made Three Point Jumper.,73,111
3:04,2241,Nate Johnson made Three Point Jumper.,73,114
2:57,-1,Tyquavion Dix made Layup.,75,114
2:46,2241,Nate Johnson made Three Point Jumper. Assisted by Eric Jamison.,75,117
2:37,-1,Tyquavion Dix made Three Point Jumper.,78,117
2:24,2241,Jaheam Cornwall Turnover.,78,117
2:22,-1,Tyquavion Dix Steal.,78,117
2:21,-1,Tyquavion Dix made Three Point Jumper.,81,117
2:06,2241,Gardner-Webb  Timeout,81,117
1:26,-1,Foul on Merault Almanor.,81,117
1:26,2241,Justin Jenkins missed Free Throw.,81,117
1:26,2241,Gardner-Webb Deadball Team Rebound.,81,117
1:26,2241,Justin Jenkins missed Free Throw.,81,117
1:26,2241,Eric Jamison Offensive Rebound.,81,117
1:21,2241,Brandon Miller missed Layup.,81,117
1:21,2241,Gardner-Webb Offensive Rebound.,81,117
1:08,2241,Jamaal Robateau made Jumper. Assisted by Jaheam Cornwall.,81,119
0:58,-1,Tyquavion Dix missed Layup.,81,119
0:58,-1,Tyquavion Dix Offensive Rebound.,81,119
0:55,-1,Jordan Gant missed Three Point Jumper.,81,119
0:55,2241,Jaheam Cornwall Defensive Rebound.,81,119
0:50,2241,Jamaal Robateau missed Layup.,81,119
0:50,-1,Merault Almanor Defensive Rebound.,81,119
0:43,-1,Merault Almanor Turnover.,81,119
0:41,2241,Jaheam Cornwall Steal.,81,119
0:34,2241,Eric Jamison missed Layup.,81,119
0:34,-1,Merault Almanor Defensive Rebound.,81,119
0:24,-1,Lukas Juozapavicius missed Three Point Jumper.,81,119
0:24,-1,Jordan Gant Offensive Rebound.,81,119
0:18,-1,Tyquavion Dix missed Three Point Jumper.,81,119
0:18,-1,Warren Wilson Deadball Team Rebound.,81,119
0:00,2241,End of Game,81,119
