Hartford,2341,LIU Brooklyn,42
5:02,42,J.R. Lynch made Jumper.,31,41
4:45,2341,Raul Frias made Three Point Jumper. Assisted by Jashaun Agosto.,31,44
4:33,2341,Foul on Raiquan Clark.,31,44
4:30,42,Jason Dunne made Layup. Assisted by Jack Hobbs.,33,44
4:09,2341,Raul Frias made Three Point Jumper. Assisted by Jashaun Agosto.,33,47
3:33,42,Jason Dunne missed Three Point Jumper.,33,47
3:33,42,John Carroll Offensive Rebound.,33,47
3:33,2341,Foul on Zach Coleman.,33,47
3:33,2341,Official TV Timeout,33,47
3:33,42,John Carroll made Free Throw.,34,47
3:33,42,John Carroll missed Free Throw.,34,47
3:33,2341,Julius van Sauers Defensive Rebound.,34,47
3:16,2341,Foul on Julius van Sauers.,34,47
3:16,2341,Julius van Sauers Turnover.,34,47
3:02,42,Max Twyman made Jumper. Assisted by John Carroll.,36,47
2:53,2341,Joel Hernandez missed Jumper.,36,47
2:53,42,Jason Dunne Defensive Rebound.,36,47
2:44,42,John Carroll made Layup. Assisted by Jack Hobbs.,38,47
2:42,2341,LIU Brooklyn  Timeout,38,47
2:29,2341,Jamall Robinson missed Layup.,38,47
2:29,42,Jack Hobbs Block.,38,47
2:25,42,J.R. Lynch Defensive Rebound.,38,47
2:20,42,Jason Dunne missed Layup.,38,47
2:20,2341,Raiquan Clark Defensive Rebound.,38,47
2:08,2341,Raul Frias missed Jumper.,38,47
2:08,42,J.R. Lynch Defensive Rebound.,38,47
1:38,2341,Foul on Joel Hernandez.,38,47
1:38,42,Jack Hobbs made Free Throw.,39,47
1:38,42,Jack Hobbs made Free Throw.,40,47
1:25,2341,Jamall Robinson made Three Point Jumper. Assisted by Jashaun Agosto.,40,50
1:10,42,Jack Hobbs missed Three Point Jumper.,40,50
1:10,2341,Joel Hernandez Defensive Rebound.,40,50
1:01,2341,Jamall Robinson missed Three Point Jumper.,40,50
1:01,42,John Carroll Defensive Rebound.,40,50
0:35,42,Jason Dunne made Layup.,42,50
0:08,2341,Raiquan Clark missed Three Point Jumper.,42,50
0:08,42,Jason Dunne Defensive Rebound.,42,50
0:06,2341,Foul on Jamall Robinson.,42,50
0:06,42,Jason Dunne made Free Throw.,43,50
0:06,42,Jason Dunne made Free Throw.,44,50
0:01,2341,Jashaun Agosto missed Jumper.,44,50
0:01,2341,Eral Penn Offensive Rebound.,44,50
0:00,2341,End of 1st half,44,50
19:51,42,Jack Hobbs missed Three Point Jumper.,44,50
19:51,2341,Jashaun Agosto Defensive Rebound.,44,50
19:43,2341,Raiquan Clark missed Layup.,44,50
19:43,42,Jack Hobbs Block.,44,50
19:43,2341,LIU Brooklyn Offensive Rebound.,44,50
19:36,2341,Zach Coleman missed Three Point Jumper.,44,50
19:36,42,Jack Hobbs Defensive Rebound.,44,50
19:23,42,J.R. Lynch made Jumper.,46,50
19:01,2341,Zach Coleman made Three Point Jumper. Assisted by Raiquan Clark.,46,53
18:36,42,John Carroll missed Layup.,46,53
18:36,42,Hassan Attia Offensive Rebound.,46,53
18:32,42,Hassan Attia made Two Point Tip Shot.,48,53
18:10,2341,Joel Hernandez missed Layup.,48,53
18:10,42,Hassan Attia Block.,48,53
18:09,42,Jack Hobbs Defensive Rebound.,48,53
18:03,42,Jack Hobbs missed Three Point Jumper.,48,53
18:03,42,Hassan Attia Offensive Rebound.,48,53
17:59,42,Jason Dunne made Layup. Assisted by Hassan Attia.,50,53
17:36,2341,Joel Hernandez missed Jumper.,50,53
17:36,42,Hassan Attia Block.,50,53
17:35,42,Jack Hobbs Defensive Rebound.,50,53
17:22,42,Hassan Attia made Layup.,52,53
17:20,2341,LIU Brooklyn  Timeout,52,53
17:20,2341,Official TV Timeout,52,53
17:07,42,Foul on Hassan Attia.,52,53
17:07,2341,Raiquan Clark made Free Throw.,52,54
17:07,2341,Raiquan Clark made Free Throw.,52,55
16:51,42,Foul on John Carroll.,52,55
16:51,42,John Carroll Turnover.,52,55
16:40,2341,Joel Hernandez missed Layup.,52,55
16:40,42,Max Twyman Defensive Rebound.,52,55
16:29,42,John Carroll missed Three Point Jumper.,52,55
16:29,2341,Zach Coleman Defensive Rebound.,52,55
16:19,2341,Julian Batts missed Three Point Jumper.,52,55
16:19,2341,Jashaun Agosto Offensive Rebound.,52,55
16:13,2341,Zach Coleman made Layup. Assisted by Joel Hernandez.,52,57
15:51,42,John Carroll missed Jumper.,52,57
15:51,2341,Zach Coleman Defensive Rebound.,52,57
15:41,42,Foul on Jason Dunne.,52,57
15:41,2341,Official TV Timeout,52,57
15:41,2341,Raiquan Clark made Free Throw.,52,58
15:41,2341,Raiquan Clark made Free Throw.,52,59
15:26,42,Jack Hobbs made Three Point Jumper. Assisted by J.R. Lynch.,55,59
15:04,2341,Zach Coleman Turnover.,55,59
15:03,42,Jack Hobbs Steal.,55,59
14:49,42,John Carroll missed Layup.,55,59
14:49,2341,Julian Batts Defensive Rebound.,55,59
14:48,42,Foul on Jack Hobbs.,55,59
14:29,2341,Joel Hernandez made Jumper.,55,61
14:08,42,John Carroll made Layup. Assisted by Jason Dunne.,57,61
14:00,42,Foul on J.R. Lynch.,57,61
13:53,2341,Joel Hernandez Turnover.,57,61
13:40,2341,Foul on Julian Batts.,57,61
13:40,42,J.R. Lynch made Free Throw.,58,61
13:40,42,J.R. Lynch made Free Throw.,59,61
13:23,2341,Jashaun Agosto Turnover.,59,61
12:57,42,J.R. Lynch made Jumper.,61,61
12:49,2341,Jamall Robinson made Three Point Jumper. Assisted by Jashaun Agosto.,61,64
12:22,42,Max Twyman missed Three Point Jumper.,61,64
12:22,2341,Jashaun Agosto Defensive Rebound.,61,64
11:57,2341,Jashaun Agosto missed Jumper.,61,64
11:57,42,Jack Hobbs Defensive Rebound.,61,64
11:39,2341,Foul on Julius van Sauers.,61,64
11:39,2341,Official TV Timeout,61,64
11:26,42,Jason Dunne made Three Point Jumper. Assisted by Travis Weatherington.,64,64
11:09,2341,Raiquan Clark Turnover.,64,64
10:55,2341,Foul on Jashaun Agosto.,64,64
10:55,42,J.R. Lynch made Free Throw.,65,64
10:55,42,J.R. Lynch made Free Throw.,66,64
10:36,2341,Zach Coleman made Three Point Jumper. Assisted by Joel Hernandez.,66,67
10:22,42,Jason Dunne missed Three Point Jumper.,66,67
10:20,2341,Raiquan Clark Defensive Rebound.,66,67
10:19,42,Foul on Jack Hobbs.,66,67
10:06,2341,Jamall Robinson Turnover.,66,67
9:55,42,J.R. Lynch missed Jumper.,66,67
9:55,2341,Jashaun Agosto Defensive Rebound.,66,67
9:47,2341,Zach Coleman missed Layup.,66,67
9:47,42,Jack Hobbs Defensive Rebound.,66,67
9:33,42,Hassan Attia made Dunk. Assisted by Travis Weatherington.,68,67
9:13,2341,Joel Hernandez missed Jumper.,68,67
9:13,42,John Carroll Defensive Rebound.,68,67
8:45,42,Foul on Hassan Attia.,68,67
8:45,42,Hassan Attia Turnover.,68,67
8:31,2341,Raiquan Clark missed Layup.,68,67
8:31,42,Jack Hobbs Defensive Rebound.,68,67
8:06,42,Jason Dunne missed Layup.,68,67
8:06,2341,Zach Coleman Defensive Rebound.,68,67
7:58,2341,Joel Hernandez missed Layup.,68,67
7:58,42,Jack Hobbs Defensive Rebound.,68,67
7:49,42,Jason Dunne Turnover.,68,67
7:48,2341,Jamall Robinson Steal.,68,67
7:45,2341,Raiquan Clark made Layup. Assisted by Jamall Robinson.,68,69
7:45,42,Foul on Jack Hobbs.,68,69
7:45,2341,Official TV Timeout,68,69
7:45,2341,Raiquan Clark made Free Throw.,68,70
7:26,2341,Foul on Jamall Robinson.,68,70
7:15,42,J.R. Lynch made Three Point Jumper.,71,70
7:01,42,Foul on Max Twyman.,71,70
7:01,2341,Raiquan Clark made Free Throw.,71,71
7:01,2341,Raiquan Clark made Free Throw.,71,72
6:45,42,J.R. Lynch missed Jumper.,71,72
6:45,2341,Zach Coleman Defensive Rebound.,71,72
6:34,2341,Raiquan Clark made Layup.,71,74
6:34,42,Foul on John Carroll.,71,74
6:34,2341,Raiquan Clark made Free Throw.,71,75
6:12,42,J.R. Lynch made Layup.,73,75
6:12,2341,Foul on Jashaun Agosto.,73,75
6:12,42,J.R. Lynch missed Free Throw.,73,75
6:12,2341,Raiquan Clark Defensive Rebound.,73,75
5:58,2341,Raiquan Clark made Layup. Assisted by Zach Coleman.,73,77
5:30,42,Jason Dunne missed Three Point Jumper.,73,77
5:29,2341,Zach Coleman Defensive Rebound.,73,77
5:20,2341,Jashaun Agosto made Jumper.,73,79
5:14,42,Hartford  Timeout,73,79
5:07,42,Jack Hobbs missed Three Point Jumper.,73,79
5:07,2341,Joel Hernandez Defensive Rebound.,73,79
4:52,2341,Jashaun Agosto missed Layup.,73,79
4:50,42,Hartford Defensive Rebound.,73,79
4:39,42,Hassan Attia missed Layup.,73,79
4:39,2341,Zach Coleman Block.,73,79
4:38,2341,Joel Hernandez Defensive Rebound.,73,79
4:34,2341,Raiquan Clark made Layup. Assisted by Joel Hernandez.,73,81
4:13,42,Foul on John Carroll.,73,81
4:13,42,John Carroll Turnover.,73,81
3:56,2341,Zach Coleman missed Three Point Jumper.,73,81
3:56,2341,Raiquan Clark Offensive Rebound.,73,81
3:52,2341,Raiquan Clark missed Layup.,73,81
3:52,42,John Carroll Block.,73,81
3:51,42,J.R. Lynch Defensive Rebound.,73,81
3:39,42,Jason Dunne made Layup.,75,81
3:17,42,Foul on Jason Dunne.,75,81
3:17,2341,Official TV Timeout,75,81
3:17,2341,Joel Hernandez made Free Throw.,75,82
3:17,2341,Joel Hernandez made Free Throw.,75,83
3:07,42,Jason Dunne made Three Point Jumper. Assisted by J.R. Lynch.,78,83
2:42,2341,Foul on Raiquan Clark.,78,83
2:42,2341,Raiquan Clark Turnover.,78,83
2:31,42,J.R. Lynch Turnover.,78,83
2:30,2341,Zach Coleman Steal.,78,83
2:10,2341,Zach Coleman missed Three Point Jumper.,78,83
2:10,42,Jack Hobbs Defensive Rebound.,78,83
2:00,42,J.R. Lynch missed Layup.,78,83
2:00,2341,Raiquan Clark Defensive Rebound.,78,83
1:57,2341,Raiquan Clark Turnover.,78,83
1:56,42,J.R. Lynch Steal.,78,83
1:55,2341,Foul on Raiquan Clark.,78,83
1:55,42,J.R. Lynch made Free Throw.,79,83
1:55,42,J.R. Lynch made Free Throw.,80,83
1:30,2341,Jashaun Agosto made Three Point Jumper. Assisted by Joel Hernandez.,80,86
1:16,2341,Foul on Jamall Robinson.,80,86
1:16,42,Jack Hobbs made Free Throw.,81,86
1:16,42,Jack Hobbs made Free Throw.,82,86
0:54,2341,Joel Hernandez missed Jumper.,82,86
0:54,42,Jack Hobbs Defensive Rebound.,82,86
0:43,42,J.R. Lynch missed Jumper.,82,86
0:42,42,Hassan Attia Offensive Rebound.,82,86
0:40,42,Hassan Attia made Layup.,84,86
0:15,2341,Zach Coleman missed Three Point Jumper.,84,86
0:15,42,Jack Hobbs Defensive Rebound.,84,86
0:03,42,J.R. Lynch missed Three Point Jumper.,84,86
0:02,2341,Jamall Robinson Defensive Rebound.,84,86
0:00,2341,End of Game,84,86
