La Salle,77,Northwestern,2325
12:13,2325,Miles Brookins Defensive Rebound.,11,13
11:57,2325,Miles Brookins made Layup. Assisted by Pookie Powell.,13,13
11:32,77,Vic Law made Layup.,13,15
11:16,77,Official TV Timeout,13,15
11:08,2325,B.J. Johnson missed Jumper.,13,15
11:08,77,Scottie Lindsey Defensive Rebound.,13,15
10:53,2325,Foul on Miles Brookins.,13,15
10:53,77,Aaron Falzon made Free Throw.,13,16
10:53,77,Aaron Falzon made Free Throw.,13,17
10:37,2325,Isiah Deas Turnover.,13,17
10:36,77,Scottie Lindsey Steal.,13,17
10:27,77,Scottie Lindsey missed Three Point Jumper.,13,17
10:27,2325,Isiah Deas Defensive Rebound.,13,17
10:27,2325,B.J. Johnson missed Free Throw.,13,17
10:27,2325,La Salle Deadball Team Rebound.,13,17
10:27,2325,B.J. Johnson made Free Throw.,14,17
10:24,77,Foul on Bryant McIntosh.,14,17
10:03,77,Bryant McIntosh made Jumper.,14,19
9:47,2325,Isiah Deas missed Layup.,14,19
9:47,77,Scottie Lindsey Defensive Rebound.,14,19
9:38,77,Scottie Lindsey made Layup.,14,21
9:23,2325,La Salle  Timeout,14,21
9:08,2325,Pookie Powell made Layup.,16,21
8:39,2325,Foul on Amar Stukes.,16,21
8:39,77,Gavin Skelly made Free Throw.,16,22
8:39,77,Gavin Skelly made Free Throw.,16,23
8:21,2325,Saul Phiri missed Three Point Jumper.,16,23
8:21,77,Scottie Lindsey Defensive Rebound.,16,23
8:15,77,Foul on Gavin Skelly.,16,23
8:15,77,Gavin Skelly Turnover.,16,23
8:05,2325,Pookie Powell missed Three Point Jumper.,16,23
8:05,2325,Tony Washington Offensive Rebound.,16,23
8:00,2325,Tony Washington made Layup.,18,23
7:49,77,Dererk Pardon made Layup.,18,25
7:30,2325,B.J. Johnson missed Three Point Jumper.,18,25
7:30,2325,Saul Phiri Offensive Rebound.,18,25
7:13,2325,Tony Washington Turnover.,18,25
7:13,77,Official TV Timeout,18,25
6:57,77,Bryant McIntosh made Three Point Jumper.,18,28
6:34,2325,Amar Stukes missed Three Point Jumper.,18,28
6:34,77,Dererk Pardon Defensive Rebound.,18,28
6:17,77,Aaron Falzon made Three Point Jumper. Assisted by Bryant McIntosh.,18,31
6:01,2325,B.J. Johnson made Layup.,20,31
5:40,77,Dererk Pardon made Layup.,20,33
5:08,2325,Pookie Powell missed Jumper.,20,33
5:08,77,Dererk Pardon Block.,20,33
5:06,77,Scottie Lindsey Defensive Rebound.,20,33
5:03,77,Vic Law missed Three Point Jumper.,20,33
5:03,2325,Pookie Powell Defensive Rebound.,20,33
4:58,2325,Pookie Powell Turnover.,20,33
4:47,77,Scottie Lindsey made Three Point Jumper. Assisted by Vic Law.,20,36
4:43,2325,La Salle  Timeout,20,36
4:32,2325,B.J. Johnson made Layup.,22,36
4:17,77,Scottie Lindsey missed Three Point Jumper.,22,36
4:17,77,Dererk Pardon Offensive Rebound.,22,36
4:15,2325,Foul on Miles Brookins.,22,36
4:06,77,Dererk Pardon made Layup. Assisted by Bryant McIntosh.,22,38
3:52,2325,B.J. Johnson missed Three Point Jumper.,22,38
3:52,77,Dererk Pardon Defensive Rebound.,22,38
3:31,77,Vic Law missed Jumper.,22,38
3:31,77,Vic Law Offensive Rebound.,22,38
3:29,77,Vic Law made Layup.,22,40
3:11,2325,Johnnie Shuler made Jumper. Assisted by Pookie Powell.,24,40
2:49,2325,Foul on Miles Brookins.,24,40
2:49,77,Official TV Timeout,24,40
2:29,77,Dererk Pardon Turnover.,24,40
2:21,2325,Johnnie Shuler missed Three Point Jumper.,24,40
2:21,77,Northwestern Defensive Rebound.,24,40
2:20,2325,Foul on Tony Washington.,24,40
2:04,77,Scottie Lindsey missed Layup.,24,40
2:04,77,Gavin Skelly Offensive Rebound.,24,40
2:01,77,Gavin Skelly made Layup.,24,42
1:52,2325,B.J. Johnson Turnover.,24,42
1:36,77,Dererk Pardon made Layup. Assisted by Vic Law.,24,44
1:22,2325,Amar Stukes missed Layup.,24,44
1:22,77,Aaron Falzon Defensive Rebound.,24,44
1:12,77,Foul on Dererk Pardon.,24,44
1:12,77,Dererk Pardon Turnover.,24,44
0:47,2325,Pookie Powell missed Three Point Jumper.,24,44
0:47,77,Vic Law Defensive Rebound.,24,44
0:30,77,Vic Law made Jumper.,24,46
0:00,2325,Isiah Deas missed Layup.,24,46
0:00,77,Barret Benson Block.,24,46
0:00,2325,La Salle Offensive Rebound.,24,46
0:00,77,End of 1st half,24,46
19:48,77,Scottie Lindsey made Jumper.,24,48
19:32,2325,Tony Washington made Layup. Assisted by Pookie Powell.,26,48
19:14,77,Dererk Pardon made Jumper. Assisted by Bryant McIntosh.,26,50
19:02,77,Foul on Vic Law.,26,50
18:48,2325,Amar Stukes Turnover.,26,50
18:34,77,Scottie Lindsey made Jumper. Assisted by Gavin Skelly.,26,52
18:17,2325,Saul Phiri made Three Point Jumper. Assisted by Amar Stukes.,29,52
18:01,77,Dererk Pardon Turnover.,29,52
17:43,2325,Amar Stukes made Layup.,31,52
17:43,77,Foul on Dererk Pardon.,31,52
17:43,2325,Amar Stukes made Free Throw.,32,52
17:33,77,Vic Law missed Three Point Jumper.,32,52
17:33,2325,Amar Stukes Defensive Rebound.,32,52
17:21,2325,Tony Washington made Dunk. Assisted by Pookie Powell.,34,52
17:21,77,Foul on Barret Benson.,34,52
17:21,2325,Tony Washington missed Free Throw.,34,52
17:21,77,Barret Benson Defensive Rebound.,34,52
17:14,77,Scottie Lindsey Turnover.,34,52
17:12,2325,B.J. Johnson Steal.,34,52
17:11,2325,B.J. Johnson made Dunk.,36,52
17:06,77,Official TV Timeout,36,52
16:59,77,Scottie Lindsey missed Three Point Jumper.,36,52
16:59,2325,La Salle Defensive Rebound.,36,52
16:41,2325,Pookie Powell missed Layup.,36,52
16:41,77,Bryant McIntosh Defensive Rebound.,36,52
16:21,77,Bryant McIntosh missed Jumper.,36,52
16:21,2325,Tony Washington Defensive Rebound.,36,52
16:12,77,Foul on Barret Benson.,36,52
16:06,2325,B.J. Johnson made Layup.,38,52
15:51,77,Aaron Falzon made Three Point Jumper. Assisted by Bryant McIntosh.,38,55
15:29,2325,Tony Washington made Layup.,40,55
15:07,77,Aaron Falzon Turnover.,40,55
15:05,2325,Amar Stukes Steal.,40,55
15:04,77,Foul on Gavin Skelly.,40,55
15:04,77,Official TV Timeout,40,55
15:04,2325,Amar Stukes made Free Throw.,41,55
15:04,2325,Amar Stukes made Free Throw.,42,55
14:52,77,Scottie Lindsey made Dunk.,42,57
14:35,77,Foul on Gavin Skelly.,42,57
14:23,2325,Tony Washington missed Layup.,42,57
14:23,77,Barret Benson Block.,42,57
14:21,77,Barret Benson Defensive Rebound.,42,57
14:12,77,Bryant McIntosh missed Jumper.,42,57
14:12,77,Scottie Lindsey Offensive Rebound.,42,57
13:41,77,Bryant McIntosh missed Jumper.,42,57
13:41,77,Vic Law Offensive Rebound.,42,57
13:35,77,Aaron Falzon missed Three Point Jumper.,42,57
13:35,2325,Isiah Deas Defensive Rebound.,42,57
13:21,2325,B.J. Johnson made Three Point Jumper.,45,57
12:58,2325,Foul on B.J. Johnson.,45,57
12:52,77,Vic Law missed Jumper.,45,57
12:52,77,Vic Law Offensive Rebound.,45,57
12:49,77,Vic Law made Layup.,45,59
12:37,2325,Amar Stukes made Layup.,47,59
12:23,77,Bryant McIntosh Turnover.,47,59
12:22,2325,B.J. Johnson Steal.,47,59
12:21,77,Foul on Scottie Lindsey.,47,59
12:21,2325,B.J. Johnson made Free Throw.,48,59
12:21,2325,B.J. Johnson missed Free Throw.,48,59
12:21,2325,B.J. Johnson Offensive Rebound.,48,59
12:20,2325,B.J. Johnson Turnover.,48,59
12:03,77,Bryant McIntosh missed Jumper.,48,59
12:03,2325,Isiah Deas Defensive Rebound.,48,59
11:50,2325,B.J. Johnson made Three Point Jumper. Assisted by Miles Brookins.,51,59
11:28,77,Scottie Lindsey made Three Point Jumper. Assisted by Gavin Skelly.,51,62
11:02,2325,Saul Phiri missed Three Point Jumper.,51,62
11:02,77,Northwestern Defensive Rebound.,51,62
11:00,2325,Foul on Amar Stukes.,51,62
11:00,77,Official TV Timeout,51,62
10:35,77,Vic Law missed Jumper.,51,62
10:35,2325,B.J. Johnson Defensive Rebound.,51,62
10:24,2325,B.J. Johnson made Jumper.,53,62
10:01,77,Bryant McIntosh missed Three Point Jumper.,53,62
10:01,77,Dererk Pardon Offensive Rebound.,53,62
9:58,2325,Foul on Miles Brookins.,53,62
9:58,77,Dererk Pardon made Free Throw.,53,63
9:58,77,Dererk Pardon made Free Throw.,53,64
9:58,2325,Amar Stukes made Jumper.,55,64
9:58,77,Dererk Pardon missed Layup.,55,64
9:58,2325,B.J. Johnson Defensive Rebound.,55,64
9:56,2325,Saul Phiri Turnover.,55,64
8:52,77,Bryant McIntosh Turnover.,55,64
8:50,2325,Saul Phiri Steal.,55,64
8:42,2325,Pookie Powell missed Three Point Jumper.,55,64
8:42,2325,B.J. Johnson Offensive Rebound.,55,64
8:38,2325,B.J. Johnson made Jumper.,57,64
8:16,77,Bryant McIntosh made Three Point Jumper.,57,67
8:07,77,Official TV Timeout,57,67
7:56,77,Foul on Vic Law.,57,67
7:56,2325,B.J. Johnson missed Free Throw.,57,67
7:56,77,Dererk Pardon Defensive Rebound.,57,67
7:42,2325,Foul on Amar Stukes.,57,67
7:28,77,Dererk Pardon made Dunk. Assisted by Gavin Skelly.,57,69
7:10,2325,Amar Stukes missed Layup.,57,69
7:10,77,Dererk Pardon Block.,57,69
7:10,2325,La Salle Offensive Rebound.,57,69
6:56,2325,Pookie Powell missed Three Point Jumper.,57,69
6:56,77,Northwestern Defensive Rebound.,57,69
6:40,77,Gavin Skelly Turnover.,57,69
6:39,2325,Amar Stukes Steal.,57,69
6:28,2325,Pookie Powell made Layup.,59,69
6:08,77,Bryant McIntosh made Jumper.,59,71
5:38,2325,Saul Phiri made Jumper.,61,71
5:17,77,Scottie Lindsey made Three Point Jumper. Assisted by Vic Law.,61,74
4:53,2325,Amar Stukes missed Three Point Jumper.,61,74
4:53,77,Northwestern Defensive Rebound.,61,74
4:52,2325,Foul on Tony Washington.,61,74
4:33,77,Bryant McIntosh made Three Point Jumper.,61,77
4:14,77,Foul on Dererk Pardon.,61,77
4:14,2325,Isiah Deas missed Free Throw.,61,77
4:14,2325,La Salle Deadball Team Rebound.,61,77
4:14,2325,Isiah Deas made Free Throw.,62,77
3:55,77,Aaron Falzon made Three Point Jumper. Assisted by Bryant McIntosh.,62,80
3:40,2325,Foul on Tony Washington.,62,80
3:40,2325,Tony Washington Turnover.,62,80
3:40,77,Official TV Timeout,62,80
3:15,77,Bryant McIntosh made Jumper.,62,82
3:00,2325,Miles Brookins made Layup.,64,82
2:33,77,Aaron Falzon missed Three Point Jumper.,64,82
2:33,2325,La Salle Defensive Rebound.,64,82
2:30,77,Foul on Anthony Gaines.,64,82
2:30,2325,Miles Brookins made Free Throw.,65,82
2:30,2325,Miles Brookins made Free Throw.,66,82
2:08,77,Isiah Brown Turnover.,66,82
2:06,2325,Isiah Deas Steal.,66,82
2:02,2325,Isiah Deas made Layup.,68,82
1:35,77,Isiah Brown missed Jumper.,68,82
1:35,2325,Miles Brookins Defensive Rebound.,68,82
1:24,2325,Isiah Deas missed Three Point Jumper.,68,82
1:24,77,Barret Benson Defensive Rebound.,68,82
1:09,77,Northwestern  Timeout,68,82
0:50,77,Isiah Brown Turnover.,68,82
0:49,2325,Jamir Moultrie Steal.,68,82
0:46,2325,Jamir Moultrie made Layup.,70,82
0:19,77,Isiah Brown missed Layup.,70,82
0:19,2325,Cian Sullivan Block.,70,82
0:16,2325,Isiah Deas Defensive Rebound.,70,82
0:12,2325,Isiah Deas missed Layup.,70,82
0:12,77,Barret Benson Block.,70,82
0:12,2325,La Salle Offensive Rebound.,70,82
0:10,77,Foul on Barret Benson.,70,82
0:10,2325,Cian Sullivan made Free Throw.,71,82
0:10,2325,Cian Sullivan missed Free Throw.,71,82
0:10,2325,Isiah Deas Offensive Rebound.,71,82
0:07,2325,Isiah Deas made Layup.,73,82
0:07,77,Foul on Rapolas Ivanauskas.,73,82
0:07,2325,Isiah Deas made Free Throw.,74,82
0:00,77,End of Game,74,82
