Bucknell,154,Wake Forest,2083
14:09,154,Keyshawn Woods made Three Point Jumper. Assisted by Brandon Childress.,5,18
13:42,2083,Nate Jones missed Jumper.,5,18
13:42,154,Doral Moore Defensive Rebound.,5,18
13:38,154,Doral Moore Turnover.,5,18
13:38,2083,Bucknell  Timeout,5,18
13:31,2083,Nate Jones made Three Point Jumper. Assisted by Matt O'Reilly.,8,18
13:10,154,Keyshawn Woods made Three Point Jumper. Assisted by Brandon Childress.,8,21
12:55,2083,Nate Jones Turnover.,8,21
12:41,154,Greg McClinton Turnover.,8,21
12:40,2083,Nana Foulland Steal.,8,21
12:32,154,Foul on Austin Arians.,8,21
12:24,2083,Nana Foulland missed Jumper.,8,21
12:24,154,Doral Moore Block.,8,21
12:22,154,Brandon Childress Defensive Rebound.,8,21
12:20,2083,Foul on Nana Foulland.,8,21
12:11,154,Brandon Childress missed Three Point Jumper.,8,21
12:11,2083,D.J. MacLeay Defensive Rebound.,8,21
12:02,2083,Foul on Kimbal Mackenzie.,8,21
12:02,2083,Kimbal Mackenzie Turnover.,8,21
11:40,154,Keyshawn Woods made Three Point Jumper. Assisted by Brandon Childress.,8,24
11:15,2083,Zach Thomas missed Jumper.,8,24
11:15,154,Austin Arians Defensive Rebound.,8,24
11:05,154,Austin Arians missed Three Point Jumper.,8,24
11:05,2083,Stephen Brown Defensive Rebound.,8,24
10:56,2083,Nate Jones made Layup. Assisted by Stephen Brown.,10,24
10:56,154,Foul on Austin Arians.,10,24
10:56,154,Official TV Timeout,10,24
10:56,2083,Nate Jones made Free Throw.,11,24
10:45,2083,Foul on D.J. MacLeay.,11,24
10:45,154,John Collins made Free Throw.,11,25
10:45,154,John Collins made Free Throw.,11,26
10:28,2083,Stephen Brown missed Three Point Jumper.,11,26
10:28,2083,D.J. MacLeay Offensive Rebound.,11,26
10:25,154,Foul on John Collins.,11,26
10:20,2083,Zach Thomas made Three Point Jumper. Assisted by Stephen Brown.,14,26
10:05,2083,Foul on D.J. MacLeay.,14,26
10:05,154,John Collins made Free Throw.,14,27
10:05,154,John Collins made Free Throw.,14,28
9:47,2083,Stephen Brown missed Three Point Jumper.,14,28
9:47,154,Konstantinos Mitoglou Defensive Rebound.,14,28
9:35,154,Konstantinos Mitoglou Turnover.,14,28
9:34,2083,Kimbal Mackenzie Steal.,14,28
9:30,2083,Kimbal Mackenzie missed Layup.,14,28
9:30,154,Konstantinos Mitoglou Block.,14,28
9:30,2083,Bucknell Offensive Rebound.,14,28
9:25,2083,Nate Sestina missed Layup.,14,28
9:25,2083,Nate Sestina Offensive Rebound.,14,28
9:21,2083,Nate Sestina made Layup.,16,28
9:21,154,Foul on Konstantinos Mitoglou.,16,28
9:21,2083,Nate Sestina made Free Throw.,17,28
9:11,2083,Foul on Nate Sestina.,17,28
9:11,154,John Collins missed Free Throw.,17,28
9:11,154,Wake Forest Deadball Team Rebound.,17,28
9:11,154,John Collins made Free Throw.,17,29
8:50,2083,Nana Foulland made Jumper.,19,29
8:32,154,Brandon Childress missed Jumper.,19,29
8:32,2083,Nana Foulland Block.,19,29
8:30,2083,Bucknell Defensive Rebound.,19,29
8:15,2083,John Azzinaro missed Three Point Jumper.,19,29
8:15,2083,Zach Thomas Offensive Rebound.,19,29
8:09,2083,John Azzinaro made Three Point Jumper. Assisted by Zach Thomas.,22,29
8:02,154,Wake Forest  Timeout,22,29
7:52,2083,Foul on Bruce Moore.,22,29
7:52,154,Keyshawn Woods missed Free Throw.,22,29
7:52,154,Wake Forest Deadball Team Rebound.,22,29
7:52,154,Keyshawn Woods made Free Throw.,22,30
7:31,2083,Zach Thomas missed Three Point Jumper.,22,30
7:31,2083,Bruce Moore Offensive Rebound.,22,30
7:23,2083,John Azzinaro missed Layup.,22,30
7:23,154,Doral Moore Block.,22,30
7:22,2083,Kimbal Mackenzie Offensive Rebound.,22,30
7:20,2083,Kimbal Mackenzie made Layup.,24,30
6:57,154,Bryant Crawford made Layup.,24,32
6:36,2083,Kimbal Mackenzie made Three Point Jumper. Assisted by Nate Jones.,27,32
6:19,154,Bryant Crawford made Layup.,27,34
5:51,2083,Kimbal Mackenzie missed Layup.,27,34
5:51,154,Doral Moore Block.,27,34
5:51,154,Doral Moore Defensive Rebound.,27,34
5:43,2083,Foul on Bruce Moore.,27,34
5:43,154,Brandon Childress made Free Throw.,27,35
5:43,154,Brandon Childress made Free Throw.,27,36
5:21,2083,Bruce Moore missed Three Point Jumper.,27,36
5:21,154,Keyshawn Woods Defensive Rebound.,27,36
5:14,154,Mitchell Wilbekin missed Three Point Jumper.,27,36
5:14,154,Konstantinos Mitoglou Offensive Rebound.,27,36
5:00,154,Konstantinos Mitoglou missed Three Point Jumper.,27,36
5:00,2083,Nana Foulland Defensive Rebound.,27,36
4:43,2083,John Azzinaro missed Jumper.,27,36
4:43,2083,Ben Robertson Offensive Rebound.,27,36
4:36,2083,Bruce Moore made Three Point Jumper. Assisted by John Azzinaro.,30,36
4:22,154,Bryant Crawford missed Three Point Jumper.,30,36
4:22,2083,Nana Foulland Defensive Rebound.,30,36
4:06,2083,Bruce Moore missed Three Point Jumper.,30,36
4:06,154,Mitchell Wilbekin Defensive Rebound.,30,36
3:43,2083,Foul on Bruce Moore.,30,36
3:43,154,Official TV Timeout,30,36
3:43,154,Konstantinos Mitoglou made Free Throw.,30,37
3:43,154,Konstantinos Mitoglou made Free Throw.,30,38
3:33,2083,Nate Jones Turnover.,30,38
3:32,154,John Collins Steal.,30,38
3:21,154,John Collins missed Jumper.,30,38
3:21,2083,Zach Thomas Defensive Rebound.,30,38
3:08,2083,Zach Thomas Turnover.,30,38
3:07,154,Austin Arians Steal.,30,38
3:04,154,Austin Arians missed Layup.,30,38
3:04,154,Keyshawn Woods Offensive Rebound.,30,38
3:02,154,Keyshawn Woods made Jumper.,30,40
2:48,2083,Stephen Brown Turnover.,30,40
2:47,154,John Collins Steal.,30,40
2:44,154,Keyshawn Woods made Layup. Assisted by Bryant Crawford.,30,42
2:24,154,Foul on John Collins.,30,42
2:24,2083,D.J. MacLeay missed Free Throw.,30,42
2:24,154,John Collins Defensive Rebound.,30,42
2:12,154,John Collins missed Jumper.,30,42
2:12,2083,D.J. MacLeay Defensive Rebound.,30,42
2:03,2083,Zach Thomas missed Layup.,30,42
2:03,154,John Collins Block.,30,42
2:02,154,Bryant Crawford Defensive Rebound.,30,42
1:49,154,Mitchell Wilbekin missed Jumper.,30,42
1:49,154,Mitchell Wilbekin Offensive Rebound.,30,42
1:46,2083,Foul on D.J. MacLeay.,30,42
1:46,154,Doral Moore made Free Throw.,30,43
1:46,154,Doral Moore made Free Throw.,30,44
1:33,2083,D.J. MacLeay missed Three Point Jumper.,30,44
1:33,154,Brandon Childress Defensive Rebound.,30,44
1:23,154,Austin Arians Turnover.,30,44
1:22,2083,Kimbal Mackenzie Steal.,30,44
1:18,154,Foul on Bryant Crawford.,30,44
1:18,2083,Kimbal Mackenzie missed Free Throw.,30,44
1:18,2083,Bucknell Deadball Team Rebound.,30,44
1:18,2083,Kimbal Mackenzie made Free Throw.,31,44
0:58,154,Konstantinos Mitoglou made Layup. Assisted by Keyshawn Woods.,31,46
0:56,2083,Foul on D.J. MacLeay.,31,46
0:56,154,Konstantinos Mitoglou made Free Throw.,31,47
0:42,2083,D.J. MacLeay made Layup.,33,47
0:28,154,Keyshawn Woods missed Three Point Jumper.,33,47
0:28,154,Konstantinos Mitoglou Offensive Rebound.,33,47
0:24,154,Konstantinos Mitoglou Turnover.,33,47
0:22,2083,Kimbal Mackenzie Steal.,33,47
0:04,2083,Nate Jones missed Three Point Jumper.,33,47
0:04,154,Keyshawn Woods Defensive Rebound.,33,47
0:00,154,End of 1st half,33,47
19:38,2083,Kimbal Mackenzie made Jumper.,35,47
19:13,2083,Foul on Nana Foulland.,35,47
19:13,154,John Collins made Free Throw.,35,48
19:13,154,John Collins made Free Throw.,35,49
18:51,2083,Kimbal Mackenzie made Three Point Jumper.,38,49
18:32,154,John Collins missed Jumper.,38,49
18:32,2083,Nana Foulland Defensive Rebound.,38,49
18:14,154,Foul on Konstantinos Mitoglou.,38,49
18:05,2083,Kimbal Mackenzie missed Three Point Jumper.,38,49
18:05,154,Bryant Crawford Defensive Rebound.,38,49
17:54,154,John Collins missed Layup.,38,49
17:54,154,John Collins Offensive Rebound.,38,49
17:51,154,John Collins made Layup.,38,51
17:51,2083,Foul on Zach Thomas.,38,51
17:51,154,John Collins made Free Throw.,38,52
17:41,2083,Stephen Brown made Layup.,40,52
17:32,154,Bryant Crawford missed Layup.,40,52
17:32,2083,Nana Foulland Defensive Rebound.,40,52
17:31,154,Foul on John Collins.,40,52
17:11,2083,Nana Foulland missed Layup.,40,52
17:11,154,Mitchell Wilbekin Defensive Rebound.,40,52
16:50,154,Bryant Crawford missed Layup.,40,52
16:50,154,Wake Forest Offensive Rebound.,40,52
16:40,154,Doral Moore Turnover.,40,52
16:32,2083,Zach Thomas made Three Point Jumper. Assisted by Stephen Brown.,43,52
16:13,154,Keyshawn Woods made Jumper.,43,54
15:58,2083,Nate Jones made Layup.,45,54
15:40,154,Austin Arians made Three Point Jumper. Assisted by Bryant Crawford.,45,57
15:16,2083,Zach Thomas missed Jumper.,45,57
15:16,2083,Nana Foulland Offensive Rebound.,45,57
15:14,2083,Nana Foulland made Layup.,47,57
14:53,154,Mitchell Wilbekin made Jumper.,47,59
14:42,154,Foul on Doral Moore.,47,59
14:42,154,Official TV Timeout,47,59
14:32,2083,Nate Sestina made Layup. Assisted by Stephen Brown.,49,59
14:08,154,Austin Arians made Three Point Jumper. Assisted by Brandon Childress.,49,62
14:06,2083,Foul on Zach Thomas.,49,62
14:06,154,Austin Arians made Free Throw.,49,63
13:41,154,Foul on Keyshawn Woods.,49,63
13:30,2083,Nana Foulland missed Jumper.,49,63
13:30,154,Bryant Crawford Defensive Rebound.,49,63
13:12,154,Konstantinos Mitoglou made Three Point Jumper. Assisted by Bryant Crawford.,49,66
12:50,2083,Matt O'Reilly missed Three Point Jumper.,49,66
12:50,154,Konstantinos Mitoglou Defensive Rebound.,49,66
12:41,154,Brandon Childress made Layup.,49,68
12:40,2083,Foul on John Azzinaro.,49,68
12:40,154,Brandon Childress made Free Throw.,49,69
12:22,2083,Nana Foulland missed Layup.,49,69
12:22,154,Mitchell Wilbekin Defensive Rebound.,49,69
12:10,154,Konstantinos Mitoglou missed Three Point Jumper.,49,69
12:10,2083,Stephen Brown Defensive Rebound.,49,69
12:02,2083,Kimbal Mackenzie made Layup. Assisted by Stephen Brown.,51,69
11:31,154,Konstantinos Mitoglou missed Jumper.,51,69
11:31,154,Greg McClinton Offensive Rebound.,51,69
11:29,154,Greg McClinton made Layup.,51,71
11:15,2083,Nana Foulland made Jumper. Assisted by Kimbal Mackenzie.,53,71
11:15,154,Foul on Konstantinos Mitoglou.,53,71
11:15,154,Official TV Timeout,53,71
11:15,2083,Nana Foulland missed Free Throw.,53,71
11:15,154,John Collins Defensive Rebound.,53,71
10:58,154,John Collins made Jumper.,53,73
10:32,2083,Zach Thomas made Jumper.,55,73
10:16,154,Mitchell Wilbekin made Three Point Jumper. Assisted by Brandon Childress.,55,76
10:03,2083,Zach Thomas missed Three Point Jumper.,55,76
10:03,2083,Kimbal Mackenzie Offensive Rebound.,55,76
9:49,154,Foul on Greg McClinton.,55,76
9:46,2083,Kimbal Mackenzie missed Three Point Jumper.,55,76
9:46,2083,Nate Jones Offensive Rebound.,55,76
9:35,2083,Nana Foulland made Jumper.,57,76
9:14,154,Bryant Crawford missed Three Point Jumper.,57,76
9:14,154,Greg McClinton Offensive Rebound.,57,76
9:12,2083,Foul on Kimbal Mackenzie.,57,76
9:08,154,Greg McClinton missed Jumper.,57,76
9:08,154,John Collins Offensive Rebound.,57,76
9:02,154,John Collins missed Layup.,57,76
9:02,154,Greg McClinton Offensive Rebound.,57,76
9:01,154,Greg McClinton missed Layup.,57,76
9:01,2083,Nana Foulland Block.,57,76
9:00,2083,Nana Foulland Defensive Rebound.,57,76
8:48,2083,Nana Foulland Turnover.,57,76
8:23,154,Austin Arians missed Three Point Jumper.,57,76
8:23,154,Austin Arians Offensive Rebound.,57,76
8:18,154,Austin Arians Turnover.,57,76
8:17,2083,Kimbal Mackenzie Steal.,57,76
8:14,2083,Kimbal Mackenzie made Layup.,59,76
7:49,154,John Collins made Jumper. Assisted by Bryant Crawford.,59,78
7:22,2083,Kimbal Mackenzie missed Layup.,59,78
7:22,154,Austin Arians Defensive Rebound.,59,78
7:15,154,Official TV Timeout,59,78
7:10,2083,Foul on Nate Sestina.,59,78
7:10,154,Greg McClinton missed Free Throw.,59,78
7:10,154,Wake Forest Deadball Team Rebound.,59,78
7:10,154,Greg McClinton missed Free Throw.,59,78
7:10,2083,Nana Foulland Defensive Rebound.,59,78
6:49,2083,Nana Foulland made Jumper.,61,78
6:32,154,John Collins Turnover.,61,78
6:24,2083,Matt O'Reilly missed Three Point Jumper.,61,78
6:24,2083,Nate Sestina Offensive Rebound.,61,78
6:21,2083,Nate Sestina made Layup.,63,78
6:06,154,Austin Arians missed Three Point Jumper.,63,78
6:06,2083,Nana Foulland Defensive Rebound.,63,78
6:02,2083,Stephen Brown Turnover.,63,78
5:48,2083,Foul on Matt O'Reilly.,63,78
5:48,154,John Collins made Free Throw.,63,79
5:48,154,John Collins made Free Throw.,63,80
5:40,154,Foul on Bryant Crawford.,63,80
5:40,2083,Stephen Brown made Free Throw.,64,80
5:40,2083,Stephen Brown missed Free Throw.,64,80
5:40,154,Konstantinos Mitoglou Defensive Rebound.,64,80
5:24,154,John Collins made Dunk. Assisted by Bryant Crawford.,64,82
5:02,2083,Zach Thomas made Jumper.,66,82
5:02,154,Foul on Mitchell Wilbekin.,66,82
5:02,2083,Zach Thomas made Free Throw.,67,82
4:42,154,Konstantinos Mitoglou missed Three Point Jumper.,67,82
4:42,154,John Collins Offensive Rebound.,67,82
4:19,154,Mitchell Wilbekin made Jumper.,67,84
3:57,2083,Kimbal Mackenzie missed Jumper.,67,84
3:57,154,Wake Forest Defensive Rebound.,67,84
3:55,154,Official TV Timeout,67,84
3:29,154,Keyshawn Woods made Three Point Jumper. Assisted by Bryant Crawford.,67,87
3:08,2083,Zach Thomas Turnover.,67,87
2:53,154,Keyshawn Woods made Three Point Jumper. Assisted by Mitchell Wilbekin.,67,90
2:36,2083,Stephen Brown made Layup.,69,90
2:09,2083,Foul on Zach Thomas.,69,90
2:09,154,Bryant Crawford made Free Throw.,69,91
2:09,154,Bryant Crawford made Free Throw.,69,92
1:53,2083,Nate Sestina made Three Point Jumper. Assisted by Avi Toomer.,72,92
1:35,154,Rich Washington missed Three Point Jumper.,72,92
1:35,154,John Collins Offensive Rebound.,72,92
1:33,2083,Foul on Bruce Moore.,72,92
1:33,154,John Collins missed Free Throw.,72,92
1:33,2083,D.J. MacLeay Defensive Rebound.,72,92
1:14,2083,Nate Sestina missed Jumper.,72,92
1:14,2083,D.J. MacLeay Offensive Rebound.,72,92
0:52,2083,Avi Toomer missed Layup.,72,92
0:52,2083,Ben Robertson Offensive Rebound.,72,92
0:50,2083,Ben Robertson missed Layup.,72,92
0:50,154,Konstantinos Mitoglou Block.,72,92
0:48,2083,Bucknell Offensive Rebound.,72,92
0:35,2083,D.J. MacLeay missed Three Point Jumper.,72,92
0:35,2083,Nate Sestina Offensive Rebound.,72,92
0:33,2083,Nate Sestina made Jumper.,74,92
0:03,154,Brandon Childress made Jumper.,74,94
0:00,154,End of Game,74,94
