Minne Morris,Error,North Dakota State,2449
2:58,-1,Cd Douglas missed Free Throw.,31,45
2:58,2449,Carlin Dupree Defensive Rebound.,31,45
2:48,-1,Foul on Dylan Erickson.,31,45
2:48,2449,Deng Geu made Free Throw.,31,46
2:48,2449,Deng Geu made Free Throw.,31,47
2:23,-1,Dylan Erickson missed Jumper.,31,47
2:23,-1,Minnesota-Morris Offensive Rebound.,31,47
1:52,-1,Jeremy Halverson missed Jumper.,31,47
1:52,2449,A.J. Jacobson Block.,31,47
1:50,-1,Jeremy Halverson Offensive Rebound.,31,47
1:49,-1,Jeremy Halverson missed Jumper.,31,47
1:49,2449,North Dakota St Deadball Team Rebound.,31,47
1:36,2449,Deng Geu Turnover.,31,47
1:16,-1,Jeremy Halverson missed Three Point Jumper.,31,47
1:16,-1,Cd Douglas Offensive Rebound.,31,47
1:13,2449,Foul on Carlin Dupree.,31,47
1:09,-1,Noah Grove missed Three Point Jumper.,31,47
1:09,2449,A.J. Jacobson Defensive Rebound.,31,47
0:53,-1,Foul on Noah Grove.,31,47
0:53,2449,Deng Geu made Free Throw.,31,48
0:53,2449,Deng Geu made Free Throw.,31,49
0:43,-1,Cd Douglas missed Layup.,31,49
0:43,2449,Spencer Eliason Defensive Rebound.,31,49
0:33,2449,Deng Geu missed Three Point Jumper.,31,49
0:33,-1,Jeremy Halverson Defensive Rebound.,31,49
0:11,-1,Anthony Fisher missed Jumper.,31,49
0:06,2449,Spencer Eliason Defensive Rebound.,31,49
0:02,-1,Foul on Cd Douglas.,31,49
0:02,2449,Paul Miller made Free Throw.,31,50
0:02,2449,Paul Miller made Free Throw.,31,51
0:00,2449,End of 1st half,31,50
19:47,-1,Tyler Ukkelberg Turnover.,31,51
19:41,2449,A.J. Jacobson made Layup.,31,53
19:29,-1,Foul on Anthony Fisher.,31,53
19:29,-1,Anthony Fisher Turnover.,31,53
19:16,-1,Foul on Tyler Ukkelberg.,31,53
19:16,2449,Paul Miller made Free Throw.,31,54
19:16,2449,Paul Miller made Free Throw.,31,55
19:08,2449,Foul on Dexter Werner.,31,55
18:57,-1,Noah Grove missed Jumper.,31,55
18:57,-1,Cd Douglas Offensive Rebound.,31,55
18:48,-1,Cd Douglas made Two Point Tip Shot.,33,55
18:27,2449,Khy Kabellis missed Jumper.,33,55
18:27,-1,Anthony Fisher Defensive Rebound.,33,55
18:17,-1,John Haseman made Jumper. Assisted by Anthony Fisher.,35,55
17:56,2449,Dexter Werner made Jumper.,35,57
17:41,-1,Tyler Ukkelberg missed Jumper.,35,57
17:41,2449,Khy Kabellis Defensive Rebound.,35,57
17:33,2449,Khy Kabellis made Layup.,35,59
17:33,-1,Foul on Cd Douglas.,35,59
17:33,2449,Khy Kabellis made Free Throw.,35,60
17:22,-1,Noah Grove missed Jumper.,35,60
17:22,-1,John Haseman Offensive Rebound.,35,60
17:08,-1,Anthony Fisher missed Layup.,35,60
17:08,2449,A.J. Jacobson Defensive Rebound.,35,60
16:59,2449,Carlin Dupree made Three Point Jumper. Assisted by A.J. Jacobson.,35,63
16:41,-1,Noah Grove missed Three Point Jumper.,35,63
16:41,2449,A.J. Jacobson Defensive Rebound.,35,63
16:25,2449,Paul Miller missed Three Point Jumper.,35,63
16:25,-1,Dylan Erickson Defensive Rebound.,35,63
16:09,2449,Foul on Dexter Werner.,35,63
15:47,-1,John Haseman missed Jumper.,35,63
15:47,2449,Paul Miller Defensive Rebound.,35,63
15:39,2449,Khy Kabellis missed Three Point Jumper.,35,63
15:39,2449,A.J. Jacobson Offensive Rebound.,35,63
15:35,2449,A.J. Jacobson missed Jumper.,35,63
15:35,-1,Jeremy Halverson Block.,35,63
15:32,-1,Dylan Erickson Defensive Rebound.,35,63
15:28,-1,Foul on Dylan Erickson.,35,63
15:28,-1,Dylan Erickson Turnover.,35,63
15:28,2449,Official TV Timeout,35,63
15:14,2449,Dexter Werner made Jumper.,35,65
14:44,-1,Tyler Ukkelberg made Layup.,37,65
14:28,2449,Tyson Ward missed Jumper.,37,65
14:28,-1,Tyler Ukkelberg Defensive Rebound.,37,65
14:18,-1,Dylan Erickson made Three Point Jumper. Assisted by Tyler Ukkelberg.,40,65
14:00,2449,Paul Miller missed Three Point Jumper.,40,65
14:00,2449,Tyson Ward Offensive Rebound.,40,65
13:51,2449,Tyson Ward made Free Throw.,40,66
13:51,2449,Tyson Ward made Free Throw.,40,67
13:51,-1,Technical Foul on Minnesota-Morris.,40,65
13:43,2449,Carlin Dupree missed Layup.,40,67
13:43,-1,Jeremy Halverson Block.,40,67
13:42,-1,Dylan Erickson Defensive Rebound.,40,67
13:42,2449,Foul on Deng Geu.,40,67
13:20,-1,Jeremy Halverson Turnover.,40,67
13:04,2449,Tyson Ward missed Jumper.,40,67
13:04,-1,Jeffrey Halverson Defensive Rebound.,40,67
12:37,-1,Dylan Erickson made Three Point Jumper. Assisted by Jeffrey Halverson.,43,67
12:14,2449,Deng Geu missed Layup.,43,67
12:14,-1,Tyler Ukkelberg Defensive Rebound.,43,67
12:07,-1,Nick Peterson Turnover.,43,67
11:52,2449,Official TV Timeout,43,67
11:41,2449,Deng Geu made Jumper. Assisted by Tyson Ward.,43,69
11:20,-1,Jeremy Halverson missed Three Point Jumper.,43,69
11:20,2449,Deng Geu Defensive Rebound.,43,69
11:14,2449,Deng Geu Turnover.,43,69
11:12,-1,Cd Douglas Steal.,43,69
11:10,-1,Dylan Erickson missed Three Point Jumper.,43,69
11:10,2449,Tyson Ward Defensive Rebound.,43,69
11:01,2449,Khy Kabellis missed Jumper.,43,69
11:01,-1,Nick Peterson Defensive Rebound.,43,69
10:29,2449,Foul on Jared Samuelson.,43,69
10:26,-1,Anthony Fisher missed Three Point Jumper.,43,69
10:26,2449,Tyson Ward Defensive Rebound.,43,69
10:08,2449,A.J. Jacobson made Layup.,43,71
9:57,-1,Anthony Fisher missed Jumper.,43,71
9:57,2449,Carlin Dupree Defensive Rebound.,43,71
9:47,2449,Tyson Ward Turnover.,43,71
9:46,-1,Cd Douglas Steal.,43,71
9:39,-1,Noah Grove made Three Point Jumper. Assisted by Cd Douglas.,46,71
9:27,2449,Khy Kabellis made Jumper.,46,73
9:25,-1,Foul on Noah Grove.,46,73
9:25,-1,Noah Grove Turnover.,46,73
9:17,2449,A.J. Jacobson missed Three Point Jumper.,46,73
9:12,2449,Tyson Ward Offensive Rebound.,46,73
9:10,2449,Tyson Ward missed Jumper.,46,73
9:10,-1,Cd Douglas Block.,46,73
9:08,-1,Cd Douglas Defensive Rebound.,46,73
8:47,-1,Noah Grove made Layup. Assisted by Tyler Ukkelberg.,48,73
8:45,-1,Foul on Cd Douglas.,48,73
8:35,2449,Dylan Miller made Layup. Assisted by Khy Kabellis.,48,75
8:21,-1,Tyler Ukkelberg made Three Point Jumper. Assisted by Nick Peterson.,51,75
8:10,2449,Tyson Ward missed Jumper.,51,75
8:10,-1,Dylan Erickson Defensive Rebound.,51,75
7:57,-1,Tyler Ukkelberg missed Jumper.,51,75
7:57,2449,Carlin Dupree Defensive Rebound.,51,75
7:44,2449,Carlin Dupree made Layup.,51,77
7:36,2449,Official TV Timeout,51,77
7:29,-1,Anthony Fisher missed Jumper.,51,77
7:29,2449,Carlin Dupree Defensive Rebound.,51,77
7:11,2449,Deng Geu made Dunk.,51,79
6:51,-1,Anthony Fisher Turnover.,51,79
6:49,2449,Deng Geu Steal.,51,79
6:49,-1,Foul on Tyler Ukkelberg.,51,79
6:49,2449,Khy Kabellis made Free Throw.,51,80
6:49,2449,Khy Kabellis made Free Throw.,51,81
6:42,-1,John Haseman made Layup. Assisted by Tyler Ukkelberg.,53,81
6:27,2449,Carlin Dupree missed Layup.,53,81
6:27,-1,Minnesota-Morris Deadball Team Rebound.,53,81
6:25,2449,Foul on Dexter Werner.,53,81
6:13,-1,Tyler Ukkelberg missed Three Point Jumper.,53,81
6:13,-1,Jeremy Halverson Offensive Rebound.,53,81
6:06,-1,Tyler Ukkelberg made Three Point Jumper. Assisted by Jeremy Halverson.,56,81
5:48,2449,Deng Geu made Three Point Jumper. Assisted by Paul Miller.,56,84
5:22,-1,John Haseman missed Jumper.,56,84
5:22,2449,Dexter Werner Defensive Rebound.,56,84
5:10,2449,Khy Kabellis made Layup.,56,86
5:00,-1,Tyler Ukkelberg missed Layup.,56,86
5:00,2449,Carlin Dupree Defensive Rebound.,56,86
4:47,2449,Deng Geu missed Jumper.,56,86
4:47,2449,Dexter Werner Offensive Rebound.,56,86
4:43,2449,Dexter Werner missed Jumper.,56,86
4:43,-1,Jeremy Halverson Defensive Rebound.,56,86
4:32,-1,Jeremy Halverson missed Three Point Jumper.,56,86
4:32,2449,Paul Miller Defensive Rebound.,56,86
4:18,2449,Paul Miller Turnover.,56,86
4:17,-1,Tyler Ukkelberg Steal.,56,86
3:47,-1,Minnesota-Morris  Turnover.,56,86
3:47,2449,Official TV Timeout,56,86
3:32,2449,Carlin Dupree made Jumper.,56,88
3:24,-1,John Haseman made Jumper. Assisted by Tyler Ukkelberg.,58,88
2:59,2449,Spencer Eliason made Layup.,58,90
2:40,-1,Jeremy Halverson Turnover.,58,90
2:39,2449,Carlin Dupree Steal.,58,90
2:32,2449,Deng Geu made Layup. Assisted by Tyson Ward.,58,92
2:32,2449,North Dakota St  Timeout,58,92
2:32,2449,Official TV Timeout,58,92
2:09,-1,Dakota Neppl made Layup.,60,92
1:50,2449,Zach Rammelt missed Three Point Jumper.,60,92
1:50,2449,Deng Geu Offensive Rebound.,60,92
1:44,2449,Deng Geu missed Dunk.,60,92
1:44,-1,Jeffrey Halverson Defensive Rebound.,60,92
1:13,2449,Foul on Deng Geu.,60,92
1:13,-1,Dakota Neppl made Free Throw.,61,92
1:13,-1,Dakota Neppl made Free Throw.,62,92
0:59,2449,Tyson Ward missed Jumper.,62,92
0:59,-1,Nick Peterson Defensive Rebound.,62,92
0:31,-1,Jeffrey Halverson missed Three Point Jumper.,62,92
0:31,2449,Jared Samuelson Defensive Rebound.,62,92
0:27,2449,Spencer Eliason Turnover.,62,92
0:09,-1,Jeremy Halverson Turnover.,62,92
0:00,2449,End of Game,62,92
