Niagara,225,Brown,315
19:30,315,Matt Scott missed Free Throw.,37,42
19:30,225,Brandon Anderson Defensive Rebound.,37,42
19:09,225,Obi Okolie missed Three Point Jumper.,37,42
19:09,315,Kahlil Dukes Defensive Rebound.,37,42
19:03,315,Kahlil Dukes Turnover.,37,42
19:02,225,Joshua Howard Steal.,37,42
18:47,225,Obi Okolie made Three Point Jumper. Assisted by Steven Spieth.,37,45
18:25,315,Marvin Prochet Turnover.,37,45
18:25,315,Foul on Marvin Prochet.,37,45
18:08,225,Brandon Anderson Turnover.,37,45
18:07,315,James Towns Steal.,37,45
18:05,315,James Towns made Layup.,39,45
17:50,315,Foul on James Towns.,39,45
17:48,225,Brandon Anderson missed Three Point Jumper.,39,45
17:48,315,Maurice Taylor Jr. Defensive Rebound.,39,45
17:37,315,Kahlil Dukes made Layup.,41,45
17:13,225,Brandon Anderson missed Three Point Jumper.,41,45
17:13,315,Marvin Prochet Defensive Rebound.,41,45
17:05,315,James Towns missed Three Point Jumper.,41,45
17:05,225,Brandon Anderson Defensive Rebound.,41,45
16:57,225,Tavon Blackmon missed Three Point Jumper.,41,45
16:57,315,Marvin Prochet Defensive Rebound.,41,45
16:45,315,Marvin Prochet Turnover.,41,45
16:44,225,Brandon Anderson Steal.,41,45
16:40,225,Brandon Anderson made Layup.,41,47
16:20,315,Matt Scott missed Layup.,41,47
16:20,225,Joshua Howard Block.,41,47
16:19,225,Joshua Howard Defensive Rebound.,41,47
16:15,315,Foul on Marvin Prochet.,41,47
16:15,225,Tavon Blackmon made Free Throw.,41,48
16:15,225,Tavon Blackmon missed Free Throw.,41,48
16:15,315,Dominic Robb Defensive Rebound.,41,48
15:55,315,Dominic Robb missed Jumper.,41,48
15:55,225,Steven Spieth Defensive Rebound.,41,48
15:49,315,Foul on James Towns.,41,48
15:49,225,Official TV Timeout,41,48
15:47,315,Foul on Dominic Robb.,41,48
15:47,225,Steven Spieth made Free Throw.,41,49
15:47,225,Steven Spieth made Free Throw.,41,50
15:25,315,James Towns made Layup.,43,50
15:25,225,Foul on Steven Spieth.,43,50
15:25,315,James Towns made Free Throw.,44,50
15:15,225,Obi Okolie Turnover.,44,50
14:51,315,Kahlil Dukes missed Three Point Jumper.,44,50
14:51,225,Steven Spieth Defensive Rebound.,44,50
14:42,225,JR Hobbie missed Three Point Jumper.,44,50
14:42,315,Dominic Robb Block.,44,50
14:41,315,James Towns Defensive Rebound.,44,50
14:37,225,Foul on JR Hobbie.,44,50
14:33,315,Kahlil Dukes missed Jumper.,44,50
14:33,225,Steven Spieth Defensive Rebound.,44,50
14:24,315,Foul on James Towns.,44,50
14:24,225,Steven Spieth made Free Throw.,44,51
14:24,225,Steven Spieth made Free Throw.,44,52
14:18,315,Dominic Robb missed Layup.,44,52
14:18,225,Steven Spieth Block.,44,52
14:17,315,Niagara Offensive Rebound.,44,52
14:00,315,Chris Barton Turnover.,44,52
13:59,225,Steven Spieth Steal.,44,52
13:55,225,Tavon Blackmon missed Layup.,44,52
13:55,225,Travis Fuller Offensive Rebound.,44,52
13:54,315,Foul on Chris Barton.,44,52
13:54,225,Travis Fuller made Free Throw.,44,53
13:54,225,Travis Fuller made Free Throw.,44,54
13:37,315,Dwayne Pow missed Three Point Jumper.,44,54
13:37,315,Maurice Taylor Jr. Offensive Rebound.,44,54
13:33,315,Maurice Taylor Jr. made Layup.,46,54
13:33,225,Foul on Travis Fuller.,46,54
13:33,315,Maurice Taylor Jr. missed Free Throw.,46,54
13:33,315,Dominic Robb Offensive Rebound.,46,54
13:30,315,Dominic Robb missed Jumper.,46,54
13:30,315,Maurice Taylor Jr. Offensive Rebound.,46,54
13:26,315,Maurice Taylor Jr. made Layup.,48,54
13:09,225,Tavon Blackmon Turnover.,48,54
12:58,225,Foul on Travis Fuller.,48,54
12:39,315,Kevin Larkin missed Three Point Jumper.,48,54
12:39,225,Obi Okolie Defensive Rebound.,48,54
12:30,225,Obi Okolie missed Layup.,48,54
12:30,315,Dominic Robb Block.,48,54
12:28,315,Kevin Larkin Defensive Rebound.,48,54
12:22,315,Dwayne Pow made Jumper.,50,54
12:18,225,Joshua Howard Turnover.,50,54
12:17,315,Kevin Larkin Steal.,50,54
12:14,315,Dwayne Pow made Layup. Assisted by Kevin Larkin.,52,54
11:57,225,Obi Okolie made Layup. Assisted by Steven Spieth.,52,56
11:57,315,Foul on Kevin Larkin.,52,56
11:57,225,Official TV Timeout,52,56
11:57,225,Obi Okolie missed Free Throw.,52,56
11:57,315,Kevin Larkin Defensive Rebound.,52,56
11:40,315,Dominic Robb missed Layup.,52,56
11:40,225,Steven Spieth Defensive Rebound.,52,56
11:21,225,Tavon Blackmon made Layup.,52,58
11:13,225,Foul on Joshua Howard.,52,58
11:13,315,Dwayne Pow made Free Throw.,53,58
11:13,315,Dwayne Pow made Free Throw.,54,58
11:06,315,Foul on Shane Gatling.,54,58
11:06,225,Corey Daugherty missed Free Throw.,54,58
11:06,315,Kevin Larkin Defensive Rebound.,54,58
10:52,315,Shane Gatling made Layup.,56,58
10:37,315,Foul on Kevin Larkin.,56,58
10:37,225,Steven Spieth made Free Throw.,56,59
10:37,225,Steven Spieth made Free Throw.,56,60
10:21,315,Kevin Larkin missed Three Point Jumper.,56,60
10:21,225,Steven Spieth Defensive Rebound.,56,60
10:12,315,Foul on Shane Gatling.,56,60
10:12,225,Tavon Blackmon made Free Throw.,56,61
10:12,225,Tavon Blackmon made Free Throw.,56,62
9:55,225,Foul on Obi Okolie.,56,62
9:55,315,Dominic Robb made Free Throw.,57,62
9:55,315,Dominic Robb made Free Throw.,58,62
9:34,225,Corey Daugherty missed Three Point Jumper.,58,62
9:34,315,Maurice Taylor Jr. Defensive Rebound.,58,62
9:27,315,Shane Gatling missed Three Point Jumper.,58,62
9:27,225,Chris Sullivan Defensive Rebound.,58,62
9:16,225,Steven Spieth made Layup. Assisted by Corey Daugherty.,58,64
8:57,315,Dominic Robb missed Layup.,58,64
8:57,315,Dominic Robb Offensive Rebound.,58,64
8:55,315,Dominic Robb made Layup.,60,64
8:55,225,Foul on Joshua Howard.,60,64
8:55,315,Dominic Robb missed Free Throw.,60,64
8:55,225,Steven Spieth Defensive Rebound.,60,64
8:32,225,Travis Fuller made Layup. Assisted by Steven Spieth.,60,66
8:14,315,Shane Gatling missed Layup.,60,66
8:14,225,Corey Daugherty Defensive Rebound.,60,66
7:55,315,Foul on Dominic Robb.,60,66
7:55,225,Official TV Timeout,60,66
7:55,225,Travis Fuller made Free Throw.,60,67
7:55,225,Travis Fuller made Free Throw.,60,68
7:41,225,Foul on Chris Sullivan.,60,68
7:41,315,Dominic Robb made Free Throw.,61,68
7:41,315,Dominic Robb made Free Throw.,62,68
7:23,315,Foul on Matt Scott.,62,68
7:23,225,Corey Daugherty made Free Throw.,62,69
7:23,225,Corey Daugherty made Free Throw.,62,70
7:10,315,Marvin Prochet made Three Point Jumper. Assisted by Matt Scott.,65,70
6:45,225,Travis Fuller Turnover.,65,70
6:39,315,Kahlil Dukes made Jumper.,67,70
6:12,225,Tavon Blackmon missed Jumper.,67,70
6:12,225,Travis Fuller Offensive Rebound.,67,70
6:10,225,Travis Fuller made Layup.,67,72
6:08,225,Brown  Timeout,67,72
5:48,315,Dwayne Pow missed Three Point Jumper.,67,72
5:48,225,Obi Okolie Defensive Rebound.,67,72
5:26,225,Joshua Howard missed Jumper.,67,72
5:26,315,Dwayne Pow Defensive Rebound.,67,72
5:19,225,Foul on Joshua Howard.,67,72
5:19,315,Chris Barton made Free Throw.,68,72
5:19,315,Chris Barton missed Free Throw.,68,72
5:19,225,Steven Spieth Defensive Rebound.,68,72
4:48,225,Travis Fuller made Layup. Assisted by Steven Spieth.,68,74
4:31,315,Kahlil Dukes missed Layup.,68,74
4:31,225,Travis Fuller Defensive Rebound.,68,74
4:26,225,Steven Spieth missed Three Point Jumper.,68,74
4:26,315,Matt Scott Defensive Rebound.,68,74
4:22,315,Matt Scott Turnover.,68,74
4:22,225,Chris Sullivan Steal.,68,74
4:21,315,Foul on Marvin Prochet.,68,74
4:21,225,Steven Spieth made Free Throw.,68,75
4:21,225,Steven Spieth made Free Throw.,68,76
3:57,315,Chris Barton missed Layup.,68,76
3:57,225,Travis Fuller Defensive Rebound.,68,76
3:39,225,Obi Okolie made Three Point Jumper. Assisted by Steven Spieth.,68,79
3:27,315,Dwayne Pow made Layup.,70,79
3:11,225,Steven Spieth made Layup. Assisted by Tavon Blackmon.,70,81
2:57,315,Kahlil Dukes made Jumper.,72,81
2:29,315,Foul on Dwayne Pow.,72,81
2:29,225,Official TV Timeout,72,81
2:29,225,Tavon Blackmon missed Free Throw.,72,81
2:29,225,Brown Deadball Team Rebound.,72,81
2:29,225,Tavon Blackmon missed Free Throw.,72,81
2:29,315,James Towns Defensive Rebound.,72,81
2:22,315,James Towns made Layup.,74,81
2:05,225,Steven Spieth missed Layup.,74,81
2:05,225,Steven Spieth Offensive Rebound.,74,81
2:04,315,Foul on Maurice Taylor Jr..,74,81
2:04,225,Steven Spieth made Free Throw.,74,82
2:04,225,Steven Spieth made Free Throw.,74,83
2:01,315,Niagara  Timeout,74,83
1:47,315,James Towns Turnover.,74,83
1:46,225,Chris Sullivan Steal.,74,83
1:23,225,Travis Fuller missed Jumper.,74,83
1:23,315,Matt Scott Defensive Rebound.,74,83
1:12,315,Kahlil Dukes missed Three Point Jumper.,74,83
1:12,225,Travis Fuller Defensive Rebound.,74,83
0:51,315,Foul on James Towns.,74,83
0:51,225,Steven Spieth made Free Throw.,74,84
0:51,225,Steven Spieth made Free Throw.,74,85
0:44,315,Dwayne Pow missed Layup.,74,85
0:44,225,Travis Fuller Block.,74,85
0:43,315,Niagara Offensive Rebound.,74,85
0:42,315,Dominic Robb missed Jumper.,74,85
0:42,315,Dominic Robb Offensive Rebound.,74,85
0:39,315,Dominic Robb missed Layup.,74,85
0:39,225,Steven Spieth Defensive Rebound.,74,85
0:27,225,Brown  Timeout,74,85
0:20,225,Steven Spieth Turnover.,74,85
0:19,315,Matt Scott Steal.,74,85
0:14,315,Shane Gatling made Three Point Jumper. Assisted by Matt Scott.,77,85
0:13,315,Niagara  Timeout,77,85
0:10,315,Foul on Shane Gatling.,77,85
0:10,225,Tavon Blackmon made Free Throw.,77,86
0:10,225,Tavon Blackmon made Free Throw.,77,87
0:06,315,Kahlil Dukes made Layup.,79,87
0:05,315,Niagara  Timeout,79,87
0:04,315,Foul on Kahlil Dukes.,79,87
0:04,225,Obi Okolie made Free Throw.,79,88
0:04,225,Obi Okolie missed Free Throw.,79,88
0:04,315,Chris Barton Defensive Rebound.,79,88
0:00,225,End of Game,79,88
