Holy Cross,2579,South Carolina,107
9:03,2579,Chris Silva Defensive Rebound.,42,63
8:38,2579,Sindarius Thornwell made Three Point Jumper. Assisted by PJ Dozier.,42,66
8:03,107,Anthony Thompson missed Three Point Jumper.,42,66
8:03,2579,PJ Dozier Defensive Rebound.,42,66
7:47,2579,Justin McKie missed Three Point Jumper.,42,66
7:47,107,Robert Champion Defensive Rebound.,42,66
7:14,107,Robert Champion Turnover.,42,66
7:14,2579,Official TV Timeout,42,66
6:59,2579,PJ Dozier missed Three Point Jumper.,42,66
6:59,107,Karl Charles Defensive Rebound.,42,66
6:30,107,Robert Champion made Jumper.,44,66
6:12,2579,Duane Notice Turnover.,44,66
6:12,107,Patrick Benzan Steal.,44,66
5:47,107,Karl Charles missed Three Point Jumper.,44,66
5:47,107,Malachi Alexander Offensive Rebound.,44,66
5:32,2579,Foul on Chris Silva.,44,66
5:32,107,Karl Charles made Free Throw.,45,66
5:32,107,Karl Charles made Free Throw.,46,66
5:19,107,Foul on Robert Champion.,46,66
5:04,107,Foul on Robert Champion.,46,66
5:04,2579,PJ Dozier made Free Throw.,46,67
5:04,2579,PJ Dozier made Free Throw.,46,68
4:38,2579,Foul on Maik Kotsar.,46,68
4:38,107,Malachi Alexander missed Free Throw.,46,68
4:38,107,Holy Cross Deadball Team Rebound.,46,68
4:38,107,Malachi Alexander made Free Throw.,47,68
4:29,2579,Maik Kotsar made Layup. Assisted by PJ Dozier.,47,70
4:05,107,Robert Champion missed Three Point Jumper.,47,70
4:05,2579,Sindarius Thornwell Defensive Rebound.,47,70
3:47,2579,Maik Kotsar made Layup. Assisted by Duane Notice.,47,72
3:18,107,Patrick Benzan Turnover.,47,72
3:18,2579,PJ Dozier Steal.,47,72
3:10,2579,Justin McKie made Layup.,47,74
3:08,2579,Official TV Timeout,47,74
2:45,107,Malachi Alexander made Jumper.,49,74
2:22,107,Foul on Patrick Benzan.,49,74
2:22,2579,Official TV Timeout,49,74
2:22,2579,Chris Silva missed Free Throw.,49,74
2:22,2579,South Carolina Deadball Team Rebound.,49,74
2:22,2579,Chris Silva made Free Throw.,49,75
1:58,107,Matt Zignorski missed Three Point Jumper.,49,75
1:58,2579,TeMarcus Blanton Defensive Rebound.,49,75
1:30,2579,TeMarcus Blanton made Three Point Jumper. Assisted by Rakym Felder.,49,78
1:02,107,Clayton Le Sann missed Three Point Jumper.,49,78
1:02,2579,Chris Silva Defensive Rebound.,49,78
0:38,2579,Rakym Felder made Three Point Jumper. Assisted by Hassani Gravett.,49,81
0:09,107,Clayton Le Sann missed Three Point Jumper.,49,81
0:09,2579,Rakym Felder Defensive Rebound.,49,81
0:00,2579,End of Game,49,81
