Eastern Michigan,2567,SMU,2199
11:47,2567,Official TV Timeout,38,63
11:47,2567,Semi Ojeleye missed Free Throw.,38,63
11:47,2567,SMU Deadball Team Rebound.,38,63
11:47,2567,Semi Ojeleye made Free Throw.,38,64
11:30,2199,Ray Lee missed Three Point Jumper.,38,64
11:30,2567,Harry Froling Defensive Rebound.,38,64
11:19,2567,Ben Moore made Dunk. Assisted by Harry Froling.,38,66
11:17,2199,Foul on Jordan Nobles.,38,66
11:17,2567,Harry Froling Turnover.,38,66
11:04,2567,Foul on Sterling Brown.,38,66
11:04,2199,Ray Lee made Free Throw.,39,66
11:04,2199,Ray Lee made Free Throw.,40,66
10:39,2567,Ben Emelogu II missed Three Point Jumper.,40,66
10:39,2567,Ben Moore Offensive Rebound.,40,66
10:37,2199,Foul on Ty Toney.,40,66
10:37,2567,Ben Moore made Free Throw.,40,67
10:37,2567,Ben Moore missed Free Throw.,40,67
10:37,2199,Baylee Steele Defensive Rebound.,40,67
10:30,2567,Foul on Sterling Brown.,40,67
10:30,2199,Foul on Ray Lee.,40,67
10:30,2199,Technical Foul on Ray Lee.,40,67
10:30,2567,Sterling Brown missed Free Throw.,40,67
10:30,2567,SMU Deadball Team Rebound.,40,67
10:30,2199,Technical Foul on Eastern Michigan.,40,67
10:30,2567,Sterling Brown made Free Throw.,40,68
10:30,2567,Sterling Brown missed Free Throw.,40,68
10:30,2567,SMU Deadball Team Rebound.,40,68
10:30,2567,Sterling Brown missed Free Throw.,40,68
10:30,2567,SMU Deadball Team Rebound.,40,68
10:30,2199,Ray Lee made Free Throw.,41,68
10:30,2199,Ray Lee made Free Throw.,42,68
10:11,2567,Ben Emelogu II missed Layup.,42,68
10:11,2199,Lamar Wofford-Humphrey Block.,42,68
10:10,2567,Ben Moore Offensive Rebound.,42,68
10:08,2199,Foul on Lamar Wofford-Humphrey.,42,68
10:08,2567,Ben Moore made Free Throw.,42,69
10:08,2567,Ben Moore made Free Throw.,42,70
9:55,2199,Ty Toney missed Three Point Jumper.,42,70
9:55,2567,Ben Emelogu II Defensive Rebound.,42,70
9:44,2567,Ben Emelogu II Turnover.,42,70
9:42,2199,Baylee Steele Steal.,42,70
9:37,2199,Ray Lee made Layup.,44,70
9:37,2567,Foul on Tom Wilson.,44,70
9:37,2199,Ray Lee made Free Throw.,45,70
9:19,2567,Tom Wilson missed Three Point Jumper.,45,70
9:19,2199,Baylee Steele Defensive Rebound.,45,70
9:04,2199,Willie Mangum IV missed Three Point Jumper.,45,70
9:04,2567,Jarrey Foster Defensive Rebound.,45,70
8:42,2567,Tom Wilson missed Three Point Jumper.,45,70
8:42,2567,Harry Froling Offensive Rebound.,45,70
8:41,2199,Foul on Ty Toney.,45,70
8:41,2567,Harry Froling missed Free Throw.,45,70
8:41,2567,SMU Deadball Team Rebound.,45,70
8:41,2567,Harry Froling made Free Throw.,45,71
8:30,2199,Ray Lee made Layup.,47,71
8:03,2567,Tom Wilson made Three Point Jumper. Assisted by Jarrey Foster.,47,74
7:53,2567,Foul on Jarrey Foster.,47,74
7:53,2567,Official TV Timeout,47,74
7:53,2199,Ray Lee made Free Throw.,48,74
7:53,2199,Ray Lee made Free Throw.,49,74
7:33,2567,Shake Milton missed Three Point Jumper.,49,74
7:33,2199,Nick Madray Defensive Rebound.,49,74
7:23,2199,Tim Bond missed Three Point Jumper.,49,74
7:23,2199,Lamar Wofford-Humphrey Offensive Rebound.,49,74
7:21,2199,Lamar Wofford-Humphrey missed Two Point Tip Shot.,49,74
7:20,2567,Sterling Brown Defensive Rebound.,49,74
6:59,2567,Shake Milton Turnover.,49,74
6:57,2199,Ray Lee Steal.,49,74
6:51,2199,Jordan Nobles made Three Point Jumper. Assisted by Tim Bond.,52,74
6:26,2199,Foul on Lamar Wofford-Humphrey.,52,74
6:26,2567,Sterling Brown made Free Throw.,52,75
6:26,2567,Sterling Brown made Free Throw.,52,76
6:10,2199,Jordan Nobles missed Three Point Jumper.,52,76
6:10,2199,Nick Madray Offensive Rebound.,52,76
6:08,2199,Nick Madray made Two Point Tip Shot.,54,76
5:39,2567,Jarrey Foster made Three Point Jumper. Assisted by Shake Milton.,54,79
5:18,2199,Ray Lee missed Three Point Jumper.,54,79
5:18,2199,Jordan Nobles Offensive Rebound.,54,79
5:12,2199,Ray Lee missed Three Point Jumper.,54,79
5:12,2567,Sterling Brown Defensive Rebound.,54,79
4:44,2567,Jarrey Foster made Layup. Assisted by Sterling Brown.,54,81
4:23,2567,Foul on Jarrey Foster.,54,81
4:23,2199,Ray Lee made Free Throw.,55,81
4:23,2199,Ray Lee missed Free Throw.,55,81
4:23,2567,Semi Ojeleye Defensive Rebound.,55,81
3:59,2567,Semi Ojeleye made Three Point Jumper. Assisted by Dashawn McDowell.,55,84
3:50,2567,Foul on Shake Milton.,55,84
3:50,2567,Official TV Timeout,55,84
3:50,2199,Ray Lee made Free Throw.,56,84
3:50,2199,Ray Lee made Free Throw.,57,84
3:25,2567,Semi Ojeleye missed Three Point Jumper.,57,84
3:25,2199,Jordan Nobles Defensive Rebound.,57,84
3:24,2567,Foul on Dashawn McDowell.,57,84
3:24,2199,Jordan Nobles made Free Throw.,58,84
3:24,2199,Jordan Nobles made Free Throw.,59,84
3:05,2567,Dashawn McDowell Turnover.,59,84
3:04,2199,Tim Bond Steal.,59,84
2:55,2199,Tim Bond missed Jumper.,59,84
2:55,2567,Dashawn McDowell Defensive Rebound.,59,84
2:23,2567,Tom Wilson missed Three Point Jumper.,59,84
2:23,2199,Eastern Michigan Defensive Rebound.,59,84
2:18,2567,Foul on Ben Moore.,59,84
2:18,2199,Jordan Nobles made Free Throw.,60,84
2:18,2199,Jordan Nobles made Free Throw.,61,84
1:53,2567,Sterling Brown made Three Point Jumper. Assisted by Tom Wilson.,61,87
1:43,2199,Eastern Michigan  Timeout,61,87
1:43,2567,Official TV Timeout,61,87
1:35,2199,Jordan Nobles Turnover.,61,87
1:34,2567,Harry Froling Steal.,61,87
1:19,2567,Harry Froling made Jumper. Assisted by Dashawn McDowell.,61,89
1:11,2199,Tim Bond made Three Point Jumper. Assisted by Jalen Brown.,64,89
0:42,2567,Dashawn McDowell made Layup. Assisted by Tom Wilson.,64,91
0:33,2199,Tim Bond missed Jumper.,64,91
0:33,2567,Harry Froling Defensive Rebound.,64,91
0:07,2567,Tom Wilson missed Three Point Jumper.,64,91
0:07,2199,Jalen Brown Defensive Rebound.,64,91
0:03,2199,Jalen Brown missed Layup.,64,91
0:02,2567,Dashawn McDowell Defensive Rebound.,64,91
0:00,2567,End of Game,64,91
