IUPUI,130,Michigan,85
10:02,130,Foul on Zak Irvin.,50,64
10:02,85,IUPUI Deadball Team Rebound.,50,64
10:02,85,D.J. McCall missed Free Throw.,50,64
10:02,85,D.J. McCall made Free Throw.,51,64
9:35,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,51,64
9:32,130,D.J. Wilson Offensive Rebound.,51,64
9:32,130,D.J. Wilson missed Jumper.,51,64
9:28,85,Evan Hall Defensive Rebound.,51,64
9:18,85,T.J. Henderson missed Jumper.,51,64
9:18,130,D.J. Wilson Block.,51,64
9:15,130,D.J. Wilson Defensive Rebound.,51,64
9:11,130,D.J. Wilson missed Jumper.,51,64
9:09,85,Matt O'Leary Defensive Rebound.,51,64
8:52,85,Evan Hall missed Jumper.,51,64
8:50,130,Mark Donnal Defensive Rebound.,51,64
8:24,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,51,64
8:21,85,Darell Combs Defensive Rebound.,51,64
8:19,85,T.J. Henderson Turnover.,51,64
7:54,130,Derrick Walton Jr. Turnover.,51,64
7:54,85,Matt O'Leary Steal.,51,64
7:49,130,Foul on D.J. Wilson.,51,64
7:49,85,IUPUI Deadball Team Rebound.,51,64
7:49,85,Evan Hall missed Free Throw.,51,64
7:49,85,Evan Hall missed Free Throw.,51,64
7:49,130,Official TV Timeout,51,64
7:48,130,Mark Donnal Defensive Rebound.,51,64
7:48,85,Foul on Matt O'Leary.,51,64
7:48,130,Mark Donnal made Free Throw.,51,65
7:48,130,Mark Donnal made Free Throw.,51,66
7:28,130,Foul on Mark Donnal.,51,66
7:28,85,D.J. McCall made Free Throw.,52,66
7:28,85,D.J. McCall missed Free Throw.,52,66
7:25,130,D.J. Wilson Defensive Rebound.,52,66
7:10,130,Zak Irvin made Jumper.,52,68
6:57,85,Kellon Thomas Turnover.,52,68
6:36,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,52,68
6:33,85,D.J. McCall Defensive Rebound.,52,68
6:27,85,Kellon Thomas made Three Point Jumper. Assisted by Ron Patterson.,55,68
6:07,130,Zak Irvin missed Jumper.,55,68
6:05,85,D.J. McCall Defensive Rebound.,55,68
5:51,130,Foul on Mark Donnal.,55,68
5:51,85,IUPUI Deadball Team Rebound.,55,68
5:51,85,Evan Hall missed Free Throw.,55,68
5:51,85,Evan Hall made Free Throw.,56,68
5:40,130,Moritz Wagner Turnover.,56,68
5:27,85,Matt O'Leary missed Three Point Jumper.,56,68
5:24,130,Zak Irvin Defensive Rebound.,56,68
5:00,130,Moritz Wagner made Three Point Jumper. Assisted by Zak Irvin.,56,71
4:35,85,Evan Hall missed Jumper.,56,71
4:33,130,Moritz Wagner Defensive Rebound.,56,71
4:09,130,D.J. Wilson made Three Point Jumper.,56,74
3:55,85,Ron Patterson missed Three Point Jumper.,56,74
3:53,85,Darell Combs Offensive Rebound.,56,74
3:53,130,Official TV Timeout,56,74
3:48,85,Matt O'Leary missed Jumper.,56,74
3:46,130,Moritz Wagner Defensive Rebound.,56,74
3:24,130,D.J. Wilson missed Jumper.,56,74
3:24,85,Kellon Thomas Defensive Rebound.,56,74
3:24,130,Foul on Moritz Wagner.,56,74
3:24,85,Kellon Thomas made Free Throw.,57,74
3:24,85,Kellon Thomas made Free Throw.,58,74
2:57,130,Muhammad-Ali Abdur-Rahkman made Jumper.,58,76
2:42,85,Darell Combs missed Jumper.,58,76
2:42,130,D.J. Wilson Block.,58,76
2:39,130,Derrick Walton Jr. Defensive Rebound.,58,76
2:15,130,Zak Irvin missed Jumper.,58,76
2:13,85,IUPUI Defensive Rebound.,58,76
2:01,85,Kellon Thomas Turnover.,58,76
1:39,85,Foul on Darell Combs.,58,76
1:39,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,58,77
1:39,130,Muhammad-Ali Abdur-Rahkman missed Free Throw.,58,77
1:38,85,Matt O'Leary Defensive Rebound.,58,77
1:34,85,Ron Patterson missed Three Point Jumper.,58,77
1:32,130,D.J. Wilson Defensive Rebound.,58,77
1:23,130,Michigan  Timeout,58,77
0:58,130,Ibi Watson missed Three Point Jumper.,58,77
0:56,85,Matt O'Leary Defensive Rebound.,58,77
0:54,130,Foul on Sean Lonergan.,58,77
0:54,85,D.J. McCall made Free Throw.,59,77
0:54,85,D.J. McCall made Free Throw.,60,77
0:34,130,Ibi Watson Turnover.,60,77
0:20,85,Kellon Thomas made Jumper.,62,77
0:20,130,Foul on Sean Lonergan.,62,77
0:20,85,Kellon Thomas made Free Throw.,63,77
0:07,130,Sean Lonergan Turnover.,63,77
0:07,85,D.J. McCall Steal.,63,77
0:04,130,Foul on Sean Lonergan.,63,77
0:04,85,Matt O'Leary made Free Throw.,64,77
0:04,85,Matt O'Leary made Free Throw.,65,77
0:00,130,End of Game,65,77
