Presentation College,Error,North Dakota,155
14:42,155,Dale Jones missed Three Point Jumper.,4,14
14:42,-1,Julius Jackson Defensive Rebound.,4,14
14:36,-1,Julius Jackson made Jumper.,6,14
14:28,155,Jafar Kinsey missed Three Point Jumper.,6,14
14:28,-1,Quadre Lollis Defensive Rebound.,6,14
14:15,-1,Deiontay Walters made Three Point Jumper. Assisted by Quadre Lollis.,9,14
14:02,155,Conner Avants missed Three Point Jumper.,9,14
14:02,-1,Deiontay Walters Defensive Rebound.,9,14
13:53,155,Foul on Jafar Kinsey.,9,14
13:53,155,Official TV Timeout,9,14
13:53,-1,Quadre Lollis missed Free Throw.,9,14
13:53,-1,Presentation College Deadball Team Rebound.,9,14
13:53,-1,Quadre Lollis missed Free Throw.,9,14
13:53,155,Garrett Franken Defensive Rebound.,9,14
13:36,155,Tray Buchanan Turnover.,9,14
13:22,-1,Julius Jackson missed Jumper.,9,14
13:22,155,Garrett Franken Block.,9,14
13:21,155,Garrett Franken Defensive Rebound.,9,14
13:16,155,Jafar Kinsey Turnover.,9,14
13:04,-1,Julius Jackson missed Layup.,9,14
13:04,155,Kienan Walter Defensive Rebound.,9,14
12:55,155,Billy Brown made Three Point Jumper. Assisted by Jafar Kinsey.,9,17
12:26,155,Foul on Jafar Kinsey.,9,17
12:23,-1,Julius Jackson missed Layup.,9,17
12:23,-1,Julius Jackson Offensive Rebound.,9,17
12:20,-1,Julius Jackson Turnover.,9,17
12:02,155,Garrett Franken missed Three Point Jumper.,9,17
12:02,155,Kienan Walter Offensive Rebound.,9,17
11:58,155,Garrett Franken missed Jumper.,9,17
11:58,-1,Quadre Lollis Defensive Rebound.,9,17
11:42,-1,Julius Jackson made Layup.,11,17
11:25,155,Billy Brown missed Three Point Jumper.,11,17
11:25,-1,Quadre Lollis Defensive Rebound.,11,17
11:14,-1,Julius Jackson made Three Point Jumper. Assisted by Riyadh Asad.,14,17
11:04,155,Tray Buchanan Turnover.,14,17
11:04,155,Official TV Timeout,14,17
10:51,-1,Riyadh Asad missed Three Point Jumper.,14,17
10:51,155,Dale Jones Defensive Rebound.,14,17
10:32,155,Conner Avants made Jumper.,14,19
10:06,-1,Julius Jackson made Jumper.,16,19
9:48,155,Geno Crandall made Layup.,16,21
9:24,-1,Julius Jackson Turnover.,16,21
9:24,155,Marlon Stewart Steal.,16,21
9:20,155,Geno Crandall made Layup. Assisted by Marlon Stewart.,16,23
9:01,-1,Quadre Lollis Turnover.,16,23
8:44,155,Conner Avants Turnover.,16,23
8:43,-1,Quadre Lollis Steal.,16,23
8:39,-1,Quadre Lollis missed Layup.,16,23
8:39,155,Dale Jones Defensive Rebound.,16,23
8:28,-1,Foul on Riyadh Asad.,16,23
8:26,155,Conner Avants made Layup. Assisted by Geno Crandall.,16,25
8:10,-1,Deiontay Walters missed Jumper.,16,25
8:10,155,Marlon Stewart Defensive Rebound.,16,25
8:00,155,Conner Avants made Jumper. Assisted by Billy Brown.,16,27
7:38,-1,Jalen Johnson Turnover.,16,27
7:38,155,Official TV Timeout,16,27
7:26,155,Dale Jones made Jumper. Assisted by Kienan Walter.,16,29
7:08,-1,Tayton Maher missed Three Point Jumper.,16,29
7:08,-1,Marcus Gatlin Offensive Rebound.,16,29
7:05,-1,Marcus Gatlin missed Jumper.,16,29
7:05,155,Dale Jones Defensive Rebound.,16,29
6:56,155,Dale Jones made Three Point Jumper. Assisted by Geno Crandall.,16,32
6:30,-1,Tayton Maher missed Three Point Jumper.,16,32
6:30,155,Kienan Walter Defensive Rebound.,16,32
6:16,155,Tray Buchanan missed Three Point Jumper.,16,32
6:16,-1,Marcus Gatlin Defensive Rebound.,16,32
5:48,-1,Adam White made Layup. Assisted by Deiontay Walters.,18,32
5:34,155,Geno Crandall made Three Point Jumper. Assisted by Tray Buchanan.,18,35
5:21,155,Foul on Kienan Walter.,18,35
5:13,-1,Deiontay Walters made Three Point Jumper. Assisted by Julius Jackson.,21,35
5:13,155,Foul on Tray Buchanan.,21,35
5:13,-1,Deiontay Walters missed Free Throw.,21,35
5:13,155,Garrett Franken Defensive Rebound.,21,35
5:04,155,Foul on Kienan Walter.,21,35
5:04,155,Kienan Walter Turnover.,21,35
4:44,-1,Jalen Johnson Turnover.,21,35
4:43,155,Billy Brown Steal.,21,35
4:42,155,Marlon Stewart made Dunk. Assisted by Billy Brown.,21,37
4:29,-1,Julius Jackson Turnover.,21,37
4:01,155,Conner Avants missed Jumper.,21,37
4:01,155,Tray Buchanan Offensive Rebound.,21,37
3:58,155,Tray Buchanan missed Layup.,21,37
3:58,-1,Quadre Lollis Defensive Rebound.,21,37
3:49,-1,Foul on Quadre Lollis.,21,37
3:49,-1,Quadre Lollis Turnover.,21,37
3:49,155,Official TV Timeout,21,37
3:29,155,Tray Buchanan made Jumper.,21,39
3:18,-1,Deiontay Walters Turnover.,21,39
3:15,155,Tray Buchanan Turnover.,21,39
3:14,-1,Deiontay Walters Steal.,21,39
3:12,-1,Julius Jackson made Layup. Assisted by Deiontay Walters.,23,39
2:54,155,Billy Brown Turnover.,23,39
2:30,-1,Jalen Johnson missed Three Point Jumper.,23,39
2:30,155,Billy Brown Defensive Rebound.,23,39
2:17,155,Tray Buchanan missed Three Point Jumper.,23,39
2:17,155,Geno Crandall Offensive Rebound.,23,39
2:15,155,Geno Crandall missed Jumper.,23,39
2:15,-1,Deiontay Walters Defensive Rebound.,23,39
2:10,-1,Deiontay Walters made Jumper.,25,39
1:54,155,Conner Avants missed Dunk.,25,39
1:54,155,Geno Crandall Offensive Rebound.,25,39
1:44,155,Tray Buchanan made Three Point Jumper. Assisted by Conner Avants.,25,42
1:15,-1,Julius Jackson made Three Point Jumper. Assisted by Deiontay Walters.,28,42
1:09,-1,Foul on Deiontay Walters.,28,42
1:09,155,Geno Crandall made Free Throw.,28,43
1:09,155,Geno Crandall missed Free Throw.,28,43
1:09,-1,Quadre Lollis Defensive Rebound.,28,43
0:40,-1,Deiontay Walters missed Three Point Jumper.,28,43
0:40,155,Geno Crandall Defensive Rebound.,28,43
0:34,155,Geno Crandall missed Three Point Jumper.,28,43
0:34,-1,Presentation College Defensive Rebound.,28,43
0:13,-1,Julius Jackson made Three Point Jumper. Assisted by Deiontay Walters.,31,43
0:01,155,Geno Crandall made Jumper.,31,45
0:00,155,End of 1st half,31,45
19:53,155,Conner Avants made Layup. Assisted by Dale Jones.,31,47
19:30,-1,Deiontay Walters missed Jumper.,31,47
19:30,155,Dale Jones Defensive Rebound.,31,47
19:12,155,Conner Avants missed Jumper.,31,47
19:12,-1,Julius Jackson Defensive Rebound.,31,47
18:59,-1,Marcus Gatlin missed Three Point Jumper.,31,47
18:59,155,Conner Avants Defensive Rebound.,31,47
18:53,155,Billy Brown missed Three Point Jumper.,31,47
18:53,-1,Deiontay Walters Defensive Rebound.,31,47
18:37,-1,Julius Jackson missed Three Point Jumper.,31,47
18:37,155,Dale Jones Defensive Rebound.,31,47
18:32,155,Geno Crandall made Dunk. Assisted by Marlon Stewart.,31,49
18:11,-1,Deiontay Walters made Jumper.,33,49
17:59,155,Billy Brown missed Three Point Jumper.,33,49
17:59,-1,Deiontay Walters Defensive Rebound.,33,49
17:50,-1,Quadre Lollis missed Jumper.,33,49
17:50,155,Dale Jones Defensive Rebound.,33,49
17:23,155,Conner Avants made Layup. Assisted by Geno Crandall.,33,51
16:59,-1,Adam White made Layup. Assisted by Deiontay Walters.,35,51
16:59,155,Foul on Dale Jones.,35,51
16:59,-1,Adam White made Free Throw.,36,51
16:46,155,Dale Jones Turnover.,36,51
16:45,-1,Julius Jackson Steal.,36,51
16:42,-1,Julius Jackson made Layup.,38,51
16:19,155,Conner Avants made Jumper.,38,53
15:58,-1,Marcus Gatlin Turnover.,38,53
15:58,-1,Foul on Marcus Gatlin.,38,53
15:58,155,Official TV Timeout,38,53
15:36,155,Kienan Walter made Jumper. Assisted by Marlon Stewart.,38,55
15:16,-1,Deiontay Walters missed Three Point Jumper.,38,55
15:16,-1,Quadre Lollis Offensive Rebound.,38,55
15:15,-1,Quadre Lollis missed Jumper.,38,55
15:15,155,Dale Jones Defensive Rebound.,38,55
15:06,155,Kienan Walter made Jumper.,38,57
14:50,-1,Marcus Gatlin made Jumper.,40,57
14:44,155,Dale Jones Turnover.,40,57
14:36,-1,Deiontay Walters Turnover.,40,57
14:35,155,Dale Jones Steal.,40,57
14:32,155,Marlon Stewart made Layup. Assisted by Dale Jones.,40,59
14:09,-1,Julius Jackson missed Layup.,40,59
14:09,155,North Dakota Defensive Rebound.,40,59
13:48,155,Tray Buchanan made Three Point Jumper. Assisted by Kienan Walter.,40,62
13:27,-1,Riyadh Asad missed Jumper.,40,62
13:27,-1,Quadre Lollis Offensive Rebound.,40,62
13:25,-1,Quadre Lollis made Layup.,42,62
13:04,155,Kienan Walter made Jumper. Assisted by Geno Crandall.,42,64
13:04,-1,Foul on Quadre Lollis.,42,64
13:04,155,Kienan Walter missed Free Throw.,42,64
13:04,-1,Deiontay Walters Defensive Rebound.,42,64
12:44,-1,Deiontay Walters made Layup.,44,64
12:39,155,Jafar Kinsey made Layup. Assisted by Geno Crandall.,44,66
12:30,155,Foul on Kienan Walter.,44,66
12:16,-1,Julius Jackson missed Three Point Jumper.,44,66
12:16,-1,Jalen Johnson Offensive Rebound.,44,66
12:09,155,Foul on Tray Buchanan.,44,66
12:09,-1,Jalen Johnson made Free Throw.,45,66
12:09,-1,Jalen Johnson made Free Throw.,46,66
12:04,-1,Foul on Deiontay Walters.,46,66
12:04,155,Jafar Kinsey missed Three Point Jumper.,46,66
12:04,155,Tray Buchanan Offensive Rebound.,46,66
11:56,155,Tray Buchanan made Jumper.,46,68
11:36,-1,Jalen Johnson made Jumper.,48,68
11:28,155,Tray Buchanan missed Three Point Jumper.,48,68
11:28,-1,Presentation College Defensive Rebound.,48,68
11:23,155,Official TV Timeout,48,68
11:03,-1,Tayton Maher missed Three Point Jumper.,48,68
11:03,155,Jafar Kinsey Defensive Rebound.,48,68
10:59,-1,Foul on Julius Jackson.,48,68
10:34,155,Kienan Walter missed Three Point Jumper.,48,68
10:34,-1,Julius Jackson Defensive Rebound.,48,68
10:24,-1,Julius Jackson missed Jumper.,48,68
10:23,155,Kienan Walter Block.,48,68
10:22,-1,Julius Jackson Offensive Rebound.,48,68
10:21,-1,Julius Jackson made Layup.,50,68
10:11,155,Kienan Walter missed Three Point Jumper.,50,68
10:11,-1,Adam White Defensive Rebound.,50,68
9:43,-1,Julius Jackson made Jumper.,52,68
9:37,155,Geno Crandall made Layup.,52,70
9:37,-1,Foul on Tayton Maher.,52,70
9:37,155,Geno Crandall missed Free Throw.,52,70
9:37,-1,Quadre Lollis Defensive Rebound.,52,70
9:17,155,Foul on Geno Crandall.,52,70
9:17,-1,Deiontay Walters missed Free Throw.,52,70
9:17,-1,Presentation College Deadball Team Rebound.,52,70
9:17,-1,Deiontay Walters made Free Throw.,53,70
9:17,-1,Deiontay Walters made Free Throw.,54,70
9:10,155,North Dakota  Timeout,54,70
9:01,155,Conner Avants made Layup. Assisted by Marlon Stewart.,54,72
8:45,155,Foul on Marlon Stewart.,54,72
8:45,-1,Deiontay Walters missed Free Throw.,54,72
8:45,-1,Presentation College Deadball Team Rebound.,54,72
8:45,-1,Deiontay Walters missed Free Throw.,54,72
8:45,155,Marlon Stewart Defensive Rebound.,54,72
8:30,155,Dale Jones missed Three Point Jumper.,54,72
8:30,155,Conner Avants Offensive Rebound.,54,72
8:25,155,Marlon Stewart missed Three Point Jumper.,54,72
8:25,155,Conner Avants Offensive Rebound.,54,72
8:21,155,Billy Brown Turnover.,54,72
8:21,-1,Riyadh Asad Steal.,54,72
8:05,155,Foul on Conner Avants.,54,72
8:05,-1,Quadre Lollis made Free Throw.,55,72
8:05,-1,Quadre Lollis made Free Throw.,56,72
7:52,155,Foul on Marlon Stewart.,56,72
7:52,155,Marlon Stewart Turnover.,56,72
7:52,155,Official TV Timeout,56,72
7:34,-1,Julius Jackson Turnover.,56,72
7:33,155,Geno Crandall Steal.,56,72
7:29,155,Billy Brown Turnover.,56,72
7:11,-1,Adam White made Jumper.,58,72
6:50,155,Conner Avants made Jumper. Assisted by Marlon Stewart.,58,74
6:34,-1,Julius Jackson missed Layup.,58,74
6:34,-1,Adam White Offensive Rebound.,58,74
6:26,155,Foul on Geno Crandall.,58,74
6:26,-1,Adam White missed Free Throw.,58,74
6:26,-1,Presentation College Deadball Team Rebound.,58,74
6:26,-1,Adam White missed Free Throw.,58,74
6:24,-1,Quadre Lollis Offensive Rebound.,58,74
6:09,-1,Deiontay Walters made Jumper.,60,74
5:55,155,Marlon Stewart made Layup.,60,76
5:55,-1,Foul on Tayton Maher.,60,76
5:55,155,Marlon Stewart missed Free Throw.,60,76
5:55,-1,Julius Jackson Defensive Rebound.,60,76
5:40,-1,Quadre Lollis missed Jumper.,60,76
5:40,-1,Deiontay Walters Offensive Rebound.,60,76
5:34,-1,Quadre Lollis made Layup. Assisted by Deiontay Walters.,62,76
5:16,155,Dale Jones missed Three Point Jumper.,62,76
5:16,-1,Julius Jackson Defensive Rebound.,62,76
5:09,-1,Presentation College  Timeout,62,76
4:59,-1,Tayton Maher missed Three Point Jumper.,62,76
4:59,155,Dale Jones Defensive Rebound.,62,76
4:28,155,Jafar Kinsey missed Three Point Jumper.,62,76
4:28,-1,Quadre Lollis Defensive Rebound.,62,76
4:20,-1,Julius Jackson made Jumper.,64,76
4:09,-1,Foul on Tayton Maher.,64,76
4:09,155,Conner Avants made Free Throw.,64,77
4:09,155,Conner Avants made Free Throw.,64,78
3:48,-1,Deiontay Walters missed Three Point Jumper.,64,78
3:48,155,Marlon Stewart Defensive Rebound.,64,78
3:44,155,Dale Jones made Dunk. Assisted by Marlon Stewart.,64,80
3:36,-1,Quadre Lollis Turnover.,64,80
3:36,155,Official TV Timeout,64,80
3:25,155,Jafar Kinsey Turnover.,64,80
3:24,-1,Riyadh Asad Steal.,64,80
3:21,155,Foul on Jafar Kinsey.,64,80
3:21,-1,Deiontay Walters missed Free Throw.,64,80
3:21,-1,Presentation College Deadball Team Rebound.,64,80
3:21,-1,Deiontay Walters missed Free Throw.,64,80
3:21,155,Dale Jones Defensive Rebound.,64,80
2:54,155,Dale Jones missed Three Point Jumper.,64,80
2:54,155,Conner Avants Offensive Rebound.,64,80
2:54,-1,Foul on Adam White.,64,80
2:54,155,Conner Avants missed Free Throw.,64,80
2:54,-1,Quadre Lollis Defensive Rebound.,64,80
2:30,-1,Julius Jackson made Jumper.,66,80
2:07,155,Dale Jones missed Three Point Jumper.,66,80
2:07,-1,Adam White Defensive Rebound.,66,80
1:46,-1,Deiontay Walters made Free Throw.,67,80
1:46,-1,Deiontay Walters made Free Throw.,68,80
1:44,155,Foul on Conner Avants.,68,80
1:44,-1,Presentation College  Timeout,68,80
1:44,-1,Technical Foul on Presentation College.,68,80
1:44,-1,Julius Jackson made Free Throw.,69,80
1:44,-1,Julius Jackson missed Free Throw.,69,80
1:44,-1,Presentation College Deadball Team Rebound.,69,80
1:33,155,Geno Crandall made Layup.,69,82
1:17,-1,Julius Jackson made Layup.,71,82
0:55,155,Marlon Stewart missed Three Point Jumper.,71,82
0:55,-1,Julius Jackson Defensive Rebound.,71,82
0:42,-1,Adam White made Jumper. Assisted by Julius Jackson.,73,82
0:12,155,Geno Crandall missed Jumper.,73,82
0:12,-1,Julius Jackson Defensive Rebound.,73,82
0:01,-1,Deiontay Walters made Layup.,75,82
0:00,155,End of Game,75,82
