Hannibal-LaGrange,Error,Southeast Missouri State,2546
11:49,-1,Foul on Brady Smith.,14,15
11:41,2546,Ledarrius Brewer missed Three Point Jumper.,14,15
11:41,-1,Demetrius Early Defensive Rebound.,14,15
11:11,-1,Demetrius Early missed Three Point Jumper.,14,15
11:11,-1,Trevor Ison Offensive Rebound.,14,15
11:05,-1,Trevor Ison Turnover.,14,15
11:02,2546,Ledarrius Brewer Steal.,14,15
10:58,2546,Denzel Mahoney made Three Point Jumper. Assisted by Ledarrius Brewer.,14,18
10:34,-1,Brady Smith made Jumper.,16,18
10:21,2546,Ledarrius Brewer made Jumper. Assisted by Denzel Mahoney.,16,20
9:53,-1,Trevor Ison missed Jumper.,16,20
9:53,2546,Justin Carpenter Defensive Rebound.,16,20
9:46,2546,Ledarrius Brewer missed Jumper.,16,20
9:46,-1,Demetrius Early Defensive Rebound.,16,20
9:34,-1,Tim Pace made Layup. Assisted by Brady Smith.,18,20
9:13,2546,Ray Kowalski missed Jumper.,18,20
9:13,-1,Hannibal-Lagrange Defensive Rebound.,18,20
9:13,2546,Foul on Justin Carpenter.,18,20
9:01,-1,Trevor Ison missed Jumper.,18,20
9:01,2546,Milos Vranes Block.,18,20
8:57,2546,Daniel Simmons Defensive Rebound.,18,20
8:51,2546,Denzel Mahoney missed Three Point Jumper.,18,20
8:51,2546,Denzel Mahoney Offensive Rebound.,18,20
8:46,2546,Denzel Mahoney missed Jumper.,18,20
8:46,-1,Tyrone Hueitt Jr Block.,18,20
8:44,-1,Lincoln Elbe Defensive Rebound.,18,20
8:24,2546,Foul on Denzel Mahoney.,18,20
8:03,-1,Tyrone Hueitt Jr missed Layup.,18,20
8:03,-1,Hannibal-Lagrange Offensive Rebound.,18,20
7:40,-1,Trevor Ison missed Jumper.,18,20
7:40,2546,Daniel Simmons Defensive Rebound.,18,20
7:29,2546,Denzel Mahoney made Three Point Jumper. Assisted by Donnie Lewis.,18,23
7:21,-1,Tyrone Hueitt Jr made Layup. Assisted by Lincoln Elbe.,20,23
7:05,2546,Denzel Mahoney missed Jumper.,20,23
7:05,2546,Milos Vranes Offensive Rebound.,20,23
7:04,-1,Foul on Trevor Ison.,20,23
7:04,2546,Official TV Timeout,20,23
7:04,2546,Milos Vranes missed Free Throw.,20,23
7:04,2546,Southeast Missouri State Deadball Team Rebound.,20,23
7:04,2546,Milos Vranes made Free Throw.,20,24
6:36,-1,Tim Pace missed Three Point Jumper.,20,24
6:36,-1,Izack Hively Offensive Rebound.,20,24
6:20,-1,Tyrone Hueitt Jr made Layup. Assisted by Lincoln Elbe.,22,24
6:06,2546,Denzel Mahoney made Layup.,22,26
5:39,-1,Tyrone Hueitt Jr missed Jumper.,22,26
5:39,2546,Isaiah Gable Defensive Rebound.,22,26
5:31,2546,Isaiah Gable Turnover.,22,26
5:14,-1,Tyrone Hueitt Jr made Jumper.,24,26
4:44,2546,Isaiah Gable missed Three Point Jumper.,24,26
4:44,-1,Tim Pace Defensive Rebound.,24,26
4:28,-1,Lincoln Elbe missed Three Point Jumper.,24,26
4:28,2546,Isaiah Gable Defensive Rebound.,24,26
4:10,2546,Ledarrius Brewer Turnover.,24,26
4:08,-1,Tim Pace Steal.,24,26
4:07,2546,Foul on Ray Kowalski.,24,26
4:07,-1,Demetrius Early made Free Throw.,25,26
4:07,-1,Demetrius Early missed Free Throw.,25,26
4:07,2546,Isaiah Gable Defensive Rebound.,25,26
3:49,2546,Isaiah Gable Turnover.,25,26
3:49,2546,Official TV Timeout,25,26
3:33,-1,Tyrone Hueitt Jr made Layup.,27,26
3:16,2546,Denzel Mahoney made Jumper.,27,28
2:57,-1,Demetrius Early missed Three Point Jumper.,27,28
2:57,2546,Jonathan Dalton Defensive Rebound.,27,28
2:49,2546,Denzel Mahoney made Three Point Jumper. Assisted by Ledarrius Brewer.,27,31
2:23,-1,Brady Smith missed Jumper.,27,31
2:23,2546,Justin Carpenter Defensive Rebound.,27,31
2:04,2546,Jonathan Dalton missed Three Point Jumper.,27,31
2:04,-1,Hannibal-Lagrange Defensive Rebound.,27,31
1:35,2546,Foul on Jonathan Dalton.,27,31
1:35,-1,Tim Pace missed Free Throw.,27,31
1:35,-1,Hannibal-Lagrange Deadball Team Rebound.,27,31
1:35,-1,Tim Pace made Free Throw.,28,31
1:26,2546,Ledarrius Brewer Turnover.,28,31
1:22,-1,Lincoln Elbe Steal.,28,31
1:22,-1,Lincoln Elbe made Layup.,30,31
1:08,2546,Denzel Mahoney made Layup.,30,33
0:49,-1,Demetrius Early made Three Point Jumper.,33,33
0:26,2546,Denzel Mahoney missed Jumper.,33,33
0:26,-1,Tim Pace Block.,33,33
0:23,-1,Demetrius Early Defensive Rebound.,33,33
0:02,-1,Tim Pace missed Three Point Jumper.,33,33
0:02,2546,Denzel Mahoney Defensive Rebound.,33,33
0:00,2546,End of 1st half,33,33
19:43,-1,Brady Smith made Jumper. Assisted by Tim Pace.,35,33
19:21,-1,Foul on Tim Pace.,35,33
19:21,2546,Denzel Mahoney made Free Throw.,35,34
19:21,2546,Denzel Mahoney made Free Throw.,35,35
19:21,2546,Denzel Mahoney made Free Throw.,35,36
19:13,-1,Brady Smith Turnover.,35,36
19:13,-1,Foul on Brady Smith.,35,36
19:01,2546,Milos Vranes missed Layup.,35,36
19:01,-1,Brady Smith Block.,35,36
18:57,2546,Southeast Missouri State Offensive Rebound.,35,36
18:51,2546,Ledarrius Brewer made Layup.,35,38
18:35,-1,Tim Pace Turnover.,35,38
18:18,2546,Denzel Mahoney made Jumper.,35,40
17:59,2546,Foul on Milos Vranes.,35,40
17:59,-1,Brady Smith missed Free Throw.,35,40
17:59,-1,Hannibal-Lagrange Deadball Team Rebound.,35,40
17:59,-1,Brady Smith made Free Throw.,36,40
17:37,2546,Justin Carpenter missed Layup.,36,40
17:37,-1,Lincoln Elbe Block.,36,40
17:35,-1,Demetrius Early Defensive Rebound.,36,40
17:21,-1,Demetrius Early missed Jumper.,36,40
17:21,2546,Justin Carpenter Block.,36,40
17:18,2546,Justin Carpenter Defensive Rebound.,36,40
17:17,-1,Foul on Lincoln Elbe.,36,40
17:05,2546,Denzel Mahoney made Jumper.,36,42
16:43,-1,Tyrone Hueitt Jr Turnover.,36,42
16:43,-1,Foul on Tyrone Hueitt Jr.,36,42
16:29,2546,Justin Carpenter Turnover.,36,42
16:06,-1,Brady Smith made Jumper. Assisted by Lincoln Elbe.,38,42
15:56,-1,Foul on Tyrone Hueitt Jr.,38,42
15:56,2546,Official TV Timeout,38,42
15:51,2546,Justin Carpenter made Layup. Assisted by Denzel Mahoney.,38,44
15:34,2546,Foul on Justin Carpenter.,38,44
15:34,-1,Tyrone Hueitt Jr missed Free Throw.,38,44
15:34,-1,Hannibal-Lagrange Deadball Team Rebound.,38,44
15:34,-1,Tyrone Hueitt Jr made Free Throw.,39,44
15:12,2546,Ledarrius Brewer made Layup.,39,46
14:57,2546,Foul on Ledarrius Brewer.,39,46
14:46,-1,Tyrone Hueitt Jr Turnover.,39,46
14:46,-1,Foul on Tyrone Hueitt Jr.,39,46
14:34,2546,Denzel Mahoney missed Jumper.,39,46
14:34,-1,Demetrius Early Defensive Rebound.,39,46
14:25,-1,Brady Smith made Layup.,41,46
14:15,2546,Technical Foul on Southeast Missouri State.,41,46
14:15,-1,Demetrius Early missed Free Throw.,41,46
14:15,-1,Hannibal-Lagrange Deadball Team Rebound.,41,46
14:15,-1,Demetrius Early made Free Throw.,42,46
14:14,-1,Foul on Tim Pace.,42,46
14:14,2546,Denzel Mahoney missed Free Throw.,42,46
14:14,-1,Brady Smith Defensive Rebound.,42,46
14:10,-1,Tim Pace Turnover.,42,46
13:54,2546,Daniel Simmons missed Jumper.,42,46
13:54,-1,Demetrius Early Defensive Rebound.,42,46
13:40,-1,Tim Pace made Layup. Assisted by Brady Smith.,44,46
13:24,-1,Foul on Izack Hively.,44,46
13:24,2546,Isaiah Gable missed Free Throw.,44,46
13:24,2546,Southeast Missouri State Deadball Team Rebound.,44,46
13:24,2546,Isaiah Gable made Free Throw.,44,47
13:06,-1,Brady Smith Turnover.,44,47
12:55,2546,Daniel Simmons missed Jumper.,44,47
12:55,-1,Tyrone Hueitt Jr Block.,44,47
12:51,-1,Trevor Ison Defensive Rebound.,44,47
12:46,-1,Lincoln Elbe missed Three Point Jumper.,44,47
12:46,2546,Southeast Missouri State Defensive Rebound.,44,47
12:26,2546,Daniel Simmons missed Three Point Jumper.,44,47
12:26,2546,Mark Laros Offensive Rebound.,44,47
12:20,2546,Denzel Mahoney made Layup.,44,49
12:20,-1,Foul on Izack Hively.,44,49
12:20,2546,Denzel Mahoney made Free Throw.,44,50
12:02,-1,Trevor Ison missed Jumper.,44,50
12:02,2546,Mark Laros Block.,44,50
12:02,-1,Trevor Ison Offensive Rebound.,44,50
12:02,2546,Foul on Mark Laros.,44,50
12:02,2546,Foul on Daniel Simmons.,44,50
11:50,-1,Tim Pace missed Jumper.,44,50
11:50,2546,Isaiah Gable Defensive Rebound.,44,50
11:41,-1,Foul on Trevor Ison.,44,50
11:41,2546,Official TV Timeout,44,50
11:41,2546,Isaiah Gable made Free Throw.,44,51
11:41,2546,Isaiah Gable made Free Throw.,44,52
11:24,-1,Trevor Ison made Jumper. Assisted by Tim Pace.,46,52
11:17,-1,Foul on Trevor Ison.,46,52
11:17,2546,Denzel Mahoney made Free Throw.,46,53
11:17,2546,Denzel Mahoney made Free Throw.,46,54
11:05,-1,Brady Smith Turnover.,46,54
11:03,2546,Jonathan Dalton Steal.,46,54
10:59,2546,Isaiah Gable made Layup. Assisted by Jonathan Dalton.,46,56
10:34,-1,Izack Hively Turnover.,46,56
10:31,2546,Denzel Mahoney Steal.,46,56
10:28,2546,Justin Carpenter made Dunk. Assisted by Denzel Mahoney.,46,58
10:17,-1,Tyrone Hueitt Jr Turnover.,46,58
10:17,2546,Jonathan Dalton Steal.,46,58
10:17,2546,Daniel Simmons made Layup. Assisted by Jonathan Dalton.,46,60
10:17,-1,Foul on Izack Hively.,46,60
10:17,2546,Daniel Simmons made Free Throw.,46,61
10:09,-1,Tim Pace made Jumper.,48,61
9:59,2546,Justin Carpenter missed Layup.,48,61
9:59,-1,Tim Pace Defensive Rebound.,48,61
9:50,-1,Demetrius Early Turnover.,48,61
9:49,2546,Daniel Simmons Steal.,48,61
9:45,2546,Daniel Simmons made Jumper.,48,63
9:26,-1,Tyrone Hueitt Jr missed Jumper.,48,63
9:26,-1,Demetrius Early Offensive Rebound.,48,63
9:19,-1,Tim Pace missed Three Point Jumper.,48,63
9:19,2546,Isaiah Gable Defensive Rebound.,48,63
9:12,2546,Daniel Simmons missed Jumper.,48,63
9:12,2546,Jonathan Dalton Offensive Rebound.,48,63
8:52,2546,Isaiah Gable missed Three Point Jumper.,48,63
8:52,-1,Lincoln Elbe Defensive Rebound.,48,63
8:42,-1,Tim Pace made Layup.,50,63
8:42,2546,Foul on Isaiah Gable.,50,63
8:42,-1,Tim Pace missed Free Throw.,50,63
8:42,2546,Justin Carpenter Defensive Rebound.,50,63
8:29,2546,Daniel Simmons missed Three Point Jumper.,50,63
8:29,2546,Daniel Simmons Offensive Rebound.,50,63
8:24,2546,Daniel Simmons made Layup.,50,65
8:11,-1,Brady Smith missed Jumper.,50,65
8:11,2546,Milos Vranes Defensive Rebound.,50,65
7:55,-1,Foul on Demetrius Early.,50,65
7:53,2546,Official TV Timeout,50,65
7:53,2546,Justin Carpenter made Free Throw.,50,66
7:53,2546,Justin Carpenter made Free Throw.,50,67
7:39,2546,Ledarrius Brewer made Three Point Jumper. Assisted by Daniel Simmons.,50,70
7:23,-1,Tim Pace missed Jumper.,50,70
7:23,2546,Ledarrius Brewer Defensive Rebound.,50,70
7:15,2546,Daniel Simmons missed Layup.,50,70
7:15,2546,Milos Vranes Offensive Rebound.,50,70
7:11,2546,Milos Vranes made Layup.,50,72
6:45,-1,Tim Pace Turnover.,50,72
6:31,2546,Ledarrius Brewer made Three Point Jumper. Assisted by Daniel Simmons.,50,75
6:06,-1,Lincoln Elbe missed Three Point Jumper.,50,75
6:06,2546,Ledarrius Brewer Defensive Rebound.,50,75
5:57,2546,Daniel Simmons missed Three Point Jumper.,50,75
5:57,-1,Hannibal-Lagrange Defensive Rebound.,50,75
5:43,-1,Brady Smith made Three Point Jumper. Assisted by Izack Hively.,53,75
5:23,2546,Daniel Simmons made Layup.,53,77
5:23,-1,Foul on Demetrius Early.,53,77
5:23,2546,Daniel Simmons made Free Throw.,53,78
5:12,-1,Trevor Ison made Jumper. Assisted by Demetrius Early.,55,78
5:04,2546,Justin Carpenter Turnover.,55,78
5:04,2546,Foul on Justin Carpenter.,55,78
4:51,-1,Adam Ingle Turnover.,55,78
4:43,2546,Donnie Lewis Turnover.,55,78
4:41,-1,Brady Smith Steal.,55,78
4:39,-1,Brady Smith made Layup.,57,78
4:08,2546,Milos Vranes missed Three Point Jumper.,57,78
4:08,-1,Brady Smith Defensive Rebound.,57,78
3:49,-1,Izack Hively Turnover.,57,78
3:46,2546,Justin Carpenter Steal.,57,78
3:43,2546,Ledarrius Brewer missed Dunk.,57,78
3:43,-1,Hannibal-Lagrange Defensive Rebound.,57,78
3:42,2546,Official TV Timeout,57,78
3:35,-1,Reed Plunkett Turnover.,57,78
3:32,2546,Donnie Lewis Steal.,57,78
3:22,2546,Ledarrius Brewer made Jumper.,57,80
2:54,2546,Foul on Isaiah Gable.,57,80
2:54,-1,Trevor Ison missed Free Throw.,57,80
2:54,2546,Isaiah Gable Defensive Rebound.,57,80
2:39,-1,Foul on Clay Thebeau.,57,80
2:39,2546,Ledarrius Brewer missed Free Throw.,57,80
2:39,2546,Southeast Missouri State Deadball Team Rebound.,57,80
2:39,2546,Ledarrius Brewer made Free Throw.,57,81
2:25,-1,Trevor Ison made Layup. Assisted by Reed Plunkett.,59,81
2:11,2546,Ray Kowalski missed Three Point Jumper.,59,81
2:11,2546,Mark Laros Offensive Rebound.,59,81
2:11,-1,Foul on Trevor Ison.,59,81
2:07,2546,Mark Laros missed Free Throw.,59,81
2:07,2546,Southeast Missouri State Deadball Team Rebound.,59,81
2:07,2546,Mark Laros missed Free Throw.,59,81
2:07,-1,Bruce Ogalat Defensive Rebound.,59,81
1:48,-1,Bruce Ogalat missed Jumper.,59,81
1:48,2546,Mark Laros Defensive Rebound.,59,81
1:39,2546,Ray Kowalski made Jumper.,59,83
1:12,-1,Clay Thebeau Turnover.,59,83
1:10,2546,Ray Kowalski Steal.,59,83
1:08,2546,Ray Kowalski Turnover.,59,83
1:06,-1,Tyler Ison Steal.,59,83
1:00,-1,Reed Plunkett missed Three Point Jumper.,59,83
1:00,-1,Clay Thebeau Offensive Rebound.,59,83
0:54,-1,Clay Thebeau Turnover.,59,83
0:50,2546,Donnie Lewis Steal.,59,83
0:45,2546,Ray Kowalski missed Three Point Jumper.,59,83
0:45,-1,Adam Ingle Defensive Rebound.,59,83
0:32,-1,Adam Ingle missed Jumper.,59,83
0:32,-1,Bruce Ogalat Offensive Rebound.,59,83
0:29,-1,Tyler Ison missed Jumper.,59,83
0:29,2546,Isaiah Gable Defensive Rebound.,59,83
0:01,2546,Southeast Missouri State  Turnover.,59,83
0:00,2546,End of Game,59,83
