Baylor,2752,Xavier,239
12:52,239,Terry Maston made Layup. Assisted by Jake Lindsey.,8,18
12:40,2752,Kaiser Gates made Three Point Jumper. Assisted by Naji Marshall.,8,21
12:11,239,Nuni Omot missed Jumper.,8,21
12:11,2752,Kaiser Gates Defensive Rebound.,8,21
11:59,239,Foul on Manu Lecomte.,8,21
11:59,2752,Official TV Timeout,8,21
11:41,2752,Kaiser Gates Turnover.,8,21
11:29,239,Mark Vital Turnover.,8,21
11:29,2752,Paul Scruggs Steal.,8,21
11:21,2752,Paul Scruggs Turnover.,8,21
11:21,239,Mark Vital Steal.,8,21
11:09,239,King McClure made Layup. Assisted by Mark Vital.,10,21
10:58,2752,Kerem Kanter made Layup.,10,23
10:40,239,King McClure missed Jumper.,10,23
10:40,239,Terry Maston Offensive Rebound.,10,23
10:32,239,Terry Maston made Jumper.,12,23
10:11,2752,Foul on Paul Scruggs.,12,23
10:11,2752,Paul Scruggs Turnover.,12,23
10:01,239,Terry Maston made Layup. Assisted by Jake Lindsey.,14,23
9:37,2752,Kerem Kanter missed Three Point Jumper.,14,23
9:37,2752,Naji Marshall Offensive Rebound.,14,23
9:32,2752,Naji Marshall made Dunk.,14,25
9:09,239,Terry Maston made Jumper. Assisted by Jake Lindsey.,16,25
8:44,239,Foul on King McClure.,16,25
8:28,2752,J.P. Macura made Layup. Assisted by Paul Scruggs.,16,27
8:12,239,Terry Maston made Three Point Jumper. Assisted by Jake Lindsey.,19,27
7:55,2752,Tyrique Jones Turnover.,19,27
7:55,2752,Official TV Timeout,19,27
7:37,239,Terry Maston missed Jumper.,19,27
7:37,239,Mark Vital Offensive Rebound.,19,27
7:30,239,Mark Vital made Layup.,21,27
7:11,239,Foul on Mark Vital.,21,27
7:01,2752,Paul Scruggs missed Three Point Jumper.,21,27
7:01,239,Jake Lindsey Defensive Rebound.,21,27
6:53,239,King McClure Turnover.,21,27
6:40,2752,Trevon Bluiett made Layup.,21,29
6:16,239,Tristan Clark missed Jumper.,21,29
6:16,239,Mark Vital Offensive Rebound.,21,29
6:11,239,Mark Vital missed Jumper.,21,29
6:11,2752,Trevon Bluiett Defensive Rebound.,21,29
6:01,2752,Trevon Bluiett missed Three Point Jumper.,21,29
6:01,239,Tristan Clark Defensive Rebound.,21,29
5:43,239,Terry Maston made Jumper. Assisted by Mark Vital.,23,29
5:31,2752,J.P. Macura missed Three Point Jumper.,23,29
5:31,239,Mark Vital Defensive Rebound.,23,29
5:13,239,King McClure made Three Point Jumper. Assisted by Tristan Clark.,26,29
5:10,239,Foul on Mark Vital.,26,29
5:10,2752,Foul on Sean O'Mara.,26,29
4:53,239,Foul on Terry Maston.,26,29
4:53,2752,Kerem Kanter missed Free Throw.,26,29
4:53,2752,Xavier Deadball Team Rebound.,26,29
4:53,2752,Kerem Kanter made Free Throw.,26,30
4:42,239,Manu Lecomte made Three Point Jumper. Assisted by King McClure.,29,30
4:33,2752,Trevon Bluiett missed Three Point Jumper.,29,30
4:33,2752,Kaiser Gates Offensive Rebound.,29,30
4:19,2752,Kerem Kanter missed Layup.,29,30
4:19,239,Jo Lual-Acuil Jr. Defensive Rebound.,29,30
4:05,239,Terry Maston Turnover.,29,30
3:53,2752,Trevon Bluiett made Jumper.,29,32
3:30,2752,Official TV Timeout,29,32
3:22,239,Manu Lecomte missed Three Point Jumper.,29,32
3:22,2752,J.P. Macura Defensive Rebound.,29,32
3:02,2752,Kaiser Gates missed Three Point Jumper.,29,32
3:02,239,Manu Lecomte Defensive Rebound.,29,32
2:45,239,Manu Lecomte missed Three Point Jumper.,29,32
2:45,2752,Paul Scruggs Defensive Rebound.,29,32
2:37,2752,J.P. Macura made Layup. Assisted by Paul Scruggs.,29,34
2:22,239,Jo Lual-Acuil Jr. missed Three Point Jumper.,29,34
2:22,2752,J.P. Macura Defensive Rebound.,29,34
2:07,2752,Kaiser Gates missed Three Point Jumper.,29,34
2:07,2752,Kerem Kanter Offensive Rebound.,29,34
2:05,239,Foul on Nuni Omot.,29,34
2:05,2752,Kerem Kanter missed Free Throw.,29,34
2:05,239,Jake Lindsey Defensive Rebound.,29,34
1:40,239,Mark Vital missed Jumper.,29,34
1:40,239,Mark Vital Offensive Rebound.,29,34
1:37,239,Mark Vital missed Jumper.,29,34
1:37,2752,Paul Scruggs Defensive Rebound.,29,34
1:28,2752,Trevon Bluiett Turnover.,29,34
1:28,239,Mark Vital Steal.,29,34
1:18,2752,Foul on Kerem Kanter.,29,34
1:18,239,Mark Vital missed Free Throw.,29,34
1:18,239,Baylor Deadball Team Rebound.,29,34
1:18,239,Mark Vital made Free Throw.,30,34
1:05,2752,Trevon Bluiett Turnover.,30,34
1:05,239,Jake Lindsey Steal.,30,34
0:59,2752,Foul on J.P. Macura.,30,34
0:59,239,Jo Lual-Acuil Jr. made Free Throw.,31,34
0:59,239,Jo Lual-Acuil Jr. made Free Throw.,32,34
0:44,2752,J.P. Macura missed Jumper.,32,34
0:44,2752,Naji Marshall Offensive Rebound.,32,34
0:39,2752,Naji Marshall made Jumper.,32,36
0:16,239,Jake Lindsey missed Layup.,32,36
0:16,239,Terry Maston Offensive Rebound.,32,36
0:11,239,Terry Maston made Layup.,34,36
0:05,2752,J.P. Macura made Three Point Jumper.,34,39
0:00,2752,End of 1st half,34,39
20:00,2752,Jump Ball won by Xavier,34,39
19:47,2752,Kaiser Gates made Three Point Jumper. Assisted by Quentin Goodin.,34,42
19:27,239,Manu Lecomte made Three Point Jumper. Assisted by King McClure.,37,42
19:11,239,Foul on Jo Lual-Acuil Jr..,37,42
19:11,2752,Tyrique Jones made Free Throw.,37,43
19:11,2752,Tyrique Jones missed Free Throw.,37,43
19:11,239,Nuni Omot Defensive Rebound.,37,43
19:03,239,Nuni Omot made Layup.,39,43
18:44,2752,Kaiser Gates missed Three Point Jumper.,39,43
18:44,239,King McClure Defensive Rebound.,39,43
18:39,2752,Foul on Trevon Bluiett.,39,43
18:19,239,Jo Lual-Acuil Jr. made Jumper.,41,43
17:54,2752,Kaiser Gates made Layup. Assisted by J.P. Macura.,41,45
17:17,239,Manu Lecomte Turnover.,41,45
17:04,239,Foul on Nuni Omot.,41,45
16:50,2752,Quentin Goodin missed Three Point Jumper.,41,45
16:50,239,Nuni Omot Defensive Rebound.,41,45
16:42,2752,Foul on Kaiser Gates.,41,45
16:40,239,Manu Lecomte missed Three Point Jumper.,41,45
16:40,239,Nuni Omot Offensive Rebound.,41,45
16:36,239,Nuni Omot made Layup.,43,45
16:25,2752,J.P. Macura missed Three Point Jumper.,43,45
16:25,2752,Kaiser Gates Offensive Rebound.,43,45
16:22,239,Foul on King McClure.,43,45
16:15,2752,Tyrique Jones missed Jumper.,43,45
16:15,2752,J.P. Macura Offensive Rebound.,43,45
16:11,2752,J.P. Macura missed Layup.,43,45
16:11,239,Baylor Defensive Rebound.,43,45
15:55,239,Manu Lecomte Turnover.,43,45
15:55,2752,Official TV Timeout,43,45
15:45,239,Foul on Nuni Omot.,43,45
15:39,2752,J.P. Macura made Layup. Assisted by Quentin Goodin.,43,47
15:27,239,King McClure missed Three Point Jumper.,43,47
15:27,2752,Tyrique Jones Defensive Rebound.,43,47
15:18,2752,Quentin Goodin missed Jumper.,43,47
15:18,239,Terry Maston Defensive Rebound.,43,47
15:11,239,Manu Lecomte missed Three Point Jumper.,43,47
15:11,2752,Kaiser Gates Defensive Rebound.,43,47
14:50,2752,Naji Marshall made Layup. Assisted by Quentin Goodin.,43,49
14:30,2752,Foul on Kaiser Gates.,43,49
14:10,239,Manu Lecomte missed Jumper.,43,49
14:10,2752,Tyrique Jones Block.,43,49
14:10,2752,Xavier Defensive Rebound.,43,49
13:59,2752,Naji Marshall missed Three Point Jumper.,43,49
13:59,2752,Sean O'Mara Offensive Rebound.,43,49
13:48,239,Foul on Tristan Clark.,43,49
13:44,2752,Naji Marshall missed Layup.,43,49
13:44,239,Mark Vital Defensive Rebound.,43,49
13:35,239,Jake Lindsey Turnover.,43,49
13:14,239,Foul on Jo Lual-Acuil Jr..,43,49
13:14,2752,Naji Marshall made Free Throw.,43,50
13:14,2752,Naji Marshall made Free Throw.,43,51
12:47,239,Mark Vital missed Jumper.,43,51
12:47,2752,Naji Marshall Defensive Rebound.,43,51
12:37,2752,Quentin Goodin missed Layup.,43,51
12:37,239,Mark Vital Block.,43,51
12:37,2752,Quentin Goodin Offensive Rebound.,43,51
12:35,239,Foul on Manu Lecomte.,43,51
12:35,2752,Naji Marshall made Free Throw.,43,52
12:35,2752,Naji Marshall made Free Throw.,43,53
12:21,239,Mark Vital Turnover.,43,53
12:21,2752,J.P. Macura Steal.,43,53
12:15,2752,Quentin Goodin made Layup. Assisted by J.P. Macura.,43,55
12:00,239,Tristan Clark Turnover.,43,55
12:00,2752,Trevon Bluiett Steal.,43,55
11:55,239,Foul on Jake Lindsey.,43,55
11:55,2752,Official TV Timeout,43,55
11:55,2752,Naji Marshall missed Free Throw.,43,55
11:55,2752,Xavier Deadball Team Rebound.,43,55
11:55,2752,Naji Marshall missed Free Throw.,43,55
11:55,2752,Naji Marshall Offensive Rebound.,43,55
11:41,2752,Sean O'Mara made Layup. Assisted by Quentin Goodin.,43,57
11:26,2752,Foul on Sean O'Mara.,43,57
11:19,239,Jo Lual-Acuil Jr. missed Jumper.,43,57
11:19,239,Mark Vital Offensive Rebound.,43,57
11:14,239,Mark Vital made Layup.,45,57
10:49,2752,Sean O'Mara Turnover.,45,57
10:36,2752,Foul on Kerem Kanter.,45,57
10:36,239,Mark Vital made Free Throw.,46,57
10:36,239,Mark Vital made Free Throw.,47,57
10:24,239,Foul on Mark Vital.,47,57
10:24,2752,Trevon Bluiett made Free Throw.,47,58
10:24,2752,Trevon Bluiett made Free Throw.,47,59
10:05,239,Foul on Nuni Omot.,47,59
10:05,239,Nuni Omot Turnover.,47,59
9:43,2752,Kerem Kanter missed Jumper.,47,59
9:43,239,Jo Lual-Acuil Jr. Block.,47,59
9:43,239,King McClure Defensive Rebound.,47,59
9:35,239,Mark Vital made Dunk. Assisted by King McClure.,49,59
9:01,2752,Quentin Goodin missed Jumper.,49,59
9:01,239,Jo Lual-Acuil Jr. Defensive Rebound.,49,59
8:52,239,Manu Lecomte made Layup.,51,59
8:30,239,Foul on Jake Lindsey.,51,59
8:30,2752,Kaiser Gates made Free Throw.,51,60
8:30,2752,Kaiser Gates made Free Throw.,51,61
8:08,239,Mark Vital Turnover.,51,61
7:59,2752,Trevon Bluiett missed Jumper.,51,61
7:59,239,Jake Lindsey Block.,51,61
7:59,239,King McClure Defensive Rebound.,51,61
7:52,239,Manu Lecomte made Three Point Jumper. Assisted by King McClure.,54,61
7:38,2752,J.P. Macura Turnover.,54,61
7:38,239,Jo Lual-Acuil Jr. Steal.,54,61
7:32,239,Mark Vital made Layup. Assisted by Jake Lindsey.,56,61
7:26,2752,Xavier  Timeout,56,61
7:09,2752,J.P. Macura Turnover.,56,61
7:09,2752,Official TV Timeout,56,61
6:53,239,Jo Lual-Acuil Jr. missed Jumper.,56,61
6:53,2752,Xavier Defensive Rebound.,56,61
6:35,2752,Trevon Bluiett made Jumper.,56,63
6:00,239,Manu Lecomte missed Layup.,56,63
6:00,2752,Tyrique Jones Defensive Rebound.,56,63
5:50,239,Foul on Manu Lecomte.,56,63
5:50,2752,Trevon Bluiett made Free Throw.,56,64
5:50,2752,Trevon Bluiett made Free Throw.,56,65
5:34,2752,Foul on J.P. Macura.,56,65
5:34,239,King McClure missed Free Throw.,56,65
5:34,239,Baylor Deadball Team Rebound.,56,65
5:34,239,King McClure made Free Throw.,57,65
5:11,2752,Trevon Bluiett missed Jumper.,57,65
5:11,239,Mark Vital Defensive Rebound.,57,65
4:50,2752,Foul on Tyrique Jones.,57,65
4:50,239,King McClure made Free Throw.,58,65
4:50,239,King McClure made Free Throw.,59,65
4:34,2752,J.P. Macura missed Jumper.,59,65
4:34,239,Jake Lindsey Defensive Rebound.,59,65
4:19,239,Mark Vital missed Dunk.,59,65
4:19,2752,Kerem Kanter Defensive Rebound.,59,65
3:55,2752,Kaiser Gates missed Three Point Jumper.,59,65
3:55,2752,Trevon Bluiett Offensive Rebound.,59,65
3:48,2752,J.P. Macura missed Layup.,59,65
3:48,2752,Trevon Bluiett Offensive Rebound.,59,65
3:45,2752,Xavier  Timeout,59,65
3:45,2752,Official TV Timeout,59,65
3:45,2752,Kerem Kanter made Layup. Assisted by Quentin Goodin.,59,67
3:29,239,King McClure made Layup.,61,67
3:08,2752,Quentin Goodin missed Layup.,61,67
3:08,239,Jo Lual-Acuil Jr. Block.,61,67
3:08,2752,J.P. Macura Offensive Rebound.,61,67
2:58,239,Foul on Manu Lecomte.,61,67
2:58,2752,Quentin Goodin made Free Throw.,61,68
2:58,2752,Quentin Goodin made Free Throw.,61,69
2:48,239,Baylor  Timeout,61,69
2:32,239,King McClure missed Jumper.,61,69
2:32,2752,J.P. Macura Block.,61,69
2:32,2752,Trevon Bluiett Defensive Rebound.,61,69
2:02,2752,Trevon Bluiett Turnover.,61,69
1:53,239,Nuni Omot missed Three Point Jumper.,61,69
1:53,2752,Quentin Goodin Defensive Rebound.,61,69
1:33,2752,Kaiser Gates made Three Point Jumper. Assisted by Quentin Goodin.,61,72
1:18,239,Manu Lecomte missed Three Point Jumper.,61,72
1:18,2752,Tyrique Jones Defensive Rebound.,61,72
0:50,2752,J.P. Macura missed Three Point Jumper.,61,72
0:50,239,Nuni Omot Defensive Rebound.,61,72
0:44,2752,Foul on Tyrique Jones.,61,72
0:44,239,Nuni Omot made Free Throw.,62,72
0:44,239,Nuni Omot made Free Throw.,63,72
0:42,239,Foul on Jake Lindsey.,63,72
0:42,2752,Kerem Kanter made Free Throw.,63,73
0:42,2752,Kerem Kanter made Free Throw.,63,74
0:40,239,Foul on Jo Lual-Acuil Jr..,63,74
0:40,2752,Kerem Kanter made Free Throw.,63,75
0:40,2752,Kerem Kanter made Free Throw.,63,76
0:20,239,Nuni Omot missed Three Point Jumper.,63,76
0:20,2752,Trevon Bluiett Defensive Rebound.,63,76
0:00,2752,End of Game,63,76
