Schreiner,Error,Sam Houston State,2534
15:23,2534,John Dewey III missed Jumper.,38,42
15:23,-1,Paul Wells Defensive Rebound.,38,42
15:17,-1,Ellis Jones Turnover.,38,42
15:08,2534,Chidozie Ndu made Dunk. Assisted by Christopher Galbreath Jr..,38,44
14:49,-1,Paul Wells Turnover.,38,44
14:38,2534,John Dewey III missed Three Point Jumper.,38,44
14:38,-1,Andrew Sparks Defensive Rebound.,38,44
14:30,-1,Andrew Sparks missed Three Point Jumper.,38,44
14:30,2534,John Dewey III Defensive Rebound.,38,44
14:21,-1,Foul on Paul Wells.,38,44
14:21,2534,Jamal Williams made Free Throw.,38,45
14:21,2534,Jamal Williams made Free Throw.,38,46
14:16,-1,Andrew Logan missed Jumper.,38,46
14:15,2534,Christopher Galbreath Jr. Defensive Rebound.,38,46
13:50,2534,Christopher Galbreath Jr. missed Dunk.,38,46
13:48,2534,Jamal Williams Offensive Rebound.,38,46
13:37,-1,Foul on Paul Wells.,38,46
13:32,2534,Christopher Galbreath Jr. missed Jumper.,38,46
13:32,2534,Jamal Williams Offensive Rebound.,38,46
13:29,-1,Foul on Ellis Jones.,38,46
13:29,2534,Jamal Williams missed Free Throw.,38,46
13:29,2534,Sam Houston State Deadball Team Rebound.,38,46
13:29,2534,Jamal Williams missed Free Throw.,38,46
13:29,-1,Matthew Rindahl Defensive Rebound.,38,46
13:11,-1,Ellis Jones missed Three Point Jumper.,38,46
13:11,2534,Albert Almanza Defensive Rebound.,38,46
13:00,2534,Albert Almanza made Three Point Jumper. Assisted by Josh Delaney.,38,49
12:39,-1,Keenan Gumbs made Three Point Jumper.,41,49
12:35,-1,Schreiner  Timeout,41,49
12:15,-1,Foul on Matthew Rindahl.,41,49
12:15,2534,Albert Almanza missed Free Throw.,41,49
12:15,2534,Sam Houston State Deadball Team Rebound.,41,49
12:15,2534,Albert Almanza made Free Throw.,41,50
11:56,-1,Keenan Gumbs missed Layup.,41,50
11:56,2534,Abrian Edwards Defensive Rebound.,41,50
11:45,2534,Albert Almanza made Three Point Jumper. Assisted by Josh Delaney.,41,53
11:32,-1,Keenan Gumbs Turnover.,41,53
11:31,2534,Cameron Delaney Steal.,41,53
11:29,-1,Foul on Keenan Gumbs.,41,53
11:29,2534,Official TV Timeout,41,53
11:29,2534,Cameron Delaney made Free Throw.,41,54
11:29,2534,Cameron Delaney made Free Throw.,41,55
11:01,-1,Trevor Graham missed Layup.,41,55
11:01,2534,Freddy Bitondo Defensive Rebound.,41,55
10:47,2534,Albert Almanza made Three Point Jumper. Assisted by Josh Delaney.,41,58
10:19,-1,Andrew Sparks missed Three Point Jumper.,41,58
10:19,2534,Cameron Delaney Defensive Rebound.,41,58
10:06,2534,Foul on Bubba Furlong.,41,58
10:06,-1,Foul on Trevor Graham.,41,58
10:06,2534,Albert Almanza missed Free Throw.,41,58
10:06,2534,Sam Houston State Deadball Team Rebound.,41,58
10:06,2534,Albert Almanza made Free Throw.,41,59
9:50,-1,TJ Distefano Turnover.,41,59
9:50,2534,Josh Delaney Steal.,41,59
9:32,2534,Albert Almanza made Three Point Jumper. Assisted by Josh Delaney.,41,62
9:18,-1,TJ Distefano made Free Throw.,42,62
9:18,-1,TJ Distefano made Free Throw.,43,62
8:59,2534,Albert Almanza made Three Point Jumper. Assisted by Cameron Delaney.,43,65
8:33,2534,Foul on Cameron Delaney.,43,65
8:29,2534,Foul on Bubba Furlong.,43,65
8:26,-1,Chase Pinter missed Three Point Jumper.,43,65
8:26,-1,Trevor Graham Offensive Rebound.,43,65
8:24,2534,Foul on Albert Almanza.,43,65
8:17,-1,Luis Mancillas missed Layup.,43,65
8:17,2534,Albert Almanza Block.,43,65
8:17,-1,Schreiner Offensive Rebound.,43,65
8:08,-1,Luis Mancillas Turnover.,43,65
8:07,2534,Josh Delaney Steal.,43,65
8:05,2534,Josh Delaney made Three Point Jumper. Assisted by Bubba Furlong.,43,68
7:49,-1,TJ Distefano missed Three Point Jumper.,43,68
7:49,2534,Abrian Edwards Defensive Rebound.,43,68
7:39,2534,Albert Almanza missed Three Point Jumper.,43,68
7:39,-1,Trevor Graham Defensive Rebound.,43,68
7:14,-1,TJ Distefano missed Three Point Jumper.,43,68
7:14,2534,Abrian Edwards Defensive Rebound.,43,68
7:07,2534,Josh Delaney made Three Point Jumper. Assisted by Abrian Edwards.,43,71
6:53,-1,Chase Pinter made Three Point Jumper. Assisted by Trevor Graham.,46,71
6:34,2534,Cameron Delaney missed Three Point Jumper.,46,71
6:34,-1,Chase Pinter Defensive Rebound.,46,71
6:20,2534,Foul on Abrian Edwards.,46,71
6:20,-1,Josh Berry missed Free Throw.,46,71
6:20,2534,Chidozie Ndu Defensive Rebound.,46,71
6:04,-1,Foul on Jordan Hafley.,46,71
6:04,2534,Chidozie Ndu missed Free Throw.,46,71
6:04,-1,Matthew Rindahl Defensive Rebound.,46,71
5:42,-1,Keenan Gumbs made Jumper. Assisted by Andrew Logan.,48,71
5:25,2534,Chidozie Ndu made Dunk. Assisted by Albert Almanza.,48,73
5:11,-1,Matthew Rindahl missed Three Point Jumper.,48,73
5:11,2534,Abrian Edwards Defensive Rebound.,48,73
4:54,2534,Albert Almanza missed Three Point Jumper.,48,73
4:54,2534,Abrian Edwards Offensive Rebound.,48,73
4:38,2534,Albert Almanza missed Layup.,48,73
4:38,2534,Dajuan Jones Offensive Rebound.,48,73
4:34,2534,Devin Jackson missed Three Point Jumper.,48,73
4:34,-1,Schreiner Defensive Rebound.,48,73
4:10,-1,Keenan Gumbs missed Jumper.,48,73
4:10,2534,Dajuan Jones Defensive Rebound.,48,73
3:55,2534,Abrian Edwards missed Jumper.,48,73
3:55,-1,Matthew Rindahl Defensive Rebound.,48,73
3:47,2534,Foul on Albert Almanza.,48,73
3:47,2534,Official TV Timeout,48,73
3:47,-1,Keenan Gumbs made Free Throw.,49,73
3:47,-1,Keenan Gumbs made Free Throw.,50,73
3:37,2534,Dajuan Jones missed Three Point Jumper.,50,73
3:37,2534,Chidozie Ndu Offensive Rebound.,50,73
3:33,2534,Chidozie Ndu missed Layup.,50,73
3:33,-1,Matthew Rindahl Defensive Rebound.,50,73
3:24,-1,TJ Distefano missed Three Point Jumper.,50,73
3:24,-1,Keenan Gumbs Offensive Rebound.,50,73
3:20,2534,Foul on Freddy Bitondo.,50,73
3:20,-1,Keenan Gumbs made Free Throw.,51,73
3:20,-1,Keenan Gumbs made Free Throw.,52,73
2:53,2534,Dajuan Jones Turnover.,52,73
2:31,-1,Andrew Logan missed Three Point Jumper.,52,73
2:31,2534,Jamal Williams Defensive Rebound.,52,73
2:12,2534,Dajuan Jones missed Three Point Jumper.,52,73
2:12,-1,Matthew Rindahl Defensive Rebound.,52,73
1:58,-1,Paul Wells missed Jumper.,52,73
1:58,2534,Cameron Delaney Defensive Rebound.,52,73
1:51,2534,Dajuan Jones Turnover.,52,73
1:50,-1,Paul Wells Steal.,52,73
1:46,-1,Matthew Rindahl made Layup.,54,73
1:46,2534,Foul on Dajuan Jones.,54,73
1:46,-1,Matthew Rindahl made Free Throw.,55,73
1:36,2534,Devin Jackson made Three Point Jumper. Assisted by Dajuan Jones.,55,76
1:22,-1,Schreiner  Timeout,55,76
1:03,-1,Jordan Hafley Turnover.,55,76
0:48,2534,Dajuan Jones made Jumper.,55,78
0:36,-1,Josiah Lanier missed Three Point Jumper.,55,78
0:36,2534,Sam Houston State Defensive Rebound.,55,78
0:12,2534,Devin Jackson made Three Point Jumper.,55,81
0:02,-1,Gabriel Reichert-Blume missed Three Point Jumper.,55,81
0:01,2534,Freddy Bitondo Defensive Rebound.,55,81
0:00,2534,End of Game,55,81
