Loyola New Orleans,Error,SE Louisiana,2545
9:48,-1,Josh Leaney missed Jumper.,11,20
9:48,2545,Moses Greenwood Defensive Rebound.,11,20
9:40,2545,D'Angelo West missed Three Point Jumper.,11,20
9:40,-1,Robert White Defensive Rebound.,11,20
9:33,-1,Robert White Turnover.,11,20
9:19,2545,Jordan Capps made Jumper. Assisted by Eddy Polanco.,11,22
8:55,-1,Tre'Von Jasmine missed Jumper.,11,22
8:55,-1,Nick Parker Offensive Rebound.,11,22
8:48,-1,Nick Parker Turnover.,11,22
8:47,2545,Eddy Polanco Steal.,11,22
8:38,-1,Foul on Terry Smith Jr..,11,22
8:38,2545,Jordan Capps missed Free Throw.,11,22
8:38,2545,SE Louisiana Deadball Team Rebound.,11,22
8:38,2545,Jordan Capps made Free Throw.,11,23
8:15,-1,Josh Leaney Turnover.,11,23
8:05,2545,D'Angelo West made Three Point Jumper. Assisted by Eddy Polanco.,11,26
7:42,2545,Official TV Timeout,11,26
7:42,-1,Terry Smith Jr. missed Free Throw.,11,26
7:42,-1,Loyola (LA) Deadball Team Rebound.,11,26
7:42,-1,Terry Smith Jr. missed Free Throw.,11,26
7:42,2545,Quinton Thomas Defensive Rebound.,11,26
7:42,2545,Foul on D'Angelo West.,11,26
7:32,-1,Foul on Terry Smith Jr..,11,26
7:32,2545,Jordan Capps made Free Throw.,11,27
7:32,2545,Jordan Capps made Free Throw.,11,28
7:26,-1,Nick Parker made Layup. Assisted by Josh Leaney.,13,28
7:12,-1,Foul on Josh Leaney.,13,28
7:09,2545,Jordan Capps missed Free Throw.,13,28
7:09,2545,SE Louisiana Deadball Team Rebound.,13,28
7:09,2545,Jordan Capps made Free Throw.,13,29
7:02,-1,Nick Parker Turnover.,13,29
7:01,2545,Jordan Capps Steal.,13,29
7:00,2545,Jordan Capps made Layup.,13,31
6:46,-1,Nick Parker missed Three Point Jumper.,13,31
6:46,-1,Terry Smith Jr. Offensive Rebound.,13,31
6:40,-1,Terry Smith Jr. Turnover.,13,31
6:40,-1,Foul on Terry Smith Jr..,13,31
6:36,2545,Jordan Capps missed Jumper.,13,31
6:36,2545,Jordan Capps Offensive Rebound.,13,31
6:33,2545,Jordan Capps made Jumper.,13,33
6:18,-1,Terry Smith Jr. missed Jumper.,13,33
6:18,-1,Robert White Offensive Rebound.,13,33
6:14,-1,Tre'Von Jasmine missed Three Point Jumper.,13,33
6:14,2545,D'Angelo West Defensive Rebound.,13,33
6:08,2545,D'Angelo West Turnover.,13,33
6:07,-1,Tre'Von Jasmine Steal.,13,33
6:05,-1,Eric Brown made Layup.,15,33
5:36,2545,D'Angelo West missed Three Point Jumper.,15,33
5:36,-1,Loyola (LA) Defensive Rebound.,15,33
5:17,-1,Trey LaForge Turnover.,15,33
4:34,2545,Moses Greenwood made Jumper. Assisted by Marlain Veal.,15,35
4:04,-1,Trey LaForge missed Jumper.,15,35
4:04,2545,Moses Greenwood Block.,15,35
4:04,2545,Brandon Gonzalez Defensive Rebound.,15,35
4:04,2545,Brandon Gonzalez Turnover.,15,35
4:04,-1,Nick Parker Steal.,15,35
3:52,-1,Eric Brown missed Three Point Jumper.,15,35
3:52,2545,Moses Greenwood Defensive Rebound.,15,35
3:43,2545,Brandon Gonzalez missed Three Point Jumper.,15,35
3:43,2545,James Currington Offensive Rebound.,15,35
3:25,2545,Marlain Veal Turnover.,15,35
3:24,-1,Nick Parker Steal.,15,35
3:21,-1,Tre'Von Jasmine made Layup.,17,35
3:00,-1,Technical Foul on Loyola (LA).,17,35
3:00,2545,Official TV Timeout,17,35
3:00,2545,Marlain Veal made Free Throw.,17,36
3:00,2545,Marlain Veal missed Free Throw.,17,36
3:00,2545,SE Louisiana Deadball Team Rebound.,17,36
2:59,2545,Marlain Veal missed Three Point Jumper.,17,36
2:59,-1,Nick Parker Defensive Rebound.,17,36
2:37,-1,Eric Brown missed Three Point Jumper.,17,36
2:37,2545,Marlain Veal Defensive Rebound.,17,36
2:26,2545,Quinton Thomas missed Three Point Jumper.,17,36
2:26,2545,James Currington Offensive Rebound.,17,36
2:22,2545,James Currington missed Jumper.,17,36
2:22,-1,Robert White Block.,17,36
2:21,-1,Robert White Defensive Rebound.,17,36
2:05,2545,Foul on Quinton Thomas.,17,36
2:05,-1,Tre'Von Jasmine missed Free Throw.,17,36
2:05,-1,Loyola (LA) Deadball Team Rebound.,17,36
2:05,-1,Tre'Von Jasmine made Free Throw.,18,36
1:49,2545,James Currington Turnover.,18,36
1:49,2545,Foul on James Currington.,18,36
1:43,-1,Terry Smith Jr. missed Layup.,18,36
1:43,2545,Jordan Capps Block.,18,36
1:37,-1,Loyola (LA) Offensive Rebound.,18,36
1:26,2545,Foul on Moses Greenwood.,18,36
1:26,-1,Terry Smith Jr. made Free Throw.,19,36
1:26,-1,Terry Smith Jr. missed Free Throw.,19,36
1:26,2545,Jordan Capps Defensive Rebound.,19,36
1:17,2545,Jordan Capps made Three Point Jumper. Assisted by Jabbar Singleton.,19,39
0:57,-1,Tre'Von Jasmine Turnover.,19,39
0:53,2545,Marlain Veal made Layup.,19,41
0:43,-1,Trey LaForge missed Three Point Jumper.,19,41
0:43,-1,Terry Smith Jr. Offensive Rebound.,19,41
0:39,2545,Foul on Keith Charleston.,19,41
0:39,-1,Terry Smith Jr. made Free Throw.,20,41
0:39,-1,Terry Smith Jr. made Free Throw.,21,41
0:28,-1,Foul on Terry Smith Jr..,21,41
0:28,2545,Jabbar Singleton made Free Throw.,21,42
0:28,2545,Jabbar Singleton made Free Throw.,21,43
0:16,-1,Nick Parker Turnover.,21,43
0:15,2545,Jabbar Singleton Steal.,21,43
0:08,2545,Marlain Veal Turnover.,21,43
0:07,-1,Trey LaForge Steal.,21,43
0:05,-1,Trey LaForge Turnover.,21,43
0:04,2545,Moses Greenwood Steal.,21,43
0:00,2545,End of 1st half,21,43
19:48,-1,Ethan Turner Turnover.,21,43
19:47,2545,Marlain Veal Steal.,21,43
19:43,2545,Jabbar Singleton missed Layup.,21,43
19:43,2545,Moses Greenwood Offensive Rebound.,21,43
19:41,2545,Moses Greenwood made Jumper.,21,45
19:10,-1,Tre'Von Jasmine Turnover.,21,45
19:08,2545,Jabbar Singleton Steal.,21,45
19:05,2545,Keith Charleston Turnover.,21,45
19:04,-1,Nick Parker Steal.,21,45
19:02,-1,Nick Parker made Layup.,23,45
18:40,-1,Foul on Nick Parker.,23,45
18:40,2545,Moses Greenwood made Free Throw.,23,46
18:40,2545,Moses Greenwood made Free Throw.,23,47
18:24,-1,Ethan Turner Turnover.,23,47
18:24,-1,Foul on Ethan Turner.,23,47
18:09,2545,Jabbar Singleton Turnover.,23,47
18:01,-1,Chase Eckholdt missed Layup.,23,47
18:01,2545,Moses Greenwood Block.,23,47
17:59,2545,Keith Charleston Defensive Rebound.,23,47
17:54,2545,Keith Charleston missed Layup.,23,47
17:54,-1,Robert White Block.,23,47
17:52,2545,Keith Charleston Offensive Rebound.,23,47
17:50,2545,Keith Charleston made Jumper.,23,49
17:47,-1,Foul on Robert White.,23,49
17:47,2545,Keith Charleston made Free Throw.,23,50
17:36,2545,Foul on Moses Greenwood.,23,50
17:22,-1,Chase Eckholdt made Three Point Jumper. Assisted by Ethan Turner.,26,50
17:11,2545,Jabbar Singleton missed Three Point Jumper.,26,50
17:11,-1,Ethan Turner Defensive Rebound.,26,50
16:53,-1,Chase Eckholdt Turnover.,26,50
16:53,2545,James Currington Steal.,26,50
16:49,2545,James Currington missed Jumper.,26,50
16:49,2545,James Currington Offensive Rebound.,26,50
16:47,2545,James Currington missed Jumper.,26,50
16:47,-1,Robert White Block.,26,50
16:45,-1,Nick Parker Defensive Rebound.,26,50
16:40,-1,Nick Parker missed Three Point Jumper.,26,50
16:40,-1,Joseph Ruzevich Offensive Rebound.,26,50
16:37,-1,Joseph Ruzevich missed Jumper.,26,50
16:37,-1,Joseph Ruzevich Offensive Rebound.,26,50
16:12,-1,Nick Parker made Three Point Jumper.,29,50
16:07,-1,Loyola (LA)  Timeout,29,50
15:40,2545,Marlain Veal missed Layup.,29,50
15:40,2545,Moses Greenwood Offensive Rebound.,29,50
15:38,2545,Moses Greenwood missed Jumper.,29,50
15:38,2545,James Currington Offensive Rebound.,29,50
15:35,-1,Foul on Tre'Von Jasmine.,29,50
15:35,2545,Official TV Timeout,29,50
15:35,2545,James Currington made Free Throw.,29,51
15:35,2545,James Currington missed Free Throw.,29,51
15:35,-1,Nick Parker Defensive Rebound.,29,51
15:25,-1,Nick Parker missed Three Point Jumper.,29,51
15:25,2545,Marlain Veal Defensive Rebound.,29,51
15:17,2545,Eddy Polanco made Three Point Jumper. Assisted by Marlain Veal.,29,54
15:01,-1,Robert White made Jumper. Assisted by Ethan Turner.,31,54
14:36,2545,Eddy Polanco missed Layup.,31,54
14:36,2545,Eddy Polanco Offensive Rebound.,31,54
14:33,-1,Foul on Robert White.,31,54
14:33,2545,Eddy Polanco made Free Throw.,31,55
14:33,2545,Eddy Polanco missed Free Throw.,31,55
14:33,-1,Joseph Ruzevich Defensive Rebound.,31,55
14:20,2545,Foul on Marlain Veal.,31,55
14:20,-1,Nick Parker made Free Throw.,32,55
14:20,-1,Nick Parker made Free Throw.,33,55
14:14,-1,Foul on Joseph Ruzevich.,33,55
14:14,2545,Jordan Capps missed Free Throw.,33,55
14:14,2545,SE Louisiana Deadball Team Rebound.,33,55
14:14,2545,Jordan Capps missed Free Throw.,33,55
14:14,-1,Loyola (LA) Deadball Team Rebound.,33,55
14:14,2545,Foul on Eddy Polanco.,33,55
14:09,-1,Tre'Von Jasmine missed Three Point Jumper.,33,55
14:09,2545,Marlain Veal Defensive Rebound.,33,55
14:01,2545,Marlain Veal Turnover.,33,55
13:25,2545,Foul on Jordan Capps.,33,55
13:25,-1,Joseph Ruzevich made Free Throw.,34,55
13:25,-1,Joseph Ruzevich made Free Throw.,35,55
12:58,-1,Foul on Tre'Von Jasmine.,35,55
12:58,2545,Eddy Polanco made Free Throw.,35,56
12:58,2545,Eddy Polanco missed Free Throw.,35,56
12:58,-1,Joseph Ruzevich Defensive Rebound.,35,56
12:47,-1,Ethan Turner made Layup.,37,56
12:36,2545,Moses Greenwood Turnover.,37,56
12:13,-1,Nick Parker missed Jumper.,37,56
12:13,-1,Benjamin Fields Offensive Rebound.,37,56
12:10,-1,Benjamin Fields missed Jumper.,37,56
12:10,2545,Moses Greenwood Defensive Rebound.,37,56
12:00,2545,Moses Greenwood made Three Point Jumper. Assisted by Joshua Filmore.,37,59
11:39,-1,Ethan Turner missed Three Point Jumper.,37,59
11:39,2545,Marlain Veal Defensive Rebound.,37,59
11:31,2545,Eddy Polanco missed Three Point Jumper.,37,59
11:31,2545,Moses Greenwood Offensive Rebound.,37,59
11:26,2545,Moses Greenwood missed Jumper.,37,59
11:26,-1,Ethan Turner Defensive Rebound.,37,59
11:02,-1,Nick Parker missed Three Point Jumper.,37,59
11:02,2545,Marlain Veal Defensive Rebound.,37,59
10:37,2545,Joshua Filmore made Three Point Jumper.,37,62
10:11,-1,Ethan Turner missed Jumper.,37,62
10:11,-1,Ethan Turner Offensive Rebound.,37,62
9:58,-1,Nick Parker Turnover.,37,62
9:57,2545,Joshua Filmore Steal.,37,62
9:53,2545,Eddy Polanco missed Layup.,37,62
9:53,-1,Nick Parker Defensive Rebound.,37,62
9:47,-1,Tre'Von Jasmine made Jumper.,39,62
9:44,-1,Loyola (LA)  Timeout,39,62
9:28,2545,Joshua Filmore made Jumper.,39,64
9:12,-1,Tensley Aldridge Turnover.,39,64
9:02,2545,Keith Charleston Turnover.,39,64
9:01,-1,Joseph Ruzevich Steal.,39,64
8:59,-1,Joseph Ruzevich missed Layup.,39,64
8:59,2545,Keith Charleston Defensive Rebound.,39,64
8:44,2545,Eddy Polanco missed Three Point Jumper.,39,64
8:44,-1,Chase Eckholdt Defensive Rebound.,39,64
8:32,-1,Chase Eckholdt missed Jumper.,39,64
8:32,2545,Jordan Capps Defensive Rebound.,39,64
8:22,2545,Jordan Capps made Three Point Jumper. Assisted by Joshua Filmore.,39,67
8:02,-1,Brooks Murrell Turnover.,39,67
8:01,2545,Jabbar Singleton Steal.,39,67
7:58,2545,Jordan Capps made Three Point Jumper. Assisted by Jabbar Singleton.,39,70
7:39,2545,Foul on Jordan Capps.,39,70
7:39,2545,Official TV Timeout,39,70
7:27,-1,Josh Leaney Turnover.,39,70
7:27,-1,Foul on Josh Leaney.,39,70
7:16,2545,Jordan Capps missed Three Point Jumper.,39,70
7:16,2545,Eddy Polanco Offensive Rebound.,39,70
7:15,2545,Eddy Polanco missed Jumper.,39,70
7:08,-1,Josh Leaney Defensive Rebound.,39,70
7:08,-1,Josh Leaney Turnover.,39,70
7:04,2545,D'Angelo West missed Three Point Jumper.,39,70
7:04,2545,Keith Charleston Offensive Rebound.,39,70
6:52,2545,Jabbar Singleton missed Jumper.,39,70
6:52,-1,Josh Leaney Defensive Rebound.,39,70
6:38,-1,Tensley Aldridge Turnover.,39,70
6:38,-1,Foul on Tensley Aldridge.,39,70
6:24,2545,Keith Charleston Turnover.,39,70
6:09,-1,Josh Leaney missed Jumper.,39,70
6:09,-1,Joseph Ruzevich Offensive Rebound.,39,70
6:02,2545,Foul on Keith Charleston.,39,70
6:02,-1,Joseph Ruzevich made Free Throw.,40,70
6:02,-1,Joseph Ruzevich made Free Throw.,41,70
5:48,2545,D'Angelo West missed Three Point Jumper.,41,70
5:48,-1,Josh Leaney Defensive Rebound.,41,70
5:36,-1,Tensley Aldridge made Jumper.,43,70
5:20,2545,Marlain Veal Turnover.,43,70
5:19,-1,Tensley Aldridge Steal.,43,70
5:14,2545,Foul on Jordan Capps.,43,70
5:14,-1,Brooks Murrell made Free Throw.,44,70
5:14,-1,Brooks Murrell missed Free Throw.,44,70
5:14,2545,James Currington Defensive Rebound.,44,70
4:59,2545,Quinton Thomas missed Three Point Jumper.,44,70
4:59,-1,Joseph Ruzevich Defensive Rebound.,44,70
4:41,-1,Brooks Murrell missed Layup.,44,70
4:41,2545,Quinton Thomas Block.,44,70
4:40,2545,Brandon Gonzalez Defensive Rebound.,44,70
4:32,2545,Brandon Gonzalez missed Three Point Jumper.,44,70
4:32,-1,Joseph Ruzevich Defensive Rebound.,44,70
4:17,2545,Foul on Brandon Gonzalez.,44,70
4:17,-1,Josh Leaney made Free Throw.,45,70
4:17,-1,Josh Leaney made Free Throw.,46,70
4:10,2545,Marlain Veal Turnover.,46,70
4:09,-1,Tensley Aldridge Steal.,46,70
4:07,-1,Tensley Aldridge Turnover.,46,70
4:06,2545,Marlain Veal Steal.,46,70
4:03,2545,D'Angelo West made Three Point Jumper. Assisted by Marlain Veal.,46,73
3:38,-1,Tensley Aldridge Turnover.,46,73
3:38,2545,Official TV Timeout,46,73
3:18,2545,D'Angelo West made Three Point Jumper.,46,76
2:58,-1,Brooks Murrell made Three Point Jumper. Assisted by Noah Griffin.,49,76
2:26,2545,D'Angelo West made Three Point Jumper. Assisted by Joshua Filmore.,49,79
2:07,-1,Tensley Aldridge missed Jumper.,49,79
2:07,2545,James Currington Defensive Rebound.,49,79
1:55,2545,D'Angelo West missed Three Point Jumper.,49,79
1:55,2545,James Currington Offensive Rebound.,49,79
1:43,-1,Foul on Josh Leaney.,49,79
1:43,2545,Quinton Thomas missed Free Throw.,49,79
1:43,2545,SE Louisiana Deadball Team Rebound.,49,79
1:43,2545,Quinton Thomas made Free Throw.,49,80
1:29,-1,Joseph Ruzevich missed Jumper.,49,80
1:29,-1,Joseph Ruzevich Offensive Rebound.,49,80
1:24,-1,Brooks Murrell missed Three Point Jumper.,49,80
1:24,2545,Eddy Polanco Defensive Rebound.,49,80
1:08,-1,Foul on Brooks Murrell.,49,80
1:08,2545,Eddy Polanco missed Free Throw.,49,80
1:08,2545,SE Louisiana Deadball Team Rebound.,49,80
1:08,2545,Eddy Polanco missed Free Throw.,49,80
1:08,-1,Brooks Murrell Defensive Rebound.,49,80
1:08,-1,Brooks Murrell Turnover.,49,80
1:08,2545,Brandon Gonzalez missed Three Point Jumper.,49,80
1:08,-1,Josh Leaney Defensive Rebound.,49,80
1:05,-1,Tensley Aldridge made Layup.,51,80
0:50,2545,D'Angelo West missed Three Point Jumper.,51,80
0:50,-1,Hunter Clark Defensive Rebound.,51,80
0:38,-1,Hunter Clark made Jumper.,53,80
0:34,2545,Foul on Eddy Polanco.,53,80
0:34,-1,Hunter Clark missed Free Throw.,53,80
0:34,2545,Eddy Polanco Defensive Rebound.,53,80
0:26,2545,D'Angelo West Turnover.,53,80
0:25,-1,Tensley Aldridge Steal.,53,80
0:19,-1,Noah Griffin missed Three Point Jumper.,53,80
0:19,2545,Quinton Thomas Defensive Rebound.,53,80
0:00,2545,End of Game,53,80
