Oakland City,Error,Ball State,2050
17:40,2050,Tahjai Teague Defensive Rebound.,40,44
17:12,2050,Tahjai Teague made Layup.,40,46
17:00,-1,Andrew Scott made Layup.,42,46
16:55,2050,Kyle Mallers Turnover.,42,46
16:54,-1,Joe Hinton Steal.,42,46
16:50,-1,Logan Worthington missed Layup.,42,46
16:50,2050,Tahjai Teague Defensive Rebound.,42,46
16:42,2050,Jontrell Walker missed Jumper.,42,46
16:42,-1,Andre Bearden Defensive Rebound.,42,46
16:17,-1,Andrew Scott made Jumper. Assisted by Andre Bearden.,44,46
15:59,2050,Tayler Persons made Layup.,44,48
15:40,-1,Logan Worthington missed Jumper.,44,48
15:40,2050,Trey Moses Defensive Rebound.,44,48
15:30,2050,Sean Sellers missed Three Point Jumper.,44,48
15:30,-1,Andre Bearden Defensive Rebound.,44,48
15:10,-1,Andrew Scott made Jumper. Assisted by Andre Bearden.,46,48
14:47,2050,Ishmael El-Amin made Three Point Jumper. Assisted by Sean Sellers.,46,51
14:24,2050,Foul on Kyle Mallers.,46,51
14:24,2050,Official TV Timeout,46,51
14:00,-1,Andrew Scott missed Layup.,46,51
14:00,2050,Kyle Mallers Block.,46,51
14:00,-1,Oakland City Offensive Rebound.,46,51
13:58,-1,Andrew Scott missed Three Point Jumper.,46,51
13:58,2050,Trey Moses Defensive Rebound.,46,51
13:45,2050,Trey Moses made Layup. Assisted by Ishmael El-Amin.,46,53
13:28,-1,Andre Bearden missed Jumper.,46,53
13:28,-1,Oakland City Offensive Rebound.,46,53
13:21,-1,Joe Hinton missed Three Point Jumper.,46,53
13:21,-1,Mitch Frederick Offensive Rebound.,46,53
13:16,-1,Mitch Frederick made Layup.,48,53
12:55,2050,Trey Moses Turnover.,48,53
12:54,-1,Joe Hinton Steal.,48,53
12:31,-1,Logan Worthington missed Jumper.,48,53
12:31,2050,Kyle Mallers Block.,48,53
12:29,2050,Kyle Mallers Defensive Rebound.,48,53
12:24,2050,Jontrell Walker missed Three Point Jumper.,48,53
12:24,-1,Logan Worthington Defensive Rebound.,48,53
12:02,-1,Logan Worthington Turnover.,48,53
12:00,2050,Jontrell Walker Steal.,48,53
11:58,2050,Ishmael El-Amin made Layup. Assisted by Jontrell Walker.,48,55
11:36,-1,Mitch Frederick missed Layup.,48,55
11:36,2050,Kyle Mallers Defensive Rebound.,48,55
11:31,-1,Foul on Andrew Scott.,48,55
11:31,2050,Official TV Timeout,48,55
11:25,2050,Ishmael El-Amin made Three Point Jumper. Assisted by Jontrell Walker.,48,58
11:12,-1,Foul on Logan Worthington.,48,58
11:12,-1,Logan Worthington Turnover.,48,58
11:12,-1,Technical Foul on Logan Worthington.,48,58
11:12,-1,Foul on Logan Worthington.,48,58
11:12,2050,Jontrell Walker made Free Throw.,48,59
11:12,2050,Jontrell Walker made Free Throw.,48,60
10:56,-1,Foul on Logan Worthington.,48,60
10:38,2050,Ishmael El-Amin made Jumper.,48,62
10:25,-1,Austin Robertson missed Jumper.,48,62
10:25,2050,Tahjai Teague Defensive Rebound.,48,62
10:16,2050,Josh Thompson missed Three Point Jumper.,48,62
10:16,2050,Tahjai Teague Offensive Rebound.,48,62
10:15,-1,Foul on Logan Worthington.,48,62
10:12,2050,Zach Gunn made Jumper. Assisted by Ishmael El-Amin.,48,64
9:50,2050,Foul on Ishmael El-Amin.,48,64
9:48,-1,Andrew Scott missed Layup.,48,64
9:48,-1,Andrew Scott Offensive Rebound.,48,64
9:36,-1,Andrew Scott missed Three Point Jumper.,48,64
9:36,-1,Mitch Frederick Offensive Rebound.,48,64
9:31,-1,Joe Hinton missed Three Point Jumper.,48,64
9:31,2050,Jontrell Walker Defensive Rebound.,48,64
9:08,2050,Jontrell Walker Turnover.,48,64
9:07,-1,Austin Robertson Steal.,48,64
9:03,-1,Oakland City  Timeout,48,64
9:03,2050,Official TV Timeout,48,64
8:42,-1,Austin Robertson made Three Point Jumper. Assisted by Joe Hinton.,51,64
8:19,2050,Zach Gunn made Layup. Assisted by Sean Sellers.,51,66
7:55,-1,Austin Robertson made Jumper. Assisted by Andre Bearden.,53,66
7:38,2050,Zach Gunn missed Three Point Jumper.,53,66
7:38,-1,Andrew Scott Defensive Rebound.,53,66
7:25,-1,Andrew Scott missed Jumper.,53,66
7:25,2050,Tahjai Teague Block.,53,66
7:22,-1,Oakland City Offensive Rebound.,53,66
7:22,2050,Official TV Timeout,53,66
7:03,2050,Tahjai Teague made Dunk. Assisted by Tayler Persons.,53,68
6:32,-1,Joe Hinton missed Jumper.,53,68
6:32,2050,Zach Gunn Defensive Rebound.,53,68
6:25,2050,Tahjai Teague made Dunk. Assisted by Zach Gunn.,53,70
6:17,-1,Oakland City  Timeout,53,70
5:55,-1,Andre Bearden missed Jumper.,53,70
5:55,-1,Mitch Frederick Offensive Rebound.,53,70
5:49,-1,Andrew Scott missed Three Point Jumper.,53,70
5:49,2050,Trey Moses Defensive Rebound.,53,70
5:38,2050,Sean Sellers made Three Point Jumper. Assisted by Tayler Persons.,53,73
5:11,-1,Andre Bearden Turnover.,53,73
5:09,2050,Tayler Persons Steal.,53,73
5:06,2050,Sean Sellers made Layup.,53,75
4:32,-1,Andrew Scott missed Jumper.,53,75
4:32,2050,Sean Sellers Defensive Rebound.,53,75
4:25,2050,Sean Sellers missed Three Point Jumper.,53,75
4:25,-1,Austin Robertson Defensive Rebound.,53,75
3:54,-1,Joe Hinton missed Three Point Jumper.,53,75
3:54,2050,Kyle Mallers Defensive Rebound.,53,75
3:52,-1,Foul on Andre Bearden.,53,75
3:52,2050,Official TV Timeout,53,75
3:52,-1,Oakland City  Timeout,53,75
3:52,2050,Kyle Mallers made Free Throw.,53,76
3:52,2050,Kyle Mallers made Free Throw.,53,77
3:33,-1,Beau Hefner made Layup. Assisted by Mitch Frederick.,55,77
3:14,2050,Trey Moses made Layup.,55,79
2:47,-1,Joe Hinton made Jumper.,57,79
2:25,2050,Jeremie Tyler missed Three Point Jumper.,57,79
2:25,-1,Joe Hinton Defensive Rebound.,57,79
2:03,-1,Beau Hefner missed Jumper.,57,79
2:03,2050,Zach Gunn Defensive Rebound.,57,79
1:52,2050,Ishmael El-Amin Turnover.,57,79
1:50,-1,Joe Hinton Steal.,57,79
1:33,-1,Joe Hinton missed Three Point Jumper.,57,79
1:33,2050,Trey Moses Defensive Rebound.,57,79
1:20,-1,Foul on Austin Robertson.,57,79
1:20,2050,Josh Thompson missed Free Throw.,57,79
1:20,2050,Ball State Deadball Team Rebound.,57,79
1:20,2050,Josh Thompson made Free Throw.,57,80
1:07,-1,Austin Robertson Turnover.,57,80
1:06,2050,Ishmael El-Amin Steal.,57,80
1:06,-1,Foul on Austin Robertson.,57,80
1:06,2050,Ishmael El-Amin made Free Throw.,57,81
1:06,2050,Ishmael El-Amin missed Free Throw.,57,81
1:06,-1,Mitch Frederick Defensive Rebound.,57,81
0:49,-1,Beau Hefner missed Three Point Jumper.,57,81
0:49,2050,Josh Thompson Defensive Rebound.,57,81
0:20,2050,Zach Gunn missed Jumper.,57,81
0:20,-1,Austin Robertson Defensive Rebound.,57,81
0:01,-1,Andre Bearden missed Three Point Jumper.,57,81
0:01,2050,Josh Thompson Defensive Rebound.,57,81
0:00,2050,End of Game,57,81
