Ave Maria,Error,Florida Atlantic,2226
10:34,2226,Devorious Brown made Free Throw.,9,18
10:34,-1,Josh Flowers missed Layup.,9,18
10:34,-1,Jovan Grujicic Offensive Rebound.,9,18
10:34,-1,Jovan Grujicic made Layup. Assisted by Nemanja Brankov.,11,18
10:30,-1,Foul on Nemanja Brankov.,11,18
9:58,2226,Anthony Adger missed Three Point Jumper.,11,18
9:58,-1,Jovan Grujicic Defensive Rebound.,11,18
9:39,-1,Josh Flowers made Three Point Jumper.,14,18
9:28,2226,Ronald Delph missed Jumper.,14,18
9:28,2226,Justin Massey Offensive Rebound.,14,18
9:21,2226,Justin Massey missed Layup.,14,18
9:21,-1,Jovan Grujicic Defensive Rebound.,14,18
9:06,-1,Nemanja Brankov made Layup.,16,18
9:03,2226,Florida Atlantic  Timeout,16,18
8:50,2226,Ronald Delph made Jumper.,16,20
8:18,-1,Jonathan Simmons made Three Point Jumper. Assisted by Joan Povea.,19,20
8:04,2226,Foul on Jailyn Ingram.,19,20
8:04,2226,Jailyn Ingram Turnover.,19,20
7:51,-1,Joan Povea Turnover.,19,20
7:51,2226,Official TV Timeout,19,20
7:42,2226,William Pfister missed Layup.,19,20
7:42,-1,Joan Povea Defensive Rebound.,19,20
7:27,-1,Nemanja Brankov made Three Point Jumper. Assisted by Jonathan Simmons.,22,20
7:08,2226,Anthony Adger missed Layup.,22,20
7:08,-1,Nemanja Brankov Block.,22,20
7:05,-1,Nemanja Brankov Defensive Rebound.,22,20
7:00,-1,Josh Flowers Turnover.,22,20
7:00,2226,Jailyn Ingram Steal.,22,20
6:45,2226,Gerdarius Troutman missed Jumper.,22,20
6:45,2226,Ronald Delph Offensive Rebound.,22,20
6:42,2226,Ronald Delph made Layup.,22,22
6:21,-1,Nemanja Brankov missed Three Point Jumper.,22,22
6:21,-1,Josh Flowers Offensive Rebound.,22,22
6:09,-1,Greenan Sullivan made Three Point Jumper. Assisted by Jovan Grujicic.,25,22
5:56,2226,Gerdarius Troutman Turnover.,25,22
5:46,-1,Jovan Grujicic Turnover.,25,22
5:46,-1,Foul on Jovan Grujicic.,25,22
5:39,2226,William Pfister Turnover.,25,22
5:16,-1,Greenan Sullivan made Jumper.,27,22
5:03,2226,Ronald Delph made Dunk.,27,24
4:45,-1,Greenan Sullivan Turnover.,27,24
4:44,2226,Gerdarius Troutman Steal.,27,24
4:40,2226,Jailyn Ingram made Three Point Jumper. Assisted by Payton Hulsey.,27,27
4:38,2226,Foul on Ronald Delph.,27,27
4:15,-1,Nemanja Brankov missed Layup.,27,27
4:15,2226,Ronald Delph Defensive Rebound.,27,27
4:05,2226,Jailyn Ingram missed Jumper.,27,27
4:05,2226,Ronald Delph Offensive Rebound.,27,27
4:03,-1,Foul on Greenan Sullivan.,27,27
4:02,2226,Gerdarius Troutman missed Three Point Jumper.,27,27
4:02,-1,Joan Povea Defensive Rebound.,27,27
3:50,-1,Greenan Sullivan Turnover.,27,27
3:48,2226,Simeon Lepichev Steal.,27,27
3:45,2226,Jailyn Ingram missed Layup.,27,27
3:45,-1,Ave Maria Defensive Rebound.,27,27
3:44,2226,Foul on Payton Hulsey.,27,27
3:44,2226,Official TV Timeout,27,27
3:21,-1,Nemanja Brankov missed Jumper.,27,27
3:21,2226,Ronald Delph Defensive Rebound.,27,27
3:11,2226,Gerdarius Troutman missed Jumper.,27,27
3:11,-1,Nemanja Brankov Defensive Rebound.,27,27
2:56,-1,Lucas Uzdavinis missed Three Point Jumper.,27,27
2:56,2226,Jailyn Ingram Defensive Rebound.,27,27
2:34,2226,Ronald Delph made Jumper. Assisted by Jailyn Ingram.,27,29
2:17,-1,Nemanja Brankov missed Three Point Jumper.,27,29
2:17,2226,Payton Hulsey Defensive Rebound.,27,29
2:00,2226,Ronald Delph made Jumper.,27,31
1:57,-1,Ave Maria  Timeout,27,31
1:40,-1,Nemanja Brankov missed Layup.,27,31
1:40,2226,Ronald Delph Defensive Rebound.,27,31
1:28,2226,Simeon Lepichev missed Three Point Jumper.,27,31
1:28,-1,Nemanja Brankov Defensive Rebound.,27,31
1:04,-1,Jonathan Simmons Turnover.,27,31
1:04,-1,Foul on Jonathan Simmons.,27,31
0:47,2226,Justin Massey missed Three Point Jumper.,27,31
0:47,-1,Ave Maria Defensive Rebound.,27,31
0:19,-1,Lucas Uzdavinis missed Three Point Jumper.,27,31
0:19,2226,Jailyn Ingram Defensive Rebound.,27,31
0:04,2226,Payton Hulsey Turnover.,27,31
0:01,-1,Josh Flowers made Jumper.,29,31
0:00,2226,End of 1st half,30,31
19:38,-1,Joan Povea Turnover.,29,31
19:35,2226,William Pfister Steal.,29,31
19:32,2226,Jailyn Ingram Turnover.,29,31
19:31,-1,Jonathan Simmons Steal.,29,31
19:28,2226,Foul on Gerdarius Troutman.,29,31
19:01,-1,Nemanja Brankov Turnover.,29,31
18:45,2226,Gerdarius Troutman made Jumper.,29,33
18:30,-1,Joan Povea Turnover.,29,33
18:28,2226,Jailyn Ingram Steal.,29,33
18:26,2226,Jailyn Ingram made Dunk.,29,35
18:09,-1,Jovan Grujicic missed Jumper.,29,35
18:09,-1,Nemanja Brankov Offensive Rebound.,29,35
18:03,-1,Jonathan Simmons made Three Point Jumper. Assisted by Nemanja Brankov.,32,35
17:47,2226,William Pfister made Layup. Assisted by Anthony Adger.,32,37
17:25,-1,Jovan Grujicic made Three Point Jumper. Assisted by Nemanja Brankov.,35,37
17:09,2226,Jailyn Ingram made Jumper. Assisted by Gerdarius Troutman.,35,39
16:45,-1,Joan Povea Turnover.,35,39
16:43,2226,Gerdarius Troutman Steal.,35,39
16:42,2226,Gerdarius Troutman made Layup.,35,41
16:19,-1,Nemanja Brankov Turnover.,35,41
16:12,-1,Foul on Josh Flowers.,35,41
16:12,2226,Gerdarius Troutman made Free Throw.,35,42
16:12,2226,Gerdarius Troutman made Free Throw.,35,43
16:12,2226,Gerdarius Troutman missed Free Throw.,35,43
16:12,-1,Jovan Grujicic Defensive Rebound.,35,43
15:59,-1,Josh Flowers missed Layup.,35,43
15:59,2226,Ronald Delph Block.,35,43
15:57,2226,Ronald Delph Defensive Rebound.,35,43
15:53,2226,Jailyn Ingram Turnover.,35,43
15:53,2226,Official TV Timeout,35,43
15:35,2226,Foul on Ronald Delph.,35,43
15:35,-1,Jovan Grujicic made Free Throw.,36,43
15:35,-1,Jovan Grujicic missed Free Throw.,36,43
15:35,2226,Jailyn Ingram Defensive Rebound.,36,43
15:18,2226,Gerdarius Troutman missed Three Point Jumper.,36,43
15:18,2226,William Pfister Offensive Rebound.,36,43
15:12,2226,Anthony Adger made Three Point Jumper. Assisted by William Pfister.,36,46
14:58,-1,Jovan Grujicic Turnover.,36,46
14:56,2226,Anthony Adger Steal.,36,46
14:54,2226,Anthony Adger Turnover.,36,46
14:36,2226,Foul on Gerdarius Troutman.,36,46
14:36,-1,Josh Flowers made Free Throw.,37,46
14:36,-1,Josh Flowers made Free Throw.,38,46
14:22,2226,William Pfister made Layup. Assisted by Ronald Delph.,38,48
14:00,-1,Greenan Sullivan missed Three Point Jumper.,38,48
14:00,2226,Ronald Delph Defensive Rebound.,38,48
13:40,2226,Ronald Delph missed Layup.,38,48
13:40,-1,Jovan Grujicic Defensive Rebound.,38,48
13:24,2226,Foul on Anthony Adger.,38,48
13:17,-1,Lucas Uzdavinis missed Three Point Jumper.,38,48
13:17,2226,Ronald Delph Defensive Rebound.,38,48
13:07,2226,Justin Massey made Three Point Jumper. Assisted by Payton Hulsey.,38,51
12:58,-1,Ave Maria  Timeout,38,51
12:48,-1,Josh Flowers missed Layup.,38,51
12:48,2226,William Pfister Defensive Rebound.,38,51
12:44,2226,Technical Foul on Florida Atlantic.,38,51
12:44,2226,Gerdarius Troutman made Free Throw.,38,52
12:44,2226,Gerdarius Troutman made Free Throw.,38,53
12:37,2226,Gerdarius Troutman missed Three Point Jumper.,38,53
12:37,-1,Josh Flowers Defensive Rebound.,38,53
12:22,-1,Stevan Krusevac Turnover.,38,53
12:20,2226,Gerdarius Troutman Steal.,38,53
12:19,2226,Gerdarius Troutman made Layup.,38,55
11:44,-1,Nemanja Brankov missed Jumper.,38,55
11:44,2226,Justin Massey Defensive Rebound.,38,55
11:38,2226,Ronald Delph made Jumper.,38,57
11:27,-1,Josh Flowers made Layup.,40,57
11:08,2226,Ronald Delph made Jumper.,40,59
10:42,-1,Josh Flowers Turnover.,40,59
10:40,2226,Gerdarius Troutman Steal.,40,59
10:38,2226,Justin Massey made Layup. Assisted by Gerdarius Troutman.,40,61
10:27,-1,Ave Maria  Timeout,40,61
10:11,-1,Ave Maria  Turnover.,40,61
10:08,2226,Justin Massey missed Three Point Jumper.,40,61
10:08,-1,Nemanja Brankov Defensive Rebound.,40,61
9:58,2226,Foul on Payton Hulsey.,40,61
9:56,-1,Josh Flowers Turnover.,40,61
9:52,2226,Justin Massey Steal.,40,61
9:51,2226,Justin Massey made Layup.,40,63
9:30,-1,Nemanja Brankov made Layup. Assisted by Jovan Grujicic.,42,63
9:23,2226,Justin Massey made Layup.,42,65
9:09,-1,Greenan Sullivan Turnover.,42,65
9:09,2226,Justin Massey made Three Point Jumper. Assisted by Ronald Delph.,42,68
8:27,2226,Foul on Simeon Lepichev.,42,68
8:27,-1,Nemanja Brankov missed Free Throw.,42,68
8:27,-1,Ave Maria Deadball Team Rebound.,42,68
8:27,-1,Nemanja Brankov missed Free Throw.,42,68
8:27,2226,Payton Hulsey Defensive Rebound.,42,68
8:09,2226,Payton Hulsey Turnover.,42,68
8:07,-1,Joan Povea Steal.,42,68
8:04,-1,Joan Povea missed Layup.,42,68
8:04,2226,Simeon Lepichev Defensive Rebound.,42,68
7:51,2226,Justin Massey Turnover.,42,68
7:50,-1,Lucas Uzdavinis Steal.,42,68
7:46,-1,Greenan Sullivan Turnover.,42,68
7:44,2226,Payton Hulsey Steal.,42,68
7:40,2226,Justin Massey made Layup. Assisted by Payton Hulsey.,42,70
7:25,-1,Josh Flowers missed Jumper.,42,70
7:25,2226,Simeon Lepichev Defensive Rebound.,42,70
7:13,2226,Amir Smith made Dunk. Assisted by Payton Hulsey.,42,72
6:56,-1,Josh Flowers missed Layup.,42,72
6:56,2226,Simeon Lepichev Defensive Rebound.,42,72
6:49,2226,Justin Massey made Layup. Assisted by Payton Hulsey.,42,74
6:44,-1,Lucas Uzdavinis Turnover.,42,74
6:44,2226,Official TV Timeout,42,74
6:39,2226,Justin Massey made Three Point Jumper.,42,77
6:13,2226,Foul on Amir Smith.,42,77
6:13,-1,Joan Povea made Free Throw.,43,77
6:13,-1,Joan Povea missed Free Throw.,43,77
6:13,2226,Amir Smith Defensive Rebound.,43,77
5:42,-1,Foul on Travis Scott.,43,77
5:42,2226,Payton Hulsey made Free Throw.,43,78
5:42,2226,Payton Hulsey made Free Throw.,43,79
5:35,-1,Josh Flowers made Layup. Assisted by Travis Scott.,45,79
5:31,2226,Foul on Je'Quan Perry.,45,79
5:31,-1,Josh Flowers made Free Throw.,46,79
5:23,2226,Payton Hulsey missed Jumper.,46,79
5:23,-1,Ave Maria Defensive Rebound.,46,79
5:05,-1,Travis Scott missed Jumper.,46,79
5:05,2226,Je'Quan Perry Defensive Rebound.,46,79
4:27,2226,Amir Smith missed Jumper.,46,79
4:27,-1,Travis Scott Defensive Rebound.,46,79
4:17,-1,Joan Povea Turnover.,46,79
4:14,2226,Devorious Brown Steal.,46,79
4:11,2226,Devorious Brown made Layup.,46,81
3:55,-1,Jonathan Simmons missed Three Point Jumper.,46,81
3:55,2226,Justin Massey Defensive Rebound.,46,81
3:36,-1,Foul on Lucas Uzdavinis.,46,81
3:36,2226,Je'Quan Perry made Free Throw.,46,82
3:36,2226,Je'Quan Perry made Free Throw.,46,83
3:36,-1,Jonathan Simmons missed Layup.,46,83
3:36,2226,Amir Smith Block.,46,83
3:36,2226,Je'Quan Perry Defensive Rebound.,46,83
3:36,2226,Je'Quan Perry made Layup. Assisted by Payton Hulsey.,46,85
3:36,-1,Stevan Krusevac Turnover.,46,85
3:36,2226,Payton Hulsey Steal.,46,85
3:36,2226,Amir Smith made Layup. Assisted by Payton Hulsey.,46,87
2:25,-1,Stevan Krusevac made Three Point Jumper.,49,87
1:59,2226,Justin Massey missed Three Point Jumper.,49,87
1:59,-1,Nemanja Brankov Defensive Rebound.,49,87
1:46,-1,Jovan Grujicic missed Layup.,49,87
1:46,2226,Amir Smith Block.,49,87
1:44,-1,Jovan Grujicic Offensive Rebound.,49,87
1:44,-1,Jovan Grujicic made Layup.,51,87
1:44,2226,Florida Atlantic  Timeout,51,87
1:32,2226,Payton Hulsey made Jumper.,51,89
1:12,2226,Foul on Devorious Brown.,51,89
1:09,-1,Josh Flowers made Free Throw.,52,89
1:09,-1,Josh Flowers made Free Throw.,53,89
0:53,2226,Devorious Brown Turnover.,53,89
0:41,2226,Foul on Chisom Obidike.,53,89
0:41,-1,Josh Flowers missed Free Throw.,53,89
0:41,-1,Ave Maria Deadball Team Rebound.,53,89
0:41,-1,Josh Flowers made Free Throw.,54,89
0:27,2226,Chisom Obidike made Layup.,54,91
0:27,-1,Foul on Nemanja Brankov.,54,91
0:27,2226,Chisom Obidike missed Free Throw.,54,91
0:27,-1,Nemanja Brankov Defensive Rebound.,54,91
0:14,-1,Nemanja Brankov missed Three Point Jumper.,54,91
0:14,2226,Amir Smith Defensive Rebound.,54,91
0:00,2226,End of Game,54,91
