Jackson State,2433,UL Monroe,2296
2:57,2433,UL Monroe Offensive Rebound.,26,31
2:46,2433,Marvin Jean-Pierre made Three Point Jumper. Assisted by Michael Ertel.,26,34
2:20,2296,Jeremiah Jefferson missed Jumper.,26,34
2:20,2433,Kiir Deng Defensive Rebound.,26,34
1:50,2433,Sam McDaniel Turnover.,26,34
1:23,2296,Jesse Love made Three Point Jumper. Assisted by Paris Collins.,29,34
1:05,2433,Kiir Deng Turnover.,29,34
1:04,2296,Darius Austin Steal.,29,34
1:01,2433,Foul on Marvin Jean-Pierre.,29,34
1:01,2296,Paris Collins made Free Throw.,30,34
1:01,2296,Paris Collins made Free Throw.,31,34
0:47,2296,Foul on Jesse Love.,31,34
0:47,2433,Sam McDaniel made Free Throw.,31,35
0:47,2433,Sam McDaniel made Free Throw.,31,36
0:22,2296,Darius Austin missed Jumper.,31,36
0:22,2433,UL Monroe Defensive Rebound.,31,36
0:21,2433,UL Monroe  Timeout,31,36
0:02,2433,Jordon Harris made Layup.,31,38
0:00,2433,End of 1st half,31,38
19:42,2296,Chace Franklin missed Jumper.,31,38
19:42,2433,Sam Alabakis Defensive Rebound.,31,38
19:40,2296,Foul on Maurice Rivers.,31,38
19:20,2433,Marvin Jean-Pierre missed Three Point Jumper.,31,38
19:20,2296,Jeremiah Jefferson Defensive Rebound.,31,38
18:56,2433,Foul on Travis Munnings.,31,38
18:56,2296,Chace Franklin made Free Throw.,32,38
18:56,2296,Chace Franklin made Free Throw.,33,38
18:40,2433,Sam Alabakis Turnover.,33,38
18:18,2296,Chace Franklin missed Three Point Jumper.,33,38
18:18,2296,Paris Collins Offensive Rebound.,33,38
17:58,2296,Paris Collins missed Jumper.,33,38
17:58,2433,Marvin Jean-Pierre Defensive Rebound.,33,38
17:49,2433,Marvin Jean-Pierre made Layup.,33,40
17:30,2296,Demetrice Clopton missed Jumper.,33,40
17:30,2433,UL Monroe Deadball Team Rebound.,33,40
17:29,2296,Foul on Julian Daughtry.,33,40
17:07,2433,Travis Munnings made Three Point Jumper. Assisted by Marvin Jean-Pierre.,33,43
16:37,2296,Paris Collins missed Jumper.,33,43
16:37,2433,Michael Ertel Defensive Rebound.,33,43
16:20,2433,Travis Munnings Turnover.,33,43
15:52,2296,Chace Franklin made Jumper.,35,43
15:24,2433,Sam Alabakis made Jumper. Assisted by Marvin Jean-Pierre.,35,45
14:55,2296,Chace Franklin missed Three Point Jumper.,35,45
14:55,2296,Paris Collins Offensive Rebound.,35,45
14:52,2433,Foul on Sam McDaniel.,35,45
14:52,2433,Official TV Timeout,35,45
