Western Michigan,139,Saint Louis,2711
1:57,139,D.J. Foreman missed Free Throw.,21,20
1:57,139,Saint Louis Offensive Rebound.,21,20
1:45,139,Hasahn French missed Jumper.,21,20
1:45,2711,Drake LaMont Block.,21,20
1:45,139,Saint Louis Offensive Rebound.,21,20
1:45,139,Saint Louis  Timeout,21,20
1:32,139,D.J. Foreman made Dunk. Assisted by Aaron Hines.,21,22
1:21,2711,Foul on Michael Flowers.,21,22
1:21,2711,Michael Flowers Turnover.,21,22
1:06,139,Davell Roby missed Three Point Jumper.,21,22
1:06,2711,Western Michigan Defensive Rebound.,21,22
0:59,2711,Western Michigan  Timeout,21,22
0:39,2711,Reggie Jones missed Jumper.,21,22
0:39,139,Jalen Johnson Defensive Rebound.,21,22
0:20,139,Davell Roby missed Jumper.,21,22
0:20,2711,Thomas Wilder Defensive Rebound.,21,22
0:01,139,Foul on Davell Roby.,21,22
0:01,2711,Thomas Wilder made Free Throw.,22,22
0:01,2711,Thomas Wilder made Free Throw.,23,22
0:00,139,End of 1st half,23,22
19:43,2711,Western Michigan  Turnover.,23,22
19:28,139,Hasahn French missed Jumper.,23,22
19:28,139,Javon Bess Offensive Rebound.,23,22
19:26,139,Javon Bess made Two Point Tip Shot.,23,24
19:09,2711,Josh Davis Turnover.,23,24
18:37,139,Jordan Goodwin made Three Point Jumper. Assisted by Davell Roby.,23,27
18:18,2711,Bryce Moore made Three Point Jumper. Assisted by Drake LaMont.,26,27
17:49,139,Davell Roby Turnover.,26,27
17:47,2711,Brandon Johnson Steal.,26,27
17:43,2711,Thomas Wilder missed Layup.,26,27
17:43,139,Hasahn French Block.,26,27
17:43,2711,Western Michigan Offensive Rebound.,26,27
17:38,139,Foul on Jordan Goodwin.,26,27
17:32,2711,Drake LaMont made Jumper. Assisted by Bryce Moore.,28,27
16:58,139,Davell Roby missed Jumper.,28,27
16:58,2711,Josh Davis Defensive Rebound.,28,27
16:52,2711,Thomas Wilder missed Three Point Jumper.,28,27
16:52,2711,Brandon Johnson Offensive Rebound.,28,27
16:48,2711,Brandon Johnson made Two Point Tip Shot.,30,27
16:48,139,Saint Louis  Timeout,30,27
16:48,139,Official TV Timeout,30,27
16:36,139,Aaron Hines Turnover.,30,27
16:36,2711,Thomas Wilder Steal.,30,27
16:36,2711,Thomas Wilder Turnover.,30,27
16:36,139,Hasahn French Steal.,30,27
16:30,139,Aaron Hines missed Layup.,30,27
16:30,139,Hasahn French Offensive Rebound.,30,27
16:26,139,Hasahn French missed Layup.,30,27
16:26,2711,Brandon Johnson Defensive Rebound.,30,27
16:08,2711,Bryce Moore made Three Point Jumper.,33,27
15:43,139,Jalen Johnson made Three Point Jumper. Assisted by Javon Bess.,33,30
15:23,2711,Drake LaMont missed Jumper.,33,30
15:23,139,Jalen Johnson Defensive Rebound.,33,30
15:10,2711,Foul on Josh Davis.,33,30
15:10,139,Official TV Timeout,33,30
15:10,139,Javon Bess made Free Throw.,33,31
15:10,139,Javon Bess made Free Throw.,33,32
14:49,2711,Thomas Wilder made Jumper. Assisted by Drake LaMont.,35,32
14:29,139,Jordan Goodwin Turnover.,35,32
14:10,2711,Thomas Wilder made Three Point Jumper. Assisted by Bryce Moore.,38,32
13:57,139,Jordan Goodwin missed Layup.,38,32
13:57,139,Saint Louis Offensive Rebound.,38,32
13:38,139,Jalen Johnson made Jumper.,38,34
13:10,2711,Thomas Wilder missed Three Point Jumper.,38,34
13:10,139,Hasahn French Defensive Rebound.,38,34
13:01,139,Javon Bess made Layup. Assisted by Jordan Goodwin.,38,36
12:42,2711,Reggie Jones Turnover.,38,36
12:25,2711,Foul on Josh Davis.,38,36
12:18,139,Jalen Johnson Turnover.,38,36
12:18,2711,Bryce Moore Steal.,38,36
11:50,2711,Thomas Wilder missed Three Point Jumper.,38,36
11:50,139,Javon Bess Block.,38,36
11:48,139,Jordan Goodwin Defensive Rebound.,38,36
11:44,139,Jalen Johnson missed Three Point Jumper.,38,36
11:44,2711,Bryce Moore Defensive Rebound.,38,36
11:30,2711,Drake LaMont made Jumper. Assisted by Thomas Wilder.,40,36
11:17,2711,Foul on Drake LaMont.,40,36
11:17,139,Official TV Timeout,40,36
11:17,139,Hasahn French missed Free Throw.,40,36
11:17,139,Saint Louis Deadball Team Rebound.,40,36
11:17,139,Hasahn French made Free Throw.,40,37
10:52,2711,Brandon Johnson made Layup. Assisted by Michael Flowers.,42,37
10:37,139,Javon Bess missed Jumper.,42,37
10:37,2711,Brandon Johnson Defensive Rebound.,42,37
10:35,2711,Brandon Johnson Turnover.,42,37
10:34,139,Jordan Goodwin Steal.,42,37
10:29,139,Jordan Goodwin Turnover.,42,37
10:28,2711,Reggie Jones Steal.,42,37
10:23,2711,Reggie Jones missed Layup.,42,37
10:23,2711,Josh Davis Offensive Rebound.,42,37
10:21,2711,Josh Davis missed Two Point Tip Shot.,42,37
10:21,2711,Josh Davis Offensive Rebound.,42,37
10:20,2711,Western Michigan  Timeout,42,37
10:01,2711,Brandon Johnson missed Jumper.,42,37
10:01,2711,Western Michigan Offensive Rebound.,42,37
9:46,2711,Brandon Johnson made Layup. Assisted by Josh Davis.,44,37
9:41,2711,Foul on Michael Flowers.,44,37
9:34,139,D.J. Foreman missed Jumper.,44,37
9:34,139,Javon Bess Offensive Rebound.,44,37
9:31,139,Javon Bess missed Two Point Tip Shot.,44,37
9:31,2711,Reggie Jones Defensive Rebound.,44,37
9:27,2711,Jarrin Randall missed Jumper.,44,37
9:27,139,Jordan Goodwin Defensive Rebound.,44,37
9:18,139,Jordan Goodwin missed Layup.,44,37
9:18,2711,Josh Davis Defensive Rebound.,44,37
9:07,2711,Jarrin Randall Turnover.,44,37
8:45,139,Jalen Johnson missed Three Point Jumper.,44,37
8:45,2711,Drake LaMont Defensive Rebound.,44,37
8:40,2711,Josh Davis made Layup. Assisted by Thomas Wilder.,46,37
8:28,139,Javon Bess missed Jumper.,46,37
8:28,2711,Josh Davis Defensive Rebound.,46,37
8:12,2711,Drake LaMont missed Layup.,46,37
8:12,2711,Josh Davis Offensive Rebound.,46,37
8:11,139,Foul on D.J. Foreman.,46,37
8:11,2711,Josh Davis made Free Throw.,47,37
8:11,2711,Josh Davis made Free Throw.,48,37
8:02,139,Foul on Aaron Hines.,48,37
8:02,139,Aaron Hines Turnover.,48,37
7:49,139,Foul on Javon Bess.,48,37
7:49,139,Official TV Timeout,48,37
7:37,2711,Thomas Wilder made Layup.,50,37
7:05,139,Jalen Johnson made Layup. Assisted by Javon Bess.,50,39
6:33,2711,Reggie Jones missed Three Point Jumper.,50,39
6:33,2711,Drake LaMont Offensive Rebound.,50,39
6:32,139,Foul on D.J. Foreman.,50,39
6:32,2711,Drake LaMont made Free Throw.,51,39
6:32,2711,Drake LaMont made Free Throw.,52,39
6:17,139,Jordan Goodwin missed Jumper.,52,39
6:17,2711,Thomas Wilder Block.,52,39
6:15,2711,Thomas Wilder Defensive Rebound.,52,39
6:10,2711,Josh Davis missed Layup.,52,39
6:10,139,Jalen Johnson Block.,52,39
6:08,139,Jordan Goodwin Defensive Rebound.,52,39
6:04,139,Jalen Johnson missed Three Point Jumper.,52,39
6:04,2711,Josh Davis Defensive Rebound.,52,39
5:46,2711,Reggie Jones missed Layup.,52,39
5:46,2711,Drake LaMont Offensive Rebound.,52,39
5:44,2711,Drake LaMont missed Layup.,52,39
5:44,2711,Josh Davis Offensive Rebound.,52,39
5:42,2711,Josh Davis missed Layup.,52,39
5:42,139,Javon Bess Defensive Rebound.,52,39
5:37,139,Davell Roby missed Three Point Jumper.,52,39
5:37,2711,Drake LaMont Defensive Rebound.,52,39
5:11,2711,Thomas Wilder made Three Point Jumper. Assisted by Drake LaMont.,55,39
4:58,139,Aaron Hines missed Jumper.,55,39
4:58,2711,Bryce Moore Defensive Rebound.,55,39
4:32,2711,Bryce Moore made Jumper.,57,39
4:17,139,Jordan Goodwin made Layup. Assisted by Davell Roby.,57,41
4:03,139,Foul on Jordan Goodwin.,57,41
4:03,2711,Reggie Jones made Free Throw.,58,41
4:03,2711,Reggie Jones made Free Throw.,59,41
3:47,139,Davell Roby missed Jumper.,59,41
3:47,139,Davell Roby Offensive Rebound.,59,41
3:47,2711,Foul on Reggie Jones.,59,41
3:47,139,Official TV Timeout,59,41
3:47,139,Davell Roby made Free Throw.,59,42
3:47,139,Davell Roby made Free Throw.,59,43
3:20,2711,Thomas Wilder Turnover.,59,43
3:04,139,Aaron Hines made Jumper.,59,45
2:55,2711,Reggie Jones Turnover.,59,45
2:54,139,Jordan Goodwin Steal.,59,45
2:53,139,Jordan Goodwin made Layup.,59,47
2:24,2711,Reggie Jones Turnover.,59,47
2:23,139,Javon Bess Steal.,59,47
2:21,139,Javon Bess made Layup.,59,49
2:15,2711,Western Michigan  Timeout,59,49
1:53,2711,Foul on Reggie Jones.,59,49
1:53,2711,Reggie Jones Turnover.,59,49
1:39,2711,Foul on Josh Davis.,59,49
1:39,139,Javon Bess made Free Throw.,59,50
1:39,139,Javon Bess made Free Throw.,59,51
1:16,2711,Bryce Moore made Three Point Jumper. Assisted by Thomas Wilder.,62,51
1:01,2711,Foul on Bryce Moore.,62,51
1:01,139,Davell Roby missed Free Throw.,62,51
1:01,139,Javon Bess Offensive Rebound.,62,51
1:00,2711,Foul on Bryce Moore.,62,51
1:00,139,Jalen Johnson missed Free Throw.,62,51
1:00,2711,Bryce Moore Defensive Rebound.,62,51
0:49,139,Foul on Jalen Johnson.,62,51
0:49,2711,Drake LaMont made Free Throw.,63,51
0:49,2711,Drake LaMont missed Free Throw.,63,51
0:49,2711,Brandon Johnson Offensive Rebound.,63,51
0:48,2711,Brandon Johnson made Layup.,65,51
0:36,139,Aaron Hines missed Three Point Jumper.,65,51
0:36,2711,Josh Davis Defensive Rebound.,65,51
0:02,2711,Western Michigan  Turnover.,65,51
0:00,139,End of Game,65,51
