CSU Northridge,25,California,2463
0:56,2463,Micheal Warren Offensive Rebound.,30,45
0:51,2463,Micheal Warren missed Jumper.,30,45
0:51,25,Kingsley Okoroh Block.,30,45
0:50,25,Kingsley Okoroh Defensive Rebound.,30,45
0:46,25,Roman Davis made Layup. Assisted by Darius McNeill.,30,47
0:46,2463,Foul on Tavrion Dawson.,30,47
0:46,25,Roman Davis missed Free Throw.,30,47
0:46,2463,Micheal Warren Defensive Rebound.,30,47
0:37,2463,Micheal Warren missed Jumper.,30,47
0:37,25,California Deadball Team Rebound.,30,47
0:35,2463,Foul on Reggie Theus Jr..,30,47
0:35,25,Nick Hamilton made Free Throw.,30,48
0:35,25,Nick Hamilton missed Free Throw.,30,48
0:35,2463,Micheal Warren Defensive Rebound.,30,48
0:07,2463,Mahamadou Kaba-Camara Turnover.,30,48
0:07,25,California  Timeout,30,48
0:02,25,Darius McNeill missed Jumper.,30,48
0:02,2463,Micheal Warren Defensive Rebound.,30,48
0:00,25,End of 1st half,30,48
19:42,2463,Zeno Lake missed Jumper.,30,48
19:42,25,Justice Sueing Block.,30,48
19:40,25,Darius McNeill Defensive Rebound.,30,48
19:34,25,Don Coleman made Layup.,30,50
19:18,2463,Micheal Warren Turnover.,30,50
19:15,25,Don Coleman made Layup.,30,52
19:01,2463,Zeno Lake made Jumper. Assisted by Terrell Gomez.,32,52
19:01,25,Foul on Juhwan Harris-Dyson.,32,52
19:01,2463,Zeno Lake made Free Throw.,33,52
18:44,25,Justice Sueing missed Jumper.,33,52
18:44,2463,Tavrion Dawson Defensive Rebound.,33,52
18:28,2463,Zeno Lake made Layup. Assisted by Terrell Gomez.,35,52
18:12,25,Darius McNeill made Three Point Jumper. Assisted by Juhwan Harris-Dyson.,35,55
17:52,2463,Tavrion Dawson Turnover.,35,55
17:44,25,Juhwan Harris-Dyson made Layup.,35,57
17:26,2463,Tavrion Dawson missed Jumper.,35,57
17:26,25,Marcus Lee Block.,35,57
17:24,25,Don Coleman Defensive Rebound.,35,57
17:20,25,Justice Sueing made Layup. Assisted by Don Coleman.,35,59
17:09,2463,CSU Northridge  Timeout,35,59
17:07,2463,Zeno Lake Turnover.,35,59
17:05,25,Justice Sueing Steal.,35,59
17:04,25,Don Coleman missed Layup.,35,59
17:04,2463,Zeno Lake Defensive Rebound.,35,59
16:47,2463,Tavrion Dawson Turnover.,35,59
16:47,2463,Foul on Tavrion Dawson.,35,59
16:38,25,Juhwan Harris-Dyson Turnover.,35,59
16:36,2463,Tavrion Dawson Steal.,35,59
16:33,25,Foul on Don Coleman.,35,59
16:12,2463,Tavrion Dawson missed Layup.,35,59
16:12,2463,Tavrion Dawson Offensive Rebound.,35,59
16:09,2463,Tavrion Dawson missed Jumper.,35,59
16:09,25,Kingsley Okoroh Block.,35,59
16:08,25,Juhwan Harris-Dyson Defensive Rebound.,35,59
15:47,25,Justice Sueing missed Three Point Jumper.,35,59
15:47,2463,Tavrion Dawson Defensive Rebound.,35,59
15:37,2463,Lyrik Shreiner missed Three Point Jumper.,35,59
15:37,25,Justice Sueing Defensive Rebound.,35,59
15:14,25,Justice Sueing missed Layup.,35,59
15:14,2463,CSU Northridge Deadball Team Rebound.,35,59
15:13,25,Foul on Kingsley Okoroh.,35,59
15:13,25,Official TV Timeout,35,59
14:58,2463,Zeno Lake missed Layup.,35,59
14:58,25,Kingsley Okoroh Block.,35,59
14:55,25,Justice Sueing Defensive Rebound.,35,59
14:53,25,Don Coleman made Layup. Assisted by Justice Sueing.,35,61
14:53,2463,Foul on Terrell Gomez.,35,61
14:53,25,Don Coleman missed Free Throw.,35,61
14:53,2463,Reggie Theus Jr. Defensive Rebound.,35,61
14:38,2463,Reggie Theus Jr. made Jumper. Assisted by Micheal Warren.,37,61
14:22,25,Juhwan Harris-Dyson missed Jumper.,37,61
14:22,25,Juhwan Harris-Dyson Offensive Rebound.,37,61
14:18,25,Juhwan Harris-Dyson made Jumper.,37,63
14:00,25,Foul on Don Coleman.,37,63
13:49,2463,Zeno Lake missed Jumper.,37,63
13:49,25,Don Coleman Defensive Rebound.,37,63
13:41,25,Juhwan Harris-Dyson made Layup. Assisted by Don Coleman.,37,65
13:27,2463,Terrell Gomez made Jumper.,39,65
12:59,2463,Foul on Micheal Warren.,39,65
12:59,25,Juhwan Harris-Dyson missed Free Throw.,39,65
12:59,25,California Deadball Team Rebound.,39,65
12:59,25,Juhwan Harris-Dyson missed Free Throw.,39,65
12:59,2463,Mahamadou Kaba-Camara Defensive Rebound.,39,65
12:43,2463,Mahamadou Kaba-Camara missed Jumper.,39,65
12:43,25,Kingsley Okoroh Block.,39,65
12:40,2463,Reggie Theus Jr. Offensive Rebound.,39,65
12:36,2463,Tavrion Dawson Turnover.,39,65
12:19,25,Kingsley Okoroh made Jumper.,39,67
11:59,2463,Lyrik Shreiner made Three Point Jumper.,42,67
11:42,25,Official TV Timeout,42,67
11:42,25,Kingsley Okoroh Turnover.,42,67
11:42,25,Official TV Timeout,42,67
11:21,2463,Terrell Gomez missed Jumper.,42,67
11:21,2463,Terrell Gomez Offensive Rebound.,42,67
11:15,2463,Tavrion Dawson missed Three Point Jumper.,42,67
11:15,25,Kingsley Okoroh Defensive Rebound.,42,67
11:07,2463,Foul on Lyrik Shreiner.,42,67
11:07,25,Nick Hamilton made Free Throw.,42,68
11:07,25,Nick Hamilton made Free Throw.,42,69
10:55,25,Foul on Nick Hamilton.,42,69
10:52,2463,Lyrik Shreiner missed Three Point Jumper.,42,69
10:52,25,Kingsley Okoroh Defensive Rebound.,42,69
10:27,25,Foul on Roman Davis.,42,69
10:27,25,Roman Davis Turnover.,42,69
10:16,2463,Foul on Lyrik Shreiner.,42,69
10:16,2463,Lyrik Shreiner Turnover.,42,69
10:03,25,Kingsley Okoroh missed Jumper.,42,69
10:03,2463,Carl Brown Defensive Rebound.,42,69
9:49,2463,Terrell Gomez made Jumper.,44,69
9:27,25,Kingsley Okoroh missed Jumper.,44,69
9:27,25,Roman Davis Offensive Rebound.,44,69
9:24,25,Roman Davis missed Jumper.,44,69
9:24,2463,Lyrik Shreiner Defensive Rebound.,44,69
9:19,2463,Tavrion Dawson made Dunk. Assisted by Lyrik Shreiner.,46,69
8:59,25,Don Coleman Turnover.,46,69
8:57,2463,Terrell Gomez Steal.,46,69
8:56,2463,Terrell Gomez made Layup.,48,69
8:43,25,California  Timeout,48,69
8:36,25,Darius McNeill missed Three Point Jumper.,48,69
8:36,2463,Mahamadou Kaba-Camara Defensive Rebound.,48,69
8:15,2463,Tavrion Dawson missed Three Point Jumper.,48,69
8:15,2463,Anthony Swan Offensive Rebound.,48,69
8:09,2463,Carl Brown made Three Point Jumper. Assisted by Terrell Gomez.,51,69
7:46,25,Official TV Timeout,51,69
7:46,25,Nick Hamilton Turnover.,51,69
7:46,25,Official TV Timeout,51,69
7:24,2463,Carl Brown missed Three Point Jumper.,51,69
7:24,25,Marcus Lee Defensive Rebound.,51,69
7:07,25,Darius McNeill Turnover.,51,69
7:02,2463,Terrell Gomez made Three Point Jumper.,54,69
6:42,25,California  Timeout,54,69
6:37,2463,Foul on Anthony Swan.,54,69
6:28,25,Marcus Lee made Dunk. Assisted by Juhwan Harris-Dyson.,54,71
6:06,2463,Anthony Swan missed Three Point Jumper.,54,71
6:06,25,Austin McCullough Defensive Rebound.,54,71
5:45,25,Marcus Lee made Dunk. Assisted by Darius McNeill.,54,73
5:34,2463,CSU Northridge  Timeout,54,73
5:13,2463,Zeno Lake made Jumper. Assisted by Anthony Swan.,56,73
4:59,25,Foul on Marcus Lee.,56,73
4:59,25,Marcus Lee Turnover.,56,73
4:41,2463,Carl Brown missed Three Point Jumper.,56,73
4:41,25,Marcus Lee Defensive Rebound.,56,73
4:32,25,Justice Sueing missed Jumper.,56,73
4:32,2463,CSU Northridge Defensive Rebound.,56,73
4:17,2463,Carl Brown missed Jumper.,56,73
4:17,25,Juhwan Harris-Dyson Defensive Rebound.,56,73
3:56,2463,Foul on Zeno Lake.,56,73
3:56,25,Official TV Timeout,56,73
3:56,25,Marcus Lee made Free Throw.,56,74
3:56,25,Marcus Lee made Free Throw.,56,75
3:46,2463,Tavrion Dawson made Jumper.,58,75
3:24,25,Don Coleman made Layup. Assisted by Marcus Lee.,58,77
3:24,2463,Foul on Carl Brown.,58,77
3:24,25,Don Coleman made Free Throw.,58,78
3:12,2463,Tavrion Dawson made Jumper.,60,78
2:58,2463,Foul on Carl Brown.,60,78
2:58,25,Juhwan Harris-Dyson made Free Throw.,60,79
2:58,25,Juhwan Harris-Dyson made Free Throw.,60,80
2:41,2463,Alex Sokol missed Jumper.,60,80
2:41,2463,CSU Northridge Deadball Team Rebound.,60,80
2:38,25,Foul on Juhwan Harris-Dyson.,60,80
2:38,2463,Reggie Theus Jr. made Free Throw.,61,80
2:38,2463,Reggie Theus Jr. made Free Throw.,62,80
2:12,25,Don Coleman missed Three Point Jumper.,62,80
2:12,25,Marcus Lee Offensive Rebound.,62,80
1:51,2463,Foul on Reggie Theus Jr..,62,80
1:51,25,Marcus Lee missed Free Throw.,62,80
1:51,25,California Deadball Team Rebound.,62,80
1:51,25,Marcus Lee made Free Throw.,62,81
1:31,2463,Reggie Theus Jr. missed Jumper.,62,81
1:31,25,Marcus Lee Block.,62,81
1:29,2463,Reggie Theus Jr. Offensive Rebound.,62,81
1:24,2463,Reggie Theus Jr. missed Jumper.,62,81
1:24,25,Marcus Lee Block.,62,81
1:22,25,Don Coleman Defensive Rebound.,62,81
1:04,25,Nick Hamilton missed Three Point Jumper.,62,81
1:04,2463,Blair Orr Defensive Rebound.,62,81
0:56,2463,Alex Sokol missed Three Point Jumper.,62,81
0:56,25,Marcus Lee Defensive Rebound.,62,81
0:49,2463,Foul on Jonathan Guevara.,62,81
0:49,25,Don Coleman made Free Throw.,62,82
0:49,25,Don Coleman made Free Throw.,62,83
0:24,25,Foul on Jacob Orender.,62,83
0:24,2463,Reggie Theus Jr. made Free Throw.,63,83
0:24,2463,Reggie Theus Jr. missed Free Throw.,63,83
0:24,25,Jules Erving Defensive Rebound.,63,83
0:00,25,End of Game,63,83
