UT Rio Grande Valley,2567,SMU,292
12:11,2567,Ethan Chargois made Jumper. Assisted by Jarrey Foster.,10,22
11:52,2567,Foul on William Douglas.,10,22
11:52,2567,Official TV Timeout,10,22
11:52,292,Greg Bowie missed Free Throw.,10,22
11:52,292,UT Rio Grande Valley Deadball Team Rebound.,10,22
11:52,292,Greg Bowie missed Free Throw.,10,22
11:52,2567,Jarrey Foster Defensive Rebound.,10,22
11:23,2567,Shake Milton missed Three Point Jumper.,10,22
11:23,2567,Shake Milton Offensive Rebound.,10,22
11:18,2567,Jarrey Foster missed Layup.,10,22
11:18,292,Mike Hoffman Block.,10,22
11:16,292,John Crnogorac Defensive Rebound.,10,22
11:12,292,Moe McDonald Turnover.,10,22
11:12,292,Foul on Moe McDonald.,10,22
10:46,2567,Shake Milton made Three Point Jumper. Assisted by Ethan Chargois.,10,25
10:31,292,Greg Bowie Turnover.,10,25
10:30,2567,Shake Milton Steal.,10,25
10:23,2567,Jimmy Whitt missed Jumper.,10,25
10:23,292,John Crnogorac Defensive Rebound.,10,25
9:56,2567,Foul on Ben Emelogu II.,10,25
9:56,292,Moe McDonald made Free Throw.,11,25
9:56,292,Moe McDonald made Free Throw.,12,25
9:39,2567,Shake Milton missed Jumper.,12,25
9:39,292,Mike Hoffman Defensive Rebound.,12,25
9:31,292,Mike Hoffman missed Three Point Jumper.,12,25
9:31,2567,Ethan Chargois Defensive Rebound.,12,25
9:09,2567,Jimmy Whitt made Jumper.,12,27
9:00,292,Javon Levi Turnover.,12,27
9:00,292,Foul on Javon Levi.,12,27
8:39,292,Foul on Mike Hoffman.,12,27
8:39,2567,Jimmy Whitt missed Free Throw.,12,27
8:39,2567,SMU Deadball Team Rebound.,12,27
8:39,2567,Jimmy Whitt missed Free Throw.,12,27
8:39,292,Mike Hoffman Defensive Rebound.,12,27
8:22,292,Moe McDonald Turnover.,12,27
8:22,292,Foul on Moe McDonald.,12,27
8:21,2567,Ben Emelogu II made Layup. Assisted by William Douglas.,12,29
8:00,292,Mike Hoffman missed Three Point Jumper.,12,29
7:55,292,Greg Bowie Offensive Rebound.,12,29
7:54,2567,Foul on Jimmy Whitt.,12,29
7:53,2567,Official TV Timeout,12,29
7:53,292,Greg Bowie missed Free Throw.,12,29
7:53,292,UT Rio Grande Valley Deadball Team Rebound.,12,29
7:53,292,Greg Bowie made Free Throw.,13,29
7:41,2567,Jarrey Foster missed Layup.,13,29
7:41,292,Mike Hoffman Block.,13,29
7:39,292,Mike Hoffman Defensive Rebound.,13,29
7:26,292,Nick Dixon missed Three Point Jumper.,13,29
7:26,2567,Ben Emelogu II Defensive Rebound.,13,29
7:19,292,Foul on Nick Dixon.,13,29
7:19,2567,Shake Milton made Free Throw.,13,30
7:19,2567,Shake Milton made Free Throw.,13,31
7:07,292,Javon Levi missed Layup.,13,31
7:07,292,Mike Hoffman Offensive Rebound.,13,31
7:04,292,Mike Hoffman Turnover.,13,31
7:04,2567,William Douglas Steal.,13,31
7:03,292,Foul on Javon Levi.,13,31
7:03,2567,William Douglas made Free Throw.,13,32
7:03,2567,William Douglas made Free Throw.,13,33
6:51,2567,Foul on Jarrey Foster.,13,33
6:51,292,Mike Hoffman missed Free Throw.,13,33
6:51,292,UT Rio Grande Valley Deadball Team Rebound.,13,33
6:51,292,Mike Hoffman made Free Throw.,14,33
6:35,2567,Ethan Chargois made Jumper. Assisted by Shake Milton.,14,35
6:17,292,Xavier McDaniel Jr. missed Jumper.,14,35
6:17,292,Lesley Varner Jr. Offensive Rebound.,14,35
6:12,292,Nick Dixon Turnover.,14,35
6:12,292,Foul on Nick Dixon.,14,35
5:47,2567,Jimmy Whitt made Jumper. Assisted by Ethan Chargois.,14,37
5:32,292,Mike Hoffman made Three Point Jumper. Assisted by Javon Levi.,17,37
5:01,2567,Ethan Chargois made Three Point Jumper. Assisted by Jimmy Whitt.,17,40
4:39,292,Greg Bowie missed Three Point Jumper.,17,40
4:38,2567,Ethan Chargois Defensive Rebound.,17,40
4:35,292,Foul on Lesley Varner Jr..,17,40
4:35,2567,Ethan Chargois missed Free Throw.,17,40
4:35,2567,SMU Deadball Team Rebound.,17,40
4:35,2567,Ethan Chargois made Free Throw.,17,41
4:31,292,Lesley Varner Jr. missed Jumper.,17,41
4:31,2567,Ethan Chargois Defensive Rebound.,17,41
4:19,2567,Jimmy Whitt made Dunk.,17,43
4:12,292,Mike Hoffman made Three Point Jumper. Assisted by Javon Levi.,20,43
3:58,2567,Official TV Timeout,20,43
3:37,2567,Ethan Chargois missed Three Point Jumper.,20,43
3:37,2567,Jimmy Whitt Offensive Rebound.,20,43
3:34,2567,Jimmy Whitt made Two Point Tip Shot.,20,45
3:15,292,Javon Levi Turnover.,20,45
2:59,2567,Elijah Landrum missed Three Point Jumper.,20,45
2:59,292,Greg Bowie Defensive Rebound.,20,45
2:43,292,Xavier McDaniel Jr. missed Three Point Jumper.,20,45
2:43,2567,Ben Emelogu II Defensive Rebound.,20,45
2:20,2567,Jimmy Whitt missed Jumper.,20,45
2:20,292,Mike Hoffman Defensive Rebound.,20,45
2:11,292,Greg Bowie made Three Point Jumper. Assisted by Javon Levi.,23,45
1:37,2567,Jimmy Whitt made Jumper. Assisted by Elijah Landrum.,23,47
1:21,292,Mike Hoffman made Jumper.,25,47
0:48,2567,Shake Milton missed Jumper.,25,47
0:48,2567,Akoy Agau Offensive Rebound.,25,47
0:44,2567,Akoy Agau missed Layup.,25,47
0:44,292,Mike Hoffman Block.,25,47
0:43,292,Xavier McDaniel Jr. Defensive Rebound.,25,47
0:39,292,Xavier McDaniel Jr. Turnover.,25,47
0:24,2567,Jimmy Whitt made Jumper. Assisted by Ben Emelogu II.,25,49
0:06,292,Adonis Rwabigwi missed Jumper.,25,49
0:06,292,Greg Bowie Offensive Rebound.,25,49
0:01,292,Greg Bowie missed Jumper.,25,49
0:00,292,UT Rio Grande Valley Deadball Team Rebound.,25,49
0:00,2567,End of 1st half,25,49
19:46,2567,Ben Emelogu II missed Jumper.,25,49
19:46,2567,Jarrey Foster Offensive Rebound.,25,49
19:44,2567,Jarrey Foster missed Layup.,25,49
19:44,292,Xavier McDaniel Jr. Block.,25,49
19:42,292,Lesley Varner Jr. Defensive Rebound.,25,49
19:26,292,Xavier McDaniel Jr. missed Three Point Jumper.,25,49
19:26,2567,Shake Milton Defensive Rebound.,25,49
19:19,292,Foul on Moe McDonald.,25,49
19:19,2567,Shake Milton made Free Throw.,25,50
19:19,2567,Shake Milton missed Free Throw.,25,50
19:19,292,Xavier McDaniel Jr. Defensive Rebound.,25,50
19:06,2567,Foul on Jarrey Foster.,25,50
18:51,292,Nick Dixon made Three Point Jumper.,28,50
18:32,2567,Jarrey Foster made Layup. Assisted by Jimmy Whitt.,28,52
18:11,292,Xavier McDaniel Jr. made Three Point Jumper. Assisted by Javon Levi.,31,52
17:38,292,Foul on Adonis Rwabigwi.,31,52
17:22,292,Foul on Lesley Varner Jr..,31,52
17:22,2567,Jarrey Foster made Free Throw.,31,53
17:22,2567,Jarrey Foster made Free Throw.,31,54
17:10,292,Xavier McDaniel Jr. missed Jumper.,31,54
17:10,2567,SMU Defensive Rebound.,31,54
16:46,2567,Shake Milton made Jumper.,31,56
16:31,292,Nick Dixon missed Three Point Jumper.,31,56
16:31,2567,Ethan Chargois Defensive Rebound.,31,56
16:17,2567,Shake Milton Turnover.,31,56
16:17,2567,Foul on Shake Milton.,31,56
16:17,292,Nick Dixon made Free Throw.,32,56
16:17,292,Foul on Adonis Rwabigwi.,31,56
16:17,2567,Technical Foul on Shake Milton.,31,56
16:17,292,Nick Dixon made Free Throw.,33,56
15:54,292,Javon Levi Turnover.,33,56
15:54,2567,Official TV Timeout,33,56
15:34,292,Foul on Greg Bowie.,33,56
15:18,2567,Ben Emelogu II missed Layup.,33,56
15:18,292,Xavier McDaniel Jr. Block.,33,56
15:16,292,Mike Hoffman Defensive Rebound.,33,56
15:11,292,Nick Dixon made Layup. Assisted by Javon Levi.,35,56
14:53,292,Foul on Mike Hoffman.,35,56
14:53,2567,Ethan Chargois made Free Throw.,35,57
14:53,2567,Ethan Chargois made Free Throw.,35,58
14:39,292,Greg Bowie made Jumper. Assisted by Javon Levi.,37,58
14:16,2567,Shake Milton made Layup. Assisted by Jarrey Foster.,37,60
14:16,292,Foul on Javon Levi.,37,60
14:16,2567,Shake Milton made Free Throw.,37,61
14:02,292,Nick Dixon made Three Point Jumper. Assisted by Greg Bowie.,40,61
13:34,2567,Jarrey Foster made Dunk. Assisted by Shake Milton.,40,63
13:21,292,Greg Bowie missed Jumper.,40,63
13:21,2567,William Douglas Defensive Rebound.,40,63
13:07,2567,Jarrey Foster made Dunk. Assisted by Jimmy Whitt.,40,65
12:55,2567,Foul on Jimmy Whitt.,40,65
12:44,292,Greg Bowie made Three Point Jumper. Assisted by Nick Dixon.,43,65
12:14,2567,Jimmy Whitt made Dunk. Assisted by Everett Ray.,43,67
11:59,292,Greg Bowie Turnover.,43,67
11:58,2567,Jimmy Whitt Steal.,43,67
11:51,2567,Jarrey Foster Turnover.,43,67
11:51,2567,Official TV Timeout,43,67
11:40,292,Greg Bowie missed Jumper.,43,67
11:39,292,UT Rio Grande Valley Offensive Rebound.,43,67
11:30,292,Mike Hoffman made Three Point Jumper. Assisted by Dan Kimasa.,46,67
11:01,292,Foul on Dan Kimasa.,46,67
11:01,2567,Everett Ray missed Free Throw.,46,67
11:01,2567,SMU Deadball Team Rebound.,46,67
11:01,2567,Everett Ray missed Free Throw.,46,67
11:01,292,Mike Hoffman Defensive Rebound.,46,67
10:42,292,Greg Bowie missed Three Point Jumper.,46,67
10:42,2567,William Douglas Defensive Rebound.,46,67
10:31,2567,Jarrey Foster made Three Point Jumper. Assisted by Jimmy Whitt.,46,70
10:15,292,Mike Hoffman missed Three Point Jumper.,46,70
10:15,292,Greg Bowie Offensive Rebound.,46,70
10:01,292,Javon Levi missed Jumper.,46,70
10:01,2567,Shake Milton Defensive Rebound.,46,70
9:43,2567,Everett Ray Turnover.,46,70
9:34,292,Greg Bowie missed Jumper.,46,70
9:34,2567,Shake Milton Defensive Rebound.,46,70
9:22,2567,Shake Milton missed Jumper.,46,70
9:22,2567,Everett Ray Offensive Rebound.,46,70
9:20,2567,Everett Ray made Jumper.,46,72
9:13,292,Greg Bowie Turnover.,46,72
9:13,292,Foul on Greg Bowie.,46,72
9:13,292,Foul on Javon Levi.,46,72
9:13,2567,Shake Milton made Free Throw.,46,73
9:13,2567,Shake Milton made Free Throw.,46,74
8:59,292,Mike Hoffman made Three Point Jumper. Assisted by Moe McDonald.,49,74
8:47,2567,William Douglas Turnover.,49,74
8:37,292,Dan Kimasa missed Jumper.,49,74
8:37,2567,Ben Emelogu II Defensive Rebound.,49,74
8:25,2567,Shake Milton missed Jumper.,49,74
8:25,2567,William Douglas Offensive Rebound.,49,74
8:21,2567,Jimmy Whitt missed Jumper.,49,74
8:21,292,UT Rio Grande Valley Defensive Rebound.,49,74
7:57,292,Mike Hoffman Turnover.,49,74
7:56,2567,Ben Emelogu II Steal.,49,74
7:54,292,Foul on UT Rio Grande Valley.,49,74
7:54,292,Technical Foul on UT Rio Grande Valley.,49,74
7:54,2567,Official TV Timeout,49,74
7:54,2567,Shake Milton made Free Throw.,49,75
7:54,2567,Shake Milton made Free Throw.,49,76
7:30,2567,Shake Milton missed Jumper.,49,76
7:30,292,UT Rio Grande Valley Defensive Rebound.,49,76
7:12,292,Dan Kimasa made Jumper.,51,76
6:47,2567,William Douglas made Three Point Jumper. Assisted by Ben Emelogu II.,51,79
6:36,292,Mike Hoffman made Three Point Jumper. Assisted by Moe McDonald.,54,79
6:22,2567,Elijah Landrum missed Three Point Jumper.,54,79
6:22,2567,Ben Emelogu II Offensive Rebound.,54,79
6:08,2567,Shake Milton made Layup.,54,81
5:52,2567,Foul on Ethan Chargois.,54,81
5:42,292,Lesley Varner Jr. made Jumper. Assisted by Xavier McDaniel Jr..,56,81
5:09,2567,Ethan Chargois missed Three Point Jumper.,56,81
5:09,292,Lesley Varner Jr. Defensive Rebound.,56,81
5:05,2567,Foul on Ben Emelogu II.,56,81
4:53,292,Nick Dixon made Jumper.,58,81
4:22,2567,Ethan Chargois made Layup.,58,83
4:07,292,Lesley Varner Jr. made Jumper.,60,83
3:41,2567,Elijah Landrum made Three Point Jumper. Assisted by William Douglas.,60,86
3:27,292,Mike Hoffman missed Three Point Jumper.,60,86
3:27,2567,SMU Defensive Rebound.,60,86
3:24,2567,Official TV Timeout,60,86
2:53,2567,SMU  Turnover.,60,86
2:36,292,John Crnogorac missed Jumper.,60,86
2:36,2567,Akoy Agau Defensive Rebound.,60,86
2:11,2567,Ben Emelogu II made Three Point Jumper. Assisted by Jarrey Foster.,60,89
1:54,2567,Foul on Elijah Landrum.,60,89
1:52,292,Nick Dixon missed Three Point Jumper.,60,89
1:52,2567,Ben Emelogu II Defensive Rebound.,60,89
1:43,2567,Ben Emelogu II missed Three Point Jumper.,60,89
1:43,292,Lesley Varner Jr. Defensive Rebound.,60,89
1:35,292,Nick Dixon made Jumper.,62,89
1:27,292,Foul on Xavier McDaniel Jr..,62,89
1:27,2567,Elijah Landrum made Free Throw.,62,90
1:27,2567,Elijah Landrum made Free Throw.,62,91
1:21,292,Xavier McDaniel Jr. missed Jumper.,62,91
1:21,2567,James Pyle Defensive Rebound.,62,91
1:08,2567,Elijah Landrum made Layup.,62,93
0:57,292,Lesley Varner Jr. missed Three Point Jumper.,62,93
0:57,2567,Everett Ray Defensive Rebound.,62,93
0:46,2567,Elijah Landrum missed Layup.,62,93
0:46,292,Xavier McDaniel Jr. Defensive Rebound.,62,93
0:43,2567,Foul on Everett Ray.,62,93
0:43,292,Xavier McDaniel Jr. missed Free Throw.,62,93
0:43,2567,Everett Ray Defensive Rebound.,62,93
0:18,292,Foul on Xavier McDaniel Jr..,62,93
0:18,2567,Akoy Agau made Free Throw.,62,94
0:18,2567,Akoy Agau made Free Throw.,62,95
0:07,292,John Crnogorac made Layup. Assisted by Marlon Williams.,64,95
0:00,2567,End of Game,64,95
