IUPUI,2710,Western Illinois,85
6:57,2710,Jalen Morgan Offensive Rebound.,10,26
6:56,85,Foul on T.J. Henderson.,10,26
6:56,2710,Jalen Morgan made Free Throw.,10,27
6:53,2710,Jalen Morgan made Free Throw.,24,48
6:36,85,Maurice Kirby Turnover.,10,27
6:36,2710,Dalan Ancrum Steal.,10,27
6:14,2710,Dalan Ancrum made Dunk. Assisted by Kobe Webster.,10,29
6:14,85,IUPUI  Timeout,10,29
6:08,85,Aaron Brennan missed Three Point Jumper.,10,29
6:08,85,D.J. McCall Offensive Rebound.,10,29
6:03,85,D.J. McCall missed Jumper.,10,29
6:03,2710,Jalen Morgan Block.,10,29
6:01,2710,Jalen Morgan Defensive Rebound.,10,29
5:53,2710,Kobe Webster made Jumper.,10,31
5:37,85,Maurice Kirby missed Jumper.,10,31
5:37,2710,Dalan Ancrum Defensive Rebound.,10,31
5:24,2710,Kobe Webster made Jumper.,10,33
5:08,85,Aaron Brennan missed Jumper.,10,33
5:08,2710,Dalan Ancrum Defensive Rebound.,10,33
4:50,85,Foul on Nick Rogers.,10,33
4:39,2710,Jalen Morgan Turnover.,10,33
4:38,85,Aaron Brennan Steal.,10,33
4:33,85,D.J. McCall made Layup.,12,33
4:15,2710,Dalan Ancrum made Three Point Jumper. Assisted by Kobe Webster.,12,36
4:02,85,D.J. McCall made Three Point Jumper. Assisted by Nick Rogers.,15,36
3:35,85,Foul on Aaron Brennan.,15,36
3:35,2710,Official TV Timeout,15,36
3:32,2710,Jalen Morgan made Free Throw.,15,37
3:32,2710,Jalen Morgan made Free Throw.,15,38
3:23,85,Nick Rogers Turnover.,15,38
3:23,85,Foul on Nick Rogers.,15,38
3:02,2710,Kobe Webster missed Three Point Jumper.,15,38
3:02,85,Evan Hall Block.,15,38
3:00,2710,Jalen Morgan Offensive Rebound.,15,38
2:59,2710,Jalen Morgan Turnover.,15,38
2:41,85,Evan Hall made Jumper. Assisted by Elyjah Goss.,17,38
2:25,2710,Delo Bruster made Jumper.,17,40
2:07,85,Evan Hall missed Jumper.,17,40
2:07,2710,Jalen Morgan Block.,17,40
2:04,2710,Dalan Ancrum Defensive Rebound.,17,40
1:52,2710,Kobe Webster made Three Point Jumper.,17,43
1:21,85,Jaylen Minnett made Three Point Jumper. Assisted by Ron Patterson.,20,43
1:03,2710,Jalen Morgan made Dunk. Assisted by Kobe Webster.,20,45
0:45,85,Elyjah Goss made Dunk. Assisted by Ron Patterson.,22,45
0:26,85,Foul on Jaylen Minnett.,22,45
0:26,2710,Delo Bruster made Free Throw.,22,46
0:26,2710,Delo Bruster made Free Throw.,22,47
0:05,85,D.J. McCall missed Three Point Jumper.,22,47
0:05,85,Jaylen Minnett Offensive Rebound.,22,47
0:00,85,Jaylen Minnett made Jumper.,24,47
0:00,2710,End of 1st half,22,47
19:46,2710,Foul on Brandon Gilbeck.,24,48
19:46,85,D.J. McCall made Free Throw.,25,48
19:46,85,D.J. McCall missed Free Throw.,25,48
19:46,2710,Brandon Gilbeck Defensive Rebound.,25,48
19:30,2710,Dalan Ancrum made Three Point Jumper. Assisted by Delo Bruster.,25,51
19:12,85,D.J. McCall missed Jumper.,25,51
19:12,85,D.J. McCall Offensive Rebound.,25,51
18:59,85,Evan Hall missed Jumper.,25,51
18:59,85,Evan Hall Offensive Rebound.,25,51
18:56,85,Evan Hall made Jumper.,27,51
18:41,85,Foul on Evan Hall.,27,51
18:32,2710,Dalan Ancrum missed Three Point Jumper.,27,51
18:32,2710,Brandon Gilbeck Offensive Rebound.,27,51
18:28,2710,Brandon Gilbeck missed Jumper.,27,51
18:28,85,Evan Hall Defensive Rebound.,27,51
18:22,85,T.J. Henderson made Layup.,29,51
18:22,2710,Foul on Kobe Webster.,29,51
18:22,85,T.J. Henderson made Free Throw.,30,51
18:06,2710,Dalan Ancrum made Jumper.,30,53
17:53,85,Ron Patterson made Three Point Jumper. Assisted by T.J. Henderson.,33,53
17:29,2710,Jalen Morgan missed Jumper.,33,53
17:29,85,Evan Hall Defensive Rebound.,33,53
17:21,85,Aaron Brennan Turnover.,33,53
17:21,85,Foul on Aaron Brennan.,33,53
17:08,2710,Kobe Webster made Jumper.,33,55
16:52,85,T.J. Henderson missed Three Point Jumper.,33,55
16:52,85,Aaron Brennan Offensive Rebound.,33,55
16:48,85,Aaron Brennan made Jumper.,35,55
16:32,85,Foul on Ron Patterson.,35,55
16:32,2710,Jalen Morgan made Free Throw.,35,56
16:32,2710,Jalen Morgan made Free Throw.,35,57
16:18,85,D.J. McCall missed Three Point Jumper.,35,57
16:18,2710,Brandon Gilbeck Defensive Rebound.,35,57
16:07,2710,Jalen Morgan missed Jumper.,35,57
16:07,85,Evan Hall Defensive Rebound.,35,57
15:57,85,Ron Patterson missed Three Point Jumper.,35,57
15:57,2710,Brandon Gilbeck Defensive Rebound.,35,57
15:34,2710,Kobe Webster made Three Point Jumper.,35,60
15:19,85,Aaron Brennan Turnover.,35,60
15:19,85,Foul on Aaron Brennan.,35,60
15:19,2710,Official TV Timeout,35,60
15:04,2710,Delo Bruster Turnover.,35,60
15:03,85,Jaylen Minnett Steal.,35,60
15:00,85,Jaylen Minnett missed Layup.,35,60
15:00,2710,Western Illinois Defensive Rebound.,35,60
14:41,2710,Jalen Morgan missed Jumper.,35,60
14:41,85,Aaron Brennan Block.,35,60
14:41,2710,Western Illinois Offensive Rebound.,35,60
14:29,2710,Western Illinois  Turnover.,35,60
14:10,85,D.J. McCall made Jumper. Assisted by Aaron Brennan.,37,60
13:48,2710,Delo Bruster made Three Point Jumper. Assisted by Brandon Gilbeck.,37,63
13:26,85,Nick Rogers made Jumper.,39,63
13:05,85,Foul on Maurice Kirby.,39,63
12:54,2710,Delo Bruster made Jumper.,39,65
12:40,85,Aaron Brennan missed Three Point Jumper.,39,65
12:40,2710,Jeremiah Usiosefe Defensive Rebound.,39,65
12:25,2710,Jeremiah Usiosefe missed Three Point Jumper.,39,65
12:25,85,Maurice Kirby Defensive Rebound.,39,65
12:16,85,Jaylen Minnett made Three Point Jumper. Assisted by Nick Rogers.,42,65
11:52,2710,Brandon Gilbeck missed Jumper.,42,65
11:52,85,Aaron Brennan Defensive Rebound.,42,65
11:44,85,Aaron Brennan missed Three Point Jumper.,42,65
11:44,2710,Delo Bruster Defensive Rebound.,42,65
11:29,85,Foul on Ron Patterson.,42,65
11:29,2710,Official TV Timeout,42,65
11:29,2710,Brandon Gilbeck made Free Throw.,42,66
11:29,2710,Brandon Gilbeck missed Free Throw.,42,66
11:29,85,Maurice Kirby Defensive Rebound.,42,66
11:18,85,Ron Patterson missed Jumper.,42,66
11:18,85,Maurice Kirby Offensive Rebound.,42,66
11:15,85,Maurice Kirby made Jumper.,44,66
11:02,2710,Jeremiah Usiosefe missed Jumper.,44,66
11:02,85,Ron Patterson Defensive Rebound.,44,66
10:55,85,Maurice Kirby Turnover.,44,66
10:53,2710,Delo Bruster Steal.,44,66
10:38,2710,Dalan Ancrum made Three Point Jumper. Assisted by Jeremiah Usiosefe.,44,69
10:27,85,Ron Patterson missed Jumper.,44,69
10:27,2710,Western Illinois Defensive Rebound.,44,69
10:11,2710,Dalan Ancrum made Layup.,44,71
9:55,85,Jaylen Minnett missed Jumper.,44,71
9:55,2710,Brandon Gilbeck Block.,44,71
9:53,85,Jaylen Minnett Offensive Rebound.,44,71
9:49,85,T.J. Henderson made Three Point Jumper. Assisted by Jaylen Minnett.,47,71
9:42,2710,Delo Bruster Turnover.,47,71
9:37,85,D.J. McCall missed Jumper.,47,71
9:37,2710,Brandon Gilbeck Block.,47,71
9:34,2710,Delo Bruster Defensive Rebound.,47,71
9:16,85,Foul on Elyjah Goss.,47,71
9:16,2710,Brandon Gilbeck missed Free Throw.,47,71
9:16,85,Elyjah Goss Defensive Rebound.,47,71
9:15,85,Nick Rogers Turnover.,47,71
9:07,85,Foul on Nick Rogers.,47,71
9:07,2710,Jeremiah Usiosefe made Free Throw.,47,72
9:07,2710,Jeremiah Usiosefe made Free Throw.,47,73
8:52,85,T.J. Henderson missed Jumper.,47,73
8:52,2710,Brandon Gilbeck Defensive Rebound.,47,73
8:30,2710,Western Illinois  Timeout,47,73
8:21,2710,Brandon Gilbeck made Dunk. Assisted by Kobe Webster.,47,75
8:01,2710,Foul on Kobe Webster.,47,75
8:01,2710,Official TV Timeout,47,75
7:59,85,Jaylen Minnett made Free Throw.,48,75
7:59,85,Jaylen Minnett missed Free Throw.,48,75
7:59,85,Jaylen Minnett Offensive Rebound.,48,75
7:55,85,Jaylen Minnett missed Jumper.,48,75
7:55,2710,Brandon Gilbeck Block.,48,75
7:54,85,Jaylen Minnett Offensive Rebound.,48,75
7:46,85,Jaylen Minnett made Three Point Jumper. Assisted by Nick Rogers.,51,75
7:19,2710,Kobe Webster made Jumper.,51,77
7:06,85,Elyjah Goss made Jumper.,53,77
7:06,2710,Foul on Jeremiah Usiosefe.,53,77
7:06,2710,Western Illinois  Timeout,53,77
7:06,85,Elyjah Goss made Free Throw.,54,77
7:06,2710,Western Illinois  Turnover.,54,77
6:54,85,D.J. McCall made Three Point Jumper. Assisted by Nick Rogers.,57,77
6:22,85,Foul on T.J. Henderson.,57,77
6:22,2710,Kobe Webster made Free Throw.,57,78
6:22,2710,Kobe Webster made Free Throw.,57,79
6:13,85,T.J. Henderson missed Three Point Jumper.,57,79
6:13,2710,Jeremiah Usiosefe Defensive Rebound.,57,79
5:56,2710,Kobe Webster missed Jumper.,57,79
5:56,2710,Dalan Ancrum Offensive Rebound.,57,79
5:45,2710,Dalan Ancrum Turnover.,57,79
5:44,85,D.J. McCall Steal.,57,79
5:41,85,D.J. McCall made Dunk.,59,79
5:19,2710,Brandon Gilbeck Turnover.,59,79
5:17,85,T.J. Henderson Steal.,59,79
5:12,85,D.J. McCall made Jumper. Assisted by T.J. Henderson.,61,79
4:47,2710,C.J. Duff Turnover.,61,79
4:45,85,Elyjah Goss Steal.,61,79
4:43,85,Nick Rogers made Layup.,63,79
4:32,85,Foul on Elyjah Goss.,63,79
4:32,2710,C.J. Duff made Free Throw.,63,80
4:32,2710,C.J. Duff made Free Throw.,63,81
4:22,85,D.J. McCall made Three Point Jumper.,66,81
4:02,85,Foul on Nick Rogers.,66,81
4:02,2710,Jeremiah Usiosefe made Free Throw.,66,82
4:02,2710,Jeremiah Usiosefe missed Free Throw.,66,82
4:02,85,T.J. Henderson Defensive Rebound.,66,82
3:55,2710,Foul on Dalan Ancrum.,66,82
3:55,2710,Official TV Timeout,66,82
3:50,85,D.J. McCall made Free Throw.,67,82
3:50,85,D.J. McCall missed Free Throw.,67,82
3:50,85,Aaron Brennan Offensive Rebound.,67,82
3:38,85,D.J. McCall missed Jumper.,67,82
3:38,2710,Kobe Webster Defensive Rebound.,67,82
3:16,2710,Dalan Ancrum made Jumper.,67,84
3:06,85,D.J. McCall missed Jumper.,67,84
3:06,2710,Brandon Gilbeck Block.,67,84
3:06,85,IUPUI Offensive Rebound.,67,84
3:02,85,Aaron Brennan missed Three Point Jumper.,67,84
3:02,2710,Kobe Webster Defensive Rebound.,67,84
2:48,2710,Brandon Gilbeck Turnover.,67,84
2:48,2710,Foul on Brandon Gilbeck.,67,84
2:34,85,Jaylen Minnett missed Three Point Jumper.,67,84
2:34,2710,Jeremiah Usiosefe Defensive Rebound.,67,84
2:30,85,Foul on Aaron Brennan.,67,84
2:30,2710,Jeremiah Usiosefe made Free Throw.,67,85
2:30,2710,Jeremiah Usiosefe made Free Throw.,67,86
2:19,85,Elyjah Goss made Dunk. Assisted by Jaylen Minnett.,69,86
1:44,2710,Brandon Gilbeck missed Jumper.,69,86
1:44,85,D.J. McCall Defensive Rebound.,69,86
1:38,85,D.J. McCall made Jumper.,71,86
1:35,85,IUPUI  Timeout,71,86
1:23,2710,Western Illinois  Turnover.,71,86
1:17,85,Elyjah Goss made Three Point Jumper. Assisted by D.J. McCall.,74,86
1:03,85,Foul on Jaylen Minnett.,74,86
1:03,2710,Jeremiah Usiosefe made Free Throw.,74,87
1:03,2710,Jeremiah Usiosefe made Free Throw.,74,88
0:53,85,D.J. McCall missed Three Point Jumper.,74,88
0:53,2710,Brandon Gilbeck Defensive Rebound.,74,88
0:38,2710,Kobe Webster missed Layup.,74,88
0:38,2710,Brandon Gilbeck Offensive Rebound.,74,88
0:35,2710,Brandon Gilbeck made Dunk.,74,90
0:27,2710,Foul on Brandon Gilbeck.,74,90
0:27,85,T.J. Henderson missed Free Throw.,74,90
0:27,85,IUPUI Deadball Team Rebound.,74,90
0:27,85,T.J. Henderson made Free Throw.,75,90
0:24,2710,Western Illinois  Timeout,75,90
0:23,2710,Jeremiah Usiosefe Turnover.,75,90
0:22,85,D.J. McCall Steal.,75,90
0:20,85,Jaylen Minnett missed Three Point Jumper.,75,90
0:20,85,D.J. McCall Offensive Rebound.,75,90
0:14,85,Aaron Brennan missed Three Point Jumper.,75,90
0:14,85,D.J. McCall Offensive Rebound.,75,90
0:08,2710,Foul on Dalan Ancrum.,75,90
0:08,85,D.J. McCall made Free Throw.,76,90
0:08,85,D.J. McCall made Free Throw.,77,90
0:00,2710,End of Game,77,90
