Florida State,164,Rutgers,52
10:29,52,Braian Angola made Free Throw.,13,15
10:21,164,Deshawn Freeman missed Jumper.,13,15
10:21,164,Deshawn Freeman Offensive Rebound.,13,15
10:21,164,Deshawn Freeman made Two Point Tip Shot.,13,17
10:04,52,Mfiondu Kabengele made Jumper. Assisted by CJ Walker.,15,17
9:51,52,Foul on Braian Angola.,15,17
9:49,52,Foul on Mfiondu Kabengele.,15,17
9:47,164,Geo Baker missed Three Point Jumper.,15,17
9:47,164,Mamadou Doucoure Offensive Rebound.,15,17
9:35,164,Corey Sanders made Layup.,15,19
9:09,52,Phil Cofer made Three Point Jumper. Assisted by CJ Walker.,18,19
8:50,164,Geo Baker missed Jumper.,18,19
8:50,52,Ike Obiagu Defensive Rebound.,18,19
8:36,164,Foul on Mamadou Doucoure.,18,19
8:36,52,CJ Walker made Free Throw.,19,19
8:36,52,CJ Walker made Free Throw.,20,19
8:36,52,Foul on Terance Mann.,20,19
8:36,164,Souf Mensah missed Free Throw.,20,19
8:36,52,Phil Cofer Defensive Rebound.,20,19
8:25,52,Phil Cofer made Three Point Jumper. Assisted by Braian Angola.,23,19
8:00,164,Mike Williams Turnover.,23,19
8:00,52,CJ Walker Steal.,23,19
7:58,164,Foul on Mike Williams.,23,19
7:58,164,Official TV Timeout,23,19
7:58,52,Ike Obiagu missed Free Throw.,23,19
7:58,164,Rutgers Defensive Rebound.,23,19
7:32,164,Corey Sanders made Three Point Jumper.,23,22
7:15,52,Braian Angola Turnover.,23,22
6:55,164,Deshawn Freeman missed Jumper.,23,22
6:55,52,Mfiondu Kabengele Defensive Rebound.,23,22
6:45,52,Phil Cofer made Three Point Jumper. Assisted by Terance Mann.,26,22
6:17,164,Eugene Omoruyi made Layup.,26,24
6:17,52,Foul on M.J. Walker.,26,24
6:17,164,Eugene Omoruyi made Free Throw.,26,25
5:55,164,Foul on Candido Sa.,26,25
5:55,52,Mfiondu Kabengele missed Free Throw.,26,25
5:55,52,Florida State Deadball Team Rebound.,26,25
5:55,52,Mfiondu Kabengele made Free Throw.,27,25
5:37,164,Deshawn Freeman missed Layup.,27,25
5:37,164,Rutgers Offensive Rebound.,27,25
5:17,164,Corey Sanders made Jumper.,27,27
4:59,52,Mfiondu Kabengele made Layup.,29,27
4:36,52,Foul on Mfiondu Kabengele.,29,27
4:36,164,Deshawn Freeman made Free Throw.,29,28
4:36,164,Deshawn Freeman made Free Throw.,29,29
4:24,52,Terance Mann missed Jumper.,29,29
4:24,52,Ike Obiagu Offensive Rebound.,29,29
4:05,52,Braian Angola Turnover.,29,29
4:05,164,Deshawn Freeman Steal.,29,29
3:58,164,Issa Thiam missed Three Point Jumper.,29,29
3:58,164,Corey Sanders Offensive Rebound.,29,29
3:44,164,Corey Sanders missed Jumper.,29,29
3:44,52,Florida State Defensive Rebound.,29,29
3:39,164,Official TV Timeout,29,29
3:35,52,Phil Cofer missed Three Point Jumper.,29,29
3:35,164,Corey Sanders Defensive Rebound.,29,29
3:22,164,Corey Sanders made Layup.,29,31
3:03,52,Terance Mann made Layup. Assisted by Braian Angola.,31,31
2:28,52,Foul on Trent Forrest.,31,31
2:28,164,Eugene Omoruyi made Free Throw.,31,32
2:28,164,Eugene Omoruyi made Free Throw.,31,33
2:28,164,Rutgers  Timeout,31,33
2:21,52,Ike Obiagu missed Dunk.,31,33
2:21,164,Candido Sa Defensive Rebound.,31,33
2:09,164,Deshawn Freeman missed Layup.,31,33
2:09,52,Florida State Defensive Rebound.,31,33
1:48,52,Braian Angola missed Three Point Jumper.,31,33
1:48,164,Deshawn Freeman Defensive Rebound.,31,33
1:39,164,Issa Thiam Turnover.,31,33
1:39,52,CJ Walker Steal.,31,33
1:34,164,Foul on Corey Sanders.,31,33
1:34,52,Terance Mann missed Free Throw.,31,33
1:34,52,Florida State Deadball Team Rebound.,31,33
1:34,52,Terance Mann made Free Throw.,32,33
1:22,164,Corey Sanders missed Layup.,32,33
1:22,52,Ike Obiagu Block.,32,33
1:22,52,Ike Obiagu Defensive Rebound.,32,33
1:11,52,Ike Obiagu made Dunk. Assisted by Terance Mann.,34,33
0:47,164,Eugene Omoruyi Turnover.,34,33
0:47,52,CJ Walker Steal.,34,33
0:43,52,Terance Mann made Dunk. Assisted by Phil Cofer.,36,33
0:36,164,Rutgers  Timeout,36,33
0:22,164,Mike Williams missed Layup.,36,33
0:22,164,Mamadou Doucoure Offensive Rebound.,36,33
0:22,52,Foul on Terance Mann.,36,33
0:22,164,Mamadou Doucoure made Free Throw.,36,34
0:22,164,Mamadou Doucoure made Free Throw.,36,35
0:09,52,Florida State  Timeout,36,35
0:08,52,CJ Walker missed Three Point Jumper.,36,35
0:08,164,Eugene Omoruyi Defensive Rebound.,36,35
0:00,164,End of 1st half,36,35
20:00,164,Jump Ball won by Rutgers,36,35
19:43,164,Foul on Mamadou Doucoure.,36,35
19:43,164,Mamadou Doucoure Turnover.,36,35
19:36,52,CJ Walker missed Layup.,36,35
19:36,52,Ike Obiagu Offensive Rebound.,36,35
19:33,164,Foul on Mamadou Doucoure.,36,35
19:33,52,Ike Obiagu missed Free Throw.,36,35
19:33,52,Florida State Deadball Team Rebound.,36,35
19:33,164,Deshawn Freeman Defensive Rebound.,36,35
19:08,164,Deshawn Freeman missed Layup.,36,35
19:08,164,Rutgers Offensive Rebound.,36,35
19:02,164,Rutgers  Turnover.,36,35
18:44,52,Terance Mann missed Jumper.,36,35
18:44,164,Corey Sanders Defensive Rebound.,36,35
18:38,164,Corey Sanders missed Jumper.,36,35
18:38,52,Ike Obiagu Block.,36,35
18:38,164,Rutgers Offensive Rebound.,36,35
18:32,164,Corey Sanders missed Three Point Jumper.,36,35
18:32,52,Terance Mann Defensive Rebound.,36,35
18:19,164,Foul on Deshawn Freeman.,36,35
18:19,52,Phil Cofer missed Free Throw.,36,35
18:19,52,Florida State Deadball Team Rebound.,36,35
18:19,52,Phil Cofer made Free Throw.,37,35
17:57,164,Geo Baker missed Three Point Jumper.,37,35
17:57,52,Florida State Defensive Rebound.,37,35
17:46,52,Braian Angola missed Three Point Jumper.,37,35
17:46,52,Ike Obiagu Offensive Rebound.,37,35
17:33,52,Phil Cofer made Layup.,39,35
17:08,164,Geo Baker made Layup.,39,37
16:50,52,Terance Mann made Jumper.,41,37
16:30,52,Foul on Terance Mann.,41,37
16:14,164,Corey Sanders missed Jumper.,41,37
16:14,52,Mfiondu Kabengele Defensive Rebound.,41,37
16:03,52,Mfiondu Kabengele missed Three Point Jumper.,41,37
16:03,164,Mike Williams Defensive Rebound.,41,37
16:00,52,Foul on M.J. Walker.,41,37
15:53,164,Official TV Timeout,41,37
15:53,52,Foul on CJ Walker.,41,37
15:38,164,Geo Baker missed Jumper.,41,37
15:38,52,Florida State Defensive Rebound.,41,37
15:20,52,Braian Angola missed Jumper.,41,37
15:20,52,Mfiondu Kabengele Offensive Rebound.,41,37
15:18,52,Jump Ball won by Florida State,41,37
15:18,52,Braian Angola missed Jumper.,41,37
15:18,164,Geo Baker Defensive Rebound.,41,37
15:10,164,Deshawn Freeman made Layup. Assisted by Corey Sanders.,41,39
14:42,52,Phil Cofer missed Layup.,41,39
14:42,164,Deshawn Freeman Defensive Rebound.,41,39
14:35,52,Foul on Mfiondu Kabengele.,41,39
14:35,164,Official TV Timeout,41,39
14:21,164,Eugene Omoruyi made Jumper.,41,41
14:21,52,Foul on Mfiondu Kabengele.,41,41
14:21,164,Eugene Omoruyi made Free Throw.,41,42
14:09,52,Braian Angola Turnover.,41,42
14:09,164,Deshawn Freeman Steal.,41,42
13:59,164,Deshawn Freeman missed Layup.,41,42
13:59,164,Deshawn Freeman Offensive Rebound.,41,42
13:59,164,Deshawn Freeman missed Two Point Tip Shot.,41,42
13:59,164,Deshawn Freeman Offensive Rebound.,41,42
13:59,164,Deshawn Freeman missed Layup.,41,42
13:59,164,Deshawn Freeman Offensive Rebound.,41,42
13:53,52,Foul on Ike Obiagu.,41,42
13:48,164,Geo Baker missed Three Point Jumper.,41,42
13:48,164,Deshawn Freeman Offensive Rebound.,41,42
13:48,52,Foul on Terance Mann.,41,42
13:48,164,Deshawn Freeman made Free Throw.,41,43
13:48,164,Deshawn Freeman made Free Throw.,41,44
13:36,164,Foul on Mike Williams.,41,44
13:36,52,CJ Walker missed Free Throw.,41,44
13:36,52,Florida State Deadball Team Rebound.,41,44
13:36,52,CJ Walker made Free Throw.,42,44
13:29,164,Corey Sanders Turnover.,42,44
13:29,52,M.J. Walker Steal.,42,44
13:22,52,Trent Forrest missed Layup.,42,44
13:22,164,Geo Baker Block.,42,44
13:22,164,Corey Sanders Defensive Rebound.,42,44
13:22,52,Foul on M.J. Walker.,42,44
13:22,164,Corey Sanders made Free Throw.,42,45
13:22,164,Corey Sanders missed Free Throw.,42,45
13:22,52,Ike Obiagu Defensive Rebound.,42,45
13:10,52,CJ Walker made Three Point Jumper.,45,45
13:05,164,Deshawn Freeman missed Layup.,45,45
13:05,52,Ike Obiagu Defensive Rebound.,45,45
12:56,52,CJ Walker made Three Point Jumper.,48,45
12:52,164,Corey Sanders Turnover.,48,45
12:52,52,Ike Obiagu Steal.,48,45
12:43,164,Foul on Geo Baker.,48,45
12:36,164,Foul on Souf Mensah.,48,45
12:36,52,CJ Walker made Free Throw.,49,45
12:36,52,CJ Walker made Free Throw.,50,45
12:36,52,CJ Walker made Free Throw.,51,45
12:33,164,Geo Baker Turnover.,51,45
12:33,52,Trent Forrest Steal.,51,45
12:28,52,Trent Forrest made Layup.,53,45
12:19,164,Rutgers  Timeout,53,45
12:19,164,Official TV Timeout,53,45
12:04,164,Eugene Omoruyi made Layup.,53,47
11:51,52,CJ Walker missed Jumper.,53,47
11:51,164,Eugene Omoruyi Defensive Rebound.,53,47
11:35,164,Mamadou Doucoure missed Jumper.,53,47
11:35,52,Braian Angola Defensive Rebound.,53,47
11:12,52,Trent Forrest made Layup.,55,47
10:47,164,Eugene Omoruyi made Layup.,55,49
10:47,52,Foul on Trent Forrest.,55,49
10:47,164,Eugene Omoruyi missed Free Throw.,55,49
10:47,52,Phil Cofer Defensive Rebound.,55,49
10:40,52,Braian Angola made Dunk.,57,49
10:21,164,Eugene Omoruyi made Layup.,57,51
10:01,52,Phil Cofer missed Layup.,57,51
10:01,52,Ike Obiagu Offensive Rebound.,57,51
9:50,52,CJ Walker missed Jumper.,57,51
9:50,164,Geo Baker Defensive Rebound.,57,51
9:44,164,Issa Thiam made Three Point Jumper. Assisted by Eugene Omoruyi.,57,54
9:26,52,Florida State  Timeout,57,54
9:16,164,Foul on Geo Baker.,57,54
9:16,52,Braian Angola missed Free Throw.,57,54
9:16,164,Deshawn Freeman Defensive Rebound.,57,54
8:58,164,Corey Sanders missed Layup.,57,54
8:58,52,Florida State Deadball Team Rebound.,57,54
8:34,52,Phil Cofer made Three Point Jumper. Assisted by Braian Angola.,60,54
8:10,164,Eugene Omoruyi missed Three Point Jumper.,60,54
8:10,52,Phil Cofer Defensive Rebound.,60,54
7:56,52,Trent Forrest made Layup. Assisted by CJ Walker.,62,54
7:36,164,Corey Sanders made Layup.,62,56
7:36,164,Official TV Timeout,62,56
7:18,52,Trent Forrest Turnover.,62,56
7:18,164,Eugene Omoruyi Steal.,62,56
7:12,164,Mike Williams missed Three Point Jumper.,62,56
7:12,52,Ike Obiagu Defensive Rebound.,62,56
6:45,52,Phil Cofer made Jumper.,64,56
6:20,164,Mike Williams missed Three Point Jumper.,64,56
6:20,164,Rutgers Offensive Rebound.,64,56
6:16,52,Foul on Ike Obiagu.,64,56
6:16,164,Shaquille Doorson missed Free Throw.,64,56
6:16,164,Rutgers Deadball Team Rebound.,64,56
6:16,164,Shaquille Doorson made Free Throw.,64,57
6:08,52,Mfiondu Kabengele missed Jumper.,64,57
6:08,52,Trent Forrest Offensive Rebound.,64,57
5:42,52,Foul on Braian Angola.,64,57
5:42,52,Braian Angola Turnover.,64,57
5:26,52,Foul on Phil Cofer.,64,57
5:26,164,Corey Sanders made Free Throw.,64,58
5:26,164,Corey Sanders made Free Throw.,64,59
5:02,52,Mfiondu Kabengele missed Layup.,64,59
5:02,52,Trent Forrest Offensive Rebound.,64,59
4:57,52,Trent Forrest missed Layup.,64,59
4:57,164,Shaquille Doorson Defensive Rebound.,64,59
4:46,164,Eugene Omoruyi made Layup.,64,61
4:21,52,CJ Walker made Layup.,66,61
4:21,164,Foul on Shaquille Doorson.,66,61
4:21,52,CJ Walker made Free Throw.,67,61
4:09,164,Geo Baker Turnover.,67,61
4:09,52,Trent Forrest Steal.,67,61
4:06,164,Foul on Geo Baker.,67,61
4:06,52,Trent Forrest missed Free Throw.,67,61
4:06,164,Eugene Omoruyi Defensive Rebound.,67,61
3:50,164,Eugene Omoruyi Turnover.,67,61
3:50,52,CJ Walker Steal.,67,61
3:43,52,Trent Forrest Turnover.,67,61
3:42,164,Rutgers  Timeout,67,61
3:42,164,Official TV Timeout,67,61
3:20,164,Deshawn Freeman missed Jumper.,67,61
3:20,164,Deshawn Freeman Offensive Rebound.,67,61
3:11,164,Jump Ball won by Rutgers,67,61
3:06,164,Corey Sanders made Layup.,67,63
3:06,52,Foul on CJ Walker.,67,63
3:06,164,Corey Sanders made Free Throw.,67,64
2:47,52,Trent Forrest missed Jumper.,67,64
2:47,52,Terance Mann Offensive Rebound.,67,64
2:42,52,Terance Mann missed Layup.,67,64
2:42,164,Eugene Omoruyi Defensive Rebound.,67,64
2:34,164,Deshawn Freeman missed Layup.,67,64
2:34,52,Ike Obiagu Block.,67,64
2:34,52,Trent Forrest Defensive Rebound.,67,64
2:11,52,CJ Walker made Layup.,69,64
1:56,164,Eugene Omoruyi made Layup.,69,66
1:22,52,CJ Walker made Layup.,71,66
1:22,164,Foul on Deshawn Freeman.,71,66
1:22,52,CJ Walker made Free Throw.,72,66
1:03,164,Corey Sanders missed Three Point Jumper.,72,66
1:03,164,Deshawn Freeman Offensive Rebound.,72,66
0:54,164,Deshawn Freeman missed Three Point Jumper.,72,66
0:54,164,Eugene Omoruyi Offensive Rebound.,72,66
0:49,164,Eugene Omoruyi made Layup.,72,68
0:36,164,Foul on Mike Williams.,72,68
0:36,52,Trent Forrest made Free Throw.,73,68
0:36,52,Trent Forrest made Free Throw.,74,68
0:32,164,Corey Sanders Turnover.,74,68
0:32,52,Ike Obiagu Steal.,74,68
0:24,52,CJ Walker made Layup. Assisted by Terance Mann.,76,68
0:19,164,Corey Sanders made Three Point Jumper.,76,71
0:15,164,Foul on Corey Sanders.,76,71
0:15,52,CJ Walker made Free Throw.,77,71
0:15,52,CJ Walker made Free Throw.,78,71
0:11,164,Eugene Omoruyi made Layup. Assisted by Corey Sanders.,78,73
0:07,164,Foul on Issa Thiam.,78,73
0:07,52,Trent Forrest missed Free Throw.,78,73
0:07,52,Florida State Deadball Team Rebound.,78,73
0:07,52,Trent Forrest missed Free Throw.,78,73
0:07,164,Mike Williams Defensive Rebound.,78,73
0:04,164,Corey Sanders missed Three Point Jumper.,78,73
0:04,52,Terance Mann Defensive Rebound.,78,73
0:00,164,End of Game,78,73
