UC Santa Barbara,2539,San Francisco,2540
6:42,2539,Remu Raitanen made Free Throw.,62,64
6:29,2540,Marcus Jackson made Three Point Jumper. Assisted by Gabe Vincent.,65,64
5:59,2539,Foul on Souley Boum.,65,64
5:59,2539,Souley Boum Turnover.,65,64
5:53,2540,Jalen Canty missed Layup.,65,64
5:53,2539,Remu Raitanen Defensive Rebound.,65,64
5:42,2539,Frankie Ferrari Turnover.,65,64
5:16,2540,Leland King II made Jumper.,67,64
5:06,2539,Remu Raitanen missed Three Point Jumper.,67,64
5:06,2540,Jalen Canty Defensive Rebound.,67,64
4:42,2540,Leland King II made Jumper.,69,64
4:38,2539,San Francisco  Timeout,69,64
4:26,2539,Frankie Ferrari missed Three Point Jumper.,69,64
4:26,2539,Jordan Ratinho Offensive Rebound.,69,64
4:13,2539,Matt McCarthy missed Three Point Jumper.,69,64
4:13,2540,Leland King II Defensive Rebound.,69,64
3:51,2540,Gabe Vincent missed Three Point Jumper.,69,64
3:51,2539,Matt McCarthy Defensive Rebound.,69,64
3:49,2540,Foul on Jalen Canty.,69,64
3:49,2539,Official TV Timeout,69,64
3:49,2539,Matt McCarthy missed Free Throw.,69,64
3:49,2539,San Francisco Deadball Team Rebound.,69,64
3:49,2539,Matt McCarthy missed Free Throw.,69,64
3:49,2540,Gabe Vincent Defensive Rebound.,69,64
3:33,2540,Max Heidegger made Layup.,71,64
3:33,2539,Foul on Jordan Ratinho.,71,64
3:33,2540,Max Heidegger made Free Throw.,72,64
3:11,2540,Foul on Marcus Jackson.,72,64
3:11,2539,Souley Boum made Free Throw.,72,65
3:11,2539,Souley Boum made Free Throw.,72,66
3:03,2540,Gabe Vincent Turnover.,72,66
3:02,2539,Jamaree Bouyea Steal.,72,66
3:00,2539,Souley Boum missed Jumper.,72,66
3:00,2539,Nate Renfro Offensive Rebound.,72,66
2:56,2539,Nate Renfro missed Two Point Tip Shot.,72,66
2:56,2540,Jalen Canty Defensive Rebound.,72,66
2:38,2540,Max Heidegger missed Three Point Jumper.,72,66
2:38,2539,Chase Foster Defensive Rebound.,72,66
2:19,2539,Jordan Ratinho Turnover.,72,66
2:02,2540,UC Santa Barbara  Timeout,72,66
1:34,2540,Leland King II missed Three Point Jumper.,72,66
1:34,2539,Souley Boum Defensive Rebound.,72,66
1:27,2540,Foul on Max Heidegger.,72,66
1:27,2539,Souley Boum missed Free Throw.,72,66
1:27,2539,San Francisco Deadball Team Rebound.,72,66
1:27,2539,Souley Boum missed Free Throw.,72,66
1:27,2540,Leland King II Defensive Rebound.,72,66
1:09,2540,Max Heidegger missed Jumper.,72,66
1:09,2539,Matt McCarthy Defensive Rebound.,72,66
1:01,2539,Chase Foster missed Three Point Jumper.,72,66
1:01,2539,Chase Foster Offensive Rebound.,72,66
