Loyola (MD),159,Dartmouth,2352
7:10,159,Brendan Barry missed Three Point Jumper.,18,9
7:10,2352,Brent Holcombe Defensive Rebound.,18,9
6:59,2352,Nevell Provo missed Three Point Jumper.,18,9
6:59,159,Will Emery Defensive Rebound.,18,9
6:45,159,Taylor Johnson made Jumper.,18,11
6:27,2352,Cam Gregory made Layup.,20,11
6:11,159,Brendan Barry made Jumper.,20,13
5:46,2352,Isaiah Hart made Jumper.,22,13
5:27,159,Will Emery missed Jumper.,22,13
5:27,2352,Cam Gregory Block.,22,13
5:25,2352,Brent Holcombe Defensive Rebound.,22,13
5:03,2352,Nevell Provo missed Three Point Jumper.,22,13
5:03,2352,Cam Gregory Offensive Rebound.,22,13
4:42,2352,Foul on Ian Langendoerfer.,22,13
4:41,159,Ian Sistare made Jumper.,22,15
4:23,2352,Foul on Chuck Champion.,22,15
4:23,159,Ian Sistare missed Free Throw.,22,15
4:23,2352,Chuck Champion Defensive Rebound.,22,15
4:17,2352,Chuck Champion made Layup.,24,15
4:17,159,Foul on Taylor Johnson.,24,15
4:17,2352,Chuck Champion missed Free Throw.,24,15
4:17,159,Adrease Jackson Defensive Rebound.,24,15
4:08,159,Foul on Adrease Jackson.,24,15
4:08,159,Adrease Jackson Turnover.,24,15
3:57,2352,Cam Gregory made Layup.,26,15
3:34,159,Taylor Johnson missed Jumper.,26,15
3:34,2352,Cam Gregory Defensive Rebound.,26,15
3:23,2352,Ian Langendoerfer missed Three Point Jumper.,26,15
3:23,159,Miles Wright Defensive Rebound.,26,15
3:14,159,Isaac Letoa missed Layup.,26,15
3:14,159,Miles Wright Offensive Rebound.,26,15
3:10,2352,Foul on Isaiah Hart.,26,15
3:10,159,Official TV Timeout,26,15
3:10,159,Miles Wright missed Free Throw.,26,15
3:10,159,Dartmouth Deadball Team Rebound.,26,15
3:09,159,Miles Wright missed Free Throw.,26,15
3:09,2352,Cam Gregory Defensive Rebound.,26,15
2:43,2352,Chuck Champion missed Three Point Jumper.,26,15
2:43,2352,Cam Gregory Offensive Rebound.,26,15
2:40,2352,Cam Gregory made Layup.,28,15
2:27,159,Brendan Barry made Three Point Jumper.,28,18
2:02,2352,Loyola (MD)  Timeout,28,18
1:56,2352,Chuck Champion made Layup.,30,18
1:56,159,Foul on Miles Wright.,30,18
1:56,2352,Chuck Champion made Free Throw.,31,18
1:44,159,Miles Wright made Three Point Jumper. Assisted by Brendan Barry.,31,21
1:16,2352,Chuck Champion Turnover.,31,21
1:03,159,Aaryn Rai made Jumper. Assisted by Brendan Barry.,31,23
0:43,2352,Cam Gregory Turnover.,31,23
0:34,159,Miles Wright made Three Point Jumper. Assisted by Brendan Barry.,31,26
0:01,2352,Cam Gregory missed Layup.,31,26
0:01,159,Ian Sistare Block.,31,26
0:00,2352,Cam Gregory Offensive Rebound.,31,26
0:00,2352,Cam Gregory made Jumper.,33,26
0:00,159,End of 1st half,31,26
19:50,2352,Cam Gregory Turnover.,33,26
19:36,159,Brendan Barry missed Three Point Jumper.,33,26
19:36,2352,James Fives Defensive Rebound.,33,26
19:22,2352,Brent Holcombe missed Three Point Jumper.,33,26
19:22,159,Taylor Johnson Defensive Rebound.,33,26
19:14,159,Miles Wright made Three Point Jumper. Assisted by Taylor Johnson.,33,29
18:55,2352,Cam Gregory missed Layup.,33,29
18:55,159,Will Emery Defensive Rebound.,33,29
18:47,159,Brendan Barry made Jumper.,33,31
18:37,2352,Loyola (MD)  Timeout,33,31
18:30,2352,Chuck Champion Turnover.,33,31
18:28,159,Miles Wright Steal.,33,31
18:27,159,Miles Wright made Layup.,33,33
18:01,2352,Isaiah Hart Turnover.,33,33
17:51,159,Miles Wright missed Three Point Jumper.,33,33
17:51,2352,Cam Gregory Defensive Rebound.,33,33
17:42,159,Foul on Miles Wright.,33,33
17:41,2352,KaVaughn Scott made Dunk. Assisted by Isaiah Hart.,35,33
17:29,159,Miles Wright missed Three Point Jumper.,35,33
17:29,2352,Chuck Champion Defensive Rebound.,35,33
17:18,2352,Cam Gregory missed Layup.,35,33
17:18,2352,Cam Gregory Offensive Rebound.,35,33
17:16,2352,Cam Gregory missed Jumper.,35,33
17:16,2352,Cam Gregory Offensive Rebound.,35,33
17:14,2352,Cam Gregory missed Jumper.,35,33
17:14,2352,Luke Johnson Offensive Rebound.,35,33
17:12,159,Foul on Aaryn Rai.,35,33
17:07,2352,Cam Gregory missed Layup.,35,33
17:07,159,Will Emery Block.,35,33
17:05,159,Brendan Barry Defensive Rebound.,35,33
16:55,159,Miles Wright Turnover.,35,33
16:54,2352,Chuck Champion Steal.,35,33
16:49,2352,Luke Johnson made Layup. Assisted by Isaiah Hart.,37,33
16:35,159,Aaryn Rai missed Three Point Jumper.,37,33
16:35,2352,Isaiah Hart Defensive Rebound.,37,33
16:21,2352,Cam Gregory missed Jumper.,37,33
16:21,159,Will Emery Block.,37,33
16:20,2352,Cam Gregory Offensive Rebound.,37,33
16:19,2352,Cam Gregory made Jumper.,39,33
15:47,159,Aaryn Rai missed Jumper.,39,33
15:47,159,Chris Knight Offensive Rebound.,39,33
15:44,159,Chris Knight made Jumper.,39,35
15:19,2352,Luke Johnson missed Jumper.,39,35
15:19,159,Taylor Johnson Defensive Rebound.,39,35
15:10,159,Taylor Johnson made Layup.,39,37
15:10,2352,Foul on Ian Langendoerfer.,39,37
15:10,159,Official TV Timeout,39,37
15:10,159,Taylor Johnson made Free Throw.,39,38
14:58,159,Foul on Miles Wright.,39,38
14:58,2352,Chuck Champion made Jumper.,41,38
14:58,2352,Chuck Champion made Free Throw.,42,38
14:39,159,Chris Knight Turnover.,42,38
14:32,2352,KaVaughn Scott made Layup.,44,38
14:14,159,Aaryn Rai made Three Point Jumper. Assisted by Taylor Johnson.,44,41
13:50,2352,Luke Johnson missed Layup.,44,41
13:50,159,Chris Knight Defensive Rebound.,44,41
13:38,159,Chris Knight made Jumper. Assisted by Taylor Johnson.,44,43
13:11,2352,Cam Gregory Turnover.,44,43
12:51,159,Chris Knight made Jumper.,44,45
12:24,2352,Chuck Champion made Jumper.,46,45
12:04,159,Aaryn Rai Turnover.,46,45
12:03,2352,Cam Gregory Steal.,46,45
11:54,2352,Chuck Champion Turnover.,46,45
11:53,159,Chris Knight Steal.,46,45
11:50,159,Chris Knight made Layup. Assisted by Aaryn Rai.,46,47
11:22,159,Foul on Will Emery.,46,47
11:22,159,Official TV Timeout,46,47
11:13,2352,Chuck Champion missed Three Point Jumper.,46,47
11:13,159,Taylor Johnson Defensive Rebound.,46,47
10:52,159,Taylor Johnson missed Jumper.,46,47
10:52,159,Will Emery Offensive Rebound.,46,47
10:47,159,Taylor Johnson missed Three Point Jumper.,46,47
10:47,2352,KaVaughn Scott Defensive Rebound.,46,47
10:20,2352,Isaiah Hart made Jumper.,48,47
10:02,2352,Foul on KaVaughn Scott.,48,47
10:02,159,Chris Knight made Free Throw.,48,48
10:02,159,Chris Knight missed Free Throw.,48,48
10:02,2352,KaVaughn Scott Defensive Rebound.,48,48
9:40,2352,Isaiah Hart missed Jumper.,48,48
9:40,159,Chris Knight Defensive Rebound.,48,48
9:29,159,Miles Wright missed Three Point Jumper.,48,48
9:29,2352,Chuck Champion Defensive Rebound.,48,48
9:13,2352,Cam Gregory missed Jumper.,48,48
9:13,2352,Cam Gregory Offensive Rebound.,48,48
9:10,2352,Cam Gregory made Jumper.,50,48
8:37,159,Isaac Letoa missed Three Point Jumper.,50,48
8:37,2352,Isaiah Hart Defensive Rebound.,50,48
8:05,2352,Isaiah Hart missed Jumper.,50,48
8:05,159,Miles Wright Defensive Rebound.,50,48
7:55,159,Official TV Timeout,50,48
7:55,159,Official TV Timeout,50,48
7:45,159,Will Emery made Layup. Assisted by Taylor Johnson.,50,50
7:27,2352,Foul on KaVaughn Scott.,50,50
7:27,2352,KaVaughn Scott Turnover.,50,50
7:16,2352,Foul on KaVaughn Scott.,50,50
7:04,2352,Foul on Isaiah Hart.,50,50
7:04,159,Will Emery made Free Throw.,50,51
7:04,159,Will Emery made Free Throw.,50,52
6:52,2352,Isaiah Hart Turnover.,50,52
6:51,159,Taylor Johnson Steal.,50,52
6:48,159,Miles Wright missed Layup.,50,52
6:48,159,Aaryn Rai Offensive Rebound.,50,52
6:45,159,Aaryn Rai missed Jumper.,50,52
6:45,2352,Isaiah Hart Defensive Rebound.,50,52
6:41,159,Foul on Aaryn Rai.,50,52
6:28,2352,James Fives made Three Point Jumper. Assisted by Chuck Champion.,53,52
6:20,2352,Foul on Chuck Champion.,53,52
6:16,159,Foul on Aaryn Rai.,53,52
6:16,159,Aaryn Rai Turnover.,53,52
5:56,2352,Cam Gregory made Jumper.,55,52
5:46,159,Brendan Barry missed Three Point Jumper.,55,52
5:46,2352,James Fives Defensive Rebound.,55,52
5:17,2352,Chuck Champion missed Jumper.,55,52
5:17,159,Taylor Johnson Defensive Rebound.,55,52
5:09,159,Taylor Johnson made Jumper.,55,54
5:09,2352,Foul on James Fives.,55,54
5:09,159,Taylor Johnson made Free Throw.,55,55
5:09,159,Dartmouth  Timeout,55,55
4:45,2352,Isaiah Hart missed Three Point Jumper.,55,55
4:45,159,Chris Knight Defensive Rebound.,55,55
4:14,159,Brendan Barry made Three Point Jumper.,55,58
3:51,2352,Chuck Champion made Jumper.,57,58
3:27,159,Aaryn Rai missed Three Point Jumper.,57,58
3:27,2352,Chuck Champion Defensive Rebound.,57,58
3:07,2352,Chuck Champion made Jumper.,59,58
3:04,159,Official TV Timeout,59,58
2:45,159,Chris Knight made Jumper. Assisted by Taylor Johnson.,59,60
2:25,2352,KaVaughn Scott missed Jumper.,59,60
2:25,159,Miles Wright Block.,59,60
2:24,159,Aaryn Rai Defensive Rebound.,59,60
1:59,159,Brendan Barry made Layup.,59,62
1:37,2352,Chuck Champion made Jumper.,61,62
1:07,159,Taylor Johnson missed Three Point Jumper.,61,62
1:07,2352,Loyola (MD) Defensive Rebound.,61,62
0:52,2352,James Fives missed Three Point Jumper.,61,62
0:52,2352,Cam Gregory Offensive Rebound.,61,62
0:49,159,Foul on Brendan Barry.,61,62
0:49,2352,Cam Gregory made Free Throw.,62,62
0:49,2352,Cam Gregory made Free Throw.,63,62
0:42,159,Dartmouth  Timeout,63,62
0:24,159,Brendan Barry missed Three Point Jumper.,63,62
0:24,2352,Loyola (MD) Defensive Rebound.,63,62
0:20,2352,Loyola (MD)  Timeout,63,62
0:19,159,Foul on Ian Sistare.,63,62
0:19,2352,Chuck Champion missed Free Throw.,63,62
0:19,159,Chris Knight Defensive Rebound.,63,62
0:02,159,Brendan Barry made Layup.,63,64
0:00,159,End of Game,63,64
