Fisk,Error,Tennessee State,2634
19:17,2634,Foul on Armani Chaney.,23,27
19:10,-1,El Paso Pitts Turnover.,23,27
19:01,2634,Darreon Reddick missed Jumper.,23,27
19:01,2634,Christian Mekowulu Offensive Rebound.,23,27
18:57,2634,Christian Mekowulu made Layup.,23,29
18:47,-1,El Paso Pitts missed Jumper.,23,29
18:47,2634,Christian Mekowulu Block.,23,29
18:45,2634,Christian Mekowulu Defensive Rebound.,23,29
18:45,-1,Foul on El Paso Pitts.,23,29
18:19,2634,Delano Spencer missed Three Point Jumper.,23,29
18:19,-1,El Paso Pitts Defensive Rebound.,23,29
18:08,-1,Joshua Madison missed Three Point Jumper.,23,29
18:08,2634,Armani Chaney Defensive Rebound.,23,29
17:57,2634,A.C. Reid Turnover.,23,29
17:55,-1,Tyran Davis Steal.,23,29
17:54,-1,Tyran Davis missed Layup.,23,29
17:54,2634,Christian Mekowulu Defensive Rebound.,23,29
17:44,2634,A.C. Reid made Three Point Jumper. Assisted by Darreon Reddick.,23,32
17:18,-1,Ryainni Scott missed Jumper.,23,32
17:18,2634,Armani Chaney Defensive Rebound.,23,32
17:09,2634,Armani Chaney Turnover.,23,32
17:07,-1,Victor Alston Steal.,23,32
17:05,-1,Joshua Madison Turnover.,23,32
17:04,2634,Armani Chaney Steal.,23,32
17:03,2634,Darreon Reddick missed Three Point Jumper.,23,32
17:03,-1,Joshua Madison Defensive Rebound.,23,32
16:45,-1,Ryainni Scott missed Jumper.,23,32
16:45,2634,Christian Mekowulu Defensive Rebound.,23,32
16:27,2634,A.C. Reid missed Three Point Jumper.,23,32
16:27,2634,Christian Mekowulu Offensive Rebound.,23,32
16:14,2634,Delano Spencer missed Three Point Jumper.,23,32
16:14,2634,Christian Mekowulu Offensive Rebound.,23,32
16:10,-1,Foul on Joshua Madison.,23,32
16:10,2634,Christian Mekowulu made Free Throw.,23,33
16:10,2634,Christian Mekowulu missed Free Throw.,23,33
16:10,2634,Delano Spencer Offensive Rebound.,23,33
15:55,2634,Kamar McKnight missed Three Point Jumper.,23,33
15:55,-1,Craig Jeudy Defensive Rebound.,23,33
15:54,2634,Foul on Christian Mekowulu.,23,33
15:54,2634,Official TV Timeout,23,33
15:44,-1,Addison Miller made Jumper. Assisted by Victor Alston.,25,33
15:21,2634,Kamar McKnight made Jumper.,25,35
15:12,-1,Addison Miller missed Three Point Jumper.,25,35
15:12,2634,Tripp Davis Defensive Rebound.,25,35
14:57,-1,Foul on Ryainni Scott.,25,35
14:57,2634,Delano Spencer made Free Throw.,25,36
14:57,2634,Delano Spencer made Free Throw.,25,37
14:33,-1,Foul on Victor Alston.,25,37
14:33,-1,Victor Alston Turnover.,25,37
14:24,2634,Delano Spencer missed Layup.,25,37
14:24,2634,Tripp Davis Offensive Rebound.,25,37
14:19,2634,Tripp Davis missed Layup.,25,37
14:19,-1,Addison Miller Defensive Rebound.,25,37
14:16,-1,Addison Miller Turnover.,25,37
14:08,-1,Foul on Howard Smothers.,25,37
14:08,2634,Kamar McKnight made Free Throw.,25,38
14:08,2634,Kamar McKnight made Free Throw.,25,39
13:55,-1,Addison Miller missed Jumper.,25,39
13:55,-1,Howard Smothers Offensive Rebound.,25,39
13:52,-1,Addison Miller missed Jumper.,25,39
13:52,-1,Craig Jeudy Offensive Rebound.,25,39
13:29,-1,Craig Jeudy missed Layup.,25,39
13:29,2634,Tennessee State Defensive Rebound.,25,39
13:09,-1,Foul on Howard Smothers.,25,39
12:56,-1,Foul on Craig Jeudy.,25,39
12:56,2634,Tripp Davis made Free Throw.,25,40
12:56,2634,Tripp Davis made Free Throw.,25,41
12:32,-1,Tyran Davis missed Three Point Jumper.,25,41
12:32,-1,Montreal Nabors Offensive Rebound.,25,41
12:27,-1,Montreal Nabors missed Layup.,25,41
12:27,-1,Montreal Nabors Offensive Rebound.,25,41
12:26,-1,Fisk  Turnover.,25,41
12:13,2634,A.C. Reid missed Three Point Jumper.,25,41
12:13,-1,Howard Smothers Defensive Rebound.,25,41
11:45,2634,Foul on Jalen Duke.,25,41
11:45,2634,Official TV Timeout,25,41
11:42,-1,Ryainni Scott made Jumper.,27,41
11:20,2634,Foul on Kamar McKnight.,27,41
11:20,2634,Kamar McKnight Turnover.,27,41
11:09,-1,Ryainni Scott made Three Point Jumper. Assisted by Addison Miller.,30,41
10:51,2634,Hampus Ahlin made Three Point Jumper. Assisted by Kamar McKnight.,30,44
10:39,-1,Addison Miller made Three Point Jumper. Assisted by Tyran Davis.,33,44
10:21,-1,Foul on Ryainni Scott.,33,44
10:21,2634,Kamar McKnight missed Free Throw.,33,44
10:21,-1,Montreal Nabors Defensive Rebound.,33,44
10:12,-1,Addison Miller made Three Point Jumper. Assisted by Tyran Davis.,36,44
9:35,2634,Kamar McKnight missed Three Point Jumper.,36,44
9:35,-1,El Paso Pitts Defensive Rebound.,36,44
9:20,2634,Foul on Samson Oyediran.,36,44
9:12,-1,Addison Miller made Three Point Jumper. Assisted by Craig Jeudy.,39,44
8:51,-1,Foul on Tyran Davis.,39,44
8:51,2634,Ken'Darrius Hamilton made Free Throw.,39,45
8:51,2634,Ken'Darrius Hamilton made Free Throw.,39,46
8:51,2634,Tennessee State  Timeout,39,46
8:51,2634,Official TV Timeout,39,46
8:30,-1,Montreal Nabors made Jumper. Assisted by El Paso Pitts.,41,46
8:18,2634,Foul on Ken'Darrius Hamilton.,41,46
8:18,2634,Ken'Darrius Hamilton Turnover.,41,46
8:05,-1,Craig Jeudy made Three Point Jumper. Assisted by El Paso Pitts.,44,46
7:40,2634,Delano Spencer made Layup.,44,48
7:22,-1,Addison Miller missed Three Point Jumper.,44,48
7:22,-1,Tyran Davis Offensive Rebound.,44,48
7:15,-1,Tyran Davis Turnover.,44,48
7:14,2634,Armani Chaney Steal.,44,48
7:01,2634,Daniel Cummings missed Three Point Jumper.,44,48
7:01,2634,Armani Chaney Offensive Rebound.,44,48
6:49,2634,Christian Mekowulu made Dunk. Assisted by Darreon Reddick.,44,50
6:32,-1,El Paso Pitts made Three Point Jumper. Assisted by Tyran Davis.,47,50
6:10,2634,Delano Spencer missed Three Point Jumper.,47,50
6:10,2634,Christian Mekowulu Offensive Rebound.,47,50
6:08,-1,Foul on Addison Miller.,47,50
6:08,2634,Official TV Timeout,47,50
6:08,2634,Christian Mekowulu made Free Throw.,47,51
6:08,2634,Christian Mekowulu made Free Throw.,47,52
5:50,-1,Montreal Nabors missed Layup.,47,52
5:50,2634,Darreon Reddick Block.,47,52
5:49,2634,Armani Chaney Defensive Rebound.,47,52
5:21,-1,Foul on Addison Miller.,47,52
5:21,2634,Darreon Reddick missed Free Throw.,47,52
5:21,2634,Tennessee State Deadball Team Rebound.,47,52
5:21,2634,Darreon Reddick missed Free Throw.,47,52
5:21,-1,El Paso Pitts Defensive Rebound.,47,52
4:58,-1,Victor Alston missed Layup.,47,52
4:58,2634,Christian Mekowulu Block.,47,52
4:56,2634,Darreon Reddick Defensive Rebound.,47,52
4:50,2634,Armani Chaney missed Three Point Jumper.,47,52
4:50,-1,Craig Jeudy Defensive Rebound.,47,52
4:39,-1,Victor Alston missed Layup.,47,52
4:39,2634,Christian Mekowulu Defensive Rebound.,47,52
4:33,-1,Foul on Victor Alston.,47,52
4:33,2634,Armani Chaney made Free Throw.,47,53
4:33,2634,Armani Chaney made Free Throw.,47,54
4:18,-1,El Paso Pitts missed Jumper.,47,54
4:18,2634,Christian Mekowulu Defensive Rebound.,47,54
4:03,2634,Kamar McKnight made Jumper.,47,56
3:46,-1,Joshua Madison made Layup.,49,56
3:22,2634,Kamar McKnight made Three Point Jumper. Assisted by Armani Chaney.,49,59
3:08,-1,Joshua Madison missed Layup.,49,59
3:08,2634,Christian Mekowulu Block.,49,59
3:05,2634,Armani Chaney Defensive Rebound.,49,59
3:01,2634,Delano Spencer missed Layup.,49,59
3:01,-1,El Paso Pitts Defensive Rebound.,49,59
2:44,-1,Ryainni Scott missed Three Point Jumper.,49,59
2:44,2634,Armani Chaney Defensive Rebound.,49,59
2:30,2634,Delano Spencer made Three Point Jumper. Assisted by Kamar McKnight.,49,62
2:27,-1,Fisk  Timeout,49,62
2:27,2634,Official TV Timeout,49,62
2:05,2634,Foul on Daniel Cummings.,49,62
2:05,-1,El Paso Pitts made Free Throw.,50,62
2:05,-1,El Paso Pitts missed Free Throw.,50,62
2:05,2634,Daniel Cummings Defensive Rebound.,50,62
2:05,-1,Foul on Ryainni Scott.,50,62
2:05,2634,Daniel Cummings made Free Throw.,50,63
2:05,2634,Daniel Cummings made Free Throw.,50,64
1:50,2634,Foul on Kamar McKnight.,50,64
1:50,-1,Craig Jeudy missed Free Throw.,50,64
1:50,-1,Fisk Deadball Team Rebound.,50,64
1:50,-1,Craig Jeudy made Free Throw.,51,64
1:26,2634,Christian Mekowulu made Layup. Assisted by Delano Spencer.,51,66
1:26,-1,Foul on El Paso Pitts.,51,66
1:26,2634,Christian Mekowulu made Free Throw.,51,67
1:09,-1,El Paso Pitts missed Three Point Jumper.,51,67
1:09,2634,Armani Chaney Defensive Rebound.,51,67
0:46,2634,Delano Spencer missed Three Point Jumper.,51,67
0:46,-1,Craig Jeudy Defensive Rebound.,51,67
0:34,-1,Craig Jeudy made Layup.,53,67
0:02,2634,Armani Chaney missed Three Point Jumper.,53,67
0:02,-1,Addison Miller Defensive Rebound.,53,67
0:00,2634,End of Game,53,67
