Utah State,2674,Valparaiso,328
13:43,2674,Derrik Smits missed Jumper.,12,13
13:43,328,Klay Stall Defensive Rebound.,12,13
13:30,328,Diogo Brito made Three Point Jumper. Assisted by Sam Merrill.,15,13
13:13,2674,Markus Golder missed Dunk.,15,13
13:13,328,Klay Stall Block.,15,13
13:12,328,Diogo Brito Defensive Rebound.,15,13
12:44,328,Sam Merrill missed Three Point Jumper.,15,13
12:44,2674,Valparaiso Defensive Rebound.,15,13
12:25,2674,Micah Bradford Turnover.,15,13
12:24,328,Diogo Brito Steal.,15,13
12:22,328,Diogo Brito missed Layup.,15,13
12:22,328,DeAngelo Isby Offensive Rebound.,15,13
12:20,2674,Foul on Max Joseph.,15,13
12:20,328,DeAngelo Isby made Free Throw.,16,13
12:20,328,DeAngelo Isby made Free Throw.,17,13
12:02,2674,Bakari Evelyn made Jumper.,17,15
11:41,328,Daron Henson missed Three Point Jumper.,17,15
11:41,2674,Tevonn Walker Defensive Rebound.,17,15
11:35,2674,Bakari Evelyn missed Three Point Jumper.,17,15
11:35,328,Sam Merrill Defensive Rebound.,17,15
11:26,328,DeAngelo Isby missed Jumper.,17,15
11:26,2674,Mileek McMillan Defensive Rebound.,17,15
11:15,328,Foul on Diogo Brito.,17,15
11:15,2674,Official TV Timeout,17,15
11:15,2674,Max Joseph made Free Throw.,17,16
11:15,2674,Max Joseph made Free Throw.,17,17
11:02,328,Sam Merrill missed Layup.,17,17
11:02,2674,Max Joseph Defensive Rebound.,17,17
10:56,328,Foul on Crew Ainge.,17,17
10:56,2674,Bakari Evelyn made Free Throw.,17,18
10:56,2674,Bakari Evelyn missed Free Throw.,17,18
10:56,328,DeAngelo Isby Defensive Rebound.,17,18
10:35,328,Klay Stall Turnover.,17,18
10:35,2674,Tevonn Walker Steal.,17,18
10:33,328,Foul on Klay Stall.,17,18
10:33,2674,Tevonn Walker made Free Throw.,17,19
10:33,2674,Tevonn Walker made Free Throw.,17,20
10:15,328,DeAngelo Isby missed Three Point Jumper.,17,20
10:15,2674,Bakari Evelyn Defensive Rebound.,17,20
10:01,2674,Bakari Evelyn Turnover.,17,20
9:44,328,Alex Dargenton missed Jumper.,17,20
9:44,2674,Max Joseph Defensive Rebound.,17,20
9:29,2674,John Kiser missed Jumper.,17,20
9:29,328,Daron Henson Defensive Rebound.,17,20
9:10,328,DeAngelo Isby missed Jumper.,17,20
9:10,2674,Marten Linssen Defensive Rebound.,17,20
8:59,2674,Tevonn Walker missed Layup.,17,20
8:59,328,Crew Ainge Defensive Rebound.,17,20
8:54,328,Crew Ainge Turnover.,17,20
8:54,2674,Marten Linssen Steal.,17,20
8:53,2674,Marten Linssen made Layup.,17,22
8:33,328,Sam Merrill made Three Point Jumper. Assisted by Crew Ainge.,20,22
8:07,2674,Max Joseph Turnover.,20,22
8:07,328,Sam Merrill Steal.,20,22
7:54,328,Daron Henson made Three Point Jumper. Assisted by Sam Merrill.,23,22
7:20,2674,John Kiser missed Layup.,23,22
7:20,2674,Marten Linssen Offensive Rebound.,23,22
7:18,328,Foul on Sam Merrill.,23,22
7:18,2674,Official TV Timeout,23,22
7:18,2674,Marten Linssen missed Free Throw.,23,22
7:18,2674,Valparaiso Deadball Team Rebound.,23,22
7:18,2674,Marten Linssen made Free Throw.,23,23
7:06,328,DeAngelo Isby Turnover.,23,23
7:06,2674,Max Joseph Steal.,23,23
7:01,2674,John Kiser made Layup. Assisted by Max Joseph.,23,25
6:41,2674,Foul on Bakari Evelyn.,23,25
6:36,328,Daron Henson missed Three Point Jumper.,23,25
6:36,2674,Max Joseph Defensive Rebound.,23,25
6:16,2674,John Kiser Turnover.,23,25
6:16,328,Alex Dargenton Steal.,23,25
6:11,328,DeAngelo Isby missed Three Point Jumper.,23,25
6:11,328,Daron Henson Offensive Rebound.,23,25
6:08,328,Alex Dargenton made Layup. Assisted by Daron Henson.,25,25
5:39,2674,Tevonn Walker missed Jumper.,25,25
5:39,328,Daron Henson Defensive Rebound.,25,25
5:21,328,Daron Henson Turnover.,25,25
5:14,328,Foul on Diogo Brito.,25,25
5:14,2674,Micah Bradford missed Free Throw.,25,25
5:14,2674,Valparaiso Deadball Team Rebound.,25,25
5:14,2674,Micah Bradford made Free Throw.,25,26
5:02,328,Alex Dargenton Turnover.,25,26
5:01,2674,Jaume Sorolla Steal.,25,26
4:55,2674,Tevonn Walker made Layup.,25,28
4:55,328,Foul on Quinn Taylor.,25,28
4:55,2674,Tevonn Walker made Free Throw.,25,29
4:42,328,Foul on Dwayne Brown Jr..,25,29
4:42,328,Dwayne Brown Jr. Turnover.,25,29
4:26,2674,Jaume Sorolla made Jumper. Assisted by Micah Bradford.,25,31
4:13,328,Sam Merrill made Layup.,27,31
3:55,2674,Parker Hazen missed Layup.,27,31
3:55,2674,Jaume Sorolla Offensive Rebound.,27,31
3:51,2674,Official TV Timeout,27,31
3:32,2674,Markus Golder missed Three Point Jumper.,27,31
3:32,2674,Parker Hazen Offensive Rebound.,27,31
3:27,2674,Parker Hazen Turnover.,27,31
3:19,328,Quinn Taylor missed Layup.,27,31
3:19,2674,Derrik Smits Defensive Rebound.,27,31
2:53,2674,Derrik Smits missed Layup.,27,31
2:53,328,Utah State Defensive Rebound.,27,31
2:34,328,DeAngelo Isby missed Three Point Jumper.,27,31
2:34,328,Utah State Offensive Rebound.,27,31
2:30,2674,Foul on Parker Hazen.,27,31
2:30,2674,Foul on Markus Golder.,27,31
2:22,328,Quinn Taylor Turnover.,27,31
2:21,2674,Derrik Smits Steal.,27,31
2:16,2674,Micah Bradford missed Layup.,27,31
2:16,328,Quinn Taylor Block.,27,31
2:14,2674,Markus Golder Offensive Rebound.,27,31
2:13,2674,Markus Golder made Layup.,27,33
2:13,328,Foul on Diogo Brito.,27,33
2:13,2674,Markus Golder made Free Throw.,27,34
1:50,328,Sam Merrill made Jumper.,29,34
1:33,2674,Markus Golder missed Three Point Jumper.,29,34
1:33,328,Klay Stall Defensive Rebound.,29,34
1:02,328,Sam Merrill missed Three Point Jumper.,29,34
1:02,2674,Parker Hazen Defensive Rebound.,29,34
0:55,2674,Valparaiso  Timeout,29,34
0:46,2674,Joe Burton missed Three Point Jumper.,29,34
0:46,328,Klay Stall Defensive Rebound.,29,34
0:37,2674,Foul on Micah Bradford.,29,34
0:37,328,Abel Porter made Free Throw.,30,34
0:37,328,Abel Porter made Free Throw.,31,34
0:29,2674,Micah Bradford Turnover.,31,34
0:29,328,Crew Ainge Steal.,31,34
0:29,2674,Foul on Micah Bradford.,31,34
0:29,328,Crew Ainge missed Free Throw.,31,34
0:29,2674,Derrik Smits Defensive Rebound.,31,34
0:03,2674,Max Joseph missed Jumper.,31,34
0:03,2674,Tevonn Walker Offensive Rebound.,31,34
0:00,2674,Tevonn Walker missed Three Point Jumper.,31,34
0:00,2674,Valparaiso Deadball Team Rebound.,31,34
0:00,2674,End of 1st half,31,34
19:33,328,Alex Dargenton made Layup.,33,34
19:19,2674,Tevonn Walker made Jumper. Assisted by Parker Hazen.,33,36
18:59,328,Alex Dargenton missed Jumper.,33,36
18:59,2674,Jaume Sorolla Block.,33,36
18:58,328,Alex Dargenton Offensive Rebound.,33,36
18:55,2674,Foul on Parker Hazen.,33,36
18:50,328,Alex Dargenton missed Jumper.,33,36
18:50,2674,Jaume Sorolla Block.,33,36
18:49,328,Dwayne Brown Jr. Offensive Rebound.,33,36
18:48,328,Dwayne Brown Jr. missed Layup.,33,36
18:48,2674,Jaume Sorolla Defensive Rebound.,33,36
18:41,2674,Tevonn Walker missed Three Point Jumper.,33,36
18:41,328,Diogo Brito Defensive Rebound.,33,36
18:30,328,Diogo Brito missed Three Point Jumper.,33,36
18:30,2674,Tevonn Walker Defensive Rebound.,33,36
18:19,2674,Joe Burton Turnover.,33,36
18:05,328,DeAngelo Isby missed Three Point Jumper.,33,36
18:05,2674,Valparaiso Defensive Rebound.,33,36
17:48,2674,Jaume Sorolla made Layup. Assisted by Bakari Evelyn.,33,38
17:36,2674,Foul on Joe Burton.,33,38
17:32,328,DeAngelo Isby missed Three Point Jumper.,33,38
17:32,328,Alex Dargenton Offensive Rebound.,33,38
17:27,328,DeAngelo Isby Turnover.,33,38
17:20,2674,Bakari Evelyn missed Jumper.,33,38
17:20,2674,Jaume Sorolla Offensive Rebound.,33,38
17:17,2674,Jaume Sorolla made Two Point Tip Shot.,33,40
17:07,2674,Foul on Bakari Evelyn.,33,40
17:02,328,Klay Stall made Layup. Assisted by Diogo Brito.,35,40
16:37,2674,Max Joseph made Layup. Assisted by Markus Golder.,35,42
16:37,328,Foul on Diogo Brito.,35,42
16:37,2674,Max Joseph missed Free Throw.,35,42
16:37,328,Dwayne Brown Jr. Defensive Rebound.,35,42
16:24,328,Dwayne Brown Jr. missed Three Point Jumper.,35,42
16:24,328,DeAngelo Isby Offensive Rebound.,35,42
16:17,2674,Foul on Jaume Sorolla.,35,42
16:17,328,Dwayne Brown Jr. made Free Throw.,36,42
16:17,328,Dwayne Brown Jr. missed Free Throw.,36,42
16:17,2674,Max Joseph Defensive Rebound.,36,42
15:57,2674,Markus Golder missed Jumper.,36,42
15:57,328,DeAngelo Isby Defensive Rebound.,36,42
15:47,2674,Foul on Markus Golder.,36,42
15:47,2674,Official TV Timeout,36,42
15:47,328,Klay Stall missed Free Throw.,36,42
15:47,328,Utah State Deadball Team Rebound.,36,42
15:47,328,Klay Stall made Free Throw.,37,42
15:40,2674,Tevonn Walker made Layup. Assisted by Markus Golder.,37,44
15:31,328,Klay Stall missed Layup.,37,44
15:31,328,Klay Stall Offensive Rebound.,37,44
15:28,2674,Foul on Mileek McMillan.,37,44
15:28,328,Klay Stall made Free Throw.,38,44
15:28,328,Klay Stall missed Free Throw.,38,44
15:28,2674,Mileek McMillan Defensive Rebound.,38,44
15:02,2674,Max Joseph made Layup.,38,46
14:42,328,DeAngelo Isby made Three Point Jumper. Assisted by Dwayne Brown Jr..,41,46
14:23,2674,Tevonn Walker missed Jumper.,41,46
14:23,328,Sam Merrill Defensive Rebound.,41,46
14:15,328,DeAngelo Isby missed Three Point Jumper.,41,46
14:15,2674,Tevonn Walker Defensive Rebound.,41,46
14:03,2674,Max Joseph missed Three Point Jumper.,41,46
14:03,328,Utah State Defensive Rebound.,41,46
13:52,328,Sam Merrill missed Three Point Jumper.,41,46
13:52,328,DeAngelo Isby Offensive Rebound.,41,46
13:44,328,Abel Porter missed Three Point Jumper.,41,46
13:44,2674,Max Joseph Defensive Rebound.,41,46
13:29,2674,Tevonn Walker missed Jumper.,41,46
13:29,2674,Tevonn Walker Offensive Rebound.,41,46
13:28,2674,Tevonn Walker made Jumper.,41,48
13:08,328,DeAngelo Isby missed Three Point Jumper.,41,48
13:08,2674,Tevonn Walker Defensive Rebound.,41,48
12:55,328,Foul on Alex Dargenton.,41,48
12:47,2674,Foul on Mileek McMillan.,41,48
12:47,2674,Mileek McMillan Turnover.,41,48
12:31,328,Sam Merrill missed Three Point Jumper.,41,48
12:31,328,Utah State Offensive Rebound.,41,48
12:25,2674,Foul on Derrik Smits.,41,48
12:25,328,Alex Dargenton made Free Throw.,42,48
12:25,328,Alex Dargenton missed Free Throw.,42,48
12:25,328,Utah State Offensive Rebound.,42,48
12:13,328,Alex Dargenton made Layup.,44,48
12:13,2674,Foul on Derrik Smits.,44,48
12:13,328,Alex Dargenton missed Free Throw.,44,48
12:13,2674,Joe Burton Defensive Rebound.,44,48
11:49,2674,Bakari Evelyn missed Layup.,44,48
11:49,328,Daron Henson Block.,44,48
11:48,2674,John Kiser Offensive Rebound.,44,48
11:46,328,Foul on Daron Henson.,44,48
11:46,2674,Official TV Timeout,44,48
11:34,2674,Joe Burton missed Jumper.,44,48
11:34,2674,Jaume Sorolla Offensive Rebound.,44,48
11:30,2674,Jaume Sorolla made Jumper.,44,50
11:13,328,Daron Henson made Three Point Jumper. Assisted by Abel Porter.,47,50
10:50,2674,Max Joseph missed Layup.,47,50
10:50,328,Alex Dargenton Block.,47,50
10:49,2674,John Kiser Offensive Rebound.,47,50
10:38,2674,Bakari Evelyn made Jumper.,47,52
10:20,328,Alex Dargenton missed Jumper.,47,52
10:20,328,Alex Dargenton Offensive Rebound.,47,52
10:17,328,Sam Merrill missed Three Point Jumper.,47,52
10:17,2674,Jaume Sorolla Defensive Rebound.,47,52
10:02,2674,Bakari Evelyn Turnover.,47,52
9:46,2674,Foul on Jaume Sorolla.,47,52
9:46,328,Sam Merrill made Free Throw.,48,52
9:46,328,Sam Merrill made Free Throw.,49,52
9:24,2674,Tevonn Walker made Jumper. Assisted by Bakari Evelyn.,49,54
9:00,328,DeAngelo Isby missed Jumper.,49,54
9:00,2674,Bakari Evelyn Defensive Rebound.,49,54
8:49,2674,Bakari Evelyn Turnover.,49,54
8:48,328,Crew Ainge Steal.,49,54
8:43,328,Sam Merrill missed Layup.,49,54
8:43,2674,John Kiser Defensive Rebound.,49,54
8:26,2674,Tevonn Walker made Three Point Jumper.,49,57
8:16,328,Utah State  Timeout,49,57
8:16,328,Utah State  Timeout,49,57
8:07,328,Dwayne Brown Jr. made Jumper.,51,57
7:36,2674,Markus Golder made Layup.,51,59
7:36,328,Foul on Alex Dargenton.,51,59
7:36,2674,Official TV Timeout,51,59
7:36,2674,Markus Golder missed Free Throw.,51,59
7:36,328,Klay Stall Defensive Rebound.,51,59
7:20,328,Dwayne Brown Jr. missed Jumper.,51,59
7:20,328,Dwayne Brown Jr. Offensive Rebound.,51,59
7:16,328,Diogo Brito missed Three Point Jumper.,51,59
7:16,2674,Tevonn Walker Defensive Rebound.,51,59
6:55,2674,Markus Golder missed Three Point Jumper.,51,59
6:55,328,Dwayne Brown Jr. Defensive Rebound.,51,59
6:42,2674,Foul on Markus Golder.,51,59
6:42,2674,Foul on Markus Golder.,51,59
6:42,2674,Technical Foul on Markus Golder.,51,59
6:42,328,Sam Merrill made Free Throw.,52,59
6:42,328,Sam Merrill made Free Throw.,53,59
6:42,328,Klay Stall made Free Throw.,54,59
6:42,328,Klay Stall missed Free Throw.,54,59
6:42,2674,Jaume Sorolla Defensive Rebound.,54,59
6:17,328,Foul on Crew Ainge.,54,59
6:10,2674,Max Joseph missed Layup.,54,59
6:10,2674,Valparaiso Offensive Rebound.,54,59
6:02,2674,Jaume Sorolla missed Jumper.,54,59
6:02,328,Utah State Defensive Rebound.,54,59
5:46,328,Sam Merrill missed Three Point Jumper.,54,59
5:46,2674,Valparaiso Defensive Rebound.,54,59
5:27,2674,Foul on John Kiser.,54,59
5:27,2674,John Kiser Turnover.,54,59
5:12,328,DeAngelo Isby Turnover.,54,59
5:12,2674,John Kiser Steal.,54,59
4:56,2674,Tevonn Walker made Layup.,54,61
4:42,328,Sam Merrill made Layup.,56,61
4:28,2674,Bakari Evelyn made Layup.,56,63
4:14,328,Alex Dargenton Turnover.,56,63
3:55,2674,John Kiser Turnover.,56,63
3:55,328,Crew Ainge Steal.,56,63
3:55,2674,Official TV Timeout,56,63
3:31,328,DeAngelo Isby missed Three Point Jumper.,56,63
3:31,2674,Tevonn Walker Defensive Rebound.,56,63
3:05,328,Foul on DeAngelo Isby.,56,63
3:03,2674,Tevonn Walker missed Three Point Jumper.,56,63
3:03,2674,John Kiser Offensive Rebound.,56,63
2:44,328,Foul on DeAngelo Isby.,56,63
2:44,2674,Jaume Sorolla made Free Throw.,56,64
2:44,2674,Jaume Sorolla made Free Throw.,56,65
2:35,328,DeAngelo Isby missed Three Point Jumper.,56,65
2:35,2674,Tevonn Walker Defensive Rebound.,56,65
2:09,2674,Markus Golder missed Layup.,56,65
2:09,328,DeAngelo Isby Defensive Rebound.,56,65
1:58,328,DeAngelo Isby missed Layup.,56,65
1:58,2674,Valparaiso Defensive Rebound.,56,65
1:30,2674,Bakari Evelyn missed Jumper.,56,65
1:30,328,Dwayne Brown Jr. Defensive Rebound.,56,65
1:22,328,Sam Merrill made Three Point Jumper. Assisted by Diogo Brito.,59,65
1:20,328,Utah State  Timeout,59,65
1:19,328,Foul on Alex Dargenton.,59,65
1:19,2674,Jaume Sorolla missed Free Throw.,59,65
1:19,2674,Parker Hazen Offensive Rebound.,59,65
1:15,328,Foul on Quinn Taylor.,59,65
1:15,2674,Jaume Sorolla made Free Throw.,59,66
1:15,2674,Jaume Sorolla made Free Throw.,59,67
1:01,328,Quinn Taylor missed Jumper.,59,67
1:01,328,Utah State Offensive Rebound.,59,67
0:42,328,Daron Henson made Three Point Jumper. Assisted by Sam Merrill.,62,67
0:34,328,Foul on Crew Ainge.,62,67
0:34,2674,Bakari Evelyn made Free Throw.,62,68
0:34,2674,Bakari Evelyn made Free Throw.,62,69
0:27,2674,Foul on Max Joseph.,62,69
0:27,328,Daron Henson missed Free Throw.,62,69
0:27,328,Utah State Deadball Team Rebound.,62,69
0:27,328,Daron Henson made Free Throw.,63,69
0:27,328,Daron Henson missed Free Throw.,63,69
0:27,2674,Valparaiso Defensive Rebound.,63,69
0:26,328,Foul on DeAngelo Isby.,63,69
0:26,2674,Jaume Sorolla made Free Throw.,63,70
0:26,2674,Jaume Sorolla made Free Throw.,63,71
0:19,328,Crew Ainge missed Three Point Jumper.,63,71
0:19,328,DeAngelo Isby Offensive Rebound.,63,71
0:15,328,DeAngelo Isby made Layup.,65,71
0:15,328,Utah State  Timeout,65,71
0:13,328,Foul on Sam Merrill.,65,71
0:13,2674,Bakari Evelyn made Free Throw.,65,72
0:13,2674,Bakari Evelyn missed Free Throw.,65,72
0:13,328,Daron Henson Defensive Rebound.,65,72
0:06,328,Sam Merrill missed Three Point Jumper.,65,72
0:06,2674,Max Joseph Defensive Rebound.,65,72
0:00,2674,End of Game,65,72
