Lamar,324,Coastal Carolina,2320
19:32,324,Zac Cuthbertson Offensive Rebound.,29,25
19:24,324,Zac Cuthbertson missed Jumper.,29,25
19:24,2320,Lamar Defensive Rebound.,29,25
19:00,2320,Nick Garth Turnover.,29,25
18:59,324,Zac Cuthbertson Steal.,29,25
18:57,324,Matt Lindsey Turnover.,29,25
18:34,2320,Nick Garth missed Jumper.,29,25
18:34,324,Josh Coleman Defensive Rebound.,29,25
18:33,2320,Foul on Josh Nzeakor.,29,25
18:08,324,Jaylen Shaw missed Three Point Jumper.,29,25
18:08,324,Josh Coleman Offensive Rebound.,29,25
18:07,2320,Foul on Colton Weisbrod.,29,25
18:01,324,Jaylen Shaw made Layup. Assisted by Zac Cuthbertson.,29,27
18:01,2320,Foul on Josh Nzeakor.,29,27
18:01,324,Jaylen Shaw made Free Throw.,29,28
17:39,2320,Zjori Bosha made Three Point Jumper. Assisted by Joey Frenchwood.,32,28
17:20,324,Demario Beck Turnover.,32,28
17:19,2320,Zjori Bosha Steal.,32,28
17:16,2320,Zjori Bosha missed Layup.,32,28
17:16,324,Demario Beck Defensive Rebound.,32,28
17:07,324,Zac Cuthbertson made Layup. Assisted by Jaylen Shaw.,32,30
16:43,2320,Avery Sullivan missed Layup.,32,30
16:43,324,Zac Cuthbertson Block.,32,30
16:40,324,Matt Lindsey Defensive Rebound.,32,30
16:36,324,Zac Cuthbertson missed Three Point Jumper.,32,30
16:36,2320,Avery Sullivan Defensive Rebound.,32,30
16:04,2320,Colton Weisbrod missed Jumper.,32,30
16:04,324,Zac Cuthbertson Block.,32,30
16:03,324,Demario Beck Defensive Rebound.,32,30
15:58,324,Jaylen Shaw Turnover.,32,30
15:58,324,Official TV Timeout,32,30
15:42,2320,Joey Frenchwood made Jumper.,34,30
15:28,324,Artur Labinowicz missed Three Point Jumper.,34,30
15:28,324,Zac Cuthbertson Offensive Rebound.,34,30
15:13,324,Jaylen Shaw made Layup. Assisted by Matt Lindsey.,34,32
14:57,2320,Colton Weisbrod made Three Point Jumper. Assisted by Joey Frenchwood.,37,32
14:36,324,Artur Labinowicz made Dunk.,37,34
14:19,2320,Zjori Bosha made Layup. Assisted by Joey Frenchwood.,39,34
14:19,324,Foul on Demario Beck.,39,34
14:19,2320,Zjori Bosha missed Free Throw.,39,34
14:19,324,Artur Labinowicz Defensive Rebound.,39,34
14:02,324,Jaylen Shaw Turnover.,39,34
13:48,2320,T.J. Atwood Turnover.,39,34
13:31,324,Demario Beck Turnover.,39,34
13:00,2320,Zjori Bosha made Three Point Jumper.,42,34
12:41,324,Artur Labinowicz missed Layup.,42,34
12:41,324,Demario Beck Offensive Rebound.,42,34
12:37,324,Demario Beck made Dunk.,42,36
12:23,2320,T.J. Atwood missed Jumper.,42,36
12:23,324,Coastal Carolina Defensive Rebound.,42,36
12:08,324,Artur Labinowicz missed Three Point Jumper.,42,36
12:08,2320,Josh Nzeakor Defensive Rebound.,42,36
11:59,2320,Josh Nzeakor missed Jumper.,42,36
11:59,324,Artur Labinowicz Defensive Rebound.,42,36
11:49,324,Trevion Brown missed Three Point Jumper.,42,36
11:49,324,Josh Coleman Offensive Rebound.,42,36
11:48,2320,Foul on Josh Nzeakor.,42,36
11:48,324,Official TV Timeout,42,36
11:40,324,Matt Lindsey Turnover.,42,36
11:39,2320,T.J. Atwood Steal.,42,36
11:35,2320,Josh Nzeakor missed Jumper.,42,36
11:35,324,Matt Lindsey Defensive Rebound.,42,36
11:26,324,Matt Lindsey Turnover.,42,36
11:26,2320,Torey Noel Steal.,42,36
11:26,2320,Lamar  Timeout,42,36
11:26,324,Official TV Timeout,42,36
11:17,2320,Zjori Bosha missed Layup.,42,36
11:17,324,Coastal Carolina Defensive Rebound.,42,36
11:01,324,Zac Cuthbertson Turnover.,42,36
10:44,2320,Colton Weisbrod missed Jumper.,42,36
10:44,324,Zac Cuthbertson Defensive Rebound.,42,36
10:31,324,Artur Labinowicz missed Layup.,42,36
10:31,324,Zac Cuthbertson Offensive Rebound.,42,36
10:26,324,Zac Cuthbertson Turnover.,42,36
10:25,2320,Colton Weisbrod Steal.,42,36
10:10,2320,Zjori Bosha missed Three Point Jumper.,42,36
10:10,324,Zac Cuthbertson Defensive Rebound.,42,36
9:54,324,Trevion Brown missed Layup.,42,36
9:54,2320,Colton Weisbrod Defensive Rebound.,42,36
9:39,2320,Colton Weisbrod missed Three Point Jumper.,42,36
9:39,324,Ajay Sanders Defensive Rebound.,42,36
9:20,324,Artur Labinowicz made Three Point Jumper. Assisted by Ajay Sanders.,42,39
8:53,324,Foul on Trevion Brown.,42,39
8:44,2320,Colton Weisbrod made Layup.,44,39
8:44,324,Foul on Josh Coleman.,44,39
8:44,2320,Colton Weisbrod made Free Throw.,45,39
8:26,324,Zac Cuthbertson missed Jumper.,45,39
8:26,2320,T.J. Atwood Block.,45,39
8:24,2320,Nick Garth Defensive Rebound.,45,39
8:08,324,Foul on Zac Cuthbertson.,45,39
8:06,2320,Zjori Bosha made Jumper. Assisted by Nick Garth.,47,39
7:44,2320,Foul on Colton Weisbrod.,47,39
7:44,324,Official TV Timeout,47,39
7:44,324,Zac Cuthbertson made Free Throw.,47,40
7:44,324,Zac Cuthbertson made Free Throw.,47,41
7:24,2320,T.J. Atwood made Jumper.,49,41
6:56,324,Ajay Sanders missed Three Point Jumper.,49,41
6:56,324,Zac Cuthbertson Offensive Rebound.,49,41
6:50,2320,Foul on Zjori Bosha.,49,41
6:50,324,Zac Cuthbertson made Free Throw.,49,42
6:50,324,Zac Cuthbertson made Free Throw.,49,43
6:46,2320,Lamar  Timeout,49,43
6:27,324,Foul on Zac Cuthbertson.,49,43
6:27,2320,Zjori Bosha missed Free Throw.,49,43
6:27,2320,Lamar Deadball Team Rebound.,49,43
6:27,2320,Zjori Bosha made Free Throw.,50,43
6:15,324,Artur Labinowicz missed Three Point Jumper.,50,43
6:15,2320,Josh Nzeakor Defensive Rebound.,50,43
6:02,2320,Colton Weisbrod Turnover.,50,43
6:01,324,Jaylen Shaw Steal.,50,43
5:56,324,Jaylen Shaw missed Layup.,50,43
5:56,2320,Zjori Bosha Defensive Rebound.,50,43
5:54,324,Foul on Zac Cuthbertson.,50,43
5:36,2320,Colton Weisbrod Turnover.,50,43
5:21,2320,Foul on Colton Weisbrod.,50,43
5:21,324,Zac Cuthbertson made Free Throw.,50,44
5:21,324,Zac Cuthbertson made Free Throw.,50,45
5:01,324,Foul on Ajay Sanders.,50,45
5:01,2320,Joey Frenchwood made Free Throw.,51,45
5:01,2320,Joey Frenchwood made Free Throw.,52,45
4:38,324,Artur Labinowicz missed Three Point Jumper.,52,45
4:38,2320,Lamar Defensive Rebound.,52,45
4:10,2320,Joey Frenchwood made Three Point Jumper.,55,45
3:46,324,Matt Lindsey missed Three Point Jumper.,55,45
3:46,324,Coastal Carolina Offensive Rebound.,55,45
3:46,324,Official TV Timeout,55,45
3:40,324,Zac Cuthbertson missed Layup.,55,45
3:40,2320,Josh Nzeakor Defensive Rebound.,55,45
3:14,2320,Nick Garth missed Jumper.,55,45
3:14,2320,Joey Frenchwood Offensive Rebound.,55,45
2:54,324,Foul on Josh Coleman.,55,45
2:54,2320,Josh Nzeakor missed Free Throw.,55,45
2:54,2320,Lamar Deadball Team Rebound.,55,45
2:54,2320,Josh Nzeakor made Free Throw.,56,45
2:41,324,Jaylen Shaw made Jumper.,56,47
2:11,2320,Josh Nzeakor missed Layup.,56,47
2:11,324,Jaylen Shaw Defensive Rebound.,56,47
2:05,324,Ajay Sanders missed Three Point Jumper.,56,47
2:05,324,Coastal Carolina Offensive Rebound.,56,47
1:52,324,Demario Beck made Layup. Assisted by Jaylen Shaw.,56,49
1:20,2320,Nick Garth missed Three Point Jumper.,56,49
1:20,324,Artur Labinowicz Defensive Rebound.,56,49
1:18,2320,Foul on Colton Weisbrod.,56,49
1:18,324,Artur Labinowicz made Free Throw.,56,50
1:18,324,Artur Labinowicz made Free Throw.,56,51
1:06,2320,Nick Garth Turnover.,56,51
0:52,324,Jaylen Shaw made Jumper.,56,53
0:39,2320,Zjori Bosha Turnover.,56,53
0:38,324,Zac Cuthbertson Steal.,56,53
0:34,324,Jaylen Shaw made Three Point Jumper. Assisted by Artur Labinowicz.,56,56
0:34,324,Coastal Carolina  Timeout,56,56
0:06,2320,Joey Frenchwood missed Jumper.,56,56
0:06,324,Coastal Carolina Defensive Rebound.,56,56
0:02,324,Official TV Timeout,56,56
0:02,324,Ajay Sanders Turnover.,56,56
0:02,324,Coastal Carolina  Timeout,56,56
0:01,2320,Joey Frenchwood missed Three Point Jumper.,56,56
0:01,324,Coastal Carolina Deadball Team Rebound.,56,56
0:00,324,End of 2nd half,56,56
4:42,2320,Foul on Zjori Bosha.,56,56
4:42,324,Artur Labinowicz made Free Throw.,56,57
4:42,324,Artur Labinowicz made Free Throw.,56,58
4:19,2320,Josh Nzeakor made Layup.,58,58
4:01,324,Artur Labinowicz Turnover.,58,58
3:46,2320,Josh Nzeakor Turnover.,58,58
3:29,324,Josh Coleman missed Layup.,58,58
3:29,324,Artur Labinowicz Offensive Rebound.,58,58
3:25,2320,Foul on Colton Weisbrod.,58,58
3:25,324,Artur Labinowicz made Free Throw.,58,59
3:25,324,Artur Labinowicz made Free Throw.,58,60
2:53,2320,Zjori Bosha missed Three Point Jumper.,58,60
2:53,324,Josh Coleman Defensive Rebound.,58,60
2:33,324,Zac Cuthbertson missed Three Point Jumper.,58,60
2:33,324,Zac Cuthbertson Offensive Rebound.,58,60
2:13,324,Jaylen Shaw Turnover.,58,60
2:13,2320,Zjori Bosha Steal.,58,60
1:58,2320,T.J. Atwood made Jumper.,60,60
1:58,324,Foul on Zac Cuthbertson.,60,60
1:58,2320,T.J. Atwood made Free Throw.,61,60
1:34,324,Artur Labinowicz missed Layup.,61,60
1:34,2320,T.J. Atwood Defensive Rebound.,61,60
1:12,2320,Josh Nzeakor made Jumper. Assisted by Joey Frenchwood.,63,60
0:57,324,Jaylen Shaw missed Three Point Jumper.,63,60
0:57,324,Zac Cuthbertson Offensive Rebound.,63,60
0:53,324,Zac Cuthbertson made Layup.,63,62
0:25,2320,Joey Frenchwood made Three Point Jumper.,66,62
0:21,324,Zac Cuthbertson made Layup. Assisted by Jaylen Shaw.,66,64
0:21,324,Coastal Carolina  Timeout,66,64
0:21,324,Official TV Timeout,66,64
0:15,324,Foul on Ajay Sanders.,66,64
0:15,2320,Nick Garth made Free Throw.,67,64
0:15,2320,Nick Garth made Free Throw.,68,64
0:10,324,Artur Labinowicz made Three Point Jumper. Assisted by Jaylen Shaw.,68,67
0:07,324,Foul on Jaylen Shaw.,68,67
0:07,2320,Zjori Bosha missed Free Throw.,68,67
0:07,2320,Lamar Deadball Team Rebound.,68,67
0:07,2320,Zjori Bosha made Free Throw.,69,67
0:03,324,Zac Cuthbertson missed Three Point Jumper.,69,67
0:03,2320,Nick Garth Defensive Rebound.,69,67
0:00,324,End of Game,69,67
