Air Force,2172,Denver,2005
11:11,2005,Dane Norman Defensive Rebound.,5,21
11:02,2172,Foul on Jake Pemberton.,5,21
10:47,2005,Dane Norman Turnover.,5,21
10:36,2172,Joe Rosga made Three Point Jumper. Assisted by Ade Murkey.,5,24
10:20,2005,Pervis Louder Turnover.,5,24
10:20,2005,Foul on Pervis Louder.,5,24
9:58,2172,Jake Pemberton made Three Point Jumper. Assisted by Joe Rosga.,5,27
9:42,2005,Pervis Louder made Three Point Jumper. Assisted by Keaton Van Soelen.,8,27
9:30,2172,Joe Rosga Turnover.,8,27
9:20,2172,Foul on Ade Murkey.,8,27
9:15,2005,CJ Siples Turnover.,8,27
9:03,2005,Foul on Dane Norman.,8,27
9:00,2172,Jake Pemberton missed Jumper.,8,27
9:00,2172,Christian Mackey Offensive Rebound.,8,27
8:49,2172,Abiola Akintola missed Layup.,8,27
8:49,2005,Dane Norman Defensive Rebound.,8,27
8:41,2005,Ryan Swan made Three Point Jumper. Assisted by Frank Toohey.,11,27
8:22,2172,Christian Mackey missed Layup.,11,27
8:22,2005,Ryan Swan Defensive Rebound.,11,27
8:03,2005,Ryan Swan missed Jumper.,11,27
8:03,2172,Abiola Akintola Defensive Rebound.,11,27
7:56,2172,Jake Pemberton missed Three Point Jumper.,11,27
7:56,2005,CJ Siples Defensive Rebound.,11,27
7:50,2172,Foul on Joe Rosga.,11,27
7:50,2172,Official TV Timeout,11,27
7:50,2005,Pervis Louder made Free Throw.,12,27
7:50,2005,Pervis Louder made Free Throw.,13,27
7:24,2172,Ade Murkey made Jumper.,13,29
6:58,2005,Frank Toohey made Jumper.,15,29
6:38,2172,Abiola Akintola missed Layup.,15,29
6:38,2005,Trevor Lyons Defensive Rebound.,15,29
6:22,2005,Trevor Lyons missed Three Point Jumper.,15,29
6:22,2172,Christian Mackey Defensive Rebound.,15,29
6:20,2005,Foul on Frank Toohey.,15,29
6:07,2172,Daniel Amigo missed Layup.,15,29
6:07,2172,Daniel Amigo Offensive Rebound.,15,29
6:06,2172,Daniel Amigo Turnover.,15,29
6:06,2172,Foul on Daniel Amigo.,15,29
6:06,2005,Frank Toohey made Free Throw.,16,29
6:06,2005,Frank Toohey made Free Throw.,17,29
5:48,2172,Jake Holtzmann made Three Point Jumper. Assisted by Jake Pemberton.,17,32
5:32,2005,Ryan Manning made Jumper.,19,32
5:20,2172,Jake Holtzmann Turnover.,19,32
5:19,2005,Frank Toohey Steal.,19,32
5:11,2005,Ryan Manning made Three Point Jumper. Assisted by Trevor Lyons.,22,32
5:11,2172,Denver  Timeout,22,32
5:00,2005,Foul on Ryan Manning.,22,32
4:57,2172,Luke Neff missed Three Point Jumper.,22,32
4:57,2005,Lavelle Scottie Defensive Rebound.,22,32
4:47,2005,Frank Toohey missed Three Point Jumper.,22,32
4:47,2172,Jake Krafka Defensive Rebound.,22,32
4:31,2172,Daniel Amigo missed Three Point Jumper.,22,32
4:31,2005,Lavelle Scottie Defensive Rebound.,22,32
4:20,2005,Lavelle Scottie made Three Point Jumper. Assisted by Frank Toohey.,25,32
3:48,2005,Foul on Sid Tomes.,25,32
3:48,2172,Official TV Timeout,25,32
3:48,2172,Jake Krafka made Free Throw.,25,33
3:48,2172,Jake Krafka made Free Throw.,25,34
3:29,2172,Foul on Jake Pemberton.,25,34
3:29,2005,Ryan Manning made Free Throw.,26,34
3:29,2005,Ryan Manning made Free Throw.,27,34
3:09,2172,Daniel Amigo made Layup. Assisted by Jake Krafka.,27,36
2:51,2005,Frank Toohey Turnover.,27,36
2:47,2172,Ade Murkey Steal.,27,36
2:45,2172,Jake Holtzmann missed Three Point Jumper.,27,36
2:45,2005,Trevor Lyons Defensive Rebound.,27,36
2:31,2005,Jacob Van missed Three Point Jumper.,27,36
2:31,2005,Keaton Van Soelen Offensive Rebound.,27,36
2:16,2005,Frank Toohey missed Three Point Jumper.,27,36
2:16,2172,Ade Murkey Defensive Rebound.,27,36
1:55,2172,Daniel Amigo Turnover.,27,36
1:34,2005,Keaton Van Soelen Turnover.,27,36
1:23,2005,Foul on Ryan Swan.,27,36
1:23,2172,Daniel Amigo missed Free Throw.,27,36
1:23,2005,Ryan Swan Defensive Rebound.,27,36
1:12,2005,Lavelle Scottie missed Three Point Jumper.,27,36
1:12,2172,Ade Murkey Defensive Rebound.,27,36
0:52,2172,Daniel Amigo made Jumper.,27,38
0:33,2005,Keaton Van Soelen Turnover.,27,38
0:33,2005,Foul on Keaton Van Soelen.,27,38
0:12,2172,Ade Murkey Turnover.,27,38
0:00,2005,Ryan Manning missed Jumper.,27,38
0:00,2172,Luke Neff Defensive Rebound.,27,38
0:00,2172,End of 1st half,27,38
19:43,2005,Ryan Manning missed Jumper.,27,38
19:43,2172,Denver Defensive Rebound.,27,38
19:25,2172,Daniel Amigo made Layup. Assisted by Joe Rosga.,27,40
19:08,2172,Foul on Jake Holtzmann.,27,40
19:08,2005,Trevor Lyons made Free Throw.,28,40
19:08,2005,Trevor Lyons made Free Throw.,29,40
18:44,2172,Jake Pemberton missed Three Point Jumper.,29,40
18:44,2172,Daniel Amigo Offensive Rebound.,29,40
18:43,2005,Foul on Ryan Manning.,29,40
18:37,2172,Jake Holtzmann Turnover.,29,40
18:21,2005,Trevor Lyons missed Layup.,29,40
18:21,2172,Jake Krafka Block.,29,40
18:19,2172,Jake Holtzmann Defensive Rebound.,29,40
18:10,2172,Daniel Amigo Turnover.,29,40
18:00,2172,Foul on Jake Krafka.,29,40
17:52,2005,Sid Tomes missed Three Point Jumper.,29,40
17:52,2172,Daniel Amigo Defensive Rebound.,29,40
17:43,2172,Jake Pemberton Turnover.,29,40
17:42,2005,Sid Tomes Steal.,29,40
17:35,2172,Foul on Jake Pemberton.,29,40
17:32,2172,Foul on Jake Krafka.,29,40
17:17,2005,Sid Tomes missed Three Point Jumper.,29,40
17:17,2005,Ryan Manning Offensive Rebound.,29,40
17:06,2005,Lavelle Scottie Turnover.,29,40
16:36,2172,Daniel Amigo Turnover.,29,40
16:14,2172,Foul on Daniel Amigo.,29,40
16:12,2005,Frank Toohey missed Layup.,29,40
16:12,2172,Daniel Amigo Block.,29,40
16:12,2005,Air Force Offensive Rebound.,29,40
16:07,2005,Lavelle Scottie missed Jumper.,29,40
16:07,2005,Frank Toohey Offensive Rebound.,29,40
16:04,2005,Frank Toohey made Two Point Tip Shot.,31,40
15:55,2172,Joe Rosga Turnover.,31,40
15:55,2172,Foul on Joe Rosga.,31,40
15:55,2172,Official TV Timeout,31,40
15:42,2005,Trevor Lyons missed Three Point Jumper.,31,40
15:42,2172,Jake Pemberton Defensive Rebound.,31,40
15:21,2172,Jake Holtzmann missed Three Point Jumper.,31,40
15:21,2172,Daniel Amigo Offensive Rebound.,31,40
15:01,2172,Jake Krafka missed Three Point Jumper.,31,40
15:01,2005,Sid Tomes Defensive Rebound.,31,40
14:36,2005,Pervis Louder missed Three Point Jumper.,31,40
14:36,2172,Jake Krafka Defensive Rebound.,31,40
14:35,2005,Foul on Lavelle Scottie.,31,40
14:21,2005,Foul on Pervis Louder.,31,40
14:16,2172,Joe Rosga missed Three Point Jumper.,31,40
14:16,2005,Ryan Manning Defensive Rebound.,31,40
13:59,2005,Ryan Manning Turnover.,31,40
13:57,2172,Daniel Amigo Steal.,31,40
13:48,2172,Daniel Amigo made Layup. Assisted by Joe Rosga.,31,42
13:27,2005,Trevor Lyons made Layup.,33,42
13:27,2172,Foul on Joe Rosga.,33,42
13:27,2005,Trevor Lyons missed Free Throw.,33,42
13:27,2172,Jake Holtzmann Defensive Rebound.,33,42
13:13,2005,Foul on Ryan Swan.,33,42
13:07,2172,Luke Neff made Three Point Jumper. Assisted by Jake Pemberton.,33,45
12:34,2005,Ryan Manning missed Three Point Jumper.,33,45
12:34,2005,Ryan Swan Offensive Rebound.,33,45
12:29,2005,Ryan Swan missed Layup.,33,45
12:29,2172,Daniel Amigo Defensive Rebound.,33,45
12:15,2172,Daniel Amigo Turnover.,33,45
12:02,2172,Foul on Jake Pemberton.,33,45
12:02,2005,Ryan Manning missed Free Throw.,33,45
12:02,2005,Ryan Swan Offensive Rebound.,33,45
11:50,2005,Pervis Louder made Jumper. Assisted by Ryan Swan.,35,45
11:45,2172,Jake Krafka Turnover.,35,45
11:45,2172,Official TV Timeout,35,45
11:34,2005,Pervis Louder missed Three Point Jumper.,35,45
11:34,2005,Ryan Manning Offensive Rebound.,35,45
11:24,2005,Ryan Swan Turnover.,35,45
11:13,2172,Jake Krafka Turnover.,35,45
11:12,2005,Ryan Swan Steal.,35,45
11:04,2005,Dane Norman missed Three Point Jumper.,35,45
11:04,2172,Ade Murkey Defensive Rebound.,35,45
10:48,2172,Luke Neff made Three Point Jumper. Assisted by Jake Krafka.,35,48
10:28,2005,Pervis Louder made Layup.,37,48
10:19,2172,Jake Holtzmann Turnover.,37,48
10:19,2005,Ryan Manning Steal.,37,48
10:15,2005,Ryan Manning made Dunk. Assisted by Pervis Louder.,39,48
10:11,2172,Denver  Timeout,39,48
10:04,2005,Foul on Pervis Louder.,39,48
10:00,2005,Foul on Trevor Lyons.,39,48
9:38,2172,Denver  Turnover.,39,48
9:22,2005,Dane Norman made Jumper.,41,48
8:59,2172,Daniel Amigo missed Layup.,41,48
8:59,2005,Trevor Lyons Defensive Rebound.,41,48
8:52,2005,Trevor Lyons missed Layup.,41,48
8:52,2005,CJ Siples Offensive Rebound.,41,48
8:49,2005,CJ Siples made Two Point Tip Shot.,43,48
8:21,2172,Joe Rosga missed Three Point Jumper.,43,48
8:21,2005,Dane Norman Defensive Rebound.,43,48
8:05,2005,CJ Siples made Layup. Assisted by Dane Norman.,45,48
7:49,2172,Luke Neff made Three Point Jumper. Assisted by Abiola Akintola.,45,51
7:27,2172,Official TV Timeout,45,51
7:21,2005,Ryan Manning missed Three Point Jumper.,45,51
7:21,2172,Jake Pemberton Defensive Rebound.,45,51
7:09,2172,Joe Rosga missed Three Point Jumper.,45,51
7:09,2005,Lavelle Scottie Defensive Rebound.,45,51
7:07,2172,Foul on Abiola Akintola.,45,51
7:07,2005,Lavelle Scottie made Free Throw.,46,51
7:07,2005,Lavelle Scottie missed Free Throw.,46,51
7:07,2172,Jake Pemberton Defensive Rebound.,46,51
6:46,2172,Jake Holtzmann Turnover.,46,51
6:30,2005,Ryan Manning made Layup. Assisted by Trevor Lyons.,48,51
6:22,2172,Denver  Timeout,48,51
5:59,2172,Jake Pemberton missed Three Point Jumper.,48,51
5:59,2005,Trevor Lyons Defensive Rebound.,48,51
5:44,2005,Lavelle Scottie Turnover.,48,51
5:43,2172,Joe Rosga Steal.,48,51
5:43,2172,Denver  Timeout,48,51
5:20,2005,Foul on Lavelle Scottie.,48,51
5:20,2172,Jake Pemberton made Free Throw.,48,52
5:20,2172,Jake Pemberton made Free Throw.,48,53
5:04,2005,Frank Toohey missed Three Point Jumper.,48,53
5:04,2172,Jake Pemberton Defensive Rebound.,48,53
4:39,2172,Jake Holtzmann missed Three Point Jumper.,48,53
4:39,2005,Ryan Manning Defensive Rebound.,48,53
4:38,2172,Foul on Joe Rosga.,48,53
4:38,2005,Ryan Manning made Free Throw.,49,53
4:38,2005,Ryan Manning made Free Throw.,50,53
4:15,2172,Jake Holtzmann missed Three Point Jumper.,50,53
4:15,2172,Jake Pemberton Offensive Rebound.,50,53
4:11,2172,Jake Pemberton Turnover.,50,53
4:01,2005,Trevor Lyons missed Jumper.,50,53
4:01,2172,Daniel Amigo Defensive Rebound.,50,53
3:38,2005,Foul on Ryan Manning.,50,53
3:38,2172,Official TV Timeout,50,53
3:38,2172,Jake Holtzmann made Free Throw.,50,54
3:38,2172,Jake Holtzmann made Free Throw.,50,55
3:21,2172,Foul on Luke Neff.,50,55
3:21,2005,Trevor Lyons missed Free Throw.,50,55
3:21,2005,Air Force Deadball Team Rebound.,50,55
3:21,2005,Trevor Lyons made Free Throw.,51,55
2:52,2172,Daniel Amigo missed Jumper.,51,55
2:52,2005,Ryan Manning Defensive Rebound.,51,55
2:25,2005,Ryan Manning made Three Point Jumper. Assisted by Lavelle Scottie.,54,55
2:13,2172,Jake Holtzmann Turnover.,54,55
1:59,2005,Lavelle Scottie made Layup.,56,55
1:50,2172,Daniel Amigo missed Layup.,56,55
1:50,2005,Frank Toohey Defensive Rebound.,56,55
1:18,2005,Ryan Manning missed Three Point Jumper.,56,55
1:18,2172,Jake Krafka Defensive Rebound.,56,55
1:16,2005,Foul on Lavelle Scottie.,56,55
1:16,2172,Jake Krafka made Free Throw.,56,56
1:16,2172,Jake Krafka missed Free Throw.,56,56
1:16,2005,Frank Toohey Defensive Rebound.,56,56
1:10,2005,Air Force  Timeout,56,56
0:51,2005,Pervis Louder made Three Point Jumper. Assisted by Lavelle Scottie.,59,56
0:39,2005,Foul on Frank Toohey.,59,56
0:39,2172,Daniel Amigo missed Free Throw.,59,56
0:39,2172,Denver Offensive Rebound.,59,56
0:33,2172,Daniel Amigo made Free Throw.,59,57
0:19,2005,Ryan Manning missed Jumper.,59,57
0:19,2172,Luke Neff Defensive Rebound.,59,57
0:10,2005,Foul on Pervis Louder.,59,57
0:10,2172,Jake Holtzmann made Free Throw.,59,58
0:10,2005,Air Force  Timeout,59,58
0:10,2172,Jake Holtzmann made Free Throw.,59,59
0:04,2005,Pervis Louder made Dunk.,61,59
0:04,2172,Foul on Jake Holtzmann.,61,59
0:04,2005,Pervis Louder missed Free Throw.,61,59
0:04,2172,Daniel Amigo Defensive Rebound.,61,59
0:01,2172,Luke Neff Turnover.,61,59
0:00,2172,End of Game,61,59
