Jacksonville,2198,Eastern Kentucky,294
12:40,294,Foul on Damien Sears.,11,13
12:40,2198,DeAndre Dishman missed Free Throw.,11,13
12:40,2198,Eastern Kentucky Deadball Team Rebound.,11,13
12:40,2198,DeAndre Dishman made Free Throw.,11,14
12:31,294,JD Notae missed Layup.,11,14
12:31,2198,Nick Mayo Block.,11,14
12:31,294,Jacksonville Offensive Rebound.,11,14
12:25,2198,Foul on Dujuanta Weaver.,11,14
12:18,294,JD Notae made Layup. Assisted by Tanner Rubio.,13,14
12:00,2198,Nick Mayo made Layup.,13,16
11:59,294,Foul on Radwan Bakkali.,13,16
11:59,2198,Official TV Timeout,13,16
11:59,2198,Nick Mayo made Free Throw.,13,17
11:54,294,Tanner Rubio Turnover.,13,17
11:53,2198,Asante Gist Steal.,13,17
11:50,294,Foul on Jace Hogan.,13,17
11:50,2198,Nick Mayo made Free Throw.,13,18
11:50,2198,Nick Mayo made Free Throw.,13,19
11:42,294,JD Notae missed Jumper.,13,19
11:42,2198,Asante Gist Defensive Rebound.,13,19
11:35,2198,Asante Gist missed Jumper.,13,19
11:35,294,Devin Harris Defensive Rebound.,13,19
11:25,2198,Foul on Zach Charles.,13,19
11:25,294,Jace Hogan missed Free Throw.,13,19
11:25,294,Jacksonville Deadball Team Rebound.,13,19
11:25,294,Jace Hogan made Free Throw.,14,19
11:10,2198,Peyton Broughton Turnover.,14,19
10:54,294,JD Notae Turnover.,14,19
10:53,2198,JacQuess Hobbs Steal.,14,19
10:51,2198,JacQuess Hobbs missed Layup.,14,19
10:51,294,Cody Helgeland Defensive Rebound.,14,19
10:24,294,Cody Helgeland made Three Point Jumper. Assisted by Devin Harris.,17,19
9:59,2198,Nick Mayo Turnover.,17,19
9:58,294,Damien Sears Steal.,17,19
9:48,294,Cody Helgeland Turnover.,17,19
9:34,2198,Dedric Boyd missed Layup.,17,19
9:34,294,Jalyn Hinton Block.,17,19
9:31,2198,Eastern Kentucky Offensive Rebound.,17,19
9:24,2198,Nick Mayo Turnover.,17,19
9:22,294,JD Notae Steal.,17,19
9:20,294,JD Notae made Layup.,19,19
9:01,2198,Dedric Boyd made Three Point Jumper. Assisted by JacQuess Hobbs.,19,22
8:48,294,Devin Harris missed Layup.,19,22
8:48,2198,JacQuess Hobbs Defensive Rebound.,19,22
8:36,2198,Dillon Avare missed Three Point Jumper.,19,22
8:36,294,Devin Harris Defensive Rebound.,19,22
8:18,294,Jalyn Hinton made Layup.,21,22
8:18,2198,Foul on Zach Charles.,21,22
8:18,294,Jalyn Hinton missed Free Throw.,21,22
8:18,2198,Zach Charles Defensive Rebound.,21,22
7:58,2198,Dedric Boyd Turnover.,21,22
7:57,294,Jalyn Hinton Steal.,21,22
7:47,2198,Foul on Zach Charles.,21,22
7:47,2198,Official TV Timeout,21,22
7:38,294,Devin Harris missed Three Point Jumper.,21,22
7:38,2198,Dedric Boyd Defensive Rebound.,21,22
7:20,2198,Asante Gist missed Jumper.,21,22
7:20,294,Jalyn Hinton Block.,21,22
7:18,2198,Asante Gist Offensive Rebound.,21,22
7:10,2198,DeAndre Dishman missed Jumper.,21,22
7:10,294,JD Notae Defensive Rebound.,21,22
6:58,294,Cody Helgeland made Layup. Assisted by Devin Harris.,23,22
6:33,2198,Asante Gist Turnover.,23,22
6:32,294,Devin Harris Steal.,23,22
6:28,2198,Foul on Dedric Boyd.,23,22
6:28,294,Devin Harris missed Free Throw.,23,22
6:28,294,Jacksonville Deadball Team Rebound.,23,22
6:28,294,Devin Harris made Free Throw.,24,22
6:20,2198,Dedric Boyd Turnover.,24,22
6:07,294,JD Notae missed Layup.,24,22
6:07,2198,Nick Mayo Block.,24,22
6:06,2198,Nick Mayo Defensive Rebound.,24,22
5:46,2198,Nick Mayo missed Jumper.,24,22
5:46,294,Devin Harris Defensive Rebound.,24,22
5:38,294,Devin Harris Turnover.,24,22
5:10,2198,Asante Gist missed Jumper.,24,22
5:10,294,Devin Harris Defensive Rebound.,24,22
4:56,294,JD Notae missed Jumper.,24,22
4:56,2198,A.J. Youngman Defensive Rebound.,24,22
4:48,2198,Dillon Avare Turnover.,24,22
4:47,294,Cody Helgeland Steal.,24,22
4:23,294,Cody Helgeland missed Jumper.,24,22
4:23,294,Jalyn Hinton Offensive Rebound.,24,22
4:18,294,Devin Harris missed Jumper.,24,22
4:18,2198,Eastern Kentucky Defensive Rebound.,24,22
4:01,2198,Nick Mayo made Jumper. Assisted by Dillon Avare.,24,24
3:47,294,Jalyn Hinton missed Layup.,24,24
3:47,2198,Nick Mayo Block.,24,24
3:47,294,Jacksonville Offensive Rebound.,24,24
3:44,2198,Official TV Timeout,24,24
3:29,294,Jace Hogan made Three Point Jumper.,27,24
3:06,2198,Dedric Boyd missed Three Point Jumper.,27,24
3:06,2198,Eastern Kentucky Offensive Rebound.,27,24
2:54,294,Foul on Jace Hogan.,27,24
2:54,2198,Nick Mayo made Free Throw.,27,25
2:54,2198,Nick Mayo made Free Throw.,27,26
2:35,294,Jalyn Hinton missed Jumper.,27,26
2:35,294,Damien Sears Offensive Rebound.,27,26
2:28,294,Damien Sears made Two Point Tip Shot.,29,26
2:08,2198,Dedric Boyd made Jumper.,29,28
1:57,2198,Foul on JacQuess Hobbs.,29,28
1:57,294,Damien Sears missed Free Throw.,29,28
1:57,2198,Nick Mayo Defensive Rebound.,29,28
1:42,294,Foul on Jalyn Hinton.,29,28
1:42,2198,JacQuess Hobbs missed Free Throw.,29,28
1:42,2198,Eastern Kentucky Deadball Team Rebound.,29,28
1:42,2198,JacQuess Hobbs made Free Throw.,29,29
1:33,294,JD Notae Turnover.,29,29
1:16,2198,Dujuanta Weaver missed Three Point Jumper.,29,29
1:16,294,Jalyn Hinton Defensive Rebound.,29,29
0:56,294,Damien Sears made Jumper. Assisted by Cody Helgeland.,31,29
0:54,294,Jacksonville  Timeout,31,29
0:46,294,Foul on JD Notae.,31,29
0:46,2198,Dedric Boyd missed Free Throw.,31,29
0:46,294,Devin Harris Defensive Rebound.,31,29
0:29,294,JD Notae missed Layup.,31,29
0:29,2198,Nick Mayo Defensive Rebound.,31,29
0:04,2198,Dedric Boyd missed Three Point Jumper.,31,29
0:04,294,JD Notae Defensive Rebound.,31,29
0:00,2198,End of 1st half,31,29
19:48,2198,Nick Mayo made Three Point Jumper.,31,32
19:18,294,Jace Hogan missed Jumper.,31,32
19:18,2198,DeAndre Dishman Defensive Rebound.,31,32
19:05,2198,Dedric Boyd made Three Point Jumper. Assisted by Nick Mayo.,31,35
18:44,2198,Foul on Dillon Avare.,31,35
18:39,294,Devin Harris Turnover.,31,35
18:19,2198,DeAndre Dishman made Layup. Assisted by Nick Mayo.,31,37
18:01,294,JD Notae missed Three Point Jumper.,31,37
18:01,2198,Asante Gist Defensive Rebound.,31,37
17:49,2198,Asante Gist made Jumper.,31,39
17:46,294,Jacksonville  Timeout,31,39
17:46,2198,Official TV Timeout,31,39
17:27,294,Cody Helgeland made Three Point Jumper. Assisted by Devin Harris.,34,39
16:56,2198,DeAndre Dishman made Layup. Assisted by Asante Gist.,34,41
16:43,294,Jace Hogan made Jumper. Assisted by Damien Sears.,36,41
16:22,294,Foul on JD Notae.,36,41
16:22,2198,Nick Mayo Turnover.,36,41
16:22,294,JD Notae Steal.,36,41
16:22,294,Jace Hogan made Jumper. Assisted by JD Notae.,38,41
16:22,2198,Dedric Boyd missed Three Point Jumper.,38,41
16:22,294,Damien Sears Defensive Rebound.,38,41
15:28,294,Jace Hogan Turnover.,38,41
15:28,2198,Official TV Timeout,38,41
15:02,2198,Asante Gist missed Jumper.,38,41
15:02,294,Jace Hogan Defensive Rebound.,38,41
14:51,294,Foul on Damien Sears.,38,41
14:51,294,Damien Sears Turnover.,38,41
14:28,2198,DeAndre Dishman missed Layup.,38,41
14:28,2198,DeAndre Dishman Offensive Rebound.,38,41
14:24,2198,DeAndre Dishman missed Two Point Tip Shot.,38,41
14:24,294,Damien Sears Defensive Rebound.,38,41
14:16,294,Devin Harris missed Jumper.,38,41
14:16,294,Devin Harris Offensive Rebound.,38,41
14:13,294,Devin Harris missed Two Point Tip Shot.,38,41
14:13,2198,Dedric Boyd Defensive Rebound.,38,41
13:49,2198,Nick Mayo made Dunk. Assisted by Asante Gist.,38,43
13:46,2198,Eastern Kentucky  Timeout,38,43
13:19,294,Cody Helgeland missed Three Point Jumper.,38,43
13:19,2198,Nick Mayo Defensive Rebound.,38,43
12:58,2198,Asante Gist Turnover.,38,43
12:58,294,JD Notae Steal.,38,43
12:46,2198,Foul on Zach Charles.,38,43
12:46,294,Devin Harris made Free Throw.,39,43
12:46,294,Devin Harris missed Free Throw.,39,43
12:46,2198,Zach Charles Defensive Rebound.,39,43
12:28,2198,Dedric Boyd missed Layup.,39,43
12:28,294,Jalyn Hinton Block.,39,43
12:26,294,Devin Harris Defensive Rebound.,39,43
12:09,294,Damien Sears Turnover.,39,43
11:52,2198,Asante Gist made Three Point Jumper.,39,46
11:29,2198,Foul on Dedric Boyd.,39,46
11:29,2198,Official TV Timeout,39,46
11:28,294,Jacksonville  Turnover.,39,46
11:00,2198,Asante Gist missed Jumper.,39,46
11:00,294,Jacksonville Defensive Rebound.,39,46
10:43,294,Jace Hogan missed Jumper.,39,46
10:43,2198,Peyton Broughton Defensive Rebound.,39,46
10:16,2198,Peyton Broughton missed Jumper.,39,46
10:16,2198,Nick Mayo Offensive Rebound.,39,46
10:14,2198,Nick Mayo made Two Point Tip Shot.,39,48
10:13,294,Foul on JD Notae.,39,48
10:13,2198,Nick Mayo missed Free Throw.,39,48
10:13,2198,Dujuanta Weaver Offensive Rebound.,39,48
9:46,2198,Dedric Boyd missed Three Point Jumper.,39,48
9:46,2198,Peyton Broughton Offensive Rebound.,39,48
9:38,2198,Asante Gist missed Three Point Jumper.,39,48
9:38,294,JD Notae Defensive Rebound.,39,48
9:17,294,Tanner Rubio missed Three Point Jumper.,39,48
9:16,2198,Dujuanta Weaver Block.,39,48
9:15,294,Cody Helgeland Offensive Rebound.,39,48
9:11,294,Devin Harris Turnover.,39,48
9:04,2198,Asante Gist made Jumper.,39,50
8:52,294,JD Notae made Jumper.,41,50
8:27,294,Foul on JD Notae.,41,50
8:18,294,Foul on Jalyn Hinton.,41,50
8:12,2198,DeAndre Dishman Turnover.,41,50
8:02,294,Devin Harris missed Layup.,41,50
8:02,2198,DeAndre Dishman Block.,41,50
8:01,2198,Eastern Kentucky Defensive Rebound.,41,50
7:50,294,Foul on Jace Hogan.,41,50
7:50,2198,Official TV Timeout,41,50
7:42,2198,DeAndre Dishman made Jumper. Assisted by Dujuanta Weaver.,41,52
7:27,294,Jace Hogan missed Jumper.,41,52
7:27,2198,DeAndre Dishman Defensive Rebound.,41,52
7:17,2198,Peyton Broughton missed Jumper.,41,52
7:17,2198,DeAndre Dishman Offensive Rebound.,41,52
7:14,2198,DeAndre Dishman made Two Point Tip Shot.,41,54
7:06,294,Jace Hogan missed Jumper.,41,54
7:06,2198,Asante Gist Defensive Rebound.,41,54
6:37,2198,Dujuanta Weaver made Three Point Jumper. Assisted by Asante Gist.,41,57
6:34,294,Jacksonville  Timeout,41,57
6:17,294,JD Notae missed Three Point Jumper.,41,57
6:17,2198,Nick Mayo Defensive Rebound.,41,57
5:56,2198,Asante Gist missed Layup.,41,57
5:56,294,Devin Harris Defensive Rebound.,41,57
5:49,294,Tanner Rubio missed Jumper.,41,57
5:49,294,JD Notae Offensive Rebound.,41,57
5:47,2198,Foul on Dujuanta Weaver.,41,57
5:46,294,JD Notae missed Three Point Jumper.,41,57
5:46,2198,Nick Mayo Defensive Rebound.,41,57
5:23,2198,Dedric Boyd missed Three Point Jumper.,41,57
5:23,294,Jacksonville Defensive Rebound.,41,57
4:56,2198,Foul on Nick Mayo.,41,57
4:56,294,Devin Harris made Free Throw.,42,57
4:56,294,Devin Harris made Free Throw.,43,57
4:31,2198,Dillon Avare Turnover.,43,57
4:30,294,JD Notae Steal.,43,57
4:24,294,JD Notae missed Layup.,43,57
4:24,294,Cody Helgeland Offensive Rebound.,43,57
4:21,294,Cody Helgeland made Two Point Tip Shot.,45,57
4:19,2198,Eastern Kentucky  Timeout,45,57
4:19,2198,Official TV Timeout,45,57
4:02,2198,DeAndre Dishman Turnover.,45,57
3:47,294,Cody Helgeland made Three Point Jumper.,48,57
3:29,294,Foul on JD Notae.,48,57
3:29,2198,Asante Gist missed Free Throw.,48,57
3:29,294,Devin Harris Defensive Rebound.,48,57
3:27,294,Cody Helgeland missed Three Point Jumper.,48,57
3:27,294,Jace Hogan Offensive Rebound.,48,57
3:18,2198,Foul on DeAndre Dishman.,48,57
3:18,294,Jace Hogan made Free Throw.,49,57
3:18,294,Jace Hogan made Free Throw.,50,57
3:10,2198,Nick Mayo made Dunk. Assisted by DeAndre Dishman.,50,59
2:50,2198,Foul on Asante Gist.,50,59
2:50,294,Devin Harris missed Free Throw.,50,59
2:50,294,Jacksonville Deadball Team Rebound.,50,59
2:50,294,Devin Harris made Free Throw.,51,59
2:47,2198,Dedric Boyd Turnover.,51,59
2:47,294,Devin Harris Steal.,51,59
2:36,294,Jace Hogan made Layup.,53,59
2:12,2198,Dedric Boyd missed Jumper.,53,59
2:12,2198,DeAndre Dishman Offensive Rebound.,53,59
2:09,2198,DeAndre Dishman missed Dunk.,53,59
2:09,294,Tanner Rubio Defensive Rebound.,53,59
1:49,294,Jace Hogan missed Layup.,53,59
1:49,2198,Nick Mayo Block.,53,59
1:48,294,Jace Hogan Offensive Rebound.,53,59
1:47,294,Jace Hogan made Two Point Tip Shot.,55,59
1:36,2198,Dillon Avare Turnover.,55,59
1:36,294,Jacksonville  Timeout,55,59
1:22,294,Tanner Rubio missed Three Point Jumper.,55,59
1:22,2198,DeAndre Dishman Defensive Rebound.,55,59
1:05,2198,Eastern Kentucky  Timeout,55,59
1:05,2198,Technical Foul on Eastern Kentucky.,55,59
1:05,294,Cody Helgeland made Free Throw.,56,59
1:05,294,Cody Helgeland made Free Throw.,57,59
1:00,2198,Nick Mayo missed Jumper.,57,59
1:00,294,Jace Hogan Defensive Rebound.,57,59
0:35,294,Cody Helgeland missed Three Point Jumper.,57,59
0:35,294,Devin Harris Offensive Rebound.,57,59
0:25,294,Jace Hogan missed Jumper.,57,59
0:25,294,Jace Hogan Offensive Rebound.,57,59
0:21,294,Jace Hogan missed Two Point Tip Shot.,57,59
0:21,294,Jace Hogan Offensive Rebound.,57,59
0:19,294,Jace Hogan made Two Point Tip Shot.,59,59
0:00,2198,Asante Gist missed Layup.,59,59
0:00,2198,DeAndre Dishman Offensive Rebound.,59,59
0:00,2198,End of 2nd half,59,59
4:46,294,Jace Hogan missed Jumper.,59,59
4:46,2198,DeAndre Dishman Defensive Rebound.,59,59
4:31,294,Foul on Tanner Rubio.,59,59
4:31,2198,DeAndre Dishman missed Free Throw.,59,59
4:31,294,Jalyn Hinton Defensive Rebound.,59,59
4:13,294,Cody Helgeland missed Three Point Jumper.,59,59
4:13,2198,DeAndre Dishman Defensive Rebound.,59,59
3:54,2198,Dujuanta Weaver made Three Point Jumper. Assisted by Nick Mayo.,59,62
3:40,294,Devin Harris Turnover.,59,62
3:19,2198,Asante Gist missed Three Point Jumper.,59,62
3:19,2198,Nick Mayo Offensive Rebound.,59,62
3:16,294,Foul on Jace Hogan.,59,62
3:16,2198,Nick Mayo made Free Throw.,59,63
3:16,2198,Nick Mayo made Free Throw.,59,64
2:52,294,Jace Hogan missed Jumper.,59,64
2:52,2198,Nick Mayo Block.,59,64
2:51,294,Jalyn Hinton Offensive Rebound.,59,64
2:49,294,Jalyn Hinton made Dunk.,61,64
2:29,2198,Dedric Boyd Turnover.,61,64
2:11,294,Cody Helgeland missed Jumper.,61,64
2:11,294,Jalyn Hinton Offensive Rebound.,61,64
2:08,294,Jalyn Hinton made Dunk.,63,64
2:07,294,Jacksonville  Timeout,63,64
1:43,2198,Dedric Boyd missed Three Point Jumper.,63,64
1:43,2198,DeAndre Dishman Offensive Rebound.,63,64
1:39,2198,DeAndre Dishman missed Two Point Tip Shot.,63,64
1:39,294,Jace Hogan Defensive Rebound.,63,64
1:28,294,Tanner Rubio missed Three Point Jumper.,63,64
1:28,2198,Dujuanta Weaver Defensive Rebound.,63,64
0:53,2198,Dedric Boyd made Jumper.,63,66
0:30,294,Jace Hogan Turnover.,63,66
0:30,2198,Eastern Kentucky  Timeout,63,66
0:29,294,Foul on Cody Helgeland.,63,66
0:29,2198,Asante Gist made Free Throw.,63,67
0:29,2198,Asante Gist missed Free Throw.,63,67
0:29,2198,Dedric Boyd Offensive Rebound.,63,67
0:25,294,Foul on Devin Harris.,63,67
0:25,2198,Dedric Boyd made Free Throw.,63,68
0:25,2198,Dedric Boyd made Free Throw.,63,69
0:11,294,Jace Hogan made Layup.,65,69
0:11,2198,Eastern Kentucky  Timeout,65,69
0:06,294,Foul on Devin Harris.,65,69
0:06,2198,Asante Gist missed Free Throw.,65,69
0:06,2198,Eastern Kentucky Deadball Team Rebound.,65,69
0:06,2198,Asante Gist made Free Throw.,65,70
