Montana State,270,Milwaukee,147
10:17,147,Isaac Bonton missed Jumper.,14,10
10:17,270,Jeremiah Bell Block.,14,10
10:16,270,Vance Johnson Defensive Rebound.,14,10
10:02,147,Foul on Konner Frey.,14,10
10:02,270,Bryce Nze missed Free Throw.,14,10
10:02,270,Milwaukee Deadball Team Rebound.,14,10
10:02,270,Bryce Nze missed Free Throw.,14,10
10:02,147,Keljin Blevins Defensive Rebound.,14,10
9:44,147,Tyler Hall made Three Point Jumper. Assisted by Sam Neumann.,17,10
9:22,270,Jeremiah Bell missed Three Point Jumper.,17,10
9:22,270,Vance Johnson Offensive Rebound.,17,10
9:17,270,Vance Johnson Turnover.,17,10
9:05,270,Foul on Jeremiah Bell.,17,10
8:57,270,Foul on Brock Stull.,17,10
8:45,147,Tyler Hall missed Three Point Jumper.,17,10
8:45,147,Tyler Hall Offensive Rebound.,17,10
8:39,147,Keljin Blevins missed Layup.,17,10
8:39,270,Jeremiah Bell Defensive Rebound.,17,10
8:19,270,Bryce Barnes Turnover.,17,10
8:18,147,Tyler Hall Steal.,17,10
8:14,147,Devonte Klines missed Layup.,17,10
8:14,270,Bryce Barnes Block.,17,10
8:13,270,Brett Prahl Defensive Rebound.,17,10
7:56,270,Brett Prahl Turnover.,17,10
7:56,270,Official TV Timeout,17,10
7:38,147,Harald Frey missed Three Point Jumper.,17,10
7:38,270,Bryce Nze Defensive Rebound.,17,10
7:22,270,Brett Prahl made Layup.,17,12
7:05,270,Foul on Bryce Barnes.,17,12
7:05,147,Harald Frey made Free Throw.,18,12
7:05,147,Harald Frey missed Free Throw.,18,12
7:05,270,Bryce Nze Defensive Rebound.,18,12
6:46,270,August Haas Turnover.,18,12
6:26,147,Keljin Blevins missed Jumper.,18,12
6:26,270,Carson Warren-Newsome Defensive Rebound.,18,12
6:00,270,Brett Prahl missed Layup.,18,12
6:00,147,Sam Neumann Defensive Rebound.,18,12
5:33,270,Foul on Carson Warren-Newsome.,18,12
5:33,147,Montana State  Timeout,18,12
5:33,147,Sam Neumann made Free Throw.,19,12
5:33,147,Sam Neumann made Free Throw.,20,12
5:26,147,Foul on Devonte Klines.,20,12
5:26,270,Brock Stull missed Free Throw.,20,12
5:26,270,Milwaukee Deadball Team Rebound.,20,12
5:26,270,Brock Stull made Free Throw.,20,13
5:26,270,Brock Stull made Free Throw.,20,14
5:14,270,Foul on Carson Warren-Newsome.,20,14
5:14,147,Joe Mvuezolo Jr. made Free Throw.,21,14
5:14,147,Joe Mvuezolo Jr. made Free Throw.,22,14
5:02,270,Jeremy Johnson made Three Point Jumper. Assisted by Brock Stull.,22,17
4:44,147,Isaac Bonton missed Jumper.,22,17
4:44,270,Brock Stull Defensive Rebound.,22,17
4:38,147,Foul on Isaac Bonton.,22,17
4:38,270,Brock Stull made Free Throw.,22,18
4:38,270,Brock Stull made Free Throw.,22,19
4:28,147,Devonte Klines missed Jumper.,22,19
4:28,270,Jeremy Johnson Defensive Rebound.,22,19
4:08,270,Brett Prahl made Jumper. Assisted by Jeremy Johnson.,22,21
3:52,147,Joe Mvuezolo Jr. Turnover.,22,21
3:52,270,Official TV Timeout,22,21
3:41,270,Jeremy Johnson missed Three Point Jumper.,22,21
3:41,147,Zach Green Block.,22,21
3:39,270,Milwaukee Offensive Rebound.,22,21
3:39,270,Jeremy Johnson missed Three Point Jumper.,22,21
3:39,147,Montana State Defensive Rebound.,22,21
3:21,147,Foul on Konner Frey.,22,21
3:21,147,Konner Frey Turnover.,22,21
2:50,270,Brett Prahl Turnover.,22,21
2:49,147,Konner Frey Steal.,22,21
2:43,147,Tyler Hall made Jumper.,24,21
2:25,270,Carson Warren-Newsome Turnover.,24,21
2:12,147,Harald Frey Turnover.,24,21
2:11,270,Bryce Nze Steal.,24,21
2:08,147,Foul on Konner Frey.,24,21
2:08,270,Carson Warren-Newsome made Free Throw.,24,22
2:08,270,Carson Warren-Newsome made Free Throw.,24,23
1:57,147,Tyler Hall missed Three Point Jumper.,24,23
1:57,147,Zach Green Offensive Rebound.,24,23
1:53,147,Zach Green made Layup.,26,23
1:36,270,Carson Warren-Newsome missed Three Point Jumper.,26,23
1:36,270,Bryce Nze Offensive Rebound.,26,23
1:32,270,Bryce Nze missed Layup.,26,23
1:32,270,Bryce Nze Offensive Rebound.,26,23
1:29,270,Bryce Nze made Layup.,26,25
1:07,147,Zach Green made Three Point Jumper. Assisted by Sam Neumann.,29,25
0:48,270,Carson Warren-Newsome missed Three Point Jumper.,29,25
0:48,147,Tyler Hall Defensive Rebound.,29,25
0:26,147,Sam Neumann Turnover.,29,25
0:25,270,Carson Warren-Newsome Steal.,29,25
0:24,147,Foul on Tyler Hall.,29,25
0:24,270,Carson Warren-Newsome made Free Throw.,29,26
0:24,270,Carson Warren-Newsome made Free Throw.,29,27
0:24,147,Montana State  Timeout,29,27
0:08,147,Tyler Hall missed Three Point Jumper.,29,27
0:08,270,Carson Warren-Newsome Defensive Rebound.,29,27
0:00,270,End of 1st half,29,27
19:40,147,Tyler Hall Turnover.,29,27
19:38,270,Bryce Barnes Steal.,29,27
19:22,270,Brett Prahl made Layup. Assisted by Bryce Barnes.,29,29
19:03,147,Harald Frey made Three Point Jumper. Assisted by Devonte Klines.,32,29
18:38,270,Jeremy Johnson made Three Point Jumper. Assisted by Brock Stull.,32,32
18:17,147,Tyler Hall made Jumper.,34,32
18:01,270,Bryce Barnes made Three Point Jumper.,34,35
17:45,147,Tyler Hall missed Three Point Jumper.,34,35
17:45,270,Brock Stull Defensive Rebound.,34,35
17:31,270,Brett Prahl made Layup.,34,37
17:14,270,Foul on Bryce Barnes.,34,37
17:06,147,Foul on Keljin Blevins.,34,37
17:06,147,Keljin Blevins Turnover.,34,37
16:39,270,Jeremy Johnson made Jumper.,34,39
16:24,147,Harald Frey missed Layup.,34,39
16:24,147,Konner Frey Offensive Rebound.,34,39
16:20,147,Konner Frey made Layup.,36,39
16:05,270,Brett Prahl missed Layup.,36,39
16:05,147,Zach Green Block.,36,39
16:03,147,Zach Green Defensive Rebound.,36,39
15:59,147,Tyler Hall made Three Point Jumper. Assisted by Zach Green.,39,39
15:39,270,August Haas made Jumper.,39,41
15:39,147,Foul on Harald Frey.,39,41
15:39,270,Official TV Timeout,39,41
15:39,270,August Haas missed Free Throw.,39,41
15:39,147,Zach Green Defensive Rebound.,39,41
15:27,270,Foul on Bryce Nze.,39,41
15:25,147,Tyler Hall missed Three Point Jumper.,39,41
15:25,270,August Haas Defensive Rebound.,39,41
15:16,270,Brock Stull missed Three Point Jumper.,39,41
15:16,147,Konner Frey Defensive Rebound.,39,41
15:03,270,Foul on Bryce Nze.,39,41
14:52,147,Joe Mvuezolo Jr. Turnover.,39,41
14:37,270,Brock Stull missed Three Point Jumper.,39,41
14:37,270,Brett Prahl Offensive Rebound.,39,41
14:33,270,Brett Prahl made Layup.,39,43
14:09,147,Tyler Hall missed Three Point Jumper.,39,43
14:09,270,August Haas Defensive Rebound.,39,43
14:02,270,Brock Stull missed Three Point Jumper.,39,43
14:02,147,Tyler Hall Defensive Rebound.,39,43
13:55,147,Montana State  Timeout,39,43
13:55,270,Official TV Timeout,39,43
13:47,270,Foul on Brett Prahl.,39,43
13:34,147,Isaac Bonton missed Jumper.,39,43
13:34,147,Keljin Blevins Offensive Rebound.,39,43
13:32,147,Keljin Blevins made Layup.,41,43
13:03,270,Jeremiah Bell made Jumper.,41,45
12:42,270,Foul on Bryce Nze.,41,45
12:42,147,Keljin Blevins made Free Throw.,42,45
12:42,147,Keljin Blevins missed Free Throw.,42,45
12:42,270,Brock Stull Defensive Rebound.,42,45
12:30,270,Carson Warren-Newsome missed Three Point Jumper.,42,45
12:30,147,Isaac Bonton Defensive Rebound.,42,45
12:25,147,Isaac Bonton Turnover.,42,45
12:24,270,Carson Warren-Newsome Steal.,42,45
12:19,270,Carson Warren-Newsome missed Layup.,42,45
12:19,147,Tyler Hall Block.,42,45
12:17,147,Konner Frey Defensive Rebound.,42,45
12:06,147,Keljin Blevins missed Layup.,42,45
12:06,270,Brett Prahl Block.,42,45
12:04,270,Carson Warren-Newsome Defensive Rebound.,42,45
11:50,270,Carson Warren-Newsome missed Three Point Jumper.,42,45
11:50,147,Konner Frey Defensive Rebound.,42,45
11:38,270,Foul on Jeremiah Bell.,42,45
11:38,270,Official TV Timeout,42,45
11:36,147,Tyler Hall made Jumper.,44,45
11:08,270,Vance Johnson missed Layup.,44,45
11:08,147,Konner Frey Defensive Rebound.,44,45
10:59,147,Harald Frey Turnover.,44,45
10:59,270,Bryce Barnes Steal.,44,45
10:32,270,Brock Stull made Layup.,44,47
10:17,147,Isaac Bonton missed Layup.,44,47
10:17,147,Konner Frey Offensive Rebound.,44,47
10:14,147,Konner Frey missed Layup.,44,47
10:14,270,Brett Prahl Block.,44,47
10:11,270,Brett Prahl Defensive Rebound.,44,47
9:56,147,Foul on Konner Frey.,44,47
9:49,270,Brett Prahl missed Layup.,44,47
9:49,147,Keljin Blevins Block.,44,47
9:47,147,Harald Frey Defensive Rebound.,44,47
9:36,147,Harald Frey made Three Point Jumper.,47,47
9:13,270,Vance Johnson Turnover.,47,47
9:12,147,Isaac Bonton Steal.,47,47
9:04,270,Foul on Jeremy Johnson.,47,47
9:04,147,Keljin Blevins made Free Throw.,48,47
9:04,147,Keljin Blevins made Free Throw.,49,47
8:46,270,Brett Prahl missed Layup.,49,47
8:46,147,Joe Mvuezolo Jr. Defensive Rebound.,49,47
8:44,270,Foul on Brett Prahl.,49,47
8:44,147,Joe Mvuezolo Jr. missed Free Throw.,49,47
8:44,270,Vance Johnson Defensive Rebound.,49,47
8:25,147,Foul on Sam Neumann.,49,47
8:25,270,Brett Prahl made Free Throw.,49,48
8:25,270,Brett Prahl made Free Throw.,49,49
8:14,147,Harald Frey made Layup.,51,49
8:14,270,Foul on Jeremiah Bell.,51,49
8:14,147,Harald Frey made Free Throw.,52,49
8:00,270,Alex Prahl missed Layup.,52,49
8:00,147,Sam Neumann Block.,52,49
7:58,147,Harald Frey Defensive Rebound.,52,49
7:53,147,Tyler Hall missed Three Point Jumper.,52,49
7:53,270,Alex Prahl Defensive Rebound.,52,49
7:41,147,Foul on Sam Neumann.,52,49
7:41,270,Official TV Timeout,52,49
7:27,270,August Haas made Three Point Jumper. Assisted by Jeremy Johnson.,52,52
7:13,270,Foul on Jeremy Johnson.,52,52
7:13,147,Tyler Hall made Free Throw.,53,52
7:13,147,Tyler Hall made Free Throw.,54,52
7:02,270,Foul on Brett Prahl.,54,52
7:02,270,Brett Prahl Turnover.,54,52
6:56,270,Foul on August Haas.,54,52
6:56,147,Harald Frey made Free Throw.,55,52
6:56,147,Harald Frey missed Free Throw.,55,52
6:56,270,Vance Johnson Defensive Rebound.,55,52
6:41,147,Foul on Zach Green.,55,52
6:31,270,August Haas Turnover.,55,52
6:30,147,Isaac Bonton Steal.,55,52
6:26,147,Harald Frey missed Three Point Jumper.,55,52
6:26,270,Brett Prahl Defensive Rebound.,55,52
6:06,147,Foul on Sam Neumann.,55,52
6:06,270,Brett Prahl made Free Throw.,55,53
6:06,270,Brett Prahl made Free Throw.,55,54
5:54,147,Tyler Hall missed Layup.,55,54
5:54,270,Jeremy Johnson Block.,55,54
5:52,147,Sam Neumann Offensive Rebound.,55,54
5:44,147,Zach Green missed Jumper.,55,54
5:44,270,Vance Johnson Defensive Rebound.,55,54
5:17,270,Brock Stull missed Jumper.,55,54
5:17,147,Harald Frey Defensive Rebound.,55,54
5:09,147,Harald Frey made Jumper.,57,54
4:44,270,Jeremy Johnson missed Three Point Jumper.,57,54
4:44,147,Harald Frey Defensive Rebound.,57,54
4:20,270,Foul on Vance Johnson.,57,54
4:20,147,Isaac Bonton made Free Throw.,58,54
4:20,147,Isaac Bonton missed Free Throw.,58,54
4:20,270,Brock Stull Defensive Rebound.,58,54
4:08,270,Jeremiah Bell made Three Point Jumper. Assisted by Brock Stull.,58,57
3:40,147,Tyler Hall made Three Point Jumper. Assisted by Keljin Blevins.,61,57
3:23,270,Jeremiah Bell made Jumper.,61,59
3:04,147,Harald Frey made Three Point Jumper. Assisted by Tyler Hall.,64,59
2:55,270,Jeremy Johnson made Three Point Jumper. Assisted by Brock Stull.,64,62
2:41,147,Montana State  Timeout,64,62
2:41,270,Official TV Timeout,64,62
2:19,147,Isaac Bonton Turnover.,64,62
2:18,270,Jeremy Johnson Steal.,64,62
2:14,270,Brock Stull made Layup.,64,64
1:52,147,Tyler Hall made Three Point Jumper. Assisted by Harald Frey.,67,64
1:31,270,Brock Stull missed Three Point Jumper.,67,64
1:31,147,Harald Frey Defensive Rebound.,67,64
1:02,147,Harald Frey Turnover.,67,64
1:02,270,Jeremiah Bell Steal.,67,64
1:02,147,Foul on Harald Frey.,67,64
1:02,270,Jeremiah Bell missed Free Throw.,67,64
1:02,147,Isaac Bonton Defensive Rebound.,67,64
0:37,147,Isaac Bonton missed Jumper.,67,64
0:37,270,Brett Prahl Block.,67,64
0:35,270,Jeremiah Bell Defensive Rebound.,67,64
0:25,270,Milwaukee  Timeout,67,64
0:09,270,Jeremiah Bell missed Three Point Jumper.,67,64
0:09,270,Jeremy Johnson Offensive Rebound.,67,64
0:06,147,Foul on Keljin Blevins.,67,64
0:06,270,Jeremy Johnson missed Free Throw.,67,64
0:06,147,Isaac Bonton Defensive Rebound.,67,64
0:04,270,Foul on Jeremy Johnson.,67,64
0:04,147,Isaac Bonton missed Free Throw.,67,64
0:04,147,Montana State Deadball Team Rebound.,67,64
0:04,147,Isaac Bonton made Free Throw.,68,64
0:04,270,Milwaukee  Timeout,68,64
0:02,270,Jeremy Johnson missed Three Point Jumper.,68,64
0:01,147,Tyler Hall Defensive Rebound.,68,64
0:00,270,End of Game,68,64
