Cleveland State,2309,Kent State,325
13:06,2309,Adonis De La Rosa Offensive Rebound.,10,12
12:56,2309,Kevin Zabo missed Three Point Jumper.,10,12
12:56,2309,Danny Pippen Offensive Rebound.,10,12
12:53,325,Foul on Kasheem Thomas.,10,12
12:44,2309,Ryan Bernstein missed Three Point Jumper.,10,12
12:44,2309,Danny Pippen Offensive Rebound.,10,12
12:24,2309,Jalen Avery missed Three Point Jumper.,10,12
12:24,2309,Kent State Offensive Rebound.,10,12
11:55,2309,Jalen Avery made Three Point Jumper. Assisted by Adonis De La Rosa.,10,15
11:27,325,Anthony Wright Turnover.,10,15
11:27,2309,Official TV Timeout,10,15
11:14,2309,Jalen Avery made Three Point Jumper. Assisted by Adonis De La Rosa.,10,18
10:55,325,Tyree Appleby Turnover.,10,18
10:29,2309,Jalen Avery missed Three Point Jumper.,10,18
10:29,325,Kenny Carpenter Defensive Rebound.,10,18
10:20,2309,Foul on Mitch Peterson.,10,18
10:13,325,Tyree Appleby missed Layup.,10,18
10:13,325,Evan Clayborne Offensive Rebound.,10,18
10:11,325,Evan Clayborne made Layup.,12,18
9:59,2309,Danny Pippen made Dunk. Assisted by Adonis De La Rosa.,12,20
9:42,325,Evan Clayborne Turnover.,12,20
9:24,2309,Kevin Zabo missed Three Point Jumper.,12,20
9:24,2309,Mitch Peterson Offensive Rebound.,12,20
9:17,2309,Kevin Zabo missed Three Point Jumper.,12,20
9:17,2309,Mitch Peterson Offensive Rebound.,12,20
9:13,2309,Mitch Peterson missed Jumper.,12,20
9:13,325,Evan Clayborne Defensive Rebound.,12,20
9:06,325,Tyree Appleby missed Three Point Jumper.,12,20
9:06,2309,Danny Pippen Defensive Rebound.,12,20
8:40,2309,Danny Pippen missed Three Point Jumper.,12,20
8:40,325,Evan Clayborne Defensive Rebound.,12,20
8:27,325,Jamarcus Hairston missed Three Point Jumper.,12,20
8:27,2309,Kevin Zabo Defensive Rebound.,12,20
8:21,2309,Mitch Peterson missed Three Point Jumper.,12,20
8:21,325,Kenny Carpenter Defensive Rebound.,12,20
8:15,325,Jamarcus Hairston missed Layup.,12,20
8:15,2309,Kevin Zabo Defensive Rebound.,12,20
8:05,325,Foul on Evan Clayborne.,12,20
8:05,2309,Kevin Zabo made Free Throw.,12,21
8:05,2309,Kevin Zabo made Free Throw.,12,22
7:53,2309,Foul on Adonis De La Rosa.,12,22
7:52,2309,Official TV Timeout,12,22
7:52,325,Tyree Appleby missed Free Throw.,12,22
7:52,325,Cleveland State Deadball Team Rebound.,12,22
7:52,325,Tyree Appleby missed Free Throw.,12,22
7:52,2309,Desmond Ridenour Defensive Rebound.,12,22
7:30,2309,BJ Duling made Jumper.,12,24
7:19,325,Tyree Appleby Turnover.,12,24
7:16,2309,Kevin Zabo Steal.,12,24
7:15,2309,Kevin Zabo made Layup.,12,26
6:57,325,Evan Clayborne missed Layup.,12,26
6:57,2309,BJ Duling Block.,12,26
6:55,2309,Mitch Peterson Defensive Rebound.,12,26
6:49,2309,Kevin Zabo Turnover.,12,26
6:25,325,Bobby Word missed Three Point Jumper.,12,26
6:25,325,Evan Clayborne Offensive Rebound.,12,26
6:25,325,Bobby Word missed Jumper.,12,26
6:25,325,Anthony Wright Offensive Rebound.,12,26
6:19,325,Anthony Wright Turnover.,12,26
6:18,2309,Desmond Ridenour Steal.,12,26
6:16,2309,BJ Duling missed Layup.,12,26
6:16,325,Kasheem Thomas Defensive Rebound.,12,26
6:11,325,Anthony Wright Turnover.,12,26
5:53,2309,BJ Duling made Three Point Jumper. Assisted by Mitch Peterson.,12,29
5:24,325,Bobby Word Turnover.,12,29
5:07,2309,BJ Duling made Layup.,12,31
4:43,2309,Foul on BJ Duling.,12,31
4:38,325,Kasheem Thomas missed Free Throw.,12,31
4:38,325,Cleveland State Deadball Team Rebound.,12,31
4:38,325,Kasheem Thomas missed Free Throw.,12,31
4:38,2309,BJ Duling Defensive Rebound.,12,31
4:22,2309,Desmond Ridenour missed Layup.,12,31
4:22,2309,Danny Pippen Offensive Rebound.,12,31
4:19,2309,Danny Pippen missed Layup.,12,31
4:19,325,Jamarcus Hairston Defensive Rebound.,12,31
4:11,325,Kasheem Thomas made Layup.,14,31
3:40,2309,Desmond Ridenour missed Three Point Jumper.,14,31
3:40,325,Anthony Wright Defensive Rebound.,14,31
3:30,325,Dontel Highsmith missed Jumper.,14,31
3:30,2309,BJ Duling Defensive Rebound.,14,31
3:18,2309,Kevin Zabo made Layup.,14,33
3:07,2309,Official TV Timeout,14,33
2:59,325,Dontel Highsmith Turnover.,14,33
2:42,2309,Kevin Zabo Turnover.,14,33
2:42,325,Dontel Highsmith Steal.,14,33
2:42,2309,Foul on Adonis De La Rosa.,14,33
2:42,325,Evan Clayborne made Free Throw.,15,33
2:42,325,Evan Clayborne made Free Throw.,16,33
2:19,2309,Mitch Peterson missed Jumper.,16,33
2:19,2309,BJ Duling Offensive Rebound.,16,33
1:53,2309,Jalen Avery missed Three Point Jumper.,16,33
1:53,325,Kenny Carpenter Defensive Rebound.,16,33
1:47,325,Tyree Appleby made Layup. Assisted by Kenny Carpenter.,18,33
1:20,2309,Kent State  Timeout,18,33
1:20,2309,Kent State  Timeout,18,33
1:19,2309,Kevin Zabo missed Three Point Jumper.,18,33
1:19,2309,BJ Duling Offensive Rebound.,18,33
1:16,2309,BJ Duling made Layup.,18,35
1:04,325,Anthony Wright made Three Point Jumper.,21,35
0:36,2309,BJ Duling Turnover.,21,35
0:26,325,Anthony Wright made Three Point Jumper. Assisted by Kenny Carpenter.,24,35
0:04,2309,BJ Duling missed Three Point Jumper.,24,35
0:04,325,Dontel Highsmith Block.,24,35
0:00,2309,Desmond Ridenour Offensive Rebound.,24,35
0:00,2309,Desmond Ridenour missed Jumper.,24,35
0:00,325,Kenny Carpenter Defensive Rebound.,24,35
0:00,2309,End of 1st half,24,35
19:37,325,Evan Clayborne Turnover.,24,35
19:36,2309,Danny Pippen Steal.,24,35
19:29,2309,Kevin Zabo missed Three Point Jumper.,24,35
19:29,325,Kasheem Thomas Defensive Rebound.,24,35
19:19,325,Kenny Carpenter missed Three Point Jumper.,24,35
19:19,325,Anthony Wright Offensive Rebound.,24,35
19:15,325,Anthony Wright made Layup.,26,35
19:01,2309,Danny Pippen Turnover.,26,35
19:01,2309,Foul on Danny Pippen.,26,35
18:31,325,Anthony Wright missed Three Point Jumper.,26,35
18:31,2309,Mitch Peterson Defensive Rebound.,26,35
18:12,2309,Danny Pippen made Layup.,26,37
18:12,325,Foul on Bobby Word.,26,37
18:12,2309,Danny Pippen missed Free Throw.,26,37
18:12,325,Anthony Wright Defensive Rebound.,26,37
18:02,325,Bobby Word missed Three Point Jumper.,26,37
18:02,2309,Danny Pippen Defensive Rebound.,26,37
17:52,325,Foul on Evan Clayborne.,26,37
17:45,2309,Adonis De La Rosa missed Layup.,26,37
17:45,325,Anthony Wright Defensive Rebound.,26,37
17:26,325,Bobby Word missed Jumper.,26,37
17:26,2309,Adonis De La Rosa Defensive Rebound.,26,37
17:08,2309,Mitch Peterson missed Three Point Jumper.,26,37
17:08,325,Cleveland State Deadball Team Rebound.,26,37
17:06,2309,Foul on Danny Pippen.,26,37
16:47,325,Kasheem Thomas missed Three Point Jumper.,26,37
16:47,2309,Jalen Avery Defensive Rebound.,26,37
16:40,2309,Jalen Avery made Jumper.,26,39
16:23,325,Kenny Carpenter made Jumper.,28,39
16:07,2309,Adonis De La Rosa Turnover.,28,39
15:42,325,Tyree Appleby made Jumper.,30,39
15:24,2309,BJ Duling Turnover.,30,39
15:23,325,Stefan Kenic Steal.,30,39
15:19,325,Kenny Carpenter made Layup.,32,39
14:54,2309,Adonis De La Rosa made Jumper.,32,41
14:37,2309,Foul on Adonis De La Rosa.,32,41
14:37,2309,Official TV Timeout,32,41
14:37,325,Anthony Wright missed Free Throw.,32,41
14:37,325,Cleveland State Deadball Team Rebound.,32,41
14:37,325,Anthony Wright made Free Throw.,33,41
14:27,2309,Desmond Ridenour made Layup.,33,43
14:12,325,Tyree Appleby Turnover.,33,43
14:04,325,Foul on Terrell Hales.,33,43
13:58,2309,Desmond Ridenour made Jumper.,33,45
13:38,325,Kenny Carpenter missed Jumper.,33,45
13:38,325,Terrell Hales Offensive Rebound.,33,45
13:27,325,Stefan Kenic Turnover.,33,45
13:26,2309,Kevin Zabo Steal.,33,45
13:22,2309,Jalen Avery missed Three Point Jumper.,33,45
13:22,325,Stefan Kenic Defensive Rebound.,33,45
13:14,325,Dontel Highsmith missed Layup.,33,45
13:14,2309,Kent State Defensive Rebound.,33,45
12:59,2309,Akiean Frederick missed Jumper.,33,45
12:59,325,Stefan Kenic Block.,33,45
12:56,325,Dontel Highsmith Defensive Rebound.,33,45
12:47,325,Anthony Wright Turnover.,33,45
12:37,2309,Desmond Ridenour missed Layup.,33,45
12:37,325,Anthony Wright Block.,33,45
12:35,2309,Kent State Offensive Rebound.,33,45
12:23,2309,Kevin Zabo made Jumper.,33,47
12:05,325,Evan Clayborne Turnover.,33,47
12:05,325,Foul on Evan Clayborne.,33,47
11:49,2309,BJ Duling missed Layup.,33,47
11:49,325,Evan Clayborne Block.,33,47
11:47,2309,BJ Duling Offensive Rebound.,33,47
11:45,2309,Official TV Timeout,33,47
11:36,2309,Desmond Ridenour missed Three Point Jumper.,33,47
11:36,325,Anthony Wright Defensive Rebound.,33,47
11:26,325,Kenny Carpenter made Three Point Jumper. Assisted by Dontel Highsmith.,36,47
10:55,325,Foul on Dontel Highsmith.,36,47
10:55,2309,BJ Duling missed Free Throw.,36,47
10:55,2309,Kent State Deadball Team Rebound.,36,47
10:55,2309,BJ Duling made Free Throw.,36,48
10:44,325,Anthony Wright made Three Point Jumper. Assisted by Evan Clayborne.,39,48
10:14,325,Foul on Evan Clayborne.,39,48
10:14,2309,Adonis De La Rosa missed Free Throw.,39,48
10:14,2309,Kent State Deadball Team Rebound.,39,48
10:14,2309,Adonis De La Rosa made Free Throw.,39,49
9:54,325,Kenny Carpenter made Jumper.,41,49
9:34,2309,Desmond Ridenour made Jumper. Assisted by Jalen Avery.,41,51
9:23,2309,Foul on Mitch Peterson.,41,51
9:13,325,Anthony Wright made Layup.,43,51
8:43,2309,Kevin Zabo made Layup.,43,53
8:31,325,Kenny Carpenter made Jumper.,45,53
8:00,2309,Jalen Avery missed Layup.,45,53
8:00,325,Stefan Kenic Defensive Rebound.,45,53
7:50,325,Kenny Carpenter missed Layup.,45,53
7:50,2309,Desmond Ridenour Block.,45,53
7:48,2309,Mitch Peterson Defensive Rebound.,45,53
7:39,2309,Adonis De La Rosa missed Layup.,45,53
7:39,325,Stefan Kenic Defensive Rebound.,45,53
7:29,325,Anthony Wright missed Three Point Jumper.,45,53
7:29,2309,Desmond Ridenour Defensive Rebound.,45,53
7:18,325,Foul on Anthony Wright.,45,53
7:18,2309,Official TV Timeout,45,53
7:18,2309,Adonis De La Rosa made Free Throw.,45,54
7:18,2309,Adonis De La Rosa made Free Throw.,45,55
6:54,325,Stefan Kenic missed Layup.,45,55
6:54,325,Cleveland State Offensive Rebound.,45,55
6:48,325,Stefan Kenic missed Layup.,45,55
6:48,325,Tyree Appleby Offensive Rebound.,45,55
6:39,325,Dontel Highsmith missed Layup.,45,55
6:39,325,Anthony Wright Offensive Rebound.,45,55
6:36,325,Anthony Wright made Two Point Tip Shot.,47,55
6:17,2309,Jalen Avery missed Three Point Jumper.,47,55
6:17,325,Anthony Wright Defensive Rebound.,47,55
6:04,325,Kenny Carpenter made Three Point Jumper. Assisted by Anthony Wright.,50,55
5:59,2309,Kent State  Timeout,50,55
5:45,2309,Adonis De La Rosa Turnover.,50,55
5:44,325,Tyree Appleby Steal.,50,55
5:39,325,Tyree Appleby made Layup.,52,55
5:05,2309,Desmond Ridenour missed Layup.,52,55
5:05,325,Dontel Highsmith Defensive Rebound.,52,55
4:47,325,Tyree Appleby made Layup.,54,55
4:20,2309,Adonis De La Rosa made Layup. Assisted by Jalen Avery.,54,57
3:58,325,Kenny Carpenter missed Three Point Jumper.,54,57
3:58,2309,Mitch Peterson Defensive Rebound.,54,57
3:27,2309,Adonis De La Rosa made Layup. Assisted by Kevin Zabo.,54,59
3:18,325,Cleveland State  Timeout,54,59
2:55,325,Dontel Highsmith missed Jumper.,54,59
2:55,325,Evan Clayborne Offensive Rebound.,54,59
2:51,325,Cleveland State  Turnover.,54,59
2:29,2309,Jalen Avery made Layup.,54,61
2:18,325,Stefan Kenic made Three Point Jumper. Assisted by Dontel Highsmith.,57,61
1:49,2309,Adonis De La Rosa made Layup. Assisted by BJ Duling.,57,63
1:27,2309,Foul on BJ Duling.,57,63
1:27,325,Stefan Kenic made Free Throw.,58,63
1:27,325,Stefan Kenic missed Free Throw.,58,63
1:27,2309,Adonis De La Rosa Defensive Rebound.,58,63
1:01,2309,Jalen Avery made Three Point Jumper.,58,66
0:55,325,Cleveland State  Timeout,58,66
0:43,325,Kenny Carpenter missed Three Point Jumper.,58,66
0:43,2309,Desmond Ridenour Defensive Rebound.,58,66
0:36,325,Foul on Kenny Carpenter.,58,66
0:36,2309,Jalen Avery made Free Throw.,58,67
0:36,2309,Jalen Avery made Free Throw.,58,68
0:30,2309,Foul on Desmond Ridenour.,58,68
0:30,325,Stefan Kenic made Free Throw.,59,68
0:30,325,Stefan Kenic made Free Throw.,60,68
0:30,325,Foul on Tyree Appleby.,60,68
0:30,2309,Kevin Zabo made Free Throw.,60,69
0:30,2309,Kevin Zabo made Free Throw.,60,70
0:27,325,Dontel Highsmith missed Three Point Jumper.,60,70
0:27,2309,Kevin Zabo Defensive Rebound.,60,70
0:21,325,Foul on Tyree Appleby.,60,70
0:21,2309,Kevin Zabo made Free Throw.,60,71
