Southeast Missouri State,2428,North Carolina Central,2546
7:06,2428,Pablo Rivas missed Free Throw.,25,22
7:06,2546,Denzel Mahoney Defensive Rebound.,25,22
6:52,2428,Foul on Larry McKnight Jr..,25,22
6:49,2428,Foul on Pablo Rivas.,25,22
6:49,2546,Denzel Mahoney missed Free Throw.,25,22
6:49,2546,Southeast Missouri State Deadball Team Rebound.,25,22
6:49,2546,Denzel Mahoney made Free Throw.,26,22
6:23,2428,Reginald Gardner Jr made Jumper. Assisted by C.J. Wiggins.,26,24
6:06,2546,Justin Carpenter made Layup. Assisted by Denzel Mahoney.,28,24
5:58,2428,Reginald Gardner Jr missed Three Point Jumper.,28,24
5:58,2546,Ray Kowalski Defensive Rebound.,28,24
5:46,2546,Ledarrius Brewer missed Three Point Jumper.,28,24
5:46,2428,Zacarry Douglas Defensive Rebound.,28,24
5:22,2428,Jordan Perkins missed Layup.,28,24
5:22,2546,Denzel Mahoney Defensive Rebound.,28,24
5:07,2546,Ledarrius Brewer missed Layup.,28,24
5:07,2546,Ray Kowalski Offensive Rebound.,28,24
5:04,2546,Ray Kowalski missed Three Point Jumper.,28,24
5:04,2546,Jonathan Dalton Offensive Rebound.,28,24
5:00,2546,Justin Carpenter made Jumper.,30,24
4:59,2428,Foul on Zacarry Douglas.,30,24
4:59,2546,Justin Carpenter made Free Throw.,31,24
4:46,2428,Raasean Davis made Jumper. Assisted by Jordan Perkins.,31,26
4:27,2546,Denzel Mahoney Turnover.,31,26
4:27,2546,Foul on Denzel Mahoney.,31,26
4:14,2428,Reginald Gardner Jr Turnover.,31,26
4:01,2546,Isaiah Gable made Three Point Jumper. Assisted by Ledarrius Brewer.,34,26
3:34,2428,C.J. Wiggins missed Three Point Jumper.,34,26
3:34,2546,Daniel Simmons Defensive Rebound.,34,26
3:19,2546,Ledarrius Brewer Turnover.,34,26
3:18,2428,Official TV Timeout,34,26
2:57,2428,Reginald Gardner Jr Turnover.,34,26
2:43,2546,Daniel Simmons missed Layup.,34,26
2:43,2546,Milos Vranes Offensive Rebound.,34,26
2:40,2428,Foul on Zacarry Douglas.,34,26
2:40,2546,Milos Vranes made Free Throw.,35,26
2:40,2546,Milos Vranes missed Free Throw.,35,26
2:40,2428,Dominique Reid Defensive Rebound.,35,26
2:24,2428,Jordan Perkins Turnover.,35,26
2:24,2546,Ledarrius Brewer Steal.,35,26
2:22,2428,Foul on Reginald Gardner Jr.,35,26
2:22,2546,Ledarrius Brewer missed Free Throw.,35,26
2:22,2546,Southeast Missouri State Deadball Team Rebound.,35,26
2:22,2546,Ledarrius Brewer missed Free Throw.,35,26
2:22,2428,Dominique Reid Defensive Rebound.,35,26
2:03,2428,Jordan Perkins missed Jumper.,35,26
2:03,2428,Raasean Davis Offensive Rebound.,35,26
1:59,2428,Raasean Davis made Jumper.,35,28
1:43,2546,Isaiah Gable made Three Point Jumper. Assisted by Daniel Simmons.,38,28
1:21,2428,Alston Jones made Jumper.,38,30
0:50,2546,Jonathan Dalton Turnover.,38,30
0:35,2546,Foul on Isaiah Gable.,38,30
0:35,2428,Reginald Gardner Jr made Free Throw.,38,31
0:35,2428,Reginald Gardner Jr made Free Throw.,38,32
0:35,2428,Reginald Gardner Jr made Free Throw.,38,33
0:35,2546,Southeast Missouri State  Timeout,38,33
0:09,2546,Ledarrius Brewer missed Three Point Jumper.,38,33
0:09,2428,Raasean Davis Defensive Rebound.,38,33
0:02,2428,Jordan Perkins missed Layup.,38,33
0:02,2428,Brandon Goldsmith Offensive Rebound.,38,33
0:01,2428,Brandon Goldsmith made Two Point Tip Shot.,38,35
0:00,2428,End of 1st half,38,35
19:49,2546,Denzel Mahoney missed Layup.,38,35
19:49,2546,Ledarrius Brewer Offensive Rebound.,38,35
19:44,2546,Ledarrius Brewer missed Jumper.,38,35
19:44,2428,Raasean Davis Defensive Rebound.,38,35
19:25,2428,Reginald Gardner Jr missed Three Point Jumper.,38,35
19:25,2546,Ledarrius Brewer Defensive Rebound.,38,35
19:06,2546,Jonathan Dalton Turnover.,38,35
18:40,2546,Foul on Jonathan Dalton.,38,35
18:22,2428,Raasean Davis made Jumper. Assisted by C.J. Wiggins.,38,37
18:22,2546,Foul on Denzel Mahoney.,38,37
18:22,2428,Raasean Davis made Free Throw.,38,38
18:00,2546,Milos Vranes missed Three Point Jumper.,38,38
18:00,2428,Reginald Gardner Jr Defensive Rebound.,38,38
17:51,2428,Brandon Goldsmith missed Layup.,38,38
17:51,2546,Justin Carpenter Defensive Rebound.,38,38
17:39,2546,Milos Vranes made Layup. Assisted by Justin Carpenter.,40,38
17:19,2428,Brandon Goldsmith missed Layup.,40,38
17:19,2546,Milos Vranes Block.,40,38
17:17,2546,Justin Carpenter Defensive Rebound.,40,38
17:14,2546,Ledarrius Brewer made Dunk. Assisted by Justin Carpenter.,42,38
16:57,2428,Reginald Gardner Jr missed Jumper.,42,38
16:57,2546,Justin Carpenter Defensive Rebound.,42,38
16:29,2546,Justin Carpenter made Layup.,44,38
16:05,2428,C.J. Wiggins missed Layup.,44,38
16:05,2546,Milos Vranes Defensive Rebound.,44,38
15:48,2546,Justin Carpenter made Layup.,46,38
15:17,2428,Raasean Davis Turnover.,46,38
15:16,2546,Daniel Simmons Steal.,46,38
15:11,2546,Ledarrius Brewer made Dunk. Assisted by Daniel Simmons.,48,38
15:01,2428,North Carolina Central  Timeout,48,38
15:01,2428,Official TV Timeout,48,38
14:44,2428,Pablo Rivas made Dunk. Assisted by Jordan Perkins.,48,40
14:22,2546,Ledarrius Brewer made Jumper.,50,40
14:22,2428,Foul on Jordan Perkins.,50,40
14:22,2428,Official TV Timeout,50,40
14:22,2546,Ledarrius Brewer made Free Throw.,51,40
14:01,2428,Pablo Rivas made Layup. Assisted by Jordan Perkins.,51,42
13:35,2546,Justin Carpenter made Jumper.,53,42
13:10,2428,Reginald Gardner Jr made Three Point Jumper.,53,45
12:52,2428,Foul on Reginald Gardner Jr.,53,45
12:43,2546,Daniel Simmons made Three Point Jumper. Assisted by Jonathan Dalton.,56,45
12:24,2546,Foul on Milos Vranes.,56,45
12:16,2428,Reginald Gardner Jr made Three Point Jumper. Assisted by Pablo Rivas.,56,48
11:45,2546,Daniel Simmons missed Layup.,56,48
11:45,2428,Pablo Rivas Defensive Rebound.,56,48
11:37,2546,Foul on Ray Kowalski.,56,48
11:37,2428,Official TV Timeout,56,48
11:37,2428,Reginald Gardner Jr made Free Throw.,56,49
11:37,2428,Reginald Gardner Jr made Free Throw.,56,50
11:19,2546,Daniel Simmons made Three Point Jumper. Assisted by Jonathan Dalton.,59,50
11:10,2546,Foul on Jonathan Dalton.,59,50
11:05,2546,Foul on Justin Carpenter.,59,50
11:05,2428,Reginald Gardner Jr made Free Throw.,59,51
11:05,2428,Reginald Gardner Jr made Free Throw.,59,52
11:05,2428,Reginald Gardner Jr made Free Throw.,59,53
10:54,2546,Daniel Simmons Turnover.,59,53
10:37,2428,Raasean Davis made Layup. Assisted by Pablo Rivas.,59,55
10:16,2546,Justin Carpenter made Three Point Jumper. Assisted by Jonathan Dalton.,62,55
9:59,2546,Foul on Ray Kowalski.,62,55
9:59,2428,Jordan Perkins made Free Throw.,62,56
9:59,2428,Jordan Perkins missed Free Throw.,62,56
9:59,2546,Denzel Mahoney Defensive Rebound.,62,56
9:47,2546,Ray Kowalski made Three Point Jumper. Assisted by Jonathan Dalton.,65,56
9:26,2428,Jordan Perkins Turnover.,65,56
9:26,2546,Denzel Mahoney Steal.,65,56
9:26,2428,Foul on Jordan Perkins.,65,56
9:06,2546,Milos Vranes made Layup. Assisted by Ledarrius Brewer.,67,56
8:44,2428,Alston Jones made Layup.,67,58
8:30,2546,Denzel Mahoney made Layup.,69,58
8:14,2428,Pablo Rivas missed Three Point Jumper.,69,58
8:14,2428,Jordan Perkins Offensive Rebound.,69,58
8:07,2428,Pablo Rivas made Layup. Assisted by Jordan Perkins.,69,60
8:06,2546,Foul on Milos Vranes.,69,60
8:06,2428,Pablo Rivas made Free Throw.,69,61
7:40,2546,Ledarrius Brewer missed Jumper.,69,61
7:40,2546,Donnie Lewis Offensive Rebound.,69,61
7:33,2428,Foul on Reginald Gardner Jr.,69,61
7:33,2428,Official TV Timeout,69,61
7:24,2546,Milos Vranes missed Layup.,69,61
7:24,2428,Pablo Rivas Block.,69,61
7:22,2428,Pablo Rivas Defensive Rebound.,69,61
7:07,2428,Dominique Reid made Layup. Assisted by Jordan Perkins.,69,63
