South Florida,2026,Appalachian State,58
15:41,2026,Justin Forrest Steal.,7,10
15:39,2026,Justin Forrest made Layup.,7,12
15:39,58,Foul on Tulio Da Silva.,7,12
15:39,2026,Justin Forrest made Free Throw.,7,13
15:22,58,Terrence Samuel Turnover.,7,13
15:20,2026,Ronshad Shabazz Steal.,7,13
15:16,2026,Justin Forrest made Three Point Jumper. Assisted by Ronshad Shabazz.,7,16
15:02,58,Isaiah Manderson made Layup. Assisted by Terrence Samuel.,9,16
14:55,2026,Ronshad Shabazz made Jumper. Assisted by Justin Forrest.,9,18
14:39,58,Payton Banks made Jumper.,11,18
14:23,2026,Justin Forrest missed Three Point Jumper.,11,18
14:23,58,Malik Martin Defensive Rebound.,11,18
14:14,58,Stephan Jiggetts missed Jumper.,11,18
14:14,2026,Ronshad Shabazz Defensive Rebound.,11,18
14:03,2026,Ronshad Shabazz made Dunk.,11,20
13:31,58,Payton Banks missed Three Point Jumper.,11,20
13:31,2026,Jake Wilson Defensive Rebound.,11,20
13:17,2026,Ronshad Shabazz missed Layup.,11,20
13:17,58,Isaiah Manderson Defensive Rebound.,11,20
13:08,58,Stephan Jiggetts missed Layup.,11,20
13:08,2026,Justin Forrest Defensive Rebound.,11,20
13:01,58,Foul on Stephan Jiggetts.,11,20
12:57,2026,Justin Forrest Turnover.,11,20
12:54,58,Henry Beard Steal.,11,20
12:43,58,Payton Banks missed Jumper.,11,20
12:43,2026,Appalachian State Defensive Rebound.,11,20
12:26,2026,Griffin Kinney Turnover.,11,20
12:12,58,Justin Brown made Three Point Jumper. Assisted by Henry Beard.,14,20
11:56,2026,O'Showen Williams missed Three Point Jumper.,14,20
11:56,58,Nikola Scekic Defensive Rebound.,14,20
11:36,58,Malik Martin Turnover.,14,20
11:36,2026,Official TV Timeout,14,20
11:12,2026,Isaac Johnson missed Layup.,14,20
11:12,58,Henry Beard Defensive Rebound.,14,20
10:51,58,Malik Martin missed Three Point Jumper.,14,20
10:51,2026,Craig Hinton Defensive Rebound.,14,20
10:42,2026,Ronshad Shabazz made Layup.,14,22
10:22,58,Terrence Samuel Turnover.,14,22
10:20,2026,O'Showen Williams Steal.,14,22
10:13,2026,Ronshad Shabazz missed Three Point Jumper.,14,22
10:13,58,Malik Martin Defensive Rebound.,14,22
9:53,58,Malik Martin Turnover.,14,22
9:51,2026,Griffin Kinney Steal.,14,22
9:45,2026,Isaac Johnson made Layup. Assisted by Ronshad Shabazz.,14,24
9:24,58,Malik Martin missed Jumper.,14,24
9:24,58,Malik Martin Offensive Rebound.,14,24
9:06,2026,Foul on Ronshad Shabazz.,14,24
8:59,58,Henry Beard missed Layup.,14,24
8:59,2026,Isaac Johnson Defensive Rebound.,14,24
8:50,2026,O'Showen Williams made Three Point Jumper. Assisted by Isaac Johnson.,14,27
8:39,58,South Florida  Timeout,14,27
8:16,58,Stephan Jiggetts Turnover.,14,27
7:54,2026,Justin Forrest missed Layup.,14,27
7:54,58,South Florida Defensive Rebound.,14,27
7:53,2026,Official TV Timeout,14,27
7:53,58,Payton Banks missed Three Point Jumper.,14,27
7:53,2026,Isaac Johnson Defensive Rebound.,14,27
7:53,2026,Isaac Johnson made Layup. Assisted by Bennett Holley.,14,29
7:43,58,Isaiah Manderson missed Jumper.,14,29
7:43,2026,Isaac Johnson Defensive Rebound.,14,29
7:37,2026,Bennett Holley missed Three Point Jumper.,14,29
7:37,58,Payton Banks Defensive Rebound.,14,29
7:24,58,Tulio Da Silva missed Layup.,14,29
7:24,2026,Bennett Holley Defensive Rebound.,14,29
7:10,2026,Tyrell Johnson made Layup. Assisted by Justin Forrest.,14,31
6:42,58,Stephan Jiggetts made Layup.,16,31
6:42,2026,Foul on Bennett Holley.,16,31
6:42,58,Stephan Jiggetts made Free Throw.,17,31
6:40,2026,Zach Cottrell Turnover.,17,31
6:38,58,Stephan Jiggetts Steal.,17,31
6:36,58,Justin Brown missed Layup.,17,31
6:36,2026,Griffin Kinney Block.,17,31
6:32,2026,Griffin Kinney Defensive Rebound.,17,31
6:28,2026,Ronshad Shabazz missed Layup.,17,31
6:28,58,Nikola Scekic Defensive Rebound.,17,31
6:23,58,Payton Banks missed Three Point Jumper.,17,31
6:23,2026,Zach Cottrell Defensive Rebound.,17,31
6:12,2026,Griffin Kinney made Layup. Assisted by Justin Forrest.,17,33
5:46,58,Stephan Jiggetts made Three Point Jumper.,20,33
5:26,2026,Justin Forrest made Three Point Jumper. Assisted by Bennett Holley.,20,36
5:14,58,Nikola Scekic made Jumper.,22,36
5:00,2026,Justin Forrest made Three Point Jumper. Assisted by Ronshad Shabazz.,22,39
3:56,58,South Florida  Timeout,22,39
3:39,2026,Foul on Bennett Holley.,22,39
3:33,58,Payton Banks made Jumper.,24,39
3:10,2026,Justin Forrest missed Three Point Jumper.,24,39
3:10,58,Malik Martin Defensive Rebound.,24,39
3:02,58,Stephan Jiggetts missed Layup.,24,39
3:02,2026,Isaac Johnson Defensive Rebound.,24,39
2:56,2026,Ronshad Shabazz made Jumper.,24,41
2:36,58,Payton Banks made Jumper.,26,41
2:27,2026,Isaac Johnson made Three Point Jumper. Assisted by Ronshad Shabazz.,26,44
2:07,58,Payton Banks made Jumper.,28,44
1:53,2026,Isaac Johnson Turnover.,28,44
1:50,58,Payton Banks Steal.,28,44
1:47,58,Nikola Scekic Turnover.,28,44
1:44,2026,Ronshad Shabazz Steal.,28,44
1:41,2026,O'Showen Williams Turnover.,28,44
1:38,58,Malik Martin Steal.,28,44
1:29,58,Payton Banks made Jumper.,30,44
1:16,2026,Zach Cottrell missed Three Point Jumper.,30,44
1:16,58,Terrence Samuel Defensive Rebound.,30,44
0:54,2026,Foul on Ronshad Shabazz.,30,44
0:54,58,Malik Martin missed Free Throw.,30,44
0:54,58,South Florida Deadball Team Rebound.,30,44
0:54,58,Malik Martin made Free Throw.,31,44
0:34,2026,Craig Hinton Turnover.,31,44
0:34,2026,Foul on Craig Hinton.,31,44
0:18,58,Isaiah Manderson made Layup.,33,44
0:01,2026,Justin Forrest missed Layup.,33,44
0:01,58,Isaiah Manderson Defensive Rebound.,33,44
0:00,2026,End of 1st half,33,44
19:40,2026,Tyrell Johnson made Dunk. Assisted by Justin Forrest.,33,46
19:17,58,Malik Martin missed Jumper.,33,46
19:17,2026,Isaac Johnson Defensive Rebound.,33,46
19:02,2026,Griffin Kinney missed Layup.,33,46
19:02,58,Payton Banks Defensive Rebound.,33,46
18:40,58,Terrence Samuel made Layup.,35,46
18:32,2026,Tyrell Johnson made Three Point Jumper. Assisted by Justin Forrest.,35,49
18:13,58,Payton Banks Turnover.,35,49
18:13,58,Foul on Payton Banks.,35,49
17:56,2026,Tyrell Johnson made Layup.,35,51
17:32,58,Terrence Samuel missed Three Point Jumper.,35,51
17:32,2026,Isaac Johnson Defensive Rebound.,35,51
17:24,2026,Tyrell Johnson missed Three Point Jumper.,35,51
17:24,58,Terrence Samuel Defensive Rebound.,35,51
17:16,2026,Foul on Justin Forrest.,35,51
17:00,2026,Foul on Isaac Johnson.,35,51
17:00,58,Isaiah Manderson made Free Throw.,36,51
17:00,58,Isaiah Manderson made Free Throw.,37,51
16:52,58,Foul on Malik Martin.,37,51
16:38,2026,Ronshad Shabazz made Jumper.,37,53
16:25,58,Isaiah Manderson missed Layup.,37,53
16:25,58,Isaiah Manderson Offensive Rebound.,37,53
16:20,58,Stephan Jiggetts missed Three Point Jumper.,37,53
16:20,2026,Isaac Johnson Defensive Rebound.,37,53
16:06,2026,Isaac Johnson missed Three Point Jumper.,37,53
16:06,58,Payton Banks Defensive Rebound.,37,53
15:52,58,Isaiah Manderson made Jumper. Assisted by Payton Banks.,39,53
15:21,2026,Griffin Kinney made Layup.,39,55
15:05,58,Isaiah Manderson missed Layup.,39,55
15:05,58,Malik Martin Offensive Rebound.,39,55
15:01,58,Malik Martin made Layup.,41,55
14:49,58,Foul on Payton Banks.,41,55
14:46,2026,Jake Wilson made Layup. Assisted by Ronshad Shabazz.,41,57
14:39,58,Payton Banks missed Three Point Jumper.,41,57
14:39,2026,Appalachian State Defensive Rebound.,41,57
14:16,58,Foul on Tulio Da Silva.,41,57
14:03,2026,O'Showen Williams missed Three Point Jumper.,41,57
14:03,58,Payton Banks Defensive Rebound.,41,57
13:55,2026,Foul on Craig Hinton.,41,57
13:33,58,Stephan Jiggetts missed Three Point Jumper.,41,57
13:33,2026,Jake Wilson Defensive Rebound.,41,57
13:25,2026,Ronshad Shabazz made Jumper.,41,59
12:57,58,Justin Brown missed Three Point Jumper.,41,59
12:57,58,Isaiah Manderson Offensive Rebound.,41,59
12:51,58,Isaiah Manderson made Layup.,43,59
12:36,2026,Jake Wilson Turnover.,43,59
12:34,58,Isaiah Manderson Steal.,43,59
12:20,58,Stephan Jiggetts Turnover.,43,59
12:18,2026,Jake Wilson Steal.,43,59
12:15,2026,Tyrell Johnson missed Layup.,43,59
12:15,58,Tulio Da Silva Block.,43,59
12:15,2026,Appalachian State Offensive Rebound.,43,59
11:55,2026,Justin Forrest missed Layup.,43,59
11:55,58,Justin Brown Block.,43,59
11:52,2026,Tyrell Johnson Offensive Rebound.,43,59
11:47,2026,Tyrell Johnson made Layup.,43,61
11:30,58,Payton Banks Turnover.,43,61
11:30,2026,Justin Forrest Steal.,43,61
11:30,2026,Official TV Timeout,43,61
11:30,58,Foul on Justin Brown.,43,61
11:15,2026,Justin Forrest missed Three Point Jumper.,43,61
11:15,58,Terrence Samuel Defensive Rebound.,43,61
11:09,58,Stephan Jiggetts made Three Point Jumper. Assisted by Terrence Samuel.,46,61
10:50,2026,Craig Hinton made Three Point Jumper. Assisted by Tyrell Johnson.,46,64
10:26,2026,Foul on Jake Wilson.,46,64
10:26,58,Isaiah Manderson made Free Throw.,47,64
10:26,58,Isaiah Manderson made Free Throw.,48,64
10:12,2026,O'Showen Williams Turnover.,48,64
10:09,58,Isaiah Manderson Steal.,48,64
10:06,58,Justin Brown missed Three Point Jumper.,48,64
10:06,2026,Jake Wilson Defensive Rebound.,48,64
9:54,58,Foul on Terrence Samuel.,48,64
9:46,2026,Ronshad Shabazz missed Jumper.,48,64
9:46,58,Malik Martin Defensive Rebound.,48,64
9:26,58,Stephan Jiggetts missed Layup.,48,64
9:26,58,Malik Martin Offensive Rebound.,48,64
9:21,58,Malik Martin missed Layup.,48,64
9:21,2026,Craig Hinton Defensive Rebound.,48,64
9:12,2026,Justin Forrest missed Layup.,48,64
9:12,58,Malik Martin Defensive Rebound.,48,64
8:45,58,Malik Martin Turnover.,48,64
8:45,58,Foul on Malik Martin.,48,64
8:45,2026,Appalachian State  Timeout,48,64
8:27,2026,O'Showen Williams missed Three Point Jumper.,48,64
8:27,2026,Tyrell Johnson Offensive Rebound.,48,64
8:22,2026,Tyrell Johnson made Layup.,48,66
7:53,2026,Foul on Tyrell Johnson.,48,66
7:53,58,Malik Martin made Free Throw.,49,66
7:53,58,Malik Martin made Free Throw.,50,66
7:36,2026,Ronshad Shabazz missed Jumper.,50,66
7:36,58,Malik Martin Defensive Rebound.,50,66
7:17,58,Malik Martin made Jumper.,52,66
7:05,2026,O'Showen Williams made Layup.,52,68
6:43,58,Stephan Jiggetts made Jumper.,54,68
6:20,2026,Isaac Johnson Turnover.,54,68
5:58,58,Stephan Jiggetts missed Jumper.,54,68
5:58,2026,Craig Hinton Defensive Rebound.,54,68
5:51,2026,Craig Hinton Turnover.,54,68
5:39,58,Stephan Jiggetts made Jumper.,56,68
5:22,2026,Isaac Johnson missed Three Point Jumper.,56,68
5:22,58,Terrence Samuel Defensive Rebound.,56,68
5:16,58,Terrence Samuel Turnover.,56,68
5:14,2026,O'Showen Williams Steal.,56,68
5:12,58,Foul on Stephan Jiggetts.,56,68
5:12,2026,O'Showen Williams made Free Throw.,56,69
5:12,2026,O'Showen Williams made Free Throw.,56,70
4:57,2026,Foul on Craig Hinton.,56,70
4:57,58,Payton Banks missed Free Throw.,56,70
4:57,58,South Florida Deadball Team Rebound.,56,70
4:57,58,Payton Banks made Free Throw.,57,70
4:40,2026,Ronshad Shabazz made Layup.,57,72
4:10,58,Malik Martin Turnover.,57,72
4:07,2026,Tyrell Johnson Steal.,57,72
3:47,2026,O'Showen Williams made Layup.,57,74
3:47,58,Foul on Justin Brown.,57,74
3:47,2026,Official TV Timeout,57,74
3:47,2026,O'Showen Williams missed Free Throw.,57,74
3:47,2026,O'Showen Williams Offensive Rebound.,57,74
3:45,2026,Ronshad Shabazz made Jumper. Assisted by O'Showen Williams.,57,76
3:21,58,Malik Martin made Jumper. Assisted by Stephan Jiggetts.,59,76
3:18,2026,Appalachian State  Timeout,59,76
2:59,2026,Griffin Kinney made Dunk. Assisted by Tyrell Johnson.,59,78
2:43,58,Isaiah Manderson Turnover.,59,78
2:21,58,Foul on Justin Brown.,59,78
2:21,2026,Justin Forrest made Free Throw.,59,79
2:21,2026,Justin Forrest made Free Throw.,59,80
2:08,58,South Florida Offensive Rebound.,59,80
2:08,58,Payton Banks missed Layup.,59,80
2:04,58,Isaiah Manderson missed Jumper.,59,80
2:04,2026,Griffin Kinney Defensive Rebound.,59,80
1:43,2026,Griffin Kinney made Jumper.,59,82
1:27,58,South Florida  Timeout,59,82
1:12,58,Isaiah Manderson made Jumper.,61,82
1:04,2026,Appalachian State  Timeout,61,82
0:47,2026,Jake Wilson Turnover.,61,82
0:44,58,Malik Martin Steal.,61,82
0:42,58,Malik Martin Turnover.,61,82
0:39,2026,Nick Hough Steal.,61,82
0:37,2026,Nick Hough made Dunk.,61,84
0:28,58,Malik Martin Turnover.,61,84
0:25,2026,Trey Ford Steal.,61,84
0:00,2026,End of Game,61,84
