UC Davis,265,Washington State,302
16:12,265,Robert Franks Block.,50,33
16:12,265,Robert Franks Defensive Rebound.,50,33
15:46,265,Milan Acquaah Turnover.,50,33
15:44,302,TJ Shorts II Steal.,50,33
15:31,302,Michael Onyebalu Turnover.,50,33
15:31,265,Official TV Timeout,50,33
15:10,265,Robert Franks made Three Point Jumper. Assisted by Malachi Flynn.,50,36
14:54,302,A.J. John made Three Point Jumper. Assisted by TJ Shorts II.,53,36
14:38,265,Malachi Flynn missed Layup.,53,36
14:38,302,A.J. John Defensive Rebound.,53,36
14:31,302,Michael Onyebalu Turnover.,53,36
14:30,265,Milan Acquaah Steal.,53,36
14:22,265,Viont'e Daniels missed Three Point Jumper.,53,36
14:22,265,Jeff Pollard Offensive Rebound.,53,36
14:18,265,Malachi Flynn missed Three Point Jumper.,53,36
14:18,302,A.J. John Defensive Rebound.,53,36
13:49,302,A.J. John missed Three Point Jumper.,53,36
13:49,265,Milan Acquaah Defensive Rebound.,53,36
13:44,302,Foul on Garrison Goode.,53,36
13:28,265,Robert Franks made Three Point Jumper.,53,39
13:28,302,Foul on A.J. John.,53,39
13:26,265,Robert Franks missed Free Throw.,53,39
13:26,302,A.J. John Defensive Rebound.,53,39
13:07,302,Chima Moneke made Layup. Assisted by Delveion Jackson.,55,39
12:57,265,Milan Acquaah missed Three Point Jumper.,55,39
12:57,265,Robert Franks Offensive Rebound.,55,39
12:51,265,Robert Franks made Layup.,55,41
12:35,302,Siler Schneider made Jumper.,57,41
12:23,265,Robert Franks made Three Point Jumper. Assisted by Milan Acquaah.,57,44
11:57,265,Foul on Milan Acquaah.,57,44
11:57,265,Official TV Timeout,57,44
11:57,302,TJ Shorts II made Free Throw.,58,44
11:57,302,TJ Shorts II made Free Throw.,59,44
11:33,265,Milan Acquaah made Three Point Jumper.,59,47
11:03,302,Arell Hennings Turnover.,59,47
11:02,265,Viont'e Daniels Steal.,59,47
10:50,265,Jeff Pollard missed Layup.,59,47
10:50,302,Siler Schneider Defensive Rebound.,59,47
10:28,302,Garrison Goode missed Layup.,59,47
10:28,302,Garrison Goode Offensive Rebound.,59,47
10:12,302,Arell Hennings made Three Point Jumper. Assisted by Siler Schneider.,62,47
9:46,265,Foul on Robert Franks.,62,47
9:46,265,Robert Franks Turnover.,62,47
9:28,302,Chima Moneke made Dunk.,64,47
9:10,265,Milan Acquaah missed Layup.,64,47
9:10,302,Chima Moneke Block.,64,47
9:10,302,Garrison Goode Defensive Rebound.,64,47
8:56,302,Arell Hennings missed Jumper.,64,47
8:56,265,Jeff Pollard Block.,64,47
8:56,265,Jeff Pollard Defensive Rebound.,64,47
8:51,265,Robert Franks made Dunk. Assisted by Malachi Flynn.,64,49
8:27,265,Foul on Malachi Flynn.,64,49
8:27,302,Delveion Jackson missed Free Throw.,64,49
8:27,302,UC Davis Deadball Team Rebound.,64,49
8:27,302,Delveion Jackson missed Free Throw.,64,49
8:27,265,Arinze Chidom Defensive Rebound.,64,49
8:15,265,Drick Bernstine missed Layup.,64,49
8:15,302,Garrison Goode Block.,64,49
8:15,302,Garrison Goode Defensive Rebound.,64,49
8:07,302,Rogers Printup missed Three Point Jumper.,64,49
8:07,265,Carter Skaggs Defensive Rebound.,64,49
7:58,265,Malachi Flynn made Three Point Jumper.,64,52
7:35,265,Foul on Arinze Chidom.,64,52
7:35,265,Official TV Timeout,64,52
7:21,302,Garrison Goode made Layup.,66,52
7:06,265,Arinze Chidom missed Layup.,66,52
7:06,302,Chima Moneke Defensive Rebound.,66,52
6:49,302,Siler Schneider made Layup.,68,52
6:49,265,Foul on Carter Skaggs.,68,52
6:48,302,Siler Schneider missed Free Throw.,68,52
6:48,265,Robert Franks Defensive Rebound.,68,52
6:36,265,Malachi Flynn made Three Point Jumper. Assisted by Milan Acquaah.,68,55
6:15,302,Siler Schneider Turnover.,68,55
6:14,265,Malachi Flynn Steal.,68,55
6:13,265,Technical Foul on Washington State.,68,55
6:13,265,Robert Franks made Free Throw.,68,56
6:13,265,Robert Franks made Free Throw.,68,57
6:03,265,Viont'e Daniels missed Three Point Jumper.,68,57
6:03,302,Chima Moneke Defensive Rebound.,68,57
5:38,302,TJ Shorts II made Jumper. Assisted by Chima Moneke.,70,57
5:30,265,Malachi Flynn made Three Point Jumper.,70,60
5:03,302,Siler Schneider missed Three Point Jumper.,70,60
5:03,302,Garrison Goode Offensive Rebound.,70,60
4:44,302,TJ Shorts II missed Layup.,70,60
4:44,265,Robert Franks Block.,70,60
4:44,265,Robert Franks Defensive Rebound.,70,60
4:43,265,Milan Acquaah Turnover.,70,60
4:43,302,Siler Schneider Steal.,70,60
4:31,302,Garrison Goode made Layup.,72,60
4:15,265,KJ Langston missed Three Point Jumper.,72,60
4:15,302,Chima Moneke Defensive Rebound.,72,60
4:04,302,Chima Moneke Turnover.,72,60
4:03,265,Drick Bernstine Steal.,72,60
4:01,265,Drick Bernstine made Layup.,72,62
3:14,302,Siler Schneider missed Jumper.,72,62
3:14,265,Washington State Defensive Rebound.,72,62
3:13,265,Official TV Timeout,72,62
3:12,265,Official TV Timeout,72,62
3:05,265,Malachi Flynn missed Three Point Jumper.,72,62
3:05,302,Chima Moneke Defensive Rebound.,72,62
2:30,302,UC Davis  Turnover.,72,62
2:19,265,Robert Franks missed Three Point Jumper.,72,62
2:19,302,TJ Shorts II Defensive Rebound.,72,62
1:48,302,Garrison Goode made Dunk. Assisted by Siler Schneider.,74,62
1:38,302,Foul on Chima Moneke.,74,62
1:38,265,Malachi Flynn made Free Throw.,74,63
1:38,265,Malachi Flynn made Free Throw.,74,64
1:31,265,Foul on Malachi Flynn.,74,64
1:31,302,Siler Schneider made Free Throw.,75,64
1:31,302,Siler Schneider made Free Throw.,76,64
1:22,265,Malachi Flynn made Three Point Jumper. Assisted by Carter Skaggs.,76,67
1:19,265,Washington State  Timeout,76,67
1:09,265,Foul on Arinze Chidom.,76,67
1:09,302,TJ Shorts II made Free Throw.,77,67
1:09,302,TJ Shorts II missed Free Throw.,77,67
1:09,265,Robert Franks Defensive Rebound.,77,67
1:03,265,Robert Franks Turnover.,77,67
1:03,302,TJ Shorts II Steal.,77,67
1:00,302,TJ Shorts II made Layup.,79,67
0:59,302,UC Davis  Timeout,79,67
0:50,265,Milan Acquaah missed Three Point Jumper.,79,67
0:50,302,Michael Onyebalu Defensive Rebound.,79,67
0:31,265,Foul on Milan Acquaah.,79,67
0:31,302,Chima Moneke made Free Throw.,80,67
0:31,302,Chima Moneke made Free Throw.,81,67
0:23,265,Robert Franks Turnover.,81,67
0:00,265,End of 2nd half,81,67
0:00,265,End of Game,81,67
