Loyola (MD),116,Mt. St. Mary's,2352
10:12,116,Official TV Timeout,11,21
10:02,2352,KaVaughn Scott missed Layup.,11,21
10:02,116,Ryan Gomes Defensive Rebound.,11,21
9:37,116,Donald Carey Turnover.,11,21
9:20,2352,James Fives made Three Point Jumper. Assisted by Isaiah Hart.,14,21
8:59,116,Junior Robinson missed Three Point Jumper.,14,21
8:59,2352,James Fives Defensive Rebound.,14,21
8:50,2352,Isaiah Hart missed Jumper.,14,21
8:50,116,Donald Carey Defensive Rebound.,14,21
8:36,116,Donald Carey missed Three Point Jumper.,14,21
8:36,2352,Isaiah Hart Defensive Rebound.,14,21
8:17,2352,Cam Gregory made Layup.,16,21
7:55,116,Junior Robinson missed Layup.,16,21
7:55,2352,James Fives Defensive Rebound.,16,21
7:33,2352,KaVaughn Scott made Layup. Assisted by Isaiah Hart.,18,21
7:32,116,Mt. St. Mary's  Timeout,18,21
7:32,116,Official TV Timeout,18,21
7:10,116,Greg Alexander made Three Point Jumper. Assisted by Junior Robinson.,18,24
6:48,116,Foul on James West IV.,18,24
6:48,2352,Cam Gregory made Free Throw.,19,24
6:48,2352,Cam Gregory made Free Throw.,20,24
6:41,116,Jonah Antonio missed Three Point Jumper.,20,24
6:41,2352,Chuck Champion Defensive Rebound.,20,24
6:28,2352,Chuck Champion missed Layup.,20,24
6:28,116,Greg Alexander Defensive Rebound.,20,24
6:19,2352,Foul on Chuck Champion.,20,24
6:19,116,Junior Robinson made Free Throw.,20,25
6:19,116,Junior Robinson made Free Throw.,20,26
5:57,2352,James Fives made Jumper.,22,26
5:38,116,Jonah Antonio missed Jumper.,22,26
5:38,2352,KaVaughn Scott Defensive Rebound.,22,26
5:35,116,Foul on Ross Young.,22,26
5:34,2352,KaVaughn Scott made Free Throw.,23,26
5:34,2352,KaVaughn Scott made Free Throw.,24,26
5:21,116,Greg Alexander made Three Point Jumper. Assisted by James West IV.,24,29
5:04,116,Foul on James West IV.,24,29
5:04,2352,James Fives made Free Throw.,25,29
5:04,2352,James Fives made Free Throw.,26,29
4:40,116,Greg Alexander missed Three Point Jumper.,26,29
4:40,2352,KaVaughn Scott Defensive Rebound.,26,29
4:32,116,Foul on Ross Young.,26,29
4:32,2352,Cam Gregory made Free Throw.,27,29
4:32,2352,Cam Gregory made Free Throw.,28,29
4:16,116,Junior Robinson missed Jumper.,28,29
4:16,116,Mt. St. Mary's Deadball Team Rebound.,28,29
4:16,2352,Foul on KaVaughn Scott.,28,29
4:16,116,Ryan Gomes missed Free Throw.,28,29
4:16,2352,KaVaughn Scott Defensive Rebound.,28,29
4:04,2352,Isaiah Hart made Layup.,30,29
3:45,116,Jonah Antonio missed Three Point Jumper.,30,29
3:45,116,Jonah Antonio Offensive Rebound.,30,29
3:40,116,Jonah Antonio made Jumper.,30,31
3:30,2352,Isaiah Hart Turnover.,30,31
3:26,116,Junior Robinson Steal.,30,31
3:25,116,Junior Robinson made Layup.,30,33
3:24,2352,Loyola (MD)  Timeout,30,33
3:24,116,Official TV Timeout,30,33
3:04,2352,Cam Gregory Turnover.,30,33
2:45,116,Junior Robinson missed Layup.,30,33
2:45,116,Ryan Gomes Offensive Rebound.,30,33
2:42,116,Ryan Gomes made Layup.,30,35
2:12,2352,Isaiah Hart Turnover.,30,35
1:54,116,Junior Robinson made Three Point Jumper. Assisted by Donald Carey.,30,38
1:36,2352,Isaiah Hart made Layup.,32,38
1:26,116,Jonah Antonio missed Jumper.,32,38
1:26,2352,Luke Johnson Defensive Rebound.,32,38
1:18,116,Foul on Ryan Gomes.,32,38
1:18,2352,Isaiah Hart made Free Throw.,33,38
1:18,2352,Isaiah Hart made Free Throw.,34,38
1:00,116,Junior Robinson missed Layup.,34,38
1:00,2352,James Fives Defensive Rebound.,34,38
0:55,2352,James Fives missed Layup.,34,38
0:55,2352,Luke Johnson Offensive Rebound.,34,38
0:51,2352,Luke Johnson made Layup.,36,38
0:31,116,Junior Robinson Turnover.,36,38
0:26,2352,Isaiah Hart made Layup. Assisted by Luke Johnson.,38,38
0:02,116,Junior Robinson missed Jumper.,38,38
0:02,116,Mt. St. Mary's Offensive Rebound.,38,38
0:01,116,Jonah Antonio missed Three Point Jumper.,38,38
0:01,2352,James Fives Defensive Rebound.,38,38
0:00,116,End of 1st half,38,38
19:50,2352,Foul on James Fives.,38,38
19:50,2352,James Fives Turnover.,38,38
19:28,116,Junior Robinson made Jumper.,38,40
19:15,116,Foul on Ryan Gomes.,38,40
19:15,2352,Cam Gregory missed Free Throw.,38,40
19:15,2352,Loyola (MD) Deadball Team Rebound.,38,40
19:15,2352,Cam Gregory missed Free Throw.,38,40
19:15,116,Greg Alexander Defensive Rebound.,38,40
19:14,2352,Foul on KaVaughn Scott.,38,40
18:53,116,Junior Robinson made Jumper.,38,42
18:19,2352,James Fives missed Three Point Jumper.,38,42
18:19,2352,Cam Gregory Offensive Rebound.,38,42
18:14,2352,Cam Gregory made Layup.,40,42
18:01,116,Junior Robinson made Three Point Jumper.,40,45
17:24,2352,Isaiah Hart made Layup.,42,45
17:15,2352,Foul on Isaiah Hart.,42,45
17:09,116,Bobby Planutis missed Three Point Jumper.,42,45
17:09,2352,Chuck Champion Defensive Rebound.,42,45
17:01,2352,Chuck Champion missed Layup.,42,45
17:01,116,Bobby Planutis Defensive Rebound.,42,45
16:47,116,Junior Robinson Turnover.,42,45
16:46,2352,Luke Johnson Steal.,42,45
16:43,2352,Isaiah Hart missed Layup.,42,45
16:43,116,Greg Alexander Defensive Rebound.,42,45
16:35,116,Jonah Antonio made Three Point Jumper. Assisted by Donald Carey.,42,48
16:07,2352,Chuck Champion missed Jumper.,42,48
16:07,116,Jonah Antonio Block.,42,48
16:07,2352,Cam Gregory Offensive Rebound.,42,48
16:02,2352,Cam Gregory missed Layup.,42,48
16:02,116,Bobby Planutis Block.,42,48
16:02,2352,Chuck Champion Offensive Rebound.,42,48
15:53,2352,Foul on Chuck Champion.,42,48
15:53,2352,Chuck Champion Turnover.,42,48
15:53,116,Official TV Timeout,42,48
15:34,116,Donald Carey missed Layup.,42,48
15:34,2352,James Fives Defensive Rebound.,42,48
15:16,116,Foul on Ross Young.,42,48
15:11,2352,James Fives made Layup. Assisted by Isaiah Hart.,44,48
14:57,116,Junior Robinson Turnover.,44,48
14:57,2352,Isaiah Hart made Layup.,46,48
14:22,2352,Foul on James Fives.,46,48
14:14,116,Greg Alexander made Dunk. Assisted by Junior Robinson.,46,50
13:56,116,Foul on Jonah Antonio.,46,50
13:48,2352,Isaiah Hart missed Jumper.,46,50
13:48,116,Greg Alexander Defensive Rebound.,46,50
13:21,2352,Foul on Cam Gregory.,46,50
13:13,116,Donald Carey Turnover.,46,50
13:12,2352,Chuck Champion Steal.,46,50
13:08,2352,Chuck Champion missed Layup.,46,50
13:08,116,Bobby Planutis Block.,46,50
13:08,116,Bobby Planutis Defensive Rebound.,46,50
12:45,116,Foul on Donald Carey.,46,50
12:45,116,Donald Carey Turnover.,46,50
12:20,2352,Chuck Champion missed Three Point Jumper.,46,50
12:20,116,Jonah Antonio Defensive Rebound.,46,50
12:04,116,Jonah Antonio made Three Point Jumper. Assisted by Donald Carey.,46,53
11:34,116,Official TV Timeout,46,53
11:32,116,Foul on Bobby Planutis.,46,53
11:32,2352,Cam Gregory made Free Throw.,47,53
11:32,2352,Cam Gregory made Free Throw.,48,53
11:27,116,Donald Carey Turnover.,48,53
11:23,2352,Isaiah Hart made Layup. Assisted by Ian Langendoerfer.,50,53
11:10,116,Mt. St. Mary's  Turnover.,50,53
10:47,2352,Isaiah Hart made Jumper.,52,53
10:35,2352,Foul on Nevell Provo.,52,53
10:35,116,Donald Carey missed Free Throw.,52,53
10:35,2352,Chuck Champion Defensive Rebound.,52,53
10:15,2352,James Fives missed Jumper.,52,53
10:15,116,Mt. St. Mary's Defensive Rebound.,52,53
10:02,2352,Foul on Chuck Champion.,52,53
10:02,116,Donald Carey made Free Throw.,52,54
10:02,116,Donald Carey made Free Throw.,52,55
9:50,2352,Isaiah Hart made Three Point Jumper. Assisted by Ian Langendoerfer.,55,55
9:34,116,Junior Robinson made Layup.,55,57
9:18,116,Foul on Greg Alexander.,55,57
9:13,116,Foul on Junior Robinson.,55,57
9:13,2352,Isaiah Hart made Free Throw.,56,57
9:13,2352,Isaiah Hart missed Free Throw.,56,57
9:13,116,Bobby Planutis Defensive Rebound.,56,57
8:59,116,Junior Robinson missed Layup.,56,57
8:59,2352,Ian Langendoerfer Defensive Rebound.,56,57
8:35,2352,Isaiah Hart made Jumper.,58,57
8:10,116,Ryan Gomes made Dunk. Assisted by Junior Robinson.,58,59
7:47,2352,Cam Gregory missed Jumper.,58,59
7:47,2352,Loyola (MD) Deadball Team Rebound.,58,59
7:46,116,Foul on Bobby Planutis.,58,59
7:46,116,Official TV Timeout,58,59
7:46,2352,KaVaughn Scott made Free Throw.,59,59
7:46,2352,KaVaughn Scott made Free Throw.,60,59
7:24,116,Junior Robinson made Three Point Jumper.,60,62
6:49,2352,Isaiah Hart made Layup.,62,62
6:49,116,Foul on Donald Carey.,62,62
6:49,2352,Isaiah Hart missed Free Throw.,62,62
6:49,116,Greg Alexander Defensive Rebound.,62,62
6:29,116,Ryan Gomes made Dunk. Assisted by Donald Carey.,62,64
6:08,2352,KaVaughn Scott missed Layup.,62,64
6:08,116,Jonah Antonio Defensive Rebound.,62,64
5:47,116,Jonah Antonio missed Three Point Jumper.,62,64
5:47,116,Junior Robinson Offensive Rebound.,62,64
5:30,116,Donald Carey missed Three Point Jumper.,62,64
5:30,2352,Chuck Champion Defensive Rebound.,62,64
5:23,2352,Chuck Champion Turnover.,62,64
5:21,116,Junior Robinson Steal.,62,64
5:06,2352,Foul on KaVaughn Scott.,62,64
5:06,116,Junior Robinson made Free Throw.,62,65
5:06,116,Junior Robinson made Free Throw.,62,66
5:04,116,Foul on Donald Carey.,62,66
5:04,2352,Chuck Champion made Free Throw.,63,66
5:04,2352,Chuck Champion missed Free Throw.,63,66
5:04,116,Donald Carey Defensive Rebound.,63,66
4:38,116,Junior Robinson made Jumper.,63,68
4:07,2352,Cam Gregory missed Layup.,63,68
4:07,116,Jonah Antonio Block.,63,68
4:07,2352,Cam Gregory Offensive Rebound.,63,68
4:06,2352,Cam Gregory made Layup.,65,68
4:06,116,Official TV Timeout,65,68
3:48,116,Ryan Gomes Turnover.,65,68
3:48,116,Official TV Timeout,65,68
3:31,2352,Chuck Champion missed Layup.,65,68
3:31,116,Jonah Antonio Defensive Rebound.,65,68
3:05,116,Donald Carey Turnover.,65,68
2:48,2352,Isaiah Hart missed Jumper.,65,68
2:48,116,Bobby Planutis Defensive Rebound.,65,68
2:35,2352,Foul on Isaiah Hart.,65,68
2:35,116,Junior Robinson missed Free Throw.,65,68
2:35,116,Mt. St. Mary's Deadball Team Rebound.,65,68
2:35,116,Junior Robinson made Free Throw.,65,69
2:22,2352,Cam Gregory missed Layup.,65,69
2:22,2352,Chuck Champion Offensive Rebound.,65,69
2:21,116,Foul on Bobby Planutis.,65,69
2:21,2352,Cam Gregory made Free Throw.,66,69
2:21,2352,Cam Gregory made Free Throw.,67,69
1:58,116,Junior Robinson Turnover.,67,69
1:57,2352,Luke Johnson Steal.,67,69
1:38,2352,Isaiah Hart Turnover.,67,69
1:37,116,Ryan Gomes Steal.,67,69
1:21,116,Greg Alexander missed Three Point Jumper.,67,69
1:21,2352,Cam Gregory Defensive Rebound.,67,69
1:12,2352,Loyola (MD)  Timeout,67,69
1:00,2352,Cam Gregory Turnover.,67,69
0:33,116,Junior Robinson missed Jumper.,67,69
0:33,2352,Cam Gregory Defensive Rebound.,67,69
0:23,2352,Isaiah Hart missed Layup.,67,69
0:23,116,Greg Alexander Block.,67,69
0:23,2352,Loyola (MD) Offensive Rebound.,67,69
0:11,2352,Chuck Champion made Layup.,69,69
0:01,116,Junior Robinson missed Three Point Jumper.,69,69
0:01,116,James West IV Offensive Rebound.,69,69
0:00,116,End of 2nd half,69,69
4:33,116,Donald Carey missed Jumper.,69,69
4:33,2352,Luke Johnson Defensive Rebound.,69,69
4:10,2352,Chuck Champion missed Jumper.,69,69
4:10,2352,James Fives Offensive Rebound.,69,69
4:07,2352,James Fives made Layup.,71,69
3:50,116,Greg Alexander missed Three Point Jumper.,71,69
3:50,2352,Isaiah Hart Defensive Rebound.,71,69
3:31,116,Foul on Junior Robinson.,71,69
3:31,2352,Chuck Champion made Free Throw.,72,69
3:31,2352,Chuck Champion made Free Throw.,73,69
3:26,116,Mt. St. Mary's  Timeout,73,69
3:12,2352,Foul on James Fives.,73,69
3:12,116,Junior Robinson made Free Throw.,73,70
3:12,116,Junior Robinson made Free Throw.,73,71
2:49,2352,Isaiah Hart Turnover.,73,71
2:25,116,Junior Robinson missed Layup.,73,71
2:25,2352,Isaiah Hart Defensive Rebound.,73,71
2:01,2352,Luke Johnson missed Layup.,73,71
2:01,116,Greg Alexander Block.,73,71
2:01,116,Junior Robinson Defensive Rebound.,73,71
1:38,2352,Foul on Chuck Champion.,73,71
1:38,116,Junior Robinson made Free Throw.,73,72
1:38,116,Junior Robinson made Free Throw.,73,73
1:38,116,Junior Robinson made Free Throw.,73,74
1:24,2352,Chuck Champion made Layup.,75,74
0:59,2352,Foul on Chuck Champion.,75,74
0:59,116,Junior Robinson made Free Throw.,75,75
0:59,116,Junior Robinson made Free Throw.,75,76
0:45,2352,Isaiah Hart Turnover.,75,76
0:41,116,Donald Carey made Layup.,75,78
0:41,2352,Loyola (MD)  Timeout,75,78
0:41,2352,Luke Johnson Turnover.,75,78
0:21,116,Ryan Gomes missed Jumper.,75,78
0:21,2352,Cam Gregory Defensive Rebound.,75,78
0:14,2352,Isaiah Hart missed Layup.,75,78
0:14,116,Ryan Gomes Defensive Rebound.,75,78
0:08,116,Ryan Gomes Turnover.,75,78
0:07,2352,KaVaughn Scott Steal.,75,78
0:06,2352,James Fives missed Three Point Jumper.,75,78
0:06,116,Junior Robinson Defensive Rebound.,75,78
0:03,2352,Foul on Luke Johnson.,75,78
0:03,116,Junior Robinson made Free Throw.,75,79
0:03,116,Junior Robinson made Free Throw.,75,80
0:00,116,End of 1st overtime,75,80
