South Alabama,2229,Florida Intl,6
10:23,2229,Brian Beard Jr. made Free Throw.,17,27
10:06,6,Dederick Lee made Three Point Jumper. Assisted by Trhae Mitchell.,20,27
9:38,2229,Eric Lockett missed Jumper.,20,27
9:38,6,Trhae Mitchell Block.,20,27
9:36,6,Dederick Lee Defensive Rebound.,20,27
9:24,2229,Foul on Ronald Whitaker.,20,27
9:16,6,Trhae Mitchell Turnover.,20,27
9:14,2229,Brian Beard Jr. Steal.,20,27
9:11,2229,Trejon Jacob made Layup. Assisted by Brian Beard Jr..,20,29
8:43,6,Herb McGee missed Three Point Jumper.,20,29
8:43,2229,Jay Harvey Defensive Rebound.,20,29
8:31,2229,Willy Nunez Jr. made Three Point Jumper. Assisted by Jay Harvey.,20,32
8:09,6,Trhae Mitchell missed Three Point Jumper.,20,32
8:09,2229,Brian Beard Jr. Defensive Rebound.,20,32
8:01,2229,Trejon Jacob made Three Point Jumper. Assisted by Brian Beard Jr..,20,35
7:57,6,South Alabama  Timeout,20,35
7:56,6,Dederick Lee missed Three Point Jumper.,20,35
7:56,6,South Alabama Offensive Rebound.,20,35
7:51,6,Josh Ajayi made Layup. Assisted by A.J. Caldwell.,22,35
7:51,2229,Foul on Jay Harvey.,22,35
7:45,2229,Trejon Jacob made Three Point Jumper.,22,38
7:38,6,Herb McGee missed Three Point Jumper.,22,38
7:38,6,Nick Davis Offensive Rebound.,22,38
7:32,6,Josh Ajayi made Three Point Jumper. Assisted by Dederick Lee.,25,38
7:08,2229,Trejon Jacob made Layup. Assisted by Ronald Whitaker.,25,40
6:47,2229,Foul on Willy Nunez Jr..,25,40
6:47,6,Josh Ajayi missed Free Throw.,25,40
6:47,6,South Alabama Deadball Team Rebound.,25,40
6:47,6,Josh Ajayi made Free Throw.,26,40
5:49,2229,Trejon Jacob missed Layup.,26,40
5:49,6,Nick Davis Defensive Rebound.,26,40
5:42,6,Rodrick Sikes missed Three Point Jumper.,26,40
5:42,2229,Florida International Defensive Rebound.,26,40
5:39,6,Foul on Josh Ajayi.,26,40
5:28,2229,Eric Lockett missed Jumper.,26,40
5:28,6,Josh Ajayi Defensive Rebound.,26,40
5:23,6,Rodrick Sikes missed Layup.,26,40
5:23,2229,Trejon Jacob Block.,26,40
5:21,2229,Cordell Veira Defensive Rebound.,26,40
5:18,2229,Eric Lockett missed Layup.,26,40
5:18,6,Trhae Mitchell Defensive Rebound.,26,40
5:11,6,Rodrick Sikes missed Layup.,26,40
5:11,6,Trhae Mitchell Offensive Rebound.,26,40
4:55,6,Josh Ajayi missed Layup.,26,40
4:55,2229,Elhadji Dieng Block.,26,40
4:53,6,South Alabama Offensive Rebound.,26,40
4:47,6,Trhae Mitchell Turnover.,26,40
4:46,2229,Trejon Jacob Steal.,26,40
4:41,2229,Willy Nunez Jr. made Layup. Assisted by Eric Lockett.,26,42
4:29,2229,Foul on Brian Beard Jr..,26,42
4:29,6,Dederick Lee missed Free Throw.,26,42
4:29,2229,Trejon Jacob Defensive Rebound.,26,42
4:20,2229,Elhadji Dieng made Layup. Assisted by Willy Nunez Jr..,26,44
4:05,6,Josh Ajayi made Layup.,28,44
3:45,2229,Trejon Jacob missed Three Point Jumper.,28,44
3:45,6,Nick Davis Defensive Rebound.,28,44
3:27,6,Trhae Mitchell Turnover.,28,44
3:27,2229,Official TV Timeout,28,44
3:08,2229,Brian Beard Jr. missed Three Point Jumper.,28,44
3:08,6,Rodrick Sikes Defensive Rebound.,28,44
2:49,6,Joe Thompson Turnover.,28,44
2:47,2229,Trejon Jacob Steal.,28,44
2:46,2229,Trejon Jacob missed Layup.,28,44
2:46,6,Joe Thompson Block.,28,44
2:44,2229,Willy Nunez Jr. Offensive Rebound.,28,44
2:41,2229,Eric Lockett Turnover.,28,44
2:39,6,Josh Ajayi Steal.,28,44
2:35,2229,Foul on Brian Beard Jr..,28,44
2:19,6,John Pettway missed Free Throw.,28,44
2:19,6,South Alabama Deadball Team Rebound.,28,44
2:19,6,John Pettway missed Free Throw.,28,44
2:19,2229,Eric Lockett Defensive Rebound.,28,44
1:50,2229,Willy Nunez Jr. made Three Point Jumper. Assisted by Cordell Veira.,28,47
1:19,6,Joe Thompson missed Jumper.,28,47
1:19,2229,Eric Lockett Defensive Rebound.,28,47
1:17,6,Foul on Trhae Mitchell.,28,47
1:05,6,Foul on Nick Davis.,28,47
1:05,2229,Willy Nunez Jr. missed Free Throw.,28,47
1:05,2229,Florida International Deadball Team Rebound.,28,47
1:05,2229,Willy Nunez Jr. missed Free Throw.,28,47
1:05,6,Josh Ajayi Defensive Rebound.,28,47
0:49,6,Josh Ajayi made Jumper. Assisted by John Pettway.,30,47
0:18,2229,Willy Nunez Jr. missed Three Point Jumper.,30,47
0:18,6,Josh Ajayi Defensive Rebound.,30,47
0:14,2229,Foul on Jay Harvey.,30,47
0:14,6,Rodrick Sikes made Free Throw.,31,47
0:14,6,Rodrick Sikes made Free Throw.,32,47
0:01,2229,Eric Lockett made Jumper.,32,49
0:00,2229,End of 1st half,30,52
20:00,6,Rodrick Sikes Turnover.,32,49
19:48,6,Nick Davis missed Three Point Jumper.,32,49
19:48,2229,Trejon Jacob Defensive Rebound.,32,49
19:18,2229,Brian Beard Jr. missed Three Point Jumper.,32,49
19:18,6,Josh Ajayi Defensive Rebound.,32,49
18:58,6,Josh Ajayi missed Three Point Jumper.,32,49
18:58,2229,Hassan Hussein Defensive Rebound.,32,49
18:42,2229,Hassan Hussein made Jumper. Assisted by Eric Lockett.,32,51
18:21,6,Nick Davis Turnover.,32,51
18:20,2229,Brian Beard Jr. Steal.,32,51
18:12,6,Foul on Nick Davis.,32,51
18:12,2229,Technical Foul on Florida International.,32,51
18:12,2229,Eric Lockett made Free Throw.,32,52
18:12,2229,Eric Lockett missed Free Throw.,32,52
18:12,2229,Florida International Deadball Team Rebound.,32,52
18:07,2229,Brian Beard Jr. missed Layup.,32,52
18:07,6,Herb McGee Block.,32,52
18:07,2229,Florida International Offensive Rebound.,32,52
17:58,2229,Trejon Jacob missed Three Point Jumper.,32,52
17:58,6,South Alabama Defensive Rebound.,32,52
17:43,6,Nick Davis Turnover.,32,52
17:42,2229,Hassan Hussein Steal.,32,52
17:28,2229,Hassan Hussein missed Layup.,32,52
17:28,6,Nick Davis Block.,32,52
17:26,6,Nick Davis Defensive Rebound.,32,52
17:16,6,Rodrick Sikes missed Three Point Jumper.,32,52
17:16,2229,Brian Beard Jr. Defensive Rebound.,32,52
16:45,6,Foul on Herb McGee.,32,52
16:45,2229,Hassan Hussein made Free Throw.,32,53
16:45,2229,Hassan Hussein made Free Throw.,32,54
16:33,2229,Foul on Elhadji Dieng.,32,54
16:24,6,Josh Ajayi made Layup.,34,54
16:02,2229,Trejon Jacob missed Three Point Jumper.,34,54
16:02,2229,Hassan Hussein Offensive Rebound.,34,54
15:57,2229,Hassan Hussein missed Layup.,34,54
15:57,6,Trhae Mitchell Defensive Rebound.,34,54
15:41,6,Herb McGee Turnover.,34,54
15:41,2229,Official TV Timeout,34,54
15:34,2229,Foul on Hassan Hussein.,34,54
15:12,6,Trhae Mitchell Turnover.,34,54
14:53,2229,Jay Harvey missed Jumper.,34,54
14:53,6,Trhae Mitchell Defensive Rebound.,34,54
14:44,6,Rodrick Sikes Turnover.,34,54
14:44,2229,Willy Nunez Jr. Steal.,34,54
14:41,2229,Brian Beard Jr. missed Layup.,34,54
14:41,6,Joe Thompson Defensive Rebound.,34,54
14:29,2229,Foul on Jay Harvey.,34,54
14:29,6,Joe Thompson made Free Throw.,35,54
14:29,6,Joe Thompson missed Free Throw.,35,54
14:29,2229,Eric Lockett Defensive Rebound.,35,54
14:19,2229,Willy Nunez Jr. missed Three Point Jumper.,35,54
14:19,6,Rodrick Sikes Defensive Rebound.,35,54
14:10,6,Rodrick Sikes made Layup.,37,54
13:56,2229,Florida International  Timeout,37,54
13:40,6,Foul on Dederick Lee.,37,54
13:40,2229,Brian Beard Jr. missed Free Throw.,37,54
13:40,6,Joe Thompson Defensive Rebound.,37,54
13:37,2229,Brian Beard Jr. made Free Throw.,37,55
13:24,6,Dederick Lee missed Three Point Jumper.,37,55
13:24,6,South Alabama Offensive Rebound.,37,55
13:09,6,Jordan Andrews missed Jumper.,37,55
13:00,2229,Eric Lockett missed Layup.,37,55
13:00,6,A.J. Caldwell Defensive Rebound.,37,55
12:57,2229,Brian Beard Jr. Steal.,37,55
12:57,2229,Trejon Jacob made Layup. Assisted by Brian Beard Jr..,37,57
12:57,6,Kevin Morris made Layup.,39,57
12:27,6,Josh Ajayi made Layup. Assisted by Josh Ajayi.,41,57
12:26,2229,Foul on Eric Lockett.,41,57
12:18,2229,Eric Lockett made Layup.,41,59
12:05,6,Josh Ajayi missed Jumper.,41,59
12:05,2229,Jay Harvey Defensive Rebound.,41,59
11:56,2229,Trejon Jacob made Three Point Jumper. Assisted by Eric Lockett.,41,62
11:07,6,Jordan Andrews missed Three Point Jumper.,41,62
11:07,2229,Willy Nunez Jr. Defensive Rebound.,41,62
10:56,2229,Willy Nunez Jr. made Three Point Jumper. Assisted by Eric Lockett.,41,65
10:39,6,Herb McGee made Three Point Jumper. Assisted by Dederick Lee.,44,65
10:28,6,Foul on Josh Ajayi.,44,65
10:28,2229,Ronald Whitaker missed Free Throw.,44,65
10:28,2229,Florida International Deadball Team Rebound.,44,65
10:28,2229,Jay Harvey made Free Throw.,44,66
10:16,6,Herb McGee made Three Point Jumper. Assisted by John Pettway.,47,66
10:02,6,Foul on Herb McGee.,47,66
9:44,2229,Eric Lockett made Jumper.,47,68
9:35,2229,Foul on Willy Nunez Jr..,47,68
9:35,6,Nick Davis made Free Throw.,48,68
9:35,6,Nick Davis missed Free Throw.,48,68
9:35,2229,Eric Lockett Defensive Rebound.,48,68
9:29,6,Foul on Herb McGee.,48,68
9:16,2229,Brian Beard Jr. made Free Throw.,48,69
9:13,2229,Brian Beard Jr. made Free Throw.,48,70
8:59,6,John Pettway missed Layup.,48,70
8:59,2229,Willy Nunez Jr. Block.,48,70
8:57,2229,Eric Lockett Defensive Rebound.,48,70
8:53,2229,Ronald Whitaker made Layup. Assisted by Eric Lockett.,48,72
8:37,6,Nick Davis Turnover.,48,72
8:37,2229,Ronald Whitaker Steal.,48,72
8:26,2229,Willy Nunez Jr. missed Three Point Jumper.,48,72
8:26,6,Herb McGee Defensive Rebound.,48,72
8:18,6,John Pettway made Layup. Assisted by Herb McGee.,50,72
8:18,2229,Foul on Jay Harvey.,50,72
8:16,6,John Pettway made Free Throw.,51,72
7:51,2229,Eric Lockett missed Jumper.,51,72
7:51,6,Trhae Mitchell Defensive Rebound.,51,72
7:45,6,Trhae Mitchell missed Three Point Jumper.,51,72
7:45,2229,Ronald Whitaker Defensive Rebound.,51,72
7:19,2229,Brian Beard Jr. missed Layup.,51,72
7:19,2229,Jay Harvey Offensive Rebound.,51,72
7:17,2229,Jay Harvey missed Layup.,51,72
7:17,6,Josh Ajayi Defensive Rebound.,51,72
7:13,2229,Foul on Jay Harvey.,51,72
7:13,6,Josh Ajayi made Free Throw.,52,72
7:13,6,Josh Ajayi missed Free Throw.,52,72
7:13,2229,Ronald Whitaker Defensive Rebound.,52,72
7:10,6,Foul on A.J. Caldwell.,52,72
7:10,2229,Elhadji Dieng missed Free Throw.,52,72
7:10,2229,Florida International Deadball Team Rebound.,52,72
7:10,2229,Elhadji Dieng missed Free Throw.,52,72
7:10,6,South Alabama Defensive Rebound.,52,72
7:10,6,John Pettway made Jumper. Assisted by Rodrick Sikes.,54,72
6:58,2229,Ronald Whitaker missed Three Point Jumper.,54,72
6:58,6,John Pettway Defensive Rebound.,54,72
6:50,6,A.J. Caldwell made Layup. Assisted by John Pettway.,56,72
6:15,6,South Alabama  Timeout,56,72
6:01,2229,Hassan Hussein made Jumper.,56,74
5:44,6,Josh Ajayi missed Layup.,56,74
5:44,2229,Hassan Hussein Defensive Rebound.,56,74
5:38,2229,Eric Lockett made Layup.,56,76
5:28,2229,Foul on Hassan Hussein.,56,76
5:28,6,Rodrick Sikes made Free Throw.,57,76
5:28,6,Rodrick Sikes missed Free Throw.,57,76
5:28,2229,Trejon Jacob Defensive Rebound.,57,76
5:17,2229,Brian Beard Jr. made Layup.,57,78
5:12,6,Foul on Rozelle Nix.,57,78
5:00,2229,Brian Beard Jr. made Free Throw.,57,79
4:44,6,Rozelle Nix missed Layup.,57,79
4:44,2229,Hassan Hussein Block.,57,79
4:42,2229,Trejon Jacob Defensive Rebound.,57,79
4:40,2229,Eric Lockett made Layup. Assisted by Hassan Hussein.,57,81
4:23,2229,Foul on Hassan Hussein.,57,81
4:23,6,Rozelle Nix missed Free Throw.,57,81
4:23,2229,Brian Beard Jr. Defensive Rebound.,57,81
4:15,2229,Brian Beard Jr. missed Three Point Jumper.,57,81
4:15,6,John Pettway Block.,57,81
4:14,2229,Brian Beard Jr. Offensive Rebound.,57,81
4:08,2229,Willy Nunez Jr. missed Three Point Jumper.,57,81
4:08,6,Trhae Mitchell Defensive Rebound.,57,81
4:00,6,Rodrick Sikes missed Layup.,57,81
4:00,6,A.J. Caldwell Offensive Rebound.,57,81
3:51,6,Rodrick Sikes missed Three Point Jumper.,57,81
3:51,2229,Willy Nunez Jr. Defensive Rebound.,57,81
3:44,2229,Willy Nunez Jr. missed Three Point Jumper.,57,81
3:44,6,A.J. Caldwell Defensive Rebound.,57,81
3:28,6,A.J. Caldwell Turnover.,57,81
3:26,2229,Brian Beard Jr. Steal.,57,81
3:22,2229,Official TV Timeout,57,81
3:22,6,Foul on Rozelle Nix.,57,81
3:22,2229,Hassan Hussein made Free Throw.,57,82
3:22,2229,Hassan Hussein made Free Throw.,57,83
3:10,6,A.J. Caldwell missed Three Point Jumper.,57,83
3:10,2229,Trejon Jacob Defensive Rebound.,57,83
3:04,2229,Trejon Jacob missed Three Point Jumper.,57,83
3:04,2229,Isaiah Banks Offensive Rebound.,57,83
2:58,2229,Florida International  Timeout,57,83
2:43,2229,Cordell Veira missed Layup.,57,83
2:43,6,Joe Thompson Defensive Rebound.,57,83
2:37,6,A.J. Caldwell missed Three Point Jumper.,57,83
2:37,6,Joe Thompson Offensive Rebound.,57,83
2:15,6,A.J. Caldwell missed Three Point Jumper.,57,83
2:15,2229,Isaiah Banks Defensive Rebound.,57,83
1:48,2229,Cordell Veira missed Layup.,57,83
1:48,6,Rozelle Nix Defensive Rebound.,57,83
1:36,6,Ethan Haslam Turnover.,57,83
1:35,2229,Eric Lockett Steal.,57,83
1:32,2229,Eric Lockett made Layup. Assisted by Isaiah Banks.,57,85
0:55,6,Rozelle Nix made Layup.,59,85
