Texas State,2277,Houston Baptist,326
18:58,326,Alex Peacock Offensive Rebound.,30,38
18:54,326,Alex Peacock missed Jumper.,30,38
18:54,326,Nijal Pearson Offensive Rebound.,30,38
18:52,2277,Foul on David Caraher.,30,38
18:52,326,Nijal Pearson made Free Throw.,31,38
18:52,326,Nijal Pearson missed Free Throw.,31,38
18:52,2277,Josh Ibarra Defensive Rebound.,31,38
18:42,2277,Braxton Bonds made Layup. Assisted by Ian DuBose.,31,40
18:41,326,Foul on Marlin Davis.,31,40
18:41,2277,Braxton Bonds missed Free Throw.,31,40
18:41,326,Alex Peacock Defensive Rebound.,31,40
18:20,326,Alex Peacock missed Three Point Jumper.,31,40
18:20,2277,Ian DuBose Defensive Rebound.,31,40
18:05,2277,William Gates Jr. made Layup. Assisted by Braxton Bonds.,31,42
17:45,326,Tyler Blount missed Three Point Jumper.,31,42
17:45,2277,David Caraher Defensive Rebound.,31,42
17:19,2277,Braxton Bonds Turnover.,31,42
16:56,2277,Foul on William Gates Jr..,31,42
16:48,326,Nijal Pearson made Layup.,33,42
16:27,326,Foul on Alex Peacock.,33,42
16:27,2277,David Caraher missed Free Throw.,33,42
16:27,2277,Houston Baptist Deadball Team Rebound.,33,42
16:27,2277,David Caraher made Free Throw.,33,43
16:14,326,Nijal Pearson missed Jumper.,33,43
16:14,2277,Josh Ibarra Block.,33,43
16:12,2277,Ian DuBose Defensive Rebound.,33,43
15:38,2277,Ian DuBose missed Jumper.,33,43
15:38,2277,Josh Ibarra Offensive Rebound.,33,43
15:34,2277,Josh Ibarra missed Jumper.,33,43
15:34,2277,Jalon Gates Offensive Rebound.,33,43
15:31,2277,Josh Ibarra made Layup. Assisted by Jalon Gates.,33,45
15:14,326,Nijal Pearson missed Jumper.,33,45
15:14,2277,David Caraher Defensive Rebound.,33,45
15:04,2277,Ian DuBose made Layup. Assisted by Braxton Bonds.,33,47
14:40,326,Marlin Davis made Layup.,35,47
14:20,2277,Philip McKenzie missed Three Point Jumper.,35,47
14:20,2277,Josh Ibarra Offensive Rebound.,35,47
14:16,2277,Josh Ibarra missed Jumper.,35,47
14:16,326,Nijal Pearson Defensive Rebound.,35,47
14:09,326,Nijal Pearson missed Layup.,35,47
14:09,2277,Josh Ibarra Block.,35,47
14:09,326,Texas State Offensive Rebound.,35,47
14:07,2277,Official TV Timeout,35,47
13:46,326,Nijal Pearson missed Jumper.,35,47
13:46,2277,Josh Ibarra Block.,35,47
13:45,2277,Josh Ibarra Defensive Rebound.,35,47
13:35,2277,Josh Ibarra Turnover.,35,47
13:12,326,Tre'Larenz Nottingham missed Three Point Jumper.,35,47
13:12,2277,Josh Ibarra Defensive Rebound.,35,47
13:02,2277,Ian DuBose Turnover.,35,47
12:44,326,Deris Duncan made Jumper.,37,47
12:17,2277,Foul on Philip McKenzie.,37,47
12:17,2277,Philip McKenzie Turnover.,37,47
11:58,326,Marlin Davis missed Three Point Jumper.,37,47
11:58,2277,Josh Ibarra Defensive Rebound.,37,47
11:49,2277,Jalon Gates made Three Point Jumper. Assisted by Braxton Bonds.,37,50
11:26,326,Nijal Pearson missed Three Point Jumper.,37,50
11:26,326,Tre'Larenz Nottingham Offensive Rebound.,37,50
11:20,326,Deris Duncan made Three Point Jumper. Assisted by Tre'Larenz Nottingham.,40,50
11:04,2277,Official TV Timeout,40,50
10:53,2277,William Gates Jr. made Layup. Assisted by Josh Ibarra.,40,52
10:23,326,Tre'Larenz Nottingham missed Layup.,40,52
10:23,2277,Ian DuBose Defensive Rebound.,40,52
10:17,2277,Ian DuBose made Layup.,40,54
9:55,326,Nijal Pearson Turnover.,40,54
9:54,2277,David Caraher Steal.,40,54
9:48,326,Foul on Tre'Larenz Nottingham.,40,54
9:39,2277,William Gates Jr. made Jumper.,40,56
9:18,2277,Foul on Ian DuBose.,40,56
9:18,326,Nijal Pearson missed Free Throw.,40,56
9:18,326,Texas State Deadball Team Rebound.,40,56
9:18,326,Nijal Pearson missed Free Throw.,40,56
9:18,2277,Josh Ibarra Defensive Rebound.,40,56
8:57,2277,Josh Ibarra missed Jumper.,40,56
8:57,326,Nijal Pearson Defensive Rebound.,40,56
8:33,326,Immanuel King missed Layup.,40,56
8:33,326,Alex Peacock Offensive Rebound.,40,56
8:31,2277,Foul on David Caraher.,40,56
8:31,326,Alex Peacock missed Free Throw.,40,56
8:31,326,Texas State Deadball Team Rebound.,40,56
8:31,326,Alex Peacock made Free Throw.,41,56
8:12,2277,David Caraher made Layup.,41,58
7:46,326,Immanuel King missed Layup.,41,58
7:45,2277,Edward Hardt Defensive Rebound.,41,58
7:31,2277,Ian DuBose missed Layup.,41,58
7:31,326,Immanuel King Defensive Rebound.,41,58
7:30,2277,Official TV Timeout,41,58
7:17,326,Reggie Miller Turnover.,41,58
7:17,2277,David Caraher Turnover.,41,58
7:15,326,Nijal Pearson Steal.,41,58
7:14,326,Nijal Pearson made Layup.,43,58
7:06,2277,Ian DuBose made Layup.,43,60
6:54,326,Nijal Pearson missed Jumper.,43,60
6:54,2277,Ian DuBose Defensive Rebound.,43,60
6:46,2277,William Gates Jr. made Layup. Assisted by Oliver Lynch-Daniels.,43,62
6:31,326,Deris Duncan missed Three Point Jumper.,43,62
6:31,326,Nijal Pearson Offensive Rebound.,43,62
6:28,2277,Foul on Oliver Lynch-Daniels.,43,62
6:28,326,Nijal Pearson missed Free Throw.,43,62
6:28,326,Texas State Deadball Team Rebound.,43,62
6:28,326,Nijal Pearson made Free Throw.,44,62
6:04,2277,Braxton Bonds Turnover.,44,62
5:54,326,Alex Peacock Turnover.,44,62
5:54,2277,Ian DuBose Steal.,44,62
5:47,2277,William Gates Jr. Turnover.,44,62
5:36,326,Nijal Pearson missed Layup.,44,62
5:36,2277,David Caraher Defensive Rebound.,44,62
5:24,2277,Josh Ibarra Turnover.,44,62
5:11,326,Marlin Davis missed Three Point Jumper.,44,62
5:11,2277,Ian DuBose Defensive Rebound.,44,62
5:09,326,Foul on Eric Terry.,44,62
4:40,2277,William Gates Jr. made Three Point Jumper. Assisted by Josh Ibarra.,44,65
4:24,326,Eric Terry Turnover.,44,65
4:23,2277,David Caraher Steal.,44,65
4:16,2277,Foul on Ian DuBose.,44,65
4:16,2277,Ian DuBose Turnover.,44,65
4:00,326,Nijal Pearson missed Three Point Jumper.,44,65
4:00,2277,Josh Ibarra Defensive Rebound.,44,65
3:34,2277,David Caraher missed Three Point Jumper.,44,65
3:34,2277,Josh Ibarra Offensive Rebound.,44,65
3:32,2277,Josh Ibarra made Two Point Tip Shot.,44,67
3:14,326,Marlin Davis made Layup.,46,67
3:11,326,Texas State  Timeout,46,67
2:54,2277,Braxton Bonds missed Layup.,46,67
2:54,326,Marlin Davis Defensive Rebound.,46,67
2:50,326,Quentin Scott Turnover.,46,67
2:33,2277,William Gates Jr. missed Layup.,46,67
2:33,2277,Josh Ibarra Offensive Rebound.,46,67
2:32,2277,Josh Ibarra made Two Point Tip Shot.,46,69
2:18,2277,Foul on David Caraher.,46,69
2:18,326,Eric Terry made Free Throw.,47,69
2:18,326,Eric Terry made Free Throw.,48,69
1:54,2277,William Gates Jr. missed Three Point Jumper.,48,69
1:54,2277,Josh Ibarra Offensive Rebound.,48,69
1:42,2277,Braxton Bonds Turnover.,48,69
1:34,2277,Foul on Ian DuBose.,48,69
1:34,326,Tre'Larenz Nottingham made Free Throw.,49,69
1:34,326,Tre'Larenz Nottingham made Free Throw.,50,69
1:07,2277,Ian DuBose missed Three Point Jumper.,50,69
1:07,326,Quentin Scott Defensive Rebound.,50,69
0:55,326,Reggie Miller Turnover.,50,69
0:29,2277,Reece Spencer Turnover.,50,69
0:28,326,Tre'Larenz Nottingham Steal.,50,69
0:25,326,Shelby Adams missed Layup.,50,69
0:25,2277,Josh Ibarra Defensive Rebound.,50,69
0:18,2277,David Caraher made Layup. Assisted by Josh Ibarra.,50,71
0:14,2277,Foul on Braxton Bonds.,50,71
0:14,326,Reggie Miller made Free Throw.,51,71
0:14,326,Reggie Miller made Free Throw.,52,71
