Green Bay,2057,Belmont,2739
10:21,2057,Tyler Hadden Turnover.,12,11
10:21,2739,Khalil Small Steal.,12,11
10:19,2739,Khalil Small missed Layup.,12,11
10:19,2057,Dylan Windler Defensive Rebound.,12,11
9:56,2057,Tyler Hadden missed Three Point Jumper.,12,11
9:56,2739,T.J. Parham Defensive Rebound.,12,11
9:36,2739,PJ Pipes missed Three Point Jumper.,12,11
9:36,2057,Tyler Hadden Defensive Rebound.,12,11
9:26,2057,Burton Sampson missed Three Point Jumper.,12,11
9:26,2057,Tyler Hadden Offensive Rebound.,12,11
9:23,2739,Foul on Manny Patterson.,12,11
9:23,2057,Tyler Hadden missed Free Throw.,12,11
9:23,2739,PJ Pipes Defensive Rebound.,12,11
9:14,2739,David Jesperson made Three Point Jumper. Assisted by Khalil Small.,15,11
9:00,2739,Foul on Sukhjot Bains.,15,11
9:00,2057,Amanze Egekeze made Free Throw.,15,12
9:00,2057,Amanze Egekeze made Free Throw.,15,13
8:55,2739,T.J. Parham missed Three Point Jumper.,15,13
8:55,2739,Khalil Small Offensive Rebound.,15,13
8:49,2739,PJ Pipes made Jumper.,17,13
8:36,2057,Dylan Windler made Three Point Jumper. Assisted by Austin Luke.,17,16
8:22,2739,T.J. Parham missed Jumper.,17,16
8:22,2057,Amanze Egekeze Defensive Rebound.,17,16
8:10,2057,Austin Luke made Layup.,17,18
7:49,2057,Official TV Timeout,19,18
7:47,2739,T.J. Parham made Layup.,19,18
7:46,2057,Foul on Amanze Egekeze.,19,18
7:46,2057,Official TV Timeout,19,18
7:46,2739,T.J. Parham missed Free Throw.,19,18
7:46,2057,Seth Adelsperger Defensive Rebound.,19,18
7:20,2057,Kevin McClain missed Three Point Jumper.,19,18
7:20,2739,David Jesperson Defensive Rebound.,19,18
7:09,2739,Sukhjot Bains made Layup. Assisted by Khalil Small.,21,18
6:52,2057,Seth Adelsperger missed Layup.,21,18
6:52,2739,Sukhjot Bains Defensive Rebound.,21,18
6:46,2057,Foul on Kevin McClain.,21,18
6:37,2739,PJ Pipes missed Jumper.,21,18
6:37,2057,Amanze Egekeze Defensive Rebound.,21,18
6:22,2057,Austin Luke Turnover.,21,18
6:22,2739,Kameron Hankerson Steal.,21,18
6:10,2739,Khalil Small missed Jumper.,21,18
6:10,2057,Kevin McClain Defensive Rebound.,21,18
5:58,2057,Dylan Windler made Three Point Jumper. Assisted by Austin Luke.,21,21
5:35,2739,David Jesperson made Three Point Jumper. Assisted by PJ Pipes.,24,21
5:25,2057,Dylan Windler missed Three Point Jumper.,24,21
5:25,2739,Kameron Hankerson Defensive Rebound.,24,21
5:16,2739,Kameron Hankerson made Jumper.,26,21
5:09,2739,Foul on Sukhjot Bains.,26,21
5:09,2057,Amanze Egekeze made Free Throw.,26,22
5:09,2057,Amanze Egekeze made Free Throw.,26,23
4:59,2739,Khalil Small made Jumper.,28,23
4:59,2057,Foul on Kevin McClain.,28,23
4:59,2739,Khalil Small made Free Throw.,29,23
4:49,2739,Foul on David Jesperson.,29,23
4:49,2057,Dylan Windler missed Free Throw.,29,23
4:49,2057,Belmont Deadball Team Rebound.,29,23
4:49,2057,Dylan Windler missed Free Throw.,29,23
4:49,2739,David Jesperson Defensive Rebound.,29,23
4:45,2057,Foul on Michael Benkert.,29,23
4:44,2739,David Jesperson made Free Throw.,30,23
4:44,2739,David Jesperson made Free Throw.,31,23
4:35,2057,Austin Luke missed Three Point Jumper.,31,23
4:34,2739,Kameron Hankerson Defensive Rebound.,31,23
4:28,2739,Kameron Hankerson Turnover.,31,23
4:27,2057,Dylan Windler Steal.,31,23
4:10,2057,Nick Hopkins missed Three Point Jumper.,31,23
4:09,2057,Nick Hopkins Offensive Rebound.,31,23
4:08,2057,Amanze Egekeze made Dunk.,31,25
3:57,2057,Official TV Timeout,31,25
3:45,2739,Foul on Hunter Crist.,31,25
3:45,2739,Hunter Crist Turnover.,31,25
3:37,2057,Amanze Egekeze missed Layup.,31,25
3:37,2739,Kameron Hankerson Block.,31,25
3:35,2739,Kameron Hankerson Defensive Rebound.,31,25
3:31,2739,PJ Pipes missed Three Point Jumper.,31,25
3:31,2057,Amanze Egekeze Defensive Rebound.,31,25
3:14,2057,Austin Luke Turnover.,31,25
3:13,2739,Khalil Small Steal.,31,25
3:06,2739,Kameron Hankerson Turnover.,31,25
3:04,2057,Amanze Egekeze Steal.,31,25
2:54,2057,Amanze Egekeze missed Three Point Jumper.,31,25
2:54,2739,Khalil Small Defensive Rebound.,31,25
2:47,2739,Trevian Bell made Layup. Assisted by Khalil Small.,33,25
2:30,2057,Austin Luke Turnover.,33,25
2:29,2739,Khalil Small Steal.,33,25
2:28,2739,Khalil Small missed Layup.,33,25
2:28,2739,Green Bay Offensive Rebound.,33,25
2:25,2739,Foul on T.J. Parham.,33,25
2:25,2739,T.J. Parham Turnover.,33,25
2:13,2057,Nick Hopkins made Three Point Jumper. Assisted by Dylan Windler.,33,28
2:06,2739,PJ Pipes made Jumper.,35,28
1:48,2057,Burton Sampson missed Three Point Jumper.,35,28
1:48,2739,Green Bay Defensive Rebound.,35,28
1:32,2057,Foul on Burton Sampson.,35,28
1:32,2739,Trevian Bell missed Free Throw.,35,28
1:32,2739,Green Bay Deadball Team Rebound.,35,28
1:32,2739,Trevian Bell made Free Throw.,36,28
1:11,2057,Mack Mercer made Layup.,36,30
0:58,2739,Khalil Small made Jumper.,38,30
0:43,2057,Burton Sampson missed Three Point Jumper.,38,30
0:43,2057,Nick Hopkins Offensive Rebound.,38,30
0:39,2739,Foul on T.J. Parham.,38,30
0:39,2057,Nick Hopkins made Free Throw.,38,31
0:39,2057,Nick Hopkins made Free Throw.,38,32
0:28,2739,Khalil Small made Jumper.,40,32
0:21,2057,Belmont  Timeout,40,32
0:05,2057,Mack Mercer made Layup. Assisted by Austin Luke.,40,34
0:05,2739,Foul on David Jesperson.,40,34
0:05,2739,Green Bay  Timeout,40,34
0:05,2057,Mack Mercer made Free Throw.,40,35
0:00,2739,Kameron Hankerson made Jumper.,42,35
0:00,2057,End of 1st half,42,35
19:47,2057,Dylan Windler made Three Point Jumper. Assisted by Kevin McClain.,42,38
19:26,2739,Manny Patterson made Layup. Assisted by David Jesperson.,44,38
19:26,2057,Foul on Dylan Windler.,44,38
19:26,2739,Manny Patterson made Free Throw.,45,38
19:21,2057,Mack Mercer made Layup. Assisted by Kevin McClain.,45,40
19:03,2057,Foul on Mack Mercer.,45,40
18:50,2739,Manny Patterson Turnover.,45,40
18:37,2057,Mack Mercer made Layup. Assisted by Dylan Windler.,45,42
18:08,2739,Manny Patterson Turnover.,45,42
18:07,2057,Mack Mercer Steal.,45,42
17:51,2057,Amanze Egekeze made Layup. Assisted by Kevin McClain.,45,44
17:51,2739,Foul on Kameron Hankerson.,45,44
17:51,2739,Green Bay  Timeout,45,44
17:51,2057,Amanze Egekeze made Free Throw.,45,45
17:38,2739,Kameron Hankerson missed Layup.,45,45
17:38,2057,Dylan Windler Defensive Rebound.,45,45
17:36,2739,Foul on Kameron Hankerson.,45,45
17:19,2057,Mack Mercer made Layup. Assisted by Dylan Windler.,45,47
17:09,2057,Foul on Mack Mercer.,45,47
16:56,2739,Manny Patterson missed Jumper.,45,47
16:56,2057,Amanze Egekeze Defensive Rebound.,45,47
16:40,2057,Kevin McClain Turnover.,45,47
16:39,2739,Khalil Small Steal.,45,47
16:36,2739,Foul on Khalil Small.,45,47
16:36,2739,Khalil Small Turnover.,45,47
16:22,2057,Amanze Egekeze made Layup. Assisted by Austin Luke.,45,49
15:52,2739,David Jesperson Turnover.,45,49
15:52,2057,Official TV Timeout,45,49
15:51,2057,Official TV Timeout,45,49
15:29,2057,Amanze Egekeze missed Three Point Jumper.,45,49
15:29,2739,Kameron Hankerson Defensive Rebound.,45,49
15:23,2739,Kameron Hankerson missed Layup.,45,49
15:23,2057,Seth Adelsperger Block.,45,49
15:21,2057,Amanze Egekeze Defensive Rebound.,45,49
15:09,2057,Dylan Windler missed Three Point Jumper.,45,49
15:09,2739,Kameron Hankerson Defensive Rebound.,45,49
14:59,2739,David Jesperson made Three Point Jumper. Assisted by Khalil Small.,48,49
14:36,2057,Dylan Windler made Three Point Jumper. Assisted by Kevin McClain.,48,52
14:19,2739,Khalil Small made Three Point Jumper.,51,52
14:04,2057,Austin Luke Turnover.,51,52
13:44,2739,Manny Patterson missed Jumper.,51,52
13:44,2057,Seth Adelsperger Defensive Rebound.,51,52
13:34,2057,Dylan Windler made Three Point Jumper. Assisted by Seth Adelsperger.,51,55
13:17,2739,T.J. Parham made Three Point Jumper. Assisted by Khalil Small.,54,55
13:15,2739,Green Bay  Timeout,54,55
12:48,2739,Foul on Khalil Small.,54,55
12:48,2057,Seth Adelsperger made Free Throw.,54,56
12:48,2057,Seth Adelsperger missed Free Throw.,54,56
12:48,2739,Kameron Hankerson Defensive Rebound.,54,56
12:32,2739,Kameron Hankerson made Three Point Jumper. Assisted by Khalil Small.,57,56
12:17,2057,Austin Luke missed Three Point Jumper.,57,56
12:17,2739,Trevian Bell Defensive Rebound.,57,56
12:00,2739,Trevian Bell missed Three Point Jumper.,57,56
12:00,2057,Dylan Windler Defensive Rebound.,57,56
11:37,2057,Dylan Windler missed Three Point Jumper.,57,56
11:37,2739,Green Bay Defensive Rebound.,57,56
11:36,2057,Official TV Timeout,57,56
11:21,2057,Foul on Nick Hopkins.,57,56
11:18,2739,Foul on Khalil Small.,57,56
11:18,2739,Khalil Small Turnover.,57,56
10:52,2057,Nick Hopkins missed Three Point Jumper.,57,56
10:52,2739,T.J. Parham Defensive Rebound.,57,56
10:42,2739,Will Chevalier missed Three Point Jumper.,57,56
10:42,2739,T.J. Parham Offensive Rebound.,57,56
10:38,2739,T.J. Parham Turnover.,57,56
10:37,2057,Kevin McClain Steal.,57,56
10:18,2057,Mack Mercer missed Jumper.,57,56
10:18,2739,T.J. Parham Defensive Rebound.,57,56
10:05,2739,T.J. Parham made Jumper.,59,56
9:48,2057,Kevin McClain made Three Point Jumper.,59,59
9:35,2739,Trevian Bell made Jumper. Assisted by Hunter Crist.,61,59
9:17,2057,Dylan Windler missed Three Point Jumper.,61,59
9:17,2739,Trevian Bell Defensive Rebound.,61,59
9:01,2739,Hunter Crist missed Three Point Jumper.,61,59
9:01,2057,Dylan Windler Defensive Rebound.,61,59
8:43,2057,Amanze Egekeze made Layup.,61,61
8:29,2739,Kameron Hankerson missed Three Point Jumper.,61,61
8:29,2057,Mack Mercer Defensive Rebound.,61,61
8:20,2057,Dylan Windler missed Three Point Jumper.,61,61
8:20,2739,Will Chevalier Defensive Rebound.,61,61
8:03,2057,Foul on Austin Luke.,61,61
8:01,2739,PJ Pipes Turnover.,61,61
8:01,2057,Austin Luke Steal.,61,61
7:59,2057,Austin Luke made Layup.,61,63
7:59,2739,Foul on Hunter Crist.,61,63
7:59,2057,Official TV Timeout,61,63
7:59,2057,Austin Luke made Free Throw.,61,64
7:51,2739,PJ Pipes missed Three Point Jumper.,61,64
7:51,2057,Seth Adelsperger Defensive Rebound.,61,64
7:32,2057,Kevin McClain Turnover.,61,64
7:31,2739,David Jesperson Steal.,61,64
7:25,2739,Sukhjot Bains missed Three Point Jumper.,61,64
7:25,2057,Dylan Windler Defensive Rebound.,61,64
7:14,2057,Foul on Seth Adelsperger.,61,64
7:14,2057,Seth Adelsperger Turnover.,61,64
7:03,2739,Foul on David Jesperson.,61,64
7:03,2739,David Jesperson Turnover.,61,64
6:45,2057,Kevin McClain made Three Point Jumper. Assisted by Burton Sampson.,61,67
6:31,2057,Foul on Burton Sampson.,61,67
6:31,2739,David Jesperson made Free Throw.,62,67
6:31,2739,David Jesperson made Free Throw.,63,67
6:14,2057,Kevin McClain Turnover.,63,67
6:13,2739,T.J. Parham Steal.,63,67
6:08,2739,T.J. Parham missed Jumper.,63,67
6:08,2057,Seth Adelsperger Defensive Rebound.,63,67
5:58,2057,Kevin McClain made Jumper.,63,69
5:38,2739,Will Chevalier missed Three Point Jumper.,63,69
5:38,2057,Dylan Windler Defensive Rebound.,63,69
5:24,2057,Seth Adelsperger made Layup. Assisted by Austin Luke.,63,71
5:16,2739,David Jesperson made Three Point Jumper. Assisted by PJ Pipes.,66,71
4:55,2057,Kevin McClain made Three Point Jumper. Assisted by Austin Luke.,66,74
4:40,2739,Kameron Hankerson made Dunk.,68,74
4:11,2057,Dylan Windler made Jumper.,68,76
4:02,2739,Kameron Hankerson Turnover.,68,76
4:02,2057,Austin Luke Steal.,68,76
3:45,2057,Dylan Windler missed Jumper.,68,76
3:45,2057,Mack Mercer Offensive Rebound.,68,76
3:42,2057,Mack Mercer missed Two Point Tip Shot.,68,76
3:42,2057,Mack Mercer Offensive Rebound.,68,76
3:40,2057,Mack Mercer missed Two Point Tip Shot.,68,76
3:40,2739,David Jesperson Defensive Rebound.,68,76
3:29,2739,Kameron Hankerson made Three Point Jumper. Assisted by T.J. Parham.,71,76
3:09,2057,Amanze Egekeze Turnover.,71,76
3:08,2739,Khalil Small Steal.,71,76
3:01,2739,T.J. Parham made Three Point Jumper. Assisted by Khalil Small.,74,76
2:50,2057,Belmont  Timeout,74,76
2:50,2057,Official TV Timeout,74,76
2:49,2057,Official TV Timeout,74,76
2:36,2057,Amanze Egekeze made Three Point Jumper. Assisted by Austin Luke.,74,79
2:22,2057,Foul on Mack Mercer.,74,79
2:22,2739,T.J. Parham missed Free Throw.,74,79
2:22,2739,Green Bay Deadball Team Rebound.,74,79
2:22,2739,T.J. Parham made Free Throw.,75,79
2:15,2057,Austin Luke Turnover.,75,79
1:54,2739,T.J. Parham missed Three Point Jumper.,75,79
1:54,2057,Austin Luke Defensive Rebound.,75,79
1:22,2057,Mack Mercer missed Layup.,75,79
1:22,2739,Kameron Hankerson Block.,75,79
1:20,2057,Belmont Deadball Team Rebound.,75,79
1:19,2057,Belmont  Turnover.,75,79
1:10,2739,David Jesperson missed Three Point Jumper.,75,79
1:10,2057,Austin Luke Defensive Rebound.,75,79
0:46,2057,Dylan Windler made Three Point Jumper. Assisted by Austin Luke.,75,82
0:39,2739,Trevian Bell missed Three Point Jumper.,75,82
0:39,2057,Mack Mercer Defensive Rebound.,75,82
0:36,2739,Foul on T.J. Parham.,75,82
0:36,2057,Mack Mercer made Free Throw.,75,83
0:36,2057,Mack Mercer made Free Throw.,75,84
0:32,2739,T.J. Parham missed Jumper.,75,84
0:32,2057,Dylan Windler Block.,75,84
0:30,2057,Amanze Egekeze Defensive Rebound.,75,84
0:24,2739,Foul on Trevian Bell.,75,84
0:24,2057,Amanze Egekeze made Free Throw.,75,85
0:24,2057,Amanze Egekeze made Free Throw.,75,86
0:19,2739,Kameron Hankerson missed Three Point Jumper.,75,86
0:19,2057,Dylan Windler Defensive Rebound.,75,86
0:00,2057,End of Game,75,86
