Morehead St,94,Northern Kentucky,2413
7:57,94,Jalen Tate Steal.,12,23
7:53,94,Foul on Jordan Garnett.,12,23
7:53,94,Jordan Garnett Turnover.,12,23
7:53,94,Official TV Timeout,12,23
7:32,2413,Djimon Henson made Jumper.,14,23
7:16,94,Jalen Tate Turnover.,14,23
7:15,2413,James Baker Steal.,14,23
7:09,2413,Malek Green made Layup. Assisted by De'Von Cooper.,16,23
6:59,94,Jalen Tate Turnover.,16,23
6:57,2413,A.J. Hicks Steal.,16,23
6:54,2413,Djimon Henson made Layup. Assisted by A.J. Hicks.,18,23
6:40,2413,Foul on James Baker.,18,23
6:40,94,Jordan Garnett missed Free Throw.,18,23
6:40,94,Northern Kentucky Deadball Team Rebound.,18,23
6:40,94,Jordan Garnett missed Free Throw.,18,23
6:40,94,Northern Kentucky Deadball Team Rebound.,18,23
6:40,94,Jordan Garnett made Free Throw.,18,24
6:13,94,Foul on Jordan Garnett.,18,24
6:05,2413,A.J. Hicks Turnover.,18,24
5:52,94,Drew McDonald missed Jumper.,18,24
5:52,94,Drew McDonald Offensive Rebound.,18,24
5:49,94,Drew McDonald missed Two Point Tip Shot.,18,24
5:49,2413,Malek Green Defensive Rebound.,18,24
5:40,94,Foul on Tre Cobbs.,18,24
5:40,2413,A.J. Hicks missed Free Throw.,18,24
5:40,94,Carson Williams Defensive Rebound.,18,24
5:38,2413,Foul on James Baker.,18,24
5:38,94,Carson Williams missed Free Throw.,18,24
5:38,94,Northern Kentucky Deadball Team Rebound.,18,24
5:38,94,Carson Williams missed Free Throw.,18,24
5:38,2413,Malek Green Defensive Rebound.,18,24
5:18,2413,Djimon Henson made Jumper.,20,24
5:06,94,Tre Cobbs made Layup.,20,26
4:53,2413,Djimon Henson Turnover.,20,26
4:52,94,Jalen Tate Steal.,20,26
4:42,94,Lavone Holland II Turnover.,20,26
4:39,2413,Lamontray Harris Steal.,20,26
4:32,2413,De'Von Cooper missed Three Point Jumper.,20,26
4:32,2413,Malek Green Offensive Rebound.,20,26
4:19,2413,A.J. Hicks missed Three Point Jumper.,20,26
4:19,94,Tre Cobbs Defensive Rebound.,20,26
4:16,2413,Foul on Trell Thompson.,20,26
4:16,94,Tre Cobbs missed Free Throw.,20,26
4:16,94,Northern Kentucky Deadball Team Rebound.,20,26
4:16,94,Tre Cobbs made Free Throw.,20,27
3:54,2413,Lamontray Harris missed Layup.,20,27
3:54,94,Jeff Garrett Block.,20,27
3:54,2413,Morehead State Offensive Rebound.,20,27
3:54,94,Official TV Timeout,20,27
3:48,2413,Malek Green made Jumper.,22,27
3:27,94,Jeff Garrett made Layup. Assisted by Drew McDonald.,22,29
3:17,2413,Lamontray Harris made Three Point Jumper. Assisted by A.J. Hicks.,25,29
2:57,94,Jeff Garrett made Layup.,25,31
2:41,2413,A.J. Hicks made Jumper.,27,31
2:30,2413,Foul on Lamontray Harris.,27,31
2:30,94,Jalen Tate missed Free Throw.,27,31
2:30,94,Northern Kentucky Deadball Team Rebound.,27,31
2:30,94,Jalen Tate made Free Throw.,27,32
2:10,2413,A.J. Hicks Turnover.,27,32
1:57,94,Drew McDonald made Jumper.,27,34
1:43,2413,Djimon Henson missed Jumper.,27,34
1:43,94,Jalen Tate Defensive Rebound.,27,34
1:35,94,Carson Williams missed Layup.,27,34
1:35,2413,Lamontray Harris Defensive Rebound.,27,34
1:24,94,Foul on Drew McDonald.,27,34
1:24,2413,Malek Green missed Free Throw.,27,34
1:24,2413,Morehead State Deadball Team Rebound.,27,34
1:24,2413,Malek Green made Free Throw.,28,34
1:07,2413,Foul on Lamontray Harris.,28,34
1:07,94,Jalen Tate missed Free Throw.,28,34
1:07,94,Northern Kentucky Deadball Team Rebound.,28,34
1:07,94,Jalen Tate made Free Throw.,28,35
0:56,2413,Malek Green missed Layup.,28,35
0:56,2413,Malek Green Offensive Rebound.,28,35
0:52,2413,Malek Green missed Layup.,28,35
0:52,94,Jalen Tate Defensive Rebound.,28,35
0:44,94,Lavone Holland II made Three Point Jumper.,28,38
0:38,2413,Morehead State  Timeout,28,38
0:26,2413,Lamontray Harris missed Three Point Jumper.,28,38
0:26,94,Dantez Walton Defensive Rebound.,28,38
0:00,94,Drew McDonald missed Layup.,28,38
0:00,94,Carson Williams Offensive Rebound.,28,38
0:00,94,End of 1st half,28,38
19:46,2413,Londell King missed Jumper.,28,38
19:46,94,Drew McDonald Defensive Rebound.,28,38
19:39,94,Drew McDonald made Three Point Jumper. Assisted by Lavone Holland II.,28,41
19:05,2413,Malek Green missed Jumper.,28,41
19:05,94,Lavone Holland II Defensive Rebound.,28,41
18:43,94,Drew McDonald made Three Point Jumper. Assisted by Lavone Holland II.,28,44
18:21,2413,Londell King missed Jumper.,28,44
18:21,94,Drew McDonald Defensive Rebound.,28,44
18:11,94,Drew McDonald made Layup. Assisted by Tre Cobbs.,28,46
18:09,2413,Morehead State  Timeout,28,46
18:09,94,Official TV Timeout,28,46
17:58,2413,Lamontray Harris Turnover.,28,46
17:58,94,Jalen Tate Steal.,28,46
17:41,94,Drew McDonald made Three Point Jumper. Assisted by Carson Williams.,28,49
17:33,2413,Djimon Henson made Jumper.,30,49
17:24,94,Jordan Garnett Turnover.,30,49
17:12,94,Foul on Drew McDonald.,30,49
17:12,2413,Lamontray Harris made Free Throw.,31,49
17:12,2413,Lamontray Harris made Free Throw.,32,49
16:56,94,Drew McDonald missed Layup.,32,49
16:56,2413,Malek Green Block.,32,49
16:55,2413,A.J. Hicks Defensive Rebound.,32,49
16:51,2413,Jordan Walker Turnover.,32,49
16:37,94,Lavone Holland II made Three Point Jumper. Assisted by Drew McDonald.,32,52
16:19,94,Foul on Lavone Holland II.,32,52
16:04,2413,Djimon Henson made Three Point Jumper. Assisted by Malek Green.,35,52
15:46,94,Jalen Tate Turnover.,35,52
15:45,2413,A.J. Hicks Steal.,35,52
15:43,94,Foul on Jalen Tate.,35,52
15:43,94,Official TV Timeout,35,52
15:30,2413,Lamontray Harris missed Three Point Jumper.,35,52
15:30,94,Lavone Holland II Defensive Rebound.,35,52
15:21,94,Lavone Holland II Turnover.,35,52
15:09,2413,De'Von Cooper missed Jumper.,35,52
15:09,2413,Lamontray Harris Offensive Rebound.,35,52
15:06,94,Foul on Dantez Walton.,35,52
14:52,2413,Djimon Henson made Jumper.,37,52
14:30,94,Drew McDonald missed Three Point Jumper.,37,52
14:30,2413,Lamontray Harris Defensive Rebound.,37,52
14:13,2413,A.J. Hicks missed Layup.,37,52
14:13,2413,A.J. Hicks Offensive Rebound.,37,52
14:10,2413,A.J. Hicks made Layup.,39,52
14:04,94,Northern Kentucky  Timeout,39,52
13:48,94,Dantez Walton made Layup. Assisted by Jordan Garnett.,39,54
13:27,94,Foul on Mason Faulkner.,39,54
13:16,2413,Lamontray Harris missed Three Point Jumper.,39,54
13:16,94,Jordan Garnett Defensive Rebound.,39,54
13:09,94,Mason Faulkner missed Layup.,39,54
13:09,2413,Lamontray Harris Block.,39,54
13:09,94,Northern Kentucky Offensive Rebound.,39,54
13:02,94,Dantez Walton missed Three Point Jumper.,39,54
13:02,2413,Lamontray Harris Block.,39,54
12:59,2413,Malek Green Defensive Rebound.,39,54
12:47,94,Foul on Jalen Tate.,39,54
12:42,2413,Jordan Walker made Layup. Assisted by Lamontray Harris.,41,54
12:27,94,Carson Williams Turnover.,41,54
12:27,94,Foul on Carson Williams.,41,54
12:23,2413,Austin Crawford Turnover.,41,54
12:22,94,Carson Williams Steal.,41,54
12:21,94,Jalen Tate made Layup.,41,56
12:21,2413,Foul on Djimon Henson.,41,56
12:21,94,Jalen Tate missed Free Throw.,41,56
12:21,2413,Malek Green Defensive Rebound.,41,56
12:01,94,Foul on Jalen Tate.,41,56
12:00,2413,Malek Green missed Free Throw.,41,56
12:00,2413,Lamontray Harris Offensive Rebound.,41,56
11:58,2413,Lamontray Harris missed Layup.,41,56
11:57,94,Jeff Garrett Block.,41,56
11:56,94,Jeff Garrett Defensive Rebound.,41,56
11:50,2413,Foul on Djimon Henson.,41,56
11:50,94,Official TV Timeout,41,56
11:50,94,Lavone Holland II missed Free Throw.,41,56
11:50,94,Northern Kentucky Deadball Team Rebound.,41,56
11:50,94,Lavone Holland II made Free Throw.,41,57
11:34,2413,Lamontray Harris Turnover.,41,57
11:13,94,Carson Williams made Layup.,41,59
10:50,94,Foul on Mason Faulkner.,41,59
10:50,2413,Djimon Henson made Free Throw.,42,59
10:50,2413,Djimon Henson missed Free Throw.,42,59
10:50,94,Jordan Garnett Defensive Rebound.,42,59
10:35,94,Carson Williams made Layup. Assisted by Lavone Holland II.,42,61
10:19,2413,Foul on Alonzo Chatman.,42,61
10:19,2413,Alonzo Chatman Turnover.,42,61
9:57,94,Carson Williams made Layup. Assisted by Jalen Tate.,42,63
9:57,2413,Foul on Jordan Walker.,42,63
9:57,94,Carson Williams made Free Throw.,42,64
9:33,2413,De'Von Cooper missed Three Point Jumper.,42,64
9:33,94,Drew McDonald Defensive Rebound.,42,64
9:31,2413,Foul on Alonzo Chatman.,42,64
9:19,94,Lavone Holland II made Jumper. Assisted by Jalen Tate.,42,66
8:51,2413,De'Von Cooper Turnover.,42,66
8:30,94,Carson Williams made Layup.,42,68
8:06,2413,De'Von Cooper missed Layup.,42,68
8:06,94,Jalen Tate Block.,42,68
8:05,2413,Malek Green Offensive Rebound.,42,68
8:05,94,Foul on Carson Williams.,42,68
8:02,2413,Malek Green made Free Throw.,43,68
8:02,2413,Malek Green made Free Throw.,44,68
7:45,94,Carson Williams made Jumper.,44,70
7:45,2413,Foul on Lamontray Harris.,44,70
7:45,94,Official TV Timeout,44,70
7:45,94,Carson Williams made Free Throw.,44,71
7:45,94,Foul on Dantez Walton.,44,71
7:45,2413,Djimon Henson missed Free Throw.,44,71
7:45,2413,Morehead State Deadball Team Rebound.,44,71
7:45,2413,Djimon Henson missed Free Throw.,44,71
7:45,94,Carson Williams Defensive Rebound.,44,71
7:28,94,Mason Faulkner missed Jumper.,44,71
7:28,94,Mason Faulkner Offensive Rebound.,44,71
7:20,94,Mason Faulkner Turnover.,44,71
7:04,2413,Foul on James Baker.,44,71
7:04,2413,James Baker Turnover.,44,71
6:49,94,Jalen Tate made Three Point Jumper. Assisted by Dantez Walton.,44,74
6:21,2413,Jordan Walker missed Three Point Jumper.,44,74
6:21,94,Jeff Garrett Defensive Rebound.,44,74
6:10,94,Jalen Tate Turnover.,44,74
6:07,2413,Jordan Walker missed Layup.,44,74
6:07,94,Carson Williams Defensive Rebound.,44,74
6:05,2413,Foul on Malek Green.,44,74
6:05,94,Carson Williams made Free Throw.,44,75
6:05,94,Carson Williams missed Free Throw.,44,75
6:05,94,Jeff Garrett Offensive Rebound.,44,75
5:55,94,Mason Faulkner made Three Point Jumper. Assisted by Jalen Tate.,44,78
5:44,2413,A.J. Hicks Turnover.,44,78
5:44,2413,Morehead State  Timeout,44,78
5:23,94,Jalen Tate Turnover.,44,78
5:08,2413,Jordan Walker missed Jumper.,44,78
5:08,94,Dantez Walton Defensive Rebound.,44,78
4:59,94,Mason Faulkner made Three Point Jumper.,44,81
4:24,2413,Richard Feagin made Three Point Jumper.,47,81
4:06,94,Dantez Walton missed Three Point Jumper.,47,81
4:06,94,Jeff Garrett Offensive Rebound.,47,81
4:00,94,Jeff Garrett made Layup.,47,83
3:24,94,Official TV Timeout,47,83
3:22,2413,Richard Feagin Turnover.,47,83
3:22,94,Official TV Timeout,47,83
3:07,94,Tre Cobbs made Three Point Jumper. Assisted by Dantez Walton.,47,86
2:46,2413,Richard Feagin missed Jumper.,47,86
2:46,2413,Trell Thompson Offensive Rebound.,47,86
2:42,2413,Trell Thompson missed Layup.,47,86
2:42,94,Mason Faulkner Defensive Rebound.,47,86
2:18,2413,Foul on Trell Thompson.,47,86
2:18,94,Chris Vogt missed Free Throw.,47,86
2:18,94,Northern Kentucky Deadball Team Rebound.,47,86
2:18,94,Chris Vogt missed Free Throw.,47,86
2:18,2413,Alonzo Chatman Defensive Rebound.,47,86
1:49,2413,Alonzo Chatman made Layup. Assisted by Richard Feagin.,49,86
1:29,94,Chris Vogt Turnover.,49,86
1:09,2413,Austin Crawford missed Jumper.,49,86
1:09,2413,Morehead State Offensive Rebound.,49,86
1:00,2413,Trell Thompson missed Three Point Jumper.,49,86
1:00,94,Chris Vogt Defensive Rebound.,49,86
0:33,94,Darian Childress missed Layup.,49,86
0:33,2413,James Baker Block.,49,86
0:30,2413,Alonzo Chatman Defensive Rebound.,49,86
0:07,2413,James Baker missed Three Point Jumper.,49,86
0:07,94,Tyler Sharpe Defensive Rebound.,49,86
0:00,94,End of Game,49,86
