Vermont,2083,Bucknell,261
9:17,261,Everett Duncan made Free Throw.,55,55
9:17,261,Everett Duncan made Free Throw.,56,55
9:17,261,Everett Duncan made Free Throw.,57,55
8:50,2083,Stephen Brown made Three Point Jumper.,57,58
8:32,2083,Foul on Bruce Moore.,57,58
8:32,261,Anthony Lamb made Free Throw.,58,58
8:32,261,Anthony Lamb missed Free Throw.,58,58
8:32,2083,Nana Foulland Defensive Rebound.,58,58
8:11,261,Foul on Trae Bell-Haynes.,58,58
7:57,261,Foul on Payton Henson.,58,58
7:57,2083,Official TV Timeout,58,58
7:47,2083,Stephen Brown missed Jumper.,58,58
7:47,261,Anthony Lamb Defensive Rebound.,58,58
7:26,261,Anthony Lamb missed Jumper.,58,58
7:26,261,Trae Bell-Haynes Offensive Rebound.,58,58
7:15,261,Trae Bell-Haynes missed Jumper.,58,58
7:15,2083,Stephen Brown Defensive Rebound.,58,58
7:05,2083,Bruce Moore made Three Point Jumper. Assisted by Stephen Brown.,58,61
6:34,261,Ernie Duncan Turnover.,58,61
6:07,2083,Nana Foulland made Layup. Assisted by Zach Thomas.,58,63
5:48,2083,Foul on Nana Foulland.,58,63
5:48,261,Payton Henson missed Free Throw.,58,63
5:48,261,Vermont Deadball Team Rebound.,58,63
5:48,261,Payton Henson missed Free Throw.,58,63
5:48,2083,Zach Thomas Defensive Rebound.,58,63
5:20,2083,Stephen Brown Turnover.,58,63
5:08,261,Trae Bell-Haynes missed Jumper.,58,63
5:08,2083,Nate Sestina Defensive Rebound.,58,63
4:51,2083,Nate Sestina made Three Point Jumper. Assisted by Stephen Brown.,58,66
4:42,261,Vermont  Timeout,58,66
4:33,261,Anthony Lamb made Layup.,60,66
4:14,2083,Nate Sestina made Three Point Jumper. Assisted by Zach Thomas.,60,69
3:51,2083,Foul on Nate Sestina.,60,69
3:51,2083,Official TV Timeout,60,69
3:51,261,Payton Henson made Free Throw.,61,69
3:51,261,Payton Henson made Free Throw.,62,69
3:30,2083,Zach Thomas made Three Point Jumper. Assisted by Stephen Brown.,62,72
2:57,261,Payton Henson made Jumper.,64,72
2:29,261,Foul on Trae Bell-Haynes.,64,72
2:29,2083,Stephen Brown made Free Throw.,64,73
2:29,2083,Stephen Brown made Free Throw.,64,74
2:22,261,Ernie Duncan made Three Point Jumper. Assisted by Trae Bell-Haynes.,67,74
1:54,2083,Bruce Moore missed Three Point Jumper.,67,74
1:54,261,Payton Henson Defensive Rebound.,67,74
1:34,261,Payton Henson missed Three Point Jumper.,67,74
1:34,2083,Bucknell Defensive Rebound.,67,74
1:08,2083,Stephen Brown missed Three Point Jumper.,67,74
1:08,2083,Nana Foulland Offensive Rebound.,67,74
0:59,2083,Zach Thomas Turnover.,67,74
0:59,261,Ernie Duncan Steal.,67,74
0:55,261,Payton Henson made Layup.,69,74
0:55,2083,Foul on Nana Foulland.,69,74
0:55,261,Payton Henson made Free Throw.,70,74
0:55,2083,Bucknell  Timeout,70,74
0:53,261,Foul on Everett Duncan.,70,74
0:52,261,Foul on Anthony Lamb.,70,74
0:46,261,Foul on Ernie Duncan.,70,74
0:46,2083,Jimmy Sotos made Free Throw.,70,75
0:46,2083,Jimmy Sotos made Free Throw.,70,76
0:40,261,Payton Henson missed Layup.,70,76
0:40,261,Anthony Lamb Offensive Rebound.,70,76
0:36,261,Anthony Lamb missed Layup.,70,76
0:36,261,Trae Bell-Haynes Offensive Rebound.,70,76
0:34,261,Trae Bell-Haynes made Layup.,72,76
0:34,2083,Foul on Zach Thomas.,72,76
0:34,261,Trae Bell-Haynes made Free Throw.,73,76
0:33,261,Foul on Trae Bell-Haynes.,73,76
0:33,2083,Jimmy Sotos made Free Throw.,73,77
0:32,2083,Jimmy Sotos missed Free Throw.,73,77
0:32,261,Payton Henson Defensive Rebound.,73,77
0:31,261,Trae Bell-Haynes made Layup.,75,77
0:21,2083,Stephen Brown Turnover.,75,77
0:20,261,Everett Duncan Steal.,75,77
0:17,261,Payton Henson missed Three Point Jumper.,75,77
0:16,2083,Zach Thomas Defensive Rebound.,75,77
0:14,261,Foul on Anthony Lamb.,75,77
0:14,2083,Zach Thomas made Free Throw.,75,78
0:14,2083,Zach Thomas made Free Throw.,75,79
0:10,261,Anthony Lamb missed Three Point Jumper.,75,79
0:10,2083,Bucknell Defensive Rebound.,75,79
0:06,261,Foul on Trae Bell-Haynes.,75,79
0:06,2083,Jimmy Sotos made Free Throw.,75,80
0:06,2083,Jimmy Sotos made Free Throw.,75,81
0:02,261,Trae Bell-Haynes made Jumper.,77,81
0:00,2083,End of Game,77,81
