Miles,Error,Louisiana Tech,2348
10:48,2348,Jy'lan Washington Steal.,10,26
10:45,2348,Jacobi Boykins missed Three Point Jumper.,10,26
10:45,-1,Jeffrey Dockett Defensive Rebound.,10,26
10:28,2348,Foul on Jalen Harris.,10,26
10:28,-1,Jeffrey Dockett made Free Throw.,11,26
10:28,-1,Jeffrey Dockett missed Free Throw.,11,26
10:28,2348,Jy'lan Washington Defensive Rebound.,11,26
10:27,2348,Jacobi Boykins made Three Point Jumper. Assisted by Jalen Harris.,11,29
10:15,-1,Jeffrey Dockett missed Three Point Jumper.,11,29
10:15,2348,Joniah White Defensive Rebound.,11,29
10:10,2348,Joniah White Turnover.,11,29
10:03,-1,Aron Stewart missed Jumper.,11,29
10:03,2348,Jalen Harris Defensive Rebound.,11,29
9:55,2348,Amorie Archibald Turnover.,11,29
9:31,-1,Foul on Carl Garcia.,11,29
9:27,2348,Jacobi Boykins made Free Throw.,11,30
9:27,2348,Jacobi Boykins made Free Throw.,11,31
9:27,-1,Aron Stewart missed Jumper.,11,31
9:27,2348,Jalen Harris Defensive Rebound.,11,31
9:16,2348,Foul on Jy'lan Washington.,11,31
9:11,2348,Jy'lan Washington Turnover.,11,31
9:08,2348,Foul on Derric Jean.,11,31
9:05,-1,Carl Garcia Turnover.,11,31
9:00,2348,Jacobi Boykins Steal.,11,31
8:57,2348,Jacobi Boykins made Jumper.,11,33
8:52,-1,Damian Archer missed Layup.,11,33
8:52,-1,Nathan Sheffield Offensive Rebound.,11,33
8:45,2348,Foul on Jy'lan Washington.,11,33
8:42,2348,Jy'lan Washington Turnover.,11,33
7:56,2348,Official TV Timeout,11,33
7:56,-1,Aron Stewart made Free Throw.,12,33
7:56,-1,Aron Stewart missed Free Throw.,12,33
7:56,2348,Anthony Duruji Defensive Rebound.,12,33
7:36,2348,Jalen Harris missed Three Point Jumper.,12,33
7:36,2348,Jacobi Boykins Offensive Rebound.,12,33
7:27,2348,Amorie Archibald made Jumper.,12,35
7:12,-1,Damian Archer missed Layup.,12,35
7:12,2348,Jalen Harris Defensive Rebound.,12,35
7:05,-1,Foul on Damian Archer.,12,35
7:05,2348,Jalen Harris made Free Throw.,12,36
7:05,2348,Jalen Harris made Free Throw.,12,37
6:43,-1,Jacoby Carter missed Three Point Jumper.,12,37
6:43,-1,Aron Stewart Offensive Rebound.,12,37
6:33,-1,Louis Blakes missed Three Point Jumper.,12,37
6:33,2348,Oliver Powell Defensive Rebound.,12,37
6:19,-1,Foul on Nathan Sheffield.,12,37
6:19,2348,JaColby Pemberton made Free Throw.,12,38
6:19,2348,JaColby Pemberton missed Free Throw.,12,38
6:19,-1,Nathan Sheffield Defensive Rebound.,12,38
6:13,-1,Nathan Sheffield Turnover.,12,38
6:00,2348,Oliver Powell Turnover.,12,38
5:35,-1,Aron Stewart made Jumper.,14,38
5:16,2348,Amorie Archibald made Three Point Jumper. Assisted by Jalen Harris.,14,41
5:03,2348,Foul on Oliver Powell.,14,41
5:03,-1,Louis Blakes missed Free Throw.,14,41
5:03,-1,Miles Deadball Team Rebound.,14,41
5:03,-1,Louis Blakes missed Free Throw.,14,41
5:03,2348,Oliver Powell Defensive Rebound.,14,41
4:46,2348,Amorie Archibald missed Three Point Jumper.,14,41
4:46,2348,Oliver Powell Offensive Rebound.,14,41
4:41,2348,Oliver Powell made Layup.,14,43
4:35,-1,Louis Blakes made Three Point Jumper.,17,43
4:20,2348,Oliver Powell Turnover.,17,43
3:59,2348,Foul on Amorie Archibald.,17,43
3:59,-1,Carl Garcia made Free Throw.,18,43
3:59,-1,Carl Garcia made Free Throw.,19,43
3:52,2348,JaColby Pemberton made Layup. Assisted by Joniah White.,19,45
3:40,-1,Carl Garcia missed Layup.,19,45
3:40,2348,Joniah White Block.,19,45
3:36,-1,Kent James Offensive Rebound.,19,45
3:32,-1,Kent James made Layup.,21,45
3:15,2348,Exavian Christon made Three Point Jumper. Assisted by Amorie Archibald.,21,48
2:55,-1,Sheldon Wright missed Three Point Jumper.,21,48
2:55,2348,Joniah White Defensive Rebound.,21,48
2:38,2348,Anthony Duruji missed Layup.,21,48
2:38,2348,Joniah White Offensive Rebound.,21,48
2:31,-1,Foul on Aron Stewart.,21,48
2:27,2348,Joniah White missed Free Throw.,21,48
2:27,2348,Louisiana Tech Deadball Team Rebound.,21,48
2:27,2348,Joniah White missed Free Throw.,21,48
2:27,-1,Kent James Defensive Rebound.,21,48
2:14,-1,Sheldon Wright made Jumper. Assisted by Carl Garcia.,23,48
1:49,2348,Derric Jean made Three Point Jumper. Assisted by Exavian Christon.,23,51
1:23,-1,Carl Garcia missed Three Point Jumper.,23,51
1:23,2348,Joniah White Defensive Rebound.,23,51
1:11,2348,Derric Jean missed Three Point Jumper.,23,51
1:11,-1,Aron Stewart Defensive Rebound.,23,51
1:02,-1,Louis Blakes made Layup.,25,51
1:02,2348,Foul on Anthony Duruji.,25,51
1:02,-1,Louis Blakes made Free Throw.,26,51
0:49,2348,Anthony Duruji made Layup. Assisted by Derric Jean.,26,53
0:12,-1,Louis Blakes Turnover.,26,53
0:12,2348,Louisiana Tech  Timeout,26,53
0:03,2348,Joniah White made Jumper. Assisted by Derric Jean.,26,55
0:00,2348,End of 1st half,26,55
19:48,-1,Jeffrey Dockett missed Layup.,26,55
19:48,2348,Derric Jean Defensive Rebound.,26,55
19:42,2348,Jalen Harris made Three Point Jumper. Assisted by Derric Jean.,26,58
19:22,-1,Robert Jones made Layup. Assisted by Jeffrey Dockett.,28,58
18:46,2348,Derric Jean missed Three Point Jumper.,28,58
18:46,-1,Aron Stewart Defensive Rebound.,28,58
18:30,-1,Carl Garcia missed Jumper.,28,58
18:30,2348,Jy'lan Washington Defensive Rebound.,28,58
18:24,2348,Jalen Harris Turnover.,28,58
18:14,-1,Sheldon Wright missed Three Point Jumper.,28,58
18:14,2348,Derric Jean Defensive Rebound.,28,58
18:06,2348,Jalen Harris made Layup. Assisted by Derric Jean.,28,60
17:46,2348,Foul on Derric Jean.,28,60
17:36,-1,Damian Archer made Jumper.,30,60
17:19,-1,Foul on Jeffrey Dockett.,30,60
17:11,2348,Jacobi Boykins made Three Point Jumper. Assisted by Derric Jean.,30,63
16:56,-1,Carl Garcia Turnover.,30,63
16:50,2348,Derric Jean made Layup.,30,65
16:37,2348,Foul on Jacobi Boykins.,30,65
16:21,-1,Carl Garcia missed Jumper.,30,65
16:21,2348,Jalen Harris Defensive Rebound.,30,65
16:11,2348,Jy'lan Washington missed Three Point Jumper.,30,65
16:11,-1,Robert Jones Defensive Rebound.,30,65
16:02,-1,Damian Archer made Jumper. Assisted by Carl Garcia.,32,65
15:34,2348,Official TV Timeout,32,65
15:23,2348,Derric Jean made Three Point Jumper. Assisted by Joniah White.,32,68
15:12,-1,Foul on Jeffrey Dockett.,32,68
15:12,-1,Foul on Damian Archer.,32,68
15:12,2348,Jacobi Boykins made Free Throw.,32,69
15:12,-1,Damian Archer Turnover.,32,68
15:12,-1,Technical Foul on Jeffrey Dockett.,32,68
15:12,2348,Jacobi Boykins made Free Throw.,32,70
14:59,2348,Anthony Duruji missed Three Point Jumper.,32,70
14:59,-1,Miles Defensive Rebound.,32,70
14:38,-1,Carl Garcia made Jumper.,34,70
14:18,2348,Oliver Powell Turnover.,34,70
14:11,-1,Damian Archer missed Jumper.,34,70
14:11,2348,Anthony Duruji Defensive Rebound.,34,70
13:58,2348,Anthony Duruji made Layup.,34,72
13:50,2348,Foul on Derric Jean.,34,72
13:50,-1,Louis Blakes missed Free Throw.,34,72
13:50,-1,Miles Deadball Team Rebound.,34,72
13:50,-1,Louis Blakes made Free Throw.,35,72
13:50,-1,Miles  Timeout,35,72
13:35,2348,Amorie Archibald missed Jumper.,35,72
13:35,-1,Aron Stewart Defensive Rebound.,35,72
13:10,-1,Carl Garcia missed Three Point Jumper.,35,72
13:10,2348,Amorie Archibald Defensive Rebound.,35,72
12:49,2348,Anthony Duruji Turnover.,35,72
12:39,-1,Louis Blakes missed Layup.,35,72
12:39,2348,Oliver Powell Block.,35,72
12:39,-1,Miles Offensive Rebound.,35,72
12:30,-1,Chris English made Jumper.,37,72
12:14,2348,Exavian Christon made Three Point Jumper. Assisted by Amorie Archibald.,37,75
11:54,-1,Aron Stewart missed Layup.,37,75
11:54,2348,Anthony Duruji Block.,37,75
11:54,2348,Anthony Duruji Defensive Rebound.,37,75
11:52,-1,Foul on Chris English.,37,75
11:52,2348,Official TV Timeout,37,75
11:52,2348,Anthony Duruji made Free Throw.,37,76
11:52,2348,Anthony Duruji made Free Throw.,37,77
11:49,-1,Aron Stewart Turnover.,37,77
11:48,2348,JaColby Pemberton Steal.,37,77
11:40,2348,Anthony Duruji made Jumper. Assisted by JaColby Pemberton.,37,79
11:34,-1,Carl Garcia made Jumper. Assisted by Robert Jones.,39,79
11:16,2348,Anthony Duruji made Layup. Assisted by JaColby Pemberton.,39,81
11:00,-1,Sheldon Wright Turnover.,39,81
10:38,2348,Amorie Archibald made Jumper.,39,83
10:17,2348,DaQuan Bracey missed Three Point Jumper.,39,83
10:17,2348,Jy'lan Washington Block.,39,83
10:06,-1,Chris English Offensive Rebound.,39,83
10:01,-1,Chris English missed Jumper.,39,83
10:01,2348,Jy'lan Washington Defensive Rebound.,39,83
9:37,-1,Foul on Carl Garcia.,39,83
9:37,2348,Jy'lan Washington made Free Throw.,39,84
9:37,2348,Jy'lan Washington missed Free Throw.,39,84
9:37,-1,Robert Jones Defensive Rebound.,39,84
9:14,-1,Carl Garcia missed Three Point Jumper.,39,84
9:14,2348,JaColby Pemberton Defensive Rebound.,39,84
9:05,-1,Foul on Jeffrey Dockett.,39,84
9:02,2348,Exavian Christon made Three Point Jumper. Assisted by Amorie Archibald.,39,87
8:38,-1,Robert Jones made Jumper. Assisted by Carl Garcia.,41,87
8:19,2348,Amorie Archibald missed Jumper.,41,87
8:19,2348,Amorie Archibald Offensive Rebound.,41,87
7:59,2348,Amorie Archibald made Layup.,41,89
7:36,-1,Jeffrey Dockett missed Jumper.,41,89
7:36,-1,Robert Jones Offensive Rebound.,41,89
7:32,-1,Jeffrey Dockett made Layup.,43,89
7:28,2348,Foul on Kyle McKinley.,43,89
7:28,2348,Official TV Timeout,43,89
7:23,-1,Jeffrey Dockett made Free Throw.,44,89
7:14,-1,Foul on Carl Garcia.,44,89
7:14,2348,JaColby Pemberton missed Free Throw.,44,89
7:14,2348,Louisiana Tech Deadball Team Rebound.,44,89
7:14,2348,JaColby Pemberton made Free Throw.,44,90
7:06,-1,Jeffrey Dockett made Three Point Jumper.,47,90
6:56,2348,Amorie Archibald missed Layup.,47,90
6:56,2348,Kyle McKinley Offensive Rebound.,47,90
6:47,2348,Kyle McKinley made Dunk.,47,92
6:39,-1,Robert Jones missed Layup.,47,92
6:39,-1,Carl Garcia Offensive Rebound.,47,92
6:31,-1,Robert Jones made Dunk. Assisted by Carl Garcia.,49,92
6:11,-1,Miles  Timeout,49,92
6:00,2348,Amorie Archibald missed Jumper.,49,92
6:00,2348,JaColby Pemberton Offensive Rebound.,49,92
5:54,2348,JaColby Pemberton made Jumper.,49,94
5:09,2348,Foul on Kyle McKinley.,49,94
5:09,-1,D.J. Mitchell missed Jumper.,49,94
5:09,-1,Rashawn Chapman Defensive Rebound.,49,94
4:58,2348,Amorie Archibald Turnover.,49,94
4:58,-1,Carl Garcia Steal.,49,94
4:58,2348,Foul on Amorie Archibald.,49,94
4:58,-1,D.J. Mitchell missed Free Throw.,49,94
4:58,-1,Miles Deadball Team Rebound.,49,94
4:58,-1,D.J. Mitchell made Free Throw.,50,94
4:51,2348,Jeremiah Taylor missed Three Point Jumper.,50,94
4:51,2348,Louisiana Tech Offensive Rebound.,50,94
4:51,-1,Foul on D.J. Mitchell.,50,94
4:51,2348,JaColby Pemberton made Free Throw.,50,95
4:51,2348,JaColby Pemberton made Free Throw.,50,96
4:48,-1,Jeffrey Dockett missed Three Point Jumper.,50,96
4:48,2348,Jeremiah Taylor Defensive Rebound.,50,96
4:24,-1,Foul on Jacoby Carter.,50,96
4:24,2348,Exavian Christon made Free Throw.,50,97
4:24,2348,Exavian Christon made Free Throw.,50,98
4:06,2348,Kyle McKinley made Dunk. Assisted by Amorie Archibald.,50,100
3:44,-1,Sheldon Wright made Jumper.,52,100
3:19,-1,Foul on Robert Jones.,52,100
3:19,2348,Official TV Timeout,52,100
3:19,2348,Kyle McKinley missed Free Throw.,52,100
3:19,2348,Louisiana Tech Deadball Team Rebound.,52,100
3:19,2348,Kyle McKinley missed Free Throw.,52,100
3:19,-1,Louis Blakes Defensive Rebound.,52,100
2:48,-1,Sheldon Wright Turnover.,52,100
2:31,2348,Jeremiah Taylor missed Jumper.,52,100
2:31,2348,JaColby Pemberton Offensive Rebound.,52,100
2:28,2348,JaColby Pemberton made Jumper.,52,102
2:15,-1,Louis Blakes Turnover.,52,102
2:14,2348,Exavian Christon Steal.,52,102
2:11,2348,Exavian Christon made Dunk.,52,104
2:00,-1,Carl Garcia made Layup.,54,104
1:38,2348,Jeremiah Taylor made Jumper.,54,106
1:22,2348,Anthony Duruji missed Three Point Jumper.,54,106
1:22,-1,La'Darius Carter Defensive Rebound.,54,106
1:19,2348,Kyle McKinley Turnover.,54,106
1:16,2348,Derric Jean Steal.,54,106
1:10,-1,Sheldon Wright missed Jumper.,54,106
1:10,2348,JaColby Pemberton Defensive Rebound.,54,106
0:45,2348,Amorie Archibald Turnover.,54,106
0:43,-1,Jeffrey Dockett Steal.,54,106
0:41,-1,Jeffrey Dockett missed Layup.,54,106
0:41,2348,Jeremiah Taylor Defensive Rebound.,54,106
0:38,2348,Jeremiah Taylor Turnover.,54,106
0:36,-1,Jeffrey Dockett Steal.,54,106
0:28,-1,Carl Garcia missed Dunk.,54,106
0:27,-1,Robert Jones Offensive Rebound.,54,106
0:22,2348,Foul on Kyle McKinley.,54,106
0:22,-1,Louis Blakes missed Free Throw.,54,106
0:22,-1,Miles Deadball Team Rebound.,54,106
0:22,-1,Louis Blakes made Free Throw.,55,106
0:00,2348,End of Game,55,107
