San Francisco,9,Arizona State,2539
10:44,2539,Foul on Taavi Jurkatamm.,6,19
10:43,9,Kodi Justice made Layup. Assisted by Tra Holder.,6,21
10:24,2539,Jordan Ratinho missed Three Point Jumper.,6,21
10:24,9,Romello White Defensive Rebound.,6,21
10:20,2539,Foul on Frankie Ferrari.,6,21
10:20,9,Romello White missed Free Throw.,6,21
10:20,2539,San Francisco Defensive Rebound.,6,21
10:20,9,Foul on De'Quon Lake.,6,21
10:05,2539,Chase Foster missed Three Point Jumper.,6,21
10:05,2539,Jordan Ratinho Offensive Rebound.,6,21
10:01,2539,Jordan Ratinho Turnover.,6,21
10:00,9,Shannon Evans II Steal.,6,21
9:57,9,Tra Holder missed Layup.,6,21
9:57,2539,Chase Foster Defensive Rebound.,6,21
9:53,2539,Jordan Ratinho missed Three Point Jumper.,6,21
9:53,2539,Erik Poulsen Offensive Rebound.,6,21
9:46,2539,Erik Poulsen missed Layup.,6,21
9:46,9,Romello White Defensive Rebound.,6,21
9:40,2539,Foul on Jordan Ratinho.,6,21
9:40,9,Romello White missed Free Throw.,6,21
9:40,2539,Chase Foster Defensive Rebound.,6,21
9:19,2539,Matt McCarthy missed Jumper.,6,21
9:19,9,De'Quon Lake Defensive Rebound.,6,21
9:12,9,Shannon Evans II missed Layup.,6,21
9:12,9,De'Quon Lake Offensive Rebound.,6,21
9:08,9,De'Quon Lake made Two Point Tip Shot.,6,23
8:51,2539,Taavi Jurkatamm Turnover.,6,23
8:38,9,Kodi Justice made Layup. Assisted by Shannon Evans II.,6,25
8:16,9,Foul on Vitaliy Shibel.,6,25
8:09,2539,Jamaree Bouyea missed Three Point Jumper.,6,25
8:09,9,Kodi Justice Defensive Rebound.,6,25
7:47,9,Kodi Justice Turnover.,6,25
7:47,2539,Jamaree Bouyea Steal.,6,25
7:47,9,Official TV Timeout,6,25
7:38,2539,Remu Raitanen made Layup. Assisted by Nate Renfro.,8,25
7:21,9,Shannon Evans II made Layup.,8,27
7:04,2539,Matt McCarthy missed Layup.,8,27
7:04,2539,Nate Renfro Offensive Rebound.,8,27
6:41,2539,Remu Raitanen Turnover.,8,27
6:40,9,Shannon Evans II Steal.,8,27
6:37,9,Shannon Evans II made Layup. Assisted by Tra Holder.,8,29
6:11,2539,Jordan Ratinho made Layup.,10,29
5:52,9,Tra Holder missed Layup.,10,29
5:52,2539,Nate Renfro Block.,10,29
5:50,2539,Jordan Ratinho Defensive Rebound.,10,29
5:34,2539,Matt McCarthy Turnover.,10,29
5:24,2539,Foul on Frankie Ferrari.,10,29
5:24,9,Shannon Evans II made Free Throw.,10,30
5:24,9,Shannon Evans II made Free Throw.,10,31
5:20,9,Foul on Remy Martin.,10,31
5:13,2539,Foul on Erik Poulsen.,10,31
5:13,2539,Erik Poulsen Turnover.,10,31
4:59,9,Remy Martin Turnover.,10,31
4:58,2539,Remu Raitanen Steal.,10,31
4:43,2539,Jamaree Bouyea made Layup.,12,31
4:31,9,Remy Martin made Layup.,12,33
4:13,2539,Remu Raitanen missed Layup.,12,33
4:13,9,De'Quon Lake Block.,12,33
4:10,2539,Erik Poulsen Offensive Rebound.,12,33
4:07,2539,Erik Poulsen made Three Point Jumper.,15,33
3:54,9,Shannon Evans II missed Layup.,15,33
3:54,2539,Nate Renfro Defensive Rebound.,15,33
3:44,2539,Erik Poulsen made Three Point Jumper. Assisted by Nate Renfro.,18,33
3:25,9,Tra Holder missed Layup.,18,33
3:25,2539,Jamaree Bouyea Defensive Rebound.,18,33
3:19,2539,Jamaree Bouyea missed Layup.,18,33
3:19,9,Arizona State Defensive Rebound.,18,33
3:14,9,Official TV Timeout,18,33
3:00,9,Romello White Turnover.,18,33
2:36,2539,Frankie Ferrari made Three Point Jumper. Assisted by Jordan Ratinho.,21,33
2:10,9,Kodi Justice missed Layup.,21,33
2:10,9,Romello White Offensive Rebound.,21,33
2:08,9,Romello White made Two Point Tip Shot.,21,35
1:54,9,Foul on Romello White.,21,35
1:54,2539,Jordan Ratinho made Free Throw.,22,35
1:54,2539,Jordan Ratinho made Free Throw.,23,35
1:28,2539,Foul on Erik Poulsen.,23,35
1:28,9,Romello White made Free Throw.,23,36
1:28,9,Romello White made Free Throw.,23,37
1:12,2539,Erik Poulsen missed Three Point Jumper.,23,37
1:12,9,Tra Holder Defensive Rebound.,23,37
1:04,9,Tra Holder missed Layup.,23,37
1:04,2539,Erik Poulsen Block.,23,37
1:00,2539,Jordan Ratinho Defensive Rebound.,23,37
0:57,2539,Jamaree Bouyea made Layup.,25,37
0:42,9,Kodi Justice made Three Point Jumper.,25,40
0:24,2539,Jordan Ratinho missed Three Point Jumper.,25,40
0:24,9,Romello White Defensive Rebound.,25,40
0:04,9,Shannon Evans II missed Three Point Jumper.,25,40
0:04,9,Romello White Offensive Rebound.,25,40
0:00,9,Romello White missed Jumper.,25,40
0:00,9,Tra Holder Offensive Rebound.,25,40
0:00,9,End of 1st half,25,40
19:47,2539,Foul on Jamaree Bouyea.,25,40
19:47,9,Tra Holder made Free Throw.,25,41
19:47,9,Tra Holder made Free Throw.,25,42
19:38,2539,Chase Foster missed Three Point Jumper.,25,42
19:38,2539,Chase Foster Offensive Rebound.,25,42
19:25,2539,Jamaree Bouyea missed Three Point Jumper.,25,42
19:25,2539,Chase Foster Offensive Rebound.,25,42
19:18,2539,Nate Renfro made Three Point Jumper. Assisted by Jordan Ratinho.,28,42
18:54,9,Vitaliy Shibel made Three Point Jumper. Assisted by Tra Holder.,28,45
18:38,2539,Chase Foster missed Layup.,28,45
18:38,9,Kodi Justice Defensive Rebound.,28,45
18:29,9,Kodi Justice Turnover.,28,45
18:18,2539,Jamaree Bouyea missed Layup.,28,45
18:18,9,Tra Holder Defensive Rebound.,28,45
18:11,2539,Foul on Jordan Ratinho.,28,45
18:03,9,Tra Holder Turnover.,28,45
18:02,2539,Chase Foster Steal.,28,45
17:55,2539,Nate Renfro missed Three Point Jumper.,28,45
17:55,9,Kodi Justice Defensive Rebound.,28,45
17:28,9,Remy Martin Turnover.,28,45
17:06,2539,Matt McCarthy missed Layup.,28,45
17:06,9,Romello White Defensive Rebound.,28,45
16:46,2539,Foul on Nate Renfro.,28,45
16:42,9,Shannon Evans II missed Three Point Jumper.,28,45
16:42,2539,Chase Foster Defensive Rebound.,28,45
16:32,2539,Remu Raitanen missed Three Point Jumper.,28,45
16:32,2539,Chase Foster Offensive Rebound.,28,45
16:24,2539,Jordan Ratinho missed Three Point Jumper.,28,45
16:24,9,Arizona State Defensive Rebound.,28,45
16:15,9,Foul on Shannon Evans II.,28,45
16:15,9,Shannon Evans II Turnover.,28,45
15:52,9,Official TV Timeout,28,45
15:48,2539,Foul on Jamaree Bouyea.,28,45
15:48,2539,Jamaree Bouyea Turnover.,28,45
15:33,9,Romello White Turnover.,28,45
15:31,2539,Jamaree Bouyea Steal.,28,45
15:26,2539,Jordan Ratinho made Layup. Assisted by Jamaree Bouyea.,30,45
15:26,9,Foul on Kodi Justice.,30,45
15:26,2539,Jordan Ratinho made Free Throw.,31,45
15:11,9,Remy Martin Turnover.,31,45
14:59,2539,Erik Poulsen missed Three Point Jumper.,31,45
14:59,9,Shannon Evans II Defensive Rebound.,31,45
14:51,9,Shannon Evans II missed Layup.,31,45
14:51,9,De'Quon Lake Offensive Rebound.,31,45
14:48,9,De'Quon Lake missed Layup.,31,45
14:48,9,Shannon Evans II Offensive Rebound.,31,45
14:44,9,Shannon Evans II made Two Point Tip Shot.,31,47
14:25,9,Foul on Shannon Evans II.,31,47
14:25,2539,Jordan Ratinho made Free Throw.,32,47
14:25,2539,Jordan Ratinho made Free Throw.,33,47
14:15,9,Tra Holder missed Three Point Jumper.,33,47
14:15,2539,Erik Poulsen Defensive Rebound.,33,47
13:57,2539,Jordan Ratinho missed Three Point Jumper.,33,47
13:57,9,Kodi Justice Defensive Rebound.,33,47
13:41,2539,Foul on Frankie Ferrari.,33,47
13:32,2539,Foul on Taavi Jurkatamm.,33,47
13:21,2539,Foul on Taavi Jurkatamm.,33,47
13:21,9,Romello White made Free Throw.,33,48
13:21,9,Romello White made Free Throw.,33,49
13:13,9,Foul on Tra Holder.,33,49
12:55,2539,Frankie Ferrari missed Three Point Jumper.,33,49
12:55,9,Tra Holder Defensive Rebound.,33,49
12:41,9,Kodi Justice missed Three Point Jumper.,33,49
12:41,9,Romello White Offensive Rebound.,33,49
12:37,2539,Foul on Erik Poulsen.,33,49
12:37,9,Romello White made Free Throw.,33,50
12:37,9,Romello White made Free Throw.,33,51
12:24,2539,Chase Foster missed Layup.,33,51
12:24,9,De'Quon Lake Block.,33,51
12:23,2539,San Francisco Offensive Rebound.,33,51
12:10,2539,Frankie Ferrari made Jumper.,35,51
11:49,9,Kodi Justice missed Jumper.,35,51
11:49,2539,Taavi Jurkatamm Defensive Rebound.,35,51
11:47,9,Foul on De'Quon Lake.,35,51
11:47,9,Official TV Timeout,35,51
11:25,2539,Frankie Ferrari missed Three Point Jumper.,35,51
11:25,2539,Nate Renfro Offensive Rebound.,35,51
11:02,2539,Jamaree Bouyea missed Three Point Jumper.,35,51
11:02,9,Vitaliy Shibel Defensive Rebound.,35,51
10:39,9,Tra Holder made Jumper. Assisted by Shannon Evans II.,35,53
10:24,2539,Nate Renfro Turnover.,35,53
10:23,9,Kodi Justice Steal.,35,53
10:07,2539,Foul on Jamaree Bouyea.,35,53
10:07,9,Tra Holder made Free Throw.,35,54
10:07,9,Tra Holder made Free Throw.,35,55
9:54,2539,Nate Renfro Turnover.,35,55
9:45,9,Vitaliy Shibel missed Three Point Jumper.,35,55
9:45,2539,Jordan Ratinho Defensive Rebound.,35,55
9:30,2539,Jordan Ratinho made Three Point Jumper. Assisted by Frankie Ferrari.,38,55
9:08,9,Tra Holder missed Jumper.,38,55
9:08,2539,Frankie Ferrari Defensive Rebound.,38,55
8:45,2539,Erik Poulsen missed Three Point Jumper.,38,55
8:45,9,Vitaliy Shibel Defensive Rebound.,38,55
8:26,9,Remy Martin missed Jumper.,38,55
8:26,2539,Frankie Ferrari Defensive Rebound.,38,55
8:04,2539,Jordan Ratinho missed Layup.,38,55
8:04,2539,Jordan Ratinho Offensive Rebound.,38,55
8:01,2539,Jordan Ratinho made Layup.,40,55
7:45,2539,Foul on Erik Poulsen.,40,55
7:45,9,Official TV Timeout,40,55
7:45,9,Romello White made Free Throw.,40,56
7:45,9,Romello White missed Free Throw.,40,56
7:45,2539,Chase Foster Defensive Rebound.,40,56
7:24,2539,Frankie Ferrari made Three Point Jumper. Assisted by Matt McCarthy.,43,56
7:06,9,Shannon Evans II missed Layup.,43,56
7:06,9,Romello White Offensive Rebound.,43,56
7:05,2539,Foul on Frankie Ferrari.,43,56
7:05,9,Romello White missed Free Throw.,43,56
7:05,9,Arizona State Deadball Team Rebound.,43,56
7:05,9,Romello White missed Free Throw.,43,56
7:05,2539,Chase Foster Defensive Rebound.,43,56
6:50,2539,Remu Raitanen missed Layup.,43,56
6:50,9,Remy Martin Defensive Rebound.,43,56
6:44,9,Romello White made Dunk. Assisted by Kodi Justice.,43,58
6:42,2539,San Francisco  Timeout,43,58
6:38,2539,Jamaree Bouyea Turnover.,43,58
6:37,9,Remy Martin Steal.,43,58
6:36,9,Remy Martin made Layup.,43,60
6:21,2539,Remu Raitanen made Three Point Jumper. Assisted by Jamaree Bouyea.,46,60
5:56,9,Shannon Evans II missed Jumper.,46,60
5:56,9,Romello White Offensive Rebound.,46,60
5:54,2539,Foul on Matt McCarthy.,46,60
5:54,9,Romello White missed Free Throw.,46,60
5:54,9,Arizona State Deadball Team Rebound.,46,60
5:54,9,Romello White missed Free Throw.,46,60
5:54,2539,Remu Raitanen Defensive Rebound.,46,60
5:37,2539,Frankie Ferrari missed Three Point Jumper.,46,60
5:37,9,Romello White Defensive Rebound.,46,60
5:15,2539,Foul on Matt McCarthy.,46,60
5:15,9,Romello White missed Free Throw.,46,60
5:15,9,Arizona State Deadball Team Rebound.,46,60
5:15,9,Romello White made Free Throw.,46,61
4:59,2539,Chase Foster missed Layup.,46,61
4:59,9,Tra Holder Defensive Rebound.,46,61
4:49,9,Foul on Vitaliy Shibel.,46,61
4:49,9,Vitaliy Shibel Turnover.,46,61
4:42,2539,Jordan Ratinho missed Three Point Jumper.,46,61
4:42,2539,Chase Foster Offensive Rebound.,46,61
4:37,2539,Frankie Ferrari made Three Point Jumper. Assisted by Chase Foster.,49,61
4:19,9,Kodi Justice missed Layup.,49,61
4:19,9,Vitaliy Shibel Offensive Rebound.,49,61
4:17,2539,Foul on Matt McCarthy.,49,61
4:17,9,Vitaliy Shibel missed Free Throw.,49,61
4:17,9,Arizona State Deadball Team Rebound.,49,61
4:17,9,Vitaliy Shibel made Free Throw.,49,62
3:58,2539,Frankie Ferrari Turnover.,49,62
3:46,9,Tra Holder made Three Point Jumper. Assisted by Shannon Evans II.,49,65
3:34,2539,Chase Foster Turnover.,49,65
3:33,9,Tra Holder Steal.,49,65
3:33,2539,Foul on Frankie Ferrari.,49,65
3:33,9,Tra Holder made Free Throw.,49,66
3:33,9,Tra Holder made Free Throw.,49,67
3:13,2539,Chase Foster missed Three Point Jumper.,49,67
3:13,2539,Jimbo Lull Offensive Rebound.,49,67
3:10,9,Foul on De'Quon Lake.,49,67
3:10,2539,Jimbo Lull missed Free Throw.,49,67
3:10,9,Shannon Evans II Defensive Rebound.,49,67
3:10,2539,Foul on Jimbo Lull.,49,67
3:10,9,Shannon Evans II made Free Throw.,49,68
3:10,9,Shannon Evans II made Free Throw.,49,69
2:50,2539,Jordan Ratinho made Three Point Jumper. Assisted by Jimbo Lull.,52,69
2:42,2539,San Francisco  Timeout,52,69
2:31,2539,Foul on Jordan Ratinho.,52,69
2:31,9,Shannon Evans II made Free Throw.,52,70
2:31,9,Shannon Evans II made Free Throw.,52,71
2:22,9,Foul on Tra Holder.,52,71
2:22,2539,Jamaree Bouyea made Free Throw.,53,71
2:22,2539,Jamaree Bouyea missed Free Throw.,53,71
2:22,9,Remy Martin Defensive Rebound.,53,71
2:14,2539,Foul on Taavi Jurkatamm.,53,71
2:14,9,De'Quon Lake missed Free Throw.,53,71
2:14,9,Arizona State Deadball Team Rebound.,53,71
2:14,9,De'Quon Lake missed Free Throw.,53,71
2:14,2539,Remu Raitanen Defensive Rebound.,53,71
2:13,9,Foul on Tra Holder.,53,71
2:13,2539,Remu Raitanen made Free Throw.,54,71
2:13,2539,Remu Raitanen made Free Throw.,55,71
1:44,2539,Foul on Taavi Jurkatamm.,55,71
1:44,9,Tra Holder made Free Throw.,55,72
1:44,9,Tra Holder made Free Throw.,55,73
1:22,2539,Jamaree Bouyea missed Three Point Jumper.,55,73
1:22,9,Shannon Evans II Defensive Rebound.,55,73
1:05,9,Shannon Evans II Turnover.,55,73
0:56,2539,Mladen Djordjevic Turnover.,55,73
0:54,9,Remy Martin Steal.,55,73
0:53,9,Remy Martin made Layup.,55,75
0:40,9,Foul on Vitaliy Shibel.,55,75
0:40,2539,Mladen Djordjevic missed Free Throw.,55,75
0:40,2539,San Francisco Deadball Team Rebound.,55,75
0:40,2539,Mladen Djordjevic made Free Throw.,56,75
0:12,9,Remy Martin Turnover.,56,75
0:11,2539,Jamaree Bouyea Steal.,56,75
0:09,9,Foul on Grant Fogerty.,56,75
0:09,2539,Jamaree Bouyea missed Free Throw.,56,75
0:09,2539,San Francisco Deadball Team Rebound.,56,75
0:09,2539,Jamaree Bouyea made Free Throw.,57,75
0:00,9,End of Game,57,75
