Robert Morris,2561,Siena,2523
19:05,2561,Roman Penn missed Jumper.,26,35
19:05,2561,Evan Fisher Offensive Rebound.,26,35
19:02,2561,Evan Fisher made Layup.,26,37
18:45,2523,Koby Thomas missed Jumper.,26,37
18:45,2561,Christian Bentley Defensive Rebound.,26,37
18:28,2561,Christian Bentley Turnover.,26,37
18:22,2523,Charles Bain Turnover.,26,37
18:22,2561,Roman Penn Steal.,26,37
18:17,2561,Ahsante Shivers missed Layup.,26,37
18:17,2523,Malik Petteway Defensive Rebound.,26,37
18:06,2523,Jon Williams missed Three Point Jumper.,26,37
18:06,2523,Dachon Burke Offensive Rebound.,26,37
18:00,2523,Dachon Burke made Layup.,28,37
17:34,2561,Evan Fisher made Three Point Jumper. Assisted by Prince Oduro.,28,40
17:16,2561,Foul on Roman Penn.,28,40
17:14,2561,Foul on Prince Oduro.,28,40
17:14,2523,Malik Petteway made Free Throw.,29,40
17:14,2523,Malik Petteway made Free Throw.,30,40
16:51,2561,Prince Oduro Turnover.,30,40
16:48,2523,Malik Petteway Steal.,30,40
16:43,2523,Dachon Burke missed Three Point Jumper.,30,40
16:43,2561,Khalil Richard Defensive Rebound.,30,40
16:35,2523,Foul on Jon Williams.,30,40
16:35,2561,Khalil Richard made Free Throw.,30,41
16:35,2561,Khalil Richard made Free Throw.,30,42
16:21,2523,Malik Petteway missed Jumper.,30,42
16:21,2561,Roman Penn Defensive Rebound.,30,42
16:11,2561,Roman Penn missed Three Point Jumper.,30,42
16:11,2523,Malik Petteway Defensive Rebound.,30,42
15:54,2523,Chris Coalmon missed Jumper.,30,42
15:54,2561,Prince Oduro Defensive Rebound.,30,42
15:47,2561,Khalil Richard made Layup.,30,44
15:33,2523,Chris Coalmon made Jumper. Assisted by Dachon Burke.,32,44
15:25,2561,Ahsante Shivers made Layup.,32,46
15:06,2523,Matty McConnell missed Three Point Jumper.,32,46
15:06,2523,Dachon Burke Offensive Rebound.,32,46
14:55,2523,Dachon Burke missed Jumper.,32,46
14:55,2561,Roman Penn Defensive Rebound.,32,46
14:46,2561,Khalil Richard missed Jumper.,32,46
14:46,2523,Matty McConnell Defensive Rebound.,32,46
14:38,2523,Matty McConnell Turnover.,32,46
14:38,2561,Official TV Timeout,32,46
14:15,2561,Ahsante Shivers missed Jumper.,32,46
14:15,2561,Prince Oduro Offensive Rebound.,32,46
14:11,2561,Prince Oduro made Two Point Tip Shot.,32,48
13:46,2523,Jon Williams made Three Point Jumper.,35,48
13:15,2561,Ahsante Shivers Turnover.,35,48
13:13,2523,Matty McConnell Steal.,35,48
13:02,2523,Dachon Burke made Three Point Jumper. Assisted by Jon Williams.,38,48
12:37,2561,Ahsante Shivers Turnover.,38,48
12:36,2523,Malik Petteway Steal.,38,48
12:19,2523,Chris Coalmon missed Three Point Jumper.,38,48
12:19,2561,Khalil Richard Defensive Rebound.,38,48
11:45,2561,Prince Oduro missed Jumper.,38,48
11:45,2523,Robert Morris Deadball Team Rebound.,38,48
11:44,2561,Siena  Turnover.,38,48
11:44,2561,Official TV Timeout,38,48
11:32,2523,Dachon Burke made Layup.,40,48
11:32,2561,Foul on Roman Penn.,40,48
11:32,2523,Dachon Burke made Free Throw.,41,48
11:05,2561,Roman Penn missed Jumper.,41,48
11:05,2523,Robert Morris Deadball Team Rebound.,41,48
10:42,2523,Chris Coalmon made Three Point Jumper. Assisted by Dachon Burke.,44,48
10:26,2561,Nico Clareth made Three Point Jumper. Assisted by Christian Bentley.,44,51
9:57,2523,Dachon Burke missed Jumper.,44,51
9:57,2561,Roman Penn Defensive Rebound.,44,51
9:50,2561,Nico Clareth made Three Point Jumper. Assisted by Roman Penn.,44,54
9:32,2561,Foul on Evan Fisher.,44,54
9:32,2523,Dachon Burke missed Free Throw.,44,54
9:32,2523,Robert Morris Deadball Team Rebound.,44,54
9:32,2523,Dachon Burke missed Free Throw.,44,54
9:32,2561,Nico Clareth Defensive Rebound.,44,54
9:06,2523,Foul on Jon Williams.,44,54
8:50,2561,Ahsante Shivers missed Three Point Jumper.,44,54
8:50,2523,Koby Thomas Defensive Rebound.,44,54
8:35,2523,Jon Williams missed Jumper.,44,54
8:35,2561,Prince Oduro Defensive Rebound.,44,54
8:12,2561,Nico Clareth missed Three Point Jumper.,44,54
8:12,2523,Matty McConnell Defensive Rebound.,44,54
8:00,2523,Malik Petteway missed Layup.,44,54
8:00,2561,Ahsante Shivers Defensive Rebound.,44,54
7:35,2561,Prince Oduro missed Layup.,44,54
7:35,2523,Malik Petteway Block.,44,54
7:34,2561,Prince Oduro Offensive Rebound.,44,54
7:33,2561,Prince Oduro made Layup.,44,56
7:19,2523,Foul on Koby Thomas.,44,56
7:19,2523,Koby Thomas Turnover.,44,56
7:19,2561,Official TV Timeout,44,56
7:04,2561,Prince Oduro made Jumper. Assisted by Nico Clareth.,44,58
6:47,2523,Koby Thomas made Layup. Assisted by Jon Williams.,46,58
6:19,2523,Foul on David Cole.,46,58
6:19,2561,Nico Clareth made Free Throw.,46,59
6:19,2561,Nico Clareth made Free Throw.,46,60
6:09,2523,Malik Petteway missed Jumper.,46,60
6:09,2523,Malik Petteway Offensive Rebound.,46,60
6:04,2523,Matty McConnell missed Three Point Jumper.,46,60
6:04,2523,Robert Morris Offensive Rebound.,46,60
5:48,2523,Dachon Burke missed Layup.,46,60
5:48,2561,Prince Oduro Block.,46,60
5:47,2561,Nico Clareth Defensive Rebound.,46,60
5:36,2561,Foul on Roman Penn.,46,60
5:36,2561,Roman Penn Turnover.,46,60
5:20,2523,Koby Thomas made Layup. Assisted by Matty McConnell.,48,60
5:19,2523,Robert Morris  Timeout,48,60
5:19,2561,Official TV Timeout,48,60
5:02,2561,Nico Clareth missed Layup.,48,60
5:02,2523,Malik Petteway Block.,48,60
5:00,2523,Malik Petteway Defensive Rebound.,48,60
4:50,2523,Matty McConnell Turnover.,48,60
4:26,2561,Ahsante Shivers missed Layup.,48,60
4:26,2561,Evan Fisher Offensive Rebound.,48,60
4:22,2561,Roman Penn missed Three Point Jumper.,48,60
4:22,2523,Chris Coalmon Defensive Rebound.,48,60
4:11,2523,Koby Thomas Turnover.,48,60
3:48,2561,Foul on Prince Oduro.,48,60
3:48,2561,Prince Oduro Turnover.,48,60
3:48,2561,Official TV Timeout,48,60
3:42,2523,Matty McConnell made Three Point Jumper. Assisted by Jon Williams.,51,60
3:40,2523,Robert Morris  Timeout,51,60
3:11,2561,Roman Penn made Jumper.,51,62
3:00,2523,Jon Williams made Three Point Jumper.,54,62
2:54,2561,Siena  Timeout,54,62
2:27,2561,Roman Penn Turnover.,54,62
2:20,2561,Foul on Evan Fisher.,54,62
2:20,2523,Dachon Burke made Free Throw.,55,62
2:20,2523,Dachon Burke missed Free Throw.,55,62
2:20,2561,Christian Bentley Defensive Rebound.,55,62
1:58,2523,Foul on Chris Coalmon.,55,62
1:58,2561,Siena  Timeout,55,62
1:52,2523,Foul on Matty McConnell.,55,62
1:52,2561,Roman Penn made Free Throw.,55,63
1:52,2561,Roman Penn made Free Throw.,55,64
1:41,2523,Jon Williams made Three Point Jumper.,58,64
1:30,2561,Siena  Timeout,58,64
1:26,2561,Ahsante Shivers Turnover.,58,64
1:25,2523,Malik Petteway Steal.,58,64
1:16,2523,Dachon Burke made Layup.,60,64
1:04,2561,Ahsante Shivers made Layup. Assisted by Roman Penn.,60,66
1:04,2523,Foul on Malik Petteway.,60,66
1:04,2561,Ahsante Shivers made Free Throw.,60,67
0:58,2523,Jon Williams made Three Point Jumper. Assisted by Dachon Burke.,63,67
0:53,2523,Foul on Dachon Burke.,63,67
0:53,2561,Ahsante Shivers made Free Throw.,63,68
0:53,2561,Ahsante Shivers made Free Throw.,63,69
0:44,2523,Dachon Burke made Dunk.,65,69
0:33,2523,Foul on Dachon Burke.,65,69
0:33,2561,Nico Clareth made Free Throw.,65,70
0:33,2561,Nico Clareth made Free Throw.,65,71
0:25,2561,Foul on Evan Fisher.,65,71
0:25,2523,Matty McConnell made Free Throw.,66,71
0:25,2523,Matty McConnell made Free Throw.,67,71
0:25,2523,Matty McConnell missed Free Throw.,67,71
0:25,2523,Dachon Burke Offensive Rebound.,67,71
0:23,2561,Foul on Nico Clareth.,67,71
0:23,2523,Dachon Burke made Free Throw.,68,71
0:23,2523,Dachon Burke missed Free Throw.,68,71
0:23,2561,Nico Clareth Defensive Rebound.,68,71
0:21,2523,Foul on Malik Petteway.,68,71
0:21,2561,Nico Clareth made Free Throw.,68,72
0:21,2561,Nico Clareth made Free Throw.,68,73
0:17,2523,Matty McConnell missed Three Point Jumper.,68,73
0:17,2561,Roman Penn Defensive Rebound.,68,73
0:14,2523,Foul on Jon Williams.,68,73
0:14,2561,Roman Penn made Free Throw.,68,74
0:14,2561,Roman Penn made Free Throw.,68,75
0:10,2523,Dachon Burke made Three Point Jumper.,71,75
0:08,2523,Robert Morris  Timeout,71,75
0:07,2523,Foul on Jon Williams.,71,75
0:07,2561,Roman Penn made Free Throw.,71,76
0:07,2561,Roman Penn missed Free Throw.,71,76
0:07,2523,Malik Petteway Defensive Rebound.,71,76
0:02,2523,Dachon Burke made Three Point Jumper.,74,76
0:00,2561,End of Game,74,76
