Hawai'i,254,Utah,62
12:10,254,Jayce Johnson Defensive Rebound.,8,8
12:01,254,Tyler Rawson missed Three Point Jumper.,8,8
12:01,62,Gibson Johnson Defensive Rebound.,8,8
11:42,62,Sheriff Drammeh missed Jumper.,8,8
11:42,254,Tyler Rawson Defensive Rebound.,8,8
11:32,254,Sedrick Barefield Turnover.,8,8
11:31,62,Sheriff Drammeh Steal.,8,8
11:29,62,Sheriff Drammeh missed Jumper.,8,8
11:29,254,Justin Bibbins Defensive Rebound.,8,8
11:08,254,Justin Bibbins made Three Point Jumper. Assisted by Tyler Rawson.,8,11
10:51,62,Jack Purchase missed Three Point Jumper.,8,11
10:51,254,Jayce Johnson Defensive Rebound.,8,11
10:43,62,Foul on Drew Buggs.,8,11
10:43,254,Official TV Timeout,8,11
10:34,254,Foul on Jayce Johnson.,8,11
10:34,254,Jayce Johnson Turnover.,8,11
10:14,62,Ido Flaisher missed Jumper.,8,11
10:14,254,Tyler Rawson Block.,8,11
10:13,254,Tyler Rawson Defensive Rebound.,8,11
10:09,62,Foul on Samuta Avea.,8,11
10:09,254,Donnie Tillman made Free Throw.,8,12
10:09,254,Donnie Tillman made Free Throw.,8,13
9:47,62,Michael Thomas missed Three Point Jumper.,8,13
9:47,254,Donnie Tillman Defensive Rebound.,8,13
9:36,254,Parker Van Dyke missed Three Point Jumper.,8,13
9:36,254,Utah Offensive Rebound.,8,13
9:29,254,Parker Van Dyke missed Layup.,8,13
9:29,62,Michael Thomas Defensive Rebound.,8,13
9:12,62,Michael Thomas missed Layup.,8,13
9:12,254,Justin Bibbins Defensive Rebound.,8,13
8:48,254,Donnie Tillman made Layup. Assisted by Tyler Rawson.,8,15
8:34,254,Foul on Jayce Johnson.,8,15
8:31,62,Samuta Avea made Layup.,10,15
8:13,254,Donnie Tillman made Layup.,10,17
8:13,62,Foul on Jack Purchase.,10,17
8:13,254,Donnie Tillman made Free Throw.,10,18
8:02,254,Foul on Gabe Bealer.,10,18
7:59,62,Samuta Avea made Layup.,12,18
7:51,254,Gabe Bealer made Three Point Jumper. Assisted by Sedrick Barefield.,12,21
7:33,62,Samuta Avea made Jumper. Assisted by Jack Purchase.,14,21
7:17,254,David Collette made Layup. Assisted by Gabe Bealer.,14,23
7:04,62,Samuta Avea missed Three Point Jumper.,14,23
7:04,254,Utah Defensive Rebound.,14,23
7:03,254,Official TV Timeout,14,23
6:41,254,Sedrick Barefield missed Three Point Jumper.,14,23
6:41,62,Jack Purchase Defensive Rebound.,14,23
6:25,254,Foul on Gabe Bealer.,14,23
6:10,62,Gibson Johnson missed Jumper.,14,23
6:10,254,Utah Defensive Rebound.,14,23
5:46,62,Foul on Gibson Johnson.,14,23
5:46,254,David Collette made Free Throw.,14,24
5:46,254,David Collette made Free Throw.,14,25
5:31,62,Gibson Johnson made Layup.,16,25
5:12,254,Donnie Tillman Turnover.,16,25
5:12,62,Sheriff Drammeh Steal.,16,25
5:12,62,Hawai'i  Timeout,16,25
4:41,62,Gibson Johnson missed Jumper.,16,25
4:41,62,Hawai'i Offensive Rebound.,16,25
4:41,62,Hawai'i  Turnover.,16,25
4:24,254,Sedrick Barefield made Layup. Assisted by David Collette.,16,27
4:06,62,Gibson Johnson missed Layup.,16,27
4:06,254,Donnie Tillman Defensive Rebound.,16,27
4:00,62,Foul on Jack Purchase.,16,27
4:00,254,Official TV Timeout,16,27
4:00,254,Sedrick Barefield made Free Throw.,16,28
4:00,254,Sedrick Barefield made Free Throw.,16,29
3:43,62,Samuta Avea missed Three Point Jumper.,16,29
3:43,62,Drew Buggs Offensive Rebound.,16,29
3:41,62,Drew Buggs made Layup.,18,29
3:18,254,Tyler Rawson Turnover.,18,29
3:17,62,Gibson Johnson Steal.,18,29
3:10,62,Drew Buggs missed Jumper.,18,29
3:10,62,Michael Thomas Offensive Rebound.,18,29
3:10,254,Foul on David Collette.,18,29
3:10,62,Michael Thomas made Free Throw.,19,29
3:10,62,Michael Thomas made Free Throw.,20,29
2:59,254,Justin Bibbins made Three Point Jumper. Assisted by Sedrick Barefield.,20,32
2:47,62,Sheriff Drammeh made Jumper.,22,32
2:36,254,Justin Bibbins made Three Point Jumper. Assisted by Donnie Tillman.,22,35
2:22,62,Gibson Johnson missed Layup.,22,35
2:22,62,Gibson Johnson Offensive Rebound.,22,35
2:22,254,Foul on David Collette.,22,35
2:22,62,Gibson Johnson made Free Throw.,23,35
2:22,62,Gibson Johnson missed Free Throw.,23,35
2:22,254,Jayce Johnson Defensive Rebound.,23,35
2:04,254,Sedrick Barefield missed Jumper.,23,35
2:04,254,Utah Offensive Rebound.,23,35
1:42,254,Sedrick Barefield missed Three Point Jumper.,23,35
1:42,62,Brandon Thomas Defensive Rebound.,23,35
1:24,62,Brandon Thomas made Three Point Jumper. Assisted by Drew Buggs.,26,35
0:59,254,Donnie Tillman missed Jumper.,26,35
0:59,62,Drew Buggs Block.,26,35
0:59,254,Donnie Tillman Offensive Rebound.,26,35
0:59,254,Utah  Timeout,26,35
0:54,254,Foul on Justin Bibbins.,26,35
0:54,254,Justin Bibbins Turnover.,26,35
0:44,254,Foul on Jayce Johnson.,26,35
0:44,62,Drew Buggs made Free Throw.,27,35
0:44,62,Drew Buggs missed Free Throw.,27,35
0:44,254,Jayce Johnson Defensive Rebound.,27,35
0:14,254,Donnie Tillman missed Layup.,27,35
0:14,254,Jayce Johnson Offensive Rebound.,27,35
0:12,254,Jayce Johnson made Layup.,27,37
0:03,62,Drew Buggs made Three Point Jumper. Assisted by Michael Thomas.,30,37
0:00,254,End of 1st half,30,37
19:51,62,Michael Thomas made Layup.,32,37
19:39,254,Foul on Sedrick Barefield.,32,37
19:39,254,Sedrick Barefield Turnover.,32,37
19:26,62,Michael Thomas missed Layup.,32,37
19:26,254,Tyler Rawson Block.,32,37
19:26,254,Tyler Rawson Defensive Rebound.,32,37
19:04,254,David Collette made Jumper.,32,39
18:52,254,Foul on Justin Bibbins.,32,39
18:50,62,Michael Thomas missed Layup.,32,39
18:50,254,Sedrick Barefield Block.,32,39
18:49,62,Gibson Johnson Offensive Rebound.,32,39
18:47,62,Michael Thomas made Layup. Assisted by Gibson Johnson.,34,39
18:24,62,Foul on Sheriff Drammeh.,34,39
18:24,254,Tyler Rawson made Free Throw.,34,40
18:24,254,Tyler Rawson made Free Throw.,34,41
18:16,62,Drew Buggs Turnover.,34,41
18:15,254,Tyler Rawson Steal.,34,41
18:04,62,Foul on Gibson Johnson.,34,41
18:04,254,David Collette missed Free Throw.,34,41
18:04,254,Utah Deadball Team Rebound.,34,41
18:04,254,David Collette missed Free Throw.,34,41
18:04,62,Michael Thomas Defensive Rebound.,34,41
17:45,62,Michael Thomas missed Three Point Jumper.,34,41
17:45,254,David Collette Defensive Rebound.,34,41
17:18,254,Sedrick Barefield missed Three Point Jumper.,34,41
17:18,62,Gibson Johnson Defensive Rebound.,34,41
16:55,62,Gibson Johnson missed Layup.,34,41
16:55,254,David Collette Defensive Rebound.,34,41
16:55,62,Foul on Michael Thomas.,34,41
16:35,254,Donnie Tillman made Jumper.,34,43
16:07,62,Michael Thomas missed Three Point Jumper.,34,43
16:07,254,Gabe Bealer Defensive Rebound.,34,43
15:54,254,Donnie Tillman made Layup.,34,45
15:39,62,Leland Green missed Jumper.,34,45
15:39,254,Donnie Tillman Defensive Rebound.,34,45
15:24,62,Foul on Ido Flaisher.,34,45
15:24,254,Official TV Timeout,34,45
15:24,254,David Collette made Free Throw.,34,46
15:24,254,David Collette made Free Throw.,34,47
15:11,62,Leland Green Turnover.,34,47
15:10,254,Tyler Rawson Steal.,34,47
15:08,254,David Collette Turnover.,34,47
14:50,62,Michael Thomas made Jumper.,36,47
14:27,254,David Collette missed Jumper.,36,47
14:27,254,Utah Offensive Rebound.,36,47
14:27,62,Foul on Michael Thomas.,36,47
14:18,254,Gabe Bealer missed Three Point Jumper.,36,47
14:18,62,Samuta Avea Defensive Rebound.,36,47
14:04,62,Jack Purchase made Three Point Jumper. Assisted by Samuta Avea.,39,47
13:39,254,Gabe Bealer made Three Point Jumper. Assisted by David Collette.,39,50
13:22,62,Jack Purchase missed Three Point Jumper.,39,50
13:22,254,David Collette Defensive Rebound.,39,50
13:15,254,Gabe Bealer made Three Point Jumper. Assisted by Sedrick Barefield.,39,53
12:55,62,Drew Buggs Turnover.,39,53
12:54,254,David Collette Steal.,39,53
12:46,254,Donnie Tillman missed Layup.,39,53
12:46,62,Brandon Thomas Defensive Rebound.,39,53
12:39,254,Foul on Donnie Tillman.,39,53
12:39,62,Ido Flaisher missed Free Throw.,39,53
12:39,62,Hawai'i Deadball Team Rebound.,39,53
12:39,62,Ido Flaisher made Free Throw.,40,53
12:13,254,Jayce Johnson missed Jumper.,40,53
12:13,254,Donnie Tillman Offensive Rebound.,40,53
12:12,254,Donnie Tillman missed Layup.,40,53
12:12,254,Donnie Tillman Offensive Rebound.,40,53
12:11,62,Foul on Jack Purchase.,40,53
12:11,254,Donnie Tillman made Free Throw.,40,54
12:11,254,Donnie Tillman missed Free Throw.,40,54
12:11,254,Jayce Johnson Offensive Rebound.,40,54
12:00,254,Jayce Johnson Turnover.,40,54
12:00,254,Official TV Timeout,40,54
11:50,62,Jack Purchase missed Three Point Jumper.,40,54
11:50,254,Jayce Johnson Defensive Rebound.,40,54
11:40,62,Foul on Brocke Stepteau.,40,54
11:40,254,Donnie Tillman made Free Throw.,40,55
11:40,254,Donnie Tillman made Free Throw.,40,56
11:28,62,Gibson Johnson missed Layup.,40,56
11:28,254,Donnie Tillman Defensive Rebound.,40,56
11:08,254,Parker Van Dyke missed Three Point Jumper.,40,56
11:08,254,Jayce Johnson Offensive Rebound.,40,56
11:03,254,Jayce Johnson made Dunk.,40,58
11:03,62,Foul on Jack Purchase.,40,58
11:03,254,Jayce Johnson made Free Throw.,40,59
10:46,62,Brocke Stepteau made Layup.,42,59
10:31,254,Sedrick Barefield missed Three Point Jumper.,42,59
10:31,62,Samuta Avea Defensive Rebound.,42,59
10:23,62,Gibson Johnson Turnover.,42,59
10:09,62,Foul on Brocke Stepteau.,42,59
10:09,254,Justin Bibbins missed Free Throw.,42,59
10:09,62,Michael Thomas Defensive Rebound.,42,59
9:54,62,Michael Thomas made Dunk. Assisted by Gibson Johnson.,44,59
9:35,62,Foul on Sheriff Drammeh.,44,59
9:35,254,Parker Van Dyke made Free Throw.,44,60
9:35,254,Parker Van Dyke made Free Throw.,44,61
9:32,62,Hawai'i  Timeout,44,61
9:20,62,Sheriff Drammeh made Three Point Jumper. Assisted by Michael Thomas.,47,61
8:57,254,Jayce Johnson made Jumper. Assisted by Tyler Rawson.,47,63
8:40,62,Drew Buggs missed Jumper.,47,63
8:40,62,Hawai'i Offensive Rebound.,47,63
8:37,254,Foul on Donnie Tillman.,47,63
8:36,62,Leland Green made Jumper. Assisted by Drew Buggs.,49,63
8:03,254,Sedrick Barefield missed Layup.,49,63
8:03,254,Tyler Rawson Offensive Rebound.,49,63
7:54,254,Tyler Rawson Turnover.,49,63
7:54,254,Official TV Timeout,49,63
7:31,62,Leland Green made Jumper.,51,63
7:08,254,Tyler Rawson missed Three Point Jumper.,51,63
7:08,254,Donnie Tillman Offensive Rebound.,51,63
7:03,254,Tyler Rawson made Layup. Assisted by Justin Bibbins.,51,65
6:47,62,Sheriff Drammeh missed Jumper.,51,65
6:47,254,Jayce Johnson Defensive Rebound.,51,65
6:31,254,Justin Bibbins missed Three Point Jumper.,51,65
6:31,62,Leland Green Defensive Rebound.,51,65
6:17,62,Leland Green missed Jumper.,51,65
6:17,254,Jayce Johnson Defensive Rebound.,51,65
5:49,254,Jayce Johnson missed Layup.,51,65
5:49,62,Leland Green Defensive Rebound.,51,65
5:40,254,Foul on Jayce Johnson.,51,65
5:40,62,Ido Flaisher made Free Throw.,52,65
5:40,62,Ido Flaisher made Free Throw.,53,65
5:37,62,Foul on Leland Green.,53,65
5:37,254,Justin Bibbins made Free Throw.,53,66
5:37,254,Justin Bibbins made Free Throw.,53,67
5:21,62,Drew Buggs missed Jumper.,53,67
5:21,254,Tyler Rawson Defensive Rebound.,53,67
5:04,254,Donnie Tillman made Layup. Assisted by Justin Bibbins.,53,69
4:43,62,Jack Purchase missed Three Point Jumper.,53,69
4:43,254,David Collette Defensive Rebound.,53,69
4:16,254,David Collette made Jumper.,53,71
4:05,62,Jack Purchase missed Three Point Jumper.,53,71
4:05,62,Leland Green Offensive Rebound.,53,71
3:54,254,Foul on David Collette.,53,71
3:54,254,Official TV Timeout,53,71
3:54,62,Brandon Thomas made Free Throw.,54,71
3:54,62,Brandon Thomas missed Free Throw.,54,71
3:54,254,Tyler Rawson Defensive Rebound.,54,71
3:36,254,David Collette made Layup.,54,73
3:25,62,Samuta Avea missed Three Point Jumper.,54,73
3:25,254,Tyler Rawson Defensive Rebound.,54,73
3:08,254,Gabe Bealer missed Three Point Jumper.,54,73
3:08,62,Hawai'i Defensive Rebound.,54,73
2:50,62,Leland Green missed Three Point Jumper.,54,73
2:50,254,Tyler Rawson Defensive Rebound.,54,73
2:42,62,Foul on Drew Buggs.,54,73
2:42,254,Justin Bibbins made Free Throw.,54,74
2:42,254,Justin Bibbins made Free Throw.,54,75
2:21,62,Jack Purchase missed Three Point Jumper.,54,75
2:21,254,Gabe Bealer Defensive Rebound.,54,75
2:04,254,David Collette made Layup. Assisted by Justin Bibbins.,54,77
2:00,254,Foul on Justin Bibbins.,54,77
2:00,62,Drew Buggs made Free Throw.,55,77
2:00,62,Drew Buggs made Free Throw.,56,77
1:51,254,Foul on Jayce Johnson.,56,77
1:51,254,Jayce Johnson Turnover.,56,77
1:40,62,Drew Buggs missed Layup.,56,77
1:40,62,Michael Thomas Offensive Rebound.,56,77
1:37,62,Michael Thomas made Layup.,58,77
1:22,254,Parker Van Dyke Turnover.,58,77
1:21,62,Leland Green Steal.,58,77
1:16,62,Leland Green made Layup.,60,77
0:48,254,Parker Van Dyke missed Three Point Jumper.,60,77
0:48,62,Brocke Stepteau Defensive Rebound.,60,77
0:39,254,Foul on Jake Connor.,60,77
0:39,62,Leland Green missed Free Throw.,60,77
0:39,254,Marc Reininger Defensive Rebound.,60,77
0:15,254,Jake Connor made Three Point Jumper. Assisted by Parker Van Dyke.,60,80
0:01,62,Brocke Stepteau missed Three Point Jumper.,60,80
0:01,254,Marc Reininger Defensive Rebound.,60,80
0:00,254,End of Game,60,80
