UMBC,2643,The Citadel,2378
14:23,2378,K.J. Maura made Jumper.,16,6
14:08,2643,Frankie Johnson missed Layup.,16,6
14:08,2378,Max Portmann Block.,16,6
14:07,2378,Max Portmann Defensive Rebound.,16,6
14:07,2643,Foul on Frankie Johnson.,16,6
13:58,2378,K.J. Maura missed Jumper.,16,6
13:58,2378,Ishmail Jabbie Offensive Rebound.,16,6
13:54,2378,Ishmail Jabbie missed Jumper.,16,6
13:54,2643,Zane Najdawi Defensive Rebound.,16,6
13:25,2643,Tariq Simmons made Three Point Jumper.,16,9
12:59,2643,Foul on Zane Najdawi.,16,9
12:59,2378,Brandon Horvath made Free Throw.,17,9
12:59,2378,Brandon Horvath missed Free Throw.,17,9
12:59,2643,Quayson Williams Defensive Rebound.,17,9
12:51,2643,Matt Frierson missed Three Point Jumper.,17,9
12:51,2378,Arkel Lamar Defensive Rebound.,17,9
12:32,2378,K.J. Maura made Three Point Jumper. Assisted by Ishmail Jabbie.,20,9
12:17,2378,Foul on Brandon Horvath.,20,9
12:17,2643,Zane Najdawi made Free Throw.,20,10
12:17,2643,Zane Najdawi missed Free Throw.,20,10
12:17,2378,Max Curran Defensive Rebound.,20,10
12:04,2643,Foul on Quayson Williams.,20,10
11:52,2378,Max Curran Turnover.,20,10
11:50,2643,Rob Johnson Steal.,20,10
11:45,2643,Matt Frierson Turnover.,20,10
11:43,2378,Joe Sherburne Steal.,20,10
11:32,2643,Foul on Rob Johnson.,20,10
11:32,2643,Official TV Timeout,20,10
11:32,2378,Arkel Lamar missed Free Throw.,20,10
11:32,2378,UMBC Deadball Team Rebound.,20,10
11:32,2378,Arkel Lamar made Free Throw.,21,10
11:25,2643,Tariq Simmons missed Three Point Jumper.,21,10
11:25,2378,Max Curran Defensive Rebound.,21,10
11:01,2378,K.J. Maura made Three Point Jumper. Assisted by Arkel Lamar.,24,10
10:52,2643,Tariq Simmons missed Layup.,24,10
10:52,2378,K.J. Maura Defensive Rebound.,24,10
10:33,2378,Arkel Lamar made Three Point Jumper. Assisted by Max Curran.,27,10
10:15,2378,Foul on Max Curran.,27,10
10:15,2643,Kaelon Harris made Free Throw.,27,11
10:15,2643,Kaelon Harris made Free Throw.,27,12
10:01,2378,K.J. Maura made Three Point Jumper. Assisted by Arkel Lamar.,30,12
9:55,2643,Matt Frierson missed Three Point Jumper.,30,12
9:55,2378,Max Curran Defensive Rebound.,30,12
9:52,2643,Foul on Rob Johnson.,30,12
9:38,2378,Max Curran missed Three Point Jumper.,30,12
9:38,2378,Nolan Gerrity Offensive Rebound.,30,12
9:34,2378,K.J. Maura missed Three Point Jumper.,30,12
9:34,2643,The Citadel Defensive Rebound.,30,12
9:32,2378,Foul on Max Curran.,30,12
9:23,2378,Foul on Josh Rosario.,30,12
9:18,2643,Kaiden Rice missed Three Point Jumper.,30,12
9:18,2378,Nolan Gerrity Defensive Rebound.,30,12
8:56,2378,Joe Sherburne made Jumper.,32,12
8:46,2643,Frankie Johnson Turnover.,32,12
8:45,2378,Ishmail Jabbie Steal.,32,12
8:40,2378,Arkel Lamar missed Three Point Jumper.,32,12
8:40,2643,Derek Webster Jr. Defensive Rebound.,32,12
8:33,2378,Foul on Ishmail Jabbie.,32,12
8:33,2643,Kaiden Rice made Free Throw.,32,13
8:33,2643,Kaiden Rice made Free Throw.,32,14
8:22,2378,Joe Sherburne made Three Point Jumper. Assisted by Josh Rosario.,35,14
8:09,2378,Foul on Arkel Lamar.,35,14
8:09,2643,Hayden Brown made Free Throw.,35,15
8:09,2643,Hayden Brown missed Free Throw.,35,15
8:09,2643,Kaiden Rice Offensive Rebound.,35,15
8:02,2643,Hayden Brown made Layup. Assisted by Tariq Simmons.,35,17
7:52,2378,Ishmail Jabbie Turnover.,35,17
7:50,2643,Kaiden Rice Steal.,35,17
7:48,2643,Kaiden Rice Turnover.,35,17
7:48,2643,Official TV Timeout,35,17
7:30,2378,Josh Rosario missed Three Point Jumper.,35,17
7:30,2643,Tariq Simmons Defensive Rebound.,35,17
7:22,2378,Foul on Ishmail Jabbie.,35,17
7:22,2643,Kaelon Harris made Free Throw.,35,18
7:22,2643,Kaelon Harris made Free Throw.,35,19
7:19,2378,K.J. Maura Turnover.,35,19
7:02,2643,Tariq Simmons Turnover.,35,19
7:00,2378,Nolan Gerrity Steal.,35,19
6:48,2643,Foul on Tariq Simmons.,35,19
6:30,2378,Josh Rosario missed Three Point Jumper.,35,19
6:30,2378,UMBC Offensive Rebound.,35,19
6:28,2378,UMBC  Turnover.,35,19
6:16,2643,Matt Frierson made Three Point Jumper. Assisted by Kaelon Harris.,35,22
5:48,2643,Foul on Leandro Allende.,35,22
5:48,2378,Max Portmann made Free Throw.,36,22
5:48,2378,Max Portmann made Free Throw.,37,22
5:38,2643,Tariq Simmons missed Three Point Jumper.,37,22
5:38,2378,K.J. Maura Defensive Rebound.,37,22
5:09,2378,Josh Rosario missed Three Point Jumper.,37,22
5:09,2643,Matt Frierson Defensive Rebound.,37,22
4:55,2643,Kaelon Harris missed Three Point Jumper.,37,22
4:55,2643,Tariq Simmons Offensive Rebound.,37,22
4:52,2378,Foul on K.J. Maura.,37,22
4:52,2643,Tariq Simmons missed Free Throw.,37,22
4:52,2643,The Citadel Deadball Team Rebound.,37,22
4:52,2643,Tariq Simmons missed Free Throw.,37,22
4:52,2378,Arkel Lamar Defensive Rebound.,37,22
4:26,2378,Ishmail Jabbie Turnover.,37,22
4:12,2643,Derek Webster Jr. made Layup. Assisted by Quayson Williams.,37,24
3:52,2643,Foul on Frankie Johnson.,37,24
3:52,2643,Official TV Timeout,37,24
3:52,2378,K.J. Maura made Free Throw.,38,24
3:52,2378,K.J. Maura made Free Throw.,39,24
3:44,2378,Foul on Max Portmann.,39,24
3:44,2643,Derek Webster Jr. missed Free Throw.,39,24
3:44,2643,The Citadel Deadball Team Rebound.,39,24
3:44,2643,Derek Webster Jr. missed Free Throw.,39,24
3:44,2378,Ishmail Jabbie Defensive Rebound.,39,24
3:34,2378,Ishmail Jabbie missed Three Point Jumper.,39,24
3:34,2643,Derek Webster Jr. Defensive Rebound.,39,24
3:32,2378,Foul on Max Portmann.,39,24
3:32,2643,Derek Webster Jr. missed Free Throw.,39,24
3:32,2643,The Citadel Deadball Team Rebound.,39,24
3:32,2643,Derek Webster Jr. made Free Throw.,39,25
3:07,2378,Ishmail Jabbie missed Three Point Jumper.,39,25
3:07,2643,Leandro Allende Defensive Rebound.,39,25
2:58,2643,Kaiden Rice Turnover.,39,25
2:30,2378,Arkel Lamar missed Jumper.,39,25
2:30,2643,Matt Frierson Defensive Rebound.,39,25
2:21,2643,Matt Frierson missed Three Point Jumper.,39,25
2:21,2378,Joe Sherburne Defensive Rebound.,39,25
2:14,2378,K.J. Maura made Layup. Assisted by Joe Sherburne.,41,25
2:04,2643,Derek Webster Jr. made Layup. Assisted by Frankie Johnson.,41,27
1:46,2378,K.J. Maura missed Three Point Jumper.,41,27
1:46,2378,Daniel Akin Offensive Rebound.,41,27
1:43,2378,Daniel Akin Turnover.,41,27
1:30,2643,Tariq Simmons missed Three Point Jumper.,41,27
1:30,2378,Arkel Lamar Defensive Rebound.,41,27
1:17,2378,Brandon Horvath made Three Point Jumper. Assisted by K.J. Maura.,44,27
1:08,2643,Leandro Allende made Layup.,44,29
1:07,2378,UMBC  Timeout,44,29
0:41,2378,Brandon Horvath missed Three Point Jumper.,44,29
0:41,2643,Hayden Brown Defensive Rebound.,44,29
0:34,2643,Hayden Brown made Layup.,44,31
0:01,2643,Zane Najdawi missed Jumper.,44,31
0:01,2378,UMBC Defensive Rebound.,44,31
0:00,2378,Daniel Akin missed Layup.,44,31
0:00,2643,Tariq Simmons Block.,44,31
0:00,2643,Leandro Allende Defensive Rebound.,44,31
0:00,2643,End of 1st half,44,31
19:47,2643,Kaelon Harris made Three Point Jumper. Assisted by Tariq Simmons.,44,34
19:29,2378,Nolan Gerrity missed Layup.,44,34
19:29,2643,Matt Frierson Defensive Rebound.,44,34
19:21,2643,Hayden Brown missed Three Point Jumper.,44,34
19:21,2378,Arkel Lamar Defensive Rebound.,44,34
19:06,2378,Max Curran missed Three Point Jumper.,44,34
19:06,2378,Joe Sherburne Offensive Rebound.,44,34
19:00,2378,Joe Sherburne made Layup.,46,34
18:53,2643,Matt Frierson made Three Point Jumper. Assisted by Kaelon Harris.,46,37
18:36,2378,K.J. Maura missed Jumper.,46,37
18:36,2643,Kaelon Harris Defensive Rebound.,46,37
18:28,2643,Kaelon Harris made Three Point Jumper. Assisted by Derek Webster Jr..,46,40
18:20,2643,Foul on Tariq Simmons.,46,40
18:03,2378,Max Curran made Dunk. Assisted by Nolan Gerrity.,48,40
17:48,2378,Foul on Nolan Gerrity.,48,40
17:43,2643,Quayson Williams missed Three Point Jumper.,48,40
17:43,2643,Quayson Williams Offensive Rebound.,48,40
17:38,2378,Foul on Arkel Lamar.,48,40
17:38,2643,Quayson Williams made Free Throw.,48,41
17:38,2643,Quayson Williams made Free Throw.,48,42
17:27,2378,Nolan Gerrity missed Jumper.,48,42
17:27,2378,Nolan Gerrity Offensive Rebound.,48,42
17:24,2378,Nolan Gerrity missed Layup.,48,42
17:24,2378,Joe Sherburne Offensive Rebound.,48,42
17:21,2378,Max Curran missed Three Point Jumper.,48,42
17:21,2378,Joe Sherburne Offensive Rebound.,48,42
17:18,2378,Joe Sherburne made Jumper.,50,42
17:07,2643,Rob Johnson missed Layup.,50,42
17:07,2378,K.J. Maura Defensive Rebound.,50,42
17:00,2378,Arkel Lamar missed Three Point Jumper.,50,42
17:00,2378,Joe Sherburne Offensive Rebound.,50,42
16:49,2378,Arkel Lamar made Layup.,52,42
16:33,2643,Rob Johnson made Layup. Assisted by Kaelon Harris.,52,44
16:33,2378,Foul on Joe Sherburne.,52,44
16:33,2643,Rob Johnson missed Free Throw.,52,44
16:33,2378,Brandon Horvath Defensive Rebound.,52,44
16:20,2643,Foul on Derek Webster Jr..,52,44
16:13,2378,Max Portmann Turnover.,52,44
16:11,2643,Leandro Allende Steal.,52,44
16:02,2643,Frankie Johnson made Layup. Assisted by Rob Johnson.,52,46
15:48,2378,Brandon Horvath missed Three Point Jumper.,52,46
15:48,2378,UMBC Offensive Rebound.,52,46
15:45,2643,Official TV Timeout,52,46
15:44,2643,Foul on Frankie Johnson.,52,46
15:34,2378,Arkel Lamar missed Jumper.,52,46
15:34,2378,Brandon Horvath Offensive Rebound.,52,46
15:31,2378,Brandon Horvath missed Layup.,52,46
15:31,2378,Max Portmann Offensive Rebound.,52,46
15:30,2378,Max Portmann made Two Point Tip Shot.,54,46
15:15,2643,Leandro Allende missed Layup.,54,46
15:15,2643,Rob Johnson Offensive Rebound.,54,46
15:12,2378,Foul on Arkel Lamar.,54,46
15:12,2643,Rob Johnson missed Free Throw.,54,46
15:12,2643,The Citadel Deadball Team Rebound.,54,46
15:12,2643,Rob Johnson made Free Throw.,54,47
15:00,2378,Brandon Horvath made Three Point Jumper. Assisted by K.J. Maura.,57,47
14:42,2378,Foul on Max Portmann.,57,47
14:39,2378,Foul on Max Curran.,57,47
14:37,2643,Rob Johnson Turnover.,57,47
14:36,2378,K.J. Maura Steal.,57,47
14:30,2378,Joe Sherburne Turnover.,57,47
14:18,2643,Kaelon Harris made Layup.,57,49
13:55,2378,Ishmail Jabbie Turnover.,57,49
13:53,2643,Hayden Brown Steal.,57,49
13:51,2643,Matt Frierson missed Three Point Jumper.,57,49
13:51,2643,Leandro Allende Offensive Rebound.,57,49
13:43,2643,Kaelon Harris missed Three Point Jumper.,57,49
13:43,2378,Max Curran Defensive Rebound.,57,49
13:41,2643,Foul on Hayden Brown.,57,49
13:27,2378,Brandon Horvath missed Layup.,57,49
13:27,2378,Brandon Horvath Offensive Rebound.,57,49
13:24,2378,Brandon Horvath made Layup.,59,49
13:16,2643,Hayden Brown missed Layup.,59,49
13:16,2643,Derek Webster Jr. Offensive Rebound.,59,49
13:11,2643,Derek Webster Jr. missed Jumper.,59,49
13:11,2378,Max Curran Defensive Rebound.,59,49
13:02,2378,Josh Rosario missed Jumper.,59,49
13:02,2378,Max Curran Offensive Rebound.,59,49
12:47,2378,K.J. Maura Turnover.,59,49
12:46,2643,Derek Webster Jr. Steal.,59,49
12:43,2643,Derek Webster Jr. missed Layup.,59,49
12:43,2643,Tariq Simmons Offensive Rebound.,59,49
12:40,2643,Tariq Simmons made Layup.,59,51
12:25,2378,Max Curran made Layup. Assisted by Josh Rosario.,61,51
12:16,2643,Hayden Brown made Layup. Assisted by Tariq Simmons.,61,53
12:06,2378,Josh Rosario made Three Point Jumper. Assisted by K.J. Maura.,64,53
11:52,2643,Quayson Williams Turnover.,64,53
11:52,2643,Official TV Timeout,64,53
11:43,2378,Josh Rosario missed Three Point Jumper.,64,53
11:43,2378,Brandon Horvath Offensive Rebound.,64,53
11:34,2378,Josh Rosario made Layup.,66,53
11:33,2643,Foul on Derek Webster Jr..,66,53
11:33,2378,Josh Rosario missed Free Throw.,66,53
11:33,2643,Matt Frierson Defensive Rebound.,66,53
11:24,2643,Frankie Johnson missed Jumper.,66,53
11:24,2378,Arkel Lamar Defensive Rebound.,66,53
11:10,2378,Brandon Horvath missed Three Point Jumper.,66,53
11:10,2378,UMBC Offensive Rebound.,66,53
11:03,2378,Josh Rosario missed Three Point Jumper.,66,53
11:03,2643,Rob Johnson Defensive Rebound.,66,53
10:45,2643,Rob Johnson missed Layup.,66,53
10:45,2378,Max Curran Defensive Rebound.,66,53
10:29,2378,Max Curran missed Three Point Jumper.,66,53
10:29,2643,Leandro Allende Defensive Rebound.,66,53
10:07,2643,Derek Webster Jr. Turnover.,66,53
10:06,2378,Joe Sherburne Steal.,66,53
9:52,2378,Josh Rosario made Three Point Jumper. Assisted by Brandon Horvath.,69,53
9:33,2643,Matt Frierson missed Three Point Jumper.,69,53
9:33,2378,K.J. Maura Defensive Rebound.,69,53
9:15,2378,Josh Rosario made Three Point Jumper. Assisted by K.J. Maura.,72,53
9:00,2643,Leandro Allende missed Layup.,72,53
9:00,2378,Arkel Lamar Defensive Rebound.,72,53
8:44,2378,K.J. Maura missed Three Point Jumper.,72,53
8:44,2643,Matt Frierson Defensive Rebound.,72,53
8:33,2643,Frankie Johnson made Layup. Assisted by Matt Frierson.,72,55
8:33,2378,Foul on K.J. Maura.,72,55
8:33,2643,Frankie Johnson made Free Throw.,72,56
8:30,2378,UMBC  Timeout,72,56
8:30,2643,Official TV Timeout,72,56
8:08,2378,Brandon Horvath made Three Point Jumper. Assisted by K.J. Maura.,75,56
7:50,2643,Kaelon Harris missed Three Point Jumper.,75,56
7:50,2378,UMBC Defensive Rebound.,75,56
7:49,2643,Official TV Timeout,75,56
7:23,2378,Joe Sherburne made Jumper. Assisted by K.J. Maura.,77,56
7:08,2378,Foul on Arkel Lamar.,77,56
7:08,2643,Tariq Simmons made Free Throw.,77,57
7:08,2378,Ishmail Jabbie missed Free Throw.,77,57
7:08,2378,Arkel Lamar Offensive Rebound.,77,57
7:06,2378,Arkel Lamar missed Layup.,77,57
7:06,2643,Tariq Simmons Defensive Rebound.,77,57
6:39,2643,Kaelon Harris made Layup. Assisted by Tariq Simmons.,77,59
6:29,2378,Arkel Lamar missed Three Point Jumper.,77,59
6:29,2643,Kaelon Harris Defensive Rebound.,77,59
5:57,2643,Tariq Simmons made Jumper. Assisted by Kaiden Rice.,77,61
5:43,2378,Max Curran missed Layup.,77,61
5:43,2643,Kaelon Harris Defensive Rebound.,77,61
5:15,2643,Tariq Simmons Turnover.,77,61
5:14,2378,Jourdan Grant Steal.,77,61
5:11,2378,Arkel Lamar made Layup. Assisted by Ishmail Jabbie.,79,61
4:53,2378,Ishmail Jabbie made Three Point Jumper.,82,61
4:38,2378,Foul on Joe Sherburne.,84,61
4:38,2643,Hayden Brown made Free Throw.,84,62
4:38,2378,Arkel Lamar made Layup.,84,61
4:33,2378,Josh Rosario Turnover.,84,62
4:32,2643,Alex Reed Steal.,84,62
4:20,2643,Alex Reed missed Three Point Jumper.,84,62
4:20,2378,Brandon Horvath Defensive Rebound.,84,62
3:52,2378,Joe Sherburne made Layup.,86,62
3:44,2643,Frankie Johnson made Layup. Assisted by Leandro Allende.,86,64
3:12,2378,Brandon Horvath missed Three Point Jumper.,86,64
3:12,2643,Derek Webster Jr. Defensive Rebound.,86,64
3:03,2643,Kaiden Rice made Three Point Jumper. Assisted by Derek Webster Jr..,86,67
3:00,2643,The Citadel  Timeout,86,67
3:00,2643,Official TV Timeout,86,67
2:32,2643,Hayden Brown missed Three Point Jumper.,86,67
2:24,2378,Arkel Lamar missed Three Point Jumper.,86,67
2:24,2378,Joe Sherburne Offensive Rebound.,86,67
2:24,2643,Foul on Kaiden Rice.,86,67
2:21,2378,Arkel Lamar made Layup.,88,67
2:13,2643,Matt Frierson Turnover.,88,67
2:11,2378,Joe Sherburne Turnover.,88,67
2:10,2643,Kaelon Harris Steal.,88,67
2:07,2643,Matt Frierson missed Three Point Jumper.,88,67
2:07,2643,Tariq Simmons Offensive Rebound.,88,67
2:01,2643,Quayson Williams missed Three Point Jumper.,88,67
2:01,2378,Josh Rosario Defensive Rebound.,88,67
1:57,2643,Foul on Kaelon Harris.,88,67
1:57,2378,Josh Rosario made Free Throw.,89,67
1:57,2378,Josh Rosario made Free Throw.,90,67
1:53,2643,Tariq Simmons missed Layup.,90,67
1:53,2378,Brandon Horvath Defensive Rebound.,90,67
1:43,2378,Brandon Horvath made Layup. Assisted by Josh Rosario.,92,67
1:37,2378,Foul on Joe Sherburne.,92,67
1:37,2643,Kaelon Harris made Free Throw.,92,68
1:37,2643,Kaelon Harris made Free Throw.,92,69
1:18,2378,Arkel Lamar Turnover.,92,69
1:17,2643,Matt Frierson Steal.,92,69
1:11,2643,Hayden Brown missed Three Point Jumper.,92,69
1:11,2643,Derek Webster Jr. Offensive Rebound.,92,69
1:07,2378,Foul on Arkel Lamar.,92,69
1:07,2643,Derek Webster Jr. missed Free Throw.,92,69
1:07,2643,The Citadel Deadball Team Rebound.,92,69
1:07,2643,Derek Webster Jr. made Free Throw.,92,70
0:57,2643,Foul on Hayden Brown.,92,70
0:57,2378,Brandon Horvath made Free Throw.,93,70
0:57,2378,Brandon Horvath missed Free Throw.,93,70
0:57,2378,Joe Sherburne Offensive Rebound.,93,70
0:45,2378,Max Curran made Layup. Assisted by Joe Sherburne.,95,70
0:39,2643,Tariq Simmons missed Three Point Jumper.,95,70
0:39,2643,Hayden Brown Offensive Rebound.,95,70
0:35,2643,Hayden Brown missed Layup.,95,70
0:35,2643,Derek Webster Jr. Offensive Rebound.,95,70
0:33,2643,Derek Webster Jr. made Layup.,95,72
0:33,2643,Technical Foul on Hayden Brown.,95,72
0:33,2643,Foul on Hayden Brown.,95,72
0:33,2378,Max Curran made Free Throw.,96,72
0:33,2378,Max Curran missed Free Throw.,96,72
0:33,2378,UMBC Deadball Team Rebound.,96,72
0:25,2378,Max Curran made Layup. Assisted by Josh Rosario.,98,72
0:25,2643,Foul on Derek Webster Jr..,98,72
0:25,2378,Max Curran missed Free Throw.,98,72
0:25,2643,Derek Webster Jr. Defensive Rebound.,98,72
0:19,2643,Tariq Simmons missed Layup.,98,72
0:19,2378,Max Curran Block.,98,72
0:17,2378,K.J. Maura Defensive Rebound.,98,72
0:00,2643,End of Game,98,72
