Monmouth,41,Connecticut,2405
1:59,2405,Austin Tilghman made Free Throw.,80,76
1:51,41,Antwoine Anderson missed Jumper.,80,76
1:51,2405,Deion Hammond Defensive Rebound.,80,76
1:20,2405,Ray Salnave missed Layup.,80,76
1:20,41,Josh Carlton Block.,80,76
1:18,41,Josh Carlton Defensive Rebound.,80,76
1:14,41,Christian Vital made Layup.,80,78
1:14,2405,Foul on Austin Tilghman.,80,78
1:13,41,Christian Vital made Free Throw.,80,79
0:45,2405,Foul on Zac Tillman.,80,79
0:45,2405,Zac Tillman Turnover.,80,79
0:45,41,Connecticut  Timeout,80,79
0:32,41,Jalen Adams made Jumper.,80,81
0:06,2405,Micah Seaborn missed Three Point Jumper.,80,81
0:06,41,Christian Vital Defensive Rebound.,80,81
0:05,2405,Foul on Austin Tilghman.,80,81
0:05,2405,Monmouth  Timeout,80,81
0:05,41,Christian Vital made Free Throw.,80,82
0:05,41,Christian Vital made Free Throw.,80,83
0:05,41,Connecticut  Timeout,80,83
0:03,41,Foul on Christian Vital.,80,83
0:03,2405,Marcus McClary made Free Throw.,81,83
0:02,2405,Marcus McClary missed Free Throw.,80,83
0:02,2405,Monmouth Deadball Team Rebound.,80,83
0:02,2405,Foul on Austin Tilghman.,81,83
0:02,41,Christian Vital missed Free Throw.,81,83
0:02,41,Connecticut Deadball Team Rebound.,81,83
0:02,41,Christian Vital made Free Throw.,81,84
0:00,2405,Micah Seaborn missed Three Point Jumper.,81,84
0:00,2405,Monmouth Deadball Team Rebound.,81,84
0:00,41,End of Game,81,84
