South Carolina Upstate,2241,Gardner-Webb,2908
6:30,2908,Deion Holmes missed Jumper.,21,30
6:30,2241,L'Hassane Niangane Block.,21,30
6:29,2241,Jaheam Cornwall Defensive Rebound.,21,30
6:24,2241,Jaheam Cornwall made Three Point Jumper. Assisted by Jaheam Cornwall.,21,33
5:59,2908,Isaiah Anderson Turnover.,21,33
5:51,2241,Patrick Zeck made Jumper. Assisted by Jaheam Cornwall.,21,35
5:23,2908,Mike Cunningham missed Jumper.,21,35
5:23,2241,Patrick Zeck Defensive Rebound.,21,35
5:05,2908,Foul on Ramel Thompkins.,21,35
5:04,2241,Patrick Zeck made Free Throw.,21,36
5:04,2241,Patrick Zeck made Free Throw.,21,37
4:38,2241,Foul on Liam O'Reilly.,21,37
4:38,2908,Jure Span made Free Throw.,22,37
4:38,2908,Jure Span made Free Throw.,23,37
4:19,2241,DJ Laster made Jumper. Assisted by David Efianayi.,23,39
4:07,2908,Mike Cunningham missed Three Point Jumper.,23,39
4:07,2241,Liam O'Reilly Defensive Rebound.,23,39
3:37,2241,Patrick Zeck made Dunk. Assisted by David Efianayi.,23,41
3:07,2908,Malik Moore made Three Point Jumper. Assisted by Jure Span.,26,41
2:49,2241,DJ Laster made Layup. Assisted by Liam O'Reilly.,26,43
2:34,2241,Foul on Patrick Zeck.,26,43
2:34,2241,Official TV Timeout,26,43
2:21,2908,Mike Cunningham missed Three Point Jumper.,26,43
2:21,2241,David Efianayi Defensive Rebound.,26,43
2:11,2241,DJ Laster Turnover.,26,43
2:08,2908,Mike Cunningham Steal.,26,43
2:06,2908,Deion Holmes missed Three Point Jumper.,26,43
2:06,2241,Liam O'Reilly Defensive Rebound.,26,43
1:48,2241,Christian Turner made Layup.,26,45
1:29,2908,Deion Holmes made Layup.,28,45
1:16,2241,Liam O'Reilly made Three Point Jumper. Assisted by Christian Turner.,28,48
0:54,2908,Jure Span made Layup.,30,48
0:40,2241,DJ Laster made Jumper.,30,50
0:18,2908,Malik Moore missed Jumper.,30,50
0:18,2241,David Efianayi Defensive Rebound.,30,50
0:15,2908,Foul on Jure Span.,30,50
0:14,2241,Gardner-Webb  Timeout,30,50
0:14,2241,David Efianayi made Free Throw.,30,51
0:14,2241,David Efianayi made Free Throw.,30,52
0:00,2908,Mike Cunningham missed Jumper.,30,52
0:00,2241,Patrick Zeck Defensive Rebound.,30,52
0:00,2241,End of 1st half,30,52
19:44,2908,Malik Moore made Layup. Assisted by Jure Span.,32,52
19:30,2241,Christian Turner Turnover.,32,52
19:22,2908,Ramel Thompkins missed Three Point Jumper.,32,52
19:22,2241,Liam O'Reilly Defensive Rebound.,32,52
18:53,2908,Foul on Jure Span.,32,52
18:53,2241,Patrick Zeck made Free Throw.,32,53
18:53,2241,Patrick Zeck missed Free Throw.,32,53
18:53,2908,Malik Moore Defensive Rebound.,32,53
18:36,2241,Foul on Patrick Zeck.,32,53
18:36,2908,Malik Moore missed Free Throw.,32,53
18:36,2908,South Carolina Upstate Deadball Team Rebound.,32,53
18:36,2908,Malik Moore made Free Throw.,33,53
18:36,2908,Malik Moore missed Free Throw.,33,53
18:36,2241,Patrick Zeck Defensive Rebound.,33,53
18:16,2241,Liam O'Reilly Turnover.,33,53
17:48,2241,Foul on Patrick Zeck.,33,53
17:30,2908,Deion Holmes missed Three Point Jumper.,33,53
17:30,2241,DJ Laster Defensive Rebound.,33,53
17:21,2241,David Efianayi Turnover.,33,53
17:20,2908,Malik Moore Steal.,33,53
17:02,2908,Malik Moore Turnover.,33,53
17:02,2241,Christian Turner Steal.,33,53
16:57,2241,David Efianayi Turnover.,33,53
16:57,2908,Jure Span Steal.,33,53
16:39,2908,Deion Holmes made Layup.,35,53
16:24,2908,Foul on Mike Cunningham.,35,53
16:24,2241,Christian Turner made Free Throw.,35,54
16:24,2241,Christian Turner made Free Throw.,35,55
16:14,2908,Deion Holmes Turnover.,35,55
16:13,2241,Christian Turner Steal.,35,55
16:10,2241,Liam O'Reilly made Layup. Assisted by Christian Turner.,35,57
15:55,2908,Thomas Booker missed Jumper.,35,57
15:55,2241,Nate Johnson Defensive Rebound.,35,57
15:46,2241,David Efianayi made Layup. Assisted by Christian Turner.,35,59
15:23,2908,Mike Cunningham made Jumper.,37,59
15:02,2241,Patrick Zeck made Jumper.,37,61
14:46,2908,Thomas Booker missed Jumper.,37,61
14:46,2241,Christian Turner Defensive Rebound.,37,61
14:45,2241,Official TV Timeout,37,61
14:45,2908,Foul on Deion Holmes.,37,61
14:32,2241,DJ Laster made Three Point Jumper. Assisted by Nate Johnson.,37,64
14:07,2908,Thomas Booker missed Jumper.,37,64
14:07,2241,Jaheam Cornwall Defensive Rebound.,37,64
13:57,2241,Liam O'Reilly missed Three Point Jumper.,37,64
13:57,2908,Isaiah Anderson Defensive Rebound.,37,64
13:34,2908,Pat Welch missed Three Point Jumper.,37,64
13:34,2908,Mike Cunningham Offensive Rebound.,37,64
13:10,2908,Mike Cunningham missed Three Point Jumper.,37,64
13:10,2241,L'Hassane Niangane Defensive Rebound.,37,64
12:55,2908,Foul on Isaiah Anderson.,37,64
12:42,2241,Liam O'Reilly Turnover.,37,64
12:41,2908,Pat Welch Steal.,37,64
12:27,2908,Carson Smith made Three Point Jumper. Assisted by Mike Cunningham.,40,64
11:55,2241,Nate Johnson missed Three Point Jumper.,40,64
11:55,2241,Patrick Zeck Offensive Rebound.,40,64
11:51,2241,Jaheam Cornwall made Three Point Jumper. Assisted by Patrick Zeck.,40,67
11:31,2908,Thomas Booker made Three Point Jumper. Assisted by Mike Cunningham.,43,67
11:06,2241,Nate Johnson made Three Point Jumper. Assisted by Jaheam Cornwall.,43,70
10:51,2908,Thomas Booker made Three Point Jumper.,46,70
10:28,2908,Foul on Pat Welch.,46,70
10:28,2241,Official TV Timeout,46,70
10:28,2241,DJ Laster missed Jumper.,46,70
10:28,2908,Carson Smith Defensive Rebound.,46,70
10:24,2908,Pat Welch Turnover.,46,70
10:21,2241,Liam O'Reilly Steal.,46,70
10:21,2241,Liam O'Reilly made Dunk.,46,72
10:05,2241,Foul on Christian Turner.,46,72
9:51,2908,Carson Smith missed Three Point Jumper.,46,72
9:51,2241,Liam O'Reilly Defensive Rebound.,46,72
9:33,2241,DJ Laster Turnover.,46,72
9:04,2908,Carson Smith made Three Point Jumper. Assisted by Jure Span.,49,72
8:39,2908,Foul on Carson Smith.,49,72
8:23,2241,DJ Laster missed Jumper.,49,72
8:23,2241,L'Hassane Niangane Offensive Rebound.,49,72
8:23,2241,L'Hassane Niangane missed Jumper.,49,72
8:23,2241,L'Hassane Niangane Offensive Rebound.,49,72
8:23,2908,Foul on Carson Smith.,49,72
8:23,2241,L'Hassane Niangane made Free Throw.,49,73
8:23,2241,L'Hassane Niangane made Free Throw.,49,74
8:15,2908,Thomas Booker made Jumper. Assisted by Pat Welch.,51,74
7:53,2241,DJ Laster Turnover.,51,74
7:52,2908,Carson Smith Steal.,51,74
7:37,2241,Official TV Timeout,51,74
7:37,2241,Foul on L'Hassane Niangane.,51,74
7:22,2908,Ramel Thompkins made Jumper. Assisted by Pat Welch.,53,74
7:00,2241,Patrick Zeck made Layup. Assisted by Christian Turner.,53,76
6:39,2908,Ramel Thompkins Turnover.,53,76
6:38,2241,Nate Johnson made Dunk. Assisted by David Efianayi.,53,78
6:24,2908,Ramel Thompkins missed Jumper.,53,78
6:24,2241,Patrick Zeck Defensive Rebound.,53,78
6:09,2908,Foul on Pat Welch.,53,78
6:09,2241,Christian Turner made Free Throw.,53,79
6:09,2241,Christian Turner made Free Throw.,53,80
5:43,2908,Carson Smith made Three Point Jumper. Assisted by Malik Moore.,56,80
5:15,2908,Foul on Malik Moore.,56,80
5:15,2241,Brandon Miller missed Free Throw.,56,80
5:15,2241,Gardner-Webb Deadball Team Rebound.,56,80
5:15,2241,Brandon Miller missed Free Throw.,56,80
5:15,2908,Carson Smith Defensive Rebound.,56,80
4:46,2908,Thomas Booker missed Three Point Jumper.,56,80
4:46,2241,Nate Johnson Block.,56,80
4:44,2241,Brandon Miller Defensive Rebound.,56,80
4:35,2241,Brandon Miller made Layup. Assisted by Jaheam Cornwall.,56,82
4:13,2241,Foul on Brandon Miller.,56,82
4:06,2908,Thomas Booker missed Three Point Jumper.,56,82
4:06,2908,Pat Welch Offensive Rebound.,56,82
4:01,2908,Pat Welch missed Three Point Jumper.,56,82
4:01,2908,Malik Moore Offensive Rebound.,56,82
4:00,2241,Foul on Brandon Miller.,56,82
4:00,2241,Official TV Timeout,56,82
4:00,2908,Malik Moore made Free Throw.,57,82
4:00,2908,Malik Moore made Free Throw.,58,82
3:51,2241,Foul on Brandon Miller.,58,82
3:51,2241,Brandon Miller Turnover.,58,82
3:27,2908,Isaiah Anderson made Jumper. Assisted by Malik Moore.,60,82
3:10,2908,Foul on Thomas Booker.,60,82
3:10,2241,Liam O'Reilly made Free Throw.,60,83
3:10,2241,Liam O'Reilly made Free Throw.,60,84
2:47,2908,Malik Moore made Layup.,62,84
2:32,2908,Foul on Isaiah Anderson.,62,84
2:32,2241,Jaheam Cornwall made Free Throw.,62,85
2:32,2241,Jaheam Cornwall made Free Throw.,62,86
2:04,2908,Isaiah Anderson made Layup. Assisted by Pat Welch.,64,86
2:04,2241,Foul on Brandon Miller.,64,86
2:04,2908,Isaiah Anderson made Free Throw.,65,86
1:50,2241,Foul on L'Hassane Niangane.,65,86
1:45,2241,Gardner-Webb  Timeout,65,86
1:22,2241,Foul on L'Hassane Niangane.,65,86
1:22,2908,Isaiah Anderson missed Free Throw.,65,86
1:22,2908,Isaiah Anderson missed Free Throw.,65,86
1:22,2908,South Carolina Upstate Deadball Team Rebound.,65,86
1:22,2241,Technical Foul on L'Hassane Niangane.,65,86
1:22,2908,Pat Welch missed Free Throw.,65,86
1:22,2241,Patrick Zeck Defensive Rebound.,65,86
1:22,2908,South Carolina Upstate Deadball Team Rebound.,65,86
1:21,2908,Pat Welch missed Free Throw.,65,86
1:21,2908,South Carolina Upstate Deadball Team Rebound.,65,86
1:08,2908,Foul on Malik Moore.,65,86
1:08,2241,Justin Jenkins made Free Throw.,65,87
1:08,2241,Justin Jenkins missed Free Throw.,65,87
1:08,2908,Pat Welch Defensive Rebound.,65,87
0:42,2908,Carson Smith missed Jumper.,65,87
0:42,2908,Austin Nelson Offensive Rebound.,65,87
0:35,2908,Austin Nelson missed Jumper.,65,87
0:35,2241,Patrick Zeck Defensive Rebound.,65,87
0:17,2241,DJ Laster Turnover.,65,87
0:16,2908,Thomas Booker Steal.,65,87
0:13,2241,Foul on DJ Laster.,65,87
0:13,2908,Thomas Booker made Free Throw.,66,87
0:12,2908,Thomas Booker missed Free Throw.,66,87
0:12,2241,Patrick Zeck Defensive Rebound.,66,87
0:00,2241,End of Game,66,87
