Radford,2678,VMI,2515
9:08,2515,Ed Polite Jr. Block.,18,11
9:08,2515,Ed Polite Jr. Defensive Rebound.,18,11
9:08,2515,Ed Polite Jr. Turnover.,18,11
9:02,2678,Fred Iruafemi missed Jumper.,18,11
9:02,2515,Radford Defensive Rebound.,18,11
8:39,2515,Justin Cousin missed Jumper.,18,11
8:39,2678,VMI Defensive Rebound.,18,11
8:26,2678,Jordan Ratliffe missed Three Point Jumper.,18,11
8:26,2678,Fred Iruafemi Offensive Rebound.,18,11
8:13,2678,Bubba Parham made Jumper.,18,13
7:55,2515,Darius Bolstad missed Layup.,18,13
7:55,2678,Fred Iruafemi Block.,18,13
7:52,2515,Darius Bolstad Offensive Rebound.,18,13
7:48,2515,Carlik Jones made Three Point Jumper.,21,13
7:34,2678,Fred Iruafemi made Jumper. Assisted by Bubba Parham.,21,15
7:11,2515,Foul on Darius Bolstad.,21,15
7:11,2515,Darius Bolstad Turnover.,21,15
7:11,2678,Official TV Timeout,21,15
7:03,2678,Austin Vereen made Three Point Jumper. Assisted by Greg Parham.,21,18
6:42,2515,Darius Bolstad Turnover.,21,18
6:40,2678,Greg Parham Steal.,21,18
6:33,2678,Austin Vereen made Three Point Jumper. Assisted by Bubba Parham.,21,21
6:09,2515,Caleb Tanner missed Three Point Jumper.,21,21
6:09,2515,Darius Bolstad Offensive Rebound.,21,21
6:05,2678,Foul on Tyler Creammer.,21,21
5:58,2515,Devonnte Holland made Jumper.,23,21
5:40,2678,Greg Parham missed Three Point Jumper.,23,21
5:40,2515,Devonnte Holland Defensive Rebound.,23,21
5:20,2515,Devonnte Holland made Layup. Assisted by Travis Fields Jr.,25,21
5:00,2678,Greg Parham missed Three Point Jumper.,25,21
5:00,2515,Devonnte Holland Defensive Rebound.,25,21
4:50,2515,Caleb Tanner missed Three Point Jumper.,25,21
4:50,2515,Travis Fields Jr Offensive Rebound.,25,21
4:44,2515,Travis Fields Jr missed Jumper.,25,21
4:44,2678,Fred Iruafemi Defensive Rebound.,25,21
4:37,2515,Foul on Ed Polite Jr..,25,21
4:37,2678,Garrett Gilkeson made Free Throw.,25,22
4:37,2678,Garrett Gilkeson missed Free Throw.,25,22
4:37,2515,Devonnte Holland Defensive Rebound.,25,22
4:14,2678,Foul on Fred Iruafemi.,25,22
4:03,2515,Travis Fields Jr made Layup.,27,22
3:33,2678,Garrett Gilkeson missed Jumper.,27,22
3:33,2515,Ed Polite Jr. Defensive Rebound.,27,22
3:26,2515,Travis Fields Jr missed Three Point Jumper.,27,22
3:26,2678,Fred Iruafemi Defensive Rebound.,27,22
3:14,2678,Austin Vereen missed Three Point Jumper.,27,22
3:14,2515,Christian Bradford Defensive Rebound.,27,22
3:03,2515,Carlik Jones missed Three Point Jumper.,27,22
3:03,2678,Garrett Gilkeson Defensive Rebound.,27,22
2:34,2678,Garrett Gilkeson missed Three Point Jumper.,27,22
2:34,2678,VMI Offensive Rebound.,27,22
2:31,2678,Official TV Timeout,27,22
2:17,2678,Foul on Sarju Patel.,27,22
2:17,2678,Sarju Patel Turnover.,27,22
2:04,2515,Carlik Jones missed Jumper.,27,22
2:04,2678,Austin Vereen Block.,27,22
2:04,2515,Radford Offensive Rebound.,27,22
1:56,2515,Travis Fields Jr Turnover.,27,22
1:55,2678,Fred Iruafemi Steal.,27,22
1:50,2515,Foul on Randy Phillips.,27,22
1:50,2678,Keith Smith made Free Throw.,27,23
1:50,2678,Keith Smith made Free Throw.,27,24
1:18,2515,Ed Polite Jr. missed Jumper.,27,24
1:18,2515,Devonnte Holland Offensive Rebound.,27,24
1:18,2515,Radford  Turnover.,27,24
0:59,2515,Foul on Devonnte Holland.,27,24
0:59,2678,Fred Iruafemi made Free Throw.,27,25
0:59,2678,Fred Iruafemi made Free Throw.,27,26
0:39,2515,Justin Cousin made Three Point Jumper. Assisted by Carlik Jones.,30,26
0:31,2678,VMI  Timeout,30,26
0:23,2678,Bubba Parham Turnover.,30,26
0:10,2515,Radford  Timeout,30,26
0:01,2515,Justin Cousin Turnover.,30,26
0:01,2678,Keith Smith Steal.,30,26
0:00,2678,End of 1st half,30,26
19:48,2678,Keith Smith Turnover.,30,26
19:45,2515,Ed Polite Jr. Steal.,30,26
19:41,2515,Ed Polite Jr. made Layup.,32,26
19:11,2678,Keith Smith missed Jumper.,32,26
19:11,2678,Tyler Creammer Offensive Rebound.,32,26
19:09,2678,Tyler Creammer missed Layup.,32,26
19:09,2678,Will Miller Offensive Rebound.,32,26
19:05,2678,Will Miller missed Layup.,32,26
19:05,2515,Radford Defensive Rebound.,32,26
18:49,2515,Randy Phillips made Jumper.,34,26
18:28,2678,Bubba Parham made Three Point Jumper. Assisted by Garrett Gilkeson.,34,29
17:58,2515,Donald Hicks Turnover.,34,29
17:56,2678,Will Miller Steal.,34,29
17:47,2678,Keith Smith missed Layup.,34,29
17:47,2678,Tyler Creammer Offensive Rebound.,34,29
17:42,2678,Tyler Creammer made Layup.,34,31
17:34,2515,Ed Polite Jr. missed Layup.,34,31
17:34,2678,Garrett Gilkeson Defensive Rebound.,34,31
17:17,2678,Bubba Parham missed Jumper.,34,31
17:17,2515,Christian Bradford Defensive Rebound.,34,31
17:05,2515,Justin Cousin missed Three Point Jumper.,34,31
17:05,2678,Keith Smith Defensive Rebound.,34,31
16:58,2678,Garrett Gilkeson missed Layup.,34,31
16:58,2515,Ed Polite Jr. Block.,34,31
16:56,2515,Donald Hicks Defensive Rebound.,34,31
16:41,2515,Randy Phillips made Jumper.,36,31
16:41,2678,Foul on Tyler Creammer.,36,31
16:41,2515,Randy Phillips missed Free Throw.,36,31
16:41,2678,Garrett Gilkeson Defensive Rebound.,36,31
16:18,2678,Keith Smith missed Jumper.,36,31
16:18,2678,Garrett Gilkeson Offensive Rebound.,36,31
16:10,2515,Foul on Justin Cousin.,36,31
15:49,2678,Foul on Garrett Gilkeson.,36,31
15:49,2678,Garrett Gilkeson Turnover.,36,31
15:49,2678,Official TV Timeout,36,31
15:19,2515,Ed Polite Jr. made Three Point Jumper.,39,31
15:03,2678,Garrett Gilkeson Turnover.,39,31
15:01,2515,Carlik Jones Steal.,39,31
14:58,2515,Carlik Jones made Layup.,41,31
14:42,2515,Foul on Donald Hicks.,41,31
14:20,2678,VMI  Turnover.,41,31
13:57,2515,Caleb Tanner missed Three Point Jumper.,41,31
13:57,2678,Jordan Ratliffe Defensive Rebound.,41,31
13:54,2678,Jordan Ratliffe Turnover.,41,31
13:48,2515,Travis Fields Jr missed Jumper.,41,31
13:48,2515,Devonnte Holland Offensive Rebound.,41,31
13:44,2515,Devonnte Holland made Layup.,43,31
13:09,2678,Jordan Ratliffe missed Three Point Jumper.,43,31
13:09,2515,Carlik Jones Defensive Rebound.,43,31
12:52,2515,Carlik Jones missed Jumper.,43,31
12:52,2678,Fred Iruafemi Defensive Rebound.,43,31
12:51,2515,Foul on Devonnte Holland.,43,31
12:32,2678,Bubba Parham made Jumper.,43,33
12:13,2515,Travis Fields Jr missed Jumper.,43,33
12:13,2678,Fred Iruafemi Block.,43,33
12:12,2515,Radford Offensive Rebound.,43,33
12:01,2515,Travis Fields Jr missed Jumper.,43,33
12:01,2678,Austin Vereen Defensive Rebound.,43,33
11:56,2678,Austin Vereen Turnover.,43,33
11:54,2515,Travis Fields Jr Steal.,43,33
11:51,2515,Travis Fields Jr made Layup.,45,33
11:27,2678,Austin Vereen missed Layup.,45,33
11:27,2515,Devonnte Holland Defensive Rebound.,45,33
11:21,2515,Caleb Tanner missed Three Point Jumper.,45,33
11:21,2678,Keith Smith Defensive Rebound.,45,33
11:12,2678,Austin Vereen Turnover.,45,33
11:12,2678,Official TV Timeout,45,33
11:08,2515,Devonnte Holland missed Layup.,45,33
11:08,2678,Fred Iruafemi Block.,45,33
11:05,2515,Travis Fields Jr Offensive Rebound.,45,33
11:01,2515,Travis Fields Jr made Three Point Jumper. Assisted by Justin Cousin.,48,33
10:45,2678,Bubba Parham made Three Point Jumper.,48,36
10:26,2515,Leroy Butts IV made Layup. Assisted by Devonnte Holland.,50,36
10:16,2678,Bubba Parham missed Three Point Jumper.,50,36
10:16,2678,Austin Vereen Offensive Rebound.,50,36
10:08,2678,Keith Smith made Three Point Jumper. Assisted by Bubba Parham.,50,39
9:35,2515,Devonnte Holland Turnover.,50,39
9:13,2678,Keith Smith made Layup.,50,41
8:41,2678,Foul on Tyler Creammer.,50,41
8:37,2515,Ed Polite Jr. missed Jumper.,50,41
8:37,2678,Bubba Parham Defensive Rebound.,50,41
8:23,2678,Austin Vereen made Three Point Jumper. Assisted by Fred Iruafemi.,50,44
7:51,2515,Donald Hicks made Three Point Jumper.,53,44
7:31,2678,Jordan Ratliffe Turnover.,53,44
7:31,2678,Official TV Timeout,53,44
7:07,2515,Donald Hicks missed Three Point Jumper.,53,44
7:07,2515,Ed Polite Jr. Offensive Rebound.,53,44
6:44,2515,Christian Bradford made Layup. Assisted by Carlik Jones.,55,44
6:16,2678,Will Miller missed Jumper.,55,44
6:16,2678,Fred Iruafemi Offensive Rebound.,55,44
6:11,2678,Austin Vereen missed Jumper.,55,44
6:11,2515,Ed Polite Jr. Defensive Rebound.,55,44
6:05,2515,Ed Polite Jr. Turnover.,55,44
5:57,2678,Bubba Parham Turnover.,55,44
5:55,2515,Travis Fields Jr Steal.,55,44
5:53,2515,Travis Fields Jr made Layup.,57,44
5:42,2678,Jordan Ratliffe Turnover.,57,44
5:23,2515,Devonnte Holland missed Jumper.,57,44
5:23,2678,Fred Iruafemi Block.,57,44
5:20,2678,Fred Iruafemi Defensive Rebound.,57,44
5:11,2678,Keith Smith missed Three Point Jumper.,57,44
5:11,2515,Devonnte Holland Defensive Rebound.,57,44
4:54,2515,Devonnte Holland made Layup. Assisted by Christian Bradford.,59,44
4:50,2678,VMI  Timeout,59,44
4:25,2678,Garrett Gilkeson made Three Point Jumper. Assisted by Keith Smith.,59,47
4:00,2515,Devonnte Holland Turnover.,59,47
3:50,2515,Ed Polite Jr. Defensive Rebound.,59,47
3:50,2678,Austin Vereen missed Three Point Jumper.,59,47
3:35,2678,Fred Iruafemi missed Jumper.,59,47
3:35,2678,Austin Vereen Offensive Rebound.,59,47
3:22,2678,Bubba Parham missed Layup.,59,47
3:00,2515,Devonnte Holland Block.,59,47
3:00,2678,Fred Iruafemi Offensive Rebound.,59,47
2:50,2678,Austin Vereen missed Three Point Jumper.,59,47
2:50,2678,Keith Smith Offensive Rebound.,59,47
2:49,2678,Austin Vereen made Layup.,59,49
2:45,2515,Donald Hicks missed Jumper.,59,49
2:45,2678,Keith Smith Defensive Rebound.,59,49
2:40,2678,Bubba Parham missed Jumper.,59,49
2:40,2515,Ed Polite Jr. Defensive Rebound.,59,49
2:35,2515,Devonnte Holland made Layup. Assisted by Christian Bradford.,61,49
2:18,2515,Radford  Timeout,61,49
2:00,2515,Foul on Ed Polite Jr..,61,49
2:00,2678,Bubba Parham made Free Throw.,61,50
2:00,2678,Bubba Parham missed Free Throw.,61,50
2:00,2515,Randy Phillips Defensive Rebound.,61,50
1:47,2678,Foul on Bubba Parham.,61,50
1:45,2515,Donald Hicks Turnover.,61,50
1:45,2678,Austin Vereen Steal.,61,50
1:30,2678,Garrett Gilkeson missed Jumper.,61,50
1:30,2515,Ed Polite Jr. Defensive Rebound.,61,50
1:30,2678,Foul on Fred Iruafemi.,61,50
0:50,2678,Foul on Bubba Parham.,61,50
0:45,2515,Carlik Jones made Free Throw.,62,50
0:45,2515,Carlik Jones made Free Throw.,63,50
0:30,2678,Bubba Parham missed Three Point Jumper.,63,50
0:30,2678,Fred Iruafemi Offensive Rebound.,63,50
0:30,2678,Bubba Parham missed Three Point Jumper.,63,50
0:30,2515,Ed Polite Jr. Block.,63,50
0:30,2515,Radford Defensive Rebound.,63,50
0:00,2678,End of Game,63,48
