Rider,2182,Drexel,2520
8:15,2520,Foul on Jordan Allen.,19,27
8:15,2182,Austin Williams made Free Throw.,19,28
8:15,2182,Austin Williams made Free Throw.,19,29
7:59,2520,Jordan Allen made Jumper. Assisted by Stevie Jordan.,21,29
7:38,2182,Jarvis Doles missed Three Point Jumper.,21,29
7:38,2520,Stevie Jordan Defensive Rebound.,21,29
7:31,2520,Stevie Jordan missed Layup.,21,29
7:31,2182,Austin Williams Defensive Rebound.,21,29
7:21,2182,Kurk Lee made Layup.,21,31
7:07,2520,Dimencio Vaughn made Layup.,23,31
6:41,2182,Tramaine Isabell missed Three Point Jumper.,23,31
6:41,2182,Austin Williams Offensive Rebound.,23,31
6:31,2182,Kurk Lee made Jumper.,23,33
6:28,2520,Rider  Timeout,23,33
6:08,2182,Foul on Tramaine Isabell.,23,33
6:08,2520,Dimencio Vaughn made Free Throw.,24,33
6:08,2520,Dimencio Vaughn made Free Throw.,25,33
6:08,2520,Dimencio Vaughn made Free Throw.,26,33
5:44,2182,Austin Williams Turnover.,26,33
5:24,2520,Frederick Scott missed Jumper.,26,33
5:24,2182,Kurk Lee Defensive Rebound.,26,33
5:18,2520,Foul on Stevie Jordan.,26,33
5:18,2182,Tramaine Isabell made Free Throw.,26,34
5:18,2182,Tramaine Isabell made Free Throw.,26,35
4:49,2520,Paxton Wilson missed Three Point Jumper.,26,35
4:49,2520,Dimencio Vaughn Offensive Rebound.,26,35
4:47,2520,Dimencio Vaughn made Layup.,28,35
4:47,2182,Foul on Tyshawn Myles.,28,35
4:47,2520,Dimencio Vaughn missed Free Throw.,28,35
4:47,2182,Jarvis Doles Defensive Rebound.,28,35
4:22,2182,Tramaine Isabell Turnover.,28,35
4:03,2520,Dimencio Vaughn made Layup.,30,35
4:03,2182,Foul on Tyshawn Myles.,30,35
4:03,2520,Dimencio Vaughn missed Free Throw.,30,35
4:03,2182,Austin Williams Defensive Rebound.,30,35
3:48,2182,Tramaine Isabell missed Three Point Jumper.,30,35
3:48,2520,Tyere Marshall Defensive Rebound.,30,35
3:36,2520,Frederick Scott made Layup. Assisted by Tyere Marshall.,32,35
3:36,2182,Foul on Austin Williams.,32,35
3:36,2182,Official TV Timeout,32,35
3:36,2520,Frederick Scott missed Free Throw.,32,35
3:36,2182,Sammy Mojica Defensive Rebound.,32,35
3:23,2182,Kurk Lee missed Three Point Jumper.,32,35
3:23,2520,Tyere Marshall Defensive Rebound.,32,35
3:01,2520,Tyere Marshall made Jumper.,34,35
3:01,2182,Foul on Tadas Kararinas.,34,35
3:01,2520,Tyere Marshall made Free Throw.,35,35
2:41,2182,Sammy Mojica missed Three Point Jumper.,35,35
2:41,2182,Alihan Demir Offensive Rebound.,35,35
2:38,2520,Foul on Frederick Scott.,35,35
2:38,2182,Alihan Demir made Free Throw.,35,36
2:38,2182,Alihan Demir made Free Throw.,35,37
2:16,2520,Dimencio Vaughn made Three Point Jumper. Assisted by Kealen Washington-Ives.,38,37
1:44,2182,Tramaine Isabell missed Three Point Jumper.,38,37
1:44,2520,Dimencio Vaughn Defensive Rebound.,38,37
1:35,2520,Foul on Dimencio Vaughn.,38,37
1:35,2520,Dimencio Vaughn Turnover.,38,37
1:35,2182,Sammy Mojica made Free Throw.,38,38
1:35,2182,Sammy Mojica made Free Throw.,38,39
1:09,2520,Anthony Durham missed Jumper.,38,39
1:09,2182,Kurk Lee Defensive Rebound.,38,39
0:56,2182,Sammy Mojica missed Jumper.,38,39
0:56,2182,Tramaine Isabell Offensive Rebound.,38,39
0:22,2182,Alihan Demir Turnover.,38,39
0:00,2520,Devine Eke made Three Point Jumper. Assisted by Paxton Wilson.,41,39
0:00,2182,End of 1st half,41,39
19:47,2520,Tyere Marshall made Jumper.,43,39
19:29,2182,Jarvis Doles missed Jumper.,43,39
19:29,2520,Frederick Scott Block.,43,39
19:25,2520,Stevie Jordan Defensive Rebound.,43,39
19:22,2520,Jordan Allen missed Three Point Jumper.,43,39
19:22,2182,Kurk Lee Defensive Rebound.,43,39
19:16,2182,Sammy Mojica made Three Point Jumper. Assisted by Kurk Lee.,43,42
19:06,2520,Stevie Jordan Turnover.,43,42
19:05,2182,Tramaine Isabell Steal.,43,42
19:03,2182,Tramaine Isabell missed Layup.,43,42
19:03,2520,Dimencio Vaughn Defensive Rebound.,43,42
18:45,2520,Frederick Scott missed Jumper.,43,42
18:45,2182,Austin Williams Block.,43,42
18:43,2182,Tramaine Isabell Defensive Rebound.,43,42
18:35,2182,Sammy Mojica missed Layup.,43,42
18:35,2520,Tyere Marshall Defensive Rebound.,43,42
18:30,2520,Tyere Marshall Turnover.,43,42
18:29,2182,Sammy Mojica Steal.,43,42
18:27,2182,Sammy Mojica missed Three Point Jumper.,43,42
18:27,2520,Dimencio Vaughn Defensive Rebound.,43,42
18:06,2182,Foul on Kurk Lee.,43,42
18:06,2520,Stevie Jordan made Free Throw.,44,42
18:06,2520,Stevie Jordan made Free Throw.,45,42
17:43,2182,Jarvis Doles missed Three Point Jumper.,45,42
17:43,2520,Rider Defensive Rebound.,45,42
17:32,2520,Jordan Allen missed Jumper.,45,42
17:32,2182,Austin Williams Defensive Rebound.,45,42
17:23,2182,Kurk Lee Turnover.,45,42
17:16,2520,Stevie Jordan Turnover.,45,42
17:15,2182,Kurk Lee Steal.,45,42
17:13,2182,Tramaine Isabell made Layup. Assisted by Kurk Lee.,45,44
16:56,2520,Tyere Marshall missed Jumper.,45,44
16:56,2520,Dimencio Vaughn Offensive Rebound.,45,44
16:51,2520,Tyere Marshall made Jumper. Assisted by Dimencio Vaughn.,47,44
16:24,2182,Austin Williams made Jumper.,47,46
16:16,2182,Foul on Kurk Lee.,47,46
16:15,2520,Stevie Jordan Turnover.,47,46
16:14,2182,Tramaine Isabell Steal.,47,46
15:56,2182,Austin Williams missed Jumper.,47,46
15:56,2520,Tyere Marshall Defensive Rebound.,47,46
15:44,2520,Stevie Jordan Turnover.,47,46
15:43,2182,Sammy Mojica Steal.,47,46
15:39,2182,Sammy Mojica made Layup. Assisted by Tramaine Isabell.,47,48
15:39,2520,Rider  Timeout,47,48
15:39,2182,Official TV Timeout,47,48
15:29,2520,Dimencio Vaughn made Layup. Assisted by Tyere Marshall.,49,48
15:15,2182,Sammy Mojica made Layup. Assisted by Alihan Demir.,49,50
15:00,2520,Dimencio Vaughn missed Jumper.,49,50
15:00,2182,Kurk Lee Defensive Rebound.,49,50
14:33,2182,Sammy Mojica missed Jumper.,49,50
14:33,2520,Tyere Marshall Defensive Rebound.,49,50
14:27,2182,Foul on Alihan Demir.,49,50
14:27,2182,Official TV Timeout,49,50
14:25,2520,Frederick Scott made Layup.,51,50
14:09,2182,Kurk Lee made Three Point Jumper.,51,53
13:45,2520,Kealen Washington-Ives missed Three Point Jumper.,51,53
13:45,2182,Tramaine Isabell Defensive Rebound.,51,53
13:11,2182,Tramaine Isabell missed Three Point Jumper.,51,53
13:11,2520,Devine Eke Defensive Rebound.,51,53
13:07,2520,Frederick Scott made Layup. Assisted by Anthony Durham.,53,53
12:55,2520,Foul on Kealen Washington-Ives.,53,53
12:47,2182,Tramaine Isabell made Three Point Jumper. Assisted by Kurk Lee.,53,56
12:30,2520,Tyere Marshall made Layup. Assisted by Anthony Durham.,55,56
12:11,2182,Sammy Mojica made Layup.,55,58
12:11,2520,Foul on Devine Eke.,55,58
12:11,2182,Sammy Mojica made Free Throw.,55,59
12:01,2520,Frederick Scott missed Layup.,55,59
12:01,2182,Alihan Demir Block.,55,59
11:59,2520,Frederick Scott Offensive Rebound.,55,59
11:56,2520,Frederick Scott missed Jumper.,55,59
11:56,2182,Alihan Demir Block.,55,59
11:54,2520,Tyere Marshall Offensive Rebound.,55,59
11:50,2520,Tyere Marshall made Layup.,57,59
11:34,2182,Kurk Lee missed Layup.,57,59
11:34,2520,Stevie Jordan Block.,57,59
11:32,2182,Tramaine Isabell Offensive Rebound.,57,59
11:30,2520,Foul on Frederick Scott.,57,59
11:30,2182,Official TV Timeout,57,59
11:30,2182,Tramaine Isabell missed Free Throw.,57,59
11:30,2182,Drexel Deadball Team Rebound.,57,59
11:30,2182,Tramaine Isabell made Free Throw.,57,60
11:15,2182,Foul on Alihan Demir.,57,60
11:15,2520,Dimencio Vaughn made Free Throw.,58,60
11:15,2520,Dimencio Vaughn made Free Throw.,59,60
10:51,2182,Tramaine Isabell made Three Point Jumper.,59,63
10:39,2182,Foul on Austin Williams.,59,63
10:35,2520,Stevie Jordan missed Three Point Jumper.,59,63
10:35,2520,Anthony Durham Offensive Rebound.,59,63
10:29,2520,Tyere Marshall made Layup. Assisted by Dimencio Vaughn.,61,63
10:03,2182,Sammy Mojica made Jumper. Assisted by Kurk Lee.,61,65
9:43,2520,Dimencio Vaughn missed Jumper.,61,65
9:43,2182,Alihan Demir Block.,61,65
9:41,2182,Tramaine Isabell Defensive Rebound.,61,65
9:36,2182,Kurk Lee missed Three Point Jumper.,61,65
9:36,2520,Tyere Marshall Defensive Rebound.,61,65
9:24,2520,Anthony Durham made Jumper. Assisted by Stevie Jordan.,63,65
8:58,2520,Foul on Dimencio Vaughn.,63,65
8:58,2182,Sammy Mojica made Free Throw.,63,66
8:58,2182,Sammy Mojica made Free Throw.,63,67
8:58,2182,Sammy Mojica made Free Throw.,63,68
8:45,2520,Dimencio Vaughn Turnover.,63,68
8:44,2182,Tramaine Isabell Steal.,63,68
8:42,2520,Foul on Anthony Durham.,63,68
8:42,2182,Tramaine Isabell made Free Throw.,63,69
8:42,2182,Tramaine Isabell made Free Throw.,63,70
8:31,2520,Stevie Jordan missed Jumper.,63,70
8:31,2520,Dimencio Vaughn Offensive Rebound.,63,70
8:27,2520,Dimencio Vaughn missed Layup.,63,70
8:27,2182,Alihan Demir Defensive Rebound.,63,70
8:23,2520,Foul on Anthony Durham.,63,70
7:57,2182,Austin Williams Turnover.,63,70
7:56,2520,Dimencio Vaughn Steal.,63,70
7:53,2520,Dimencio Vaughn Turnover.,63,70
7:52,2182,Austin Williams Steal.,63,70
7:35,2182,Tramaine Isabell made Three Point Jumper.,63,73
7:31,2520,Rider  Timeout,63,73
7:31,2182,Official TV Timeout,63,73
7:22,2520,Stevie Jordan missed Layup.,63,73
7:22,2182,Tyshawn Myles Block.,63,73
7:20,2520,Stevie Jordan Offensive Rebound.,63,73
7:16,2520,Tyere Marshall made Layup. Assisted by Stevie Jordan.,65,73
7:10,2182,Tramaine Isabell made Layup. Assisted by Tyshawn Myles.,65,75
6:56,2520,Tyere Marshall made Jumper.,67,75
6:32,2520,Foul on Kealen Washington-Ives.,67,75
6:32,2182,Tramaine Isabell made Free Throw.,67,76
6:32,2182,Tramaine Isabell missed Free Throw.,67,76
6:32,2520,Tyere Marshall Defensive Rebound.,67,76
6:25,2520,Stevie Jordan missed Jumper.,67,76
6:25,2520,Tyere Marshall Offensive Rebound.,67,76
6:21,2520,Tyere Marshall Turnover.,67,76
6:20,2182,Alihan Demir Steal.,67,76
6:03,2182,Alihan Demir Turnover.,67,76
5:49,2520,Tyere Marshall made Jumper. Assisted by Frederick Scott.,69,76
5:31,2182,Alihan Demir missed Three Point Jumper.,69,76
5:31,2182,Kurk Lee Offensive Rebound.,69,76
5:05,2182,Tramaine Isabell missed Jumper.,69,76
5:05,2520,Stevie Jordan Defensive Rebound.,69,76
5:00,2520,Jordan Allen made Three Point Jumper. Assisted by Frederick Scott.,72,76
4:45,2182,Drexel  Timeout,72,76
4:28,2182,Sammy Mojica missed Three Point Jumper.,72,76
4:28,2520,Tyere Marshall Defensive Rebound.,72,76
4:04,2520,Jordan Allen missed Three Point Jumper.,72,76
4:04,2182,Sammy Mojica Defensive Rebound.,72,76
3:43,2182,Kurk Lee missed Three Point Jumper.,72,76
3:43,2520,Kealen Washington-Ives Defensive Rebound.,72,76
3:30,2520,Tyere Marshall made Jumper. Assisted by Stevie Jordan.,74,76
3:04,2182,Alihan Demir made Three Point Jumper. Assisted by Tramaine Isabell.,74,79
2:41,2520,Stevie Jordan missed Jumper.,74,79
2:41,2182,Tramaine Isabell Defensive Rebound.,74,79
2:20,2182,Tramaine Isabell made Layup.,74,81
2:14,2520,Rider  Timeout,74,81
1:57,2182,Foul on Alihan Demir.,74,81
1:57,2520,Frederick Scott missed Free Throw.,74,81
1:57,2520,Rider Deadball Team Rebound.,74,81
1:57,2520,Frederick Scott made Free Throw.,75,81
1:27,2182,Sammy Mojica made Three Point Jumper. Assisted by Kurk Lee.,75,84
1:27,2182,Drexel  Timeout,75,84
1:00,2520,Dimencio Vaughn missed Jumper.,75,84
1:00,2182,Austin Williams Block.,75,84
0:58,2182,Tramaine Isabell Defensive Rebound.,75,84
0:57,2182,Drexel  Timeout,75,84
0:51,2520,Foul on Dimencio Vaughn.,75,84
0:51,2182,Kurk Lee made Free Throw.,75,85
0:51,2182,Kurk Lee made Free Throw.,75,86
0:39,2520,Jordan Allen missed Jumper.,75,86
0:39,2182,Tramaine Isabell Defensive Rebound.,75,86
0:34,2520,Foul on Jordan Allen.,75,86
0:34,2182,Tramaine Isabell made Free Throw.,75,87
0:34,2182,Tramaine Isabell made Free Throw.,75,88
0:30,2520,Dimencio Vaughn missed Three Point Jumper.,75,88
0:30,2182,Kurk Lee Defensive Rebound.,75,88
0:15,2520,Foul on Tyere Marshall.,75,88
0:15,2182,Tramaine Isabell made Free Throw.,75,89
0:15,2182,Tramaine Isabell missed Free Throw.,75,89
0:15,2520,Frederick Scott Defensive Rebound.,75,89
0:08,2520,Tyere Marshall made Layup. Assisted by Frederick Scott.,77,89
0:00,2182,End of Game,77,89
