Akron,276,Marshall,2006
7:04,2006,Daniel Utomi Defensive Rebound.,15,30
6:48,2006,Malcolm Duvivier missed Layup.,15,30
6:48,2006,Akron Offensive Rebound.,15,30
6:47,276,Foul on Darius George.,15,30
6:47,2006,Emmanuel Olojakpoke made Free Throw.,16,30
6:47,2006,Emmanuel Olojakpoke made Free Throw.,17,30
6:37,276,C.J. Burks missed Layup.,17,30
6:37,276,Jannson Williams Offensive Rebound.,17,30
6:33,276,Jarrod West Turnover.,17,30
6:27,2006,Emmanuel Olojakpoke missed Three Point Jumper.,17,30
6:27,276,C.J. Burks Defensive Rebound.,17,30
6:25,2006,Foul on Jimond Ivey.,17,30
6:25,276,C.J. Burks made Free Throw.,17,31
6:25,276,C.J. Burks made Free Throw.,17,32
6:14,2006,Malcolm Duvivier made Layup.,19,32
6:14,276,Foul on Phil Bledsoe.,19,32
6:14,2006,Malcolm Duvivier missed Free Throw.,19,32
6:14,276,Jannson Williams Defensive Rebound.,19,32
5:54,276,Jannson Williams Turnover.,19,32
5:52,2006,Virshon Cotton Steal.,19,32
5:48,2006,Malcolm Duvivier missed Three Point Jumper.,19,32
5:48,276,Darius George Defensive Rebound.,19,32
5:27,276,Jarrod West missed Three Point Jumper.,19,32
5:27,2006,Emmanuel Olojakpoke Block.,19,32
5:27,2006,Eric Parrish Defensive Rebound.,19,32
5:16,276,Foul on Jarrod West.,19,32
5:16,2006,Emmanuel Olojakpoke missed Free Throw.,19,32
5:16,2006,Akron Deadball Team Rebound.,19,32
5:16,2006,Emmanuel Olojakpoke missed Free Throw.,19,32
5:16,276,Jannson Williams Defensive Rebound.,19,32
5:06,276,Jannson Williams Turnover.,19,32
4:53,2006,Daniel Utomi missed Three Point Jumper.,19,32
4:53,2006,Jimond Ivey Offensive Rebound.,19,32
4:50,2006,Jimond Ivey Turnover.,19,32
4:37,276,Jarrod West made Jumper.,19,34
4:14,2006,Malcolm Duvivier Turnover.,19,34
4:13,276,Jon Elmore Steal.,19,34
4:05,276,C.J. Burks made Three Point Jumper. Assisted by Jon Elmore.,19,37
3:49,2006,Malcolm Duvivier missed Three Point Jumper.,19,37
3:49,276,Jon Elmore Defensive Rebound.,19,37
3:39,276,Jannson Williams made Dunk. Assisted by Jon Elmore.,19,39
3:20,2006,Jimond Ivey missed Three Point Jumper.,19,39
3:20,276,Darius George Defensive Rebound.,19,39
3:10,276,C.J. Burks missed Three Point Jumper.,19,39
3:10,2006,Jimond Ivey Defensive Rebound.,19,39
2:58,2006,Daniel Utomi missed Three Point Jumper.,19,39
2:58,276,Marshall Defensive Rebound.,19,39
2:56,2006,Foul on Jimond Ivey.,19,39
2:56,276,Official TV Timeout,19,39
2:56,276,Darius George missed Free Throw.,19,39
2:56,2006,Daniel Utomi Defensive Rebound.,19,39
2:40,2006,Malcolm Duvivier Turnover.,19,39
2:31,276,Jarrod West missed Three Point Jumper.,19,39
2:31,2006,Malcolm Duvivier Defensive Rebound.,19,39
2:12,276,Foul on Christian Thieneman.,19,39
2:12,2006,Jaden Sayles missed Free Throw.,19,39
2:12,276,Christian Thieneman Defensive Rebound.,19,39
2:04,276,Jon Elmore missed Three Point Jumper.,19,39
2:04,2006,Jaden Sayles Defensive Rebound.,19,39
1:53,276,Foul on Jon Elmore.,19,39
1:53,2006,Jaden Sayles made Free Throw.,20,39
1:53,2006,Jaden Sayles made Free Throw.,21,39
1:45,276,Jon Elmore Turnover.,21,39
1:44,2006,Eric Parrish Steal.,21,39
1:42,2006,Eric Parrish made Dunk.,23,39
1:33,276,Foul on Dani Koljanin.,23,39
1:33,276,Dani Koljanin Turnover.,23,39
1:13,2006,Malcolm Duvivier Turnover.,23,39
1:12,276,Darius George Steal.,23,39
1:05,276,C.J. Burks missed Jumper.,23,39
1:05,2006,Daniel Utomi Defensive Rebound.,23,39
0:58,2006,Daniel Utomi made Three Point Jumper. Assisted by Malcolm Duvivier.,26,39
0:46,2006,Foul on Malcolm Duvivier.,26,39
0:46,276,Jon Elmore made Free Throw.,26,40
0:46,276,Jon Elmore made Free Throw.,26,41
0:35,2006,Daniel Utomi made Layup. Assisted by Malcolm Duvivier.,28,41
0:35,276,Foul on Darius George.,28,41
0:35,2006,Daniel Utomi made Free Throw.,29,41
0:11,276,Jarrod West made Three Point Jumper. Assisted by Jon Elmore.,29,44
0:01,2006,Daniel Utomi Turnover.,29,44
0:00,276,End of 1st half,29,44
19:43,2006,Malcolm Duvivier missed Layup.,29,44
19:43,276,Ajdin Penava Defensive Rebound.,29,44
19:28,276,Jon Elmore missed Layup.,29,44
19:28,2006,Jimond Ivey Defensive Rebound.,29,44
19:23,2006,Jimond Ivey Turnover.,29,44
19:22,276,Darius George Steal.,29,44
19:14,276,C.J. Burks missed Jumper.,29,44
19:14,2006,Daniel Utomi Defensive Rebound.,29,44
19:06,2006,Daniel Utomi missed Three Point Jumper.,29,44
19:06,276,Ajdin Penava Defensive Rebound.,29,44
18:50,276,Ajdin Penava made Layup. Assisted by C.J. Burks.,29,46
18:27,2006,Daniel Utomi Turnover.,29,46
18:16,276,Ajdin Penava made Layup. Assisted by C.J. Burks.,29,48
17:59,2006,Emmanuel Olojakpoke made Layup.,31,48
17:48,276,Ajdin Penava missed Three Point Jumper.,31,48
17:48,2006,Daniel Utomi Defensive Rebound.,31,48
17:36,2006,Malcolm Duvivier missed Jumper.,31,48
17:36,276,C.J. Burks Defensive Rebound.,31,48
17:30,276,C.J. Burks made Jumper.,31,50
17:21,2006,Akron  Timeout,31,50
17:21,276,Official TV Timeout,31,50
17:19,276,Foul on Jarrod West.,31,50
17:08,2006,Daniel Utomi made Three Point Jumper. Assisted by Malcolm Duvivier.,34,50
16:53,276,Jon Elmore made Layup. Assisted by Jarrod West.,34,52
16:53,2006,Foul on Daniel Utomi.,34,52
16:53,276,Jon Elmore made Free Throw.,34,53
16:43,2006,Malcolm Duvivier missed Layup.,34,53
16:43,276,Ajdin Penava Block.,34,53
16:41,276,Ajdin Penava Defensive Rebound.,34,53
16:34,276,Jon Elmore missed Layup.,34,53
16:34,276,Jarrod West Offensive Rebound.,34,53
16:30,276,Jarrod West missed Layup.,34,53
16:30,276,Ajdin Penava Offensive Rebound.,34,53
16:27,276,Ajdin Penava made Layup.,34,55
16:16,276,Foul on Ajdin Penava.,34,55
16:14,2006,Jimond Ivey Turnover.,34,55
16:03,276,Jon Elmore missed Three Point Jumper.,34,55
16:03,2006,Eric Parrish Defensive Rebound.,34,55
15:54,2006,Daniel Utomi made Three Point Jumper. Assisted by Eric Parrish.,37,55
15:46,2006,Foul on Malcolm Duvivier.,37,55
15:46,276,Official TV Timeout,37,55
15:37,276,C.J. Burks Turnover.,37,55
15:34,2006,Daniel Utomi Steal.,37,55
15:31,2006,Malcolm Duvivier made Layup.,39,55
15:19,276,Foul on Darius George.,39,55
15:19,276,Darius George Turnover.,39,55
15:03,2006,Torrey Patton Turnover.,39,55
14:56,276,Jon Elmore missed Layup.,39,55
14:56,276,Jannson Williams Offensive Rebound.,39,55
14:52,276,Jannson Williams made Layup.,39,57
14:35,276,Foul on Jannson Williams.,39,57
14:35,2006,Jaden Sayles missed Free Throw.,39,57
14:35,2006,Akron Deadball Team Rebound.,39,57
14:35,2006,Jaden Sayles made Free Throw.,40,57
14:27,276,Darius George missed Three Point Jumper.,40,57
14:27,276,Jannson Williams Offensive Rebound.,40,57
14:21,276,Foul on Jannson Williams.,40,57
14:21,276,Jannson Williams Turnover.,40,57
14:07,2006,Daniel Utomi missed Layup.,40,57
14:07,276,Darius George Block.,40,57
14:07,2006,Akron Offensive Rebound.,40,57
14:05,2006,Mark Kostelac made Dunk. Assisted by Jimond Ivey.,42,57
13:39,276,C.J. Burks Turnover.,42,57
13:30,2006,Malcolm Duvivier made Layup.,44,57
13:11,276,Jannson Williams missed Three Point Jumper.,44,57
13:11,2006,Daniel Utomi Defensive Rebound.,44,57
13:07,2006,Daniel Utomi Turnover.,44,57
13:06,276,Darius George Steal.,44,57
13:06,2006,Foul on Mark Kostelac.,44,57
13:06,276,Darius George made Free Throw.,44,58
13:06,276,Darius George missed Free Throw.,44,58
13:06,2006,Daniel Utomi Defensive Rebound.,44,58
12:50,2006,Mark Kostelac missed Dunk.,44,58
12:50,2006,Mark Kostelac Offensive Rebound.,44,58
12:45,2006,Daniel Utomi missed Jumper.,44,58
12:45,276,Marshall Defensive Rebound.,44,58
12:44,2006,Foul on Mark Kostelac.,44,58
12:28,276,Jon Elmore Turnover.,44,58
12:13,2006,Virshon Cotton missed Three Point Jumper.,44,58
12:13,276,Ajdin Penava Defensive Rebound.,44,58
12:03,276,Darius George made Three Point Jumper. Assisted by Ajdin Penava.,44,61
11:48,2006,Foul on Emmanuel Olojakpoke.,44,61
11:48,2006,Emmanuel Olojakpoke Turnover.,44,61
11:48,276,Official TV Timeout,44,61
11:35,276,C.J. Burks Turnover.,44,61
11:34,2006,Emmanuel Olojakpoke Steal.,44,61
11:31,2006,Torrey Patton made Layup.,46,61
11:12,276,Jon Elmore missed Three Point Jumper.,46,61
11:12,2006,Jimond Ivey Defensive Rebound.,46,61
11:02,2006,Emmanuel Olojakpoke made Layup. Assisted by Eric Parrish.,48,61
10:38,276,Jarrod West made Three Point Jumper. Assisted by Darius George.,48,64
10:15,2006,Malcolm Duvivier missed Three Point Jumper.,48,64
10:15,276,Ajdin Penava Defensive Rebound.,48,64
10:01,276,Ajdin Penava missed Layup.,48,64
10:01,2006,Emmanuel Olojakpoke Defensive Rebound.,48,64
9:54,2006,Jimond Ivey made Three Point Jumper. Assisted by Malcolm Duvivier.,51,64
9:26,2006,Foul on Eric Parrish.,51,64
9:26,276,Jon Elmore made Free Throw.,51,65
9:26,276,Jon Elmore made Free Throw.,51,66
9:14,2006,Jimond Ivey missed Three Point Jumper.,51,66
9:14,276,Jarrod West Defensive Rebound.,51,66
8:57,276,Jon Elmore Turnover.,51,66
8:56,2006,Torrey Patton Steal.,51,66
8:37,2006,Malcolm Duvivier missed Jumper.,51,66
8:37,276,Ajdin Penava Defensive Rebound.,51,66
8:27,2006,Foul on Mark Kostelac.,51,66
8:27,276,Ajdin Penava made Free Throw.,51,67
8:27,276,Ajdin Penava made Free Throw.,51,68
8:06,2006,Emmanuel Olojakpoke Turnover.,51,68
7:52,276,Jon Elmore Turnover.,51,68
7:51,2006,Torrey Patton Steal.,51,68
7:45,2006,Daniel Utomi made Three Point Jumper. Assisted by Torrey Patton.,54,68
7:30,276,C.J. Burks missed Jumper.,54,68
7:30,276,Ajdin Penava Offensive Rebound.,54,68
7:27,276,Ajdin Penava made Layup.,54,70
6:58,276,Foul on Ajdin Penava.,54,70
6:58,276,Official TV Timeout,54,70
6:58,2006,Torrey Patton missed Free Throw.,54,70
6:58,2006,Akron Deadball Team Rebound.,54,70
6:58,2006,Torrey Patton made Free Throw.,55,70
6:47,276,C.J. Burks missed Jumper.,55,70
6:47,276,Christian Thieneman Offensive Rebound.,55,70
6:37,276,Jon Elmore Turnover.,55,70
6:37,2006,Daniel Utomi Steal.,55,70
6:17,276,Foul on Christian Thieneman.,55,70
6:17,2006,Emmanuel Olojakpoke made Free Throw.,56,70
6:17,2006,Emmanuel Olojakpoke missed Free Throw.,56,70
6:17,276,Christian Thieneman Defensive Rebound.,56,70
6:15,2006,Foul on Daniel Utomi.,56,70
6:15,276,Christian Thieneman missed Free Throw.,56,70
6:15,276,Darius George Offensive Rebound.,56,70
6:09,276,C.J. Burks made Three Point Jumper. Assisted by Jon Elmore.,56,73
5:43,2006,Virshon Cotton missed Layup.,56,73
5:43,276,Christian Thieneman Block.,56,73
5:43,2006,Akron Offensive Rebound.,56,73
5:32,2006,Malcolm Duvivier missed Three Point Jumper.,56,73
5:32,2006,Eric Parrish Offensive Rebound.,56,73
5:27,2006,Eric Parrish missed Layup.,56,73
5:27,2006,Eric Parrish Offensive Rebound.,56,73
5:24,2006,Emmanuel Olojakpoke missed Layup.,56,73
5:24,2006,Emmanuel Olojakpoke Offensive Rebound.,56,73
5:21,2006,Emmanuel Olojakpoke made Layup.,58,73
5:02,276,Darius George missed Three Point Jumper.,58,73
5:02,276,C.J. Burks Offensive Rebound.,58,73
4:58,276,C.J. Burks made Layup.,58,75
4:35,276,Foul on Jon Elmore.,58,75
4:35,2006,Emmanuel Olojakpoke missed Free Throw.,58,75
4:35,2006,Akron Deadball Team Rebound.,58,75
4:32,2006,Emmanuel Olojakpoke missed Free Throw.,58,75
4:32,2006,Akron Offensive Rebound.,58,75
4:27,2006,Emmanuel Olojakpoke missed Layup.,58,75
4:27,276,Jarrod West Defensive Rebound.,58,75
3:57,276,C.J. Burks made Three Point Jumper.,58,78
3:39,2006,Malcolm Duvivier missed Layup.,58,78
3:39,2006,Emmanuel Olojakpoke Offensive Rebound.,58,78
3:37,2006,Emmanuel Olojakpoke made Layup.,60,78
3:28,276,Jon Elmore made Three Point Jumper. Assisted by Ajdin Penava.,60,81
3:13,276,Official TV Timeout,60,81
3:13,2006,Malcolm Duvivier Turnover.,60,81
2:58,276,Jon Elmore missed Three Point Jumper.,60,81
2:58,276,Ajdin Penava Offensive Rebound.,60,81
2:55,2006,Foul on Emmanuel Olojakpoke.,60,81
2:55,276,Ajdin Penava made Free Throw.,60,82
2:55,276,Ajdin Penava made Free Throw.,60,83
2:42,2006,Jimond Ivey made Jumper.,62,83
2:19,276,C.J. Burks Turnover.,62,83
2:18,2006,Malcolm Duvivier Steal.,62,83
2:15,276,Foul on Jarrod West.,62,83
2:15,2006,Jimond Ivey made Free Throw.,63,83
2:15,2006,Jimond Ivey made Free Throw.,64,83
1:59,276,C.J. Burks missed Three Point Jumper.,64,83
1:59,276,Darius George Offensive Rebound.,64,83
1:49,276,Jarrod West missed Three Point Jumper.,64,83
1:49,276,Ajdin Penava Offensive Rebound.,64,83
1:45,276,Ajdin Penava missed Dunk.,64,83
1:45,276,Jarrod West Offensive Rebound.,64,83
1:42,276,Marshall  Timeout,64,83
1:18,276,Jon Elmore made Three Point Jumper.,64,86
1:01,2006,Jimond Ivey missed Three Point Jumper.,64,86
1:01,276,Jon Elmore Defensive Rebound.,64,86
0:32,276,Jon Elmore missed Three Point Jumper.,64,86
0:32,276,Darius George Offensive Rebound.,64,86
0:00,276,End of Game,64,86
