Oakland City,Error,Evansville,339
14:05,-1,Logan Worthington missed Three Point Jumper.,9,7
14:05,339,Evansville Defensive Rebound.,9,7
13:43,339,Noah Frederking made Three Point Jumper. Assisted by K.J. Riley.,9,10
13:13,-1,Andrew Scott missed Three Point Jumper.,9,10
13:13,339,K.J. Riley Defensive Rebound.,9,10
13:01,339,Marty Hill made Three Point Jumper. Assisted by K.J. Riley.,9,13
12:43,-1,Logan Worthington made Jumper. Assisted by Andre Bearden.,11,13
12:24,339,Noah Frederking made Three Point Jumper. Assisted by K.J. Riley.,11,16
11:59,-1,Logan Worthington missed Jumper.,11,16
11:59,339,Blake Simmons Block.,11,16
11:56,-1,Andrew Scott Offensive Rebound.,11,16
11:53,-1,Andrew Scott made Jumper.,13,16
11:32,339,Evan Kuhlman missed Jumper.,13,16
11:32,-1,Logan Worthington Block.,13,16
11:30,339,Evan Kuhlman Offensive Rebound.,13,16
11:27,339,Evan Kuhlman made Layup.,13,18
11:09,-1,Austin Robertson missed Jumper.,13,18
11:09,339,Noah Frederking Defensive Rebound.,13,18
11:02,339,Blake Simmons missed Layup.,13,18
11:02,339,Evan Kuhlman Offensive Rebound.,13,18
10:57,339,Evan Kuhlman made Two Point Tip Shot.,13,20
10:31,-1,Andre Bearden made Three Point Jumper.,16,20
10:06,339,Blake Simmons made Three Point Jumper. Assisted by K.J. Riley.,16,23
9:53,-1,Andre Bearden Turnover.,16,23
9:53,339,Evansville  Timeout,16,23
9:39,339,John Hall missed Layup.,16,23
9:39,-1,Logan Worthington Defensive Rebound.,16,23
9:21,-1,Mitch Frederick made Layup. Assisted by Logan Worthington.,18,23
9:02,339,John Hall Turnover.,18,23
9:01,-1,Andre Bearden Steal.,18,23
8:36,-1,Andre Bearden missed Three Point Jumper.,18,23
8:36,-1,Logan Worthington Offensive Rebound.,18,23
8:24,-1,Andrew Scott missed Three Point Jumper.,18,23
8:24,339,John Hall Defensive Rebound.,18,23
8:18,339,John Hall Turnover.,18,23
8:15,-1,Andre Bearden Steal.,18,23
8:13,-1,Andre Bearden missed Layup.,18,23
8:13,339,John Hall Defensive Rebound.,18,23
8:08,339,Marty Hill made Three Point Jumper. Assisted by Dru Smith.,18,26
7:47,-1,Logan Worthington made Jumper. Assisted by Andrew Scott.,20,26
7:22,339,Duane Gibson made Jumper. Assisted by Dru Smith.,20,28
7:11,-1,Andrew Scott missed Three Point Jumper.,20,28
7:11,-1,Andrew Scott Offensive Rebound.,20,28
6:53,-1,Joe Hinton made Three Point Jumper. Assisted by Mitch Frederick.,23,28
6:18,339,Dru Smith missed Jumper.,23,28
6:18,-1,Andrew Scott Defensive Rebound.,23,28
6:09,-1,Logan Worthington missed Layup.,23,28
6:09,339,Dalen Traore Block.,23,28
6:04,339,John Hall Defensive Rebound.,23,28
6:04,-1,Foul on Andrew Scott.,23,28
6:04,339,Evansville  Timeout,23,28
5:54,339,Blake Simmons made Jumper. Assisted by K.J. Riley.,23,30
5:28,-1,Andrew Scott made Layup.,25,30
5:19,-1,Foul on Mitch Frederick.,25,30
5:19,339,Blake Simmons made Free Throw.,25,31
5:19,339,Blake Simmons missed Free Throw.,25,31
5:19,-1,Logan Worthington Defensive Rebound.,25,31
4:56,-1,Mitch Frederick missed Three Point Jumper.,25,31
4:56,339,Blake Simmons Defensive Rebound.,25,31
4:46,339,Foul on Blake Simmons.,25,31
4:46,339,Blake Simmons Turnover.,25,31
4:33,-1,Andrew Scott Turnover.,25,31
4:03,339,Noah Frederking missed Three Point Jumper.,25,31
4:03,339,Dru Smith Offensive Rebound.,25,31
3:59,339,Dru Smith missed Jumper.,25,31
3:59,-1,Logan Worthington Block.,25,31
3:57,-1,Joe Hinton Defensive Rebound.,25,31
3:51,-1,Oakland City  Timeout,25,31
3:34,-1,Joe Hinton missed Layup.,25,31
3:34,339,Evansville Defensive Rebound.,25,31
3:15,339,Duane Gibson missed Jumper.,25,31
3:15,339,Dru Smith Offensive Rebound.,25,31
3:09,339,Dru Smith Turnover.,25,31
3:09,-1,Logan Worthington Steal.,25,31
2:49,-1,Christian Marks made Layup.,27,31
2:36,339,Duane Gibson made Jumper. Assisted by Blake Simmons.,27,33
2:10,-1,Andrew Scott missed Three Point Jumper.,27,33
2:10,339,Evan Kuhlman Defensive Rebound.,27,33
2:02,-1,Foul on Mitch Frederick.,27,33
1:59,-1,Foul on Andrew Scott.,27,33
1:39,339,Noah Frederking made Three Point Jumper. Assisted by Blake Simmons.,27,36
0:55,-1,Joe Hinton missed Three Point Jumper.,27,36
0:55,339,Evan Kuhlman Defensive Rebound.,27,36
0:50,339,Noah Frederking made Three Point Jumper. Assisted by Dru Smith.,27,39
0:29,-1,Logan Worthington missed Layup.,27,39
0:29,339,Blake Simmons Defensive Rebound.,27,39
0:05,339,Blake Simmons missed Three Point Jumper.,27,39
0:05,-1,Christian Marks Defensive Rebound.,27,39
0:02,339,Foul on Noah Frederking.,27,39
0:00,339,End of 1st half,27,39
19:50,339,Noah Frederking missed Three Point Jumper.,27,39
19:50,-1,Logan Worthington Defensive Rebound.,27,39
19:26,-1,Andrew Scott made Jumper.,29,39
19:09,339,Blake Simmons missed Jumper.,29,39
19:09,339,Dainius Chatkevicius Offensive Rebound.,29,39
19:05,339,Dainius Chatkevicius made Layup.,29,41
18:35,-1,Andrew Scott missed Three Point Jumper.,29,41
18:35,339,Duane Gibson Defensive Rebound.,29,41
18:30,339,Blake Simmons made Layup. Assisted by Duane Gibson.,29,43
18:04,-1,Austin Robertson missed Three Point Jumper.,29,43
18:04,-1,Logan Worthington Offensive Rebound.,29,43
18:01,339,Foul on Duane Gibson.,29,43
18:01,-1,Logan Worthington made Free Throw.,30,43
18:01,-1,Logan Worthington made Free Throw.,31,43
17:30,339,Blake Simmons made Layup. Assisted by Noah Frederking.,31,45
17:16,-1,Oakland City  Timeout,31,45
16:52,-1,Oakland City  Turnover.,31,45
16:50,339,Duane Gibson Turnover.,31,45
16:48,-1,Logan Worthington Steal.,31,45
16:47,-1,Logan Worthington Turnover.,31,45
16:30,339,Dainius Chatkevicius made Dunk. Assisted by Duane Gibson.,31,47
16:28,-1,Foul on Logan Worthington.,31,47
16:28,339,Dainius Chatkevicius made Free Throw.,31,48
16:09,-1,Austin Robertson missed Jumper.,31,48
16:09,339,Dru Smith Defensive Rebound.,31,48
15:52,339,Dru Smith made Jumper.,31,50
15:28,-1,Andrew Scott missed Jumper.,31,50
15:28,339,Duane Gibson Defensive Rebound.,31,50
15:20,339,Dainius Chatkevicius made Dunk. Assisted by Blake Simmons.,31,52
14:55,-1,Andre Bearden missed Jumper.,31,52
14:55,339,Blake Simmons Block.,31,52
14:51,339,Dainius Chatkevicius Defensive Rebound.,31,52
14:47,339,Duane Gibson Turnover.,31,52
14:45,-1,Logan Worthington Steal.,31,52
14:44,-1,Andrew Scott made Layup. Assisted by Andre Bearden.,33,52
14:18,-1,Foul on Joe Hinton.,33,52
14:18,339,Evansville  Timeout,33,52
14:18,339,Blake Simmons made Free Throw.,33,53
14:18,339,Blake Simmons made Free Throw.,33,54
13:55,-1,Andrew Scott missed Jumper.,33,54
13:55,339,Dainius Chatkevicius Defensive Rebound.,33,54
13:48,339,Marty Hill missed Three Point Jumper.,33,54
13:48,339,Marty Hill Offensive Rebound.,33,54
13:42,339,Dainius Chatkevicius made Dunk. Assisted by K.J. Riley.,33,56
13:16,-1,Austin Robertson made Jumper. Assisted by Logan Worthington.,35,56
12:55,339,Marty Hill made Three Point Jumper. Assisted by K.J. Riley.,35,59
12:32,339,Foul on Dainius Chatkevicius.,35,59
12:32,-1,Andrew Scott made Free Throw.,36,59
12:32,-1,Andrew Scott made Free Throw.,37,59
12:19,339,K.J. Riley made Layup. Assisted by John Hall.,37,61
12:03,339,Foul on K.J. Riley.,37,61
12:03,-1,Christian Marks missed Free Throw.,37,61
12:03,-1,Oakland City Deadball Team Rebound.,37,61
12:03,-1,Christian Marks missed Free Throw.,37,61
12:03,339,Evan Kuhlman Defensive Rebound.,37,61
11:45,339,Evan Kuhlman made Jumper. Assisted by John Hall.,37,63
11:22,-1,Logan Worthington made Layup.,39,63
11:21,339,Foul on Duane Gibson.,39,63
11:21,-1,Oakland City  Timeout,39,63
11:21,-1,Logan Worthington missed Free Throw.,39,63
11:21,339,John Hall Defensive Rebound.,39,63
11:05,339,John Hall made Layup.,39,65
11:05,-1,Foul on Austin Robertson.,39,65
11:05,339,John Hall made Free Throw.,39,66
10:48,339,Foul on K.J. Riley.,39,66
10:48,-1,Andrew Scott made Free Throw.,40,66
10:48,-1,Andrew Scott made Free Throw.,41,66
10:31,339,Evan Kuhlman missed Jumper.,41,66
10:31,-1,Christian Marks Defensive Rebound.,41,66
10:22,-1,Joe Hinton missed Three Point Jumper.,41,66
10:22,339,John Hall Defensive Rebound.,41,66
10:11,339,Duane Gibson made Layup. Assisted by K.J. Riley.,41,68
10:11,-1,Foul on Christian Marks.,41,68
10:11,339,Duane Gibson made Free Throw.,41,69
10:00,-1,Logan Worthington Turnover.,41,69
9:58,339,Dru Smith Steal.,41,69
9:56,339,Noah Frederking missed Jumper.,41,69
9:56,-1,Andre Bearden Block.,41,69
9:56,339,Evansville Offensive Rebound.,41,69
9:44,339,Duane Gibson made Layup. Assisted by Blake Simmons.,41,71
9:32,-1,Christian Marks made Layup.,43,71
9:18,-1,Foul on Mitch Frederick.,43,71
9:18,339,Dru Smith made Free Throw.,43,72
9:18,339,Dru Smith missed Free Throw.,43,72
9:18,-1,Andrew Scott Defensive Rebound.,43,72
9:03,-1,Andrew Scott missed Layup.,43,72
9:03,339,Evan Kuhlman Block.,43,72
9:01,-1,Andrew Scott Offensive Rebound.,43,72
9:00,339,Foul on Dru Smith.,43,72
9:00,-1,Andrew Scott made Free Throw.,44,72
9:00,-1,Andrew Scott missed Free Throw.,44,72
9:00,339,Evan Kuhlman Defensive Rebound.,44,72
8:52,-1,Foul on Andrew Scott.,44,72
8:45,339,Dru Smith made Layup. Assisted by Blake Simmons.,44,74
8:27,-1,Logan Worthington Turnover.,44,74
8:26,339,Dru Smith Steal.,44,74
8:23,339,Duane Gibson made Layup.,44,76
7:57,339,Foul on Evan Kuhlman.,44,76
7:57,-1,Oakland City  Timeout,44,76
7:57,-1,Andre Bearden missed Free Throw.,44,76
7:57,339,Evan Kuhlman Defensive Rebound.,44,76
7:37,339,Dru Smith missed Three Point Jumper.,44,76
7:37,-1,Mitch Frederick Defensive Rebound.,44,76
7:25,-1,Andre Bearden missed Layup.,44,76
7:25,339,Blake Simmons Defensive Rebound.,44,76
7:07,339,Blake Simmons made Three Point Jumper. Assisted by K.J. Riley.,44,79
6:50,-1,Logan Worthington made Three Point Jumper. Assisted by Christian Marks.,47,79
6:24,-1,Foul on Christian Marks.,47,79
6:24,339,K.J. Riley made Free Throw.,47,80
6:24,339,K.J. Riley made Free Throw.,47,81
6:06,-1,Christian Marks missed Three Point Jumper.,47,81
6:06,-1,Oakland City Offensive Rebound.,47,81
6:04,-1,Foul on Logan Worthington.,47,81
6:04,-1,Logan Worthington Turnover.,47,81
6:04,339,K.J. Riley missed Free Throw.,47,81
6:04,339,John Hall Offensive Rebound.,47,81
6:00,339,John Hall made Layup.,47,83
5:45,-1,Andrew Scott missed Three Point Jumper.,47,83
5:45,339,K.J. Riley Defensive Rebound.,47,83
5:37,339,K.J. Riley missed Layup.,47,83
5:37,-1,Mitch Frederick Defensive Rebound.,47,83
5:29,-1,Mitch Frederick missed Layup.,47,83
5:29,339,John Hall Block.,47,83
5:27,-1,Logan Worthington Offensive Rebound.,47,83
5:15,-1,Logan Worthington made Three Point Jumper. Assisted by Christian Marks.,50,83
4:53,339,John Hall made Jumper.,50,85
4:27,-1,Foul on Andrew Scott.,50,85
4:27,-1,Andrew Scott Turnover.,50,85
3:58,339,K.J. Riley Turnover.,50,85
3:56,-1,Mitch Frederick Steal.,50,85
3:47,-1,Christian Marks missed Three Point Jumper.,50,85
3:47,339,Marty Hill Defensive Rebound.,50,85
3:39,339,Evan Kuhlman made Three Point Jumper. Assisted by Marty Hill.,50,88
3:18,-1,Andre Bearden missed Three Point Jumper.,50,88
3:18,339,Evan Kuhlman Defensive Rebound.,50,88
3:07,-1,Foul on Mitch Frederick.,50,88
3:07,339,Evansville  Timeout,50,88
3:07,339,K.J. Riley made Free Throw.,50,89
3:07,339,K.J. Riley missed Free Throw.,50,89
3:07,-1,Mitch Frederick Defensive Rebound.,50,89
2:37,-1,Christian Marks made Layup.,52,89
2:05,339,Marty Hill made Three Point Jumper.,52,92
1:47,-1,Jarod McHugh missed Three Point Jumper.,52,92
1:47,339,John Hall Defensive Rebound.,52,92
1:38,339,Dalen Traore made Layup. Assisted by Marty Hill.,52,94
1:38,-1,Foul on Mitch Frederick.,52,94
1:38,339,Dalen Traore missed Free Throw.,52,94
1:38,-1,Logan Worthington Defensive Rebound.,52,94
1:38,339,Foul on Evan Kuhlman.,52,94
1:38,-1,Logan Worthington made Free Throw.,53,94
1:38,-1,Logan Worthington made Free Throw.,54,94
1:17,339,K.J. Riley made Layup. Assisted by John Hall.,54,96
1:10,-1,Logan Worthington missed Jumper.,54,96
1:10,339,Dalen Traore Defensive Rebound.,54,96
1:00,339,Marty Hill Turnover.,54,96
0:59,-1,Andre Bearden Steal.,54,96
0:58,-1,Andre Bearden made Layup.,56,96
0:38,339,John Hall made Layup.,56,98
0:16,-1,Jarod McHugh missed Three Point Jumper.,56,98
0:16,339,Marty Hill Defensive Rebound.,56,98
0:00,339,End of Game,56,98
