Saint Peter's,2210,Elon,2612
12:00,2612,Foul on Elijah Gonzales.,13,1
11:36,2210,Simon Wright missed Three Point Jumper.,13,1
11:36,2210,Sheldon Eberhardt Offensive Rebound.,13,1
11:21,2612,Foul on Elijah Gonzales.,13,1
11:21,2210,Official TV Timeout,13,1
11:21,2210,Dainan Swoope made Free Throw.,13,2
11:21,2210,Dainan Swoope made Free Throw.,13,3
11:00,2612,Cameron Jones Turnover.,13,3
10:47,2210,Dainan Swoope missed Three Point Jumper.,13,3
10:47,2210,Elon Offensive Rebound.,13,3
10:38,2210,Brian Dawkins made Layup.,13,5
10:14,2612,Nnamdi Enechionyia missed Jumper.,13,5
10:14,2210,Tyler Seibring Defensive Rebound.,13,5
10:02,2210,Brian Dawkins made Layup. Assisted by Sheldon Eberhardt.,13,7
9:44,2612,Cameron Jones missed Three Point Jumper.,13,7
9:44,2210,Tyler Seibring Defensive Rebound.,13,7
9:37,2612,Foul on Jeremiah Livingston.,13,7
9:27,2210,Brian Dawkins made Layup. Assisted by Sheldon Eberhardt.,13,9
9:27,2612,Saint Peter's  Timeout,13,9
9:07,2612,Quinn Taylor made Layup.,15,9
8:51,2210,Seth Fuller Turnover.,15,9
8:49,2612,Quinn Taylor Steal.,15,9
8:46,2612,Quinn Taylor missed Layup.,15,9
8:46,2210,Tyler Seibring Defensive Rebound.,15,9
8:22,2210,Tyler Seibring made Three Point Jumper. Assisted by Sheldon Eberhardt.,15,12
7:49,2612,Quinn Taylor missed Three Point Jumper.,15,12
7:49,2210,Elon Defensive Rebound.,15,12
7:47,2210,Official TV Timeout,15,12
7:38,2210,Tyler Seibring missed Jumper.,15,12
7:38,2612,Quinn Taylor Defensive Rebound.,15,12
7:30,2612,Quinn Taylor Turnover.,15,12
7:00,2210,Tyler Seibring missed Three Point Jumper.,15,12
7:00,2612,Davauhnte Turner Defensive Rebound.,15,12
6:50,2612,Nick Griffin missed Three Point Jumper.,15,12
6:50,2612,Quinn Taylor Offensive Rebound.,15,12
6:35,2612,Cameron Jones missed Three Point Jumper.,15,12
6:35,2612,Quinn Taylor Offensive Rebound.,15,12
6:31,2612,Quinn Taylor made Layup.,17,12
6:30,2210,Foul on Simon Wright.,17,12
6:30,2612,Quinn Taylor made Free Throw.,18,12
6:21,2210,Steven Santa Ana Turnover.,18,12
6:21,2210,Foul on Steven Santa Ana.,18,12
6:03,2612,Quinn Taylor missed Three Point Jumper.,18,12
6:03,2612,Cameron Jones Offensive Rebound.,18,12
5:53,2612,Jeremiah Livingston missed Layup.,18,12
5:53,2210,Sheldon Eberhardt Defensive Rebound.,18,12
5:26,2210,Tyler Seibring made Three Point Jumper. Assisted by Sheldon Eberhardt.,18,15
5:04,2612,Davauhnte Turner missed Jumper.,18,15
5:04,2210,Dainan Swoope Defensive Rebound.,18,15
4:55,2210,Brian Dawkins missed Three Point Jumper.,18,15
4:55,2210,Sheldon Eberhardt Offensive Rebound.,18,15
4:51,2210,Sheldon Eberhardt made Layup.,18,17
4:30,2612,Davauhnte Turner missed Three Point Jumper.,18,17
4:30,2210,Brian Dawkins Defensive Rebound.,18,17
4:05,2612,Foul on Jeremiah Livingston.,18,17
4:05,2210,Tyler Seibring made Free Throw.,18,18
4:05,2210,Tyler Seibring made Free Throw.,18,19
3:40,2612,Nick Griffin made Three Point Jumper. Assisted by Nnamdi Enechionyia.,21,19
3:24,2210,Dmitri Thompson made Layup.,21,21
3:03,2612,Nnamdi Enechionyia missed Three Point Jumper.,21,21
3:03,2210,Dmitri Thompson Defensive Rebound.,21,21
2:46,2210,Dmitri Thompson Turnover.,21,21
2:44,2612,Cameron Jones Steal.,21,21
2:41,2612,Cameron Jones missed Layup.,21,21
2:41,2210,Dainan Swoope Defensive Rebound.,21,21
2:16,2210,Tyler Seibring Turnover.,21,21
2:13,2612,Sam Idowu Steal.,21,21
1:58,2210,Foul on Dainan Swoope.,21,21
1:58,2210,Official TV Timeout,21,21
1:58,2612,Nick Griffin missed Free Throw.,21,21
1:58,2612,Saint Peter's Deadball Team Rebound.,21,21
1:58,2612,Nick Griffin missed Free Throw.,21,21
1:58,2210,Collin Luther Defensive Rebound.,21,21
1:46,2210,Sheldon Eberhardt missed Three Point Jumper.,21,21
1:46,2612,Saint Peter's Defensive Rebound.,21,21
1:16,2612,Quinn Taylor missed Three Point Jumper.,21,21
1:16,2210,Dmitri Thompson Defensive Rebound.,21,21
1:00,2210,Tyler Seibring made Jumper. Assisted by Dmitri Thompson.,21,23
0:33,2612,Sam Idowu made Layup.,23,23
0:01,2210,Brian Dawkins made Layup. Assisted by Sheldon Eberhardt.,23,25
0:01,2612,Foul on Sam Idowu.,23,25
0:01,2210,Brian Dawkins made Free Throw.,23,26
0:00,2210,End of 1st half,23,26
19:34,2612,Davauhnte Turner missed Three Point Jumper.,23,26
19:34,2612,Davauhnte Turner Offensive Rebound.,23,26
19:30,2612,Davauhnte Turner made Layup.,25,26
19:02,2210,Tyler Seibring missed Three Point Jumper.,25,26
19:02,2612,Quinn Taylor Defensive Rebound.,25,26
18:36,2612,Nick Griffin made Three Point Jumper. Assisted by Davauhnte Turner.,28,26
18:18,2210,Steven Santa Ana missed Three Point Jumper.,28,26
18:18,2612,Sam Idowu Defensive Rebound.,28,26
17:54,2612,Sam Idowu missed Layup.,28,26
17:54,2612,Saint Peter's Offensive Rebound.,28,26
17:48,2612,Sam Idowu missed Jumper.,28,26
17:48,2612,Davauhnte Turner Offensive Rebound.,28,26
17:44,2612,Nick Griffin missed Three Point Jumper.,28,26
17:44,2210,Elon Defensive Rebound.,28,26
17:42,2612,Foul on Davauhnte Turner.,28,26
17:28,2210,Dainan Swoope missed Three Point Jumper.,28,26
17:28,2612,Nick Griffin Defensive Rebound.,28,26
16:56,2612,Nnamdi Enechionyia made Jumper.,30,26
16:47,2210,Brian Dawkins Turnover.,30,26
16:35,2612,Sam Idowu missed Three Point Jumper.,30,26
16:35,2612,Nnamdi Enechionyia Offensive Rebound.,30,26
16:20,2612,Davauhnte Turner missed Jumper.,30,26
16:20,2612,Sam Idowu Offensive Rebound.,30,26
16:19,2210,Foul on Dainan Swoope.,30,26
16:17,2612,Davauhnte Turner Turnover.,30,26
16:17,2210,Sheldon Eberhardt Steal.,30,26
16:03,2210,Sheldon Eberhardt missed Jumper.,30,26
16:03,2612,Sam Idowu Defensive Rebound.,30,26
15:56,2612,Nnamdi Enechionyia missed Three Point Jumper.,30,26
15:56,2210,Dmitri Thompson Defensive Rebound.,30,26
15:41,2210,Dmitri Thompson missed Three Point Jumper.,30,26
15:41,2612,Quinn Taylor Defensive Rebound.,30,26
15:37,2210,Official TV Timeout,30,26
15:16,2612,Cameron Jones missed Three Point Jumper.,30,26
15:16,2210,Dmitri Thompson Defensive Rebound.,30,26
15:05,2210,Dmitri Thompson missed Three Point Jumper.,30,26
15:05,2210,Elon Offensive Rebound.,30,26
14:52,2210,Karolis Kundrotas missed Layup.,30,26
14:52,2612,Nick Griffin Defensive Rebound.,30,26
14:33,2612,Elijah Gonzales made Three Point Jumper.,33,26
14:09,2210,Steven Santa Ana Turnover.,33,26
13:53,2612,Elijah Gonzales made Three Point Jumper. Assisted by Cameron Jones.,36,26
13:37,2210,Dmitri Thompson Turnover.,36,26
13:36,2612,Elijah Gonzales Steal.,36,26
13:33,2612,Elijah Gonzales missed Layup.,36,26
13:33,2210,Tyler Seibring Defensive Rebound.,36,26
13:12,2210,Brian Dawkins made Layup.,36,28
13:12,2612,Foul on Julian Powell.,36,28
13:12,2210,Brian Dawkins missed Free Throw.,36,28
13:12,2612,Cameron Jones Defensive Rebound.,36,28
12:56,2612,Nick Griffin missed Jumper.,36,28
12:56,2612,Mamadou Ndiaye Offensive Rebound.,36,28
12:50,2612,Mamadou Ndiaye missed Layup.,36,28
12:50,2210,Brian Dawkins Defensive Rebound.,36,28
12:39,2210,Sheldon Eberhardt missed Jumper.,36,28
12:39,2210,Tyler Seibring Offensive Rebound.,36,28
12:35,2210,Tyler Seibring made Layup.,36,30
12:08,2612,Mamadou Ndiaye made Three Point Jumper. Assisted by Nnamdi Enechionyia.,39,30
11:53,2612,Foul on Cameron Jones.,39,30
11:53,2210,Official TV Timeout,39,30
11:33,2210,Tyler Seibring missed Jumper.,39,30
11:33,2612,Elijah Gonzales Defensive Rebound.,39,30
11:10,2612,Nnamdi Enechionyia missed Three Point Jumper.,39,30
11:10,2210,Sheldon Eberhardt Defensive Rebound.,39,30
11:02,2210,Dmitri Thompson missed Layup.,39,30
11:02,2612,Davauhnte Turner Defensive Rebound.,39,30
10:56,2612,Nick Griffin missed Three Point Jumper.,39,30
10:56,2210,Dainan Swoope Defensive Rebound.,39,30
10:47,2210,Dainan Swoope made Three Point Jumper. Assisted by Dmitri Thompson.,39,33
10:26,2612,Nnamdi Enechionyia missed Three Point Jumper.,39,33
10:26,2210,Dainan Swoope Defensive Rebound.,39,33
10:11,2210,Sheldon Eberhardt made Layup. Assisted by Dmitri Thompson.,39,35
9:46,2612,Nnamdi Enechionyia missed Jumper.,39,35
9:46,2210,Sheldon Eberhardt Defensive Rebound.,39,35
9:45,2612,Foul on Nnamdi Enechionyia.,39,35
9:33,2612,Foul on Quinn Taylor.,39,35
9:33,2210,Tyler Seibring missed Free Throw.,39,35
9:33,2210,Elon Deadball Team Rebound.,39,35
9:33,2210,Tyler Seibring missed Free Throw.,39,35
9:33,2612,Sam Idowu Defensive Rebound.,39,35
9:06,2612,Quinn Taylor Turnover.,39,35
9:06,2210,Tyler Seibring Steal.,39,35
8:49,2210,Brian Dawkins made Jumper. Assisted by Dainan Swoope.,39,37
8:26,2612,Davauhnte Turner missed Three Point Jumper.,39,37
8:26,2612,Sam Idowu Offensive Rebound.,39,37
8:06,2612,Sam Idowu missed Three Point Jumper.,39,37
8:06,2612,Cameron Jones Offensive Rebound.,39,37
7:47,2612,Davauhnte Turner missed Jumper.,39,37
7:47,2210,Brian Dawkins Defensive Rebound.,39,37
7:27,2210,Tyler Seibring made Layup. Assisted by Dainan Swoope.,39,39
7:26,2612,Saint Peter's  Timeout,39,39
7:26,2210,Official TV Timeout,39,39
7:05,2612,Nick Griffin missed Three Point Jumper.,39,39
7:05,2210,Steven Santa Ana Defensive Rebound.,39,39
6:40,2210,Brian Dawkins Turnover.,39,39
6:40,2210,Official TV Timeout,39,39
6:26,2612,Davauhnte Turner missed Jumper.,39,39
6:26,2210,Tyler Seibring Defensive Rebound.,39,39
6:04,2210,Tyler Seibring made Jumper. Assisted by Dainan Swoope.,39,41
5:44,2612,Sam Idowu Turnover.,39,41
5:44,2612,Foul on Sam Idowu.,39,41
5:26,2612,Foul on Elijah Gonzales.,39,41
5:26,2210,Dainan Swoope made Free Throw.,39,42
5:26,2210,Dainan Swoope made Free Throw.,39,43
5:13,2210,Foul on Sheldon Eberhardt.,39,43
5:11,2612,Nnamdi Enechionyia missed Three Point Jumper.,39,43
5:11,2210,Dainan Swoope Defensive Rebound.,39,43
4:57,2210,Tyler Seibring Turnover.,39,43
4:56,2612,Elijah Gonzales Steal.,39,43
4:52,2612,Quinn Taylor missed Layup.,39,43
4:52,2612,Elijah Gonzales Offensive Rebound.,39,43
4:46,2612,Elijah Gonzales made Layup.,41,43
4:30,2210,Sheldon Eberhardt missed Jumper.,41,43
4:30,2612,Sam Idowu Block.,41,43
4:28,2210,Sheldon Eberhardt Offensive Rebound.,41,43
4:23,2210,Dainan Swoope made Jumper.,41,45
4:06,2612,Sam Idowu missed Three Point Jumper.,41,45
4:06,2210,Brian Dawkins Defensive Rebound.,41,45
3:49,2210,Dainan Swoope missed Three Point Jumper.,41,45
3:49,2612,Quinn Taylor Defensive Rebound.,41,45
3:38,2612,Quinn Taylor made Layup. Assisted by Elijah Gonzales.,43,45
3:38,2210,Foul on Brian Dawkins.,43,45
3:38,2210,Official TV Timeout,43,45
3:38,2612,Quinn Taylor made Free Throw.,44,45
3:29,2210,Tyler Seibring made Layup. Assisted by Sheldon Eberhardt.,44,47
3:09,2210,Foul on Sheldon Eberhardt.,44,47
3:09,2612,Quinn Taylor missed Free Throw.,44,47
3:09,2612,Saint Peter's Deadball Team Rebound.,44,47
3:09,2612,Quinn Taylor made Free Throw.,45,47
2:51,2612,Foul on Elijah Gonzales.,45,47
2:51,2210,Tyler Seibring made Free Throw.,45,48
2:51,2210,Tyler Seibring made Free Throw.,45,49
2:38,2612,Elijah Gonzales made Three Point Jumper. Assisted by Sam Idowu.,48,49
2:13,2210,Dainan Swoope missed Three Point Jumper.,48,49
2:13,2612,Sam Idowu Defensive Rebound.,48,49
1:46,2210,Foul on Brian Dawkins.,48,49
1:46,2612,Nick Griffin made Free Throw.,49,49
1:46,2612,Nick Griffin made Free Throw.,50,49
1:23,2210,Brian Dawkins missed Layup.,50,49
1:23,2612,Sam Idowu Defensive Rebound.,50,49
1:00,2612,Sam Idowu missed Layup.,50,49
1:00,2612,Quinn Taylor Offensive Rebound.,50,49
0:56,2612,Nick Griffin missed Three Point Jumper.,50,49
0:56,2210,Tyler Seibring Defensive Rebound.,50,49
0:38,2210,Dainan Swoope missed Layup.,50,49
0:38,2210,Dmitri Thompson Offensive Rebound.,50,49
0:36,2210,Elon  Timeout,50,49
0:24,2210,Brian Dawkins made Three Point Jumper. Assisted by Dainan Swoope.,50,52
0:15,2612,Elijah Gonzales missed Jumper.,50,52
0:15,2210,Dmitri Thompson Defensive Rebound.,50,52
0:13,2612,Foul on Quinn Taylor.,50,52
0:13,2210,Dmitri Thompson missed Free Throw.,50,52
0:13,2612,Nnamdi Enechionyia Defensive Rebound.,50,52
0:07,2210,Foul on Dainan Swoope.,50,52
0:02,2612,Quinn Taylor made Layup.,52,52
0:02,2210,Elon  Timeout,52,52
0:02,2210,Brian Dawkins Turnover.,52,52
0:02,2612,Saint Peter's  Timeout,52,52
0:00,2612,Sam Idowu missed Jumper.,52,52
0:00,2210,Elon Defensive Rebound.,52,52
0:00,2210,End of 2nd half,52,52
4:39,2210,Brian Dawkins made Jumper. Assisted by Sheldon Eberhardt.,52,54
4:15,2612,Elijah Gonzales missed Three Point Jumper.,52,54
4:15,2210,Dmitri Thompson Defensive Rebound.,52,54
3:47,2612,Foul on Elijah Gonzales.,52,54
3:47,2210,Dainan Swoope made Free Throw.,52,55
3:47,2210,Dainan Swoope made Free Throw.,52,56
3:16,2612,Davauhnte Turner made Layup.,54,56
2:43,2210,Tyler Seibring missed Three Point Jumper.,54,56
2:43,2210,Sheldon Eberhardt Offensive Rebound.,54,56
2:24,2210,Sheldon Eberhardt made Layup. Assisted by Tyler Seibring.,54,58
2:02,2210,Foul on Dmitri Thompson.,54,58
2:02,2612,Nick Griffin missed Free Throw.,54,58
2:02,2612,Saint Peter's Deadball Team Rebound.,54,58
2:02,2612,Nick Griffin made Free Throw.,55,58
1:35,2210,Dmitri Thompson missed Three Point Jumper.,55,58
1:35,2210,Dainan Swoope Offensive Rebound.,55,58
1:04,2210,Brian Dawkins made Jumper. Assisted by Sheldon Eberhardt.,55,60
0:42,2612,Saint Peter's  Timeout,55,60
0:36,2612,Davauhnte Turner made Layup.,57,60
0:25,2210,Dainan Swoope Turnover.,57,60
0:25,2612,Davauhnte Turner Steal.,57,60
0:18,2612,Sam Idowu missed Three Point Jumper.,57,60
0:18,2612,Davauhnte Turner Offensive Rebound.,57,60
0:15,2612,Davauhnte Turner made Layup.,59,60
0:15,2612,Saint Peter's  Timeout,59,60
0:13,2612,Foul on Quinn Taylor.,59,60
0:13,2210,Tyler Seibring made Free Throw.,59,61
0:13,2210,Tyler Seibring missed Free Throw.,59,61
0:13,2612,Quinn Taylor Defensive Rebound.,59,61
0:07,2210,Foul on Sheldon Eberhardt.,59,61
0:07,2612,Quinn Taylor made Free Throw.,60,61
0:07,2612,Quinn Taylor made Free Throw.,61,61
0:00,2210,Dainan Swoope missed Layup.,61,61
0:00,2612,Saint Peter's Defensive Rebound.,61,61
0:00,2210,End of 1st overtime,61,61
4:41,2210,Dmitri Thompson missed Three Point Jumper.,61,61
4:41,2612,Quinn Taylor Defensive Rebound.,61,61
4:21,2612,Sam Idowu made Layup. Assisted by Nick Griffin.,63,61
4:01,2210,Tyler Seibring made Jumper. Assisted by Sheldon Eberhardt.,63,63
3:39,2612,Sam Idowu missed Layup.,63,63
3:39,2210,Elon Defensive Rebound.,63,63
3:23,2210,Brian Dawkins missed Three Point Jumper.,63,63
3:23,2210,Elon Offensive Rebound.,63,63
3:19,2210,Elon  Timeout,63,63
3:07,2210,Dainan Swoope made Three Point Jumper. Assisted by Sheldon Eberhardt.,63,66
3:06,2612,Foul on Davauhnte Turner.,63,66
3:06,2210,Dainan Swoope made Free Throw.,63,67
2:53,2612,Quinn Taylor Turnover.,63,67
2:49,2210,Dainan Swoope Steal.,63,67
2:29,2210,Tyler Seibring Turnover.,63,67
2:09,2210,Foul on Brian Dawkins.,63,67
2:09,2612,Nnamdi Enechionyia missed Free Throw.,63,67
2:09,2210,Brian Dawkins Defensive Rebound.,63,67
1:38,2210,Brian Dawkins missed Three Point Jumper.,63,67
1:38,2612,Sam Idowu Block.,63,67
1:37,2612,Saint Peter's Defensive Rebound.,63,67
1:31,2612,Davauhnte Turner missed Three Point Jumper.,63,67
1:31,2210,Brian Dawkins Defensive Rebound.,63,67
1:05,2210,Tyler Seibring missed Three Point Jumper.,63,67
1:05,2210,Dmitri Thompson Offensive Rebound.,63,67
1:00,2210,Dmitri Thompson missed Layup.,63,67
1:00,2612,Nick Griffin Defensive Rebound.,63,67
0:55,2612,Quinn Taylor missed Layup.,63,67
0:55,2210,Tyler Seibring Block.,63,67
0:53,2210,Brian Dawkins Defensive Rebound.,63,67
0:26,2612,Foul on Nnamdi Enechionyia.,63,67
0:26,2210,Dmitri Thompson made Free Throw.,63,68
0:26,2210,Dmitri Thompson made Free Throw.,63,69
0:19,2612,Nick Griffin made Jumper.,65,69
0:18,2612,Saint Peter's  Timeout,65,69
0:15,2612,Foul on Mamadou Ndiaye.,65,69
0:15,2210,Dainan Swoope made Free Throw.,65,70
0:15,2210,Dainan Swoope made Free Throw.,65,71
0:06,2612,Nick Griffin Turnover.,65,71
0:04,2210,Dmitri Thompson Steal.,65,71
0:00,2210,End of Game,65,71
