Boston College,42,Hartford,103
2:08,103,Jerome Robinson missed Jumper.,62,56
2:08,42,John Carroll Defensive Rebound.,62,56
1:57,103,Foul on Ky Bowman.,62,56
1:57,42,Hartford  Timeout,62,56
1:54,42,Travis Weatherington missed Three Point Jumper.,62,56
1:54,103,Jerome Robinson Defensive Rebound.,62,56
1:29,103,Ky Bowman made Layup.,64,56
1:14,103,Foul on Nik Popovic.,64,56
1:06,42,Jack Hobbs made Jumper. Assisted by Travis Weatherington.,64,58
0:52,103,Jordan Chatman made Layup. Assisted by Nik Popovic.,66,58
0:52,42,Foul on Travis Weatherington.,66,58
0:52,103,Jordan Chatman made Free Throw.,67,58
0:43,103,Foul on Nik Popovic.,67,58
0:38,103,Foul on Jerome Robinson.,67,58
0:38,42,Jason Dunne made Free Throw.,67,59
0:38,42,Jason Dunne missed Free Throw.,67,59
0:38,103,Jordan Chatman Defensive Rebound.,67,59
0:34,42,Foul on J.R. Lynch.,67,59
0:34,103,Jerome Robinson made Free Throw.,68,59
0:34,42,Foul on Jason Dunne.,68,59
0:34,42,Technical Foul on Jason Dunne.,68,59
0:34,103,Foul on Jerome Robinson.,68,59
0:34,103,Technical Foul on Jerome Robinson.,68,59
0:34,103,Jerome Robinson made Free Throw.,69,59
0:22,42,John Carroll made Dunk. Assisted by J.R. Lynch.,69,61
0:22,42,Hartford  Timeout,69,61
0:21,42,Foul on Travis Weatherington.,69,61
0:21,103,Jordan Chatman made Free Throw.,70,61
0:21,103,Jordan Chatman made Free Throw.,71,61
0:14,42,Jason Dunne missed Three Point Jumper.,71,61
0:14,103,Steffon Mitchell Defensive Rebound.,71,61
0:05,103,Nik Popovic made Layup. Assisted by Jerome Robinson.,73,61
0:00,42,Andrew Ramirez missed Three Point Jumper.,73,61
0:00,42,Hartford Offensive Rebound.,73,61
0:00,42,End of Game,73,61
