New Mexico,2638,UTEP,167
7:11,167,Chris McNeal missed Three Point Jumper.,17,27
7:11,2638,UTEP Defensive Rebound.,17,27
6:47,2638,Keith Frazier made Jumper.,17,29
6:31,167,Makuach Maluach made Three Point Jumper. Assisted by Chris McNeal.,20,29
6:15,167,Foul on Vladimir Pinchuk.,20,29
6:15,2638,Paul Thomas made Free Throw.,20,30
6:15,2638,Paul Thomas missed Free Throw.,20,30
6:15,167,Dane Kuiper Defensive Rebound.,20,30
6:04,2638,Foul on Jake Flaggert.,20,30
6:04,167,Makuach Maluach made Free Throw.,21,30
6:04,167,Makuach Maluach made Free Throw.,22,30
5:50,2638,Keith Frazier made Three Point Jumper. Assisted by Jake Flaggert.,22,33
5:43,167,Antino Jackson missed Three Point Jumper.,22,33
5:43,2638,Keith Frazier Defensive Rebound.,22,33
5:36,167,Foul on Dane Kuiper.,22,33
5:33,2638,Keith Frazier missed Three Point Jumper.,22,33
5:33,167,Dane Kuiper Defensive Rebound.,22,33
5:24,167,Dane Kuiper missed Three Point Jumper.,22,33
5:24,167,Troy Simons Offensive Rebound.,22,33
5:17,2638,Foul on Keith Frazier.,22,33
5:17,167,Troy Simons made Free Throw.,23,33
5:17,167,Troy Simons made Free Throw.,24,33
4:50,2638,Kobe Magee missed Three Point Jumper.,24,33
4:50,167,Antino Jackson Defensive Rebound.,24,33
4:34,167,Troy Simons missed Jumper.,24,33
4:34,2638,Kobe Magee Defensive Rebound.,24,33
4:11,2638,Jake Flaggert made Three Point Jumper. Assisted by Paul Thomas.,24,36
3:48,167,Joe Furstinger missed Jumper.,24,36
3:48,2638,Omega Harris Defensive Rebound.,24,36
3:37,2638,Isiah Osborne Turnover.,24,36
3:36,2638,Official TV Timeout,24,36
3:16,167,Anthony Mathis missed Three Point Jumper.,24,36
3:16,167,Troy Simons Offensive Rebound.,24,36
3:14,167,Troy Simons Turnover.,24,36
3:02,2638,Jake Flaggert missed Layup.,24,36
3:02,2638,Jake Flaggert Offensive Rebound.,24,36
2:58,2638,Jake Flaggert missed Layup.,24,36
2:58,167,Joe Furstinger Defensive Rebound.,24,36
2:53,2638,Foul on Omega Harris.,24,36
2:53,167,Anthony Mathis made Free Throw.,25,36
2:53,167,Anthony Mathis made Free Throw.,26,36
2:48,2638,Omega Harris made Layup.,26,38
2:48,167,Foul on Joe Furstinger.,26,38
2:48,2638,Omega Harris made Free Throw.,26,39
2:23,167,Sam Logwood made Jumper.,28,39
2:06,2638,Omega Harris made Three Point Jumper. Assisted by Jake Flaggert.,28,42
1:55,167,Anthony Mathis missed Jumper.,28,42
1:55,2638,Tirus Smith Defensive Rebound.,28,42
1:46,2638,UTEP  Timeout,28,42
1:27,2638,Isiah Osborne missed Three Point Jumper.,28,42
1:27,167,Antino Jackson Defensive Rebound.,28,42
1:12,167,Antino Jackson made Three Point Jumper. Assisted by Sam Logwood.,31,42
0:48,2638,Isiah Osborne missed Three Point Jumper.,31,42
0:48,2638,Tirus Smith Offensive Rebound.,31,42
0:45,167,Foul on Vladimir Pinchuk.,31,42
0:45,2638,Tirus Smith missed Free Throw.,31,42
0:45,2638,UTEP Deadball Team Rebound.,31,42
0:45,2638,Tirus Smith made Free Throw.,31,43
0:31,167,Chris McNeal missed Three Point Jumper.,31,43
0:31,2638,Isiah Osborne Defensive Rebound.,31,43
0:29,167,Foul on Makuach Maluach.,31,43
0:29,2638,Isiah Osborne made Free Throw.,31,44
0:29,2638,Isiah Osborne made Free Throw.,31,45
0:13,167,Dane Kuiper missed Three Point Jumper.,31,45
0:13,2638,Trey Touchet Defensive Rebound.,31,45
0:04,2638,Isiah Osborne missed Three Point Jumper.,31,45
0:04,167,Vladimir Pinchuk Defensive Rebound.,31,45
0:00,2638,End of 1st half,31,45
19:43,167,Sam Logwood missed Jumper.,31,45
19:43,2638,Paul Thomas Defensive Rebound.,31,45
19:20,2638,Kobe Magee missed Three Point Jumper.,31,45
19:20,167,Sam Logwood Defensive Rebound.,31,45
19:05,167,Chris McNeal made Three Point Jumper. Assisted by Jachai Simmons.,34,45
18:38,2638,Paul Thomas missed Layup.,34,45
18:38,167,Chris McNeal Defensive Rebound.,34,45
18:33,167,Sam Logwood missed Layup.,34,45
18:33,2638,Isiah Osborne Defensive Rebound.,34,45
18:18,2638,Jake Flaggert missed Three Point Jumper.,34,45
18:18,167,Chris McNeal Defensive Rebound.,34,45
18:08,167,Jachai Simmons missed Dunk.,34,45
18:08,2638,UTEP Defensive Rebound.,34,45
17:52,2638,Paul Thomas missed Layup.,34,45
17:52,167,Vladimir Pinchuk Defensive Rebound.,34,45
17:41,167,Troy Simons missed Three Point Jumper.,34,45
17:41,167,Sam Logwood Offensive Rebound.,34,45
17:36,167,Sam Logwood made Layup.,36,45
17:12,167,Foul on Antino Jackson.,36,45
17:04,2638,Kobe Magee Turnover.,36,45
17:00,2638,Foul on Paul Thomas.,36,45
17:00,167,Vladimir Pinchuk missed Free Throw.,36,45
17:00,167,New Mexico Deadball Team Rebound.,36,45
17:00,167,Vladimir Pinchuk missed Free Throw.,36,45
17:00,2638,Paul Thomas Defensive Rebound.,36,45
16:49,2638,UTEP  Turnover.,36,45
16:41,167,Antino Jackson made Layup.,38,45
16:41,2638,Foul on Isiah Osborne.,38,45
16:41,167,Antino Jackson missed Free Throw.,38,45
16:41,2638,Isiah Osborne Defensive Rebound.,38,45
16:32,2638,Kobe Magee Turnover.,38,45
16:30,167,Chris McNeal Steal.,38,45
16:27,167,Chris McNeal missed Three Point Jumper.,38,45
16:27,2638,Keith Frazier Defensive Rebound.,38,45
16:23,2638,Omega Harris made Layup. Assisted by Paul Thomas.,38,47
16:23,167,Foul on Chris McNeal.,38,47
16:23,2638,Omega Harris made Free Throw.,38,48
16:10,167,Foul on Troy Simons.,38,48
16:10,167,Troy Simons Turnover.,38,48
15:50,2638,Official TV Timeout,38,48
15:41,2638,Keith Frazier made Three Point Jumper.,38,51
15:31,167,Sam Logwood missed Jumper.,38,51
15:31,167,Sam Logwood Offensive Rebound.,38,51
15:29,167,Sam Logwood made Layup.,40,51
15:01,2638,Evan Gilyard made Three Point Jumper. Assisted by Omega Harris.,40,54
14:37,167,Anthony Mathis made Three Point Jumper. Assisted by Sam Logwood.,43,54
14:19,2638,Keith Frazier missed Three Point Jumper.,43,54
14:19,167,Anthony Mathis Defensive Rebound.,43,54
14:11,167,Sam Logwood missed Layup.,43,54
14:11,2638,Isiah Osborne Defensive Rebound.,43,54
14:09,167,Foul on Joe Furstinger.,43,54
13:59,2638,Evan Gilyard Turnover.,43,54
13:38,167,Chris McNeal missed Jumper.,43,54
13:38,167,Vladimir Pinchuk Offensive Rebound.,43,54
13:34,167,Vladimir Pinchuk missed Jumper.,43,54
13:34,167,Troy Simons Offensive Rebound.,43,54
13:28,167,Troy Simons Turnover.,43,54
13:28,2638,Omega Harris Steal.,43,54
13:21,2638,Omega Harris made Three Point Jumper. Assisted by Evan Gilyard.,43,57
12:56,167,Troy Simons missed Jumper.,43,57
12:56,2638,Keith Frazier Defensive Rebound.,43,57
12:53,167,Foul on Troy Simons.,43,57
12:41,2638,Keith Frazier missed Three Point Jumper.,43,57
12:41,167,Chris McNeal Defensive Rebound.,43,57
12:26,2638,Foul on Evan Gilyard.,43,57
12:26,167,Sam Logwood made Free Throw.,44,57
12:26,167,Sam Logwood made Free Throw.,45,57
12:18,2638,Keith Frazier made Dunk.,45,59
12:07,167,Sam Logwood made Three Point Jumper.,48,59
11:41,2638,Evan Gilyard Turnover.,48,59
11:41,2638,Official TV Timeout,48,59
11:29,167,Anthony Mathis made Three Point Jumper. Assisted by Sam Logwood.,51,59
10:52,2638,Isiah Osborne missed Three Point Jumper.,51,59
10:52,167,Vladimir Pinchuk Defensive Rebound.,51,59
10:41,167,Anthony Mathis missed Three Point Jumper.,51,59
10:41,2638,Omega Harris Defensive Rebound.,51,59
10:32,2638,Keith Frazier made Layup. Assisted by Isiah Osborne.,51,61
10:27,2638,Foul on Isiah Osborne.,51,61
10:27,167,Sam Logwood made Jumper.,53,61
10:27,167,Sam Logwood made Free Throw.,54,61
10:23,2638,Keith Frazier Turnover.,54,61
10:21,167,Antino Jackson Steal.,54,61
10:15,2638,Foul on Omega Harris.,54,61
10:15,167,Chris McNeal made Free Throw.,55,61
10:15,167,Chris McNeal made Free Throw.,56,61
10:03,2638,Paul Thomas made Jumper.,56,63
10:03,167,Foul on Makuach Maluach.,56,63
10:03,2638,Paul Thomas made Free Throw.,56,64
9:55,167,Foul on Antino Jackson.,56,64
9:51,167,Antino Jackson missed Three Point Jumper.,56,64
9:51,2638,Paul Thomas Defensive Rebound.,56,64
9:35,2638,Isiah Osborne made Layup.,56,66
9:26,167,Anthony Mathis missed Three Point Jumper.,56,66
9:26,2638,Isiah Osborne Defensive Rebound.,56,66
9:10,2638,Kobe Magee Turnover.,56,66
8:53,167,Foul on Sam Logwood.,56,66
8:53,167,Sam Logwood Turnover.,56,66
8:53,2638,UTEP  Timeout,56,66
8:53,2638,Official TV Timeout,56,66
8:38,2638,Isiah Osborne missed Jumper.,56,66
8:38,167,Sam Logwood Defensive Rebound.,56,66
8:30,167,Sam Logwood Turnover.,56,66
8:22,2638,Isiah Osborne Steal.,56,66
8:19,2638,Isiah Osborne made Free Throw.,56,67
8:19,2638,Isiah Osborne missed Free Throw.,56,67
8:19,167,Sam Logwood Defensive Rebound.,56,67
8:07,167,Joe Furstinger missed Three Point Jumper.,56,67
8:07,167,Dane Kuiper Offensive Rebound.,56,67
7:55,167,Dane Kuiper missed Jumper.,56,67
7:55,2638,Isiah Osborne Defensive Rebound.,56,67
7:48,167,Foul on Dane Kuiper.,56,67
7:48,2638,Official TV Timeout,56,67
7:48,2638,Isiah Osborne made Free Throw.,56,68
7:48,2638,Isiah Osborne missed Free Throw.,56,68
7:48,167,Troy Simons Defensive Rebound.,56,68
7:34,167,Troy Simons missed Jumper.,56,68
7:34,167,Troy Simons Offensive Rebound.,56,68
7:27,167,Troy Simons missed Jumper.,56,68
7:27,167,New Mexico Offensive Rebound.,56,68
7:25,167,Foul on Joe Furstinger.,56,68
7:25,167,Joe Furstinger Turnover.,56,68
7:10,2638,Isiah Osborne made Jumper.,56,70
7:10,167,Sam Logwood missed Free Throw.,56,70
7:10,2638,Omega Harris Defensive Rebound.,56,70
6:49,2638,Foul on Isiah Osborne.,56,70
6:37,2638,Foul on Jake Flaggert.,56,70
6:07,2638,Kobe Magee missed Jumper.,56,70
6:07,167,Troy Simons Defensive Rebound.,56,70
5:55,167,Troy Simons Turnover.,56,70
5:36,2638,Omega Harris missed Layup.,56,70
5:36,167,Sam Logwood Defensive Rebound.,56,70
5:35,2638,Foul on Paul Thomas.,56,70
5:35,167,Sam Logwood missed Free Throw.,56,70
5:35,2638,Jake Flaggert Defensive Rebound.,56,70
5:33,167,Foul on Antino Jackson.,56,70
5:33,2638,Jake Flaggert made Free Throw.,56,71
5:33,2638,Jake Flaggert missed Free Throw.,56,71
5:33,167,Vladimir Pinchuk Defensive Rebound.,56,71
5:13,167,Troy Simons made Three Point Jumper. Assisted by Antino Jackson.,59,71
4:43,2638,Kobe Magee made Jumper.,59,73
4:28,2638,Foul on Paul Thomas.,59,73
4:28,167,Vladimir Pinchuk missed Free Throw.,59,73
4:28,167,New Mexico Deadball Team Rebound.,59,73
4:28,167,Vladimir Pinchuk made Free Throw.,60,73
4:25,2638,UTEP  Timeout,60,73
4:00,2638,Keith Frazier missed Three Point Jumper.,60,73
4:00,167,Antino Jackson Defensive Rebound.,60,73
3:59,2638,Official TV Timeout,60,73
3:59,167,Antino Jackson made Free Throw.,61,73
3:59,167,Antino Jackson missed Free Throw.,60,73
3:59,2638,Foul on Tirus Smith.,60,73
3:59,167,New Mexico Deadball Team Rebound.,60,73
3:59,2638,Official TV Timeout,60,73
3:31,2638,Omega Harris made Three Point Jumper.,61,76
3:22,167,Antino Jackson Turnover.,61,76
2:58,2638,Isiah Osborne missed Jumper.,61,76
2:58,167,Troy Simons Defensive Rebound.,61,76
2:43,2638,Foul on Tirus Smith.,61,76
2:43,167,Chris McNeal made Free Throw.,62,76
2:43,167,Chris McNeal made Free Throw.,63,76
2:16,2638,Jake Flaggert missed Three Point Jumper.,63,76
2:16,167,Vladimir Pinchuk Defensive Rebound.,63,76
2:07,167,Troy Simons missed Three Point Jumper.,63,76
2:07,2638,Kobe Magee Defensive Rebound.,63,76
1:59,2638,Omega Harris Turnover.,63,76
1:57,167,Antino Jackson Steal.,63,76
1:51,2638,Foul on Jake Flaggert.,63,76
1:51,167,Chris McNeal made Free Throw.,64,76
1:51,167,Chris McNeal made Free Throw.,65,76
1:36,2638,Keith Frazier made Layup.,65,78
1:25,167,Vladimir Pinchuk made Dunk. Assisted by Chris McNeal.,67,78
1:14,2638,Omega Harris made Layup.,67,80
1:14,167,Foul on Vladimir Pinchuk.,67,80
1:14,2638,Omega Harris made Free Throw.,67,81
1:06,2638,Foul on Jake Flaggert.,67,81
1:06,167,Sam Logwood made Free Throw.,68,81
1:06,167,Sam Logwood made Free Throw.,69,81
1:06,167,New Mexico  Timeout,69,81
0:59,167,Foul on Antino Jackson.,69,81
0:59,2638,Kobe Magee missed Free Throw.,69,81
0:59,2638,UTEP Deadball Team Rebound.,69,81
0:59,2638,Kobe Magee made Free Throw.,69,82
0:44,167,Dane Kuiper made Three Point Jumper. Assisted by Anthony Mathis.,72,82
0:42,167,New Mexico  Timeout,72,82
0:41,167,Foul on Dane Kuiper.,72,82
0:41,2638,Keith Frazier made Free Throw.,72,83
0:41,2638,Keith Frazier made Free Throw.,72,84
0:37,167,Anthony Mathis made Three Point Jumper. Assisted by Sam Logwood.,75,84
0:37,167,New Mexico  Timeout,75,84
0:35,167,Foul on Jachai Simmons.,75,84
0:35,2638,Kobe Magee made Free Throw.,75,85
0:35,2638,Kobe Magee made Free Throw.,75,86
0:30,2638,Foul on Keith Frazier.,75,86
0:30,167,Antino Jackson missed Free Throw.,75,86
0:30,167,New Mexico Deadball Team Rebound.,75,86
0:30,167,Antino Jackson made Free Throw.,76,86
0:29,167,Foul on Anthony Mathis.,76,86
0:29,2638,Omega Harris made Free Throw.,76,87
0:29,2638,Omega Harris made Free Throw.,76,88
0:23,167,Anthony Mathis missed Three Point Jumper.,76,88
0:23,2638,Keith Frazier Defensive Rebound.,76,88
0:00,2638,End of Game,76,88
