Miami (OH),2710,Western Illinois,193
5:45,2710,Delo Bruster missed Three Point Jumper.,28,23
5:45,193,Nike Sibande Defensive Rebound.,28,23
5:20,193,Bam Bowman missed Three Point Jumper.,28,23
5:20,2710,Jalen Morgan Defensive Rebound.,28,23
5:06,2710,Jalen Morgan missed Three Point Jumper.,28,23
5:06,193,Jalen Adaway Defensive Rebound.,28,23
4:44,193,Nike Sibande made Layup.,30,23
4:28,2710,Kobe Webster made Jumper.,30,25
4:10,193,Nike Sibande made Three Point Jumper. Assisted by Isaiah Coleman-Lands.,33,25
3:55,2710,Kobe Webster missed Jumper.,33,25
3:55,193,Dalonte Brown Defensive Rebound.,33,25
3:36,193,Bam Bowman missed Three Point Jumper.,33,25
3:36,2710,Dalan Ancrum Defensive Rebound.,33,25
3:26,2710,Dalan Ancrum Turnover.,33,25
3:26,2710,Official TV Timeout,33,25
3:12,2710,Foul on Brandon Gilbeck.,33,25
3:02,2710,Foul on Brandon Gilbeck.,33,25
2:49,193,Logan McLane missed Jumper.,33,25
2:49,2710,Jalen Morgan Defensive Rebound.,33,25
2:36,2710,Kobe Webster missed Jumper.,33,25
2:36,193,Isaiah Coleman-Lands Defensive Rebound.,33,25
2:18,193,Logan McLane Turnover.,33,25
2:16,2710,Kobe Webster Steal.,33,25
2:14,2710,Kobe Webster made Three Point Jumper.,33,28
1:51,193,Dalonte Brown missed Three Point Jumper.,33,28
1:51,2710,Jalen Morgan Defensive Rebound.,33,28
1:41,193,Foul on Isaiah Coleman-Lands.,33,28
1:39,193,Foul on Nike Sibande.,33,28
1:34,2710,Dalan Ancrum missed Jumper.,33,28
1:34,193,Jalen Adaway Defensive Rebound.,33,28
1:14,193,Logan McLane made Jumper. Assisted by Nike Sibande.,35,28
0:56,2710,Dalan Ancrum made Three Point Jumper.,35,31
0:24,193,Logan McLane Turnover.,35,31
0:05,2710,Kobe Webster missed Jumper.,35,31
0:05,193,Isaiah Coleman-Lands Defensive Rebound.,35,31
0:00,2710,End of 1st half,35,31
19:48,193,Logan McLane made Dunk. Assisted by Darrian Ringo.,37,31
19:19,2710,Jeremiah Usiosefe missed Three Point Jumper.,37,31
19:19,193,Logan McLane Defensive Rebound.,37,31
19:10,193,Darrian Ringo Turnover.,37,31
19:00,2710,Kobe Webster missed Jumper.,37,31
19:00,2710,Kobe Webster Offensive Rebound.,37,31
18:57,2710,Kobe Webster missed Jumper.,37,31
18:57,193,Dalonte Brown Defensive Rebound.,37,31
18:39,2710,Foul on Kobe Webster.,37,31
18:22,193,Nike Sibande missed Three Point Jumper.,37,31
18:22,2710,Jeremiah Usiosefe Defensive Rebound.,37,31
18:03,2710,Kobe Webster missed Three Point Jumper.,37,31
18:03,193,Dalonte Brown Defensive Rebound.,37,31
17:47,2710,Foul on Brandon Gilbeck.,37,31
17:41,193,Darrian Ringo missed Jumper.,37,31
17:41,193,Logan McLane Offensive Rebound.,37,31
17:23,193,Dalonte Brown Turnover.,37,31
17:21,2710,Jeremiah Usiosefe Steal.,37,31
17:09,2710,C.J. Duff missed Three Point Jumper.,37,31
17:09,2710,Dalan Ancrum Offensive Rebound.,37,31
17:00,2710,C.J. Duff Turnover.,37,31
16:44,193,Logan McLane made Three Point Jumper. Assisted by Darrian Ringo.,40,31
16:25,2710,C.J. Duff made Jumper.,40,33
15:56,193,Dalonte Brown missed Layup.,40,33
15:56,2710,Brandon Gilbeck Defensive Rebound.,40,33
15:54,193,Foul on Dalonte Brown.,40,33
15:54,2710,Official TV Timeout,40,33
15:41,193,Foul on Darrian Ringo.,40,33
15:37,2710,Dalan Ancrum Turnover.,40,33
15:35,193,Nike Sibande Steal.,40,33
15:33,193,Nike Sibande made Layup.,42,33
15:15,2710,Kobe Webster missed Jumper.,42,33
15:15,193,Dalonte Brown Defensive Rebound.,42,33
14:57,193,Dalonte Brown missed Jumper.,42,33
14:57,2710,Kobe Webster Defensive Rebound.,42,33
14:38,2710,Jalen Morgan made Layup. Assisted by Dalan Ancrum.,42,35
14:38,193,Foul on Dalonte Brown.,42,35
14:38,2710,Jalen Morgan made Free Throw.,42,36
14:11,193,Jake Wright missed Three Point Jumper.,42,36
14:11,2710,Jalen Morgan Defensive Rebound.,42,36
13:57,2710,Jalen Morgan missed Jumper.,42,36
13:57,193,Logan McLane Defensive Rebound.,42,36
13:41,193,Rod Mills Jr. Turnover.,42,36
13:41,193,Foul on Rod Mills Jr..,42,36
13:32,193,Foul on Isaiah Coleman-Lands.,42,36
13:29,2710,Jeremiah Usiosefe made Jumper. Assisted by Dalan Ancrum.,42,38
13:08,193,Jake Wright made Jumper. Assisted by Logan McLane.,44,38
12:51,2710,Jeremiah Usiosefe missed Three Point Jumper.,44,38
12:51,193,Jake Wright Defensive Rebound.,44,38
12:37,2710,Foul on Jalen Morgan.,44,38
12:37,193,Logan McLane made Free Throw.,45,38
12:37,193,Logan McLane made Free Throw.,46,38
12:26,2710,Delo Bruster Turnover.,46,38
12:26,193,Jalen Adaway Steal.,46,38
12:26,2710,Foul on Delo Bruster.,46,38
12:17,193,Isaiah Coleman-Lands missed Jumper.,46,38
12:17,2710,Brandon Gilbeck Defensive Rebound.,46,38
12:15,193,Foul on Logan McLane.,46,38
11:52,2710,Brandon Gilbeck Turnover.,46,38
11:52,2710,Foul on Brandon Gilbeck.,46,38
11:52,2710,Official TV Timeout,46,38
11:34,193,Rod Mills Jr. missed Three Point Jumper.,46,38
11:34,2710,C.J. Duff Defensive Rebound.,46,38
11:09,2710,Dalan Ancrum made Three Point Jumper.,46,41
10:47,193,Bam Bowman made Jumper.,48,41
10:23,2710,Jeremiah Usiosefe missed Three Point Jumper.,48,41
10:23,193,Jake Wright Defensive Rebound.,48,41
10:01,193,Jalen Adaway made Three Point Jumper. Assisted by Bam Bowman.,51,41
9:38,2710,C.J. Duff made Jumper.,51,43
9:18,193,Bam Bowman missed Jumper.,51,43
9:18,2710,Delo Bruster Defensive Rebound.,51,43
9:09,2710,Jalen Morgan Turnover.,51,43
9:07,193,Bam Bowman Steal.,51,43
8:47,2710,Foul on Delo Bruster.,51,43
8:41,193,Rod Mills Jr. Turnover.,51,43
8:31,193,Foul on Isaiah Coleman-Lands.,51,43
8:31,2710,Kobe Webster missed Free Throw.,51,43
8:31,193,Rod Mills Jr. Defensive Rebound.,51,43
8:17,2710,Foul on Jalen Morgan.,51,43
8:17,193,Logan McLane missed Free Throw.,51,43
8:17,2710,Jalen Morgan Defensive Rebound.,51,43
7:58,2710,Dalan Ancrum missed Jumper.,51,43
7:58,193,Rod Mills Jr. Defensive Rebound.,51,43
7:41,193,Logan McLane missed Jumper.,51,43
7:41,2710,Jeremiah Usiosefe Defensive Rebound.,51,43
7:29,2710,Jeremiah Usiosefe missed Three Point Jumper.,51,43
7:29,193,Logan McLane Defensive Rebound.,51,43
7:14,193,Darrian Ringo missed Jumper.,51,43
7:14,2710,Dalan Ancrum Defensive Rebound.,51,43
7:02,2710,Jalen Morgan missed Jumper.,51,43
7:02,193,Rod Mills Jr. Block.,51,43
7:00,2710,Jalen Morgan Offensive Rebound.,51,43
6:57,2710,Jalen Morgan Turnover.,51,43
6:57,193,Darrian Ringo Steal.,51,43
6:56,2710,Official TV Timeout,51,43
6:56,193,Jalen Adaway Turnover.,51,43
6:56,2710,Official TV Timeout,51,43
6:44,2710,Brandon Gilbeck made Layup. Assisted by Kobe Webster.,51,45
6:21,193,Darrian Ringo missed Three Point Jumper.,51,45
6:21,2710,Brandon Gilbeck Defensive Rebound.,51,45
6:02,2710,Brandon Gilbeck made Layup.,51,47
5:36,193,Rod Mills Jr. Turnover.,51,47
5:34,2710,Brandon Gilbeck Steal.,51,47
5:27,2710,Dalan Ancrum Turnover.,51,47
5:25,193,Darrian Ringo Steal.,51,47
5:22,193,Darrian Ringo made Layup.,53,47
5:00,2710,Dalan Ancrum Turnover.,53,47
4:34,193,Nike Sibande missed Jumper.,53,47
4:34,2710,Western Illinois Defensive Rebound.,53,47
4:30,193,Foul on Rod Mills Jr..,53,47
4:30,2710,Jeremiah Usiosefe made Free Throw.,53,48
4:30,2710,Jeremiah Usiosefe made Free Throw.,53,49
4:07,193,Darrian Ringo missed Jumper.,53,49
4:07,193,Miami (OH) Offensive Rebound.,53,49
3:56,193,Jalen Adaway missed Three Point Jumper.,53,49
3:56,2710,Jeremiah Usiosefe Defensive Rebound.,53,49
3:42,2710,Dalan Ancrum missed Three Point Jumper.,53,49
3:42,193,Nike Sibande Defensive Rebound.,53,49
3:15,193,Rod Mills Jr. missed Three Point Jumper.,53,49
3:15,2710,C.J. Duff Defensive Rebound.,53,49
3:01,2710,Kobe Webster missed Jumper.,53,49
3:01,193,Rod Mills Jr. Defensive Rebound.,53,49
2:45,193,Miami (OH)  Timeout,53,49
2:29,193,Jalen Adaway missed Jumper.,53,49
2:29,2710,Jeremiah Usiosefe Defensive Rebound.,53,49
2:18,2710,Kobe Webster made Three Point Jumper.,53,52
1:51,193,Darrian Ringo missed Three Point Jumper.,53,52
1:51,2710,C.J. Duff Defensive Rebound.,53,52
1:36,2710,Jeremiah Usiosefe made Layup. Assisted by Kobe Webster.,53,54
1:27,193,Miami (OH)  Timeout,53,54
1:02,193,Logan McLane missed Jumper.,53,54
1:02,193,Logan McLane Offensive Rebound.,53,54
0:55,2710,Foul on Brandon Gilbeck.,53,54
0:55,193,Jake Wright made Free Throw.,54,54
0:55,193,Jake Wright missed Free Throw.,54,54
0:55,2710,Jalen Morgan Defensive Rebound.,54,54
0:29,2710,Kobe Webster made Three Point Jumper.,54,57
0:18,193,Nike Sibande made Three Point Jumper. Assisted by Darrian Ringo.,57,57
0:12,2710,Kobe Webster missed Three Point Jumper.,57,57
0:12,2710,C.J. Duff Offensive Rebound.,57,57
0:04,2710,C.J. Duff missed Layup.,57,57
0:04,2710,Jalen Morgan Offensive Rebound.,57,57
0:03,2710,Jalen Morgan missed Jumper.,57,57
0:03,2710,Jalen Morgan Offensive Rebound.,57,57
0:01,2710,Jalen Morgan Turnover.,57,57
0:01,193,Logan McLane missed Two Point Tip Shot.,57,57
0:01,2710,Western Illinois Deadball Team Rebound.,57,57
0:00,2710,End of 2nd half,57,57
4:45,2710,Kobe Webster missed Jumper.,57,57
4:45,193,Darrian Ringo Defensive Rebound.,57,57
4:32,193,Jalen Adaway Turnover.,57,57
4:31,2710,Dalan Ancrum Steal.,57,57
4:28,2710,Dalan Ancrum made Layup.,57,59
4:00,2710,Foul on Kobe Webster.,57,59
4:00,193,Darrian Ringo made Free Throw.,58,59
4:00,193,Darrian Ringo missed Free Throw.,58,59
4:00,2710,Jeremiah Usiosefe Defensive Rebound.,58,59
3:37,193,Foul on Darrian Ringo.,58,59
3:37,2710,Kobe Webster made Free Throw.,58,60
3:37,2710,Kobe Webster made Free Throw.,58,61
3:19,193,Isaiah Coleman-Lands missed Three Point Jumper.,58,61
3:19,193,Isaiah Coleman-Lands Offensive Rebound.,58,61
3:09,193,Isaiah Coleman-Lands made Three Point Jumper.,61,61
2:50,2710,Jalen Morgan made Layup. Assisted by Kobe Webster.,61,63
2:49,193,Foul on Dalonte Brown.,61,63
2:49,2710,Jalen Morgan missed Free Throw.,61,63
2:49,193,Rod Mills Jr. Defensive Rebound.,61,63
2:29,193,Rod Mills Jr. made Jumper.,63,63
2:16,2710,Kobe Webster made Jumper.,63,65
1:53,193,Isaiah Coleman-Lands missed Three Point Jumper.,63,65
1:53,2710,Dalan Ancrum Defensive Rebound.,63,65
1:36,2710,Western Illinois  Timeout,63,65
1:25,2710,Jalen Morgan Turnover.,63,65
1:07,2710,Foul on Jalen Morgan.,63,65
1:07,193,Logan McLane missed Free Throw.,63,65
1:07,193,Miami (OH) Deadball Team Rebound.,63,65
1:07,193,Logan McLane made Free Throw.,64,65
0:38,193,Foul on Nike Sibande.,64,65
0:38,2710,C.J. Duff missed Free Throw.,64,65
0:38,2710,Western Illinois Deadball Team Rebound.,64,65
0:38,2710,C.J. Duff made Free Throw.,64,66
0:17,2710,Foul on Jeremiah Usiosefe.,64,66
0:17,193,Jalen Adaway made Free Throw.,65,66
0:17,193,Jalen Adaway made Free Throw.,66,66
0:05,2710,Dalan Ancrum Turnover.,66,66
0:04,193,Nike Sibande Steal.,66,66
0:01,193,Nike Sibande missed Three Point Jumper.,66,66
0:01,193,Rod Mills Jr. Offensive Rebound.,66,66
0:00,2710,End of 1st overtime,66,66
4:33,2710,Kobe Webster missed Jumper.,66,66
4:33,193,Logan McLane Defensive Rebound.,66,66
4:03,193,Jalen Adaway missed Jumper.,66,66
4:03,2710,Jeremiah Usiosefe Defensive Rebound.,66,66
3:41,2710,Jalen Morgan made Jumper.,66,68
3:26,2710,Foul on C.J. Duff.,66,68
3:26,193,Logan McLane missed Free Throw.,66,68
3:26,193,Miami (OH) Deadball Team Rebound.,66,68
3:26,193,Logan McLane made Free Throw.,67,68
3:15,2710,Dalan Ancrum Turnover.,67,68
3:13,193,Darrian Ringo Steal.,67,68
3:11,193,Logan McLane made Layup. Assisted by Darrian Ringo.,69,68
2:38,2710,Kobe Webster Turnover.,69,68
2:37,193,Jalen Adaway Steal.,69,68
2:16,2710,Foul on C.J. Duff.,69,68
2:16,193,Nike Sibande made Free Throw.,70,68
2:16,193,Nike Sibande made Free Throw.,71,68
2:00,2710,Kobe Webster missed Jumper.,71,68
2:00,2710,Dalan Ancrum Offensive Rebound.,71,68
1:40,2710,Jalen Morgan made Jumper.,71,70
1:20,193,Darrian Ringo made Layup.,73,70
0:59,2710,C.J. Duff missed Three Point Jumper.,73,70
0:59,193,Darrian Ringo Defensive Rebound.,73,70
0:35,193,Miami (OH)  Timeout,73,70
0:35,2710,Western Illinois  Timeout,73,70
0:26,193,Nike Sibande missed Jumper.,73,70
0:26,193,Logan McLane Offensive Rebound.,73,70
0:24,193,Darrian Ringo Turnover.,73,70
0:22,2710,Kobe Webster Steal.,73,70
0:14,2710,Western Illinois  Timeout,73,70
0:08,2710,Dalan Ancrum made Three Point Jumper.,73,73
0:03,193,Darrian Ringo made Three Point Jumper.,76,73
0:01,2710,Jeremiah Usiosefe missed Three Point Jumper.,76,73
0:01,193,Miami (OH) Deadball Team Rebound.,76,73
0:00,2710,End of Game,76,73
