IUPUI,2050,Ball State,85
3:34,2050,Ishmael El-Amin missed Three Point Jumper.,17,31
3:34,85,Maurice Kirby Defensive Rebound.,17,31
3:09,85,Elyjah Goss made Three Point Jumper. Assisted by D.J. McCall.,20,31
2:47,2050,Tayler Persons made Jumper.,20,33
2:29,85,Maurice Kirby missed Jumper.,20,33
2:29,2050,Kyle Mallers Defensive Rebound.,20,33
2:05,2050,Trey Moses made Layup. Assisted by Ishmael El-Amin.,20,35
2:05,85,Foul on Ron Patterson.,20,35
2:00,2050,Official TV Timeout,20,35
2:00,2050,Trey Moses made Free Throw.,20,36
1:50,85,Elyjah Goss missed Three Point Jumper.,20,36
1:50,2050,Tahjai Teague Defensive Rebound.,20,36
1:35,2050,Sean Sellers Turnover.,20,36
1:22,85,T.J. Henderson made Layup.,22,36
1:22,2050,Foul on Ishmael El-Amin.,22,36
1:22,85,T.J. Henderson made Free Throw.,23,36
1:01,2050,Tahjai Teague Turnover.,23,36
0:59,85,Aaron Brennan Steal.,23,36
0:55,85,T.J. Henderson missed Three Point Jumper.,23,36
0:55,2050,Trey Moses Defensive Rebound.,23,36
0:40,2050,Francis Kiapway made Three Point Jumper. Assisted by Trey Moses.,23,39
0:23,85,Elyjah Goss missed Layup.,23,39
0:23,85,Elyjah Goss Offensive Rebound.,23,39
0:20,85,Elyjah Goss missed Layup.,23,39
0:20,2050,Tahjai Teague Block.,23,39
0:17,2050,Ishmael El-Amin Defensive Rebound.,23,39
0:05,2050,Ishmael El-Amin made Jumper.,23,41
0:01,85,Ron Patterson Turnover.,23,41
0:01,2050,Ball State  Timeout,23,41
0:00,2050,End of 1st half,23,41
19:49,85,Evan Hall Turnover.,23,41
19:30,2050,Jontrell Walker Turnover.,23,41
19:27,85,Jaylen Minnett Steal.,23,41
19:18,85,D.J. McCall missed Three Point Jumper.,23,41
19:18,2050,Jontrell Walker Defensive Rebound.,23,41
19:02,2050,Tahjai Teague Turnover.,23,41
18:47,2050,Foul on Tayler Persons.,23,41
18:36,85,Jaylen Minnett Turnover.,23,41
18:35,2050,Kyle Mallers Steal.,23,41
18:16,85,Foul on Nick Rogers.,23,41
18:12,2050,Kyle Mallers made Three Point Jumper. Assisted by Sean Sellers.,23,44
17:50,85,Evan Hall made Layup.,25,44
17:33,85,Foul on Aaron Brennan.,25,44
17:31,2050,Tayler Persons made Three Point Jumper. Assisted by Sean Sellers.,25,47
17:12,2050,Foul on Tayler Persons.,25,47
17:12,2050,Technical Foul on Tayler Persons.,25,47
17:12,2050,Foul on Tayler Persons.,25,47
17:12,85,Jaylen Minnett made Free Throw.,26,47
17:12,85,Jaylen Minnett made Free Throw.,27,47
16:57,85,Aaron Brennan made Three Point Jumper. Assisted by Nick Rogers.,30,47
16:29,2050,Kyle Mallers missed Layup.,30,47
16:29,2050,Tahjai Teague Offensive Rebound.,30,47
16:27,2050,Tahjai Teague made Layup.,30,49
16:27,85,Foul on Aaron Brennan.,30,49
16:27,2050,Tahjai Teague made Free Throw.,30,50
16:15,85,D.J. McCall Turnover.,30,50
15:58,2050,Official TV Timeout,30,50
15:56,2050,Sean Sellers made Three Point Jumper. Assisted by Tahjai Teague.,30,53
15:38,2050,Foul on Tahjai Teague.,30,53
15:27,85,Evan Hall missed Layup.,30,53
15:27,2050,Tahjai Teague Defensive Rebound.,30,53
15:15,85,Foul on Evan Hall.,30,53
15:15,2050,Kyle Mallers made Free Throw.,30,54
15:15,2050,Kyle Mallers made Free Throw.,30,55
14:51,85,Ron Patterson missed Three Point Jumper.,30,55
14:51,2050,Kyle Mallers Defensive Rebound.,30,55
14:26,2050,Jontrell Walker made Three Point Jumper. Assisted by Ishmael El-Amin.,30,58
14:07,85,Maurice Kirby Turnover.,30,58
14:07,2050,Trey Moses Steal.,30,58
13:52,2050,Sean Sellers missed Three Point Jumper.,30,58
13:52,85,Maurice Kirby Defensive Rebound.,30,58
13:32,85,Aaron Brennan missed Layup.,30,58
13:32,2050,Trey Moses Block.,30,58
13:28,85,Maurice Kirby Offensive Rebound.,30,58
13:26,85,Maurice Kirby made Layup.,32,58
13:07,2050,Sean Sellers missed Three Point Jumper.,32,58
13:07,2050,Trey Moses Offensive Rebound.,32,58
13:02,2050,Ball State  Timeout,32,58
13:02,2050,Official TV Timeout,32,58
12:52,85,Foul on T.J. Henderson.,32,58
12:39,85,Foul on Jaylen Minnett.,32,58
12:39,2050,Trey Moses missed Free Throw.,32,58
12:39,2050,Ball State Deadball Team Rebound.,32,58
12:39,2050,Trey Moses missed Free Throw.,32,58
12:39,85,IUPUI Defensive Rebound.,32,58
12:26,85,Jaylen Minnett made Three Point Jumper. Assisted by Ron Patterson.,35,58
11:59,2050,Trey Moses made Layup. Assisted by Zach Gunn.,35,60
11:59,85,Foul on Maurice Kirby.,35,60
11:59,2050,Official TV Timeout,35,60
11:59,2050,Trey Moses made Free Throw.,35,61
11:50,85,T.J. Henderson missed Layup.,35,61
11:50,2050,Tayler Persons Defensive Rebound.,35,61
11:26,2050,Trey Moses Turnover.,35,61
11:12,85,T.J. Henderson made Layup.,37,61
10:55,2050,Tayler Persons made Layup.,37,63
10:46,85,T.J. Henderson made Layup.,39,63
10:46,2050,Foul on Jontrell Walker.,39,63
10:46,85,T.J. Henderson made Free Throw.,40,63
10:19,2050,Zach Gunn missed Three Point Jumper.,40,63
10:19,85,Maurice Kirby Defensive Rebound.,40,63
9:59,85,Jaylen Minnett made Three Point Jumper. Assisted by Maurice Kirby.,43,63
9:39,85,Foul on Maurice Kirby.,43,63
9:39,2050,Zach Gunn missed Free Throw.,43,63
9:39,2050,Ball State Deadball Team Rebound.,43,63
9:39,2050,Zach Gunn missed Free Throw.,43,63
9:39,85,Elyjah Goss Defensive Rebound.,43,63
9:32,85,T.J. Henderson made Layup.,45,63
9:32,2050,Foul on Zach Gunn.,45,63
9:32,85,T.J. Henderson made Free Throw.,46,63
9:17,2050,Tahjai Teague missed Three Point Jumper.,46,63
9:17,2050,Francis Kiapway Offensive Rebound.,46,63
9:14,85,Foul on Jaylen Minnett.,46,63
9:14,2050,Francis Kiapway made Free Throw.,46,64
9:14,2050,Francis Kiapway missed Free Throw.,46,64
9:14,2050,Ball State Deadball Team Rebound.,46,64
9:14,2050,Francis Kiapway made Free Throw.,46,65
9:05,85,T.J. Henderson Turnover.,46,65
9:03,2050,Tayler Persons Steal.,46,65
9:01,2050,Tahjai Teague made Dunk. Assisted by Tayler Persons.,46,67
8:52,85,Jaylen Minnett missed Three Point Jumper.,46,67
8:52,85,Maurice Kirby Offensive Rebound.,46,67
8:47,85,Maurice Kirby made Layup.,48,67
8:43,2050,Zach Gunn Turnover.,48,67
8:41,85,Ron Patterson Steal.,48,67
8:39,85,Elyjah Goss missed Layup.,48,67
8:39,85,T.J. Henderson Offensive Rebound.,48,67
8:33,85,Ron Patterson missed Three Point Jumper.,48,67
8:33,2050,Ball State Defensive Rebound.,48,67
8:05,2050,Jeremie Tyler missed Three Point Jumper.,48,67
8:05,2050,Kyle Mallers Offensive Rebound.,48,67
8:01,2050,Kyle Mallers made Layup.,48,69
7:45,85,Jaylen Minnett missed Layup.,48,69
7:45,2050,Tahjai Teague Block.,48,69
7:42,2050,Kyle Mallers Defensive Rebound.,48,69
7:28,2050,Ishmael El-Amin missed Layup.,48,69
7:28,85,Maurice Kirby Defensive Rebound.,48,69
7:20,2050,Foul on Jontrell Walker.,48,69
7:20,2050,Official TV Timeout,48,69
7:20,85,Elyjah Goss made Free Throw.,49,69
7:20,85,Elyjah Goss made Free Throw.,50,69
6:58,2050,Kyle Mallers Turnover.,50,69
6:56,85,Ron Patterson Steal.,50,69
6:55,85,Ron Patterson made Dunk.,52,69
6:30,2050,Jeremie Tyler missed Three Point Jumper.,52,69
6:30,85,Evan Hall Defensive Rebound.,52,69
6:19,85,Aaron Brennan missed Jumper.,52,69
6:19,2050,Kyle Mallers Defensive Rebound.,52,69
6:06,85,Foul on Nick Rogers.,52,69
6:06,2050,Ishmael El-Amin missed Free Throw.,52,69
6:06,2050,Ball State Deadball Team Rebound.,52,69
6:06,2050,Ishmael El-Amin made Free Throw.,52,70
5:53,85,Ron Patterson made Three Point Jumper. Assisted by Nick Rogers.,55,70
5:16,2050,Trey Moses made Layup. Assisted by Tayler Persons.,55,72
5:03,85,Ron Patterson missed Three Point Jumper.,55,72
5:03,85,D.J. McCall Offensive Rebound.,55,72
4:56,85,Nick Rogers missed Three Point Jumper.,55,72
4:56,2050,Trey Moses Defensive Rebound.,55,72
4:49,85,Foul on Evan Hall.,55,72
4:49,2050,Sean Sellers made Free Throw.,55,73
4:49,2050,Sean Sellers made Free Throw.,55,74
4:35,85,Aaron Brennan made Layup. Assisted by D.J. McCall.,57,74
4:05,2050,Ishmael El-Amin missed Jumper.,57,74
4:05,2050,Trey Moses Offensive Rebound.,57,74
4:01,2050,Trey Moses made Layup.,57,76
3:56,2050,Official TV Timeout,57,76
3:56,85,Nick Rogers Turnover.,57,76
3:37,2050,Tayler Persons made Jumper.,57,78
3:22,85,Foul on Nick Rogers.,57,78
3:22,85,Nick Rogers Turnover.,57,78
3:01,2050,Ishmael El-Amin made Three Point Jumper. Assisted by Trey Moses.,57,81
2:44,2050,Foul on Trey Moses.,57,81
2:44,85,Elyjah Goss made Free Throw.,58,81
2:44,85,Elyjah Goss made Free Throw.,59,81
2:16,2050,Ishmael El-Amin missed Layup.,59,81
2:16,85,D.J. McCall Defensive Rebound.,59,81
2:08,85,T.J. Henderson missed Three Point Jumper.,59,81
2:08,2050,Sean Sellers Defensive Rebound.,59,81
2:06,2050,Foul on Tayler Persons.,59,81
2:06,2050,Tayler Persons Turnover.,59,81
2:06,85,Ron Patterson made Free Throw.,60,81
2:06,85,Ron Patterson made Free Throw.,61,81
1:39,2050,Ishmael El-Amin missed Three Point Jumper.,61,81
1:39,2050,Kyle Mallers Offensive Rebound.,61,81
1:34,2050,Kyle Mallers missed Layup.,61,81
1:34,2050,Trey Moses Offensive Rebound.,61,81
1:30,2050,Trey Moses made Layup.,61,83
1:23,85,Nick Rogers made Three Point Jumper. Assisted by T.J. Henderson.,64,83
1:06,2050,Ball State  Timeout,64,83
0:55,2050,Ishmael El-Amin Turnover.,64,83
0:52,85,Nick Rogers Steal.,64,83
0:45,85,T.J. Henderson Turnover.,64,83
0:23,2050,Kyle Mallers missed Three Point Jumper.,64,83
0:23,85,Elyjah Goss Defensive Rebound.,64,83
0:15,85,Ron Patterson missed Layup.,64,83
0:15,2050,Kyle Mallers Defensive Rebound.,64,83
0:00,2050,End of Game,64,83
