Oakland,2711,Western Michigan,2473
1:07,2711,Official TV Timeout,32,36
1:07,2473,Foul on Kendrick Nunn.,32,36
1:07,2473,Martez Walker made Free Throw.,33,36
1:07,2473,Martez Walker made Free Throw.,34,36
1:07,2473,Martez Walker missed Free Throw.,34,36
1:07,2711,Reggie Jones Defensive Rebound.,34,36
0:45,2711,Reggie Jones made Jumper.,34,38
0:26,2473,Martez Walker made Three Point Jumper.,37,38
0:04,2711,Thomas Wilder missed Three Point Jumper.,37,38
0:04,2711,Josh Davis Offensive Rebound.,37,38
0:00,2711,Josh Davis made Two Point Tip Shot.,37,40
0:00,2711,End of 1st half,37,38
19:47,2473,Jalen Hayes missed Jumper.,37,40
19:47,2473,Isaiah Brock Offensive Rebound.,37,40
19:41,2473,Martez Walker missed Jumper.,37,40
19:41,2711,Western Michigan Defensive Rebound.,37,40
19:26,2711,Thomas Wilder made Jumper. Assisted by Drake LaMont.,37,42
19:05,2473,Jalen Hayes made Jumper.,39,42
18:53,2711,Thomas Wilder missed Layup.,39,42
18:53,2473,Jalen Hayes Defensive Rebound.,39,42
18:45,2473,Nick Daniels missed Three Point Jumper.,39,42
18:45,2711,Josh Davis Defensive Rebound.,39,42
18:28,2711,Bryce Moore made Jumper.,39,44
18:06,2473,Martez Walker missed Three Point Jumper.,39,44
18:06,2711,Bryce Moore Defensive Rebound.,39,44
17:57,2711,Josh Davis made Layup. Assisted by Bryce Moore.,39,46
17:20,2473,Jalen Hayes Turnover.,39,46
17:18,2711,Drake LaMont Steal.,39,46
17:08,2711,Drake LaMont missed Jumper.,39,46
17:08,2473,Isaiah Brock Defensive Rebound.,39,46
16:57,2473,Nick Daniels missed Layup.,39,46
16:57,2711,Drake LaMont Defensive Rebound.,39,46
16:45,2711,Josh Davis missed Three Point Jumper.,39,46
16:45,2711,Michael Flowers Offensive Rebound.,39,46
16:41,2711,Michael Flowers missed Jumper.,39,46
16:41,2473,Isaiah Brock Defensive Rebound.,39,46
16:21,2473,Nick Daniels made Three Point Jumper. Assisted by Jalen Hayes.,42,46
16:01,2711,Drake LaMont missed Jumper.,42,46
16:01,2473,Kendrick Nunn Defensive Rebound.,42,46
15:56,2473,Martez Walker made Layup. Assisted by Kendrick Nunn.,44,46
15:34,2711,Brandon Johnson made Jumper.,44,48
15:14,2711,Foul on Drake LaMont.,44,48
15:14,2711,Official TV Timeout,44,48
15:14,2473,Martez Walker made Free Throw.,45,48
15:14,2473,Martez Walker made Free Throw.,46,48
14:56,2711,Josh Davis missed Jumper.,46,48
14:56,2473,Isaiah Brock Defensive Rebound.,46,48
14:35,2473,Kendrick Nunn missed Three Point Jumper.,46,48
14:35,2711,Josh Davis Defensive Rebound.,46,48
14:19,2473,Foul on Nick Daniels.,46,48
14:13,2711,Bryce Moore missed Layup.,46,48
14:13,2473,Isaiah Brock Block.,46,48
14:13,2473,Isaiah Brock Defensive Rebound.,46,48
14:13,2473,Nick Daniels Turnover.,46,48
14:11,2711,Bryce Moore Steal.,46,48
13:55,2711,Drake LaMont missed Three Point Jumper.,46,48
13:55,2473,Jalen Hayes Defensive Rebound.,46,48
13:06,2473,Kendrick Nunn made Three Point Jumper. Assisted by Nick Daniels.,49,48
12:36,2711,Drake LaMont missed Jumper.,49,48
12:36,2473,Kendrick Nunn Defensive Rebound.,49,48
12:30,2473,Martez Walker made Layup. Assisted by Kendrick Nunn.,51,48
12:23,2711,Josh Davis missed Three Point Jumper.,51,48
12:23,2711,Drake LaMont Offensive Rebound.,51,48
12:16,2711,Drake LaMont made Two Point Tip Shot.,51,50
11:56,2473,Kendrick Nunn missed Three Point Jumper.,51,50
11:56,2711,Western Michigan Deadball Team Rebound.,51,50
11:53,2473,Foul on Jalen Hayes.,51,50
11:53,2711,Official TV Timeout,51,50
11:46,2711,Foul on Thomas Wilder.,51,50
11:42,2711,Bryce Moore made Jumper.,51,52
11:29,2473,Kendrick Nunn made Three Point Jumper. Assisted by Brailen Neely.,54,52
11:16,2711,Technical Foul on Western Michigan.,54,52
11:16,2473,Kendrick Nunn made Free Throw.,55,52
11:16,2473,Kendrick Nunn made Free Throw.,56,52
11:04,2711,Reggie Jones Turnover.,56,52
11:03,2473,Martez Walker Steal.,56,52
10:56,2473,Julius Palmer missed Jumper.,56,52
10:56,2711,Adida Ikongshul Defensive Rebound.,56,52
10:48,2711,Reggie Jones made Three Point Jumper. Assisted by Thomas Wilder.,56,55
10:20,2473,Kendrick Nunn made Three Point Jumper. Assisted by Brailen Neely.,59,55
10:01,2711,Bryce Moore missed Jumper.,59,55
10:01,2473,Jalen Hayes Defensive Rebound.,59,55
9:53,2473,Kendrick Nunn made Three Point Jumper. Assisted by Brailen Neely.,62,55
9:31,2711,Thomas Wilder missed Jumper.,62,55
9:31,2473,Martez Walker Block.,62,55
9:29,2473,Jalen Hayes Defensive Rebound.,62,55
9:25,2473,Martez Walker made Three Point Jumper. Assisted by Brailen Neely.,65,55
9:15,2711,Western Michigan  Timeout,65,55
9:05,2711,Brandon Johnson missed Jumper.,65,55
9:05,2473,Julius Palmer Defensive Rebound.,65,55
8:45,2473,Jalen Hayes made Layup. Assisted by Brailen Neely.,67,55
8:29,2473,Foul on Jalen Hayes.,67,55
8:18,2711,Thomas Wilder Turnover.,67,55
8:18,2473,Isaiah Brock Steal.,67,55
8:15,2473,Isaiah Brock made Layup.,69,55
8:04,2711,Brandon Johnson Turnover.,69,55
7:47,2473,Brailen Neely Turnover.,69,55
7:46,2711,Drake LaMont Steal.,69,55
7:40,2473,Foul on Brailen Neely.,69,55
7:40,2711,Official TV Timeout,69,55
7:25,2711,Drake LaMont made Jumper.,69,57
7:12,2473,Kendrick Nunn missed Jumper.,69,57
7:12,2711,Drake LaMont Block.,69,57
7:12,2711,Brandon Johnson Defensive Rebound.,69,57
7:12,2473,Foul on Isaiah Brock.,69,57
6:48,2711,Reggie Jones missed Jumper.,69,57
6:43,2473,Martez Walker Defensive Rebound.,69,57
6:36,2473,Jalen Hayes Turnover.,69,57
6:32,2711,Thomas Wilder Steal.,69,57
6:29,2711,Thomas Wilder missed Layup.,69,57
6:29,2711,Brandon Johnson Offensive Rebound.,69,57
6:27,2711,Brandon Johnson made Two Point Tip Shot.,69,59
6:02,2473,Nick Daniels missed Jumper.,69,59
6:02,2473,Jalen Hayes Offensive Rebound.,69,59
6:00,2473,Jalen Hayes Turnover.,69,59
5:45,2473,Foul on Martez Walker.,69,59
5:45,2711,Thomas Wilder made Free Throw.,69,60
5:45,2711,Thomas Wilder made Free Throw.,69,61
5:33,2473,Foul on Kendrick Nunn.,69,61
5:33,2473,Kendrick Nunn Turnover.,69,61
5:17,2711,Thomas Wilder made Three Point Jumper.,69,64
5:03,2473,Nick Daniels Turnover.,69,64
4:59,2711,Thomas Wilder Steal.,69,64
4:55,2473,Oakland  Timeout,69,64
4:53,2711,Thomas Wilder made Layup.,69,66
4:31,2473,Martez Walker made Three Point Jumper.,72,66
4:11,2473,Foul on Martez Walker.,72,66
4:11,2711,Thomas Wilder made Free Throw.,72,67
4:11,2711,Thomas Wilder missed Free Throw.,72,67
4:11,2473,Jalen Hayes Defensive Rebound.,72,67
3:49,2473,Kendrick Nunn missed Jumper.,72,67
3:49,2711,Drake LaMont Block.,72,67
3:47,2711,Drake LaMont Defensive Rebound.,72,67
3:21,2711,Drake LaMont made Layup. Assisted by Brandon Johnson.,72,69
2:52,2473,Jalen Hayes missed Jumper.,72,69
2:52,2473,Isaiah Brock Offensive Rebound.,72,69
2:50,2473,Isaiah Brock made Two Point Tip Shot.,74,69
2:26,2711,Brandon Johnson Turnover.,74,69
2:24,2473,Brailen Neely Steal.,74,69
2:22,2711,Foul on Reggie Jones.,74,69
2:22,2711,Official TV Timeout,74,69
2:04,2473,Martez Walker Turnover.,74,69
2:04,2473,Foul on Martez Walker.,74,69
1:47,2711,Reggie Jones made Jumper.,74,71
1:15,2473,Kendrick Nunn missed Jumper.,74,71
1:15,2711,Thomas Wilder Block.,74,71
1:13,2711,Drake LaMont Defensive Rebound.,74,71
1:05,2711,Reggie Jones made Layup.,74,73
0:48,2473,Jalen Hayes made Jumper.,76,73
0:46,2473,Oakland  Timeout,76,73
0:36,2711,Bryce Moore missed Three Point Jumper.,76,73
0:36,2711,Michael Flowers Offensive Rebound.,76,73
0:26,2711,Foul on Bryce Moore.,76,73
0:26,2711,Western Michigan  Timeout,76,73
0:18,2711,Foul on Brandon Johnson.,76,73
0:18,2711,Josh Davis Steal.,76,73
0:11,2473,Brailen Neely Turnover.,76,73
0:05,2711,Reggie Jones Turnover.,76,73
0:05,2711,Western Michigan  Timeout,76,73
0:05,2711,Foul on Bryce Moore.,76,73
0:05,2473,Martez Walker made Free Throw.,77,73
0:05,2473,Oakland  Timeout,77,73
0:05,2473,Martez Walker made Free Throw.,78,73
0:02,2711,Thomas Wilder missed Three Point Jumper.,78,73
0:02,2473,Jalen Hayes Defensive Rebound.,78,73
0:00,2711,End of Game,78,73
