Tennessee Wesleyan,Error,Georgia Southern,290
7:10,-1,Todd Lansden Defensive Rebound.,20,33
7:02,290,Foul on Tookie Brown.,20,33
6:39,-1,Jalen Oliver missed Three Point Jumper.,20,33
6:39,290,Shawn O'Connell Defensive Rebound.,20,33
6:31,290,Jared Hamilton missed Three Point Jumper.,20,33
6:31,-1,Kenny Dean Defensive Rebound.,20,33
6:26,-1,Kenny Dean Turnover.,20,33
6:11,290,Jake Allsmiller made Three Point Jumper. Assisted by Quan Jackson.,20,36
5:36,290,Foul on Jake Allsmiller.,20,36
5:19,-1,Jalen Oliver Turnover.,20,36
5:18,290,Quan Jackson Steal.,20,36
5:08,-1,Foul on Jordan Hall.,20,36
5:08,290,David-Lee Jones Jr. made Free Throw.,20,37
5:08,290,David-Lee Jones Jr. made Free Throw.,20,38
4:38,-1,Johnson Decembre missed Layup.,20,38
4:38,-1,Kenny Dean Offensive Rebound.,20,38
4:35,-1,Kenny Dean made Layup.,22,38
4:23,290,Jake Allsmiller missed Three Point Jumper.,22,38
4:23,-1,Todd Lansden Defensive Rebound.,22,38
4:06,-1,Foul on Johnson Decembre.,22,38
4:06,-1,Johnson Decembre Turnover.,22,38
3:55,290,David-Lee Jones Jr. made Three Point Jumper. Assisted by Jake Allsmiller.,22,41
3:29,-1,Jalen Oliver missed Layup.,22,41
3:29,290,Shawn O'Connell Block.,22,41
3:29,-1,Tennessee Wesleyan Offensive Rebound.,22,41
3:29,290,Official TV Timeout,22,41
3:29,-1,Jalen Oliver Turnover.,22,41
3:28,290,Tookie Brown Steal.,22,41
3:26,290,Jared Hamilton made Layup. Assisted by Tookie Brown.,22,43
3:22,-1,Foul on Kenny Dean.,22,43
3:22,290,Jared Hamilton made Free Throw.,22,44
2:55,-1,Jalen Oliver made Three Point Jumper.,25,44
2:37,290,Tookie Brown made Jumper.,25,46
2:12,-1,Jordan Hall missed Three Point Jumper.,25,46
2:12,-1,Johnson Decembre Offensive Rebound.,25,46
2:08,290,Foul on Shawn O'Connell.,25,46
1:49,-1,Jalen Oliver missed Jumper.,25,46
1:49,290,Tookie Brown Defensive Rebound.,25,46
1:41,290,Jared Hamilton missed Jumper.,25,46
1:41,-1,Todd Lansden Defensive Rebound.,25,46
1:29,-1,Jalen Oliver made Layup.,27,46
1:16,-1,Foul on Johnson Decembre.,27,46
1:16,290,B.J. Gladden made Free Throw.,27,47
1:16,290,B.J. Gladden missed Free Throw.,27,47
1:16,-1,Jordan Hall Defensive Rebound.,27,47
1:02,-1,Jalen Oliver made Jumper.,29,47
0:51,290,Jake Allsmiller made Three Point Jumper. Assisted by Tookie Brown.,29,50
0:39,-1,Andre Applewhite missed Jumper.,29,50
0:39,-1,Andre Applewhite Offensive Rebound.,29,50
0:37,-1,Andre Applewhite made Layup.,31,50
0:37,290,Foul on Mike Hughes.,29,50
0:37,-1,Andre Applewhite made Free Throw.,32,50
0:28,290,Coye Simmons made Dunk. Assisted by Tookie Brown.,32,52
0:00,-1,Jalen Oliver missed Three Point Jumper.,32,52
0:00,-1,Tennessee Wesleyan Deadball Team Rebound.,32,52
0:00,290,End of 1st half,32,52
19:30,-1,Johnson Decembre missed Layup.,32,52
19:30,290,Jake Allsmiller Defensive Rebound.,32,52
19:24,290,Mike Hughes missed Three Point Jumper.,32,52
19:24,-1,Jordan Hall Defensive Rebound.,32,52
19:11,-1,Johnson Decembre Turnover.,32,52
19:10,290,Mike Hughes Steal.,32,52
19:09,290,Mike Hughes made Layup. Assisted by Jake Allsmiller.,32,54
18:35,-1,Kenny Dean made Three Point Jumper. Assisted by Jalen Oliver.,35,54
18:21,290,Jake Allsmiller missed Three Point Jumper.,35,54
18:21,-1,Johnson Decembre Defensive Rebound.,35,54
18:10,-1,Jordan Hall missed Three Point Jumper.,35,54
18:10,290,Coye Simmons Defensive Rebound.,35,54
17:58,290,Tookie Brown missed Three Point Jumper.,35,54
17:58,290,Mike Hughes Offensive Rebound.,35,54
17:47,290,David-Lee Jones Jr. missed Jumper.,35,54
17:47,-1,Tennessee Wesleyan Defensive Rebound.,35,54
17:24,-1,Johnson Decembre missed Layup.,35,54
17:24,290,Jake Allsmiller Defensive Rebound.,35,54
17:16,290,Tookie Brown made Layup.,35,56
17:16,-1,Foul on Jalen Oliver.,35,56
17:16,290,Tookie Brown missed Free Throw.,35,56
17:16,-1,Antoine Williams Defensive Rebound.,35,56
16:55,-1,Foul on Kenny Dean.,35,56
16:55,-1,Kenny Dean Turnover.,35,56
16:33,290,Mike Hughes made Three Point Jumper. Assisted by Jake Allsmiller.,35,59
16:18,-1,Kenny Dean made Three Point Jumper. Assisted by Johnson Decembre.,38,59
16:04,290,Foul on Mike Hughes.,38,59
16:04,290,Mike Hughes Turnover.,38,59
15:42,-1,Johnson Decembre missed Jumper.,38,59
15:42,290,Mike Hughes Defensive Rebound.,38,59
15:32,290,Mike Hughes made Three Point Jumper. Assisted by Tookie Brown.,38,62
15:18,290,Foul on David-Lee Jones Jr..,38,62
15:18,290,Official TV Timeout,38,62
15:06,-1,Kenny Dean missed Three Point Jumper.,38,62
15:06,290,Mike Hughes Defensive Rebound.,38,62
14:46,290,Jared Hamilton Turnover.,38,62
14:44,-1,Jordan Hall Steal.,38,62
14:35,-1,Jalen Oliver made Three Point Jumper. Assisted by Antoine Williams.,41,62
14:21,-1,Foul on Antoine Williams.,41,62
14:21,290,Tookie Brown missed Free Throw.,41,62
14:21,290,Georgia Southern Deadball Team Rebound.,41,62
14:21,290,Tookie Brown made Free Throw.,41,63
14:01,-1,Jalen Oliver Turnover.,41,63
13:59,290,Jared Hamilton Steal.,41,63
13:56,290,Mike Hughes missed Three Point Jumper.,41,63
13:56,290,B.J. Gladden Offensive Rebound.,41,63
13:52,290,B.J. Gladden Turnover.,41,63
13:52,290,Foul on B.J. Gladden.,41,63
13:38,-1,Kenny Dean Turnover.,41,63
13:37,290,Jared Hamilton Steal.,41,63
13:34,-1,Foul on Aundre Reid.,41,63
13:34,290,Jared Hamilton missed Free Throw.,41,63
13:34,290,Georgia Southern Deadball Team Rebound.,41,63
13:34,290,Jared Hamilton made Free Throw.,41,64
13:31,290,Jared Hamilton made Jumper. Assisted by Tookie Brown.,41,66
13:25,-1,Johnson Decembre Turnover.,41,66
13:24,290,Mike Hughes Steal.,41,66
13:21,290,Tookie Brown Turnover.,41,66
13:15,-1,Aundre Reid made Layup.,43,66
12:48,290,Jared Hamilton missed Jumper.,43,66
12:48,-1,Aundre Reid Defensive Rebound.,43,66
12:19,-1,Andre Applewhite Turnover.,43,66
12:17,290,Tookie Brown Steal.,43,66
12:16,-1,Foul on Andre Applewhite.,43,66
12:05,290,David-Lee Jones Jr. missed Layup.,43,66
12:05,-1,Kenny Dean Block.,43,66
12:03,290,Georgia Southern Offensive Rebound.,43,66
12:01,290,Jared Hamilton missed Jumper.,43,66
12:01,290,Coye Simmons Offensive Rebound.,43,66
11:53,290,Coye Simmons made Two Point Tip Shot.,43,68
11:33,-1,Kenny Dean missed Jumper.,43,68
11:33,290,B.J. Gladden Defensive Rebound.,43,68
11:31,290,Official TV Timeout,43,68
11:31,-1,Foul on Kenny Dean.,43,68
11:31,290,Quan Jackson made Free Throw.,43,69
11:31,290,Quan Jackson made Free Throw.,43,70
11:07,-1,Noah Fager missed Jumper.,43,70
11:07,290,Jared Hamilton Defensive Rebound.,43,70
11:02,290,Jared Hamilton made Layup.,43,72
10:43,-1,Jalen Oliver made Three Point Jumper. Assisted by Aundre Reid.,46,72
10:20,290,Quan Jackson missed Layup.,46,72
10:20,290,Coye Simmons Offensive Rebound.,46,72
10:16,290,Coye Simmons missed Jumper.,46,72
10:16,-1,Andre Applewhite Defensive Rebound.,46,72
9:59,-1,Andre Applewhite missed Jumper.,46,72
9:59,-1,Johnson Decembre Offensive Rebound.,46,72
9:57,290,Foul on Coye Simmons.,46,72
9:48,-1,Andre Applewhite missed Three Point Jumper.,46,72
9:48,290,Quan Jackson Defensive Rebound.,46,72
9:40,290,David-Lee Jones Jr. missed Three Point Jumper.,46,72
9:40,-1,Andre Applewhite Defensive Rebound.,46,72
9:32,-1,Andre Applewhite Turnover.,46,72
9:32,290,Quan Jackson Steal.,46,72
9:28,-1,Foul on Andre Applewhite.,46,72
9:28,290,Quan Jackson missed Free Throw.,46,72
9:28,290,Georgia Southern Deadball Team Rebound.,46,72
9:28,290,Quan Jackson made Free Throw.,46,73
9:06,-1,Aundre Reid missed Three Point Jumper.,46,73
9:06,-1,Andre Applewhite Offensive Rebound.,46,73
9:01,-1,Johnson Decembre made Layup. Assisted by Andre Applewhite.,48,73
8:49,290,Jake Allsmiller made Three Point Jumper. Assisted by Tookie Brown.,48,76
8:19,-1,Aundre Reid missed Jumper.,48,76
8:19,290,Quan Jackson Defensive Rebound.,48,76
8:10,290,Quan Jackson missed Layup.,48,76
8:10,-1,Aundre Reid Defensive Rebound.,48,76
7:58,-1,Andre Applewhite Turnover.,48,76
7:58,290,Official TV Timeout,48,76
7:47,290,Shawn O'Connell made Layup. Assisted by Tookie Brown.,48,78
7:34,-1,Johnson Decembre missed Three Point Jumper.,48,78
7:34,290,Mike Hughes Defensive Rebound.,48,78
7:19,290,Jake Allsmiller missed Three Point Jumper.,48,78
7:19,290,Shawn O'Connell Offensive Rebound.,48,78
7:15,-1,Foul on Johnson Decembre.,48,78
7:15,290,Shawn O'Connell missed Free Throw.,48,78
7:15,-1,Noah Fager Defensive Rebound.,48,78
7:02,-1,Noah Fager made Three Point Jumper. Assisted by Darius Filer.,51,78
6:48,-1,Foul on Darius Filer.,51,78
6:48,290,Tookie Brown made Free Throw.,51,79
6:48,290,Tookie Brown made Free Throw.,51,80
6:33,-1,Aundre Reid missed Layup.,51,80
6:33,-1,Andre Applewhite Offensive Rebound.,51,80
6:23,-1,Andre Applewhite made Layup.,53,80
6:16,290,Tookie Brown made Layup.,53,82
5:57,-1,Kenny Dean made Three Point Jumper. Assisted by Andre Applewhite.,56,82
5:34,290,Shawn O'Connell made Layup.,56,84
5:34,-1,Foul on Jalen Oliver.,56,84
5:34,290,Shawn O'Connell made Free Throw.,56,85
5:19,-1,Aundre Reid Turnover.,56,85
5:19,290,David-Lee Jones Jr. Steal.,56,85
5:18,290,David-Lee Jones Jr. made Layup.,56,87
5:00,-1,Noah Fager Turnover.,56,87
4:49,-1,Foul on Kenny Dean.,56,87
4:49,290,Jared Hamilton made Free Throw.,56,88
4:49,290,Jared Hamilton missed Free Throw.,56,88
4:49,-1,Noah Fager Defensive Rebound.,56,88
4:30,-1,Kenny Dean made Layup.,58,88
4:15,290,Quan Jackson made Three Point Jumper. Assisted by B.J. Gladden.,58,91
3:59,-1,Noah Fager missed Three Point Jumper.,58,91
3:59,-1,Tennessee Wesleyan Offensive Rebound.,58,91
3:55,290,Official TV Timeout,58,91
3:35,-1,Jalen Oliver missed Three Point Jumper.,58,91
3:35,290,B.J. Gladden Defensive Rebound.,58,91
3:27,290,B.J. Gladden Turnover.,58,91
3:25,-1,Kenny Dean Steal.,58,91
3:21,-1,Jalen Oliver Turnover.,58,91
3:21,-1,Foul on Jalen Oliver.,58,91
3:04,-1,Foul on Matt Randolph.,58,91
3:04,290,Quan Jackson missed Free Throw.,58,91
3:04,290,Georgia Southern Deadball Team Rebound.,58,91
3:04,290,Quan Jackson missed Free Throw.,58,91
3:04,-1,Todd Lansden Defensive Rebound.,58,91
2:58,290,Foul on Coye Simmons.,58,91
2:36,-1,Djimon Wilson Turnover.,58,91
2:34,290,Quan Jackson Steal.,58,91
2:31,290,Quan Jackson made Dunk. Assisted by Coye Simmons.,58,93
1:59,-1,Bryson Baker missed Three Point Jumper.,58,93
1:59,290,David-Lee Jones Jr. Defensive Rebound.,58,93
1:53,-1,Foul on Darius Filer.,58,93
1:53,290,Jared Hamilton made Free Throw.,58,94
1:53,290,Jared Hamilton made Free Throw.,58,95
1:31,290,Foul on Shawn O'Connell.,58,95
1:19,-1,Darius Filer missed Jumper.,58,95
1:19,290,DeDe Reynolds Defensive Rebound.,58,95
1:07,290,David-Lee Jones Jr. missed Three Point Jumper.,58,95
1:07,290,Jared Hamilton Offensive Rebound.,58,95
1:00,290,Quan Jackson missed Layup.,58,95
1:00,-1,Djimon Wilson Defensive Rebound.,58,95
0:52,-1,Djimon Wilson made Layup.,60,95
0:40,290,David-Lee Jones Jr. made Dunk.,60,97
0:21,290,Foul on DeDe Reynolds.,60,97
0:21,-1,Djimon Wilson made Free Throw.,61,97
0:21,-1,Djimon Wilson missed Free Throw.,61,97
0:21,290,Shawn O'Connell Defensive Rebound.,61,97
0:00,290,End of Game,61,97
