Reinhardt,Error,Winthrop,2737
15:50,2737,Anders Broman made Layup.,5,17
15:43,2737,Official TV Timeout,5,17
15:43,2737,Foul on Anders Broman.,5,17
15:36,2737,Anders Broman made Jumper. Assisted by Bjorn Broman.,5,19
15:22,-1,Melvin Irving missed Jumper.,5,19
15:22,2737,Nych Smith Defensive Rebound.,5,19
15:21,-1,Foul on Cody Carden.,5,19
15:06,2737,Bjorn Broman missed Three Point Jumper.,5,19
15:06,-1,Dwight Sanders Defensive Rebound.,5,19
14:59,-1,Scot Hurdt missed Layup.,5,19
14:59,2737,Nych Smith Defensive Rebound.,5,19
14:49,2737,Bjorn Broman made Three Point Jumper. Assisted by Xavier Cooks.,5,22
14:34,-1,Melvin Irving made Three Point Jumper. Assisted by Dwight Sanders.,8,22
14:28,2737,Anders Broman made Layup. Assisted by Nych Smith.,8,24
14:26,-1,Reinhardt  Timeout,8,24
14:13,-1,Melvin Irving made Layup. Assisted by Jervon Walker.,10,24
14:08,2737,Nych Smith missed Jumper.,10,24
14:08,-1,Jervon Walker Defensive Rebound.,10,24
13:55,-1,Melvin Irving missed Jumper.,10,24
13:55,2737,Jermaine Ukaegbu Block.,10,24
13:54,-1,Dwight Sanders Offensive Rebound.,10,24
13:53,-1,Dwight Sanders missed Jumper.,10,24
13:53,2737,Xavier Cooks Defensive Rebound.,10,24
13:29,2737,Xavier Cooks missed Dunk.,10,24
13:29,-1,Melvin Irving Defensive Rebound.,10,24
13:25,-1,Melvin Irving Turnover.,10,24
13:25,-1,Foul on Scot Hurdt.,10,24
13:18,-1,Foul on Jervon Walker.,10,24
13:18,2737,Anders Broman missed Free Throw.,10,24
13:18,2737,Winthrop Deadball Team Rebound.,10,24
13:18,2737,Anders Broman made Free Throw.,10,25
13:11,-1,Jervon Walker missed Jumper.,10,25
13:11,2737,Austin Awad Defensive Rebound.,10,25
13:08,-1,Foul on Kody Eden.,10,25
13:08,2737,Austin Awad made Free Throw.,10,26
13:08,2737,Austin Awad made Free Throw.,10,27
12:56,-1,Kody Eden Turnover.,10,27
12:55,2737,Adam Pickett Steal.,10,27
12:51,2737,Anders Broman made Layup. Assisted by Adam Pickett.,10,29
12:33,-1,Kody Eden made Jumper.,12,29
12:21,2737,Nych Smith Turnover.,12,29
12:04,-1,Dwight Sanders made Jumper.,14,29
11:52,2737,Austin Awad made Dunk.,14,31
11:41,2737,Foul on Adam Pickett.,14,31
11:41,2737,Official TV Timeout,14,31
11:37,-1,Melvin Irving made Jumper.,16,31
11:23,2737,Nych Smith missed Three Point Jumper.,16,31
11:23,-1,Corey Tobin Defensive Rebound.,16,31
11:13,-1,Melvin Irving missed Jumper.,16,31
11:13,2737,Austin Awad Defensive Rebound.,16,31
10:58,2737,Adam Pickett made Jumper.,16,33
10:50,-1,Dwight Sanders missed Three Point Jumper.,16,33
10:50,-1,Melvin Irving Offensive Rebound.,16,33
10:48,2737,Foul on Jermaine Ukaegbu.,16,33
10:39,-1,Michael Mays missed Jumper.,16,33
10:39,2737,Adam Pickett Defensive Rebound.,16,33
10:31,2737,Kyle Zunic missed Three Point Jumper.,16,33
10:31,-1,Melvin Irving Defensive Rebound.,16,33
10:21,-1,Dwight Sanders made Three Point Jumper.,19,33
10:11,2737,Bjorn Broman made Layup.,19,35
10:03,-1,Tyson Campbell missed Three Point Jumper.,19,35
10:03,2737,Austin Awad Defensive Rebound.,19,35
9:49,2737,Kyle Zunic Turnover.,19,35
9:24,-1,Dwight Sanders made Layup.,21,35
9:11,2737,Kyle Zunic missed Jumper.,21,35
9:11,2737,Tom Pupavac Offensive Rebound.,21,35
9:07,2737,Tom Pupavac made Jumper.,21,37
8:56,-1,Melvin Irving missed Three Point Jumper.,21,37
8:56,2737,Kyle Zunic Defensive Rebound.,21,37
8:51,2737,Kyle Zunic Turnover.,21,37
8:49,-1,Dwight Sanders Steal.,21,37
8:45,-1,Corey Tobin missed Three Point Jumper.,21,37
8:45,2737,Xavier Cooks Defensive Rebound.,21,37
8:37,2737,Tom Pupavac made Layup. Assisted by Xavier Cooks.,21,39
8:17,-1,Corey Tobin missed Three Point Jumper.,21,39
8:17,2737,Xavier Cooks Defensive Rebound.,21,39
8:07,2737,Xavier Cooks missed Jumper.,21,39
8:07,-1,Reinhardt Defensive Rebound.,21,39
7:48,2737,Foul on Kyle Zunic.,21,39
7:48,2737,Official TV Timeout,21,39
7:48,-1,Earlmondo West made Free Throw.,22,39
7:48,-1,Earlmondo West made Free Throw.,23,39
7:35,2737,Bjorn Broman missed Three Point Jumper.,23,39
7:35,-1,Cody Carden Defensive Rebound.,23,39
7:24,-1,Cody Carden missed Jumper.,23,39
7:24,2737,Nych Smith Defensive Rebound.,23,39
7:21,-1,Foul on Marshall Dunn.,23,39
7:21,2737,Nych Smith missed Free Throw.,23,39
7:21,-1,Corey Tobin Defensive Rebound.,23,39
7:07,-1,Corey Tobin made Three Point Jumper. Assisted by Earlmondo West.,26,39
6:58,2737,Bjorn Broman made Layup. Assisted by Nych Smith.,26,41
6:30,-1,Corey Tobin made Three Point Jumper.,29,41
6:12,2737,Anders Broman missed Three Point Jumper.,29,41
6:12,-1,Marshall Dunn Defensive Rebound.,29,41
5:44,-1,Corey Tobin missed Three Point Jumper.,29,41
5:44,2737,Xavier Cooks Defensive Rebound.,29,41
5:35,2737,Bjorn Broman made Layup. Assisted by Austin Awad.,29,43
5:20,2737,Foul on Bjorn Broman.,29,43
5:06,2737,Foul on Adam Pickett.,29,43
5:06,-1,Kody Eden made Free Throw.,30,43
5:06,-1,Kody Eden made Free Throw.,31,43
5:00,2737,Xavier Cooks Turnover.,31,43
4:59,-1,Corey Tobin Steal.,31,43
4:55,-1,Kody Eden missed Layup.,31,43
4:55,2737,Xavier Cooks Block.,31,43
4:55,-1,Cody Carden Offensive Rebound.,31,43
4:43,2737,Anders Broman missed Three Point Jumper.,31,43
4:43,-1,Corey Tobin Defensive Rebound.,31,43
4:40,2737,Foul on Xavier Cooks.,31,43
4:40,-1,Corey Tobin made Free Throw.,32,43
4:40,-1,Corey Tobin made Free Throw.,33,43
4:23,2737,Xavier Cooks made Jumper.,33,45
4:01,-1,Dwight Sanders missed Three Point Jumper.,33,45
4:01,2737,Xavier Cooks Defensive Rebound.,33,45
3:51,2737,Austin Awad missed Three Point Jumper.,33,45
3:51,-1,Cody Carden Defensive Rebound.,33,45
3:45,-1,Dwight Sanders made Jumper.,35,45
3:33,2737,Austin Awad made Three Point Jumper. Assisted by Bjorn Broman.,35,48
3:15,-1,Dwight Sanders missed Jumper.,35,48
3:15,2737,Austin Awad Defensive Rebound.,35,48
3:08,2737,Bjorn Broman missed Three Point Jumper.,35,48
3:08,2737,Austin Awad Offensive Rebound.,35,48
3:03,2737,Austin Awad made Jumper.,35,50
2:54,-1,Cody Carden Turnover.,35,50
2:54,-1,Foul on Cody Carden.,35,50
2:54,2737,Official TV Timeout,35,50
2:44,2737,Adam Pickett missed Three Point Jumper.,35,50
2:44,2737,Xavier Cooks Offensive Rebound.,35,50
2:38,2737,Jermaine Ukaegbu made Jumper.,35,52
2:08,-1,Dwight Sanders missed Three Point Jumper.,35,52
2:08,2737,Adam Pickett Defensive Rebound.,35,52
1:39,2737,Xavier Cooks made Dunk.,35,54
1:29,-1,Michael Mays missed Three Point Jumper.,35,54
1:29,2737,Winthrop Defensive Rebound.,35,54
1:12,2737,Xavier Cooks missed Jumper.,35,54
1:12,-1,Dwight Sanders Defensive Rebound.,35,54
1:02,-1,Dwight Sanders Turnover.,35,54
0:40,2737,Xavier Cooks missed Three Point Jumper.,35,54
0:40,-1,Dwight Sanders Defensive Rebound.,35,54
0:19,-1,Melvin Irving missed Jumper.,35,54
0:19,2737,Anders Broman Defensive Rebound.,35,54
0:02,2737,Anders Broman missed Three Point Jumper.,35,54
0:00,-1,Dwight Sanders Defensive Rebound.,35,54
0:00,2737,End of 1st half,35,54
19:48,-1,Foul on Earlmondo West.,35,54
19:36,2737,Xavier Cooks made Layup.,35,56
19:18,-1,Dwight Sanders made Jumper.,37,56
18:52,2737,Kyle Zunic missed Jumper.,37,56
18:52,2737,Kyle Zunic Offensive Rebound.,37,56
18:48,2737,Kyle Zunic made Two Point Tip Shot.,37,58
18:33,-1,Melvin Irving Turnover.,37,58
18:19,2737,Kyle Zunic missed Three Point Jumper.,37,58
18:19,2737,Jermaine Ukaegbu Offensive Rebound.,37,58
18:07,-1,Foul on Cody Carden.,37,58
18:07,2737,Xavier Cooks missed Free Throw.,37,58
18:07,2737,Winthrop Deadball Team Rebound.,37,58
18:07,2737,Xavier Cooks made Free Throw.,37,59
17:48,-1,Dwight Sanders made Jumper.,39,59
17:48,2737,Foul on Jermaine Ukaegbu.,39,59
17:48,-1,Dwight Sanders made Free Throw.,40,59
17:33,2737,Anders Broman missed Three Point Jumper.,40,59
17:33,-1,Dwight Sanders Defensive Rebound.,40,59
17:22,-1,Earlmondo West missed Three Point Jumper.,40,59
17:22,-1,Corey Tobin Offensive Rebound.,40,59
17:17,-1,Dwight Sanders Turnover.,40,59
17:16,2737,Jermaine Ukaegbu Steal.,40,59
17:10,-1,Foul on Cody Carden.,40,59
16:58,2737,Anders Broman made Three Point Jumper. Assisted by Xavier Cooks.,40,62
16:43,-1,Corey Tobin missed Three Point Jumper.,40,62
16:43,2737,Nych Smith Defensive Rebound.,40,62
16:34,2737,Xavier Cooks missed Layup.,40,62
16:34,-1,Dwight Sanders Defensive Rebound.,40,62
16:26,-1,Corey Tobin missed Three Point Jumper.,40,62
16:26,-1,Melvin Irving Offensive Rebound.,40,62
16:22,-1,Melvin Irving made Layup.,42,62
16:22,2737,Foul on Xavier Cooks.,42,62
16:22,-1,Melvin Irving made Free Throw.,43,62
16:06,2737,Austin Awad made Three Point Jumper. Assisted by Nych Smith.,43,65
15:48,-1,Dwight Sanders made Jumper.,45,65
15:47,2737,Foul on Bjorn Broman.,45,65
15:47,2737,Official TV Timeout,45,65
15:47,-1,Dwight Sanders missed Free Throw.,45,65
15:47,2737,Xavier Cooks Defensive Rebound.,45,65
15:26,2737,Adam Pickett made Jumper.,45,67
15:02,-1,Dwight Sanders missed Jumper.,45,67
15:02,2737,Xavier Cooks Defensive Rebound.,45,67
14:49,-1,Foul on Scot Hurdt.,45,67
14:41,2737,Nych Smith made Jumper.,45,69
14:27,-1,Corey Tobin missed Three Point Jumper.,45,69
14:27,2737,Adam Pickett Defensive Rebound.,45,69
14:16,2737,Austin Awad missed Three Point Jumper.,45,69
14:16,-1,Corey Tobin Defensive Rebound.,45,69
14:04,-1,Tyson Campbell made Jumper. Assisted by Corey Tobin.,47,69
13:45,2737,Adam Pickett missed Three Point Jumper.,47,69
13:45,2737,Xavier Cooks Offensive Rebound.,47,69
13:39,2737,Anders Broman made Three Point Jumper. Assisted by Xavier Cooks.,47,72
13:28,-1,Dwight Sanders Turnover.,47,72
13:28,2737,Anders Broman Steal.,47,72
13:20,2737,Anders Broman made Layup.,47,74
13:20,-1,Foul on Scot Hurdt.,47,74
13:20,2737,Anders Broman missed Free Throw.,47,74
13:20,-1,Scot Hurdt Defensive Rebound.,47,74
13:06,-1,Melvin Irving made Layup. Assisted by Corey Tobin.,49,74
12:46,2737,Anders Broman made Three Point Jumper. Assisted by Kyle Zunic.,49,77
12:28,-1,Tyson Campbell missed Jumper.,49,77
12:28,2737,Jermaine Ukaegbu Defensive Rebound.,49,77
12:18,-1,Foul on Melvin Irving.,49,77
12:18,2737,Bjorn Broman made Free Throw.,49,78
12:18,2737,Bjorn Broman missed Free Throw.,49,78
12:18,-1,Tyson Campbell Defensive Rebound.,49,78
11:54,-1,Corey Tobin Turnover.,49,78
11:53,2737,Nych Smith Steal.,49,78
11:47,2737,Bjorn Broman missed Three Point Jumper.,49,78
11:47,2737,Jermaine Ukaegbu Offensive Rebound.,49,78
11:41,2737,Tom Pupavac Turnover.,49,78
11:41,2737,Foul on Tom Pupavac.,49,78
11:41,2737,Official TV Timeout,49,78
11:31,-1,Scot Hurdt missed Three Point Jumper.,49,78
11:31,2737,Tom Pupavac Defensive Rebound.,49,78
11:23,2737,Bjorn Broman made Layup.,49,80
10:57,-1,Scot Hurdt missed Three Point Jumper.,49,80
10:57,2737,Jermaine Ukaegbu Defensive Rebound.,49,80
10:38,2737,Bjorn Broman missed Three Point Jumper.,49,80
10:38,-1,Tyson Campbell Defensive Rebound.,49,80
10:19,-1,Tyson Campbell made Jumper.,51,80
10:01,2737,Nych Smith made Jumper.,51,82
9:49,-1,Melvin Irving made Jumper.,53,82
9:36,2737,Kyle Zunic missed Three Point Jumper.,53,82
9:36,-1,Marshall Dunn Defensive Rebound.,53,82
9:26,-1,Melvin Irving made Jumper. Assisted by Marshall Dunn.,55,82
9:09,2737,Nych Smith missed Three Point Jumper.,55,82
9:09,-1,Marshall Dunn Defensive Rebound.,55,82
8:58,-1,Melvin Irving missed Jumper.,55,82
8:58,2737,Adam Pickett Defensive Rebound.,55,82
8:33,2737,Adam Pickett Turnover.,55,82
8:32,-1,Dwight Sanders Steal.,55,82
8:23,-1,Scot Hurdt made Three Point Jumper.,58,82
8:07,2737,Anders Broman missed Three Point Jumper.,58,82
8:07,2737,Xavier Cooks Offensive Rebound.,58,82
7:58,2737,Adam Pickett made Jumper.,58,84
7:49,-1,Dwight Sanders Turnover.,58,84
7:48,2737,Anders Broman Steal.,58,84
7:44,2737,Kyle Zunic made Layup. Assisted by Xavier Cooks.,58,86
7:26,-1,Dwight Sanders Turnover.,58,86
7:26,-1,Foul on Dwight Sanders.,58,86
7:26,2737,Official TV Timeout,58,86
7:18,2737,Anders Broman made Layup. Assisted by Xavier Cooks.,58,88
7:03,2737,Foul on Kyle Zunic.,58,88
7:03,-1,Dwight Sanders made Free Throw.,59,88
7:03,-1,Dwight Sanders made Free Throw.,60,88
6:57,-1,Foul on Corey Tobin.,60,88
6:57,2737,Adam Pickett made Free Throw.,60,89
6:57,2737,Adam Pickett missed Free Throw.,60,89
6:57,-1,Tyson Campbell Defensive Rebound.,60,89
6:49,-1,Scot Hurdt missed Three Point Jumper.,60,89
6:49,2737,Adam Pickett Defensive Rebound.,60,89
6:37,2737,Kyle Zunic made Three Point Jumper. Assisted by Xavier Cooks.,60,92
6:25,-1,Michael Mays missed Three Point Jumper.,60,92
6:25,2737,Kyle Zunic Defensive Rebound.,60,92
6:17,2737,Kyle Zunic made Three Point Jumper. Assisted by Xavier Cooks.,60,95
5:49,-1,Dwight Sanders missed Jumper.,60,95
5:49,2737,Anders Broman Defensive Rebound.,60,95
5:39,2737,Anders Broman missed Three Point Jumper.,60,95
5:39,2737,Xavier Cooks Offensive Rebound.,60,95
5:34,2737,Anders Broman made Three Point Jumper. Assisted by Xavier Cooks.,60,98
5:25,-1,Scot Hurdt missed Three Point Jumper.,60,98
5:25,2737,Xavier Cooks Defensive Rebound.,60,98
5:16,2737,Kyle Zunic made Three Point Jumper. Assisted by Xavier Cooks.,60,101
5:14,2737,Winthrop  Timeout,60,101
5:14,2737,Official TV Timeout,60,101
4:59,-1,Jervon Walker made Jumper. Assisted by Tyson Campbell.,62,101
4:44,2737,Adam Pickett made Jumper.,62,103
4:35,-1,Corey Tobin made Three Point Jumper.,65,103
4:12,2737,Adam Pickett missed Jumper.,65,103
4:12,-1,Michael Mays Defensive Rebound.,65,103
3:45,-1,Michael Mays Turnover.,65,103
3:45,2737,Official TV Timeout,65,103
3:40,2737,Tom Pupavac Turnover.,65,103
3:40,-1,Jervon Walker Steal.,65,103
3:36,-1,Corey Tobin made Layup.,67,103
3:18,2737,Kellen Blake made Jumper.,67,105
3:04,2737,Foul on Freddy Poole.,67,105
3:04,-1,Jervon Walker missed Free Throw.,67,105
3:04,-1,Reinhardt Deadball Team Rebound.,67,105
3:04,-1,Jervon Walker missed Free Throw.,67,105
3:04,2737,Mitch Hill Defensive Rebound.,67,105
2:50,2737,Matt Erps missed Jumper.,67,105
2:50,-1,Corey Tobin Defensive Rebound.,67,105
2:49,2737,Foul on Raivis Scerbinskis.,67,105
2:49,-1,Corey Tobin made Free Throw.,68,105
2:49,-1,Corey Tobin made Free Throw.,69,105
2:42,2737,Freddy Poole missed Three Point Jumper.,69,105
2:42,-1,Dwight Sanders Defensive Rebound.,69,105
2:34,-1,Tyson Campbell made Three Point Jumper. Assisted by Dwight Sanders.,72,105
2:25,2737,Matt Erps Turnover.,72,105
2:24,-1,Tyson Campbell Steal.,72,105
2:23,-1,Tyson Campbell made Layup.,74,105
2:12,2737,Matt Erps made Jumper. Assisted by Mitch Hill.,74,107
2:00,-1,Dwight Sanders missed Three Point Jumper.,74,107
2:00,-1,Jervon Walker Offensive Rebound.,74,107
1:51,-1,Tyson Campbell Turnover.,74,107
1:51,2737,Mitch Hill Steal.,74,107
1:43,2737,Raivis Scerbinskis missed Three Point Jumper.,74,107
1:43,-1,Jervon Walker Defensive Rebound.,74,107
1:33,-1,Reinhardt  Timeout,74,107
1:17,-1,Michael Mays Turnover.,74,107
1:17,2737,Mitch Hill Steal.,74,107
1:13,-1,Foul on Marshall Dunn.,74,107
1:13,2737,Kellen Blake missed Free Throw.,74,107
1:13,2737,Winthrop Offensive Rebound.,74,107
1:04,2737,Freddy Poole missed Jumper.,74,107
1:04,-1,T.A. Sullivan Defensive Rebound.,74,107
0:57,-1,Michael Mays missed Three Point Jumper.,74,107
0:57,2737,Mitch Hill Defensive Rebound.,74,107
0:47,2737,Raivis Scerbinskis missed Three Point Jumper.,74,107
0:47,-1,Kody Eden Defensive Rebound.,74,107
0:38,2737,Foul on Kellen Blake.,74,107
0:38,-1,Michael Mays made Free Throw.,75,107
0:38,-1,Michael Mays made Free Throw.,76,107
0:23,2737,Matt Erps Turnover.,76,107
0:02,-1,T.A. Sullivan missed Three Point Jumper.,76,107
0:02,2737,Mitch Hill Defensive Rebound.,76,107
0:00,2737,End of Game,76,107
