Saint Mary's,25,California,2608
6:28,2608,Calvin Hermanson made Jumper.,29,24
5:59,25,Marcus Lee missed Jumper.,29,24
5:59,2608,Tanner Krebs Defensive Rebound.,29,24
5:46,2608,Jordan Ford made Jumper.,31,24
5:10,25,Darius McNeill missed Three Point Jumper.,31,24
5:10,2608,Emmett Naar Defensive Rebound.,31,24
4:54,2608,Jordan Ford missed Layup.,31,24
4:54,2608,Jordan Hunter Offensive Rebound.,31,24
4:51,2608,Jordan Hunter made Two Point Tip Shot.,33,24
4:46,25,California  Timeout,33,24
4:35,25,Nick Hamilton made Jumper. Assisted by Marcus Lee.,33,26
4:07,2608,Calvin Hermanson missed Three Point Jumper.,33,26
4:07,25,Nick Hamilton Defensive Rebound.,33,26
3:46,25,Marcus Lee made Jumper. Assisted by Justice Sueing.,33,28
3:27,2608,Calvin Hermanson made Three Point Jumper. Assisted by Jordan Ford.,36,28
3:12,2608,Foul on Jordan Hunter.,36,28
3:12,25,Official TV Timeout,36,28
3:04,25,Marcus Lee made Jumper.,36,30
2:39,2608,Jordan Ford made Layup.,38,30
2:22,25,Justice Sueing Turnover.,38,30
2:09,2608,Jordan Ford made Layup.,40,30
1:45,25,Marcus Lee Turnover.,40,30
1:31,2608,Jordan Ford missed Three Point Jumper.,40,30
1:31,2608,Calvin Hermanson Offensive Rebound.,40,30
1:28,2608,Calvin Hermanson made Two Point Tip Shot.,42,30
1:14,25,Justice Sueing Turnover.,42,30
0:56,2608,Jordan Hunter Turnover.,42,30
0:43,25,Don Coleman missed Layup.,42,30
0:43,2608,Tanner Krebs Defensive Rebound.,42,30
0:36,2608,Emmett Naar made Layup.,44,30
0:10,25,Darius McNeill missed Three Point Jumper.,44,30
0:10,2608,Tanner Krebs Defensive Rebound.,44,30
0:03,2608,Jordan Ford missed Three Point Jumper.,44,30
0:03,25,California Deadball Team Rebound.,44,30
0:00,25,End of 1st half,44,30
19:51,25,Don Coleman missed Jumper.,44,30
19:51,2608,Tanner Krebs Block.,44,30
19:48,2608,Jordan Ford Defensive Rebound.,44,30
19:28,2608,Jordan Ford missed Layup.,44,30
19:28,25,Justice Sueing Block.,44,30
19:26,2608,Jock Landale Offensive Rebound.,44,30
19:25,2608,Jock Landale made Jumper.,46,30
19:11,25,Marcus Lee made Dunk.,46,32
18:41,2608,Jock Landale missed Jumper.,46,32
18:41,25,Justice Sueing Defensive Rebound.,46,32
18:32,25,Don Coleman missed Layup.,46,32
18:32,2608,Tanner Krebs Block.,46,32
18:31,25,California Offensive Rebound.,46,32
18:22,25,Justice Sueing made Three Point Jumper. Assisted by Darius McNeill.,46,35
17:50,2608,Calvin Hermanson missed Jumper.,46,35
17:50,25,California Defensive Rebound.,46,35
17:36,25,Juhwan Harris-Dyson made Layup.,46,37
17:20,2608,Jordan Ford made Jumper.,48,37
16:56,2608,Foul on Emmett Naar.,48,37
16:53,2608,Foul on Tanner Krebs.,48,37
16:44,2608,Foul on Jock Landale.,48,37
16:26,25,Marcus Lee missed Jumper.,48,37
16:26,2608,Tanner Krebs Defensive Rebound.,48,37
16:18,2608,Emmett Naar missed Three Point Jumper.,48,37
16:18,25,Juhwan Harris-Dyson Defensive Rebound.,48,37
16:08,25,Juhwan Harris-Dyson Turnover.,48,37
15:50,25,Foul on Marcus Lee.,48,37
15:50,25,Official TV Timeout,48,37
15:50,2608,Jock Landale missed Free Throw.,48,37
15:50,2608,Saint Mary's Deadball Team Rebound.,48,37
15:50,2608,Jock Landale made Free Throw.,49,37
15:33,25,Juhwan Harris-Dyson Turnover.,49,37
15:13,2608,Jordan Ford made Jumper.,51,37
14:57,25,Justice Sueing Turnover.,51,37
14:56,2608,Emmett Naar Steal.,51,37
14:48,2608,Jordan Ford Turnover.,51,37
14:39,2608,Foul on Calvin Hermanson.,51,37
14:23,25,Kingsley Okoroh made Jumper.,51,39
14:01,2608,Jordan Ford made Jumper.,53,39
13:39,2608,Foul on Jordan Hunter.,53,39
13:24,25,Kingsley Okoroh made Jumper. Assisted by Don Coleman.,53,41
13:04,25,Foul on Nick Hamilton.,53,41
13:04,2608,Emmett Naar made Free Throw.,54,41
13:04,2608,Emmett Naar made Free Throw.,55,41
12:57,2608,Foul on Tanner Krebs.,55,41
12:47,25,Don Coleman made Layup.,55,43
12:34,25,Foul on Marcus Lee.,55,43
12:34,2608,Jordan Hunter missed Free Throw.,55,43
12:34,2608,Saint Mary's Deadball Team Rebound.,55,43
12:34,2608,Jordan Hunter made Free Throw.,56,43
12:25,25,Don Coleman missed Layup.,56,43
12:25,2608,Evan Fitzner Defensive Rebound.,56,43
12:21,25,Foul on Don Coleman.,56,43
12:11,2608,Jordan Hunter made Dunk. Assisted by Emmett Naar.,58,43
11:44,25,Kingsley Okoroh missed Jumper.,58,43
11:44,25,Marcus Lee Offensive Rebound.,58,43
11:34,2608,Foul on Emmett Naar.,58,43
11:34,25,Official TV Timeout,58,43
11:34,25,Don Coleman made Free Throw.,58,44
11:34,25,Don Coleman made Free Throw.,58,45
11:12,2608,Tanner Krebs missed Jumper.,58,45
11:12,2608,Tanner Krebs Offensive Rebound.,58,45
11:08,2608,Tanner Krebs missed Jumper.,58,45
11:08,25,Kingsley Okoroh Block.,58,45
11:08,2608,Saint Mary's Offensive Rebound.,58,45
11:07,2608,Evan Fitzner missed Three Point Jumper.,58,45
11:07,2608,Jock Landale Offensive Rebound.,58,45
10:49,2608,Tanner Krebs missed Three Point Jumper.,58,45
10:49,25,Darius McNeill Defensive Rebound.,58,45
10:40,25,Don Coleman missed Layup.,58,45
10:40,25,Marcus Lee Offensive Rebound.,58,45
10:25,2608,Foul on Evan Fitzner.,58,45
10:25,25,Don Coleman missed Free Throw.,58,45
10:25,2608,Tanner Krebs Defensive Rebound.,58,45
10:25,25,Foul on Nick Hamilton.,58,45
10:12,2608,Calvin Hermanson missed Three Point Jumper.,58,45
10:12,25,Darius McNeill Defensive Rebound.,58,45
9:48,25,Darius McNeill missed Jumper.,58,45
9:48,2608,Jordan Ford Defensive Rebound.,58,45
9:42,25,Foul on Nick Hamilton.,58,45
9:42,2608,Emmett Naar made Free Throw.,59,45
9:42,2608,Emmett Naar made Free Throw.,60,45
9:19,25,Nick Hamilton made Jumper. Assisted by Marcus Lee.,60,47
9:01,2608,Calvin Hermanson made Three Point Jumper. Assisted by Jordan Ford.,63,47
8:39,25,Marcus Lee made Layup.,63,49
7:53,2608,Jock Landale Turnover.,63,49
7:51,25,Justice Sueing Steal.,63,49
7:46,25,Don Coleman made Layup. Assisted by Nick Hamilton.,63,51
7:30,2608,Tanner Krebs missed Three Point Jumper.,63,51
7:30,25,Darius McNeill Defensive Rebound.,63,51
7:19,25,Nick Hamilton made Layup. Assisted by Marcus Lee.,63,53
6:59,2608,Jock Landale made Layup. Assisted by Emmett Naar.,65,53
6:41,25,Marcus Lee made Layup.,65,55
6:12,2608,Emmett Naar made Three Point Jumper. Assisted by Tanner Krebs.,68,55
6:09,2608,Saint Mary's  Timeout,68,55
5:57,25,Marcus Lee missed Jumper.,68,55
5:57,2608,Tanner Krebs Defensive Rebound.,68,55
5:35,2608,Jordan Ford missed Jumper.,68,55
5:35,25,Don Coleman Defensive Rebound.,68,55
5:30,25,Don Coleman missed Jumper.,68,55
5:30,2608,Tanner Krebs Defensive Rebound.,68,55
5:08,2608,Jock Landale missed Layup.,68,55
5:08,25,Marcus Lee Block.,68,55
5:06,25,Marcus Lee Defensive Rebound.,68,55
4:55,25,Darius McNeill missed Three Point Jumper.,68,55
4:55,2608,Jordan Ford Defensive Rebound.,68,55
4:53,25,Foul on Don Coleman.,68,55
4:53,25,Official TV Timeout,68,55
4:53,2608,Jordan Ford missed Free Throw.,68,55
4:53,25,Justice Sueing Defensive Rebound.,68,55
4:39,25,Marcus Lee missed Jumper.,68,55
4:39,2608,Jordan Ford Defensive Rebound.,68,55
4:12,2608,Emmett Naar Turnover.,68,55
4:07,25,Don Coleman missed Layup.,68,55
4:07,2608,Calvin Hermanson Block.,68,55
4:06,25,California Offensive Rebound.,68,55
3:53,25,Marcus Lee made Jumper. Assisted by Don Coleman.,68,57
3:53,2608,Foul on Jock Landale.,68,57
3:53,25,Official TV Timeout,68,57
3:53,25,Marcus Lee made Free Throw.,68,58
3:24,2608,Jordan Ford missed Layup.,68,58
3:24,25,Marcus Lee Block.,68,58
3:22,25,Marcus Lee Defensive Rebound.,68,58
3:16,25,Don Coleman missed Layup.,68,58
3:16,2608,Tanner Krebs Defensive Rebound.,68,58
3:14,25,Foul on Marcus Lee.,68,58
3:14,2608,Tanner Krebs made Free Throw.,69,58
3:14,2608,Tanner Krebs made Free Throw.,70,58
2:54,25,Justice Sueing missed Three Point Jumper.,70,58
2:54,2608,Jock Landale Defensive Rebound.,70,58
2:26,2608,Foul on Calvin Hermanson.,70,58
2:26,2608,Calvin Hermanson Turnover.,70,58
2:14,25,Don Coleman missed Layup.,70,58
2:14,2608,Jock Landale Defensive Rebound.,70,58
2:00,25,Foul on Darius McNeill.,70,58
2:00,2608,Jordan Ford made Free Throw.,71,58
2:00,2608,Jordan Ford made Free Throw.,72,58
1:51,25,Marcus Lee Turnover.,72,58
1:51,2608,Jock Landale Steal.,72,58
1:36,25,Foul on Don Coleman.,72,58
1:36,2608,Emmett Naar made Free Throw.,73,58
1:36,2608,Emmett Naar made Free Throw.,74,58
1:26,2608,Foul on Jock Landale.,74,58
1:26,25,Nick Hamilton missed Free Throw.,74,58
1:26,25,California Deadball Team Rebound.,74,58
1:26,25,Nick Hamilton missed Free Throw.,74,58
1:26,2608,Elijah Thomas Defensive Rebound.,74,58
0:58,2608,Tanner Krebs missed Three Point Jumper.,74,58
0:58,25,Marcus Lee Defensive Rebound.,74,58
0:44,25,Nick Hamilton made Three Point Jumper. Assisted by Darius McNeill.,74,61
0:16,2608,Jordan Ford missed Three Point Jumper.,74,61
0:16,25,Darius McNeill Defensive Rebound.,74,61
0:03,25,Nick Hamilton made Layup.,74,63
0:00,25,End of Game,74,63
