Appalachian State,2166,Davidson,2026
13:20,2026,Foul on Isaac Johnson.,12,7
13:14,2166,Peyton Aldridge made Three Point Jumper. Assisted by Oskar Michelsen.,12,10
12:53,2026,Jake Babic made Jumper.,14,10
12:41,2166,Rusty Reigel Turnover.,14,10
12:40,2026,Patrick Good Steal.,14,10
12:37,2166,Foul on Rusty Reigel.,14,10
12:37,2026,Patrick Good missed Free Throw.,14,10
12:37,2026,Appalachian St Deadball Team Rebound.,14,10
12:37,2026,Patrick Good made Free Throw.,15,10
12:20,2166,Foul on Dusan Kovacevic.,15,10
12:20,2166,Dusan Kovacevic Turnover.,15,10
11:58,2026,Emarius Logan missed Jumper.,15,10
11:58,2026,Griffin Kinney Offensive Rebound.,15,10
11:53,2026,Griffin Kinney missed Layup.,15,10
11:53,2166,Rusty Reigel Defensive Rebound.,15,10
11:53,2026,Foul on Craig Hinton.,15,10
11:53,2166,Davidson  Timeout,15,10
11:53,2166,Rusty Reigel missed Free Throw.,15,10
11:53,2026,Griffin Kinney Defensive Rebound.,15,10
11:44,2166,Foul on KiShawn Pritchett.,15,10
11:44,2026,Griffin Kinney made Free Throw.,16,10
11:44,2026,Griffin Kinney made Free Throw.,17,10
11:29,2166,Peyton Aldridge missed Three Point Jumper.,17,10
11:29,2166,KiShawn Pritchett Offensive Rebound.,17,10
11:05,2166,Jon Axel Gudmundsson made Layup.,17,12
10:57,2026,Craig Hinton Turnover.,17,12
10:48,2166,Jon Axel Gudmundsson missed Three Point Jumper.,17,12
10:48,2026,Griffin Kinney Block.,17,12
10:44,2166,Rusty Reigel Offensive Rebound.,17,12
10:44,2166,Foul on Nathan Ekwu.,17,12
10:44,2166,Nathan Ekwu Turnover.,17,12
10:35,2026,Emarius Logan missed Jumper.,17,12
10:35,2026,Griffin Kinney Offensive Rebound.,17,12
10:19,2026,Craig Hinton made Layup.,19,12
10:08,2166,Peyton Aldridge made Layup. Assisted by Rusty Reigel.,19,14
9:52,2166,Foul on Jon Axel Gudmundsson.,19,14
9:52,2026,Kelvin Robinson made Free Throw.,20,14
9:52,2026,Kelvin Robinson made Free Throw.,21,14
9:31,2166,KiShawn Pritchett missed Three Point Jumper.,21,14
9:31,2026,Griffin Kinney Defensive Rebound.,21,14
9:19,2026,Emarius Logan missed Jumper.,21,14
9:19,2026,Griffin Kinney Offensive Rebound.,21,14
9:15,2026,Griffin Kinney made Layup.,23,14
8:48,2166,Peyton Aldridge made Layup. Assisted by KiShawn Pritchett.,23,16
8:33,2026,Griffin Kinney made Layup. Assisted by Kelvin Robinson.,25,16
8:18,2166,KiShawn Pritchett made Layup.,25,18
8:18,2026,Foul on Kelvin Robinson.,25,18
8:13,2166,KiShawn Pritchett made Free Throw.,25,19
8:11,2026,Griffin Kinney missed Jumper.,25,19
8:11,2166,Rusty Reigel Defensive Rebound.,25,19
7:59,2166,Dusan Kovacevic missed Layup.,25,19
7:59,2166,Dusan Kovacevic Offensive Rebound.,25,19
7:52,2166,Dusan Kovacevic made Layup.,25,21
7:39,2026,Jake Babic missed Layup.,25,21
7:39,2026,Bennett Holley Offensive Rebound.,25,21
7:32,2026,Patrick Good missed Layup.,25,21
7:32,2166,Dusan Kovacevic Defensive Rebound.,25,21
7:15,2166,Rusty Reigel missed Free Throw.,25,21
7:15,2026,Patrick Good Defensive Rebound.,25,21
7:15,2026,Foul on Griffin Kinney.,25,21
7:05,2026,Bennett Holley missed Three Point Jumper.,25,21
7:05,2166,KiShawn Pritchett Defensive Rebound.,25,21
6:38,2166,Dusan Kovacevic Turnover.,25,21
6:23,2026,Emarius Logan missed Layup.,25,21
6:23,2026,Jake Babic Offensive Rebound.,25,21
6:18,2026,Patrick Good made Three Point Jumper. Assisted by Jake Babic.,28,21
5:59,2166,Oskar Michelsen missed Layup.,28,21
5:59,2026,Jake Wilson Block.,28,21
5:57,2026,Jake Babic Defensive Rebound.,28,21
5:54,2166,Foul on Rusty Reigel.,28,21
5:54,2026,Jake Babic made Free Throw.,29,21
5:54,2026,Jake Babic made Free Throw.,30,21
5:34,2166,Oskar Michelsen made Three Point Jumper. Assisted by Dusan Kovacevic.,30,24
5:18,2026,Jake Babic missed Three Point Jumper.,30,24
5:18,2166,Dusan Kovacevic Defensive Rebound.,30,24
5:08,2026,Foul on Bennett Holley.,30,24
5:08,2166,Peyton Aldridge made Free Throw.,30,25
5:08,2166,Peyton Aldridge made Free Throw.,30,26
4:51,2026,Foul on Jake Wilson.,30,26
4:51,2026,Jake Wilson Turnover.,30,26
4:28,2166,Nathan Ekwu made Layup. Assisted by Rusty Reigel.,30,28
4:21,2026,Patrick Good Turnover.,30,28
4:13,2166,Nathan Ekwu made Layup. Assisted by Rusty Reigel.,30,30
3:59,2166,Foul on Oskar Michelsen.,30,30
3:59,2026,Emarius Logan made Free Throw.,31,30
3:59,2026,Emarius Logan made Free Throw.,32,30
3:45,2166,Nathan Ekwu Turnover.,32,30
3:45,2026,Appalachian St  Timeout,32,30
3:25,2026,Foul on Griffin Kinney.,32,30
3:25,2026,Griffin Kinney Turnover.,32,30
3:06,2166,Nathan Ekwu made Dunk. Assisted by Peyton Aldridge.,32,32
2:44,2166,Foul on Rusty Reigel.,32,32
2:44,2026,Jake Wilson missed Free Throw.,32,32
2:44,2026,Appalachian St Deadball Team Rebound.,32,32
2:44,2026,Jake Wilson missed Free Throw.,32,32
2:44,2166,Peyton Aldridge Defensive Rebound.,32,32
2:34,2166,Nathan Ekwu missed Jumper.,32,32
2:34,2166,Nathan Ekwu Offensive Rebound.,32,32
2:30,2166,Nathan Ekwu missed Layup.,32,32
2:30,2026,Craig Hinton Defensive Rebound.,32,32
2:13,2026,Jake Wilson missed Layup.,32,32
2:13,2026,Appalachian St Offensive Rebound.,32,32
2:00,2166,Foul on Dusan Kovacevic.,32,32
2:00,2026,Jake Wilson made Free Throw.,33,32
2:00,2026,Jake Wilson made Free Throw.,34,32
1:47,2166,Nathan Ekwu missed Jumper.,34,32
1:39,2166,Oskar Michelsen Offensive Rebound.,34,32
1:39,2166,Oskar Michelsen Turnover.,34,32
1:18,2026,Jake Babic made Three Point Jumper.,37,32
0:49,2026,Foul on Patrick Good.,37,32
0:49,2166,KiShawn Pritchett missed Free Throw.,37,32
0:49,2166,Davidson Deadball Team Rebound.,37,32
0:49,2166,KiShawn Pritchett made Free Throw.,37,33
0:41,2026,Emarius Logan missed Layup.,37,33
0:41,2166,Andrew McAuliffe Block.,37,33
0:41,2026,Appalachian St Offensive Rebound.,37,33
0:41,2026,Appalachian St  Timeout,37,33
0:41,2026,Appalachian St  Timeout,37,33
0:24,2026,Jake Babic missed Three Point Jumper.,37,33
0:24,2166,Nathan Ekwu Defensive Rebound.,37,33
0:07,2166,Davidson  Timeout,37,33
0:03,2166,KiShawn Pritchett missed Three Point Jumper.,37,33
0:03,2026,Jake Babic Defensive Rebound.,37,33
0:00,2166,End of 1st half,37,33
19:47,2166,Rusty Reigel made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,37,36
19:31,2026,Kelvin Robinson Turnover.,37,36
19:21,2026,Foul on Tyrell Johnson.,37,36
19:17,2166,Peyton Aldridge missed Jumper.,37,36
19:12,2166,Rusty Reigel Offensive Rebound.,37,36
18:58,2026,Griffin Kinney made Jumper. Assisted by Tyrell Johnson.,39,36
18:49,2166,Rusty Reigel made Jumper.,39,38
18:28,2166,Foul on Peyton Aldridge.,39,38
18:15,2026,Tyrell Johnson Turnover.,39,38
18:07,2026,Foul on Emarius Logan.,39,38
18:07,2166,Jordan Watkins made Free Throw.,39,39
18:07,2166,Jordan Watkins made Free Throw.,39,40
17:50,2026,Kelvin Robinson made Layup.,41,40
17:31,2166,Jordan Watkins made Jumper.,41,42
17:21,2166,Foul on Will Magarity.,41,42
17:19,2026,Ronshad Shabazz made Jumper. Assisted by Kelvin Robinson.,43,42
17:02,2026,Foul on Griffin Kinney.,43,42
17:02,2166,Peyton Aldridge made Free Throw.,43,43
17:02,2166,Peyton Aldridge made Free Throw.,43,44
16:50,2026,Ronshad Shabazz Turnover.,43,44
16:48,2166,Rusty Reigel Steal.,43,44
16:41,2166,Nathan Ekwu Turnover.,43,44
16:40,2026,Griffin Kinney Steal.,43,44
16:36,2026,Emarius Logan Turnover.,43,44
16:35,2166,Rusty Reigel Steal.,43,44
16:28,2166,Jon Axel Gudmundsson missed Three Point Jumper.,43,44
16:28,2026,Emarius Logan Defensive Rebound.,43,44
16:14,2026,Tyrell Johnson made Layup.,45,44
16:05,2166,Peyton Aldridge missed Jumper.,45,44
16:05,2026,Tyrell Johnson Defensive Rebound.,45,44
16:02,2026,Tyrell Johnson Turnover.,45,44
16:00,2166,Rusty Reigel Steal.,45,44
16:00,2026,Foul on Kelvin Robinson.,45,44
16:00,2166,Rusty Reigel made Free Throw.,45,45
16:00,2166,Rusty Reigel made Free Throw.,45,46
15:54,2026,Jake Babic missed Layup.,45,46
15:54,2026,Jake Wilson Offensive Rebound.,45,46
15:50,2026,Jake Wilson made Layup.,47,46
15:42,2166,Jordan Watkins missed Three Point Jumper.,47,46
15:42,2166,Nathan Ekwu Offensive Rebound.,47,46
15:38,2026,Foul on Ronshad Shabazz.,47,46
15:38,2166,Davidson  Timeout,47,46
15:29,2166,Jon Axel Gudmundsson made Layup.,47,48
15:14,2026,Kelvin Robinson missed Three Point Jumper.,47,48
15:14,2166,Jordan Watkins Defensive Rebound.,47,48
15:06,2166,Jordan Watkins missed Layup.,47,48
15:06,2026,Jake Wilson Block.,47,48
14:59,2026,Jake Wilson Defensive Rebound.,47,48
14:54,2026,Ronshad Shabazz made Three Point Jumper. Assisted by Kelvin Robinson.,50,48
14:39,2166,Peyton Aldridge missed Jumper.,50,48
14:39,2026,Jake Wilson Block.,50,48
14:37,2166,Nathan Ekwu Offensive Rebound.,50,48
14:33,2166,Nathan Ekwu missed Layup.,50,48
14:33,2026,Craig Hinton Defensive Rebound.,50,48
14:19,2026,Kelvin Robinson made Layup.,52,48
14:08,2166,Peyton Aldridge made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,52,51
14:08,2166,Davidson  Timeout,52,51
13:53,2026,Ronshad Shabazz Turnover.,52,51
13:44,2166,Will Magarity missed Layup.,52,51
13:44,2026,Appalachian St Defensive Rebound.,52,51
13:43,2166,Foul on Will Magarity.,52,51
13:26,2026,Tyrell Johnson made Jumper.,54,51
13:11,2166,Will Magarity missed Three Point Jumper.,54,51
13:11,2026,Patrick Good Defensive Rebound.,54,51
13:00,2026,Tyrell Johnson made Layup.,56,51
12:45,2166,Jon Axel Gudmundsson missed Layup.,56,51
12:45,2026,Patrick Good Defensive Rebound.,56,51
12:20,2026,Patrick Good missed Three Point Jumper.,56,51
12:20,2026,Patrick Good Offensive Rebound.,56,51
12:12,2026,Griffin Kinney Turnover.,56,51
12:10,2166,Jordan Watkins Steal.,56,51
11:58,2166,Peyton Aldridge made Three Point Jumper. Assisted by Rusty Reigel.,56,54
11:40,2026,Emarius Logan Turnover.,56,54
11:37,2166,Jordan Watkins Steal.,56,54
11:35,2166,Dusan Kovacevic made Layup. Assisted by Jordan Watkins.,56,56
11:13,2166,Foul on Jon Axel Gudmundsson.,56,56
11:13,2026,Appalachian St  Timeout,56,56
10:58,2026,Tyrell Johnson missed Layup.,56,56
10:58,2166,Peyton Aldridge Defensive Rebound.,56,56
10:49,2026,Foul on Tyrell Johnson.,56,56
10:47,2166,Rusty Reigel Turnover.,56,56
10:46,2026,Emarius Logan Steal.,56,56
10:39,2026,Patrick Good made Three Point Jumper. Assisted by Griffin Kinney.,59,56
10:19,2166,Dusan Kovacevic missed Layup.,59,56
10:19,2026,Ronshad Shabazz Defensive Rebound.,59,56
10:07,2026,Ronshad Shabazz missed Layup.,59,56
10:07,2166,Rusty Reigel Defensive Rebound.,59,56
9:48,2166,Peyton Aldridge made Jumper. Assisted by Jordan Watkins.,59,58
9:26,2026,Emarius Logan missed Three Point Jumper.,59,58
9:26,2166,Jon Axel Gudmundsson Defensive Rebound.,59,58
9:23,2026,Foul on Craig Hinton.,59,58
9:23,2166,Jon Axel Gudmundsson made Free Throw.,59,59
9:23,2166,Jon Axel Gudmundsson made Free Throw.,59,60
9:14,2166,Foul on Jordan Watkins.,59,60
9:06,2026,Griffin Kinney made Jumper.,61,60
8:50,2166,Peyton Aldridge made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,61,63
8:35,2166,Foul on Nathan Ekwu.,61,63
8:26,2166,Foul on Nathan Ekwu.,61,63
8:26,2026,Emarius Logan made Free Throw.,62,63
8:26,2026,Emarius Logan made Free Throw.,63,63
8:10,2166,Rusty Reigel made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,63,66
7:53,2026,Kelvin Robinson made Three Point Jumper. Assisted by Emarius Logan.,66,66
7:43,2026,Foul on Isaac Johnson.,66,66
7:43,2166,Davidson  Timeout,66,66
7:43,2166,Peyton Aldridge made Free Throw.,66,67
7:43,2166,Peyton Aldridge missed Free Throw.,66,67
7:43,2026,Ronshad Shabazz Defensive Rebound.,66,67
7:22,2026,Kelvin Robinson missed Layup.,66,67
7:22,2166,Nathan Ekwu Defensive Rebound.,66,67
7:20,2026,Foul on Isaac Johnson.,66,67
7:20,2166,Nathan Ekwu missed Free Throw.,66,67
7:20,2166,Peyton Aldridge Offensive Rebound.,66,67
7:07,2166,Nathan Ekwu missed Layup.,66,67
7:07,2026,Jake Wilson Block.,66,67
7:04,2166,Jon Axel Gudmundsson Offensive Rebound.,66,67
6:58,2166,Jordan Watkins missed Jumper.,66,67
6:58,2026,Isaac Johnson Defensive Rebound.,66,67
6:43,2026,Ronshad Shabazz missed Three Point Jumper.,66,67
6:43,2166,Nathan Ekwu Defensive Rebound.,66,67
6:22,2166,Rusty Reigel missed Three Point Jumper.,66,67
6:22,2026,Isaac Johnson Defensive Rebound.,66,67
6:13,2026,Ronshad Shabazz missed Three Point Jumper.,66,67
6:13,2166,Nathan Ekwu Defensive Rebound.,66,67
5:46,2166,Jordan Watkins missed Three Point Jumper.,66,67
5:46,2026,Jake Babic Defensive Rebound.,66,67
5:44,2166,Foul on Jon Axel Gudmundsson.,66,67
5:44,2026,Jake Babic made Free Throw.,67,67
5:44,2026,Jake Babic made Free Throw.,68,67
5:23,2166,Jon Axel Gudmundsson made Three Point Jumper. Assisted by Will Magarity.,68,70
5:08,2026,Patrick Good missed Three Point Jumper.,68,70
5:08,2166,Jon Axel Gudmundsson Defensive Rebound.,68,70
5:04,2026,Foul on Patrick Good.,68,70
5:04,2166,Jon Axel Gudmundsson made Free Throw.,68,71
5:04,2166,Jon Axel Gudmundsson made Free Throw.,68,72
4:53,2166,Foul on Jon Axel Gudmundsson.,68,72
4:53,2026,Jake Babic made Free Throw.,69,72
4:53,2026,Jake Babic made Free Throw.,70,72
4:34,2166,Peyton Aldridge made Jumper.,70,74
4:10,2026,Craig Hinton missed Three Point Jumper.,70,74
4:10,2166,Jordan Watkins Defensive Rebound.,70,74
3:54,2166,Nathan Ekwu missed Layup.,70,74
3:54,2026,Ronshad Shabazz Defensive Rebound.,70,74
3:45,2026,Ronshad Shabazz missed Layup.,70,74
3:45,2026,Griffin Kinney Offensive Rebound.,70,74
3:44,2166,Foul on Peyton Aldridge.,70,74
3:44,2026,Appalachian St  Timeout,70,74
3:44,2026,Griffin Kinney missed Free Throw.,70,74
3:44,2026,Appalachian St Deadball Team Rebound.,70,74
3:44,2026,Griffin Kinney missed Free Throw.,70,74
3:44,2166,Rusty Reigel Defensive Rebound.,70,74
3:30,2026,Foul on Ronshad Shabazz.,70,74
3:30,2166,Will Magarity made Free Throw.,70,75
3:30,2166,Will Magarity missed Free Throw.,70,75
3:30,2026,Appalachian St Defensive Rebound.,70,75
3:29,2166,Foul on Rusty Reigel.,70,75
3:29,2026,Tyrell Johnson missed Free Throw.,70,75
3:29,2026,Appalachian St Deadball Team Rebound.,70,75
3:29,2026,Tyrell Johnson made Free Throw.,71,75
3:06,2166,KiShawn Pritchett missed Layup.,71,75
3:06,2166,KiShawn Pritchett Offensive Rebound.,71,75
2:42,2166,Will Magarity missed Three Point Jumper.,71,75
2:42,2166,KiShawn Pritchett Offensive Rebound.,71,75
2:35,2166,KiShawn Pritchett made Layup.,71,77
2:22,2026,Emarius Logan made Layup. Assisted by Griffin Kinney.,73,77
2:22,2026,Appalachian St  Timeout,73,77
2:12,2166,Will Magarity made Dunk. Assisted by Peyton Aldridge.,73,79
2:01,2026,Ronshad Shabazz missed Layup.,73,79
2:01,2166,Peyton Aldridge Defensive Rebound.,73,79
1:33,2166,Peyton Aldridge made Layup.,73,81
1:25,2166,Foul on Will Magarity.,73,81
1:25,2026,Ronshad Shabazz missed Free Throw.,73,81
1:25,2026,Appalachian St Deadball Team Rebound.,73,81
1:25,2026,Ronshad Shabazz made Free Throw.,74,81
1:13,2166,Davidson  Timeout,74,81
1:00,2166,Rusty Reigel made Layup.,74,83
1:00,2026,Foul on Kelvin Robinson.,74,83
1:00,2166,Rusty Reigel made Free Throw.,74,84
0:48,2026,Ronshad Shabazz missed Jumper.,74,84
0:48,2166,Rusty Reigel Defensive Rebound.,74,84
0:18,2166,Dusan Kovacevic made Jumper.,74,86
0:05,2026,Tyrell Johnson missed Jumper.,74,86
0:05,2166,Peyton Aldridge Defensive Rebound.,74,86
0:00,2166,End of Game,74,86
