Central Baptist Coll,Error,Little Rock,2031
7:19,2031,Marcus Johnson Jr. made Three Point Jumper. Assisted by Oliver Black.,16,38
7:09,-1,Jordan Ford missed Three Point Jumper.,16,38
7:09,-1,Mike Evans Offensive Rebound.,16,38
7:09,2031,Foul on Oliver Black.,16,38
7:09,2031,Official TV Timeout,16,38
7:09,-1,Mike Evans made Free Throw.,17,38
7:09,-1,Mike Evans made Free Throw.,18,38
6:50,2031,Jalen Jackson made Jumper.,18,40
6:35,-1,Jordan Ford missed Three Point Jumper.,18,40
6:35,-1,Central Baptist Offensive Rebound.,18,40
6:28,-1,Nick Jones missed Layup.,18,40
6:28,2031,Shandon Goldman Block.,18,40
6:26,2031,Kemy Osse Defensive Rebound.,18,40
6:19,2031,Jalen Jackson made Three Point Jumper. Assisted by Maurius Hill.,18,43
6:03,-1,Central Baptist  Timeout,18,43
5:52,-1,Nick Jones missed Three Point Jumper.,18,43
5:52,2031,Marcus Johnson Jr. Defensive Rebound.,18,43
5:44,2031,Shandon Goldman missed Three Point Jumper.,18,43
5:44,-1,Nick Jones Defensive Rebound.,18,43
5:25,-1,Stephen Ramsey missed Jumper.,18,43
5:25,-1,Mike Evans Offensive Rebound.,18,43
5:22,2031,Foul on Shandon Goldman.,18,43
5:22,-1,Mike Evans made Free Throw.,19,43
5:22,-1,Mike Evans missed Free Throw.,19,43
5:22,2031,Maurius Hill Defensive Rebound.,19,43
4:55,2031,Shandon Goldman Turnover.,19,43
4:47,-1,Tony White made Layup.,21,43
4:28,-1,Foul on Stephen Ramsey.,21,43
4:28,2031,Jalen Jackson missed Free Throw.,21,43
4:28,2031,Maurius Hill Offensive Rebound.,21,43
4:22,2031,Maurius Hill missed Jumper.,21,43
4:22,2031,Andre Jones Offensive Rebound.,21,43
4:18,2031,Andre Jones missed Jumper.,21,43
4:18,-1,Mike Evans Defensive Rebound.,21,43
4:04,-1,Marcel Swinton missed Three Point Jumper.,21,43
4:04,-1,Mike Evans Offensive Rebound.,21,43
4:04,2031,Foul on Oliver Black.,21,43
4:04,-1,Mike Evans made Free Throw.,22,43
4:04,-1,Mike Evans missed Free Throw.,22,43
4:04,2031,Maurius Hill Defensive Rebound.,22,43
3:55,-1,Foul on Fred Albright.,22,43
3:52,2031,Ben Marcus missed Free Throw.,22,43
3:52,2031,Little Rock Deadball Team Rebound.,22,43
3:52,2031,Ben Marcus made Free Throw.,22,44
3:45,2031,Official TV Timeout,22,44
3:38,-1,Marcel Swinton missed Three Point Jumper.,22,44
3:38,-1,Tony White Offensive Rebound.,22,44
3:38,2031,Foul on Deondre Burns.,22,44
3:38,-1,Tony White made Free Throw.,23,44
3:38,-1,Tony White missed Free Throw.,23,44
3:38,2031,Jalen Jackson Defensive Rebound.,23,44
3:30,2031,Marcus Johnson Jr. made Jumper.,23,46
3:10,-1,Tony White missed Jumper.,23,46
3:10,2031,Oliver Black Defensive Rebound.,23,46
3:01,2031,Kemy Osse missed Three Point Jumper.,23,46
3:01,-1,Mike Evans Defensive Rebound.,23,46
2:35,-1,Rob Sanders missed Jumper.,23,46
2:35,2031,Marcus Johnson Jr. Defensive Rebound.,23,46
2:28,2031,Marcus Johnson Jr. Turnover.,23,46
2:28,2031,Foul on Marcus Johnson Jr..,23,46
2:18,-1,Rob Sanders Turnover.,23,46
1:55,2031,Marcus Johnson Jr. missed Three Point Jumper.,23,46
1:55,2031,Jalen Jackson Offensive Rebound.,23,46
1:49,2031,Oliver Black missed Jumper.,23,46
1:49,-1,Fred Albright Defensive Rebound.,23,46
1:42,2031,Foul on Oliver Black.,23,46
1:42,-1,Nick Jones made Free Throw.,24,46
1:42,-1,Nick Jones made Free Throw.,25,46
1:27,2031,Ben Marcus made Layup.,25,48
1:06,2031,Foul on Ben Marcus.,25,48
1:06,-1,Nick Jones made Free Throw.,26,48
1:06,-1,Nick Jones made Free Throw.,27,48
1:02,-1,Foul on Xavier Huskey.,27,48
1:02,2031,Marcus Johnson Jr. made Free Throw.,27,49
1:02,2031,Marcus Johnson Jr. missed Free Throw.,27,49
1:02,-1,Nick Jones Defensive Rebound.,27,49
0:55,-1,Jordan Ford missed Layup.,27,49
0:55,2031,Ben Marcus Block.,27,49
0:54,2031,Lis Shoshi Defensive Rebound.,27,49
0:41,2031,Ben Marcus made Layup.,27,51
0:36,-1,Jordan Ford missed Three Point Jumper.,27,51
0:36,2031,Kemy Osse Defensive Rebound.,27,51
0:04,2031,Marcus Johnson Jr. missed Three Point Jumper.,27,51
0:04,-1,Xavier Huskey Defensive Rebound.,27,51
0:00,2031,Foul on Shandon Goldman.,27,51
0:00,-1,Nick Jones missed Free Throw.,27,51
0:00,-1,Central Baptist Deadball Team Rebound.,27,51
0:00,-1,Nick Jones made Free Throw.,28,51
0:00,2031,End of 1st half,27,51
19:44,-1,Marcelious Green missed Jumper.,28,51
19:44,2031,Marcus Johnson Jr. Defensive Rebound.,28,51
19:19,2031,Jalen Jackson missed Jumper.,28,51
19:19,-1,Stephen Ramsey Defensive Rebound.,28,51
19:17,-1,Stephen Ramsey Turnover.,28,51
19:00,-1,Foul on Mike Evans.,28,51
18:56,2031,Lis Shoshi made Free Throw.,28,52
18:48,2031,Lis Shoshi made Free Throw.,28,53
18:37,-1,Fred Albright missed Three Point Jumper.,28,53
18:37,2031,Marcus Johnson Jr. Defensive Rebound.,28,53
18:33,2031,Kemy Osse made Three Point Jumper. Assisted by Marcus Johnson Jr..,28,56
18:22,-1,Marcelious Green missed Layup.,28,56
18:22,-1,Fred Albright Offensive Rebound.,28,56
18:20,-1,Fred Albright made Layup.,30,56
18:13,2031,Little Rock  Timeout,30,56
17:54,2031,Maurius Hill missed Jumper.,30,56
17:54,-1,Jordan Ford Defensive Rebound.,30,56
17:46,-1,Marcelious Green missed Three Point Jumper.,30,56
17:46,-1,Marcelious Green Offensive Rebound.,30,56
17:44,-1,Marcelious Green Turnover.,30,56
17:26,2031,Kemy Osse missed Three Point Jumper.,30,56
17:26,-1,Fred Albright Defensive Rebound.,30,56
17:18,-1,Fred Albright missed Three Point Jumper.,30,56
17:18,2031,Kemy Osse Defensive Rebound.,30,56
17:06,2031,Jalen Jackson missed Layup.,30,56
17:06,-1,Mike Evans Defensive Rebound.,30,56
16:51,-1,Mike Evans Turnover.,30,56
16:33,2031,Lis Shoshi missed Three Point Jumper.,30,56
16:33,-1,Marcelious Green Defensive Rebound.,30,56
16:30,2031,Foul on Kemy Osse.,30,56
16:04,2031,Foul on Lis Shoshi.,30,56
16:04,-1,Nick Jones missed Free Throw.,30,56
16:04,-1,Central Baptist Deadball Team Rebound.,30,56
16:04,-1,Nick Jones missed Free Throw.,30,56
16:04,2031,Little Rock Defensive Rebound.,30,56
15:30,2031,Kemy Osse made Three Point Jumper. Assisted by Oliver Black.,30,59
15:11,2031,Foul on Andre Jones.,30,59
15:11,2031,Official TV Timeout,30,59
15:11,2031,Official TV Timeout,30,59
14:56,2031,Foul on Oliver Black.,30,59
14:53,-1,Jordan Ford made Three Point Jumper. Assisted by Mike Evans.,33,59
14:30,-1,Foul on Nick Jones.,33,59
14:30,2031,Deondre Burns made Free Throw.,33,60
14:30,2031,Deondre Burns made Free Throw.,33,61
14:13,2031,Foul on Maurius Hill.,33,61
14:07,-1,Nick Jones made Three Point Jumper.,36,61
13:47,2031,Ryan Pippins missed Three Point Jumper.,36,61
13:47,2031,Deondre Burns Offensive Rebound.,36,61
13:42,2031,Andre Jones made Layup.,36,63
13:22,-1,Nick Jones made Three Point Jumper.,39,63
13:04,2031,Ryan Pippins Turnover.,39,63
13:04,2031,Foul on Ryan Pippins.,39,63
12:47,-1,Jordan Ford missed Three Point Jumper.,39,63
12:47,2031,Ben Marcus Defensive Rebound.,39,63
12:36,2031,Deondre Burns Turnover.,39,63
12:36,2031,Foul on Deondre Burns.,39,63
12:24,2031,Foul on Ryan Pippins.,39,63
12:24,-1,Nick Jones made Free Throw.,40,63
12:24,-1,Nick Jones made Free Throw.,41,63
12:09,2031,Jalen Jackson made Jumper.,41,65
11:57,-1,Xavier Huskey Turnover.,41,65
11:54,2031,Maurius Hill Steal.,41,65
11:52,2031,Official TV Timeout,41,65
11:52,-1,Foul on Andy Ettiene.,41,65
11:52,2031,Marcus Johnson Jr. made Free Throw.,41,66
11:52,2031,Marcus Johnson Jr. made Free Throw.,41,67
11:37,-1,Andy Ettiene missed Layup.,41,67
11:37,2031,Lis Shoshi Block.,41,67
11:36,2031,Maurius Hill Defensive Rebound.,41,67
11:25,2031,Jalen Jackson Turnover.,41,67
11:14,-1,Nick Jones Turnover.,41,67
11:11,2031,Jalen Jackson Steal.,41,67
10:57,2031,Marcus Johnson Jr. Turnover.,41,67
10:56,-1,Andy Ettiene Steal.,41,67
10:46,2031,Foul on Jalen Jackson.,41,67
10:46,-1,Andy Ettiene made Free Throw.,42,67
10:46,-1,Andy Ettiene missed Free Throw.,42,67
10:46,2031,Marcus Johnson Jr. Defensive Rebound.,42,67
10:28,2031,Kemy Osse made Three Point Jumper. Assisted by Jalen Jackson.,42,70
10:15,-1,Xavier Huskey Turnover.,42,70
9:58,-1,Foul on Andy Ettiene.,42,70
9:55,2031,Maurius Hill made Three Point Jumper. Assisted by Jalen Jackson.,42,73
9:38,-1,Central Baptist  Timeout,42,73
9:25,2031,Foul on Maurius Hill.,42,73
9:25,-1,Nick Jones made Free Throw.,43,73
9:25,-1,Nick Jones made Free Throw.,44,73
9:07,2031,Kemy Osse made Three Point Jumper. Assisted by Lis Shoshi.,44,76
8:48,-1,Marcel Swinton Turnover.,44,76
8:29,2031,Maurius Hill missed Three Point Jumper.,44,76
8:29,-1,Nick Jones Defensive Rebound.,44,76
8:20,-1,Justin Harris missed Jumper.,44,76
8:20,2031,Marcus Johnson Jr. Defensive Rebound.,44,76
8:13,-1,Foul on Justin Harris.,44,76
8:13,2031,Marcus Johnson Jr. made Free Throw.,44,77
8:13,2031,Marcus Johnson Jr. made Free Throw.,44,78
8:09,2031,Foul on Maurius Hill.,44,78
8:09,-1,Justin Harris made Free Throw.,45,78
8:09,-1,Justin Harris made Free Throw.,46,78
8:05,-1,Foul on Tony White.,46,78
7:53,2031,Oliver Black missed Jumper.,46,78
7:53,-1,Justin Harris Defensive Rebound.,46,78
7:40,-1,Nick Jones made Three Point Jumper. Assisted by Justin Harris.,49,78
7:17,2031,Ryan Pippins made Layup.,49,80
6:51,-1,Justin Harris made Layup. Assisted by Marcel Swinton.,51,80
6:33,2031,Oliver Black made Layup.,51,82
6:14,-1,Nick Jones made Three Point Jumper.,54,82
6:00,2031,Deondre Burns made Layup.,54,84
5:49,-1,Marcel Swinton Turnover.,54,84
5:43,2031,Andre Jones Turnover.,54,84
5:42,-1,Justin Harris Steal.,54,84
5:35,-1,Jordan Ford made Layup. Assisted by Nick Jones.,56,84
5:25,2031,Deondre Burns missed Three Point Jumper.,56,84
5:25,-1,Nick Jones Defensive Rebound.,56,84
5:14,-1,Marcel Swinton missed Jumper.,56,84
5:14,-1,Mike Evans Offensive Rebound.,56,84
5:09,-1,Mike Evans missed Layup.,56,84
5:09,2031,Maurius Hill Defensive Rebound.,56,84
4:43,2031,Oliver Black made Layup. Assisted by Maurius Hill.,56,86
4:43,-1,Foul on Mike Evans.,56,86
4:43,2031,Official TV Timeout,56,86
4:43,2031,Oliver Black made Free Throw.,56,87
4:31,-1,Rickey Gipson missed Jumper.,56,87
4:31,2031,Ben Marcus Defensive Rebound.,56,87
4:23,2031,Evan Moorman missed Three Point Jumper.,56,87
4:23,2031,Oliver Black Offensive Rebound.,56,87
4:16,2031,Marcus Johnson Jr. missed Three Point Jumper.,56,87
4:16,2031,Ben Marcus Offensive Rebound.,56,87
4:10,2031,Ben Marcus made Layup.,56,89
4:02,-1,Central Baptist  Timeout,56,89
3:52,-1,Nick Jones missed Three Point Jumper.,56,89
3:52,2031,Ben Marcus Defensive Rebound.,56,89
3:46,2031,Foul on Oliver Black.,56,89
3:46,2031,Oliver Black Turnover.,56,89
3:37,2031,Foul on Ben Marcus.,56,89
3:37,-1,Bryce Evans missed Free Throw.,56,89
3:37,-1,Central Baptist Deadball Team Rebound.,56,89
3:37,-1,Bryce Evans missed Free Throw.,56,89
3:37,2031,Andre Jones Defensive Rebound.,56,89
3:26,2031,Shandon Goldman made Layup.,56,91
3:18,-1,Jarma Perkins made Three Point Jumper. Assisted by Rickey Gipson.,59,91
2:51,-1,Foul on Austen Burton.,59,91
2:51,2031,Andre Jones made Free Throw.,59,92
2:51,2031,Andre Jones made Free Throw.,59,93
2:38,-1,Bryce Evans made Layup. Assisted by Austen Burton.,61,93
2:30,-1,Foul on Jarma Perkins.,61,93
2:30,2031,Ryan Pippins missed Free Throw.,61,93
2:30,-1,Bryce Evans Defensive Rebound.,61,93
2:16,-1,Jarma Perkins missed Three Point Jumper.,61,93
2:16,2031,Evan Moorman Defensive Rebound.,61,93
2:06,-1,Foul on Bryce Evans.,61,93
2:06,2031,Shandon Goldman missed Free Throw.,61,93
2:06,2031,Little Rock Deadball Team Rebound.,61,93
2:06,2031,Shandon Goldman missed Free Throw.,61,93
2:06,2031,Andre Jones Offensive Rebound.,61,93
2:03,2031,Andre Jones made Layup.,61,95
1:55,-1,Austen Burton made Layup.,63,95
1:24,2031,Evan Moorman missed Three Point Jumper.,63,95
1:24,2031,Brandon Brady Offensive Rebound.,63,95
1:22,2031,Deondre Burns missed Layup.,63,95
1:22,-1,Clay Anderson Defensive Rebound.,63,95
1:16,-1,Bryce Evans missed Layup.,63,95
1:16,-1,Rickey Gipson Offensive Rebound.,63,95
1:07,-1,Rob Sanders Turnover.,63,95
1:06,2031,Brandon Brady Steal.,63,95
1:03,2031,Andre Jones made Dunk. Assisted by Evan Moorman.,63,97
0:48,-1,Bryce Evans Turnover.,63,97
0:48,-1,Foul on Bryce Evans.,63,97
0:36,2031,Deondre Burns missed Layup.,63,97
0:36,-1,Clay Anderson Defensive Rebound.,63,97
0:29,-1,Rickey Gipson made Jumper.,65,97
0:00,2031,End of Game,65,97
