Northland College,Error,Green Bay,2739
13:33,-1,Harrison Lucas Turnover.,16,8
13:33,2739,Warren Jones Steal.,16,8
13:33,-1,Foul on Danon Briggs.,16,8
13:19,2739,Jamar Hurdle made Jumper.,16,10
12:59,-1,Murdock Smith missed Jumper.,16,10
12:59,2739,Warren Jones Defensive Rebound.,16,10
12:51,-1,Foul on Harrison Lucas.,16,10
12:51,2739,Warren Jones made Free Throw.,16,11
12:51,2739,Warren Jones made Free Throw.,16,12
12:42,-1,Brandon Galland missed Three Point Jumper.,16,12
12:42,2739,Green Bay Defensive Rebound.,16,12
12:22,2739,Turner Botz missed Three Point Jumper.,16,12
12:22,-1,Murdock Smith Defensive Rebound.,16,12
11:57,-1,Harrison Lucas missed Jumper.,16,12
11:57,2739,Kenneth Lowe Defensive Rebound.,16,12
11:42,2739,Kenneth Lowe Turnover.,16,12
11:42,2739,Official TV Timeout,16,12
11:35,2739,Foul on Warren Jones.,16,12
11:19,-1,Nathan Nicholls Turnover.,16,12
11:15,2739,Trevor Anderson missed Three Point Jumper.,16,12
11:15,2739,Khalil Small Defensive Rebound.,16,12
11:08,2739,Khalil Small made Two Point Tip Shot.,16,14
11:02,-1,Northland  Timeout,16,14
10:45,2739,Khalil Small Turnover.,16,14
10:37,-1,Danon Briggs Turnover.,16,14
10:32,-1,Brandon Galland Turnover.,16,14
10:27,2739,Turner Botz missed Three Point Jumper.,16,14
10:27,-1,Danon Briggs Defensive Rebound.,16,14
10:20,-1,Brandon Galland missed Layup.,16,14
10:20,-1,Danon Briggs Offensive Rebound.,16,14
9:59,-1,Danon Briggs missed Jumper.,16,14
9:59,2739,Khalil Small Defensive Rebound.,16,14
9:51,2739,Trevor Anderson made Three Point Jumper. Assisted by Khalil Small.,16,17
9:35,-1,Tyler Peterson Turnover.,16,17
9:34,2739,Khalil Small Steal.,16,17
9:32,2739,Khalil Small made Layup.,16,19
9:05,-1,Thomas Whiting missed Jumper.,16,19
9:05,-1,Thomas Whiting Offensive Rebound.,16,19
8:51,-1,Dan Campion missed Three Point Jumper.,16,19
8:51,2739,Jamar Hurdle Defensive Rebound.,16,19
8:31,2739,Charles Cooper missed Layup.,16,19
8:31,2739,Jamar Hurdle Offensive Rebound.,16,19
8:16,-1,Foul on Danon Briggs.,16,19
8:10,2739,Charles Cooper missed Jumper.,16,19
8:10,-1,Northland Defensive Rebound.,16,19
8:00,-1,Danon Briggs made Jumper.,18,19
7:47,2739,Trevor Anderson Turnover.,18,19
7:46,-1,Tyler Peterson Steal.,18,19
7:39,-1,Rijo Jackson missed Three Point Jumper.,18,19
7:39,2739,Jamar Hurdle Defensive Rebound.,18,19
7:36,-1,Foul on Thomas Whiting.,18,19
7:36,2739,Official TV Timeout,18,19
7:26,2739,Trevor Anderson Turnover.,18,19
7:12,-1,Maverick Harris made Three Point Jumper. Assisted by Dan Campion.,21,19
6:55,2739,Khalil Small missed Three Point Jumper.,21,19
6:55,-1,Rijo Jackson Defensive Rebound.,21,19
6:45,-1,Dan Campion Turnover.,21,19
6:43,2739,Jamar Hurdle Steal.,21,19
6:39,2739,Jamar Hurdle made Three Point Jumper. Assisted by Trevor Anderson.,21,22
6:28,-1,Foul on Thomas Whiting.,21,22
6:28,-1,Thomas Whiting Turnover.,21,22
6:19,2739,Jamar Hurdle missed Three Point Jumper.,21,22
6:19,2739,Khalil Small Offensive Rebound.,21,22
6:14,2739,Khalil Small made Jumper.,21,24
6:01,2739,Foul on Charles Cooper.,21,24
5:36,-1,Rijo Jackson missed Jumper.,21,24
5:36,-1,Northland Offensive Rebound.,21,24
5:17,-1,Rijo Jackson made Layup. Assisted by Murdock Smith.,23,24
5:12,-1,Foul on Rijo Jackson.,23,24
5:12,2739,Tevin Findlay made Free Throw.,23,25
5:12,2739,Tevin Findlay missed Free Throw.,23,25
5:12,-1,Murdock Smith Defensive Rebound.,23,25
4:54,-1,Northland  Timeout,23,25
4:46,-1,Maverick Harris missed Three Point Jumper.,23,25
4:46,-1,Tyler Peterson Offensive Rebound.,23,25
4:34,-1,Aaron Houle made Three Point Jumper. Assisted by Dan Campion.,26,25
4:30,2739,Warren Jones Turnover.,26,25
4:12,2739,Foul on Turner Botz.,26,25
4:12,-1,Tyler Peterson missed Free Throw.,26,25
4:12,-1,Northland Deadball Team Rebound.,26,25
4:12,-1,Tyler Peterson made Free Throw.,27,25
4:03,2739,Warren Jones made Three Point Jumper. Assisted by Turner Botz.,27,28
3:46,2739,Foul on Turner Botz.,27,28
3:46,2739,Official TV Timeout,27,28
3:37,-1,Aaron Houle missed Three Point Jumper.,27,28
3:37,-1,Northland Offensive Rebound.,27,28
3:09,-1,Aaron Houle missed Three Point Jumper.,27,28
3:09,2739,Warren Jones Defensive Rebound.,27,28
3:04,-1,Foul on Nathan Nicholls.,27,28
3:04,2739,Warren Jones made Free Throw.,27,29
3:04,2739,Warren Jones made Free Throw.,27,30
2:40,-1,Dan Campion made Three Point Jumper.,30,30
2:32,-1,Foul on Nathan Nicholls.,30,30
2:32,2739,Kenneth Lowe missed Free Throw.,30,30
2:32,2739,Green Bay Deadball Team Rebound.,30,30
2:32,2739,Kenneth Lowe made Free Throw.,30,31
2:28,2739,Foul on Trevor Anderson.,30,31
2:17,-1,Murdock Smith missed Layup.,30,31
2:17,2739,David Jesperson Defensive Rebound.,30,31
2:10,2739,Charles Cooper missed Layup.,30,31
2:10,2739,Charles Cooper Offensive Rebound.,30,31
2:03,-1,Foul on Dan Campion.,30,31
2:03,2739,Charles Cooper missed Free Throw.,30,31
2:03,2739,Green Bay Deadball Team Rebound.,30,31
2:03,2739,Charles Cooper made Free Throw.,30,32
1:33,-1,Northland  Turnover.,30,32
1:15,-1,Foul on Harrison Lucas.,30,32
1:15,2739,Jamar Hurdle made Free Throw.,30,33
1:15,2739,Jamar Hurdle missed Free Throw.,30,33
1:15,-1,Murdock Smith Defensive Rebound.,30,33
1:02,-1,Aaron Houle missed Three Point Jumper.,30,33
1:02,2739,Jamar Hurdle Block.,30,33
0:58,-1,Aaron Houle Offensive Rebound.,30,33
0:54,-1,Dan Campion missed Three Point Jumper.,30,33
0:54,-1,Matt Zorn Offensive Rebound.,30,33
0:53,2739,Foul on Khalil Small.,30,33
0:35,-1,Matt Zorn made Layup.,32,33
0:24,-1,Foul on Matt Zorn.,32,33
0:24,2739,Trevor Anderson made Free Throw.,32,34
0:24,2739,Trevor Anderson made Free Throw.,32,35
0:24,2739,Green Bay  Timeout,32,35
0:21,-1,Danon Briggs Turnover.,32,35
0:04,2739,Khalil Small made Layup.,32,37
0:00,2739,End of 1st half,32,37
19:25,2739,Charles Cooper made Layup.,32,39
19:10,-1,Dan Campion made Three Point Jumper.,35,39
18:51,2739,Trevor Anderson made Three Point Jumper.,35,42
18:21,-1,Thomas Whiting missed Jumper.,35,42
18:21,-1,Maverick Harris Offensive Rebound.,35,42
18:13,-1,Maverick Harris missed Jumper.,35,42
18:13,2739,Kenneth Lowe Block.,35,42
18:10,2739,Charles Cooper Defensive Rebound.,35,42
18:08,-1,Foul on Tyler Peterson.,35,42
18:08,2739,Charles Cooper missed Free Throw.,35,42
18:08,2739,Green Bay Deadball Team Rebound.,35,42
18:08,2739,Charles Cooper missed Free Throw.,35,42
18:08,-1,Tyler Peterson Defensive Rebound.,35,42
18:04,2739,Foul on Jamar Hurdle.,35,42
17:53,-1,Tyler Peterson missed Layup.,35,42
17:53,2739,Kenneth Lowe Defensive Rebound.,35,42
17:51,-1,Foul on Tyler Peterson.,35,42
17:43,2739,Kenneth Lowe Turnover.,35,42
17:41,-1,Rijo Jackson Steal.,35,42
17:37,-1,Maverick Harris missed Three Point Jumper.,35,42
17:37,2739,Kenneth Lowe Block.,35,42
17:34,2739,Khalil Small Defensive Rebound.,35,42
17:32,-1,Foul on Rijo Jackson.,35,42
17:25,2739,Kenneth Lowe missed Jumper.,35,42
17:25,-1,Dan Campion Defensive Rebound.,35,42
17:11,-1,Dan Campion Turnover.,35,42
17:10,2739,Trevor Anderson Steal.,35,42
17:06,2739,Khalil Small made Layup. Assisted by Trevor Anderson.,35,44
16:53,2739,Foul on Khalil Small.,35,44
16:47,-1,Rijo Jackson Turnover.,35,44
16:34,2739,Jamar Hurdle made Jumper.,35,46
16:07,-1,Dan Campion missed Layup.,35,46
16:07,2739,Charles Cooper Defensive Rebound.,35,46
15:59,2739,Kenneth Lowe made Layup. Assisted by Charles Cooper.,35,48
15:45,-1,Harrison Lucas missed Layup.,35,48
15:45,-1,Thomas Whiting Offensive Rebound.,35,48
15:43,2739,Foul on Jamar Hurdle.,35,48
15:43,2739,Official TV Timeout,35,48
15:43,-1,Thomas Whiting missed Free Throw.,35,48
15:43,-1,Northland Deadball Team Rebound.,35,48
15:43,-1,Thomas Whiting missed Free Throw.,35,48
15:43,2739,Green Bay Defensive Rebound.,35,48
15:32,-1,Foul on Harrison Lucas.,35,48
15:29,2739,Warren Jones made Three Point Jumper. Assisted by Khalil Small.,35,51
15:13,-1,Tyler Peterson Turnover.,35,51
15:12,2739,Warren Jones Steal.,35,51
15:09,2739,Jamar Hurdle missed Layup.,35,51
15:09,-1,Tyler Peterson Block.,35,51
15:08,2739,Jamar Hurdle Offensive Rebound.,35,51
15:05,2739,Jamar Hurdle made Layup.,35,53
15:03,-1,Foul on Dan Campion.,35,53
15:03,2739,Jamar Hurdle made Free Throw.,35,54
14:43,-1,Nathan Nicholls Turnover.,35,54
14:26,2739,Warren Jones missed Three Point Jumper.,35,54
14:26,-1,Murdock Smith Defensive Rebound.,35,54
13:57,-1,Northland  Turnover.,35,54
13:55,2739,Turner Botz made Three Point Jumper. Assisted by Warren Jones.,35,57
13:41,-1,Murdock Smith missed Jumper.,35,57
13:41,2739,Warren Jones Defensive Rebound.,35,57
13:29,2739,Tevin Findlay missed Three Point Jumper.,35,57
13:29,-1,Nathan Nicholls Defensive Rebound.,35,57
13:08,-1,Foul on Nathan Nicholls.,35,57
13:08,-1,Nathan Nicholls Turnover.,35,57
13:00,-1,Foul on Murdock Smith.,35,57
13:00,2739,Turner Botz missed Free Throw.,35,57
13:00,-1,Rijo Jackson Defensive Rebound.,35,57
12:59,-1,Murdock Smith Turnover.,35,57
12:31,2739,Charles Cooper missed Three Point Jumper.,35,57
12:31,-1,Northland Defensive Rebound.,35,57
12:26,-1,Rijo Jackson missed Three Point Jumper.,35,57
12:26,2739,Kenneth Lowe Defensive Rebound.,35,57
12:25,2739,Foul on Kenneth Lowe.,35,57
12:23,2739,Kenneth Lowe Turnover.,35,57
12:01,-1,Harrison Lucas Turnover.,35,57
12:01,2739,Kenneth Lowe Steal.,35,57
12:01,2739,Trevor Anderson made Three Point Jumper. Assisted by Tevin Findlay.,35,60
11:33,-1,Nathan Nicholls missed Layup.,35,60
11:33,2739,Turner Botz Defensive Rebound.,35,60
11:28,2739,Tevin Findlay made Layup.,35,62
11:20,-1,Danon Briggs Turnover.,35,62
11:20,2739,Official TV Timeout,35,62
10:51,2739,Kerem Kanter made Layup. Assisted by Trevor Anderson.,35,64
10:21,-1,Harrison Lucas made Layup.,37,64
10:06,2739,Charles Cooper missed Jumper.,37,64
10:06,-1,Nathan Nicholls Defensive Rebound.,37,64
9:50,-1,Rijo Jackson missed Three Point Jumper.,37,64
9:50,2739,Khalil Small Defensive Rebound.,37,64
9:44,2739,Trevor Anderson missed Three Point Jumper.,37,64
9:44,2739,Kerem Kanter Offensive Rebound.,37,64
9:41,-1,Foul on Rijo Jackson.,37,64
9:41,2739,Kerem Kanter made Free Throw.,37,65
9:41,2739,Kerem Kanter made Free Throw.,37,66
9:17,-1,Harrison Lucas missed Layup.,37,66
9:17,2739,Kerem Kanter Block.,37,66
9:17,-1,Northland Offensive Rebound.,37,66
9:15,-1,Dan Campion missed Layup.,37,66
9:15,2739,Kerem Kanter Defensive Rebound.,37,66
9:11,2739,Charles Cooper Turnover.,37,66
9:04,2739,Foul on Khalil Small.,37,66
8:49,-1,Thomas Whiting Turnover.,37,66
8:47,2739,David Jesperson Steal.,37,66
8:42,-1,Foul on Tyler Peterson.,37,66
8:42,2739,Charles Cooper made Free Throw.,37,67
8:42,2739,Charles Cooper made Free Throw.,37,68
8:26,-1,Tyler Peterson made Three Point Jumper. Assisted by Dan Campion.,40,68
8:18,2739,Trevor Anderson Turnover.,40,68
8:01,-1,Tyler Peterson missed Three Point Jumper.,40,68
8:01,2739,Warren Jones Defensive Rebound.,40,68
7:58,-1,Foul on Aaron Houle.,40,68
7:55,2739,Official TV Timeout,40,68
7:55,2739,Warren Jones made Free Throw.,40,69
7:55,2739,Warren Jones missed Free Throw.,40,69
7:55,-1,Tyler Peterson Defensive Rebound.,40,69
7:48,2739,Foul on David Jesperson.,40,69
7:41,-1,Thomas Whiting missed Jumper.,40,69
7:41,2739,Kameron Hankerson Defensive Rebound.,40,69
7:24,2739,Warren Jones Turnover.,40,69
7:13,-1,Maverick Harris Turnover.,40,69
7:10,2739,Tevin Findlay Steal.,40,69
7:07,2739,Warren Jones Turnover.,40,69
7:02,-1,Brandon Galland Turnover.,40,69
7:00,2739,Kameron Hankerson Steal.,40,69
6:54,2739,Warren Jones missed Layup.,40,69
6:54,-1,Thomas Whiting Defensive Rebound.,40,69
6:40,-1,Brandon Galland Turnover.,40,69
6:40,2739,Warren Jones Steal.,40,69
6:40,-1,Foul on Brandon Galland.,40,69
6:40,2739,Warren Jones missed Free Throw.,40,69
6:40,2739,Green Bay Deadball Team Rebound.,40,69
6:40,2739,Warren Jones made Free Throw.,40,70
6:23,-1,Matt Zorn Turnover.,40,70
6:05,2739,Turner Botz missed Three Point Jumper.,40,70
6:05,-1,Brandon Gilbertson Defensive Rebound.,40,70
5:47,2739,Foul on David Jesperson.,40,70
5:47,-1,Brandon Galland made Free Throw.,41,70
5:47,-1,Brandon Galland made Free Throw.,42,70
5:43,2739,Tevin Findlay Turnover.,42,70
5:35,2739,Foul on Kameron Hankerson.,42,70
5:35,-1,Brandon Galland missed Free Throw.,42,70
5:35,-1,Northland Deadball Team Rebound.,42,70
5:35,-1,Brandon Galland made Free Throw.,43,70
5:32,2739,Kameron Hankerson made Three Point Jumper. Assisted by Tevin Findlay.,43,73
4:59,2739,Foul on David Jesperson.,43,73
4:59,-1,Brandon Galland made Free Throw.,44,73
4:59,-1,Brandon Galland made Free Throw.,45,73
4:46,2739,David Jesperson made Layup. Assisted by Tevin Findlay.,45,75
4:34,-1,Brandon Gilbertson missed Three Point Jumper.,45,75
4:34,2739,Turner Botz Defensive Rebound.,45,75
4:26,2739,Foul on Kerem Kanter.,45,75
4:26,2739,Kerem Kanter Turnover.,45,75
4:13,-1,Benny Larry Jr. missed Three Point Jumper.,45,75
4:13,2739,Kerem Kanter Defensive Rebound.,45,75
4:02,2739,Turner Botz missed Jumper.,45,75
4:02,2739,Turner Botz Offensive Rebound.,45,75
3:59,-1,Foul on Brandon Galland.,45,75
3:59,2739,Official TV Timeout,45,75
3:59,2739,Turner Botz missed Free Throw.,45,75
3:59,2739,Green Bay Deadball Team Rebound.,45,75
3:59,2739,Turner Botz made Free Throw.,45,76
3:49,-1,Aaron Houle made Three Point Jumper. Assisted by Brandon Galland.,48,76
3:40,-1,Foul on Matt Zorn.,48,76
3:40,2739,Kaharri Carter missed Free Throw.,48,76
3:40,2739,Green Bay Deadball Team Rebound.,48,76
3:40,2739,Kaharri Carter made Free Throw.,48,77
3:26,-1,Brandon Gilbertson missed Jumper.,48,77
3:26,2739,Kerem Kanter Defensive Rebound.,48,77
3:17,2739,David Jesperson made Jumper.,48,79
2:58,-1,Brandon Gilbertson missed Jumper.,48,79
2:58,2739,David Jesperson Defensive Rebound.,48,79
2:51,2739,Foul on Kerem Kanter.,48,79
2:51,2739,Kerem Kanter Turnover.,48,79
2:35,-1,Kyler Hagen missed Jumper.,48,79
2:35,2739,Kerem Kanter Defensive Rebound.,48,79
2:20,2739,Kameron Hankerson missed Jumper.,48,79
2:20,-1,Benny Larry Jr. Defensive Rebound.,48,79
2:08,-1,Benny Larry Jr. missed Three Point Jumper.,48,79
2:08,2739,Tevin Findlay Defensive Rebound.,48,79
2:06,-1,Foul on Brandon Galland.,48,79
2:06,2739,Tevin Findlay missed Free Throw.,48,79
2:06,2739,Green Bay Deadball Team Rebound.,48,79
2:06,2739,Tevin Findlay made Free Throw.,48,80
2:01,2739,Foul on Tevin Findlay.,48,80
2:01,-1,Brandon Galland made Free Throw.,49,80
2:01,-1,Brandon Galland missed Free Throw.,49,80
2:01,2739,David Jesperson Defensive Rebound.,49,80
1:54,2739,Kerem Kanter made Layup. Assisted by Kameron Hankerson.,49,82
1:42,-1,Kyler Hagen Turnover.,49,82
1:33,2739,Kameron Hankerson made Jumper.,49,84
1:02,-1,Gus Farrell missed Jumper.,49,84
1:02,2739,Kerem Kanter Defensive Rebound.,49,84
0:52,2739,Kerem Kanter missed Three Point Jumper.,49,84
0:52,-1,Brandon Galland Defensive Rebound.,49,84
0:33,-1,Kyle Szilagyi missed Jumper.,49,84
0:33,2739,Tevin Findlay Defensive Rebound.,49,84
0:00,2739,End of Game,49,84
